Entity,Year,Natural gas reserves (BP Statistical Review (2016))
North America,2005,7.8
North America,2014,12.8
North America,2015,12.8
Norway,1995,1.4
Norway,2005,2.4
Norway,2014,1.9
Norway,2015,1.9
Oman,1995,0.5
Oman,2005,1
Oman,2014,0.7
Oman,2015,0.7
Other Africa,1995,0.8
Other Africa,2005,1.2
Other Africa,2014,1.2
Other Africa,2015,1.1
Other Asia & Pacific,1995,0.4
Other Asia & Pacific,2005,0.4
Other Asia & Pacific,2014,0.3
Other Asia & Pacific,2015,0.3
Other Europe & Central Asia,1995,0.3
Other Europe & Central Asia,2005,0.2
Other Europe & Central Asia,2014,0.2
Other Europe & Central Asia,2015,0.2
Other Latin America & the Caribbean,1995,0.2
Other Latin America & the Caribbean,2005,0.1
Other Latin America & the Caribbean,2014,0.1
Other Latin America & the Caribbean,2015,0.1
Pakistan,1995,0.6
Pakistan,2005,0.9
Pakistan,2014,0.5
Pakistan,2015,0.5
Papua New Guinea,2014,0.2
Papua New Guinea,2015,0.1
Peru,1995,0.2
Peru,2005,0.3
Peru,2014,0.4
Peru,2015,0.4
Poland,1995,0.1
Poland,2005,0.1
Poland,2014,0.1
Poland,2015,0.1
Qatar,1995,8.5
Qatar,2005,25.6
Qatar,2014,24.5
Qatar,2015,24.5
Romania,1995,0.4
Romania,2005,0.6
Romania,2014,0.1
Romania,2015,0.1
Russia,1995,31.1
Russia,2005,31.2
Russia,2014,32.4
Russia,2015,32.3
Saudi Arabia,1995,5.5
Saudi Arabia,2005,6.8
Saudi Arabia,2014,8.3
Saudi Arabia,2015,8.3
Syria,1995,0.2
Syria,2005,0.3
Syria,2014,0.3
Syria,2015,0.3
Thailand,1995,0.2
Thailand,2005,0.3
Thailand,2014,0.2
Thailand,2015,0.2
Trinidad and Tobago,1995,0.3
Trinidad and Tobago,2005,0.5
Trinidad and Tobago,2014,0.3
Trinidad and Tobago,2015,0.3
Turkmenistan,2005,2.3
Turkmenistan,2014,17.5
Turkmenistan,2015,17.5
Ukraine,2005,0.7
Ukraine,2014,0.6
Ukraine,2015,0.6
United Arab Emirates,1995,5.9
United Arab Emirates,2005,6.1
United Arab Emirates,2014,6.1
United Arab Emirates,2015,6.1
United Kingdom,1995,0.7
United Kingdom,2005,0.5
United Kingdom,2014,0.2
United Kingdom,2015,0.2
United States,1995,4.7
United States,2005,5.8
United States,2014,10.4
United States,2015,10.4
Uzbekistan,2005,1.2
Uzbekistan,2014,1.1
Uzbekistan,2015,1.1
Venezuela,1995,4.1
Venezuela,2005,4.3
Venezuela,2014,5.6
Venezuela,2015,5.6
Vietnam,1995,0.1
Vietnam,2005,0.2
Vietnam,2014,0.6
Vietnam,2015,0.6
World,1995,119.9
World,2005,157.3
World,2014,187
World,2015,186.9
Yemen,1995,0.3
Yemen,2005,0.3
Yemen,2014,0.3
Yemen,2015,0.3
