Entity,Year,Share of consumer expenditure on food (USDA (2017)),Share of consumer expenditure on alcoholic beverages and tobacco (USDA (2017)),Consumer expenditure (USDA (2017)),Food expenditure (USDA (2017))
Russia,2015,28,9,4708,1319
Russia,2016,30,7,4366,1305
Saudi Arabia,2015,25,1,7827,1954
Saudi Arabia,2016,21,1,8097,1664
Serbia,2015,25,7,3810,932
Serbia,2016,24,7,3855,934
Singapore,2015,7,2,19856,1336
Singapore,2016,7,2,19219,1297
Slovakia,2015,18,5,8751,1545
Slovakia,2016,18,5,8857,1581
Slovenia,2015,15,6,11438,1675
Slovenia,2016,15,6,11791,1821
South Africa,2015,19,6,3555,673
South Africa,2016,19,6,3260,612
South Korea,2015,13,2,12584,1640
South Korea,2016,13,3,12681,1683
Spain,2015,13,4,15341,2002
Spain,2016,14,4,15773,2138
Sweden,2015,13,4,22145,2784
Sweden,2016,13,4,22389,2820
Switzerland,2015,9,4,43061,3763
Switzerland,2016,9,4,41942,3631
Taiwan,2015,14,2,11718,1639
Taiwan,2016,14,2,11952,1685
Thailand,2015,26,3,3355,862
Thailand,2016,26,3,3414,884
Tunisia,2015,22,3,2878,643
Tunisia,2016,22,3,2786,618
Turkey,2015,22,5,6688,1440
Turkey,2016,21,5,6864,1471
Turkmenistan,2015,38,2,3699,1414
Turkmenistan,2016,38,2,4312,1637
Ukraine,2015,38,8,1347,513
Ukraine,2016,38,8,1417,539
United Arab Emirates,2015,14,0,22945,3159
United Arab Emirates,2016,14,0,21678,2950
United Kingdom,2015,8,4,26976,2217
United Kingdom,2016,8,4,24541,1991
United States,2015,6,2,37253,2392
United States,2016,6,2,38461,2408
Uruguay,2015,18,1,11163,2033
Uruguay,2016,19,1,10665,1990
Uzbekistan,2015,31,3,1246,380
Uzbekistan,2016,30,3,1215,369
Venezuela,2015,20,4,843,165
Venezuela,2016,19,4,1328,258
Vietnam,2015,35,3,1312,460
Vietnam,2016,39,2,1582,612
