Entity,Year,Incapacity related
Portugal,1980,1.9
Portugal,1985,2
Portugal,1990,2.3
Portugal,1995,2.3
Portugal,2000,2.2
Portugal,2005,2.1
Portugal,2010,1.9
Portugal,2013,1.9
Portugal,2014,..
Portugal,2015,..
Slovak Republic,1980,..
Slovak Republic,1985,..
Slovak Republic,1990,..
Slovak Republic,1995,2
Slovak Republic,2000,2.2
Slovak Republic,2005,1.4
Slovak Republic,2010,1.8
Slovak Republic,2013,1.9
Slovak Republic,2014,..
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,2.6
Slovenia,2005,2.4
Slovenia,2010,2.3
Slovenia,2013,2.1
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,2.3
Spain,1985,2.4
Spain,1990,2.2
Spain,1995,2.4
Spain,2000,2.3
Spain,2005,2.5
Spain,2010,2.6
Spain,2013,2.5
Spain,2014,..
Spain,2015,..
Sweden,1980,4.5
Sweden,1985,4.3
Sweden,1990,5.2
Sweden,1995,4.7
Sweden,2000,4.9
Sweden,2005,5.3
Sweden,2010,4.2
Sweden,2013,4.3
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,2
Switzerland,1985,2
Switzerland,1990,1.6
Switzerland,1995,2.2
Switzerland,2000,2.4
Switzerland,2005,2.8
Switzerland,2010,2.3
Switzerland,2013,2.3
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,0.3
Turkey,1985,0.1
Turkey,1990,0.2
Turkey,1995,0.2
Turkey,2000,0.2
Turkey,2005,0.2
Turkey,2010,0.3
Turkey,2013,0.3
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,0.9
United Kingdom,1985,1.4
United Kingdom,1990,2
United Kingdom,1995,2.7
United Kingdom,2000,2.3
United Kingdom,2005,2.2
United Kingdom,2010,2
United Kingdom,2013,2
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,1.1
United States,1985,1
United States,1990,1
United States,1995,1.1
United States,2000,1
United States,2005,1.2
United States,2010,1.4
United States,2013,1.4
United States,2014,..
United States,2015,..
