Entity,Year,xHuman Rights Protection Scores – by Christopher Farris and Keith Schnakenberg
Barbados,1982,2.25827
Barbados,1983,2.27447
Barbados,1984,2.29787
Barbados,1985,2.31229
Barbados,1986,2.31258
Barbados,1987,2.31687
Barbados,1988,2.3093
Barbados,1989,2.30168
Barbados,1990,2.28226
Barbados,1991,2.25993
Barbados,1992,2.23062
Barbados,1993,2.18574
Barbados,1994,2.12956
Barbados,1995,2.05136
Barbados,1996,1.97437
Barbados,1997,1.89581
Barbados,1998,1.79737
Barbados,1999,1.69674
Barbados,2000,1.57301
Barbados,2001,1.43087
Barbados,2002,1.29856
Barbados,2003,1.11344
Barbados,2004,0.865847
Barbados,2005,0.711927
Barbados,2006,0.590552
Barbados,2007,0.595915
Barbados,2008,0.584546
Barbados,2009,0.650411
Barbados,2010,0.72344
Barbados,2011,0.829865
Barbados,2012,1.02571
Barbados,2013,1.11135
Barbados,2014,1.11796
Belarus,1985,0.250023
Belarus,1986,0.216323
Belarus,1987,0.126559
Belarus,1988,0.058482
Belarus,1989,0.091202
Belarus,1990,0.151508
Belarus,1991,0.251209
Belarus,1992,0.308512
Belarus,1993,0.439476
Belarus,1994,0.479034
Belarus,1995,0.281563
Belarus,1996,0.086944
Belarus,1997,-0.152255
Belarus,1998,-0.192047
Belarus,1999,-0.208134
Belarus,2000,-0.295049
Belarus,2001,-0.204395
Belarus,2002,-0.166663
Belarus,2003,-0.228084
Belarus,2004,-0.361099
Belarus,2005,-0.261813
Belarus,2006,-0.353056
Belarus,2007,-0.342903
Belarus,2008,-0.405236
Belarus,2009,-0.428758
Belarus,2010,-0.446199
Belarus,2011,-0.350615
Belarus,2012,-0.336548
Belarus,2013,-0.385731
Belarus,2014,-0.373091
Belgium,1949,1.17497
Belgium,1950,1.23817
Belgium,1951,1.30127
Belgium,1952,1.35331
Belgium,1953,1.4079
Belgium,1954,1.46366
Belgium,1955,1.52285
Belgium,1956,1.58115
Belgium,1957,1.63714
Belgium,1958,1.69358
Belgium,1959,1.74651
Belgium,1960,1.79906
Belgium,1961,1.85059
Belgium,1962,1.90214
Belgium,1963,1.95783
Belgium,1964,2.00971
Belgium,1965,2.05905
Belgium,1966,2.10716
Belgium,1967,2.15642
Belgium,1968,2.21053
Belgium,1969,2.25697
Belgium,1970,2.30578
Belgium,1971,2.35437
Belgium,1972,2.40388
Belgium,1973,2.45729
Belgium,1974,2.50142
Belgium,1975,2.54538
Belgium,1976,2.5861
Belgium,1977,2.62967
Belgium,1978,2.66557
Belgium,1979,2.69509
Belgium,1980,2.73009
Belgium,1981,2.76739
Belgium,1982,2.78963
Belgium,1983,2.79625
Belgium,1984,2.79425
Belgium,1985,2.77113
Belgium,1986,2.73356
Belgium,1987,2.76499
Belgium,1988,2.78066
Belgium,1989,2.77695
Belgium,1990,2.74344
Belgium,1991,2.68799
Belgium,1992,2.6167
Belgium,1993,2.50943
Belgium,1994,2.47246
Belgium,1995,2.39189
Belgium,1996,2.27076
Belgium,1997,2.09583
Belgium,1998,1.90218
Belgium,1999,1.77373
Belgium,2000,1.67477
Belgium,2001,1.52237
Belgium,2002,1.37416
Belgium,2003,1.27622
Belgium,2004,1.20958
Belgium,2005,1.23805
Belgium,2006,1.25495
Belgium,2007,1.24074
Belgium,2008,1.20811
Belgium,2009,1.23031
Belgium,2010,1.3312
Belgium,2011,1.54431
Belgium,2012,1.61915
Belgium,2013,1.63909
Belgium,2014,1.63311
Belize,1981,1.84941
Belize,1982,1.90935
Belize,1983,1.93137
Belize,1984,1.90693
Belize,1985,1.95016
Belize,1986,1.95085
Belize,1987,1.91562
Belize,1988,1.94237
Belize,1989,1.92214
Belize,1990,1.85898
Belize,1991,1.85192
Belize,1992,1.77542
Belize,1993,1.61211
Belize,1994,1.60163
Belize,1995,1.58246
Belize,1996,1.5536
Belize,1997,1.50467
Belize,1998,1.43104
Belize,1999,1.31461
Belize,2000,1.10126
Belize,2001,0.929482
Belize,2002,0.4777
Belize,2003,0.341645
Belize,2004,0.192098
Belize,2005,0.108825
Belize,2006,0.246803
Belize,2007,0.330648
Belize,2008,0.2581
Belize,2009,0.162962
Belize,2010,0.266123
Belize,2011,0.373712
Belize,2012,0.368729
Belize,2013,0.361648
Belize,2014,0.366989
Benin,1960,0.635942
Benin,1961,0.664255
Benin,1962,0.683836
Benin,1963,0.701121
Benin,1964,0.706485
Benin,1965,0.71111
Benin,1966,0.710173
Benin,1967,0.706493
Benin,1968,0.701285
Benin,1969,0.68448
Benin,1970,0.660066
Benin,1971,0.620133
Benin,1972,0.585762
Benin,1973,0.545297
Benin,1974,0.494234
Benin,1975,0.424464
Benin,1976,0.416076
Benin,1977,0.378157
Benin,1978,0.321685
Benin,1979,0.255644
Benin,1980,0.102665
Benin,1981,0.001668
Benin,1982,0.123881
Benin,1983,0.214994
Benin,1984,0.157795
Benin,1985,-0.082253
Benin,1986,-0.017194
Benin,1987,-0.036946
Benin,1988,-0.139442
Benin,1989,0.160575
Benin,1990,0.841127
Benin,1991,1.17759
Benin,1992,1.18004
Benin,1993,1.25466
Benin,1994,1.22169
Benin,1995,1.29057
Benin,1996,1.39931
Benin,1997,1.32884
Benin,1998,1.04304
Benin,1999,0.940204
Benin,2000,0.808438
Benin,2001,0.722468
Benin,2002,0.645212
Benin,2003,0.537508
Benin,2004,0.455497
Benin,2005,0.261088
Benin,2006,0.11875
Benin,2007,0.094261
Benin,2008,0.025538
Benin,2009,-0.025115
Benin,2010,-0.045438
Benin,2011,0.092825
Benin,2012,0.300996
Benin,2013,0.310446
Benin,2014,0.316305
Bhutan,1949,0.945737
Bhutan,1950,0.990878
Bhutan,1951,1.04166
Bhutan,1952,1.09265
Bhutan,1953,1.13992
Bhutan,1954,1.18362
Bhutan,1955,1.23007
Bhutan,1956,1.26982
Bhutan,1957,1.3102
Bhutan,1958,1.35494
Bhutan,1959,1.39502
Bhutan,1960,1.43745
Bhutan,1961,1.47312
Bhutan,1962,1.51095
Bhutan,1963,1.54771
Bhutan,1964,1.58159
Bhutan,1965,1.61833
Bhutan,1966,1.64499
Bhutan,1967,1.67637
Bhutan,1968,1.703
Bhutan,1969,1.72791
Bhutan,1970,1.74851
Bhutan,1971,1.77376
Bhutan,1972,1.80118
Bhutan,1973,1.82156
Bhutan,1974,1.83471
Bhutan,1975,1.8442
Bhutan,1976,1.85141
Bhutan,1977,1.86048
Bhutan,1978,1.86383
Bhutan,1979,1.86161
Bhutan,1980,1.86172
Bhutan,1981,1.86961
Bhutan,1982,1.81917
Bhutan,1983,1.822
Bhutan,1984,1.87867
Bhutan,1985,1.88564
Bhutan,1986,1.81348
Bhutan,1987,1.63979
Bhutan,1988,1.34242
Bhutan,1989,0.873297
Bhutan,1990,0.14348
Bhutan,1991,-0.554652
Bhutan,1992,-0.856773
Bhutan,1993,-0.777302
Bhutan,1994,-0.516317
Bhutan,1995,-0.05642
Bhutan,1996,0.31126
Bhutan,1997,0.313908
Bhutan,1998,0.527412
Bhutan,1999,0.538867
Bhutan,2000,0.64709
Bhutan,2001,0.797764
Bhutan,2002,0.822343
Bhutan,2003,0.910638
Bhutan,2004,0.843633
Bhutan,2005,0.939706
Bhutan,2006,0.909869
Bhutan,2007,0.745214
Bhutan,2008,0.389889
Bhutan,2009,0.224932
Bhutan,2010,0.265117
Bhutan,2011,0.292626
Bhutan,2012,0.317584
Bhutan,2013,0.327869
Bhutan,2014,0.327533
Bolivia,1949,0.753589
Bolivia,1950,0.784214
Bolivia,1951,0.813719
Bolivia,1952,0.831804
Bolivia,1953,0.854517
Bolivia,1954,0.870294
Bolivia,1955,0.8838
Bolivia,1956,0.879607
Bolivia,1957,0.882742
Bolivia,1958,0.870869
Bolivia,1959,0.860944
Bolivia,1960,0.847046
Bolivia,1961,0.832041
Bolivia,1962,0.801429
Bolivia,1963,0.765697
Bolivia,1964,0.735064
Bolivia,1965,0.694702
Bolivia,1966,0.64968
Bolivia,1967,0.60253
Bolivia,1968,0.538977
Bolivia,1969,0.473651
Bolivia,1970,0.392014
Bolivia,1971,0.304859
Bolivia,1972,0.203607
Bolivia,1973,0.087689
Bolivia,1974,0.006016
Bolivia,1975,-0.096723
Bolivia,1976,-0.220284
Bolivia,1977,-0.340521
Bolivia,1978,-0.250536
Bolivia,1979,-0.546571
Bolivia,1980,-0.880144
Bolivia,1981,-0.980151
Bolivia,1982,-0.827522
Bolivia,1983,-0.522271
Bolivia,1984,-0.311127
Bolivia,1985,-0.06379
Bolivia,1986,0.151799
Bolivia,1987,0.184448
Bolivia,1988,0.105501
Bolivia,1989,0.094525
Bolivia,1990,0.000239
Bolivia,1991,0.075028
Bolivia,1992,0.063326
Bolivia,1993,0.093491
Bolivia,1994,0.260313
