Entity,Year,Share of arable land which is organic
United Kingdom,2004,2.80
United Kingdom,2005,3.05
United Kingdom,2006,2.94
United Kingdom,2007,3.38
United Kingdom,2008,3.72
United Kingdom,2009,3.67
United Kingdom,2010,3.63
United Kingdom,2011,3.29
United Kingdom,2012,2.90
United Kingdom,2013,2.69
United Kingdom,2014,2.45
