Entity,Year,HAQ Index (IHME (2017))
Cape Verde,1990,50.1
Cape Verde,1995,49.3
Cape Verde,2000,50.8
Cape Verde,2005,53.7
Cape Verde,2010,57.9
Cape Verde,2015,61.7
Caribbean,1990,42.4
Caribbean,1995,45.9
Caribbean,2000,48.8
Caribbean,2005,50.8
Caribbean,2010,52.3
Caribbean,2015,54.5
Central African Republic,1990,25.5
Central African Republic,1995,25.8
Central African Republic,2000,26.7
Central African Republic,2005,28
Central African Republic,2010,28.8
Central African Republic,2015,28.6
Central Asia,1990,50.7
Central Asia,1995,49.2
Central Asia,2000,50.7
Central Asia,2005,52.4
Central Asia,2010,56.6
Central Asia,2015,59.9
Central Europe,1990,60.6
Central Europe,1995,63.4
Central Europe,2000,67.5
Central Europe,2005,70.5
Central Europe,2010,73.8
Central Europe,2015,77.1
"Central Europe, Eastern Europe, and Central Asia",1990,57.5
"Central Europe, Eastern Europe, and Central Asia",1995,55.9
"Central Europe, Eastern Europe, and Central Asia",2000,58.4
"Central Europe, Eastern Europe, and Central Asia",2005,60.8
"Central Europe, Eastern Europe, and Central Asia",2010,65.4
"Central Europe, Eastern Europe, and Central Asia",2015,68.5
Central Latin America,1990,47.6
Central Latin America,1995,52.2
Central Latin America,2000,55.8
Central Latin America,2005,58.3
Central Latin America,2010,60.2
Central Latin America,2015,62.4
Central Sub-Saharan Africa,1990,31.1
Central Sub-Saharan Africa,1995,32.1
Central Sub-Saharan Africa,2000,33
Central Sub-Saharan Africa,2005,35.7
Central Sub-Saharan Africa,2010,37.2
Central Sub-Saharan Africa,2015,38.6
Chad,1990,35.6
Chad,1995,35.2
Chad,2000,32.1
Chad,2005,34.1
Chad,2010,36.3
Chad,2015,37.7
Chile,1990,58.8
Chile,1995,64.2
Chile,2000,69.2
Chile,2005,72
Chile,2010,73.9
Chile,2015,76
China,1990,49.5
China,1995,53.7
China,2000,57.8
China,2005,63.7
China,2010,69.9
China,2015,74.2
Colombia,1990,51.1
Colombia,1995,54.9
Colombia,2000,58.4
Colombia,2005,61.6
Colombia,2010,64.4
Colombia,2015,67.8
Comoros,1990,32.7
Comoros,1995,34.3
Comoros,2000,38.4
Comoros,2005,44.1
Comoros,2010,47.2
Comoros,2015,47.7
Congo,1990,32.2
Congo,1995,31.4
Congo,2000,33.3
Congo,2005,39.3
Congo,2010,41.2
Congo,2015,43.5
Costa Rica,1990,62.1
Costa Rica,1995,62.8
Costa Rica,2000,65.4
Costa Rica,2005,68.6
Costa Rica,2010,70.8
Costa Rica,2015,72.9
Cote d'Ivoire,1990,35.5
Cote d'Ivoire,1995,33.2
Cote d'Ivoire,2000,34.4
Cote d'Ivoire,2005,37.6
Cote d'Ivoire,2010,40.7
Cote d'Ivoire,2015,42.4
Croatia,1990,68.8
Croatia,1995,70.4
Croatia,2000,73.4
Croatia,2005,76.8
Croatia,2010,78.9
Croatia,2015,81.6
Cuba,1990,64.1
Cuba,1995,65.2
Cuba,2000,67.7
Cuba,2005,70.5
Cuba,2010,72.1
Cuba,2015,73.5
Cyprus,1990,72
Cyprus,1995,73.4
Cyprus,2000,76.4
Cyprus,2005,79.2
Cyprus,2010,82.6
Cyprus,2015,85.3
Czech Republic,1990,68.3
Czech Republic,1995,73.2
Czech Republic,2000,77.1
Czech Republic,2005,79.2
Czech Republic,2010,81.8
Czech Republic,2015,84.8
Democratic Republic of Congo,1990,35.6
Democratic Republic of Congo,1995,36.1
Democratic Republic of Congo,2000,36.2
Democratic Republic of Congo,2005,38.1
Democratic Republic of Congo,2010,39.3
Democratic Republic of Congo,2015,40.4
Denmark,1990,76.6
Denmark,1995,77.2
Denmark,2000,79.5
Denmark,2005,81.9
Denmark,2010,83.6
Denmark,2015,85.7
Djibouti,1990,38.9
Djibouti,1995,38.8
Djibouti,2000,39.4
Djibouti,2005,40.9
Djibouti,2010,43.2
Djibouti,2015,44.7
Dominica,1990,53
Dominica,1995,54.6
Dominica,2000,57.7
Dominica,2005,59
Dominica,2010,58.5
Dominica,2015,58.1
Dominican Republic,1990,47.9
Dominican Republic,1995,52.2
Dominican Republic,2000,56.6
Dominican Republic,2005,58.6
Dominican Republic,2010,60.8
Dominican Republic,2015,62.5
East Asia,1990,49.5
East Asia,1995,53.8
East Asia,2000,57.8
East Asia,2005,63.6
East Asia,2010,69.7
East Asia,2015,73.8
Eastern Europe,1990,61.7
Eastern Europe,1995,58.2
Eastern Europe,2000,60.4
Eastern Europe,2005,63.4
Eastern Europe,2010,68.9
Eastern Europe,2015,71.9
Eastern Sub-Saharan Africa,1990,29.6
Eastern Sub-Saharan Africa,1995,31.2
Eastern Sub-Saharan Africa,2000,33.8
Eastern Sub-Saharan Africa,2005,37.5
Eastern Sub-Saharan Africa,2010,40.5
Eastern Sub-Saharan Africa,2015,42.4
Ecuador,1990,45.4
Ecuador,1995,48.7
Ecuador,2000,53.5
Ecuador,2005,56.1
Ecuador,2010,58.6
Ecuador,2015,61.2
Egypt,1990,45
Egypt,1995,49.3
Egypt,2000,54.4
Egypt,2005,56.9
Egypt,2010,58.2
Egypt,2015,61
El Salvador,1990,44.3
El Salvador,1995,49
El Salvador,2000,55.3
El Salvador,2005,59.6
El Salvador,2010,62.2
El Salvador,2015,64.4
Equatorial Guinea,1990,26.1
Equatorial Guinea,1995,27.5
Equatorial Guinea,2000,35.4
Equatorial Guinea,2005,42.9
Equatorial Guinea,2010,45.6
Equatorial Guinea,2015,48.4
Eritrea,1990,28.9
Eritrea,1995,35.3
Eritrea,2000,38
Eritrea,2005,38.8
Eritrea,2010,37.8
Eritrea,2015,38.1
Estonia,1990,65.8
Estonia,1995,62.5
Estonia,2000,67.4
Estonia,2005,71.4
Estonia,2010,77.5
Estonia,2015,81.4
Ethiopia,1990,23.1
Ethiopia,1995,26.8
Ethiopia,2000,30.6
Ethiopia,2005,34.9
Ethiopia,2010,40.4
Ethiopia,2015,44.2
Fiji,1990,43.9
Fiji,1995,44.1
Fiji,2000,44.7
Fiji,2005,45
Fiji,2010,45.4
Fiji,2015,46.6
Finland,1990,75.4
Finland,1995,78.8
Finland,2000,82
Finland,2005,84.5
Finland,2010,87.2
Finland,2015,89.6
France,1990,74.3
France,1995,77.5
France,2000,80.3
France,2005,84.2
France,2010,85.7
France,2015,87.9
Gabon,1990,39.1
Gabon,1995,40.1
Gabon,2000,41.8
Gabon,2005,44.1
Gabon,2010,48.4
Gabon,2015,51.4
Gambia,1990,41.3
Gambia,1995,42.4
Gambia,2000,43.3
Gambia,2005,45.6
Gambia,2010,47.7
Gambia,2015,49.7
Georgia,1990,58.4
Georgia,1995,60.2
Georgia,2000,60.9
Georgia,2005,60.7
Georgia,2010,60.8
Georgia,2015,62.1
Germany,1990,73.1
Germany,1995,77.1
Germany,2000,80.6
Germany,2005,83.2
Germany,2010,84.9
Germany,2015,86.4
Ghana,1990,34.8
Ghana,1995,38.5
Ghana,2000,40.3
Ghana,2005,44.2
Ghana,2010,47.3
Ghana,2015,49.7
Greece,1990,76.5
Greece,1995,79.5
Greece,2000,82.2
Greece,2005,84.4
Greece,2010,85.2
Greece,2015,87
Greenland,1990,59
Greenland,1995,62.3
Greenland,2000,64.3
Greenland,2005,65.8
Greenland,2010,68.1
Greenland,2015,71
Grenada,1990,49.4
Grenada,1995,52.8
Grenada,2000,54
Grenada,2005,55.1
Grenada,2010,57
Grenada,2015,58.3
Guam,1990,61.5
Guam,1995,63.6
Guam,2000,67
Guam,2005,66.4
Guam,2010,63.7
Guam,2015,63.4
Guatemala,1990,40.1
Guatemala,1995,44.4
Guatemala,2000,48.7
Guatemala,2005,51.3
Guatemala,2010,53.2
Guatemala,2015,55.7
Guinea,1990,32.6
Guinea,1995,33.6
Guinea,2000,34
Guinea,2005,37
Guinea,2010,37.6
Guinea,2015,38.6
Guinea-Bissau,1990,32.7
Guinea-Bissau,1995,33.1
Guinea-Bissau,2000,33.6
Guinea-Bissau,2005,33.3
Guinea-Bissau,2010,35.1
Guinea-Bissau,2015,36.3
Guyana,1990,39.3
Guyana,1995,41.3
Guyana,2000,42.5
Guyana,2005,44.7
Guyana,2010,47
Guyana,2015,49.8
Haiti,1990,24.9
Haiti,1995,29.2
Haiti,2000,32.7
Haiti,2005,34.8
Haiti,2010,35.9
Haiti,2015,38.5
High-income,1990,71.1
High-income,1995,74.6
High-income,2000,77.2
High-income,2005,79.6
High-income,2010,81.6
High-income,2015,83.1
High-income Asia Pacific,1990,72.6
High-income Asia Pacific,1995,77.2
High-income Asia Pacific,2000,79.8
High-income Asia Pacific,2005,83.3
High-income Asia Pacific,2010,86
High-income Asia Pacific,2015,87.4
High-income North America,1990,74
High-income North America,1995,76.3
High-income North America,2000,78.1
High-income North America,2005,79.2
High-income North America,2010,80.9
High-income North America,2015,81.8
Honduras,1990,42.3
Honduras,1995,45.7
Honduras,2000,47.6
Honduras,2005,49.5
Honduras,2010,51.8
Honduras,2015,53.9
Hungary,1990,64.6
Hungary,1995,67.2
Hungary,2000,71
Hungary,2005,73.7
Hungary,2010,76.1
Hungary,2015,79.6
Iceland,1990,81.9
Iceland,1995,84.2
Iceland,2000,87.1
Iceland,2005,89.8
Iceland,2010,92.1
Iceland,2015,93.6
India,1990,30.7
India,1995,33.1
India,2000,35.3
India,2005,38.2
India,2010,41.2
India,2015,44.8
Indonesia,1990,37.2
Indonesia,1995,39.7
Indonesia,2000,41.3
Indonesia,2005,43.8
Indonesia,2010,46.8
Indonesia,2015,49.2
Iran,1990,54.6
Iran,1995,59.6
Iran,2000,63.5
Iran,2005,65.7
Iran,2010,68.9
Iran,2015,71.1
Iraq,1990,51.1
Iraq,1995,50.7
Iraq,2000,51.8
Iraq,2005,54.4
Iraq,2010,57.2
Iraq,2015,60.1
Ireland,1990,75.6
Ireland,1995,78.4
Ireland,2000,79.6
Ireland,2005,83.5
Ireland,2010,86
Ireland,2015,88.4
Israel,1990,71.3
Israel,1995,74.3
Israel,2000,77.5
Israel,2005,80.3
Israel,2010,83.7
Israel,2015,85.5
Italy,1990,76.2
Italy,1995,79.1
Italy,2000,82.5
Italy,2005,85.5
Italy,2010,87.5
Italy,2015,88.7
Jamaica,1990,55
Jamaica,1995,58
Jamaica,2000,59.5
Jamaica,2005,62.2
Jamaica,2010,62.9
Jamaica,2015,63.7
Japan,1990,78.3
Japan,1995,80.7
Japan,2000,82.9
Japan,2005,85.6
Japan,2010,87.8
Japan,2015,89
Jordan,1990,59.1
Jordan,1995,62
Jordan,2000,65
Jordan,2005,68.4
Jordan,2010,74.3
Jordan,2015,76.5
Kazakhstan,1990,55.1
Kazakhstan,1995,49.9
Kazakhstan,2000,51.3
Kazakhstan,2005,51.9
Kazakhstan,2010,57.9
Kazakhstan,2015,61.1
Kenya,1990,42.6
Kenya,1995,42.3
Kenya,2000,44
Kenya,2005,46.4
Kenya,2010,47.5
Kenya,2015,48.7
Kiribati,1990,35.4
Kiribati,1995,36.5
Kiribati,2000,39.7
Kiribati,2005,41.1
Kiribati,2010,43.6
Kiribati,2015,44.9
Kuwait,1990,71.7
Kuwait,1995,71.4
Kuwait,2000,74.9
Kuwait,2005,75.7
Kuwait,2010,77.7
Kuwait,2015,82
Kyrgyzstan,1990,52.5
Kyrgyzstan,1995,51.7
Kyrgyzstan,2000,52.4
Kyrgyzstan,2005,54.6
Kyrgyzstan,2010,57.7
Kyrgyzstan,2015,60.4
Laos,1990,23.8
Laos,1995,25.7
Laos,2000,28.7
Laos,2005,33.6
Laos,2010,39.6
Laos,2015,44.9
Latin America and Caribbean,1990,46.5
Latin America and Caribbean,1995,50.8
Latin America and Caribbean,2000,54.6
Latin America and Caribbean,2005,57.4
Latin America and Caribbean,2010,59.6
Latin America and Caribbean,2015,61.9
Latvia,1990,65.7
Latvia,1995,62.4
Latvia,2000,68.7
Latvia,2005,70.7
Latvia,2010,74.4
Latvia,2015,77.7
Lebanon,1990,58.7
Lebanon,1995,63.4
Lebanon,2000,68.5
Lebanon,2005,73.1
Lebanon,2010,77
Lebanon,2015,80
Lesotho,1990,40.8
Lesotho,1995,41.8
Lesotho,2000,39.4
Lesotho,2005,33.2
Lesotho,2010,34.4
Lesotho,2015,35.7
Liberia,1990,34.7
Liberia,1995,37.1
Liberia,2000,39.5
Liberia,2005,41.7
Liberia,2010,43.2
Liberia,2015,45.4
Libya,1990,60
Libya,1995,63.7
Libya,2000,65.4
Libya,2005,67.1
Libya,2010,69.7
Libya,2015,69.9
Lithuania,1990,67
Lithuania,1995,64.2
Lithuania,2000,69.6
Lithuania,2005,70.2
Lithuania,2010,73.6
Lithuania,2015,76.6
Luxembourg,1990,74.5
Luxembourg,1995,78.8
Luxembourg,2000,82.2
Luxembourg,2005,84.9
Luxembourg,2010,87.5
Luxembourg,2015,89.3
Macedonia,1990,61.9
Macedonia,1995,63.4
Macedonia,2000,67
Macedonia,2005,69.9
Macedonia,2010,74.2
Macedonia,2015,76
Madagascar,1990,34.8
Madagascar,1995,36.5
Madagascar,2000,38.7
Madagascar,2005,41.6
Madagascar,2010,42.5
Madagascar,2015,43.7
Malawi,1990,34.7
Malawi,1995,35.4
Malawi,2000,36.5
Malawi,2005,40.6
Malawi,2010,44.3
Malawi,2015,47
Malaysia,1990,54.2
Malaysia,1995,57.2
Malaysia,2000,60.3
Malaysia,2005,63.2
Malaysia,2010,63.9
Malaysia,2015,66.6
Maldives,1990,45.9
Maldives,1995,51.6
Maldives,2000,59.3
Maldives,2005,67.1
Maldives,2010,72.9
Maldives,2015,75.5
Mali,1990,32.7
Mali,1995,33.8
Mali,2000,37.7
Mali,2005,43.5
Mali,2010,44.4
Mali,2015,45.6
Malta,1990,74.7
Malta,1995,76.8
Malta,2000,78.9
Malta,2005,81.4
Malta,2010,82.9
Malta,2015,85.1
Marshall Islands,1990,41.2
Marshall Islands,1995,43.2
Marshall Islands,2000,43.2
Marshall Islands,2005,44.3
Marshall Islands,2010,46.8
Marshall Islands,2015,49.8
Mauritania,1990,37.3
Mauritania,1995,38.9
Mauritania,2000,42.9
Mauritania,2005,46.9
Mauritania,2010,49.6
Mauritania,2015,52
Mauritius,1990,53.6
Mauritius,1995,57.3
Mauritius,2000,59.8
Mauritius,2005,61.8
Mauritius,2010,63.3
Mauritius,2015,65.7
Mexico,1990,49.2
Mexico,1995,54.1
Mexico,2000,57.4
Mexico,2005,59.1
Mexico,2010,60.5
Mexico,2015,62.6
Micronesia (country),1990,41.1
Micronesia (country),1995,43.6
Micronesia (country),2000,46.8
Micronesia (country),2005,49.8
Micronesia (country),2010,51.5
Micronesia (country),2015,53.8
Moldova,1990,59.6
Moldova,1995,56
Moldova,2000,60.8
Moldova,2005,64.8
Moldova,2010,66.8
Moldova,2015,73.1
Mongolia,1990,42.3
Mongolia,1995,42.1
Mongolia,2000,44.7
Mongolia,2005,50.9
Mongolia,2010,54.9
Mongolia,2015,58.5
Montenegro,1990,70.2
Montenegro,1995,70.2
Montenegro,2000,69.9
Montenegro,2005,74.4
Montenegro,2010,78.2
Montenegro,2015,80.7
Morocco,1990,44
Morocco,1995,47.8
Morocco,2000,52.6
Morocco,2005,55.6
Morocco,2010,58.7
Morocco,2015,61.3
Mozambique,1990,33.2
Mozambique,1995,35.1
Mozambique,2000,36.4
Mozambique,2005,39.6
Mozambique,2010,40.9
Mozambique,2015,43
Myanmar,1990,29.7
Myanmar,1995,31.6
Myanmar,2000,34.7
Myanmar,2005,39.5
Myanmar,2010,44.4
Myanmar,2015,48.4
Namibia,1990,41.8
Namibia,1995,41.9
Namibia,2000,39.9
Namibia,2005,43.5
Namibia,2010,50.4
Namibia,2015,53.7
Nepal,1990,34
Nepal,1995,37.1
Nepal,2000,41.6
Nepal,2005,45.7
Nepal,2010,48.2
Nepal,2015,50.8
Netherlands,1990,79.2
Netherlands,1995,80.8
Netherlands,2000,82.1
Netherlands,2005,85.1
Netherlands,2010,88.2
Netherlands,2015,89.5
New Zealand,1990,74.2
New Zealand,1995,77.6
New Zealand,2000,80
New Zealand,2005,82.5
New Zealand,2010,84.2
New Zealand,2015,86.2
Nicaragua,1990,49.7
Nicaragua,1995,51.7
Nicaragua,2000,55.5
Nicaragua,2005,58.8
Nicaragua,2010,61.8
Nicaragua,2015,64.3
Niger,1990,31.8
Niger,1995,33.1
Niger,2000,34.6
Niger,2005,37.7
Niger,2010,40.3
Niger,2015,41
Nigeria,1990,38.3
Nigeria,1995,39.7
Nigeria,2000,40.6
Nigeria,2005,43.1
Nigeria,2010,48.8
Nigeria,2015,51.3
North Africa and Middle East,1990,43.8
North Africa and Middle East,1995,46.5
North Africa and Middle East,2000,49.9
North Africa and Middle East,2005,52.8
North Africa and Middle East,2010,55.7
North Africa and Middle East,2015,58.4
North Korea,1990,53.1
North Korea,1995,55.8
North Korea,2000,56
North Korea,2005,57.5
North Korea,2010,60.4
North Korea,2015,62.3
Northern Mariana Islands,1990,60.5
Northern Mariana Islands,1995,65.5
Northern Mariana Islands,2000,68.9
Northern Mariana Islands,2005,71.4
Northern Mariana Islands,2010,72.7
Northern Mariana Islands,2015,71.8
Norway,1990,77.5
Norway,1995,81
Norway,2000,82.8
Norway,2005,85.9
Norway,2010,88
Norway,2015,90.5
Oceania,1990,33.8
Oceania,1995,34.8
Oceania,2000,35.4
Oceania,2005,36.1
Oceania,2010,37.7
Oceania,2015,40.3
Oman,1990,66.1
Oman,1995,71.4
Oman,2000,74.4
Oman,2005,76.2
Oman,2010,72.9
Oman,2015,77.1
Pakistan,1990,36.5
Pakistan,1995,35.6
Pakistan,2000,36.3
Pakistan,2005,38.1
Pakistan,2010,41.2
Pakistan,2015,43.1
Palestine,1990,61.8
Palestine,1995,65.6
Palestine,2000,68.3
Palestine,2005,68.7
Palestine,2010,69
Palestine,2015,70.5
Panama,1990,52.9
Panama,1995,56.7
Panama,2000,59.8
Panama,2005,61.3
Panama,2010,62.2
Panama,2015,64.4
Papua New Guinea,1990,32
Papua New Guinea,1995,33
Papua New Guinea,2000,33.4
Papua New Guinea,2005,34
Papua New Guinea,2010,35.8
Papua New Guinea,2015,38.6
Paraguay,1990,53
Paraguay,1995,55.1
Paraguay,2000,56.6
Paraguay,2005,57.4
Paraguay,2010,58.6
Paraguay,2015,60.4
Peru,1990,45.9
Peru,1995,49.8
Peru,2000,57.1
Peru,2005,62.7
Peru,2010,65.9
Peru,2015,69.6
Philippines,1990,45
Philippines,1995,46.1
Philippines,2000,47.5
Philippines,2005,47.6
Philippines,2010,49.6
Philippines,2015,52
Poland,1990,62.1
Poland,1995,65.4
Poland,2000,70.8
Poland,2005,73.8
Poland,2010,76.3
Poland,2015,79.6
Portugal,1990,67.2
Portugal,1995,71.5
Portugal,2000,74.7
Portugal,2005,79.7
Portugal,2010,81.9
Portugal,2015,84.5
Puerto Rico,1990,64.5
Puerto Rico,1995,66.1
Puerto Rico,2000,69.8
Puerto Rico,2005,72.6
Puerto Rico,2010,74
Puerto Rico,2015,76.6
Qatar,1990,70.8
Qatar,1995,71.3
Qatar,2000,73.1
Qatar,2005,77.5
Qatar,2010,83.1
Qatar,2015,85.2
Romania,1990,58.3
Romania,1995,60
Romania,2000,64.2
Romania,2005,67.2
Romania,2010,71.1
Romania,2015,74.4
Russia,1990,61.4
Russia,1995,57.6
Russia,2000,59.7
Russia,2005,62.9
Russia,2010,68.5
Russia,2015,71.7
Rwanda,1990,29.9
Rwanda,1995,23.3
Rwanda,2000,30.4
Rwanda,2005,42.6
Rwanda,2010,47
Rwanda,2015,47.8
Saint Lucia,1990,49.7
Saint Lucia,1995,53
Saint Lucia,2000,56
Saint Lucia,2005,58.5
Saint Lucia,2010,61.1
Saint Lucia,2015,62.5
Saint Vincent and the Grenadines,1990,50.4
Saint Vincent and the Grenadines,1995,51.4
Saint Vincent and the Grenadines,2000,53
Saint Vincent and the Grenadines,2005,55.2
Saint Vincent and the Grenadines,2010,56.7
Saint Vincent and the Grenadines,2015,57.5
Samoa,1990,50.9
Samoa,1995,53.6
Samoa,2000,56.5
Samoa,2005,58.6
Samoa,2010,60.7
Samoa,2015,62.1
Sao Tome and Principe,1990,41.3
Sao Tome and Principe,1995,41.9
Sao Tome and Principe,2000,42.8
Sao Tome and Principe,2005,44
Sao Tome and Principe,2010,47.3
Sao Tome and Principe,2015,49.6
Saudi Arabia,1990,63.4
Saudi Arabia,1995,66.8
Saudi Arabia,2000,71.2
Saudi Arabia,2005,74.2
Saudi Arabia,2010,77
Saudi Arabia,2015,79.4
Senegal,1990,37.6
Senegal,1995,38.1
Senegal,2000,38.9
Senegal,2005,41.5
Senegal,2010,42.9
Senegal,2015,44.4
Serbia,1990,64.2
Serbia,1995,64.4
Serbia,2000,66.6
Serbia,2005,69.4
Serbia,2010,73.1
Serbia,2015,75.4
Seychelles,1990,50.7
Seychelles,1995,55.1
Seychelles,2000,58.5
Seychelles,2005,61.1
Seychelles,2010,63.9
Seychelles,2015,66.1
Sierra Leone,1990,37.6
Sierra Leone,1995,37.2
Sierra Leone,2000,35.4
Sierra Leone,2005,36.1
Sierra Leone,2010,38.2
Sierra Leone,2015,41.3
Singapore,1990,67.4
Singapore,1995,72.8
Singapore,2000,77.3
Singapore,2005,80.8
Singapore,2010,84.2
Singapore,2015,86.3
Slovakia,1990,66.6
Slovakia,1995,69.4
Slovakia,2000,70.8
Slovakia,2005,72.2
Slovakia,2010,74.9
Slovakia,2015,78.6
Slovenia,1990,71.2
Slovenia,1995,72.8
Slovenia,2000,76.4
Slovenia,2005,79.8
Slovenia,2010,84.3
Slovenia,2015,87.4
Solomon Islands,1990,33.4
Solomon Islands,1995,35.7
Solomon Islands,2000,38.3
Solomon Islands,2005,38
Solomon Islands,2010,40.1
Solomon Islands,2015,43.1
Somalia,1990,29.1
Somalia,1995,29.3
Somalia,2000,30.1
Somalia,2005,31.8
Somalia,2010,33.3
Somalia,2015,34.2
South Africa,1990,45.6
South Africa,1995,47.9
South Africa,2000,44.8
South Africa,2005,45.2
South Africa,2010,49.4
South Africa,2015,52
South Asia,1990,30.7
South Asia,1995,32.9
South Asia,2000,35.1
South Asia,2005,38.1
South Asia,2010,41.1
South Asia,2015,44.4
South Korea,1990,61.7
South Korea,1995,70.5
South Korea,2000,74.6
South Korea,2005,80.4
South Korea,2010,83.9
South Korea,2015,85.8
South Sudan,1990,33.4
South Sudan,1995,34.7
South Sudan,2000,37.5
South Sudan,2005,39
South Sudan,2010,38.8
South Sudan,2015,38.8
Southeast Asia,1990,38.6
Southeast Asia,1995,40.9
Southeast Asia,2000,43
Southeast Asia,2005,46
Southeast Asia,2010,49.4
Southeast Asia,2015,52.1
"Southeast Asia, East Asia, and Oceania",1990,44.8
