Entity,Year,World Region according to the World Bank
Dominican Republic,2017,Latin America and Caribbean
Ecuador,2017,Latin America and Caribbean
Egypt,2017,Middle East and North Africa
El Salvador,2017,Latin America and Caribbean
Equatorial Guinea,2017,Sub-Saharan Africa
Eritrea,2017,Sub-Saharan Africa
Estonia,2017,Europe and Central Asia
Ethiopia,2017,Sub-Saharan Africa
Faeroe Islands,2017,Europe and Central Asia
Fiji,2017,East Asia and Pacific
Finland,2017,Europe and Central Asia
France,2017,Europe and Central Asia
French Polynesia,2017,East Asia and Pacific
Gabon,2017,Sub-Saharan Africa
Gambia,2017,Sub-Saharan Africa
Georgia,2017,Europe and Central Asia
Germany,2017,Europe and Central Asia
Ghana,2017,Sub-Saharan Africa
Gibraltar,2017,Europe and Central Asia
Greece,2017,Europe and Central Asia
Greenland,2017,Europe and Central Asia
Grenada,2017,Latin America and Caribbean
Guam,2017,East Asia and Pacific
Guatemala,2017,Latin America and Caribbean
Guinea,2017,Sub-Saharan Africa
Guinea-Bissau,2017,Sub-Saharan Africa
Guyana,2017,Latin America and Caribbean
Haiti,2017,Latin America and Caribbean
Honduras,2017,Latin America and Caribbean
Hong Kong,2017,East Asia and Pacific
Hungary,2017,Europe and Central Asia
Iceland,2017,Europe and Central Asia
India,2017,South Asia
Indonesia,2017,East Asia and Pacific
Iran,2017,Middle East and North Africa
Iraq,2017,Middle East and North Africa
Ireland,2017,Europe and Central Asia
Isle of Man,2017,Europe and Central Asia
Israel,2017,Middle East and North Africa
Italy,2017,Europe and Central Asia
Jamaica,2017,Latin America and Caribbean
Japan,2017,East Asia and Pacific
Jordan,2017,Middle East and North Africa
Kazakhstan,2017,Europe and Central Asia
Kenya,2017,Sub-Saharan Africa
Kiribati,2017,East Asia and Pacific
Kosovo,2017,Europe and Central Asia
Kuwait,2017,Middle East and North Africa
Kyrgyzstan,2017,Europe and Central Asia
Laos,2017,East Asia and Pacific
Latvia,2017,Europe and Central Asia
Lebanon,2017,Middle East and North Africa
Lesotho,2017,Sub-Saharan Africa
Liberia,2017,Sub-Saharan Africa
Libya,2017,Middle East and North Africa
Liechtenstein,2017,Europe and Central Asia
Lithuania,2017,Europe and Central Asia
Luxembourg,2017,Europe and Central Asia
Macao,2017,East Asia and Pacific
Macedonia,2017,Europe and Central Asia
Madagascar,2017,Sub-Saharan Africa
Malawi,2017,Sub-Saharan Africa
Malaysia,2017,East Asia and Pacific
Maldives,2017,South Asia
Mali,2017,Sub-Saharan Africa
Malta,2017,Middle East and North Africa
Marshall Islands,2017,East Asia and Pacific
Mauritania,2017,Sub-Saharan Africa
Mauritius,2017,Sub-Saharan Africa
Mexico,2017,Latin America and Caribbean
Micronesia,2017,East Asia and Pacific
Moldova,2017,Europe and Central Asia
Monaco,2017,Europe and Central Asia
Mongolia,2017,East Asia and Pacific
Montenegro,2017,Europe and Central Asia
Morocco,2017,Middle East and North Africa
Mozambique,2017,Sub-Saharan Africa
Myanmar,2017,East Asia and Pacific
Namibia,2017,Sub-Saharan Africa
Nauru,2017,East Asia and Pacific
Nepal,2017,South Asia
Netherlands,2017,Europe and Central Asia
New Caledonia,2017,East Asia and Pacific
New Zealand,2017,East Asia and Pacific
Nicaragua,2017,Latin America and Caribbean
Niger,2017,Sub-Saharan Africa
Nigeria,2017,Sub-Saharan Africa
North Korea,2017,East Asia and Pacific
Northern Mariana Islands,2017,East Asia and Pacific
Norway,2017,Europe and Central Asia
Oman,2017,Middle East and North Africa
Pakistan,2017,South Asia
Palau,2017,East Asia and Pacific
Palestine,2017,Middle East and North Africa
Panama,2017,Latin America and Caribbean
Papua New Guinea,2017,East Asia and Pacific
Paraguay,2017,Latin America and Caribbean
Peru,2017,Latin America and Caribbean
Philippines,2017,East Asia and Pacific
Poland,2017,Europe and Central Asia
Portugal,2017,Europe and Central Asia
Puerto Rico,2017,Latin America and Caribbean
Qatar,2017,Middle East and North Africa
Romania,2017,Europe and Central Asia
Russia,2017,Europe and Central Asia
Rwanda,2017,Sub-Saharan Africa
Saint Kitts and Nevis,2017,Latin America and Caribbean
Saint Lucia,2017,Latin America and Caribbean
Saint Martin (French part),2017,Latin America and Caribbean
Saint Vincent and the Grenadines,2017,Latin America and Caribbean
Samoa,2017,East Asia and Pacific
San Marino,2017,Europe and Central Asia
Sao Tome and Principe,2017,Sub-Saharan Africa
Saudi Arabia,2017,Middle East and North Africa
Senegal,2017,Sub-Saharan Africa
Serbia,2017,Europe and Central Asia
Seychelles,2017,Sub-Saharan Africa
Sierra Leone,2017,Sub-Saharan Africa
Singapore,2017,East Asia and Pacific
Sint Maarten (Dutch part),2017,Latin America and Caribbean
Slovakia,2017,Europe and Central Asia
Slovenia,2017,Europe and Central Asia
Solomon Islands,2017,East Asia and Pacific
Somalia,2017,Sub-Saharan Africa
South Africa,2017,Sub-Saharan Africa
South Korea,2017,East Asia and Pacific
South Sudan,2017,Sub-Saharan Africa
Spain,2017,Europe and Central Asia
Sri Lanka,2017,South Asia
Sudan,2017,Sub-Saharan Africa
Suriname,2017,Latin America and Caribbean
Swaziland,2017,Sub-Saharan Africa
Sweden,2017,Europe and Central Asia
Switzerland,2017,Europe and Central Asia
Syria,2017,Middle East and North Africa
Tajikistan,2017,Europe and Central Asia
Tanzania,2017,Sub-Saharan Africa
Thailand,2017,East Asia and Pacific
Timor,2017,East Asia and Pacific
Togo,2017,Sub-Saharan Africa
Tonga,2017,East Asia and Pacific
Trinidad and Tobago,2017,Latin America and Caribbean
Tunisia,2017,Middle East and North Africa
Turkey,2017,Europe and Central Asia
Turkmenistan,2017,Europe and Central Asia
Turks and Caicos Islands,2017,Latin America and Caribbean
Tuvalu,2017,East Asia and Pacific
Uganda,2017,Sub-Saharan Africa
Ukraine,2017,Europe and Central Asia
United Arab Emirates,2017,Middle East and North Africa
United Kingdom,2017,Europe and Central Asia
United States,2017,North America
United States Virgin Islands,2017,Latin America and Caribbean
Uruguay,2017,Latin America and Caribbean
Uzbekistan,2017,Europe and Central Asia
Vanuatu,2017,East Asia and Pacific
Venezuela,2017,Latin America and Caribbean
Vietnam,2017,East Asia and Pacific
Yemen,2017,Middle East and North Africa
Zambia,2017,Sub-Saharan Africa
Zimbabwe,2017,Sub-Saharan Africa
