Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male,crude_death_rate_per_100k_both_sexes,crude_death_rate_per_100k_female,crude_death_rate_per_100k_male
Antigua and Barbuda,1993,3.28,3.32,3.29,3.04,2.93,3.16
Antigua and Barbuda,1994,5.12,0.0,11.31,4.46,0.0,9.31
Antigua and Barbuda,1995,11.8,3.35,21.33,8.74,2.79,15.25
Antigua and Barbuda,1998,3.4,0.0,7.61,2.73,0.0,5.79
Antigua and Barbuda,1999,12.06,7.31,17.96,9.37,5.06,14.23
Antigua and Barbuda,2000,6.96,6.43,7.59,5.26,4.96,5.6
Antigua and Barbuda,2001,2.92,2.96,2.91,2.59,2.44,2.76
Antigua and Barbuda,2002,1.65,2.97,0.0,1.28,2.41,0.0
Antigua and Barbuda,2003,7.52,2.18,14.02,6.31,2.39,10.69
Antigua and Barbuda,2004,3.27,3.11,3.57,2.49,2.36,2.63
Antigua and Barbuda,2005,5.65,2.79,8.77,4.91,2.33,7.77
Antigua and Barbuda,2006,4.88,2.52,8.19,4.84,2.3,7.63
Antigua and Barbuda,2007,8.76,6.59,11.28,8.33,6.82,10.0
Antigua and Barbuda,2008,4.81,4.58,5.05,4.68,4.48,4.91
Antigua and Barbuda,2009,13.12,3.85,23.53,12.68,4.42,21.72
Antigua and Barbuda,2012,9.37,2.2,18.12,8.85,2.13,16.14
Antigua and Barbuda,2013,3.28,2.23,4.64,3.28,2.1,4.55
Antigua and Barbuda,2014,3.05,4.11,1.89,3.24,4.16,2.25
Antigua and Barbuda,2015,1.92,0.0,4.36,2.14,0.0,4.44
Antigua and Barbuda,2016,8.88,1.91,16.83,9.52,2.04,17.58
Antigua and Barbuda,2017,4.93,1.93,8.37,5.24,2.02,8.7
Argentina,1966,24.5,5.67,44.43,21.94,5.07,38.53
Argentina,1967,27.83,6.15,50.98,25.27,5.58,44.69
Argentina,1968,29.05,7.43,52.27,26.68,6.83,46.29
Argentina,1969,28.97,7.06,52.59,27.04,6.62,47.26
Argentina,1970,28.31,6.64,52.6,26.26,6.31,46.47
Argentina,1977,25.21,6.26,46.37,25.04,6.44,43.61
Argentina,1978,25.49,6.35,47.01,25.31,6.59,44.05
Argentina,1979,25.02,6.13,46.25,24.77,6.27,43.32
Argentina,1980,25.36,5.95,48.43,24.85,6.27,44.02
Argentina,1981,26.39,6.34,49.64,25.93,6.64,45.42
Argentina,1982,23.11,6.17,42.52,24.43,6.94,42.0
Argentina,1983,24.06,6.27,44.43,25.35,7.04,43.74
Argentina,1984,24.27,6.66,45.2,24.26,7.23,41.55
Argentina,1985,23.73,6.16,44.69,23.83,6.63,41.29
Argentina,1986,23.24,6.13,43.59,23.26,6.61,40.18
Argentina,1987,24.51,6.43,46.12,24.43,6.93,42.2
Argentina,1988,23.73,6.84,44.15,24.21,7.58,41.16
Argentina,1989,23.37,6.67,43.57,23.91,7.45,40.69
Argentina,1990,22.44,6.62,41.63,23.14,7.4,39.2
Argentina,1991,23.71,7.17,44.36,24.11,8.01,40.8
Argentina,1992,22.86,7.05,42.6,23.38,7.92,39.43
Argentina,1993,22.77,7.21,42.34,23.57,8.14,39.59
Argentina,1994,22.93,7.36,42.55,23.59,8.38,39.39
Argentina,1995,22.28,7.23,41.49,23.02,8.3,38.3
Argentina,1996,22.41,7.4,41.65,23.31,8.53,38.66
Argentina,1997,22.16,7.33,40.57,23.21,8.53,38.11
Argentina,1998,22.35,8.03,40.71,23.52,9.45,38.39
Argentina,1999,22.36,8.03,40.84,23.6,9.48,38.57
Argentina,2000,21.45,7.66,39.49,22.81,9.05,37.39
Argentina,2001,20.47,7.89,36.77,21.94,9.38,35.21
Argentina,2002,20.3,8.04,36.11,21.79,9.55,34.75
Argentina,2003,20.36,8.25,36.06,21.99,9.78,34.91
Argentina,2004,20.23,8.71,35.18,22.01,10.43,34.25
Argentina,2005,19.96,8.71,34.58,21.84,10.51,33.82
Argentina,2006,20.35,9.1,35.04,22.52,11.09,34.58
Argentina,2007,19.89,9.1,33.99,22.18,11.16,33.78
Argentina,2008,19.75,9.33,33.33,22.16,11.51,33.34
Argentina,2009,19.44,9.49,32.48,22.1,11.95,32.77
Argentina,2010,19.1,9.59,31.72,21.9,12.11,32.21
Argentina,2011,19.32,10.04,31.57,22.27,12.71,32.35
Argentina,2012,18.88,9.99,30.61,21.98,12.79,31.63
Argentina,2013,18.61,10.43,29.42,21.81,13.42,30.61
Argentina,2014,18.36,10.62,28.71,21.79,13.81,30.16
Argentina,2015,18.75,10.69,29.57,22.58,14.18,31.42
Argentina,2016,17.91,10.5,27.84,21.79,14.07,29.91
Argentina,2017,17.64,10.48,27.18,21.65,14.1,29.45
Argentina,2018,16.85,10.11,25.88,20.9,13.8,28.31
Argentina,2019,16.55,10.4,24.76,20.77,14.3,27.4
Armenia,1981,17.48,4.69,35.92,12.9,3.97,22.28
Armenia,1982,18.01,5.5,35.65,13.82,4.93,23.15
Armenia,1985,21.08,6.31,41.22,16.83,5.57,28.6
Armenia,1986,21.81,7.2,40.98,18.21,6.47,30.47
Armenia,1987,20.88,6.28,39.94,17.32,5.46,29.69
Armenia,1988,24.73,7.05,47.72,20.48,5.92,35.65
Armenia,1989,24.05,6.9,46.32,20.45,6.05,35.4
Armenia,1990,26.46,7.4,51.36,23.06,6.74,39.99
Armenia,1991,25.15,6.01,49.99,22.4,5.59,40.25
Armenia,1992,23.89,7.44,45.04,21.9,7.0,37.74
Armenia,1993,21.79,6.69,40.77,20.05,6.34,34.64
Armenia,1994,19.51,5.89,36.68,18.04,5.9,30.98
Armenia,1995,19.32,4.41,37.88,18.75,4.74,33.68
Armenia,1996,19.66,4.45,38.72,19.29,4.52,35.02
Armenia,1997,20.75,4.7,40.69,21.24,5.23,38.25
Armenia,1998,19.92,5.43,38.05,20.13,5.73,35.41
Armenia,1999,20.79,4.98,41.0,20.86,5.42,37.2
Armenia,2000,21.25,6.01,40.77,22.22,7.37,37.92
Armenia,2001,21.64,5.88,42.02,23.02,7.06,39.9
Armenia,2002,24.63,6.74,48.19,27.4,8.21,48.15
Armenia,2003,24.68,6.63,49.22,27.78,7.92,49.19
Armenia,2006,32.71,9.71,63.47,39.72,13.01,69.85
Armenia,2007,31.89,8.54,63.12,39.59,12.08,70.69
Armenia,2008,32.69,10.35,64.3,38.16,13.54,64.39
Armenia,2009,34.23,11.09,65.75,42.03,14.78,73.0
Armenia,2010,31.63,8.81,62.31,39.48,12.21,70.49
Armenia,2011,31.32,9.41,61.25,40.36,13.79,70.56
Armenia,2012,28.96,8.92,56.1,37.23,13.22,63.29
Armenia,2013,26.91,8.18,52.58,35.04,12.13,59.96
Armenia,2014,28.8,7.99,57.37,38.46,12.21,67.09
Armenia,2015,30.04,9.16,59.03,41.34,14.14,71.12
Armenia,2016,28.21,7.71,56.99,39.1,12.43,68.47
Armenia,2017,26.49,9.04,51.12,38.45,14.73,64.86
Armenia,2018,24.14,7.31,48.05,34.35,12.08,59.15
Armenia,2019,27.88,9.32,54.56,40.44,15.1,68.75
Australia,1950,8.75,3.11,14.87,9.23,3.38,14.99
Australia,1951,9.4,3.38,15.9,9.8,3.67,15.8
Australia,1952,10.72,3.41,18.77,11.06,3.64,18.3
Australia,1953,11.55,4.21,19.59,12.01,4.53,19.32
Australia,1954,11.54,3.36,20.6,11.95,3.65,20.06
Australia,1955,12.4,3.31,22.6,12.8,3.63,21.76
Australia,1956,13.35,3.87,23.91,13.8,4.26,23.09
Australia,1957,14.17,3.57,26.07,14.54,3.89,24.93
Australia,1958,14.1,3.67,25.98,14.51,3.97,24.82
Australia,1959,15.29,3.7,28.61,15.69,3.98,27.16
Australia,1960,15.79,3.87,29.56,16.21,4.25,27.93
Australia,1961,17.17,4.0,32.45,17.6,4.37,30.53
Australia,1962,18.41,4.33,34.74,18.93,4.79,32.82
Australia,1963,18.93,4.39,35.97,19.45,4.85,33.8
Australia,1964,20.35,4.94,38.51,20.91,5.38,36.18
Australia,1965,20.54,4.74,39.41,21.12,5.26,36.73
Australia,1966,21.67,5.02,41.74,22.3,5.53,38.84
Australia,1967,22.81,5.74,43.59,23.46,6.35,40.34
Australia,1968,23.46,5.74,45.0,24.09,6.32,41.63
Australia,1969,24.17,5.66,46.75,24.77,6.29,43.01
Australia,1970,25.36,7.18,47.79,25.94,7.87,43.79
Australia,1971,26.26,7.53,49.28,26.7,8.2,45.0
Australia,1972,26.27,7.13,50.06,26.81,7.82,45.6
Australia,1973,27.06,7.82,51.24,27.74,8.63,46.69
Australia,1974,28.17,7.69,53.83,28.98,8.57,49.21
Australia,1975,27.69,7.85,52.37,29.06,8.89,49.06
Australia,1976,28.58,8.58,53.83,30.34,9.73,50.82
Australia,1977,28.62,9.83,52.72,30.74,11.27,50.1
Australia,1978,29.05,9.97,53.22,31.53,11.69,51.29
Australia,1979,29.39,10.3,53.81,32.3,12.13,52.4
Australia,1980,30.79,10.8,56.21,34.19,12.84,55.47
Australia,1981,30.29,10.46,55.47,33.99,12.57,55.49
Australia,1982,30.72,11.55,55.42,34.84,13.96,55.79
Australia,1983,30.95,12.47,54.51,35.33,15.29,55.44
Australia,1984,30.89,12.4,54.62,35.7,15.38,56.11
Australia,1985,30.69,12.65,53.78,35.84,15.85,55.92
Australia,1986,29.82,13.17,51.02,35.5,16.72,54.32
Australia,1987,29.69,12.54,51.36,35.75,16.21,55.34
Australia,1988,30.44,14.1,51.19,36.98,18.36,55.65
Australia,1989,30.72,14.49,51.27,37.52,18.8,56.32
Australia,1990,28.75,14.06,47.27,35.39,18.62,52.25
Australia,1991,29.05,15.03,46.67,36.14,19.93,52.44
Australia,1992,28.83,14.37,46.68,36.37,19.61,53.24
Australia,1993,28.12,14.97,44.42,35.96,20.62,51.41
Australia,1994,29.04,15.3,46.23,37.75,21.23,54.4
Australia,1995,27.71,15.36,43.14,36.55,21.78,51.47
Australia,1996,27.79,15.54,42.99,36.95,21.97,52.08
Australia,1997,26.67,15.43,40.69,36.09,22.2,50.15
Australia,1998,26.26,14.88,40.3,36.14,21.77,50.7
Australia,1999,25.49,14.9,38.52,35.77,22.28,49.44
Australia,2000,25.3,15.79,36.98,36.08,24.02,48.33
Australia,2001,25.12,15.88,36.33,36.27,24.36,48.37
Australia,2002,25.0,16.34,35.51,36.84,25.52,48.32
Australia,2003,23.46,15.52,33.0,35.15,24.81,45.63
Australia,2004,23.85,15.49,33.92,36.07,24.94,47.35
Australia,2006,23.52,16.22,32.46,36.05,26.15,46.09
Australia,2007,23.18,16.6,30.96,36.23,27.5,45.07
Australia,2008,23.33,16.12,31.88,37.01,27.11,47.01
Australia,2009,22.27,16.36,29.32,35.47,27.44,43.57
Australia,2010,22.42,16.61,29.39,36.34,28.28,44.46
Australia,2011,22.13,16.36,28.99,36.33,28.11,44.63
Australia,2012,21.43,16.27,27.54,35.81,28.51,43.16
Australia,2013,21.0,15.64,27.29,35.54,27.74,43.4
Australia,2014,20.56,15.72,26.27,35.11,27.94,42.37
Australia,2015,20.64,16.26,25.8,35.56,29.01,42.21
Australia,2016,19.77,15.31,25.02,34.77,27.79,41.86
Australia,2017,18.79,14.56,23.71,33.6,27.04,40.26
Australia,2018,19.13,15.24,23.6,34.37,28.5,40.33
Australia,2019,18.92,14.89,23.59,34.78,28.4,41.25
Australia,2020,17.47,14.51,20.89,32.92,28.61,37.31
Austria,1955,22.88,5.64,46.24,32.09,8.17,59.64
Austria,1956,24.79,6.92,49.07,35.28,10.27,64.09
Austria,1957,25.49,6.96,50.89,36.55,10.54,66.47
Austria,1958,25.67,7.22,51.36,37.08,10.76,67.34
Austria,1959,25.49,7.06,51.19,37.28,10.94,67.54
Austria,1960,25.75,5.97,53.61,38.33,9.32,71.59
Austria,1961,26.62,6.39,55.34,39.89,10.17,73.96
Austria,1962,25.94,6.9,53.28,39.27,11.04,71.57
Austria,1963,27.04,6.75,56.35,41.08,10.96,75.49
Austria,1964,25.65,6.49,53.35,39.17,10.77,71.57
Austria,1965,27.18,6.58,57.35,41.74,10.79,77.0
Austria,1966,26.99,7.0,56.58,41.74,11.78,75.84
Austria,1967,26.83,6.92,56.44,42.22,11.71,76.9
Austria,1968,27.81,7.27,58.89,43.59,12.13,79.3
Austria,1969,27.08,7.12,57.28,42.32,12.05,76.62
Austria,1970,26.16,6.51,56.04,41.13,11.11,75.11
Austria,1971,26.54,7.42,56.14,41.76,12.87,74.39
Austria,1972,26.99,7.17,57.6,42.53,12.58,76.3
Austria,1973,27.49,7.41,58.76,43.27,12.9,77.49
Austria,1974,27.18,7.93,57.33,42.97,13.89,75.67
Austria,1975,27.08,7.65,57.71,42.74,13.68,75.36
Austria,1976,26.76,7.43,57.28,42.09,13.15,74.53
Austria,1977,27.08,7.67,57.9,42.78,14.33,74.59
Austria,1978,26.59,8.01,56.27,42.42,14.94,73.12
Austria,1979,27.48,8.08,58.39,43.61,15.14,75.37
Austria,1980,27.16,8.35,57.32,43.21,15.65,73.89
Austria,1981,26.65,8.42,55.77,41.95,15.92,70.95
Austria,1982,26.43,9.3,54.28,41.56,16.9,68.98
Austria,1983,26.83,8.97,55.5,41.88,16.31,70.28
Austria,1984,28.41,10.1,57.49,44.04,18.76,72.06
Austria,1985,26.63,9.18,54.35,41.68,17.41,68.53
Austria,1986,26.36,9.14,53.53,40.6,16.49,67.2
Austria,1987,26.86,10.23,53.12,41.72,18.64,67.12
Austria,1988,26.89,10.71,52.29,41.78,19.37,66.37
Austria,1989,26.55,9.75,52.14,41.12,18.01,66.39
Austria,1990,26.56,9.98,51.95,41.4,18.79,66.03
Austria,1991,27.4,10.97,52.22,42.27,20.26,66.13
Austria,1992,26.28,10.62,49.73,40.57,19.8,63.0
Austria,1993,27.3,10.97,51.76,41.82,19.71,65.61
Austria,1994,26.23,11.68,47.64,40.23,21.02,60.87
Austria,1995,25.63,11.02,46.88,39.71,20.25,60.59
Austria,1996,26.18,11.75,47.1,40.72,21.08,61.79
Austria,1997,25.99,12.35,45.47,40.96,22.54,60.71
Austria,1998,26.18,12.28,46.04,41.66,22.4,62.28
Austria,1999,25.38,12.47,43.22,40.63,23.03,59.45
Austria,2000,25.32,13.1,42.13,40.8,23.79,58.97
Austria,2001,24.31,12.12,40.82,39.73,22.59,57.99
Austria,2002,25.41,13.41,42.02,42.3,24.64,61.06
Austria,2003,24.31,12.74,40.04,41.04,23.77,59.36
Austria,2004,24.61,13.67,39.06,41.47,25.44,58.45
Austria,2005,23.86,12.95,38.21,40.7,24.39,57.94
Austria,2006,23.85,13.1,37.83,41.28,24.94,58.52
Austria,2007,23.71,14.74,35.41,41.35,27.8,55.64
Austria,2008,24.36,14.75,36.83,43.36,28.61,58.91
Austria,2009,23.94,14.43,35.96,42.68,27.43,58.75
Austria,2010,24.0,14.98,35.25,43.68,29.52,58.6
Austria,2011,23.36,15.37,33.43,43.14,30.15,56.81
Austria,2012,23.38,15.82,32.92,43.59,31.09,56.72
Austria,2013,22.99,14.87,33.11,43.79,29.99,58.26
Austria,2014,23.74,16.63,32.69,45.74,33.38,58.66
Austria,2015,23.06,16.54,31.2,45.07,33.93,56.66
Austria,2016,23.11,16.86,30.9,45.18,34.51,56.23
Austria,2017,22.1,15.82,29.96,44.05,32.93,55.54
Austria,2018,22.67,16.31,30.36,45.86,34.96,57.12
Austria,2019,21.81,17.0,27.79,44.96,36.54,53.65
Austria,2020,21.49,16.04,28.04,45.39,36.1,54.97
Azerbaijan,1981,17.96,4.92,38.43,11.9,3.87,20.36
Azerbaijan,1982,18.45,5.95,37.75,12.42,4.67,20.59
Azerbaijan,1985,17.07,4.94,35.13,11.92,3.98,20.29
Azerbaijan,1986,19.32,5.38,39.75,13.61,4.36,23.37
Azerbaijan,1987,20.02,6.11,40.46,14.27,4.94,24.09
Azerbaijan,1988,18.97,5.9,37.46,13.8,4.82,23.25
Azerbaijan,1989,17.62,5.22,35.06,12.74,4.2,21.71
Azerbaijan,1990,14.81,4.76,28.79,10.65,3.87,17.77
Azerbaijan,1991,15.71,5.14,30.37,11.28,4.2,18.69
Azerbaijan,1992,16.19,5.19,30.84,11.93,4.26,19.95
Azerbaijan,1993,14.62,4.59,28.03,10.87,3.88,18.15
Azerbaijan,1994,13.17,4.81,24.07,9.89,3.96,16.04
Azerbaijan,1995,12.06,3.42,23.15,9.03,2.96,15.3
Azerbaijan,1996,12.85,3.88,24.36,9.6,3.34,16.05
Azerbaijan,1997,13.34,4.2,25.39,9.77,3.35,16.36
Azerbaijan,1998,11.76,3.74,22.37,8.76,2.94,14.77
Azerbaijan,1999,12.99,4.34,24.77,9.41,3.62,15.41
Azerbaijan,2000,12.07,4.21,21.9,9.13,3.48,15.04
Azerbaijan,2001,12.74,4.39,22.95,9.81,3.67,16.21
Azerbaijan,2002,13.15,5.11,23.17,10.27,4.39,16.38
Azerbaijan,2003,14.03,4.89,25.56,11.04,4.39,17.94
Azerbaijan,2004,13.47,5.0,23.82,10.63,4.4,17.08
Azerbaijan,2007,7.54,2.98,13.08,6.37,2.74,10.11
Bahamas,1972,11.41,6.56,16.96,5.46,3.25,7.72
Bahamas,1975,10.64,11.62,8.59,4.9,5.83,3.96
Bahamas,1979,8.41,4.33,14.1,4.91,2.65,7.21
Bahamas,1980,15.83,0.69,34.89,9.52,0.95,18.2
Bahamas,1981,12.28,1.16,25.4,8.1,0.94,15.38
Bahamas,1984,20.77,9.27,34.66,14.17,6.99,21.52
Bahamas,1985,16.93,10.98,23.95,11.31,7.73,14.99
Bahamas,1987,20.64,14.63,27.24,13.65,10.33,17.03
Bahamas,1993,10.46,5.26,17.08,6.68,3.65,9.83
Bahamas,1994,13.95,4.84,25.21,8.76,3.58,14.12
Bahamas,1995,16.51,7.08,28.17,10.4,4.93,16.07
Bahamas,1996,12.53,5.33,21.66,8.1,4.17,12.15
Bahamas,1997,11.36,3.96,20.92,7.31,2.74,12.04
Bahamas,1998,11.92,5.82,18.77,8.6,4.72,12.65
Bahamas,1999,11.07,7.08,16.23,7.48,5.32,9.75
Bahamas,2000,11.22,7.75,14.97,7.72,5.89,9.64
Bahamas,2001,8.45,5.42,12.52,6.28,4.5,8.15
Bahamas,2002,9.65,1.54,20.33,6.83,1.26,12.71
Bahamas,2003,14.64,6.2,25.6,10.86,4.97,17.09
Bahamas,2004,6.44,1.59,12.49,5.02,1.22,9.04
Bahamas,2005,11.32,6.37,18.27,8.62,5.39,12.04
Bahamas,2006,9.33,5.03,14.84,7.25,4.11,10.58
Bahamas,2007,9.65,4.03,16.27,7.71,3.45,12.22
Bahamas,2008,10.63,4.7,18.42,8.73,3.95,13.8
Bahamas,2009,11.32,7.52,15.99,8.87,6.11,11.8
Bahamas,2010,12.56,7.94,17.98,10.14,6.56,13.95
Bahamas,2011,11.84,5.58,19.75,10.01,4.86,15.49
Bahamas,2012,8.01,4.65,12.49,6.6,4.27,9.08
Bahamas,2013,7.61,5.69,10.23,6.54,5.29,7.86
Bahamas,2014,6.39,3.96,9.24,5.94,3.67,8.34
Bahamas,2015,8.23,4.88,12.23,7.48,4.67,10.46
Bahrain,1985,33.93,17.34,49.25,10.55,5.91,13.7
Bahrain,1987,29.62,11.38,45.38,9.85,4.07,13.93
Bahrain,1988,27.98,14.44,38.01,10.17,5.29,13.67
Bahrain,1997,20.95,5.83,34.83,6.89,1.97,10.56
Bahrain,1998,25.94,13.53,37.44,8.47,5.32,10.83
Bahrain,1999,20.38,10.63,29.7,6.91,4.03,9.07
Bahrain,2000,19.33,12.23,25.54,6.17,4.94,7.08
Bahrain,2001,21.93,7.42,36.16,7.17,2.71,10.43
Bahrain,2002,23.84,6.39,40.45,7.48,2.28,11.22
Bahrain,2003,20.45,12.17,28.51,7.06,4.68,8.74
Bahrain,2004,18.86,10.28,27.12,5.78,3.86,7.1
Bahrain,2005,12.32,10.07,15.2,4.61,4.78,4.5
Bahrain,2006,12.25,7.77,16.8,4.37,3.42,5.0
Bahrain,2007,10.46,5.18,15.84,3.56,2.21,4.43
Bahrain,2008,13.31,10.76,15.55,4.44,4.45,4.43
Bahrain,2009,9.62,6.64,12.36,2.72,2.46,2.87
Bahrain,2010,11.51,6.6,16.68,3.26,2.59,3.66
Bahrain,2011,10.72,6.68,14.77,3.43,2.65,3.91
Bahrain,2012,8.71,4.0,13.47,2.38,1.21,3.1
Bahrain,2013,7.4,5.54,9.79,2.66,2.58,2.71
Bahrain,2014,4.63,1.22,7.68,2.13,0.98,2.85
Barbados,1960,5.84,3.2,9.89,5.15,3.14,7.56
Barbados,1961,7.89,4.98,15.06,6.44,4.71,8.53
Barbados,1962,6.26,5.36,8.6,5.13,4.69,5.65
Barbados,1963,7.72,6.26,10.45,6.33,5.32,7.58
Barbados,1964,6.16,3.56,10.53,4.98,2.99,7.47
Barbados,1966,2.8,0.0,9.01,2.43,0.0,5.4
Barbados,1967,5.37,2.02,13.71,4.42,2.2,7.1
Barbados,1968,5.11,2.63,8.09,4.37,2.89,6.17
Barbados,1969,6.73,5.6,9.39,5.92,5.81,6.06
Barbados,1970,5.75,2.76,10.61,5.47,3.17,8.07
Barbados,1971,6.62,1.38,14.75,6.28,1.58,11.59
Barbados,1972,3.55,0.62,7.27,4.58,0.79,8.87
Barbados,1973,6.83,3.16,11.58,6.58,3.1,10.52
Barbados,1974,8.29,2.56,16.38,8.61,3.09,14.83
Barbados,1975,10.72,6.37,16.66,9.8,6.92,13.04
Barbados,1976,7.94,4.11,12.96,8.08,4.65,11.82
Barbados,1977,6.94,3.64,11.42,6.68,3.76,9.88
Barbados,1978,11.25,4.31,22.03,11.2,4.6,18.43
Barbados,1979,6.32,4.9,8.49,7.17,6.13,8.31
Barbados,1980,9.98,3.88,17.86,9.2,3.99,14.42
Barbados,1981,11.6,4.28,22.73,11.98,4.77,19.25
Barbados,1982,8.81,5.32,14.48,9.6,6.14,13.38
Barbados,1983,8.15,4.05,15.79,7.94,3.04,13.29
Barbados,1984,9.08,1.91,18.74,10.31,3.04,18.24
Barbados,1985,8.88,5.49,13.83,8.7,6.02,11.67
Barbados,1986,9.16,3.39,18.21,9.46,3.75,15.79
Barbados,1987,8.82,5.01,14.95,9.38,5.94,13.2
Barbados,1988,8.37,3.25,15.95,8.17,3.7,13.14
Barbados,1989,8.57,3.76,15.76,11.33,6.02,17.07
Barbados,1990,8.02,1.97,16.84,10.12,3.73,17.07
Barbados,1991,8.18,5.39,12.63,9.3,5.97,12.9
Barbados,1992,10.31,6.23,16.67,13.51,9.63,17.74
Barbados,1993,10.63,3.93,20.56,12.73,5.94,20.05
Barbados,1994,6.61,2.24,13.27,7.7,2.97,12.79
Barbados,1995,7.58,4.11,13.1,9.6,5.19,14.33
Barbados,2000,5.87,2.56,9.71,7.37,2.84,11.5
Barbados,2001,3.79,1.46,6.88,5.14,2.12,8.4
Barbados,2002,5.85,4.94,7.16,6.95,6.33,7.61
Barbados,2003,6.87,3.37,11.6,9.48,4.21,15.18
Barbados,2004,5.29,2.02,9.7,7.27,3.49,11.35
Barbados,2005,6.7,5.05,9.14,9.77,7.66,12.06
Barbados,2006,4.02,0.81,8.17,5.41,1.39,9.76
Barbados,2007,4.42,2.11,7.53,6.46,3.45,9.72
Barbados,2008,4.92,1.9,8.91,7.5,3.43,11.91
Barbados,2009,6.86,4.97,9.08,9.6,7.52,11.86
Barbados,2010,6.56,5.52,7.84,9.57,8.86,10.34
Barbados,2011,6.85,6.56,6.99,11.31,12.24,10.3
Barbados,2012,7.76,4.25,11.81,11.28,6.79,16.14
Barbados,2013,5.86,4.06,7.95,9.5,7.46,11.7
Belarus,1981,17.54,4.25,40.29,20.53,5.91,37.35
Belarus,1982,18.57,4.18,43.21,21.97,5.93,40.4
Belarus,1985,22.5,4.79,51.48,27.1,7.08,50.03
Belarus,1986,22.77,4.76,52.51,27.81,7.13,51.44
Belarus,1987,24.63,5.61,55.21,30.64,8.48,55.92
Belarus,1988,24.59,4.96,56.4,31.15,7.57,57.99
Belarus,1989,26.78,5.19,61.17,33.83,7.92,63.26
Belarus,1990,26.66,5.08,60.75,33.64,7.57,63.19
Belarus,1991,27.34,5.74,61.36,35.4,8.71,65.59
Belarus,1992,28.68,5.62,64.75,37.21,8.57,69.55
Belarus,1993,29.35,5.49,65.86,38.0,8.68,71.07
Belarus,1994,28.7,4.87,65.5,37.56,7.43,71.77
Belarus,1995,29.27,4.9,66.92,38.65,8.01,73.66
