Entity,Year,Share of deaths (Shen et al. 2018),Share of Google searches (Shen et al. 2018),Share of NYT media coverage (Shen et al. 2018),Share of Guardian media coverage (Shen et al. 2018)
Cancer,2002,29.59,,14.42,11.63
Cancer,2003,29.65,,14.58,10.78
Cancer,2004,30.22,36.76,15.14,11.78
Cancer,2005,30.03,38.03,16.74,11.8
Cancer,2006,30.51,38.44,16.59,13.01
Cancer,2007,30.77,38.45,18.47,11.92
Cancer,2008,30.45,38.49,22.13,12.4
Cancer,2009,31.1,38.16,21.85,13.25
Cancer,2010,31.24,37.62,22.81,13.84
Cancer,2011,31.03,36.99,22.71,15.94
Cancer,2012,31.23,37.4,21.8,16.2
Cancer,2013,30.8,37.72,18.59,15.64
Cancer,2014,30.74,37.98,19.95,15.04
Cancer,2015,29.82,36.41,17.37,12.57
Cancer,2016,29.45,36.55,13.47,12.7
Diabetes,1999,3.58,,2.74,1.35
Diabetes,2000,3.64,,3.05,2.12
Diabetes,2001,3.74,,2.32,1.08
Diabetes,2002,3.8,,2.17,1.48
Diabetes,2003,3.85,,2.68,1.9
Diabetes,2004,3.9,10.87,2.8,2.17
Diabetes,2005,3.94,10.99,2.97,1.95
Diabetes,2006,3.85,11.13,3.51,1.73
Diabetes,2007,3.81,10.86,3.69,2.23
Diabetes,2008,3.7,10.4,3.9,1.97
Diabetes,2009,3.68,10.17,3.8,1.52
Diabetes,2010,3.66,10.17,4.19,2.12
Diabetes,2011,3.87,9.83,3.31,2.38
Diabetes,2012,3.86,9.81,4.1,2.53
Diabetes,2013,3.87,9.76,3.66,2.72
Diabetes,2014,3.87,9.71,3.2,2.95
Diabetes,2015,3.87,9.03,2.83,2.34
Diabetes,2016,3.84,8.93,2.39,2.25
Drug overdose,1999,0.63,,0.29,0.13
Drug overdose,2000,0.67,,0.19,0.14
Drug overdose,2001,0.74,,0.13,0.07
Drug overdose,2002,0.91,,0.11,0.14
Drug overdose,2003,1.02,,0.14,0.08
Drug overdose,2004,1.11,2.64,0.18,0.09
Drug overdose,2005,1.24,2.47,0.18,0.12
Drug overdose,2006,1.47,2.29,0.13,0.12
Drug overdose,2007,1.6,2.14,0.23,0.2
Drug overdose,2008,1.64,2.01,0.19,0.22
Drug overdose,2009,1.7,2,0.22,0.19
Drug overdose,2010,1.76,1.83,0.29,0.12
Drug overdose,2011,1.9,1.69,0.31,0.21
Drug overdose,2012,1.9,1.63,0.24,0.07
Drug overdose,2013,1.99,1.46,0.2,0.06
Drug overdose,2014,2.12,1.43,0.33,0.22
Drug overdose,2015,2.31,1.26,0.31,0.17
Drug overdose,2016,2.8,1.27,0.4,0.28
Heart disease,1999,37.81,,3.61,2.91
Heart disease,2000,37.13,,3.14,3.42
Heart disease,2001,36.51,,2.17,1.92
Heart disease,2002,35.99,,2.43,2.2
Heart disease,2003,35.44,,2.37,2.58
Heart disease,2004,34.57,3.6,3.25,3.13
Heart disease,2005,34,3.47,3.65,2.35
Heart disease,2006,33.41,3.3,3.69,2.03
Heart disease,2007,32.69,3.09,3.46,2.35
Heart disease,2008,32.23,2.97,4.02,2.11
Heart disease,2009,31.86,2.78,3.6,1.7
Heart disease,2010,31.5,2.64,3.41,2.03
Heart disease,2011,31.1,2.4,3.37,2.17
Heart disease,2012,31.13,2.39,3.79,2.09
Heart disease,2013,31.15,2.25,3.7,2.37
Heart disease,2014,30.84,2.21,3.02,2.3
Heart disease,2015,30.63,2.01,3.13,1.89
Heart disease,2016,30.2,2,2.48,2.12
Homicide,1999,0.88,,27.02,35.21
Homicide,2000,0.87,,26.46,35.17
Homicide,2001,0.9,,16.25,21.82
Homicide,2002,0.9,,16.48,24.13
Homicide,2003,0.91,,17.49,24.22
Homicide,2004,0.91,2.64,17.71,23.99
Homicide,2005,0.94,2.2,19.75,23.97
Homicide,2006,0.97,2.31,19.73,24.65
Homicide,2007,0.97,2.55,21.38,26.81
Homicide,2008,0.92,2.88,19.59,27.41
Homicide,2009,0.88,3.03,17.44,24.23
Homicide,2010,0.84,3.05,19.86,27.4
Homicide,2011,0.84,3.68,22.29,29.29
Homicide,2012,0.86,3.52,22.3,29.09
Homicide,2013,0.82,3.45,22.48,27.19
Homicide,2014,0.79,3.66,23.57,27.09
Homicide,2015,0.86,3.69,22.74,24.02
Homicide,2016,0.91,3.21,22.75,23.31
Kidney disease,1999,1.97,,0.25,0.13
Kidney disease,2000,2.07,,0.21,0.21
Kidney disease,2001,2.18,,0.16,0.08
Kidney disease,2002,2.24,,0.2,0.07
Kidney disease,2003,2.32,,0.33,0.15
Kidney disease,2004,2.38,0.72,0.24,0.12
Kidney disease,2005,2.41,0.7,0.33,0.09
Kidney disease,2006,2.52,0.79,0.29,0.07
Kidney disease,2007,2.59,0.84,0.2,0.16
Kidney disease,2008,2.65,0.87,0.36,0.08
Kidney disease,2009,2.74,0.89,0.35,0.08
Kidney disease,2010,2.82,0.94,0.26,0.18
Kidney disease,2011,2.56,0.93,0.35,0.15
Kidney disease,2012,2.57,0.96,0.34,0.1
Kidney disease,2013,2.62,0.97,0.36,0.16
Kidney disease,2014,2.66,1.05,0.28,0.12
Kidney disease,2015,2.69,1.05,0.25,0.16
Kidney disease,2016,2.69,1.08,0.18,0.14
Lower respiratory disease,1999,6.51,,2.79,2.61
Lower respiratory disease,2000,6.39,,2.77,2.32
Lower respiratory disease,2001,6.44,,1.88,1.44
Lower respiratory disease,2002,6.47,,1.26,1.51
Lower respiratory disease,2003,6.57,,2.38,1.58
Lower respiratory disease,2004,6.5,1.76,1.86,2.08
Lower respiratory disease,2005,6.86,1.85,1.81,1.48
Lower respiratory disease,2006,6.62,1.96,1.79,1.44
Lower respiratory disease,2007,6.83,2.14,2.1,1.39
Lower respiratory disease,2008,7.41,2.14,1.67,1.45
Lower respiratory disease,2009,7.34,2.07,1.8,1.26
Lower respiratory disease,2010,7.31,2.16,2.09,1.46
Lower respiratory disease,2011,7.5,2.21,1.73,1.34
Lower respiratory disease,2012,7.5,2.22,1.86,1.44
Lower respiratory disease,2013,7.65,2.2,1.66,1.4
Lower respiratory disease,2014,7.44,2.28,1.8,1.54
Lower respiratory disease,2015,7.55,2.2,1.14,1.4
Lower respiratory disease,2016,7.41,2.07,1.17,1.59
Pneumonia & influenza,1999,3.34,,3.93,4.39
Pneumonia & influenza,2000,3.43,,3.92,4.82
Pneumonia & influenza,2001,3.25,,2.21,2.29
Pneumonia & influenza,2002,3.4,,1.94,2.26
Pneumonia & influenza,2003,3.38,,3.85,3.33
Pneumonia & influenza,2004,3.18,3.21,4.74,2.62
Pneumonia & influenza,2005,3.3,3.64,6.22,4.8
Pneumonia & influenza,2006,3,3.76,5.08,4.94
Pneumonia & influenza,2007,2.81,4.04,3.48,3.8
Pneumonia & influenza,2008,2.95,4.19,3.25,2.97
Pneumonia & influenza,2009,2.87,4.68,10.8,9.16
Pneumonia & influenza,2010,2.66,4.44,3.48,3.76
Pneumonia & influenza,2011,2.82,4.96,3.05,3.41
Pneumonia & influenza,2012,2.65,5.15,3.49,3.16
Pneumonia & influenza,2013,2.92,5.01,4.08,3.21
Pneumonia & influenza,2014,2.79,5.11,3.57,2.92
Pneumonia & influenza,2015,2.78,5.03,2.87,2.32
Pneumonia & influenza,2016,2.47,5.22,2.89,2.31
Stroke,1999,6.87,,6.79,6
Stroke,2000,6.9,,6.84,6.59
Stroke,2001,6.7,,3.66,4.18
Stroke,2002,6.54,,3.6,5.05
Stroke,2003,6.32,,4.04,5.37
Stroke,2004,6.13,5.1,4.29,5.47
Stroke,2005,5.75,5.44,4.58,5.13
Stroke,2006,5.67,5.75,4.91,6.31
Stroke,2007,5.61,5.73,4.75,5.72
Stroke,2008,5.52,5.79,5.99,6.27
Stroke,2009,5.45,5.8,5.11,6.31
Stroke,2010,5.44,6.06,6.36,6.19
Stroke,2011,5.3,6.42,6.49,7
Stroke,2012,5.22,6.35,6.86,7.2
Stroke,2013,5.13,6.38,6,6.6
Stroke,2014,5.08,6.36,5,6.24
Stroke,2015,4.91,6.19,4.57,5.18
Stroke,2016,4.86,6.45,5.04,5.19
Suicide,1999,1.53,,7.5,9.95
Suicide,2000,1.53,,7.75,9.97
Suicide,2001,1.6,,6.78,10.67
Suicide,2002,1.64,,9.9,13.06
Suicide,2003,1.64,,10.44,14.76
Suicide,2004,1.72,11.79,9.28,13.88
Suicide,2005,1.71,12.35,11.41,14.47
Suicide,2006,1.77,11.55,10.28,13.22
Suicide,2007,1.84,11.89,10.96,13.88
Suicide,2008,1.89,12.23,10.32,13.71
Suicide,2009,1.96,12.56,9.98,12.56
Suicide,2010,2.03,13.16,10.66,12.4
Suicide,2011,2.07,12.54,10.47,12.2
Suicide,2012,2.12,12.98,10.29,11.51
Suicide,2013,2.1,12.46,9.69,10.47
Suicide,2014,2.17,13.05,10.36,11.79
Suicide,2015,2.15,12.22,9.91,12.27
Suicide,2016,2.15,12.36,10.75,14.03
Terrorism,1999,0,,17.81,20.84
Terrorism,2000,0,,15.88,15.45
Terrorism,2001,0.15,,47.85,43.18
Terrorism,2002,0,,45.1,35.78
Terrorism,2003,0,,39.26,32.66
Terrorism,2004,0,10.41,37.62,32.13
Terrorism,2005,0,8.36,29.48,31.66
Terrorism,2006,0,7.04,31.25,29.93
Terrorism,2007,0,6.04,27.68,27.85
Terrorism,2008,0,5.79,25.1,28.27
Terrorism,2009,0,5,21.21,26.19
Terrorism,2010,0,4.81,22.32,27.07
Terrorism,2011,0,4.52,21.38,22.5
Terrorism,2012,0,3.58,20.64,23.4
Terrorism,2013,0,4.44,25.99,26.47
Terrorism,2014,0,4.3,24.88,26.91
Terrorism,2015,0,8.28,31.58,34.95
Terrorism,2016,0,7.21,35.58,33.26
