Entity,Year,Son preference in education (%) (WVS (2014))
Trinidad and Tobago,2006,8.7087088
Trinidad and Tobago,2011,5.6565657
Tunisia,2013,25.106382
Turkey,1996,26.270733
Turkey,2001,25.170877
Turkey,2007,19.486404
Turkey,2011,31.345179
Uganda,2001,23.487904
Ukraine,1996,36.004982
Ukraine,2006,32.563026
Ukraine,2011,17.066668
United Kingdom,2005,7.0227499
United States,1995,17.289721
United States,1999,7.516892
United States,2006,8.2859468
United States,2011,6.7904029
Uruguay,1996,11.867905
Uruguay,2006,6.6037736
Uruguay,2011,9.6537247
Uzbekistan,2011,49.024883
Venezuela,1996,20.577618
Venezuela,2000,15.151515
Vietnam,2001,24.097664
Vietnam,2006,20.638153
Yemen,2014,47.384937
Zambia,2007,24.311295
Zimbabwe,2001,18.61167
Zimbabwe,2012,15.2
