Entity,Year,"Child mortality 1950-2017 (IHME, 2018)"
Democratic Republic of Congo,1985,173.96
Democratic Republic of Congo,1990,166.87
Democratic Republic of Congo,1995,166.47
Democratic Republic of Congo,2000,159.02
Democratic Republic of Congo,2005,139.21
Democratic Republic of Congo,2010,120.47
Democratic Republic of Congo,2017,87.31
Denmark,1950,41.1
Denmark,1955,33.62
Denmark,1960,29.44
Denmark,1965,25.35
Denmark,1970,19.46
Denmark,1975,14.4
Denmark,1980,11.61
Denmark,1985,10.84
Denmark,1990,10.3
Denmark,1995,7.09
Denmark,2000,6.14
Denmark,2005,5.46
Denmark,2010,4.24
Denmark,2017,4.05
Djibouti,1950,182.84
Djibouti,1955,175.12
Djibouti,1960,166.55
Djibouti,1965,158.63
Djibouti,1970,150.26
Djibouti,1975,138.7
Djibouti,1980,131.4
Djibouti,1985,128.94
Djibouti,1990,122.61
Djibouti,1995,117.59
Djibouti,2000,108.34
Djibouti,2005,89.31
Djibouti,2010,72.34
Djibouti,2017,48.82
Dominica,1950,260.26
Dominica,1955,208.77
Dominica,1960,157.87
Dominica,1965,106.81
Dominica,1970,71.64
Dominica,1975,43.36
Dominica,1980,26.69
Dominica,1985,22.27
Dominica,1990,20.78
Dominica,1995,20.94
Dominica,2000,21.29
Dominica,2005,23.08
Dominica,2010,27.97
Dominica,2017,33.36
Dominican Republic,1950,214.52
Dominican Republic,1955,191.83
Dominican Republic,1960,186.19
Dominican Republic,1965,162.05
Dominican Republic,1970,137.45
Dominican Republic,1975,115.61
Dominican Republic,1980,96.36
Dominican Republic,1985,82.32
Dominican Republic,1990,70.47
Dominican Republic,1995,55.73
Dominican Republic,2000,46.14
Dominican Republic,2005,42.44
Dominican Republic,2010,36.38
Dominican Republic,2017,33.13
East Asia,1950,218.45
East Asia,1955,189.01
East Asia,1960,562.4
East Asia,1965,138.35
East Asia,1970,113.45
East Asia,1975,90.38
East Asia,1980,72.78
East Asia,1985,60.42
East Asia,1990,50.71
East Asia,1995,45.65
East Asia,2000,37.49
East Asia,2005,26.1
East Asia,2010,18.84
East Asia,2017,13.24
Eastern Europe,1950,73.86
Eastern Europe,1955,67.25
Eastern Europe,1960,54.41
Eastern Europe,1965,39.57
Eastern Europe,1970,35.36
Eastern Europe,1975,34.71
Eastern Europe,1980,32.41
Eastern Europe,1985,28.74
Eastern Europe,1990,23.49
Eastern Europe,1995,23.78
Eastern Europe,2000,20.82
Eastern Europe,2005,15.52
Eastern Europe,2010,11.31
Eastern Europe,2017,8.75
Eastern Sub-Saharan Africa,1950,305.61
Eastern Sub-Saharan Africa,1955,286.93
Eastern Sub-Saharan Africa,1960,271.32
Eastern Sub-Saharan Africa,1965,255.8
Eastern Sub-Saharan Africa,1970,239.37
Eastern Sub-Saharan Africa,1975,226
Eastern Sub-Saharan Africa,1980,209.94
Eastern Sub-Saharan Africa,1985,198.27
Eastern Sub-Saharan Africa,1990,183.26
Eastern Sub-Saharan Africa,1995,166.63
Eastern Sub-Saharan Africa,2000,143.11
Eastern Sub-Saharan Africa,2005,114.55
Eastern Sub-Saharan Africa,2010,92.97
Eastern Sub-Saharan Africa,2017,68.32
Ecuador,1950,223.84
Ecuador,1955,197.13
Ecuador,1960,176.23
Ecuador,1965,153.57
Ecuador,1970,140.18
Ecuador,1975,110.67
Ecuador,1980,92.5
Ecuador,1985,62.22
Ecuador,1990,44.74
Ecuador,1995,38.08
Ecuador,2000,37.44
Ecuador,2005,30.37
Ecuador,2010,24.9
Ecuador,2017,19.01
Egypt,1950,394.78
Egypt,1955,360.76
Egypt,1960,313.01
Egypt,1965,268.39
Egypt,1970,235.66
Egypt,1975,200.43
Egypt,1980,155.32
Egypt,1985,113.58
Egypt,1990,80.64
Egypt,1995,61.67
Egypt,2000,45.82
Egypt,2005,36.28
Egypt,2010,29.8
Egypt,2017,20.39
El Salvador,1950,271.36
El Salvador,1955,250.21
El Salvador,1960,217.4
El Salvador,1965,185.26
El Salvador,1970,158.98
El Salvador,1975,128.4
El Salvador,1980,104.02
El Salvador,1985,79.79
El Salvador,1990,57.79
El Salvador,1995,41.15
El Salvador,2000,30.69
El Salvador,2005,22.5
El Salvador,2010,18.13
El Salvador,2017,13.49
Equatorial Guinea,1950,320.89
Equatorial Guinea,1955,318.05
Equatorial Guinea,1960,304.56
Equatorial Guinea,1965,276.71
Equatorial Guinea,1970,251.59
Equatorial Guinea,1975,230.61
Equatorial Guinea,1980,201.65
Equatorial Guinea,1985,193.87
Equatorial Guinea,1990,204.69
Equatorial Guinea,1995,209.52
Equatorial Guinea,2000,146.55
Equatorial Guinea,2005,105.32
Equatorial Guinea,2010,84.42
Equatorial Guinea,2017,59.16
Eritrea,1950,323.85
Eritrea,1955,309.55
Eritrea,1960,291.44
Eritrea,1965,280.1
Eritrea,1970,257.64
Eritrea,1975,236.35
Eritrea,1980,216.2
Eritrea,1985,195.44
Eritrea,1990,193.26
Eritrea,1995,123.32
Eritrea,2000,99.02
Eritrea,2005,82.29
Eritrea,2010,70.95
Eritrea,2017,51.33
Estonia,1950,58.35
Estonia,1955,49.19
Estonia,1960,41.74
Estonia,1965,30.03
Estonia,1970,25.51
Estonia,1975,25.49
Estonia,1980,25.71
Estonia,1985,22.35
Estonia,1990,19.64
Estonia,1995,18.35
Estonia,2000,12.56
Estonia,2005,8.23
Estonia,2010,5.04
Estonia,2017,3.18
Ethiopia,1950,337.01
Ethiopia,1955,321.2
Ethiopia,1960,309.1
Ethiopia,1965,294.9
Ethiopia,1970,278.65
Ethiopia,1975,268.45
Ethiopia,1980,249.15
Ethiopia,1985,228.43
Ethiopia,1990,208.41
Ethiopia,1995,182.84
Ethiopia,2000,153.48
Ethiopia,2005,120.3
Ethiopia,2010,92.31
Ethiopia,2017,60.58
Fiji,1950,116.24
Fiji,1955,93.94
Fiji,1960,76.66
Fiji,1965,63.16
Fiji,1970,56.07
Fiji,1975,48
Fiji,1980,39.45
Fiji,1985,33.26
Fiji,1990,28.74
Fiji,1995,28.39
Fiji,2000,29.11
Fiji,2005,30.14
Fiji,2010,29.33
Fiji,2017,27.9
Finland,1950,57.1
Finland,1955,40.26
Finland,1960,29.19
Finland,1965,23.76
Finland,1970,18.27
Finland,1975,14.53
Finland,1980,9.99
Finland,1985,8.15
Finland,1990,7.61
Finland,1995,5.52
Finland,2000,4.87
Finland,2005,4.47
Finland,2010,3.26
Finland,2017,2.4
France,1950,62.06
France,1955,44.84
France,1960,30.49
France,1965,24.07
France,1970,20.46
France,1975,17.64
France,1980,14.15
France,1985,11.37
France,1990,10.05
France,1995,6.89
France,2000,6.09
France,2005,4.91
France,2010,4.65
France,2017,4.25
Gabon,1950,251.84
Gabon,1955,247.25
Gabon,1960,229.78
Gabon,1965,204.37
Gabon,1970,180.79
Gabon,1975,149.83
Gabon,1980,124.36
Gabon,1985,103.66
Gabon,1990,92.11
Gabon,1995,82.85
Gabon,2000,78.17
Gabon,2005,73.85
Gabon,2010,62.8
Gabon,2017,40.51
Gambia,1950,275.02
Gambia,1955,261.46
Gambia,1960,247.81
Gambia,1965,229.33
Gambia,1970,204
Gambia,1975,183.96
Gambia,1980,161.45
Gambia,1985,139.5
Gambia,1990,124.18
Gambia,1995,108.22
Gambia,2000,93.17
Gambia,2005,77.73
Gambia,2010,64.06
Gambia,2017,51.2
Georgia,1950,236.15
Georgia,1955,195.52
Georgia,1960,155.16
Georgia,1965,123.41
Georgia,1970,96.9
Georgia,1975,82.41
Georgia,1980,62.8
Georgia,1985,51.53
Georgia,1990,46.01
Georgia,1995,44.31
Georgia,2000,37.93
Georgia,2005,25.63
Georgia,2010,17.17
Georgia,2017,12.34
Germany,1950,72.49
Germany,1955,56.33
Germany,1960,45.61
Germany,1965,31.68
Germany,1970,27.99
Germany,1975,24.57
Germany,1980,17.13
Germany,1985,12.31
Germany,1990,9.76
Germany,1995,7.22
Germany,2000,5.88
Germany,2005,5.19
Germany,2010,4.56
Germany,2017,3.88
Ghana,1950,295.41
Ghana,1955,274.17
