Entity,Year,WorkHoursPerPerson
Austria,1952,2090.92
Austria,1953,2088.26
Austria,1954,2085.60
Austria,1955,2082.95
Austria,1956,2080.30
Austria,1957,2077.65
Austria,1958,2075.01
Austria,1959,2072.37
Austria,1960,2069.73
Austria,1961,2057.01
Austria,1962,2044.38
Austria,1963,2031.81
Austria,1964,2019.33
Austria,1965,2006.92
Austria,1966,1994.59
Austria,1967,1982.34
Austria,1968,1970.16
Austria,1969,1958.05
Austria,1970,1899.73
Austria,1971,1894.85
Austria,1972,1915.42
Austria,1973,1910.37
Austria,1974,1988.70
Austria,1975,1913.63
Austria,1976,1907.67
Austria,1977,1914.45
Austria,1978,1853.42
Austria,1979,1886.20
Austria,1980,1890.58
Austria,1981,1828.37
Austria,1982,1844.43
Austria,1983,1839.20
Austria,1984,1835.19
Austria,1985,1830.77
Austria,1986,1829.95
Austria,1987,1817.89
Austria,1988,1821.33
Austria,1989,1834.50
Austria,1990,1835.29
Austria,1991,1845.76
Austria,1992,1814.09
Austria,1993,1811.44
Austria,1994,1809.67
Austria,1995,1783.44
Austria,1996,1816.29
Austria,1997,1825.01
Austria,1998,1803.30
Austria,1999,1807.01
Austria,2000,1807.36
Austria,2001,1794.62
Austria,2002,1792.22
Austria,2003,1783.77
Austria,2004,1786.81
Austria,2005,1763.98
Austria,2006,1746.21
Austria,2007,1736.03
Austria,2008,1728.47
Austria,2009,1673.00
Austria,2010,1668.64
Austria,2011,1675.88
Austria,2012,1652.87
Austria,2013,1636.70
Austria,2014,1629.37
Bangladesh,1970,2127.45
Bangladesh,1971,2125.38
Bangladesh,1972,2123.33
Bangladesh,1973,2122.12
Bangladesh,1974,2121.72
Bangladesh,1975,2122.15
Bangladesh,1976,2122.57
Bangladesh,1977,2122.98
Bangladesh,1978,2123.39
Bangladesh,1979,2123.80
Bangladesh,1980,2124.20
Bangladesh,1981,2125.18
Bangladesh,1982,2125.31
Bangladesh,1983,2126.02
Bangladesh,1984,2113.66
Bangladesh,1985,2088.40
Bangladesh,1986,2048.93
Bangladesh,1987,2012.32
Bangladesh,1988,1975.01
Bangladesh,1989,1968.63
Bangladesh,1990,1993.44
Bangladesh,1991,2033.34
Bangladesh,1992,2045.07
Bangladesh,1993,2041.13
Bangladesh,1994,2037.17
Bangladesh,1995,2033.19
Bangladesh,1996,2028.12
Bangladesh,1997,2024.61
Bangladesh,1998,2019.90
Bangladesh,1999,2017.57
Bangladesh,2000,2016.01
Bangladesh,2001,2028.20
Bangladesh,2002,2045.80
Bangladesh,2003,2084.38
Bangladesh,2004,2163.66
Bangladesh,2005,2266.94
Bangladesh,2006,2342.02
Bangladesh,2007,2373.30
Bangladesh,2008,2372.98
Bangladesh,2009,2372.66
Bangladesh,2010,2372.34
Bangladesh,2011,2372.02
Bangladesh,2012,2371.69
Bangladesh,2013,2371.81
Bangladesh,2014,2371.81
Barbados,1991,1658.11
Barbados,1992,1638.22
Barbados,1993,1660.33
Barbados,1994,1675.11
Barbados,1995,1694.75
Barbados,1996,1717.12
Barbados,1997,1727.74
Barbados,1998,1728.60
Barbados,1999,1733.95
Barbados,2000,1753.25
Barbados,2001,1764.27
Barbados,2002,1726.66
Barbados,2003,1741.42
Barbados,2004,1728.88
Barbados,2005,1726.34
Barbados,2006,1731.57
Barbados,2007,1735.87
Barbados,2008,1746.88
Barbados,2009,1691.40
Barbados,2010,1688.86
Barbados,2011,1699.52
Barbados,2012,1683.80
Barbados,2013,1672.28
Barbados,2014,1672.28
Belgium,1950,2099.86
Belgium,1951,2089.62
Belgium,1952,2079.42
Belgium,1953,2069.27
Belgium,1954,2059.17
Belgium,1955,2049.12
Belgium,1956,2039.12
Belgium,1957,2029.17
Belgium,1958,2019.27
Belgium,1959,2009.41
Belgium,1960,1999.61
Belgium,1961,1987.75
Belgium,1962,1975.96
Belgium,1963,1964.23
Belgium,1964,1952.58
Belgium,1965,1941.00
Belgium,1966,1929.49
Belgium,1967,1918.04
Belgium,1968,1906.66
Belgium,1969,1895.35
Belgium,1970,1884.11
Belgium,1971,1875.04
Belgium,1972,1849.00
Belgium,1973,1822.20
Belgium,1974,1792.06
Belgium,1975,1781.98
Belgium,1976,1783.55
Belgium,1977,1757.47
Belgium,1978,1738.98
Belgium,1979,1721.83
Belgium,1980,1701.99
Belgium,1981,1679.31
Belgium,1982,1664.92
Belgium,1983,1670.87
Belgium,1984,1694.88
Belgium,1985,1700.88
Belgium,1986,1680.87
Belgium,1987,1665.87
Belgium,1988,1653.86
Belgium,1989,1644.86
Belgium,1990,1658.86
Belgium,1991,1621.84
Belgium,1992,1598.83
Belgium,1993,1554.81
Belgium,1994,1554.81
Belgium,1995,1580.82
Belgium,1996,1554.73
Belgium,1997,1567.98
Belgium,1998,1578.78
Belgium,1999,1581.90
Belgium,2000,1594.19
Belgium,2001,1587.72
Belgium,2002,1582.08
Belgium,2003,1577.55
Belgium,2004,1572.49
Belgium,2005,1565.07
Belgium,2006,1574.54
Belgium,2007,1578.97
Belgium,2008,1572.49
Belgium,2009,1554.37
Belgium,2010,1560.05
Belgium,2011,1571.60
Belgium,2012,1572.73
Belgium,2013,1576.10
Belgium,2014,1575.28
Brazil,1950,2042.00
Brazil,1951,2051.02
Brazil,1952,2060.08
Brazil,1953,2069.18
Brazil,1954,2078.31
Brazil,1955,2087.49
Brazil,1956,2096.71
Brazil,1957,2105.97
Brazil,1958,2115.27
Brazil,1959,2124.62
Brazil,1960,2134.00
Brazil,1961,2135.10
Brazil,1962,2136.20
Brazil,1963,2137.29
Brazil,1964,2138.39
Brazil,1965,2139.49
Brazil,1966,2140.59
Brazil,1967,2141.69
Brazil,1968,2142.80
Brazil,1969,2143.90
Brazil,1970,2145.00
Brazil,1971,2128.54
Brazil,1972,2112.21
Brazil,1973,2096.00
Brazil,1974,2079.77
Brazil,1975,2063.67
Brazil,1976,2047.69
Brazil,1977,2031.83
Brazil,1978,2016.10
Brazil,1979,2000.49
Brazil,1980,1985.00
Brazil,1981,1974.10
Brazil,1982,1963.25
Brazil,1983,1952.47
Brazil,1984,1941.75
Brazil,1985,1931.08
Brazil,1986,1920.47
Brazil,1987,1909.92
Brazil,1988,1899.43
Brazil,1989,1889.00
Brazil,1990,1879.00
Brazil,1991,1868.47
Brazil,1992,1858.00
Brazil,1993,1859.00
Brazil,1994,1860.00
Brazil,1995,1855.23
Brazil,1996,1850.48
Brazil,1997,1845.73
Brazil,1998,1841.00
Brazil,1999,1850.36
Brazil,2000,1826.03
Brazil,2001,1805.42
Brazil,2002,1766.93
Brazil,2003,1782.04
Brazil,2004,1769.20
Brazil,2005,1766.60
Brazil,2006,1771.96
Brazil,2007,1776.36
Brazil,2008,1787.63
Brazil,2009,1730.85
Brazil,2010,1728.25
Brazil,2011,1739.16
Brazil,2012,1723.07
Brazil,2013,1711.28
Brazil,2014,1711.28
Bulgaria,1990,1727.23
Bulgaria,1991,1720.99
Bulgaria,1992,1698.15
Bulgaria,1993,1697.37
Bulgaria,1994,1720.99
Bulgaria,1995,1710.67
Bulgaria,1996,1708.20
Bulgaria,1997,1706.87
Bulgaria,1998,1649.98
Bulgaria,1999,1669.50
Bulgaria,2000,1640.25
Bulgaria,2001,1651.86
Bulgaria,2002,1651.26
Bulgaria,2003,1640.51
Bulgaria,2004,1663.69
Bulgaria,2005,1658.65
Bulgaria,2006,1654.10
Bulgaria,2007,1654.52
Bulgaria,2008,1693.60
Bulgaria,2009,1646.28
Bulgaria,2010,1644.84
Bulgaria,2011,1643.59
Bulgaria,2012,1644.45
Bulgaria,2013,1644.98
Bulgaria,2014,1644.06
Cambodia,1993,2309.59
Cambodia,1994,2361.73
Cambodia,1995,2257.45
Cambodia,1996,2309.59
Cambodia,1997,2257.45
Cambodia,1998,2361.73
Cambodia,1999,2361.73
Cambodia,2000,2466.02
Cambodia,2001,2257.45
Cambodia,2002,2413.88
Cambodia,2003,2466.02
Cambodia,2004,2361.73
Cambodia,2005,2413.88
Cambodia,2006,2466.02
Cambodia,2007,2466.02
Cambodia,2008,2465.68
Cambodia,2009,2465.17
Cambodia,2010,2467.53
Cambodia,2011,2657.77
Cambodia,2012,2514.31
Cambodia,2013,2510.41
Cambodia,2014,2510.41
Canada,1950,2076.52
Canada,1951,2077.93
Canada,1952,2079.33
Canada,1953,2080.74
Canada,1954,2082.14
Canada,1955,2083.55
Canada,1956,2084.96
Canada,1957,2086.36
Canada,1958,2087.77
Canada,1959,2089.18
Canada,1960,2090.60
Canada,1961,2092.01
Canada,1962,2090.99
Canada,1963,2073.72
Canada,1964,2065.59
Canada,1965,2048.32
Canada,1966,2033.08
Canada,1967,2024.95
Canada,1968,1989.39
Canada,1969,1974.15
Canada,1970,1955.86
Canada,1971,1941.17
Canada,1972,1923.98
Canada,1973,1913.97
Canada,1974,1899.12
Canada,1975,1872.69
Canada,1976,1845.08
Canada,1977,1822.75
Canada,1978,1820.31
Canada,1979,1826.33
Canada,1980,1815.05
Canada,1981,1800.84
Canada,1982,1777.62
Canada,1983,1768.82
Canada,1984,1778.16
Canada,1985,1787.84
Canada,1986,1786.48
Canada,1987,1800.45
Canada,1988,1805.66
Canada,1989,1799.56
Canada,1990,1791.88
Canada,1991,1768.98
Canada,1992,1767.12
Canada,1993,1770.03
Canada,1994,1778.54
Canada,1995,1775.93
Canada,1996,1791.01
Canada,1997,1784.22
Canada,1998,1780.13
Canada,1999,1780.92
Canada,2000,1779.13
Canada,2001,1767.99
Canada,2002,1749.47
Canada,2003,1732.14
Canada,2004,1751.06
Canada,2005,1739.18
Canada,2006,1733.23
Canada,2007,1724.69
Canada,2008,1713.39
Canada,2009,1678.52
Canada,2010,1685.54
Canada,2011,1683.57
Canada,2012,1692.86
Canada,2013,1682.74
Canada,2014,1687.78
Chile,1951,2480.49
Chile,1952,2459.40
Chile,1953,2438.50
Chile,1954,2417.77
Chile,1955,2397.22
Chile,1956,2376.84
Chile,1957,2356.63
Chile,1958,2336.60
Chile,1959,2316.74
Chile,1960,2297.04
Chile,1961,2289.12
Chile,1962,2281.22
Chile,1963,2273.35
Chile,1964,2265.51
Chile,1965,2257.69
Chile,1966,2249.90
Chile,1967,2242.14
Chile,1968,2234.40
Chile,1969,2226.69
Chile,1970,2219.01
Chile,1971,2216.36
Chile,1972,2213.73
Chile,1973,2211.09
Chile,1974,2208.33
Chile,1975,2205.58
Chile,1976,2202.83
Chile,1977,2200.08
Chile,1978,2197.34
Chile,1979,2194.60
Chile,1980,2191.86
Chile,1981,2196.97
Chile,1982,2202.08
Chile,1983,2207.21
Chile,1984,2212.35
Chile,1985,2217.50
Chile,1986,2222.67
Chile,1987,2227.84
Chile,1988,2233.03
Chile,1989,2238.23
Chile,1990,2243.89
Chile,1991,2248.96
Chile,1992,2254.04
Chile,1993,2259.14
Chile,1994,2264.25
Chile,1995,2280.70
Chile,1996,2313.00
Chile,1997,2256.00
Chile,1998,2299.00
Chile,1999,2277.00
Chile,2000,2263.00
Chile,2001,2242.00
Chile,2002,2250.00
Chile,2003,2235.00
Chile,2004,2232.00
Chile,2005,2157.00
Chile,2006,2165.00
Chile,2007,2128.00
Chile,2008,2095.00
Chile,2009,2074.00
Chile,2010,2068.00
Chile,2011,2047.00
Chile,2012,2024.00
Chile,2013,2015.00
Chile,2014,1990.00
"China, Hong Kong SAR",1960,2779.11
"China, Hong Kong SAR",1961,2758.27
"China, Hong Kong SAR",1962,2737.58
"China, Hong Kong SAR",1963,2717.05
"China, Hong Kong SAR",1964,2696.67
"China, Hong Kong SAR",1965,2676.44
"China, Hong Kong SAR",1966,2656.37
"China, Hong Kong SAR",1967,2636.44
"China, Hong Kong SAR",1968,2616.67
"China, Hong Kong SAR",1969,2597.04
"China, Hong Kong SAR",1970,2577.57
"China, Hong Kong SAR",1971,2577.57
"China, Hong Kong SAR",1972,2577.57
"China, Hong Kong SAR",1973,2577.57
"China, Hong Kong SAR",1974,2577.57
"China, Hong Kong SAR",1975,2577.57
"China, Hong Kong SAR",1976,2577.57
"China, Hong Kong SAR",1977,2577.57
"China, Hong Kong SAR",1978,2577.57
"China, Hong Kong SAR",1979,2551.13
"China, Hong Kong SAR",1980,2500.91
"China, Hong Kong SAR",1981,2471.91
"China, Hong Kong SAR",1982,2452.47
"China, Hong Kong SAR",1983,2438.99
"China, Hong Kong SAR",1984,2428.33
"China, Hong Kong SAR",1985,2408.35
"China, Hong Kong SAR",1986,2410.24
"China, Hong Kong SAR",1987,2377.87
"China, Hong Kong SAR",1988,2431.44
"China, Hong Kong SAR",1989,2372.38
"China, Hong Kong SAR",1990,2338.85
"China, Hong Kong SAR",1991,2372.00
"China, Hong Kong SAR",1992,2287.00
"China, Hong Kong SAR",1993,2326.43
"China, Hong Kong SAR",1994,2299.06
"China, Hong Kong SAR",1995,2236.96
"China, Hong Kong SAR",1996,2259.00
"China, Hong Kong SAR",1997,2214.90
"China, Hong Kong SAR",1998,2214.90
"China, Hong Kong SAR",1999,2254.10
"China, Hong Kong SAR",2000,2283.50
"China, Hong Kong SAR",2001,2278.60
"China, Hong Kong SAR",2002,2298.20
"China, Hong Kong SAR",2003,2283.50
"China, Hong Kong SAR",2004,2308.00
"China, Hong Kong SAR",2005,2298.20
"China, Hong Kong SAR",2006,2268.80
"China, Hong Kong SAR",2007,2283.50
"China, Hong Kong SAR",2008,2234.50
"China, Hong Kong SAR",2009,2234.50
"China, Hong Kong SAR",2010,2383.47
"China, Hong Kong SAR",2011,2234.50
"China, Hong Kong SAR",2012,2234.50
"China, Hong Kong SAR",2013,2234.50
"China, Hong Kong SAR",2014,2234.50
Colombia,1950,2323.00
Colombia,1951,2312.28
Colombia,1952,2301.61
Colombia,1953,2290.99
Colombia,1954,2280.42
Colombia,1955,2269.89
Colombia,1956,2259.42
Colombia,1957,2248.99
Colombia,1958,2238.61
Colombia,1959,2228.28
Colombia,1960,2218.00
Colombia,1961,2213.15
Colombia,1962,2208.32
Colombia,1963,2203.49
Colombia,1964,2198.67
Colombia,1965,2193.87
Colombia,1966,2189.07
Colombia,1967,2184.29
Colombia,1968,2179.52
Colombia,1969,2174.75
Colombia,1970,2170.00
Colombia,1971,2160.29
Colombia,1972,2150.62
Colombia,1973,2141.00
Colombia,1974,2131.30
Colombia,1975,2121.64
Colombia,1976,2112.03
Colombia,1977,2102.45
Colombia,1978,2092.93
Colombia,1979,2083.44
Colombia,1980,2074.00
Colombia,1981,2063.22
Colombia,1982,2052.50
Colombia,1983,2041.84
Colombia,1984,2031.23
Colombia,1985,2020.67
Colombia,1986,2010.17
Colombia,1987,1999.73
Colombia,1988,1989.34
Colombia,1989,1979.00
Colombia,1990,1969.00
Colombia,1991,1958.97
Colombia,1992,1949.00
Colombia,1993,1961.96
Colombia,1994,1975.00
Colombia,1995,1970.23
Colombia,1996,1965.48
Colombia,1997,1960.73
Colombia,1998,1956.00
Colombia,1999,1941.86
Colombia,2000,1883.65
Colombia,2001,1876.72
Colombia,2002,1869.81
Colombia,2003,1862.93
Colombia,2004,1856.08
Colombia,2005,1849.25
Colombia,2006,1842.45
Colombia,2007,1835.67
Colombia,2008,1828.91
Colombia,2009,1822.19
Colombia,2010,1815.48
Colombia,2011,1808.80
Colombia,2012,1783.85
Colombia,2013,1771.65
Colombia,2014,1771.65
Costa Rica,1987,2398.37
Costa Rica,1988,2388.05
Costa Rica,1989,2367.42
Costa Rica,1990,2370.68
Costa Rica,1991,2373.94
Costa Rica,1992,2377.21
Costa Rica,1993,2380.49
Costa Rica,1994,2383.76
Costa Rica,1995,2387.05
Costa Rica,1996,2390.33
Costa Rica,1997,2393.62
Costa Rica,1998,2396.92
Costa Rica,1999,2400.22
Costa Rica,2000,2403.52
Costa Rica,2001,2424.16
Costa Rica,2002,2424.16
Costa Rica,2003,2424.16
Costa Rica,2004,2351.95
Costa Rica,2005,2326.16
Costa Rica,2006,2326.16
Costa Rica,2007,2398.37
Costa Rica,2008,2417.97
Costa Rica,2009,2368.99
Costa Rica,2010,2321.00
Costa Rica,2011,2354.00
Costa Rica,2012,2287.00
Costa Rica,2013,2223.00
Costa Rica,2014,2216.00
Cyprus,1950,2089.86
Cyprus,1951,2081.22
Cyprus,1952,2072.62
Cyprus,1953,2064.04
Cyprus,1954,2055.51
Cyprus,1955,2047.01
Cyprus,1956,2038.54
Cyprus,1957,2030.11
Cyprus,1958,2021.72
Cyprus,1959,2013.36
Cyprus,1960,2005.03
Cyprus,1961,1996.12
Cyprus,1962,1987.25
Cyprus,1963,1978.42
Cyprus,1964,1969.62
Cyprus,1965,1960.87
Cyprus,1966,1952.15
Cyprus,1967,1943.48
Cyprus,1968,1934.84
Cyprus,1969,1926.24
Cyprus,1970,1888.71
Cyprus,1971,1889.58
Cyprus,1972,1890.92
Cyprus,1973,1892.22
Cyprus,1974,1893.50
Cyprus,1975,1894.73
Cyprus,1976,1895.93
Cyprus,1977,1897.09
Cyprus,1978,1898.58
Cyprus,1979,1899.88
Cyprus,1980,1900.46
Cyprus,1981,1900.54
Cyprus,1982,1900.19
Cyprus,1983,1897.91
Cyprus,1984,1897.58
Cyprus,1985,1896.65
Cyprus,1986,1896.96
Cyprus,1987,1899.00
Cyprus,1988,1896.46
Cyprus,1989,1898.31
Cyprus,1990,1900.39
Cyprus,1991,1901.53
Cyprus,1992,1901.51
Cyprus,1993,1900.86
Cyprus,1994,1899.11
Cyprus,1995,1899.57
Cyprus,1996,1898.60
Cyprus,1997,1906.27
Cyprus,1998,1912.54
Cyprus,1999,1919.71
Cyprus,2000,1926.39
Cyprus,2001,1950.95
Cyprus,2002,1923.29
Cyprus,2003,1916.14
Cyprus,2004,1878.60
Cyprus,2005,1849.34
Cyprus,2006,1863.42
Cyprus,2007,1853.30
Cyprus,2008,1847.41
Cyprus,2009,1837.74
Cyprus,2010,1844.98
Cyprus,2011,1846.14
Cyprus,2012,1858.41
Cyprus,2013,1846.45
Cyprus,2014,1826.80
Czech Republic,1990,1889.12
Czech Republic,1991,1882.30
Czech Republic,1992,1857.32
Czech Republic,1993,1856.46
Czech Republic,1994,1838.11
Czech Republic,1995,1858.04
Czech Republic,1996,1852.49
Czech Republic,1997,1857.68
Czech Republic,1998,1877.33
Czech Republic,1999,1893.49
Czech Republic,2000,1895.66
Czech Republic,2001,1818.18
Czech Republic,2002,1816.50
Czech Republic,2003,1805.81
Czech Republic,2004,1816.95
Czech Republic,2005,1817.01
Czech Republic,2006,1798.98
Czech Republic,2007,1784.28
Czech Republic,2008,1789.68
Czech Republic,2009,1778.75
Czech Republic,2010,1799.62
Czech Republic,2011,1805.62
Czech Republic,2012,1776.13
Czech Republic,2013,1762.94
Czech Republic,2014,1770.69
Denmark,1950,2087.23
Denmark,1951,2072.51
Denmark,1952,2057.89
Denmark,1953,2043.38
Denmark,1954,2028.97
Denmark,1955,2014.66
Denmark,1956,2000.45
Denmark,1957,1986.34
Denmark,1958,1972.33
Denmark,1959,1958.42
Denmark,1960,1944.61
Denmark,1961,1957.71
Denmark,1962,1970.90
Denmark,1963,1984.18
Denmark,1964,1997.55
Denmark,1965,2011.00
Denmark,1966,2024.55
Denmark,1967,1995.19
Denmark,1968,1949.79
Denmark,1969,1909.75
Denmark,1970,1884.16
Denmark,1971,1847.07
Denmark,1972,1787.03
Denmark,1973,1743.66
Denmark,1974,1724.80
Denmark,1975,1647.80
Denmark,1976,1654.54
Denmark,1977,1628.87
Denmark,1978,1605.09
Denmark,1979,1592.62
Denmark,1980,1604.73
Denmark,1981,1572.02
Denmark,1982,1577.68
Denmark,1983,1570.30
Denmark,1984,1566.79
Denmark,1985,1553.36
Denmark,1986,1557.31
Denmark,1987,1518.80
Denmark,1988,1495.85
Denmark,1989,1478.76
Denmark,1990,1463.34
Denmark,1991,1459.77
Denmark,1992,1475.40
Denmark,1993,1472.37
Denmark,1994,1426.14
Denmark,1995,1439.92
Denmark,1996,1433.41
Denmark,1997,1449.08
Denmark,1998,1462.90
Denmark,1999,1479.48
Denmark,2000,1489.57
Denmark,2001,1492.98
Denmark,2002,1487.24
Denmark,2003,1481.55
Denmark,2004,1481.13
Denmark,2005,1473.69
Denmark,2006,1478.52
Denmark,2007,1455.52
Denmark,2008,1449.76
Denmark,2009,1446.37
Denmark,2010,1435.90
Denmark,2011,1455.16
Denmark,2012,1442.83
Denmark,2013,1436.31
Denmark,2014,1438.40
Ecuador,1995,1943.00
Ecuador,1996,1936.31
Ecuador,1997,1929.64
Ecuador,1998,1923.00
Ecuador,1999,1928.53
Ecuador,2000,1934.07
Ecuador,2001,1939.63
Ecuador,2002,1945.20
Ecuador,2003,1950.79
Ecuador,2004,1956.40
Ecuador,2005,2289.59
Ecuador,2006,2265.09
Ecuador,2007,2239.05
Ecuador,2008,2213.31
Ecuador,2009,2187.87
Ecuador,2010,2162.72
Ecuador,2011,2137.86
Ecuador,2012,2137.86
Ecuador,2013,2085.71
Ecuador,2014,2085.71
Estonia,1990,1870.59
Estonia,1991,1863.84
Estonia,1992,1839.11
Estonia,1993,1838.26
Estonia,1994,1863.84
Estonia,1995,1852.67
Estonia,1996,1850.19
Estonia,1997,1856.24
Estonia,1998,1906.49
Estonia,1999,1849.09
Estonia,2000,1977.87
Estonia,2001,1970.50
Estonia,2002,1972.69
Estonia,2003,1978.34
Estonia,2004,1986.46
Estonia,2005,2008.37
Estonia,2006,2000.99
Estonia,2007,1998.49
Estonia,2008,1967.77
Estonia,2009,1832.14
Estonia,2010,1874.70
Estonia,2011,1918.86
Estonia,2012,1885.69
Estonia,2013,1865.84
Estonia,2014,1859.43
Finland,1950,2053.06
Finland,1951,2053.67
Finland,1952,2054.27
Finland,1953,2054.88
Finland,1954,2055.48
Finland,1955,2056.09
Finland,1956,2056.69
Finland,1957,2057.30
Finland,1958,2057.91
Finland,1959,2058.51
Finland,1960,2059.12
Finland,1961,2058.12
Finland,1962,2051.12
Finland,1963,2047.13
Finland,1964,2073.10
Finland,1965,2073.10
Finland,1966,2048.13
Finland,1967,2031.14
Finland,1968,2015.16
Finland,1969,1996.17
Finland,1970,1980.19
Finland,1971,1945.22
Finland,1972,1929.24
Finland,1973,1913.25
Finland,1974,1907.26
Finland,1975,1899.14
Finland,1976,1896.13
Finland,1977,1887.84
Finland,1978,1893.26
Finland,1979,1869.14
Finland,1980,1849.19
Finland,1981,1854.79
Finland,1982,1840.27
Finland,1983,1822.65
Finland,1984,1813.70
Finland,1985,1813.30
Finland,1986,1792.59
Finland,1987,1798.13
Finland,1988,1806.18
Finland,1989,1802.14
Finland,1990,1769.12
Finland,1991,1747.44
Finland,1992,1752.76
Finland,1993,1755.34
Finland,1994,1774.84
Finland,1995,1776.05
Finland,1996,1774.89
Finland,1997,1764.73
Finland,1998,1754.40
Finland,1999,1757.26
Finland,2000,1742.07
Finland,2001,1722.59
Finland,2002,1713.78
Finland,2003,1705.28
Finland,2004,1707.32
Finland,2005,1697.09
Finland,2006,1692.90
Finland,2007,1691.49
Finland,2008,1684.51
Finland,2009,1660.66
Finland,2010,1667.77
Finland,2011,1662.45
Finland,2012,1650.26
Finland,2013,1639.59
Finland,2014,1642.51
France,1950,2293.52
France,1951,2313.34
France,1952,2295.88
France,1953,2274.78
France,1954,2288.05
France,1955,2270.50
France,1956,2217.86
France,1957,2190.43
France,1958,2177.35
France,1959,2180.24
France,1960,2190.88
France,1961,2169.13
France,1962,2183.50
France,1963,2167.16
France,1964,2175.71
France,1965,2163.41
France,1966,2156.18
France,1967,2122.77
France,1968,2099.75
France,1969,2025.78
France,1970,2007.35
France,1971,2005.73
France,1972,1952.93
France,1973,1937.45
France,1974,1905.65
France,1975,1879.50
France,1976,1906.20
France,1977,1867.34
France,1978,1835.85
France,1979,1832.47
France,1980,1823.31
France,1981,1803.07
France,1982,1729.78
France,1983,1711.87
France,1984,1705.29
France,1985,1669.88
France,1986,1664.65
France,1987,1676.50
France,1988,1685.65
France,1989,1669.86
France,1990,1664.79
France,1991,1654.57
France,1992,1656.06
France,1993,1640.99
France,1994,1630.29
France,1995,1604.75
France,1996,1606.20
France,1997,1596.24
France,1998,1582.72
France,1999,1571.73
France,2000,1534.77
France,2001,1525.98
France,2002,1487.29
France,2003,1484.37
France,2004,1513.21
France,2005,1507.43
France,2006,1484.01
France,2007,1500.26
France,2008,1507.18
France,2009,1489.00
France,2010,1493.75
France,2011,1496.15
France,2012,1490.22
