Entity,Year,Number of people living in extreme poverty - by world region
Europe and Central Asia,2019,11766863.0
High income countries,1990,4087250.0
High income countries,1991,4099177.0
High income countries,1992,4345438.0
High income countries,1993,4688252.0
High income countries,1994,4535552.0
High income countries,1995,4557491.0
High income countries,1996,5004746.0
High income countries,1997,5085103.0
High income countries,1998,5202375.0
High income countries,1999,4945483.0
High income countries,2000,4713282.0
High income countries,2001,4738842.0
High income countries,2002,4852098.0
High income countries,2003,5659049.0
High income countries,2004,5504494.0
High income countries,2005,5610036.0
High income countries,2006,5197648.0
High income countries,2007,5131927.0
High income countries,2008,5303856.0
High income countries,2009,5401669.0
High income countries,2010,5368180.0
High income countries,2011,5974581.0
High income countries,2012,6170179.0
High income countries,2013,6780861.0
High income countries,2014,7290625.0
High income countries,2015,7927579.0
High income countries,2016,6891425.0
High income countries,2017,7683151.0
High income countries,2018,6683155.0
High income countries,2019,6684494.0
India,1990,428636126.0
India,1991,434657409.0
India,1992,440737935.0
India,1993,444727492.0
India,1994,448025831.0
India,1995,450012648.0
India,1996,447498232.0
India,1997,452720395.0
India,1998,453387875.0
India,1999,452419848.0
India,2000,456552792.0
India,2001,456601384.0
India,2002,461061182.0
India,2003,461048551.0
India,2004,458834919.0
India,2005,448176204.0
India,2006,439987468.0
India,2007,427271749.0
India,2008,416768298.0
India,2009,410394883.0
India,2010,372711356.0
India,2011,304904091.0
India,2012,282068917.0
India,2013,275484839.0
India,2014,265596608.0
India,2015,250557531.0
India,2016,241443120.0
India,2017,195184677.0
India,2018,155565870.0
India,2019,129454236.0
Latin America and the Caribbean,1990,73159629.0
Latin America and the Caribbean,1991,70212050.0
Latin America and the Caribbean,1992,71894971.0
Latin America and the Caribbean,1993,72117970.0
Latin America and the Caribbean,1994,67734862.0
Latin America and the Caribbean,1995,68975115.0
Latin America and the Caribbean,1996,78599890.0
Latin America and the Caribbean,1997,75719010.0
Latin America and the Caribbean,1998,72752688.0
Latin America and the Caribbean,1999,74610652.0
Latin America and the Caribbean,2000,69829625.0
Latin America and the Caribbean,2001,69316873.0
Latin America and the Caribbean,2002,66022015.0
Latin America and the Caribbean,2003,65237721.0
Latin America and the Caribbean,2004,60181526.0
Latin America and the Caribbean,2005,57659473.0
Latin America and the Caribbean,2006,47589109.0
Latin America and the Caribbean,2007,45957291.0
Latin America and the Caribbean,2008,43204797.0
Latin America and the Caribbean,2009,41162933.0
Latin America and the Caribbean,2010,37724349.0
Latin America and the Caribbean,2011,35307145.0
Latin America and the Caribbean,2012,30306586.0
Latin America and the Caribbean,2013,27414889.0
Latin America and the Caribbean,2014,26117037.0
Latin America and the Caribbean,2015,25843037.0
Latin America and the Caribbean,2016,27491608.0
Latin America and the Caribbean,2017,27589494.0
Latin America and the Caribbean,2018,27265804.0
Latin America and the Caribbean,2019,27757316.0
Middle East and North Africa,1990,13999313.0
Middle East and North Africa,1991,16046838.0
Middle East and North Africa,1992,13381707.0
Middle East and North Africa,1993,12518834.0
Middle East and North Africa,1994,12180331.0
Middle East and North Africa,1995,13466237.0
Middle East and North Africa,1996,12653965.0
Middle East and North Africa,1997,12324905.0
Middle East and North Africa,1998,11291096.0
Middle East and North Africa,1999,11029038.0
Middle East and North Africa,2000,10126988.0
Middle East and North Africa,2001,9996771.0
Middle East and North Africa,2002,9409482.0
Middle East and North Africa,2003,9532370.0
Middle East and North Africa,2004,8826162.0
Middle East and North Africa,2005,8250387.0
Middle East and North Africa,2006,8095222.0
Middle East and North Africa,2007,7854492.0
Middle East and North Africa,2008,7655841.0
Middle East and North Africa,2009,7285993.0
Middle East and North Africa,2010,6095625.0
Middle East and North Africa,2011,7142047.0
Middle East and North Africa,2012,7154814.0
Middle East and North Africa,2013,7774410.0
Middle East and North Africa,2014,9266548.0
Middle East and North Africa,2015,17805436.0
Middle East and North Africa,2016,20383538.0
Middle East and North Africa,2017,22768211.0
Middle East and North Africa,2018,29077675.0
Middle East and North Africa,2019,32959255.0
South Asia,1990,562991779.0
South Asia,1991,567348151.0
South Asia,1992,559211438.0
South Asia,1993,557983169.0
South Asia,1994,560066553.0
South Asia,1995,548302133.0
South Asia,1996,542033352.0
South Asia,1997,549888150.0
South Asia,1998,556649232.0
South Asia,1999,557568162.0
South Asia,2000,564717519.0
South Asia,2001,568381961.0
South Asia,2002,575662963.0
South Asia,2003,568734692.0
South Asia,2004,551229481.0
South Asia,2005,532375132.0
South Asia,2006,519175845.0
South Asia,2007,499220886.0
South Asia,2008,484673963.0
South Asia,2009,474584083.0
South Asia,2010,429696971.0
South Asia,2011,356937921.0
South Asia,2012,332378235.0
South Asia,2013,323120588.0
South Asia,2014,310562257.0
South Asia,2015,292373936.0
South Asia,2016,279393977.0
South Asia,2017,225680090.0
South Asia,2018,181733329.0
South Asia,2019,156282205.0
South Asia excluding India,1990,134355653.0
South Asia excluding India,1991,132690742.0
South Asia excluding India,1992,118473503.0
South Asia excluding India,1993,113255677.0
South Asia excluding India,1994,112040722.0
South Asia excluding India,1995,98289485.0
South Asia excluding India,1996,94535120.0
South Asia excluding India,1997,97167755.0
South Asia excluding India,1998,103261357.0
South Asia excluding India,1999,105148314.0
South Asia excluding India,2000,108164727.0
South Asia excluding India,2001,111780577.0
South Asia excluding India,2002,114601781.0
South Asia excluding India,2003,107686141.0
South Asia excluding India,2004,92394562.0
South Asia excluding India,2005,84198928.0
South Asia excluding India,2006,79188377.0
South Asia excluding India,2007,71949137.0
South Asia excluding India,2008,67905665.0
South Asia excluding India,2009,64189200.0
South Asia excluding India,2010,56985615.0
South Asia excluding India,2011,52033830.0
South Asia excluding India,2012,50309318.0
South Asia excluding India,2013,47635749.0
South Asia excluding India,2014,44965649.0
South Asia excluding India,2015,41816405.0
South Asia excluding India,2016,37950857.0
South Asia excluding India,2017,30495413.0
South Asia excluding India,2018,26167459.0
South Asia excluding India,2019,26827969.0
Sub-Saharan Africa,1990,271488835.0
Sub-Saharan Africa,1991,289166731.0
Sub-Saharan Africa,1992,305251907.0
Sub-Saharan Africa,1993,320992736.0
Sub-Saharan Africa,1994,333270456.0
Sub-Saharan Africa,1995,338150595.0
Sub-Saharan Africa,1996,341568086.0
Sub-Saharan Africa,1997,348574951.0
Sub-Saharan Africa,1998,356615882.0
Sub-Saharan Africa,1999,364874826.0
Sub-Saharan Africa,2000,371136657.0
Sub-Saharan Africa,2001,375693272.0
Sub-Saharan Africa,2002,378611221.0
Sub-Saharan Africa,2003,380595514.0
Sub-Saharan Africa,2004,372162744.0
Sub-Saharan Africa,2005,369589650.0
Sub-Saharan Africa,2006,369054560.0
Sub-Saharan Africa,2007,368776837.0
Sub-Saharan Africa,2008,366223793.0
Sub-Saharan Africa,2009,372081833.0
Sub-Saharan Africa,2010,366094403.0
Sub-Saharan Africa,2011,365488180.0
Sub-Saharan Africa,2012,369460174.0
Sub-Saharan Africa,2013,369558939.0
Sub-Saharan Africa,2014,368740610.0
Sub-Saharan Africa,2015,378271517.0
Sub-Saharan Africa,2016,383804597.0
Sub-Saharan Africa,2017,385303897.0
Sub-Saharan Africa,2018,384848500.0
Sub-Saharan Africa,2019,389003507.0
