Entity,Year,Under 5 mortality rate (IHME (2017))
Colombia,1980,53.5
Colombia,1985,41.9
Colombia,1990,32.09
Colombia,1995,29.54
Colombia,2000,23.86
Colombia,2005,21.92
Colombia,2010,19.47
Colombia,2015,15.81
Comoros,1980,165.11
Comoros,1985,140.05
Comoros,1990,120.2
Comoros,1995,102.7
Comoros,2000,85.41
Comoros,2005,68.79
Comoros,2010,55.06
Comoros,2015,44.02
Congo,1980,121.14
Congo,1985,100.42
Congo,1990,93.35
Congo,1995,100.37
Congo,2000,109.38
Congo,2005,90.04
Congo,2010,67.99
Congo,2015,56.13
Costa Rica,1980,31.73
Costa Rica,1985,24.08
Costa Rica,1990,20.24
Costa Rica,1995,17.89
Costa Rica,2000,15.64
Costa Rica,2005,13.54
Costa Rica,2010,11.7
Costa Rica,2015,9.75
Cote d'Ivoire,1980,160.49
Cote d'Ivoire,1985,150.82
Cote d'Ivoire,1990,148.88
Cote d'Ivoire,1995,148.69
Cote d'Ivoire,2000,140.78
Cote d'Ivoire,2005,128.05
Cote d'Ivoire,2010,110.66
Cote d'Ivoire,2015,93.49
Croatia,1980,23.67
Croatia,1985,17.57
Croatia,1990,12.07
Croatia,1995,11.3
Croatia,2000,8.63
Croatia,2005,6.84
Croatia,2010,5.6
Croatia,2015,4.4
Cuba,1980,21.18
Cuba,1985,17.89
Cuba,1990,13.67
Cuba,1995,10.57
Cuba,2000,8.39
Cuba,2005,7.04
Cuba,2010,6.55
Cuba,2015,6.08
Cyprus,1980,18.81
Cyprus,1985,15.45
Cyprus,1990,13.21
Cyprus,1995,10.02
Cyprus,2000,7.34
Cyprus,2005,5.96
Cyprus,2010,5.22
Cyprus,2015,4.78
Czech Republic,1980,17.89
Czech Republic,1985,14.04
Czech Republic,1990,11.95
Czech Republic,1995,8.3
Czech Republic,2000,5.35
Czech Republic,2005,4.33
Czech Republic,2010,3.49
Czech Republic,2015,2.49
Democratic Republic of Congo,1980,185.3
Democratic Republic of Congo,1985,162.34
Democratic Republic of Congo,1990,166.62
Democratic Republic of Congo,1995,164.58
Democratic Republic of Congo,2000,151.83
Democratic Republic of Congo,2005,128.84
Democratic Republic of Congo,2010,107.2
Democratic Republic of Congo,2015,88.03
Denmark,1980,10.13
Denmark,1985,9.47
Denmark,1990,9.17
Denmark,1995,6.69
Denmark,2000,5.54
Denmark,2005,4.89
Denmark,2010,3.95
Denmark,2015,3.55
Djibouti,1980,117.85
Djibouti,1985,116.36
Djibouti,1990,112.76
Djibouti,1995,109.57
Djibouti,2000,102.24
Djibouti,2005,89.56
Djibouti,2010,76.03
Djibouti,2015,65.5
Dominica,1980,32.74
Dominica,1985,26.91
Dominica,1990,25.13
Dominica,1995,24.12
Dominica,2000,24.1
Dominica,2005,24.48
Dominica,2010,25.54
Dominica,2015,26.45
Dominican Republic,1980,88.84
Dominican Republic,1985,71.49
Dominican Republic,1990,59.54
Dominican Republic,1995,46.19
Dominican Republic,2000,37.01
Dominican Republic,2005,35.19
Dominican Republic,2010,30.03
Dominican Republic,2015,25
Ecuador,1980,77.13
Ecuador,1985,60.32
Ecuador,1990,48.25
Ecuador,1995,39.84
Ecuador,2000,33.58
Ecuador,2005,27.8
Ecuador,2010,22.31
Ecuador,2015,17.75
Egypt,1980,160.15
Egypt,1985,113.82
Egypt,1990,82.12
Egypt,1995,61.06
Egypt,2000,43.25
Egypt,2005,34.06
Egypt,2010,28.46
Egypt,2015,21.54
El Salvador,1980,95.36
El Salvador,1985,73.76
El Salvador,1990,52.89
El Salvador,1995,39.13
El Salvador,2000,29.15
El Salvador,2005,19.59
El Salvador,2010,14.12
El Salvador,2015,11.27
England,1980,15
England,1985,11.11
England,1990,9.56
England,1995,7.13
England,2000,6.49
England,2005,6.06
England,2010,5.41
England,2015,4.71
Equatorial Guinea,1980,169.75
Equatorial Guinea,1985,163.1
Equatorial Guinea,1990,170.77
Equatorial Guinea,1995,182.97
Equatorial Guinea,2000,159.21
Equatorial Guinea,2005,133.35
Equatorial Guinea,2010,112.18
Equatorial Guinea,2015,87.51
Eritrea,1980,185.88
Eritrea,1985,170.25
Eritrea,1990,147.45
Eritrea,1995,113.38
Eritrea,2000,133.6
Eritrea,2005,81.66
Eritrea,2010,75.34
Eritrea,2015,67.15
Estonia,1980,22.3
Estonia,1985,19.74
Estonia,1990,17.46
Estonia,1995,17.28
Estonia,2000,11.68
Estonia,2005,7.56
Estonia,2010,5.06
Estonia,2015,3.3
Ethiopia,1980,234.69
Ethiopia,1985,219.13
Ethiopia,1990,202.22
Ethiopia,1995,175.72
Ethiopia,2000,143.12
Ethiopia,2005,110.17
Ethiopia,2010,81.63
Ethiopia,2015,60.27
Fiji,1980,39.42
Fiji,1985,31.43
Fiji,1990,26.85
Fiji,1995,27.1
Fiji,2000,28.83
Fiji,2005,31.89
Fiji,2010,32.09
Fiji,2015,30.4
Finland,1980,8.75
Finland,1985,7.31
Finland,1990,6.97
Finland,1995,5.04
Finland,2000,4.18
Finland,2005,3.92
Finland,2010,3.01
Finland,2015,2.4
France,1980,12.8
France,1985,9.94
France,1990,8.89
France,1995,6.01
France,2000,5.47
France,2005,4.36
France,2010,4.23
France,2015,3.28
Gabon,1980,113.2
Gabon,1985,94.98
Gabon,1990,83.27
Gabon,1995,75.36
Gabon,2000,71.39
Gabon,2005,66.78
Gabon,2010,57.5
Gabon,2015,46.11
Gambia,1980,142.42
Gambia,1985,126.1
Gambia,1990,112.71
Gambia,1995,100.67
Gambia,2000,85.34
Gambia,2005,70.92
Gambia,2010,56.96
Gambia,2015,45.39
Georgia,1980,53.49
Georgia,1985,45.41
Georgia,1990,41.38
Georgia,1995,40.94
Georgia,2000,36.21
Georgia,2005,27.96
Georgia,2010,21.78
Georgia,2015,17.38
Germany,1980,15.5
Germany,1985,10.54
Germany,1990,9.23
Germany,1995,6.3
Germany,2000,5.31
Germany,2005,4.57
Germany,2010,4.03
Germany,2015,3.53
Ghana,1980,152.49
Ghana,1985,141.92
Ghana,1990,122.71
Ghana,1995,109.31
Ghana,2000,98.36
Ghana,2005,85.37
Ghana,2010,70.99
Ghana,2015,55.52
Greece,1980,20.65
Greece,1985,14.99
Greece,1990,10.48
Greece,1995,8.72
Greece,2000,6.2
Greece,2005,4.61
Greece,2010,4.45
Greece,2015,3.3
Greenland,1980,44.38
Greenland,1985,40.12
Greenland,1990,36.2
Greenland,1995,27.28
Greenland,2000,20.86
Greenland,2005,18.6
Greenland,2010,16.57
Greenland,2015,14.95
Grenada,1980,54.42
Grenada,1985,38.28
Grenada,1990,27.46
Grenada,1995,21.02
Grenada,2000,20.41
Grenada,2005,18.36
Grenada,2010,16.25
Grenada,2015,15.92
Guam,1980,19.44
Guam,1985,15.17
Guam,1990,13.47
Guam,1995,12.3
Guam,2000,11.71
Guam,2005,13.56
Guam,2010,16.15
Guam,2015,17.47
Guatemala,1980,126.97
Guatemala,1985,102.43
Guatemala,1990,80.93
Guatemala,1995,63.97
Guatemala,2000,51.35
Guatemala,2005,41.68
Guatemala,2010,33.14
Guatemala,2015,25.97
Guinea,1980,275.01
Guinea,1985,252.77
Guinea,1990,229.11
Guinea,1995,202.8
Guinea,2000,175.08
Guinea,2005,151.05
Guinea,2010,129
Guinea,2015,108.74
Guinea-Bissau,1980,230.62
Guinea-Bissau,1985,221.43
Guinea-Bissau,1990,208.36
Guinea-Bissau,1995,193.5
Guinea-Bissau,2000,179.32
Guinea-Bissau,2005,164.83
Guinea-Bissau,2010,144.18
Guinea-Bissau,2015,123.91
Guyana,1980,63.98
Guyana,1985,57.5
Guyana,1990,52.06
Guyana,1995,44.92
Guyana,2000,40.7
Guyana,2005,38.95
Guyana,2010,34.81
Guyana,2015,27.96
Haiti,1980,204.82
Haiti,1985,172.51
Haiti,1990,148.31
Haiti,1995,122.28
Haiti,2000,95.81
Haiti,2005,88.58
Haiti,2010,147.23
Haiti,2015,58.37
Honduras,1980,88.22
Honduras,1985,69.02
Honduras,1990,54.54
Honduras,1995,44.26
Honduras,2000,36.26
Honduras,2005,30.32
Honduras,2010,26.38
Honduras,2015,22.2
Hungary,1980,24.41
Hungary,1985,22.11
Hungary,1990,16.95
Hungary,1995,12.44
Hungary,2000,10.41
Hungary,2005,7.59
Hungary,2010,5.68
Hungary,2015,4.94
Iceland,1980,9.78
Iceland,1985,7.63
Iceland,1990,6.57
Iceland,1995,5.7
Iceland,2000,3.97
Iceland,2005,3.14
Iceland,2010,2.55
Iceland,2015,2.03
India,1980,157.92
India,1985,134.56
India,1990,115.47
India,1995,98.97
India,2000,83.76
India,2005,70.51
India,2010,58.66
India,2015,48.9
Indonesia,1980,127.44
Indonesia,1985,105.63
Indonesia,1990,84.35
Indonesia,1995,64.16
Indonesia,2000,50.07
Indonesia,2005,39.47
Indonesia,2010,30.93
Indonesia,2015,23.68
Iran,1980,112.41
Iran,1985,83.9
Iran,1990,74.86
Iran,1995,50.94
Iran,2000,38.95
Iran,2005,26.94
Iran,2010,18.16
Iran,2015,14.67
Iraq,1980,80.89
Iraq,1985,69.79
Iraq,1990,53.72
Iraq,1995,49.11
Iraq,2000,42.37
Iraq,2005,38.78
Iraq,2010,32.19
Iraq,2015,27.26
Ireland,1980,14.64
Ireland,1985,10.89
Ireland,1990,9.52
Ireland,1995,7.28
Ireland,2000,6.89
Ireland,2005,4.93
Ireland,2010,4.38
Ireland,2015,3.51
Israel,1980,18.53
Israel,1985,15.25
Israel,1990,12.2
Israel,1995,9.05
Israel,2000,7.34
Israel,2005,5.84
Israel,2010,4.87
Israel,2015,3.84
Italy,1980,15.68
Italy,1985,11.85
Italy,1990,9.52
Italy,1995,7.24
Italy,2000,5.48
Italy,2005,4.38
Italy,2010,3.92
Italy,2015,3.13
Jamaica,1980,37.26
Jamaica,1985,30.13
Jamaica,1990,27.51
Jamaica,1995,23.41
Jamaica,2000,21.99
Jamaica,2005,20.55
Jamaica,2010,20.31
Jamaica,2015,18.13
Japan,1980,9.84
Japan,1985,7.48
Japan,1990,6.13
Japan,1995,5.86
Japan,2000,4.6
Japan,2005,3.72
Japan,2010,3.15
Japan,2015,2.73
Jordan,1980,61.2
Jordan,1985,42.55
Jordan,1990,32.35
Jordan,1995,27.22
Jordan,2000,24.15
Jordan,2005,20.39
Jordan,2010,17.19
Jordan,2015,14.76
Kazakhstan,1980,53.88
Kazakhstan,1985,43.62
Kazakhstan,1990,39.12
Kazakhstan,1995,43.39
Kazakhstan,2000,35.78
Kazakhstan,2005,28.51
Kazakhstan,2010,22.22
Kazakhstan,2015,17.33
Kenya,1980,107.2
Kenya,1985,95.93
Kenya,1990,92.29
Kenya,1995,95.04
Kenya,2000,88.56
Kenya,2005,71.15
Kenya,2010,55.4
Kenya,2015,50.83
Kiribati,1980,102.73
Kiribati,1985,97.45
Kiribati,1990,84.31
Kiribati,1995,71.26
Kiribati,2000,64.69
Kiribati,2005,58.85
Kiribati,2010,48.72
Kiribati,2015,39.08
Kuwait,1980,31.07
Kuwait,1985,21.28
Kuwait,1990,16.09
Kuwait,1995,16.03
Kuwait,2000,12.57
Kuwait,2005,10.77
Kuwait,2010,10.13
Kuwait,2015,8.19
Kyrgyzstan,1980,91.27
Kyrgyzstan,1985,78.57
Kyrgyzstan,1990,65.04
Kyrgyzstan,1995,55.83
Kyrgyzstan,2000,49.62
Kyrgyzstan,2005,42.26
Kyrgyzstan,2010,35.91
Kyrgyzstan,2015,28.96
Laos,1980,233
Laos,1985,203.61
Laos,1990,184.68
Laos,1995,162.66
Laos,2000,142.89
Laos,2005,112.84
Laos,2010,81.16
Laos,2015,60.18
Latvia,1980,21.33
Latvia,1985,17.5
Latvia,1990,17.97
Latvia,1995,18.61
Latvia,2000,13.25
Latvia,2005,10.13
Latvia,2010,7.2
Latvia,2015,5.2
Lebanon,1980,68.09
Lebanon,1985,43.98
Lebanon,1990,35.23
Lebanon,1995,27.68
Lebanon,2000,21.75
Lebanon,2005,14.69
Lebanon,2010,10.38
Lebanon,2015,8.1
Lesotho,1980,99.98
Lesotho,1985,96.39
Lesotho,1990,91.58
Lesotho,1995,92.62
Lesotho,2000,106.34
Lesotho,2005,119.61
Lesotho,2010,104.63
Lesotho,2015,83.67
Liberia,1980,243.13
Liberia,1985,230.15
Liberia,1990,225.8
Liberia,1995,210.53
Liberia,2000,167.18
Liberia,2005,119.9
Liberia,2010,91.28
Liberia,2015,71.38
Libya,1980,65.99
Libya,1985,50.96
Libya,1990,41.53
Libya,1995,33.44
Libya,2000,28.12
Libya,2005,23.44
Libya,2010,18.99
Libya,2015,17.44
Lithuania,1980,18.61
Lithuania,1985,19.06
Lithuania,1990,14.03
Lithuania,1995,14.51
Lithuania,2000,11.12
Lithuania,2005,8.37
Lithuania,2010,5.71
Lithuania,2015,4.07
Luxembourg,1980,13.69
Luxembourg,1985,11.25
Luxembourg,1990,9.12
Luxembourg,1995,6
Luxembourg,2000,4.73
Luxembourg,2005,3.47
Luxembourg,2010,3.01
Luxembourg,2015,2.58
Macedonia,1980,55.3
Macedonia,1985,43.29
Macedonia,1990,34.68
Macedonia,1995,24.77
Macedonia,2000,15.39
Macedonia,2005,13.31
Macedonia,2010,10.02
Macedonia,2015,9.57
Madagascar,1980,160.07
Madagascar,1985,168.91
Madagascar,1990,143.12
Madagascar,1995,131.4
Madagascar,2000,107.08
Madagascar,2005,83.56
Madagascar,2010,75.84
Madagascar,2015,64.2
Malawi,1980,258.1
Malawi,1985,241.29
Malawi,1990,224.22
Malawi,1995,193.54
Malawi,2000,166.84
Malawi,2005,121.08
Malawi,2010,100.87
Malawi,2015,83.35
Malaysia,1980,31.73
Malaysia,1985,23.67
Malaysia,1990,16.82
Malaysia,1995,12.85
Malaysia,2000,9.28
Malaysia,2005,8.07
Malaysia,2010,8.26
Malaysia,2015,6.5
Maldives,1980,136.74
Maldives,1985,94.33
Maldives,1990,67.09
Maldives,1995,49.31
Maldives,2000,35.84
Maldives,2005,24.4
Maldives,2010,17.2
Maldives,2015,12.41
Mali,1980,276.41
Mali,1985,249.07
Mali,1990,228.96
Mali,1995,212.95
Mali,2000,192.59
Mali,2005,167.49
Mali,2010,147.35
Mali,2015,130.2
Malta,1980,15.49
Malta,1985,12.94
Malta,1990,9.66
Malta,1995,8.97
Malta,2000,7.13
Malta,2005,6.81
Malta,2010,6.78
Malta,2015,6.25
Marshall Islands,1980,54.35
Marshall Islands,1985,50.8
Marshall Islands,1990,43.22
Marshall Islands,1995,35.64
Marshall Islands,2000,38.77
Marshall Islands,2005,33.25
Marshall Islands,2010,24.63
Marshall Islands,2015,18.8
Mauritania,1980,141.19
Mauritania,1985,122.56
Mauritania,1990,108.79
Mauritania,1995,100.32
Mauritania,2000,92.52
Mauritania,2005,82.98
Mauritania,2010,67.91
Mauritania,2015,55.04
Mauritius,1980,40.75
Mauritius,1985,28.26
Mauritius,1990,22.38
Mauritius,1995,20.27
Mauritius,2000,17.86
Mauritius,2005,16.07
Mauritius,2010,14.9
Mauritius,2015,13.41
Mexico,1980,70.28
Mexico,1985,54.81
Mexico,1990,42.99
Mexico,1995,33.58
Mexico,2000,26.9
Mexico,2005,22.22
Mexico,2010,18.58
Mexico,2015,15.37
Micronesia (country),1980,59.11
Micronesia (country),1985,50.02
Micronesia (country),1990,40.78
Micronesia (country),1995,32.92
Micronesia (country),2000,23.8
Micronesia (country),2005,17.58
Micronesia (country),2010,14.13
Micronesia (country),2015,11.49
Moldova,1980,57.85
Moldova,1985,43.69
Moldova,1990,30.13
Moldova,1995,34.72
Moldova,2000,31.8
Moldova,2005,15.62
Moldova,2010,14.93
Moldova,2015,10.68
Mongolia,1980,123.85
Mongolia,1985,107.48
Mongolia,1990,89.35
Mongolia,1995,73.66
Mongolia,2000,59.51
Mongolia,2005,47.63
Mongolia,2010,37.68
Mongolia,2015,28.09
Montenegro,1980,33.41
Montenegro,1985,25.52
Montenegro,1990,19.11
Montenegro,1995,16.24
Montenegro,2000,20.07
Montenegro,2005,10.36
Montenegro,2010,6.9
Montenegro,2015,5.18
Morocco,1980,124.28
Morocco,1985,92.88
Morocco,1990,70.1
Morocco,1995,55.2
Morocco,2000,43.85
Morocco,2005,35.24
Morocco,2010,28.33
Morocco,2015,22.44
Mozambique,1980,227.57
Mozambique,1985,253.24
Mozambique,1990,214.21
Mozambique,1995,190.73
Mozambique,2000,157.46
Mozambique,2005,126.33
Mozambique,2010,99.66
Mozambique,2015,77.93
Myanmar,1980,142.18
Myanmar,1985,126.38
Myanmar,1990,110.23
Myanmar,1995,93.58
Myanmar,2000,78.49
Myanmar,2005,61.6
Myanmar,2010,44.49
Myanmar,2015,32.37
Namibia,1980,98.34
Namibia,1985,81.54
Namibia,1990,71.65
Namibia,1995,60.18
Namibia,2000,63.71
Namibia,2005,64.26
Namibia,2010,55.26
Namibia,2015,40.52
Nepal,1980,202.34
Nepal,1985,169.95
Nepal,1990,136.1
Nepal,1995,105.5
Nepal,2000,80.55
Nepal,2005,63.16
Nepal,2010,48.02
Nepal,2015,36.91
Netherlands,1980,11.08
Netherlands,1985,9.79
Netherlands,1990,8.72
Netherlands,1995,6.8
Netherlands,2000,6.47
Netherlands,2005,5.46
Netherlands,2010,4.42
Netherlands,2015,3.91
New Zealand,1980,15.38
New Zealand,1985,13.56
New Zealand,1990,11.07
New Zealand,1995,8.67
New Zealand,2000,7.44
New Zealand,2005,6.51
New Zealand,2010,6.12
New Zealand,2015,5.27
Nicaragua,1980,103.89
Nicaragua,1985,83.33
Nicaragua,1990,62.7
Nicaragua,1995,48.41
Nicaragua,2000,35.55
Nicaragua,2005,26.44
Nicaragua,2010,20.16
Nicaragua,2015,15.36
Niger,1980,316.2
Niger,1985,311.07
Niger,1990,296.08
Niger,1995,265.81
Niger,2000,223.68
Niger,2005,175.88
Niger,2010,137.04
Niger,2015,112.77
Nigeria,1980,223.97
Nigeria,1985,211.91
Nigeria,1990,207.88
Nigeria,1995,198.2
Nigeria,2000,183.06
Nigeria,2005,161.5
Nigeria,2010,132.58
Nigeria,2015,103.84
North Korea,1980,97.12
North Korea,1985,75.27
North Korea,1990,56.34
North Korea,1995,143.09
North Korea,2000,133.09
North Korea,2005,31.53
North Korea,2010,24.99
North Korea,2015,19.22
Northern Ireland,1980,16.17
Northern Ireland,1985,11.92
Northern Ireland,1990,9.23
Northern Ireland,1995,7.74
Northern Ireland,2000,6.41
Northern Ireland,2005,6.77
Northern Ireland,2010,6.4
Northern Ireland,2015,5.33
Northern Mariana Islands,1980,29.23
Northern Mariana Islands,1985,22.81
Northern Mariana Islands,1990,17.63
Northern Mariana Islands,1995,13.57
Northern Mariana Islands,2000,9.83
Northern Mariana Islands,2005,8.33
Northern Mariana Islands,2010,5.58
Northern Mariana Islands,2015,5.97
Norway,1980,9.94
Norway,1985,10.12
Norway,1990,8.95
Norway,1995,5.48
Norway,2000,4.94
Norway,2005,3.91
Norway,2010,3.2
Norway,2015,2.71
Oman,1980,119.88
Oman,1985,70.58
Oman,1990,42.13
Oman,1995,25.8
Oman,2000,15.26
Oman,2005,10.89
Oman,2010,11.81
Oman,2015,9.37
Pakistan,1980,144.15
Pakistan,1985,125.95
Pakistan,1990,110.58
Pakistan,1995,98.58
Pakistan,2000,90.41
Pakistan,2005,84.02
Pakistan,2010,72.98
Pakistan,2015,63
Palestine,1980,61.91
Palestine,1985,42.3
Palestine,1990,39.22
Palestine,1995,28.74
Palestine,2000,25.78
Palestine,2005,23.29
Palestine,2010,20.07
Palestine,2015,17.27
Panama,1980,36.75
Panama,1985,30.61
Panama,1990,27.35
Panama,1995,25.13
Panama,2000,22.94
Panama,2005,21.16
Panama,2010,19.47
Panama,2015,17.55
Papua New Guinea,1980,103.35
Papua New Guinea,1985,97.36
Papua New Guinea,1990,91.71
Papua New Guinea,1995,83.58
Papua New Guinea,2000,75.56
Papua New Guinea,2005,67.81
Papua New Guinea,2010,56.68
Papua New Guinea,2015,44.47
Paraguay,1980,51.77
Paraguay,1985,42.92
Paraguay,1990,32.53
Paraguay,1995,28.66
Paraguay,2000,28.1
Paraguay,2005,25.24
Paraguay,2010,21.35
