Entity,Year,Increase in life expectancy by hours per day (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy by months per year (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy (hours per day) between 1950-2015 (OWID calculations based on UN Population Division (2017 Revision))
Antigua and Barbuda,1970,8.3952026,4.1976013,
Antigua and Barbuda,1975,7.5935669,3.7967834,
Antigua and Barbuda,1980,6.6912231,3.3456116,
Antigua and Barbuda,1985,6.307178,3.1535888,
Antigua and Barbuda,1990,5.5872068,2.7936034,
Antigua and Barbuda,1995,5.2272215,2.6136107,
Antigua and Barbuda,2000,5.28479,2.642395,
Antigua and Barbuda,2005,4.8143921,2.407196,
Antigua and Barbuda,2010,4.1664181,2.0832093,
Antigua and Barbuda,2015,3.8159914,1.9079956,6.893908
Argentina,1950,,,0
Argentina,1955,11.179211,5.5896058,
Argentina,1960,6.1152096,3.057605,
Argentina,1965,2.2031984,1.1015991,
Argentina,1970,4.6463747,2.3231874,
Argentina,1975,7.2047977,3.6023986,
Argentina,1980,7.2672,3.6335998,
Argentina,1985,5.56322,2.78161,
Argentina,1990,4.5216064,2.2608032,
Argentina,1995,5.539197,2.7695985,
Argentina,2000,5.3423948,2.6711974,
Argentina,2005,4.5264034,2.263202,
Argentina,2010,3.9359987,1.9679992,
Argentina,2015,3.9359987,1.9679992,5.5369854
Armenia,1950,,,0
Armenia,1955,9.1152096,4.5576048,
Armenia,1960,10.108795,5.0543976,
Armenia,1965,10.4688,5.2343993,
Armenia,1970,9.5567875,4.7783937,
Armenia,1975,3.0719969,1.5359986,
Armenia,1980,.74403071,.37201539,
Armenia,1985,-5.9520264,-2.9760132,
Armenia,1990,-8.7312012,-4.3656006,
Armenia,1995,5.0832272,2.5416138,
Armenia,2000,11.860767,5.9303832,
Armenia,2005,5.8368168,2.9184082,
Armenia,2010,3.3888063,1.6944031,
Armenia,2015,5.3471928,2.6735961,4.6076307
Aruba,1950,,,0
Aruba,1955,20.486408,10.243204,
Aruba,1960,14.28001,7.1400056,
Aruba,1965,8.510376,4.255188,
Aruba,1970,8.1840096,4.0920043,
Aruba,1975,8.1264038,4.0632019,
Aruba,1980,7.0079956,3.5039978,
Aruba,1985,4.2624025,2.1312013,
Aruba,1990,1.3776124,.68880618,
Aruba,1995,.73919678,.36959839,
Aruba,2000,.79200435,.3960022,
Aruba,2005,2.4000001,1.2,
Aruba,2010,3.499182,1.7495911,
Aruba,2015,3.4031982,1.7015991,6.3899074
Asia,1950,,,0
Asia,1955,11.193584,5.5967927,
Asia,1960,8.0640011,4.0320005,
Asia,1965,20.692802,10.346402,
Asia,1970,25.871996,12.935999,
Asia,1975,15.019207,7.509604,
Asia,1980,11.88479,5.9423952,
Asia,1985,10.089605,5.0448027,
Asia,1990,8.5679989,4.2839994,
Asia,1995,7.2239871,3.6119933,
Asia,2000,8.4048347,4.2024169,
Asia,2005,8.9567871,4.4783936,
Asia,2010,7.6464114,3.8232055,
Asia,2015,6.0191898,3.0095947,11.5104
Australia,1950,,,0
Australia,1955,5.5296021,2.764801,
Australia,1960,3.5519896,1.7759949,
Australia,1965,.41279295,.20639649,
Australia,1970,1.612793,.80639648,
Australia,1975,7.0368161,3.5184083,
Australia,1980,8.4624023,4.2312012,
Australia,1985,5.995203,2.9976013,
Australia,1990,6.2111936,3.105597,
Australia,1995,6.3984013,3.1992004,
Australia,2000,6.3647823,3.1823914,
Australia,2005,6.5520267,3.2760131,
Australia,2010,4.5840092,2.2920043,
Australia,2015,3.9167726,1.9583862,5.1252913
Australia/New Zealand,1950,,,0
Australia/New Zealand,1955,5.3759766,2.6879883,
Australia/New Zealand,1960,3.5136108,1.7568054,
Australia/New Zealand,1965,.54719234,.2735962,
Australia/New Zealand,1970,1.5407958,.77039796,
Australia/New Zealand,1975,6.3552246,3.1776123,
Australia/New Zealand,1980,7.857605,3.9288025,
Australia/New Zealand,1985,5.6687984,2.8343995,
Australia/New Zealand,1990,6.2543697,3.1271851,
Australia/New Zealand,1995,6.6719971,3.3359985,
Australia/New Zealand,2000,6.369617,3.1848083,
Australia/New Zealand,2005,6.590405,3.2952027,
Australia/New Zealand,2010,4.7280025,2.3640015,
Australia/New Zealand,2015,3.9791746,1.9895874,5.0348287
Austria,1950,,,0
Austria,1955,5.81283,2.9064147,
Austria,1960,8.039978,4.019989,
Austria,1965,5.0592041,2.5296021,
Austria,1970,2.0976195,1.0488098,
Austria,1975,4.8959837,2.4479918,
Austria,1980,5.995203,2.9976013,
Austria,1985,7.0079956,3.5039978,
Austria,1990,6.9936032,3.4968019,
Austria,1995,5.8895874,2.9447937,
Austria,2000,6.796802,3.3984008,
Austria,2005,6.369617,3.1848083,
Austria,2010,4.8863888,2.4431946,
Austria,2015,4.0127926,2.0063965,5.6813545
Azerbaijan,1950,,,0
Azerbaijan,1955,10.257605,5.1288023,
Azerbaijan,1960,7.147192,3.5735962,
Azerbaijan,1965,5.1312008,2.5656006,
Azerbaijan,1970,4.9775944,2.4887969,
Azerbaijan,1975,3.0480101,1.5240052,
Azerbaijan,1980,1.8480102,.92400515,
Azerbaijan,1985,3.6095946,1.8047974,
Azerbaijan,1990,-.41279295,-.20639649,
Azerbaijan,1995,2.0591674,1.0295837,
Azerbaijan,2000,7.2336178,3.6168091,
Azerbaijan,2005,9.5375977,4.7687988,
Azerbaijan,2010,10.737598,5.3687987,
Azerbaijan,2015,4.4831905,2.2415955,5.3582759
Bahamas,1950,,,0
Bahamas,1955,8.9664001,4.4832001,
Bahamas,1960,8.8031979,4.4015989,
Bahamas,1965,7.7616024,3.8808014,
Bahamas,1970,6.9359989,3.4679992,
Bahamas,1975,6.4703979,3.235199,
Bahamas,1980,5.9184084,2.9592042,
Bahamas,1985,5.4671993,2.7335999,
Bahamas,1990,5.0015993,2.5007997,
Bahamas,1995,3.1007814,1.5503906,
Bahamas,2000,4.891223,2.4456115,
Bahamas,2005,6.8015995,3.4007995,
Bahamas,2010,4.6751957,2.3375976,
Bahamas,2015,3.6767943,1.8383973,6.0361848
Bahrain,1950,,,0
Bahrain,1955,20.903999,10.451999,
Bahrain,1960,30.48481,15.242404,
Bahrain,1965,31.291206,15.645602,
Bahrain,1970,24.292803,12.146402,
Bahrain,1975,17.241596,8.6207981,
Bahrain,1980,12.048011,6.0240049,
Bahrain,1985,8.0975838,4.0487914,
Bahrain,1990,5.534399,2.7671998,
Bahrain,1995,4.9104128,2.4552064,
Bahrain,2000,4.9296017,2.4648011,
Bahrain,2005,4.2527714,2.1263855,
Bahrain,2010,3.5040159,1.7520081,
Bahrain,2015,3.3840086,1.6920044,13.144247
Bangladesh,1950,,,0
Bangladesh,1955,16.775993,8.3879976,
Bangladesh,1960,15.691204,7.8456025,
Bangladesh,1965,13.723186,6.8615937,
Bangladesh,1970,-5.6015987,-2.8007996,
Bangladesh,1975,6.4416142,3.2208068,
Bangladesh,1980,22.142395,11.071198,
Bangladesh,1985,10.079992,5.0399961,
Bangladesh,1990,13.550408,6.7752047,
Bangladesh,1995,16.641594,8.3207979,
Bangladesh,2000,16.588787,8.2943935,
Bangladesh,2005,12.542396,6.2711973,
Bangladesh,2010,10.852808,5.426404,
Bangladesh,2015,9.3936043,4.6968017,12.217108
Barbados,1950,,,0
Barbados,1955,11.745594,5.8727965,
Barbados,1960,11.760004,5.880002,
Barbados,1965,11.635199,5.8175993,
Barbados,1970,10.286407,5.1432037,
Barbados,1975,7.8432126,3.9216065,
Barbados,1980,7.3103757,3.6551881,
Barbados,1985,6.8111935,3.405597,
Barbados,1990,5.9424314,2.9712157,
Barbados,1995,5.2703981,2.6351991,
Barbados,2000,4.3007813,2.1503906,
Barbados,2005,3.7728148,1.8864075,
Barbados,2010,3.8879881,1.9439942,
Barbados,2015,3.7535887,1.8767945,7.255384
Belarus,1950,,,0
Belarus,1955,29.85121,14.925604,
Belarus,1960,19.63678,9.8183899,
Belarus,1965,9.0624027,4.5312014,
Belarus,1970,2.9232054,1.4616028,
Belarus,1975,-.23997802,-.11998902,
Belarus,1980,-1.4784303,-.73921508,
Belarus,1985,3.3312013,1.6656005,
Belarus,1990,-1.1279664,-.56398314,
Belarus,1995,-11.390406,-5.6952028,
Belarus,2000,-4.3584232,-2.1792114,
Belarus,2005,4.7471924,2.3735962,
Belarus,2010,11.448009,5.7240052,
Belarus,2015,9.6432133,4.8216066,5.5421548
Belgium,1950,,,0
Belgium,1955,8.6304207,4.3152099,
Belgium,1960,5.8271847,2.9135926,
Belgium,1965,2.56322,1.2816101,
Belgium,1970,2.5871706,1.2935852,
Belgium,1975,4.7664185,2.3832092,
Belgium,1980,5.8991823,2.9495912,
Belgium,1985,6.3840084,3.1920044,
Belgium,1990,6.0671997,3.0335999,
Belgium,1995,5.0159912,2.5079956,
Belgium,2000,4.607996,2.3039978,
Belgium,2005,5.318408,2.659204,
Belgium,2010,5.2656002,2.6328003,
Belgium,2015,4.2815914,2.1407959,5.1703377
Belize,1950,,,0
Belize,1955,11.918407,5.9592042,
Belize,1960,12.921589,6.460794,
Belize,1965,13.641613,6.820807,
Belize,1970,13.166401,6.5832,
Belize,1975,10.487988,5.2439942,
Belize,1980,8.7648201,4.3824096,
Belize,1985,7.3583865,3.679193,
Belize,1990,.65280759,.3264038,
Belize,1995,-8.2992191,-4.1496096,
Belize,2000,-5.7023802,-2.8511901,
Belize,2005,3.3312013,1.6656005,
Belize,2010,3.1343994,1.5671997,
Belize,2015,2.4767942,1.2383972,5.6809855
Benin,1950,,,0
Benin,1955,10.804798,5.4023986,
Benin,1960,11.145594,5.5727968,
Benin,1965,11.251209,5.6256042,
Benin,1970,12.177593,6.0887971,
Benin,1975,13.103997,6.5519991,
Benin,1980,11.078394,5.539197,
Benin,1985,13.651208,6.8256044,
Benin,1990,18.134399,9.0671997,
Benin,1995,6.6767941,3.3383973,
Benin,2000,.90239865,.45119935,
Benin,2005,9.4272041,4.7136016,
Benin,2010,9.4272041,4.7136016,
Benin,2015,6.3359985,3.1679993,10.316676
Bhutan,1950,,,0
Bhutan,1955,6.3887973,3.1943984,
Bhutan,1960,7.3248043,3.6624024,
Bhutan,1965,10.65119,5.3255949,
Bhutan,1970,13.871998,6.9359984,
Bhutan,1975,12.844811,6.4224062,
Bhutan,1980,15.134399,7.5671997,
Bhutan,1985,17.8032,8.9015989,
Bhutan,1990,17.788807,8.8944035,
Bhutan,1995,18.134399,9.0671997,
Bhutan,2000,19.684792,9.8423948,
Bhutan,2005,19.795219,9.8976107,
Bhutan,2010,13.958385,6.9791932,
Bhutan,2015,9.7296028,4.8648009,14.085417
Bolivia,1950,,,0
Bolivia,1955,5.539197,2.7695985,
Bolivia,1960,7.0224056,3.5112031,
Bolivia,1965,7.9775944,3.9887969,
Bolivia,1970,8.9808102,4.4904051,
Bolivia,1975,9.9551888,4.9775939,
Bolivia,1980,10.881611,5.440805,
Bolivia,1985,11.807995,5.9039979,
Bolivia,1990,12.633599,6.3168001,
Bolivia,1995,13.238397,6.6191988,
Bolivia,2000,13.574395,6.7871981,
Bolivia,2005,13.670399,6.8351989,
Bolivia,2010,13.775994,6.8879976,
Bolivia,2015,11.270397,5.6351991,10.79446
Bosnia and Herzegovina,1950,,,0
Bosnia and Herzegovina,1955,23.313591,11.656796,
Bosnia and Herzegovina,1960,19.560005,9.7800016,
Bosnia and Herzegovina,1965,14.5344,7.2671995,
Bosnia and Herzegovina,1970,13.468781,6.7343903,
Bosnia and Herzegovina,1975,12.888024,6.4440126,
Bosnia and Herzegovina,1980,7.3296018,3.6648011,
Bosnia and Herzegovina,1985,5.4479733,2.7239869,
Bosnia and Herzegovina,1990,-3.153589,-1.5767944,
Bosnia and Herzegovina,1995,3.6767943,1.8383973,
Bosnia and Herzegovina,2000,13.296021,6.6480103,
Bosnia and Herzegovina,2005,3.8879881,1.9439942,
Bosnia and Herzegovina,2010,3.273596,1.6367981,
Bosnia and Herzegovina,2015,3.9840088,1.9920044,9.3467073
Botswana,1950,,,0
Botswana,1955,8.9136105,4.4568052,
Botswana,1960,9.4559879,4.727994,
Botswana,1965,8.4335995,4.2167997,
Botswana,1970,10.516809,5.2584047,
Botswana,1975,14.937598,7.4687986,
Botswana,1980,14.457604,7.2288027,
Botswana,1985,8.750391,4.3751955,
Botswana,1990,-3.1248045,-1.5624024,
Botswana,1995,-30.599998,-15.3,
Botswana,2000,-31.199999,-15.6,
Botswana,2005,15.048011,7.5240049,
Botswana,2010,36.974396,18.487198,
Botswana,2015,28.694405,14.347201,7.0198159
Brazil,1950,,,0
Brazil,1955,8.5920048,4.2960024,
Brazil,1960,11.486408,5.7432036,
Brazil,1965,12.254388,6.1271944,
Brazil,1970,11.328003,5.6640015,
Brazil,1975,7.8144107,3.9072051,
Brazil,1980,5.764801,2.8824005,
Brazil,1985,7.3487911,3.6743958,
Brazil,1990,8.5728149,4.2864075,
Brazil,1995,11.039978,5.519989,
Brazil,2000,11.784008,5.8920045,
Brazil,2005,9.5280037,4.7640014,
Brazil,2010,8.6303825,4.3151917,
Brazil,2015,6.9407959,3.4703979,9.3142147
Brunei,1950,,,0
Brunei,1955,11.448009,5.7240052,
Brunei,1960,13.612793,6.8063965,
Brunei,1965,11.952007,5.9760041,
Brunei,1970,9.460804,4.7304015,
Brunei,1975,8.534399,4.2671995,
Brunei,1980,7.3152103,3.6576049,
Brunei,1985,6.55199,3.2759948,
Brunei,1990,6.3407955,3.170398,
Brunei,1995,5.7312012,2.8656006,
Brunei,2000,5.2416134,2.6208069,
Brunei,2005,5.2271852,2.6135926,
Brunei,2010,2.0544066,1.0272033,
Brunei,2015,1.5695801,.78479004,7.3107691
Bulgaria,1950,,,0
Bulgaria,1955,20.644794,10.322397,
Bulgaria,1960,19.891186,9.9455929,
Bulgaria,1965,9.7200069,4.8600035,
Bulgaria,1970,.91201168,.45600587,
Bulgaria,1975,.22078858,.11039428,
Bulgaria,1980,.36961669,.18480834,
Bulgaria,1985,.88798833,.44399413,
Bulgaria,1990,-.36478269,-.18239136,
Bulgaria,1995,-1.6464111,-.82320559,
Bulgaria,2000,2.7359986,1.3679993,
Bulgaria,2005,5.6255856,2.812793,
Bulgaria,2010,5.0208254,2.5104127,
Bulgaria,2015,4.329565,2.1647828,5.2574749
Burkina Faso,1950,,,0
Burkina Faso,1955,10.295994,5.1479964,
Burkina Faso,1960,11.064001,5.5320005,
Burkina Faso,1965,11.438396,5.7191987,
Burkina Faso,1970,10.944012,5.4720063,
Burkina Faso,1975,12.167999,6.0839996,
Burkina Faso,1980,21.211193,10.605597,
Burkina Faso,1985,15.71521,7.857605,
Burkina Faso,1990,.62878418,.31439209,
Burkina Faso,1995,-.043194577,-.02159729,
Burkina Faso,2000,5.0111942,2.5055969,
Burkina Faso,2005,13.540813,6.7704072,
Burkina Faso,2010,18.172798,9.0863981,
Burkina Faso,2015,13.588787,6.794394,11.056615
Burundi,1950,,,0
Burundi,1955,6.5087948,3.2543976,
Burundi,1960,7.2143917,3.6071961,
Burundi,1965,7.4736142,3.7368073,
Burundi,1970,4.7567873,2.3783937,
Burundi,1975,6.8976016,3.4488006,
Burundi,1980,9.8304024,4.9152007,
Burundi,1985,7.3488102,3.6744049,
Burundi,1990,-3.8015993,-1.9007995,
Burundi,1995,3.8735962,1.9367981,
Burundi,2000,12.887989,6.443994,
Burundi,2005,5.7120113,2.8560059,
Burundi,2010,10.204798,5.1023989,
Burundi,2015,10.718409,5.3592043,6.8942771
Cambodia,1950,,,0
Cambodia,1955,4.3536072,2.1768036,
Cambodia,1960,2.2367983,1.118399,
Cambodia,1965,4.0367985,2.018399,
Cambodia,1970,-2.4815917,-1.2407959,
Cambodia,1975,-86.260818,-43.130405,
Cambodia,1980,18.916801,9.4583998,
Cambodia,1985,110.5296,55.264801,
Cambodia,1990,14.553608,7.2768035,
Cambodia,1995,7.6511898,3.8255951,
Cambodia,2000,15.5664,7.7832003,
Cambodia,2005,22.348808,11.174405,
Cambodia,2010,16.641594,8.3207979,
Cambodia,2015,9.9120121,4.9560061,10.615755
Cameroon,1950,,,0
Cameroon,1955,7.5600033,3.7800019,
Cameroon,1960,10.089605,5.0448027,
Cameroon,1965,10.535999,5.2679992,
Cameroon,1970,11.342396,5.6711974,
Cameroon,1975,12.864002,6.4320006,
Cameroon,1980,11.649591,5.8247957,
Cameroon,1985,7.1376157,3.5688081,
Cameroon,1990,-2.3472109,-1.1736053,
Cameroon,1995,-10.5312,-5.2656007,
Cameroon,2000,.052807614,.026403809,
Cameroon,2005,13.871998,6.9359984,
Cameroon,2010,12.038398,6.0191984,
Cameroon,2015,10.358404,5.1792021,7.2786469
Canada,1950,,,0
Canada,1955,5.9136105,2.9568055,
Canada,1960,5.4815922,2.7407959,
Canada,1965,4.2864256,2.1432128,
Canada,1970,3.7631836,1.8815918,
Canada,1975,5.1120119,2.556006,
Canada,1980,7.1904049,3.5952027,
Canada,1985,6.1487918,3.0743957,
Canada,1990,4.38241,2.1912048,
Canada,1995,4.0656004,2.0328002,
Canada,2000,4.6463747,2.3231874,
Canada,2005,5.3664188,2.6832092,
Canada,2010,5.0495729,2.5247865,
Canada,2015,4.4256229,2.2128112,5.0640011
Cape Verde,1950,,,0
Cape Verde,1955,3.5327818,1.766391,
Cape Verde,1960,2.3712158,1.1856079,
Cape Verde,1965,8.8511906,4.4255953,
Cape Verde,1970,13.905598,6.9527984,
Cape Verde,1975,20.548809,10.274405,
Cape Verde,1980,18.038399,9.0191984,
Cape Verde,1985,7.4880066,3.7440033,
Cape Verde,1990,7.723187,3.8615937,
Cape Verde,1995,8.8464108,4.4232054,
Cape Verde,2000,14.529602,7.264801,
Cape Verde,2005,9.6624031,4.8312011,
Cape Verde,2010,.86879879,.43439943,
Cape Verde,2015,3.1583862,1.5791931,9.1942139
Caribbean,1950,,,0
Caribbean,1955,14.088006,7.0440035,
Caribbean,1960,15.244793,7.6223969,
Caribbean,1965,13.98241,6.9912047,
Caribbean,1970,11.313593,5.6567965,
Caribbean,1975,8.1936035,4.0968018,
Caribbean,1980,5.6880064,2.8440032,
Caribbean,1985,5.6831913,2.8415954,
Caribbean,1990,5.2079954,2.6039977,
Caribbean,1995,4.9200077,2.4600036,
Caribbean,2000,5.3856077,2.6928039,
Caribbean,2005,5.750391,2.8751953,
Caribbean,2010,6.124805,3.0624022,
Caribbean,2015,5.0544071,2.5272033,8.2028313
Central African Republic,1950,,,0
Central African Republic,1955,8.9087944,4.4543977,
Central African Republic,1960,9.7199898,4.8599944,
Central African Republic,1965,10.776012,5.3880067,
Central African Republic,1970,15.417591,7.7087951,
Central African Republic,1975,18.97921,9.4896059,
Central African Republic,1980,14.332801,7.1664,
Central African Republic,1985,4.4976015,2.2488008,
Central African Republic,1990,-5.0688171,-2.5344086,
Central African Republic,1995,-12.071998,-6.0359983,
Central African Republic,2000,-11.111994,-5.5559969,
Central African Republic,2005,2.539197,1.2695984,
Central African Republic,2010,14.851208,7.4256043,
Central African Republic,2015,18.479992,9.239996,6.9422765
Central America,1950,,,0
Central America,1955,19.603199,9.8015995,
Central America,1960,17.755207,8.8776035,
Central America,1965,12.441596,6.2207975,
Central America,1970,10.607996,5.303998,
Central America,1975,12.091206,6.0456023,
Central America,1980,11.644794,5.8223968,
Central America,1985,11.260803,5.6304016,
Central America,1990,11.21759,5.6087952,
Central America,1995,10.2672,5.1335998,
Central America,2000,8.0496101,4.0248046,
Central America,2005,5.4239864,2.7119935,
Central America,2010,4.4544067,2.2272034,
Central America,2015,4.612793,2.3063965,10.725414
Central Asia,1950,,,0
Central Asia,1955,8.9712162,4.4856081,
Central Asia,1960,9.8159904,4.9079957,
Central Asia,1965,9.7584038,4.8792024,
Central Asia,1970,8.539196,4.2695985,
Central Asia,1975,5.8272038,2.9136016,
Central Asia,1980,5.7359982,2.8679993,
Central Asia,1985,7.7087955,3.8543975,
Central Asia,1990,.67679441,.3383972,
Central Asia,1995,-5.6640015,-2.8320007,
Central Asia,2000,1.8480102,.92400515,
Central Asia,2005,7.9728146,3.9864075,
Central Asia,2010,10.103979,5.0519896,
Central Asia,2015,7.5551877,3.7775941,6.0653529
Chad,1950,,,0
Chad,1955,5.5152102,2.7576051,
Chad,1960,6.3359985,3.1679993,
Chad,1965,6.3695984,3.1847992,
Chad,1970,9.5328007,4.7664003,
Chad,1975,9.5759945,4.7879972,
Chad,1980,6.6095943,3.3047974,
Chad,1985,6.6144104,3.3072052,
Chad,1990,4.1759949,2.0879974,
Chad,1995,2.2992005,1.1496003,
Chad,2000,.77759403,.38879699,
Chad,2005,2.2128115,1.1064056,
Chad,2010,10.459204,5.2296019,
Chad,2015,11.241596,5.6207976,6.2861547
Channel Islands,1950,,,0
Channel Islands,1955,6.9984012,3.4992003,
Channel Islands,1960,3.6719971,1.8359985,
Channel Islands,1965,2.5248046,1.2624023,
Channel Islands,1970,2.6783934,1.3391968,
Channel Islands,1975,2.8127928,1.4063965,
Channel Islands,1980,4.9440308,2.4720154,
Channel Islands,1985,5.044775,2.5223877,
Channel Islands,1990,4.881628,2.4408143,
Channel Islands,1995,4.9007816,2.4503906,
Channel Islands,2000,5.1551876,2.577594,
Channel Islands,2005,6.590405,3.2952027,
Channel Islands,2010,5.6159916,2.8079956,
Channel Islands,2015,3.9024172,1.9512085,4.5939693
Chile,1950,,,0
Chile,1955,7.1567874,3.5783935,
Chile,1960,8.6928043,4.3464022,
Chile,1965,10.5312,5.2656007,
Chile,1970,13.593604,6.7968016,
Chile,1975,16.065582,8.0327911,
Chile,1980,16.396801,8.1984005,
Chile,1985,12.792004,6.3960023,
Chile,1990,9.3168087,4.6584044,
Chile,1995,8.1312008,4.0656004,
Chile,2000,6.8111935,3.405597,
Chile,2005,4.7904053,2.3952026,
Chile,2010,3.1824095,1.5912049,
Chile,2015,4.1328001,2.0664001,9.3533545
China,1950,,,0
China,1955,6.6527896,3.3263946,
China,1960,-3.0288026,-1.5144012,
China,1965,27.955208,13.977603,
China,1970,45.772797,22.886398,
China,1975,23.18401,11.592005,
China,1980,14.054406,7.0272036,
China,1985,7.7183719,3.8591857,
China,1990,4.0416136,2.0208068,
China,1995,4.142395,2.0711975,
China,2000,8.6352177,4.3176088,
China,2005,9.7535896,4.8767943,
China,2010,5.995203,2.9976013,
China,2015,4.1088133,2.0544066,12.229662
Colombia,1950,,,0
Colombia,1955,23.044811,11.522406,
Colombia,1960,17.092785,8.5463924,
Colombia,1965,11.270397,5.6351991,
Colombia,1970,8.6880074,4.3440032,
Colombia,1975,9.0288029,4.5144014,
Colombia,1980,13.031982,6.5159912,
Colombia,1985,9.9936028,4.9968019,
Colombia,1990,3.3792114,1.6896057,
Colombia,1995,5.4528074,2.7264037,
Colombia,2000,7.6367798,3.8183899,
Colombia,2005,6.1632199,3.0816102,
Colombia,2010,4.9055786,2.4527893,
Colombia,2015,4.1999998,2.0999999,9.5298452
Comoros,1950,,,0
Comoros,1955,6.9600034,3.4800019,
Comoros,1960,9.1151924,4.5575957,
Comoros,1965,9.5952034,4.7976012,
Comoros,1970,10.540796,5.2703981,
Comoros,1975,10.776012,5.3880067,
Comoros,1980,13.094402,6.5472016,
Comoros,1985,15.494385,7.7471924,
Comoros,1990,13.603199,6.801599,
Comoros,1995,9.8160095,4.9080048,
Comoros,2000,3.5423949,1.7711976,
Comoros,2005,3.1968019,1.5984008,
Comoros,2010,8.3327999,4.1664,
Comoros,2015,7.7328,3.8664002,9.3692303
Congo,1950,,,0
Congo,1955,16.439995,8.2199984,
Congo,1960,17.078411,8.5392056,
Congo,1965,13.71839,6.8591948,
Congo,1970,9.2160091,4.6080046,
Congo,1975,6.8879886,3.443994,
Congo,1980,6.3744144,3.187207,
Congo,1985,3.5231874,1.7615936,
Congo,1990,-4.4304018,-2.2152009,
Congo,1995,-12.993585,-6.4967928,
Congo,2000,-8.8800106,-4.4400053,
Congo,2005,15.792004,7.8960023,
Congo,2010,27.772797,13.886398,
Congo,2015,17.467201,8.7335997,8.3051071
Costa Rica,1950,,,0
Costa Rica,1955,9.9936028,4.9968019,
Costa Rica,1960,15.960003,7.9800019,
Costa Rica,1965,15.801599,7.9007998,
Costa Rica,1970,12.436817,6.2184081,
Costa Rica,1975,12.638378,6.3191895,
Costa Rica,1980,14.270397,7.1351991,
Costa Rica,1985,11.308813,5.6544065,
Costa Rica,1990,5.9375973,2.9687989,
Costa Rica,1995,4.4783936,2.2391968,
Costa Rica,2000,4.2095947,2.1047974,
Costa Rica,2005,3.1968019,1.5984008,
Costa Rica,2010,3.0815916,1.5407959,
Costa Rica,2015,4.2144289,2.1072145,9.040617
Cote d'Ivoire,1950,,,0
