Entity,Year,Income group,Harmonized national poverty line
India,2011,Lower middle income,2.1678009263928115
Indonesia,2017,Lower middle income,2.4127466097949557
Iraq,2012,Upper middle income,6.258799375070656
Ireland,2017,High income,26.453819413708764
Israel,2016,High income,17.03177085946311
Italy,2017,High income,22.854223691814546
Jamaica,2004,Lower middle income,5.12183340129864
Jordan,2010,Upper middle income,7.92362353434137
Kazakhstan,2017,Upper middle income,4.58607829022812
Kenya,2015,Lower middle income,2.4147778294608355
Kiribati,2006,Lower middle income,2.7275618993361754
Kosovo,2017,Lower middle income,6.350940755482764
Kyrgyzstan,2017,Lower middle income,4.076123402809604
Laos,2018,Lower middle income,2.84549679319919
Latvia,2017,High income,15.22250802621735
Lebanon,2011,Upper middle income,18.736741727169356
Lesotho,2017,Lower middle income,3.217914895933
Liberia,2016,Low income,3.134714542968071
Lithuania,2017,High income,16.553371763762776
Luxembourg,2017,High income,36.333797840806966
Madagascar,2012,Low income,1.6433092753644256
Malawi,2016,Low income,1.6849365082074628
Malaysia,2015,Upper middle income,8.002602798494996
Maldives,2016,Upper middle income,7.753761299226022
Mali,2009,Low income,1.9524982399275452
Malta,2017,High income,26.134130650096136
Mauritania,2014,Lower middle income,3.948635758858676
Mauritius,2017,Upper middle income,6.241455902511055
Mexico,2018,Upper middle income,8.959679075038663
Micronesia (country),2013,Lower middle income,3.659898233937027
Moldova,2017,Lower middle income,5.9120564542909735
Mongolia,2018,Lower middle income,5.868906299534667
Montenegro,2016,Upper middle income,8.440147652098133
Morocco,2013,Lower middle income,2.912613369878239
Mozambique,2014,Low income,1.494647872567714
Myanmar,2017,Lower middle income,3.963136106167374
Namibia,2015,Upper middle income,2.31805977657774
Nepal,2010,Low income,2.9263543063160267
Netherlands,2017,High income,31.098126983452943
Nicaragua,2014,Lower middle income,5.27354772878307
Niger,2014,Low income,1.8712227137960018
Nigeria,2018,Lower middle income,2.5181381732783965
North Macedonia,2017,Upper middle income,6.667885767809776
Norway,2017,High income,37.79594894855034
Pakistan,2015,Lower middle income,2.9885314362014785
Palestine,2016,Lower middle income,8.112209110522315
Panama,2016,Upper middle income,9.69917360327922
Papua New Guinea,2009,Lower middle income,2.162672404955099
Paraguay,2017,Upper middle income,7.820395419753215
Peru,2017,Upper middle income,5.178258355822706
Philippines,2018,Lower middle income,3.013638807959933
Poland,2017,High income,10.024237747478097
Portugal,2017,High income,15.408188144580693
Romania,2017,Upper middle income,8.72799089695259
Russia,2017,Upper middle income,9.036234499563445
Rwanda,2016,Low income,1.7295780570469643
Saint Lucia,2016,Upper middle income,6.75779658592412
Samoa,2013,Lower middle income,4.73283230117971
Sao Tome and Principe,2017,Lower middle income,4.554199131781478
Senegal,2011,Lower middle income,2.3562305668025947
Serbia,2017,Upper middle income,7.278568059726796
Seychelles,2018,High income,12.929400159317664
Sierra Leone,2018,Low income,3.244704518866185
Slovakia,2018,High income,13.189925312104107
Slovenia,2017,High income,22.740513236217815
Solomon Islands,2012,Lower middle income,1.6129531494457483
South Africa,2014,Upper middle income,5.608950514416051
South Korea,2016,High income,25.094418460361876
South Sudan,2016,Low income,2.751764403083206
Spain,2017,High income,22.096342657283515
Sri Lanka,2016,Lower middle income,2.66127044350192
Sudan,2009,Lower middle income,3.580330059818833
Sweden,2017,High income,30.72699593502972
Switzerland,2017,High income,36.27917990890987
Syria,2003,Lower middle income,5.171827625190347
Tajikistan,2015,Lower middle income,4.009359606046828
Tanzania,2017,Low income,1.62313040612702
Thailand,2017,Upper middle income,5.724104054273467
Timor,2014,Lower middle income,3.5941441400907133
Togo,2015,Low income,2.1689353835351803
Tonga,2009,Lower middle income,5.008327573146643
Tunisia,2015,Lower middle income,6.461420721384205
Turkey,2017,Upper middle income,7.631603354377102
Tuvalu,2010,Lower middle income,4.1558200225105235
Uganda,2016,Low income,1.4881353466418603
Ukraine,2017,Lower middle income,4.806232211896622
United Kingdom,2017,High income,25.76764395550315
United States,2017,High income,34.78694957432708
Uruguay,2017,High income,8.294982421697316
Uzbekistan,2003,Low income,0.905066979917409
Vanuatu,2010,Lower middle income,2.0432254481446956
Venezuela,2006,Upper middle income,6.069738624071319
Vietnam,2018,Lower middle income,4.020712547555705
Yemen,2014,Lower middle income,3.364796890315399
Zambia,2015,Lower middle income,1.7793519679605339
Zimbabwe,2017,Low income,2.014217555211601
