Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Austria,1994,250.626,65.019,,3.042,0.789,
Austria,1995,217.406,57.623,,2.643,0.7,
Austria,1996,239.854,56.414,,2.915,0.686,
Austria,1997,239.708,49.824,,2.907,0.604,
Austria,1998,245.337,43.752,,2.966,0.529,
Austria,1999,253.743,42.666,,3.059,0.514,
Austria,2000,244.771,42.439,770.311,2.943,0.51,9.263
Austria,2001,225.682,35.313,839.201,2.707,0.424,10.065
Austria,2002,239.051,40.708,870.94,2.862,0.487,10.426
Austria,2003,261.038,26.227,912.623,3.121,0.314,10.91
Austria,2004,275.087,32.55,976.203,3.283,0.388,11.649
Austria,2005,275.893,28.562,1074.232,3.284,0.34,12.786
Austria,2006,274.652,45.715,1095.827,3.261,0.543,13.011
Austria,2007,287.506,34.597,1183.535,3.403,0.409,14.008
Austria,2008,276.152,39.536,1226.919,3.257,0.466,14.471
Austria,2009,271.235,34.998,1300.177,3.189,0.411,15.286
Austria,2010,289.834,29.773,1320.383,3.399,0.349,15.484
Austria,2011,256.684,32.89,1384.008,3.005,0.385,16.2
Austria,2012,267.853,34.875,1423.608,3.131,0.408,16.64
Austria,2013,254.972,28.776,1418.89,2.977,0.336,16.567
Austria,2014,244.92,31.727,,2.857,0.37,
Austria,2015,255.41,27.336,,2.977,0.319,
Azerbaijan,1995,28.757,3.904,,0.435,0.059,
Azerbaijan,1996,21.255,2.19,,0.32,0.033,
Azerbaijan,2000,,,18.388,,,0.267
Azerbaijan,2001,25.027,1.233,16.792,0.358,0.018,0.24
Azerbaijan,2002,28.635,0.857,26.505,0.404,0.012,0.374
Azerbaijan,2003,29.876,2.186,29.827,0.415,0.03,0.414
Azerbaijan,2004,32.505,0.843,39.427,0.445,0.012,0.54
Azerbaijan,2005,33.485,0.715,39.3,0.453,0.01,0.531
Azerbaijan,2006,28.994,1.532,33.001,0.387,0.02,0.441
Azerbaijan,2007,33.445,0.932,47.615,0.442,0.012,0.629
Azerbaijan,2008,25.789,0.799,53.723,0.338,0.01,0.703
Azerbaijan,2009,29.506,1.9,68.96,0.384,0.025,0.896
Azerbaijan,2010,28.053,1.878,68.332,0.363,0.024,0.884
Azerbaijan,2011,21.04,1.308,71.492,0.271,0.017,0.92
Azerbaijan,2012,15.491,,73.485,0.199,,0.943
Azerbaijan,2013,16.566,,51.164,0.213,,0.657
Azerbaijan,2014,17.619,,,0.226,,
Azerbaijan,2015,19.069,,,0.244,,
Bahamas,1985,12.783,178.962,,0.197,2.753,
Bahamas,1986,4.182,154.727,,0.064,2.371,
Bahamas,1988,16.156,129.252,,0.243,1.941,
Bahamas,1990,7.802,97.528,,0.115,1.443,
Bahamas,1991,3.83,103.402,,0.056,1.52,
Bahamas,1992,7.515,108.968,,0.11,1.598,
Bahamas,2000,,,5.707,,,0.081
Bahamas,2001,,,17.154,,,0.24
Bahamas,2002,,,15.203,,,0.21
Bahamas,2003,,,16.469,,,0.226
Bahamas,2004,,,9.302,,,0.126
Bahamas,2005,,,20.957,,,0.282
Bahamas,2006,,,17.568,,,0.235
Bahamas,2007,,,32.425,,,0.43
Bahamas,2008,,,17.208,,,0.227
Bahamas,2009,,,27.335,,,0.356
Bahamas,2010,,,24.388,,,0.315
Bahamas,2011,,,29.735,,,0.382
Bahamas,2012,8.064,223.095,20.966,0.103,2.853,0.268
Bahamas,2013,2.651,198.812,41.883,0.034,2.529,0.533
Bahamas,2014,5.233,290.447,,0.066,3.681,
Bahrain,1985,,38.147,,,0.574,
Bahrain,1986,,46.138,,,0.695,
Bahrain,1992,,59.264,,,0.872,
Bahrain,2000,,,110.139,,,1.589
Bahrain,2001,,,113.54,,,1.612
Bahrain,2002,,,73.727,,,1.033
Bahrain,2003,,,152.688,,,2.117
Bahrain,2004,,,157.499,,,2.166
Bahrain,2005,,,176.12,,,2.405
Bahrain,2006,,,184.993,,,2.46
Bahrain,2007,,,170.578,,,2.219
Bahrain,2008,,,144.537,,,1.847
Bahrain,2009,,,159.49,,,2.009
Bahrain,2010,,,162.548,,,2.024
Bahrain,2011,0.782,108.741,140.972,0.01,1.361,1.764
Bahrain,2012,2.307,123.825,120.903,0.029,1.557,1.52
Bahrain,2013,2.281,126.957,159.418,0.029,1.604,2.014
Bahrain,2014,4.49,148.908,,0.057,1.89,
Bahrain,2015,5.832,134.854,,0.074,1.717,
Bangladesh,1985,0.429,1.03,,0.008,0.018,
Bangladesh,1986,0.167,0.804,,0.003,0.014,
Bangladesh,1987,0.234,0.997,,0.004,0.018,
Bangladesh,1988,0.238,1.079,,0.004,0.019,
Bangladesh,1989,0.309,0.734,,0.005,0.013,
Bangladesh,1990,0.301,0.716,,0.005,0.012,
Bangladesh,1991,0.331,0.708,,0.006,0.012,
Bangladesh,1992,0.647,0.8,,0.011,0.014,
Bangladesh,1993,0.317,0.624,,0.005,0.011,
Bangladesh,1994,0.336,0.766,,0.006,0.013,
Bangladesh,1995,0.59,1.314,,0.01,0.022,
Bangladesh,1996,0.181,1.08,,0.003,0.018,
Bangladesh,1997,0.371,0.961,,0.006,0.016,
Bangladesh,1998,0.253,1.455,,0.004,0.024,
Bangladesh,1999,0.38,1.55,,0.006,0.025,
Bangladesh,2000,0.532,1.885,3.314,0.008,0.03,0.053
Bangladesh,2001,0.44,1.76,3.261,0.007,0.028,0.051
Bangladesh,2002,0.315,1.801,2.905,0.005,0.028,0.045
Bangladesh,2003,0.417,1.87,3.265,0.006,0.029,0.051
Bangladesh,2004,0.34,1.897,3.441,0.005,0.029,0.053
Bangladesh,2005,0.349,2.05,3.915,0.005,0.031,0.06
Bangladesh,2006,0.151,1.981,4.733,0.002,0.03,0.072
Bangladesh,2007,0.197,1.835,6.523,0.003,0.028,0.098
Bangladesh,2008,0.403,1.868,7.164,0.006,0.028,0.107
Bangladesh,2009,0.366,1.828,8.241,0.005,0.027,0.122
Bangladesh,2010,0.434,1.814,10.166,0.006,0.027,0.15
Bangladesh,2011,0.24,1.748,10.302,0.004,0.026,0.151
Bangladesh,2012,0.43,1.843,13.395,0.006,0.027,0.194
Bangladesh,2013,0.381,1.542,12.506,0.005,0.022,0.18
Bangladesh,2014,0.276,1.562,,0.004,0.022,
Bangladesh,2015,0.254,1.855,,0.004,0.026,
Barbados,1999,,252.861,,,3.245,
Barbados,2000,,,88.939,,,1.139
Barbados,2001,,314.018,154.423,,4.005,1.969
Barbados,2002,,342.569,116.768,,4.355,1.484
Barbados,2003,7.346,444.431,146.185,0.093,5.635,1.853
Barbados,2004,,292.943,177.23,,3.705,2.241
Barbados,2005,,277.363,131.747,,3.499,1.662
Barbados,2006,,159.977,146.525,,2.014,1.844
Barbados,2007,10.864,394.713,164.766,0.136,4.956,2.069
Barbados,2008,3.606,302.9,155.056,0.045,3.794,1.942
Barbados,2009,,283.693,125.328,,3.547,1.567
Barbados,2010,,314.77,88.35,,3.931,1.103
Barbados,2011,,253.028,126.514,,3.152,1.576
Barbados,2012,,127.848,160.52,,1.59,1.996
Barbados,2013,10.619,138.049,138.403,0.132,1.715,1.719
Barbados,2014,3.529,134.093,,0.044,1.664,
Barbados,2015,,158.33,,,1.964,
Belarus,1993,80.867,65.045,,1.041,0.838,
Belarus,1994,66.784,98.269,,0.856,1.26,
Belarus,1995,61.212,40.71,,0.781,0.52,
Belarus,1996,68.701,35.531,,0.87,0.45,
Belarus,1997,74.33,40.921,,0.934,0.514,
Belarus,1998,90.376,7.846,,1.127,0.098,
Belarus,1999,99.035,34.408,,1.225,0.426,
Belarus,2000,99.603,20.442,101.307,1.222,0.251,1.243
Belarus,2001,93.669,21.554,106.31,1.14,0.262,1.294
Belarus,2002,90.72,38.417,106.928,1.096,0.464,1.292
Belarus,2003,110.445,30.418,101.299,1.324,0.365,1.215
Belarus,2004,109.454,20.555,110.625,1.304,0.245,1.318
Belarus,2005,120.655,30.629,124.918,1.43,0.363,1.48
Belarus,2006,123.687,35.086,118.481,1.461,0.414,1.399
Belarus,2007,146.952,26.88,131.828,1.73,0.316,1.552
Belarus,2008,158.481,23.09,108.155,1.862,0.271,1.271
Belarus,2009,184.395,18.198,122.06,2.165,0.214,1.433
Belarus,2010,185.342,18.334,109.593,2.177,0.215,1.287
Belarus,2011,182.093,15.412,114.882,2.14,0.181,1.35
Belarus,2012,177.611,20.075,104.855,2.093,0.237,1.235
Belarus,2013,157.3,15.318,105.705,1.86,0.181,1.25
Belarus,2014,68.816,11.082,,0.817,0.132,
Belarus,2015,57.22,15.596,,0.682,0.186,
Belgium,1985,78.208,149.721,,0.962,1.841,
Belgium,1986,80.512,135.269,,0.988,1.66,
Belgium,1987,55.52,90.069,,0.68,1.103,
Belgium,1988,64.232,78.371,,0.785,0.958,
Belgium,1989,68.527,66.716,,0.837,0.815,
Belgium,1990,64.51,61.501,,0.787,0.75,
Belgium,1991,62.472,57.374,,0.762,0.7,
Belgium,1992,67.197,49.676,,0.819,0.606,
Belgium,1993,80.222,67.331,,0.978,0.821,
Belgium,1994,73.55,44.09,,0.897,0.538,
Belgium,1995,72.212,35.021,,0.88,0.427,
Belgium,1996,76.403,30.522,,0.931,0.372,
Belgium,1997,77.79,26.421,,0.947,0.322,
Belgium,1998,67.627,24.405,,0.822,0.297,
Belgium,1999,57.791,24.349,,0.702,0.296,
Belgium,2000,56.286,23.704,886.877,0.683,0.288,10.758
Belgium,2001,55.509,25.665,909.283,0.672,0.311,11.01
Belgium,2002,58.164,14.227,943.976,0.703,0.172,11.415
Belgium,2003,50.019,18.119,986.745,0.604,0.219,11.92
Belgium,2004,49.323,11.707,1076.879,0.595,0.141,12.994
Belgium,2005,49.339,10.02,1198.345,0.595,0.121,14.442
Belgium,2006,46.454,15.264,1215.809,0.56,0.184,14.646
Belgium,2007,42.727,15.34,1271.163,0.514,0.185,15.301
Belgium,2008,53.688,12.418,1320.041,0.646,0.149,15.878
Belgium,2009,61.965,13.708,1373.251,0.745,0.165,16.508
Belgium,2010,56.904,12.849,1371.381,0.684,0.154,16.479
Belgium,2011,57.568,11.496,1408.478,0.692,0.138,16.932
Belgium,2012,67.845,11.412,1477.295,0.816,0.137,17.763
Belgium,2013,63.937,14.397,1476.488,0.769,0.173,17.757
Belgium,2014,79.311,12.222,,0.954,0.147,
Belgium,2015,84.175,13.127,,1.013,0.158,
Belize,2000,,,2.022,,,0.034
Belize,2001,,,7.844,,,0.132
Belize,2002,,,6.483,,,0.108
Belize,2003,,,17.835,,,0.296
Belize,2004,,57.952,16.299,,0.956,0.269
Belize,2005,,116.494,20.122,,1.909,0.33
Belize,2006,3.439,141.016,16.853,0.056,2.286,0.273
Belize,2007,,160.854,6.032,,2.581,0.097
Belize,2008,,176.375,11.758,,2.8,0.187
Belize,2009,,,30.58,,,0.48
Belize,2010,,,34.203,,,0.532
Belize,2011,,148.849,10.328,,2.29,0.159
Belize,2012,,151.47,25.245,,2.307,0.384
Belize,2013,,92.974,27.892,,1.403,0.421
Belize,2014,,102.362,,,1.53,
Belize,2015,,72.365,,,1.071,
Benin,2000,,,5.971,,,0.109
Benin,2001,,,5.638,,,0.103
Benin,2002,,,5.538,,,0.101
Benin,2003,,,6.037,,,0.11
Benin,2004,,,7.961,,,0.144
Benin,2005,,,7.391,,,0.133
Benin,2006,,,10.162,,,0.183
Benin,2007,,,10.645,,,0.191
Benin,2008,,,10.843,,,0.194
Benin,2009,,,14.031,,,0.249
Benin,2010,,,12.099,,,0.214
Benin,2011,,,15.559,,,0.274
Benin,2012,,,16.343,,,0.287
Benin,2013,,,18.702,,,0.327
Bhutan,2000,,,1.918,,,0.032
Bhutan,2001,,,1.696,,,0.028
Bhutan,2002,,,10.224,,,0.165
Bhutan,2003,,,5.935,,,0.094
Bhutan,2004,,,14.681,,,0.227
Bhutan,2005,,,8.376,,,0.127
Bhutan,2006,,,23.653,,,0.354
Bhutan,2007,,,11.791,,,0.174
Bhutan,2008,,,8.845,,,0.129
Bhutan,2009,,,16.936,,,0.245
Bhutan,2010,,,23.638,,,0.338
Bhutan,2011,,,23.362,,,0.331
Bhutan,2012,3.984,1.328,22.843,0.056,0.019,0.321
Bhutan,2013,3.922,5.229,37.388,0.055,0.073,0.52
Bolivia,1985,0.805,6.601,,0.014,0.114,
Bolivia,1993,3.574,8.524,,0.06,0.143,
Bolivia,1994,3.774,11.996,,0.063,0.201,
Bolivia,1995,2.247,14.009,,0.037,0.233,
Bolivia,2000,,,4.077,,,0.066
Bolivia,2001,,,5.238,,,0.085
Bolivia,2002,,,4.865,,,0.078
Bolivia,2003,,,5.55,,,0.089
Bolivia,2004,,,5.018,,,0.08
Bolivia,2005,,,6.564,,,0.104
Bolivia,2006,,,7.53,,,0.118
Bolivia,2007,,,8.442,,,0.132
Bolivia,2008,,,10.063,,,0.156
Bolivia,2009,,,8.833,,,0.136
Bolivia,2010,,,7.955,,,0.122
Bolivia,2011,,,8.513,,,0.13
Bolivia,2012,,,8.311,,,0.126
Bolivia,2013,,,8.596,,,0.129
Bolivia,2014,0.852,27.835,,0.013,0.415,
Bosnia and Herzegovina,1999,6.118,27.932,,0.076,0.348,
Bosnia and Herzegovina,2000,8.23,64.247,6.823,0.102,0.795,0.084
Bosnia and Herzegovina,2001,13.788,81.935,9.175,0.17,1.008,0.113
Bosnia and Herzegovina,2002,,,12.474,,,0.152
Bosnia and Herzegovina,2003,8.467,64.034,15.612,0.102,0.773,0.189
Bosnia and Herzegovina,2004,13.223,91.503,29.196,0.158,1.096,0.35
Bosnia and Herzegovina,2005,17.453,80.92,47.706,0.208,0.964,0.568
Bosnia and Herzegovina,2006,14.552,42.863,52.785,0.172,0.507,0.624
Bosnia and Herzegovina,2007,,,66.614,,,0.785
Bosnia and Herzegovina,2008,15.676,3.188,89.303,0.185,0.038,1.051
Bosnia and Herzegovina,2009,,,98.57,,,1.159
Bosnia and Herzegovina,2010,15.045,2.418,121.41,0.176,0.028,1.423
Bosnia and Herzegovina,2011,11.657,3.253,130.474,0.136,0.038,1.528
Bosnia and Herzegovina,2012,0.548,3.838,135.327,0.006,0.045,1.58
Bosnia and Herzegovina,2013,1.942,6.103,121.304,0.023,0.071,1.41
Bosnia and Herzegovina,2014,11.497,0.561,,0.133,0.006,
Botswana,2000,,,56.991,,,0.922
Botswana,2001,,,53.905,,,0.864
Botswana,2002,,,56.181,,,0.893
Botswana,2003,,,62.682,,,0.988
Botswana,2004,,,65.707,,,1.026
Botswana,2005,,,56.632,,,0.878
Botswana,2006,,,94.521,,,1.452
Botswana,2007,,,72.346,,,1.102
Botswana,2008,,,77.221,,,1.168
Botswana,2009,,,68.64,,,1.032
Botswana,2010,,,74.198,,,1.11
Botswana,2011,0.487,3.9,80.777,0.007,0.058,1.203
Botswana,2012,2.393,4.308,73.948,0.036,0.064,1.097
Botswana,2013,3.759,0.47,77.66,0.056,0.007,1.149
Botswana,2014,1.845,2.306,,0.027,0.034,
Brazil,1985,14.402,33.646,,0.229,0.535,
Brazil,1986,13.394,31.863,,0.212,0.505,
Brazil,1987,17.349,33.283,,0.273,0.525,
Brazil,1988,16.236,31.569,,0.254,0.495,
Brazil,1989,15.836,31.747,,0.247,0.495,
Brazil,1990,15.996,34.469,,0.248,0.533,
Brazil,1991,15.259,30.432,,0.234,0.467,
Brazil,1992,13.587,28.299,,0.207,0.431,
Brazil,1993,15.458,26.863,,0.233,0.406,
Brazil,1994,14.207,26.474,,0.213,0.396,
Brazil,1995,16.679,29.212,,0.247,0.433,
Brazil,1996,15.833,33.023,,0.233,0.485,
Brazil,1997,16.449,80.45,,0.24,1.172,
Brazil,1998,14.638,79.602,,0.211,1.15,
Brazil,1999,16.3,85.049,,0.234,1.219,
Brazil,2000,18.136,80.462,66.231,0.258,1.144,0.942
Brazil,2001,19.347,81.069,72.458,0.274,1.146,1.024
Brazil,2002,19.323,73.294,81.454,0.271,1.03,1.144
Brazil,2003,21.186,68.746,86.992,0.296,0.96,1.214
Brazil,2004,21.89,68.578,102.101,0.304,0.952,1.417
Brazil,2005,21.689,77.275,114.598,0.299,1.066,1.581
Brazil,2006,20.93,84.047,145.531,0.287,1.153,1.997
Brazil,2007,21.955,91.448,157.958,0.299,1.247,2.155
Brazil,2008,22.179,97.886,178.954,0.301,1.327,2.427
Brazil,2009,21.914,93.05,194.01,0.295,1.254,2.615
Brazil,2010,21.484,105.546,205.952,0.288,1.414,2.76
