Entity,Year,CO2 from gas (CDIAC & GCP (2018)),CO2 from coal (CDIAC & GCP (2018)),CO2 from oil (CDIAC & GCP (2018)),CO2 from cement (CDIAC & GCP (2018)),CO2 from flaring (CDIAC & GCP (2018))
Afghanistan,2005,329760,106256,861040,29312,0
Afghanistan,2006,329760,161216,1135840,25648,0
Afghanistan,2007,307776,747456,1198128,14656,0
Afghanistan,2008,296784,1077216,2810288,18320,0
Afghanistan,2009,271136,1535216,4942736,14656,0
Afghanistan,2010,271136,2297328,5866064,18320,0
Afghanistan,2011,307776,4301536,7602800,18320,0
Afghanistan,2012,307776,3664000,6756416,18320,0
Afghanistan,2013,296784,3938800,5745152,25648,0
Afghanistan,2014,271136,4374816,5103952,51296,0
Africa,1751,0,0,0,0,0
Africa,1752,0,0,0,0,0
Africa,1753,0,0,0,0,0
Africa,1754,0,0,0,0,0
Africa,1755,0,0,0,0,0
Africa,1756,0,0,0,0,0
Africa,1757,0,0,0,0,0
Africa,1758,0,0,0,0,0
Africa,1759,0,0,0,0,0
Africa,1760,0,0,0,0,0
Africa,1761,0,0,0,0,0
Africa,1762,0,0,0,0,0
Africa,1763,0,0,0,0,0
Africa,1764,0,0,0,0,0
Africa,1765,0,0,0,0,0
Africa,1766,0,0,0,0,0
Africa,1767,0,0,0,0,0
Africa,1768,0,0,0,0,0
Africa,1769,0,0,0,0,0
Africa,1770,0,0,0,0,0
Africa,1771,0,0,0,0,0
Africa,1772,0,0,0,0,0
Africa,1773,0,0,0,0,0
Africa,1774,0,0,0,0,0
Africa,1775,0,0,0,0,0
Africa,1776,0,0,0,0,0
Africa,1777,0,0,0,0,0
Africa,1778,0,0,0,0,0
Africa,1779,0,0,0,0,0
Africa,1780,0,0,0,0,0
Africa,1781,0,0,0,0,0
Africa,1782,0,0,0,0,0
Africa,1783,0,0,0,0,0
Africa,1784,0,0,0,0,0
Africa,1785,0,0,0,0,0
Africa,1786,0,0,0,0,0
Africa,1787,0,0,0,0,0
Africa,1788,0,0,0,0,0
Africa,1789,0,0,0,0,0
Africa,1790,0,0,0,0,0
Africa,1791,0,0,0,0,0
Africa,1792,0,0,0,0,0
Africa,1793,0,0,0,0,0
Africa,1794,0,0,0,0,0
Africa,1795,0,0,0,0,0
Africa,1796,0,0,0,0,0
Africa,1797,0,0,0,0,0
Africa,1798,0,0,0,0,0
Africa,1799,0,0,0,0,0
Africa,1800,0,0,0,0,0
Africa,1801,0,0,0,0,0
Africa,1802,0,0,0,0,0
Africa,1803,0,0,0,0,0
Africa,1804,0,0,0,0,0
Africa,1805,0,0,0,0,0
Africa,1806,0,0,0,0,0
Africa,1807,0,0,0,0,0
Africa,1808,0,0,0,0,0
Africa,1809,0,0,0,0,0
Africa,1810,0,0,0,0,0
Africa,1811,0,0,0,0,0
Africa,1812,0,0,0,0,0
Africa,1813,0,0,0,0,0
Africa,1814,0,0,0,0,0
Africa,1815,0,0,0,0,0
Africa,1816,0,0,0,0,0
Africa,1817,0,0,0,0,0
Africa,1818,0,0,0,0,0
Africa,1819,0,0,0,0,0
Africa,1820,0,0,0,0,0
Africa,1821,0,0,0,0,0
Africa,1822,0,0,0,0,0
Africa,1823,0,0,0,0,0
Africa,1824,0,0,0,0,0
Africa,1825,0,0,0,0,0
Africa,1826,0,0,0,0,0
Africa,1827,0,0,0,0,0
Africa,1828,0,0,0,0,0
Africa,1829,0,0,0,0,0
Africa,1830,0,0,0,0,0
Africa,1831,0,0,0,0,0
Africa,1832,0,0,0,0,0
Africa,1833,0,0,0,0,0
Africa,1834,0,0,0,0,0
Africa,1835,0,0,0,0,0
Africa,1836,0,0,0,0,0
Africa,1837,0,0,0,0,0
Africa,1838,0,0,0,0,0
Africa,1839,0,0,0,0,0
Africa,1840,0,0,0,0,0
Africa,1841,0,0,0,0,0
Africa,1842,0,0,0,0,0
Africa,1843,0,0,0,0,0
Africa,1844,0,0,0,0,0
Africa,1845,0,0,0,0,0
Africa,1846,0,0,0,0,0
Africa,1847,0,0,0,0,0
Africa,1848,0,0,0,0,0
Africa,1849,0,0,0,0,0
Africa,1850,0,0,0,0,0
Africa,1851,0,0,0,0,0
Africa,1852,0,0,0,0,0
Africa,1853,0,0,0,0,0
Africa,1854,0,0,0,0,0
Africa,1855,0,0,0,0,0
Africa,1856,0,0,0,0,0
Africa,1857,0,0,0,0,0
Africa,1858,0,0,0,0,0
Africa,1859,0,0,0,0,0
Africa,1860,0,0,0,0,0
Africa,1861,0,0,0,0,0
Africa,1862,0,0,0,0,0
Africa,1863,0,0,0,0,0
Africa,1864,0,0,0,0,0
Africa,1865,0,0,0,0,0
Africa,1866,0,0,0,0,0
Africa,1867,0,0,0,0,0
Africa,1868,0,0,0,0,0
Africa,1869,0,0,0,0,0
Africa,1870,0,0,0,0,0
Africa,1871,0,0,0,0,0
Africa,1872,0,0,0,0,0
Africa,1873,0,0,0,0,0
Africa,1874,0,0,0,0,0
Africa,1875,0,0,0,0,0
Africa,1876,0,0,0,0,0
Africa,1877,0,0,0,0,0
Africa,1878,0,0,0,0,0
Africa,1879,0,0,0,0,0
Africa,1880,0,0,0,0,0
Africa,1881,0,0,0,0,0
Africa,1882,0,0,0,0,0
Africa,1883,0,0,0,0,0
Africa,1884,0,21984,0,0,0
Africa,1885,0,36640,0,0,0
Africa,1886,0,47632,0,0,0
Africa,1887,0,47632,0,0,0
Africa,1888,0,80608,0,0,0
Africa,1889,0,131904,0,0,0
Africa,1890,0,296784,0,0,0
Africa,1891,0,296784,0,0,0
Africa,1892,0,479984,0,0,0
Africa,1893,0,1799024,0,0,0
Africa,1894,0,2432896,0,0,0
Africa,1895,0,3337904,0,0,0
Africa,1896,0,4257568,0,0,0
Africa,1897,0,4777856,0,0,0
Africa,1898,0,6049264,0,0,0
Africa,1899,0,5517984,0,0,0
Africa,1900,0,2330304,0,0,0
Africa,1901,0,3909488,0,0,0
Africa,1902,0,5825760,0,0,0
Africa,1903,0,7895920,0,0,0
Africa,1904,0,8914512,0,0,0
Africa,1905,0,10259200,0,0,0
Africa,1906,0,11717472,0,0,0
Africa,1907,0,12930256,0,0,0
Africa,1908,0,13402912,0,0,0
Africa,1909,0,15385136,0,0,0
Africa,1910,0,17411328,0,0,0
Africa,1911,0,16854400,10992,0,0
Africa,1912,0,17869328,84272,0,0
Africa,1913,0,19565760,40304,0,0
Africa,1914,0,19243328,307776,0,0
Africa,1915,0,19514464,91600,0,0
Africa,1916,0,23072208,179536,0,0
Africa,1917,0,24922528,425024,0,0
Africa,1918,0,23859968,868368,0,0
Africa,1919,0,24753984,688832,0,0
Africa,1920,0,27593584,458000,0,0
Africa,1921,0,27425040,560592,0,0
Africa,1922,0,23438608,534944,0,0
Africa,1923,0,28575536,472656,0,0
Africa,1924,0,30125408,505632,0,0
Africa,1925,0,31623984,556928,0,0
Africa,1926,0,33902992,534944,0,0
Africa,1927,0,33269120,571584,0,0
Africa,1928,0,33815056,824400,128240,0
Africa,1929,0,34591824,842720,370064,0
Africa,1930,0,32554640,879360,263808,0
Africa,1931,0,28308064,890352,271136,0
Africa,1932,0,25354880,835392,439680,0
Africa,1933,0,27293136,736464,472656,0
Africa,1934,0,31316208,681504,538608,0
Africa,1935,0,34745712,556928,608224,0
Africa,1936,0,37768512,560592,692496,0
Africa,1937,0,40578800,534944,732800,0
Africa,1938,0,42557360,703488,762112,0
Africa,1939,109920,43953344,2059168,736464,0
Africa,1940,91600,46034496,2865248,659520,0
Africa,1941,98928,49445680,3762928,725472,0
Africa,1942,106256,54304144,3642016,776768,0
Africa,1943,117248,55234800,3957120,813408,0
Africa,1944,131904,61375664,4165968,974624,0
Africa,1945,135568,62298992,4151312,948976,0
Africa,1946,135568,62940192,3942464,1154160,0
Africa,1947,135568,62423568,4100016,1289728,0
Africa,1948,139232,64361824,5811104,1432624,0
Africa,1949,139232,68571760,7075184,1568192,0
Africa,1950,3664,68996784,23881952,2059168,0
Africa,1951,3664,72770704,26116992,2311984,0
Africa,1952,7328,79406208,28623168,2385264,0
Africa,1953,14656,79072784,30304944,2685712,0
Africa,1954,25648,81795136,32715856,3103408,0
Africa,1955,25648,91702592,34302368,3499120,0
Africa,1956,25648,95623072,35991472,3616368,0
Africa,1957,18320,99327376,38618560,3784912,0
Africa,1958,18320,103159920,41571744,4019408,0
Africa,1959,32976,101712640,41982112,4220928,0
Africa,1960,47632,103548304,48650592,4433440,0
Africa,1961,494640,105013904,52270624,4334512,0
Africa,1962,740128,106670032,54538640,4495728,0
Africa,1963,718144,109187200,60591568,4836480,1146832
Africa,1964,1450944,115606528,69495088,5360432,1875968
Africa,1965,2121456,124894768,76137920,5737824,4946400
Africa,1966,2359616,123843200,84019184,5943008,5191888
Africa,1967,2319312,127111488,81117296,6140864,20760224
Africa,1968,2363280,132493904,86038048,7100832,29671072
Africa,1969,2890896,135179616,93838704,8174384,38325440
Africa,1970,813408,140096704,98506640,8877872,54934352
Africa,1971,1692768,149908896,115394016,9577696,55978592
Africa,1972,4415120,153920976,119490368,10152944,64651280
Africa,1973,5356768,154291040,128434192,10761168,80003440
Africa,1974,5107616,157244224,134347888,11233824,81362784
Africa,1975,6419328,162197952,143984208,11068944,64310528
Africa,1976,8888864,171903888,151066720,11395040,77801376
Africa,1977,13527488,176689072,159999552,12219440,71554256
Africa,1978,34441600,178682288,165876608,12966896,71697152
Africa,1979,19661024,197361360,181782032,13963504,87723488
Africa,1980,34628464,212402080,198533840,15887104,76247840
Africa,1981,29403600,237342928,214146144,17272096,52545424
Africa,1982,23988208,250229216,236393952,18451904,44949952
Africa,1983,30422192,260939088,244077360,20100704,41282288
Africa,1984,47569712,286055808,251654512,20884800,45565504
Africa,1985,48848448,294699184,252614480,20778544,51402256
Africa,1986,58360192,305779120,255193936,19917504,53018080
Africa,1987,67868272,312520880,245612576,21690880,44862016
Africa,1988,68949152,322721456,263577168,23552192,49233168
Africa,1989,71404032,313484512,269736352,24592768,22049952
Africa,1990,75954720,296098832,243216320,24959168,20965408
Africa,1991,78471888,307043200,257267760,26761856,20969072
Africa,1992,74375536,289016320,259180368,27458016,23519216
Africa,1993,81923376,319365232,262987264,27263824,21958352
Africa,1994,85796224,331232928,257370352,28714768,21965680
Africa,1995,101763936,347460784,276393840,30704320,24259344
Africa,1996,108223568,353630960,281787248,31470096,23955232
Africa,1997,95458192,361230096,306193152,32521664,23559520
Africa,1998,112928144,355986912,316335104,33313088,23119840
Africa,1999,114617248,366912960,295025280,34320688,23750048
Africa,2000,115701792,370085984,314404176,36119712,55432656
Africa,2001,120582240,371841040,298070064,38274144,58041424
Africa,2002,135077024,360947968,287869488,40630096,67809648
Africa,2003,146516032,390765600,328986896,40956192,62815616
Africa,2004,151418464,417369904,354840080,45147808,73389920
Africa,2005,183361216,412614032,336219632,49409040,73243360
Africa,2006,179561648,418938096,370573296,55128544,71642192
Africa,2007,193624080,430182912,381250192,60452336,74932464
Africa,2008,195609968,454464240,407729920,65420720,70561312
Africa,2009,193026848,443127824,438111808,70323152,59287184
Africa,2010,201893728,441544976,432634128,71741120,62855920
Africa,2011,221803904,433689360,432645120,72591168,55352048
Africa,2012,233052384,430032688,436741472,82011312,57000848
Africa,2013,233964720,424159296,459564528,84063152,53897440
Africa,2014,249049408,456263264,450503456,86583984,53974384
Albania,1933,0,0,7328,0,
Albania,1934,0,0,7328,0,
Albania,1935,0,0,18320,0,
Albania,1936,0,0,124576,3664,
Albania,1937,0,0,289456,7328,
Albania,1938,0,0,348080,0,
Albania,1939,0,0,432352,0,
Albania,1940,0,0,692496,0,
Albania,1941,0,0,619216,7328,
Albania,1942,0,0,743792,0,
Albania,1943,0,0,461664,0,
Albania,1944,0,0,153888,0,
Albania,1945,0,0,120912,0,
Albania,1946,0,21984,461664,0,
Albania,1947,0,0,926992,0,
Albania,1948,0,7328,696160,0,
Albania,1949,0,0,1014928,0,
Albania,1950,0,43968,249152,7328,0
Albania,1951,10992,73280,311440,7328,0
Albania,1952,10992,76944,282128,7328,0
Albania,1953,18320,113584,274800,7328,0
Albania,1954,29312,157552,307776,7328,0
Albania,1955,36640,219840,384720,21984,0
Albania,1956,47632,249152,509296,32976,0
Albania,1957,58624,274800,1135840,36640,0
Albania,1958,65952,289456,806080,40304,0
Albania,1959,76944,337088,992944,36640,0
Albania,1960,84272,326096,1575520,36640,0
Albania,1961,84272,322432,1817344,58624,0
Albania,1962,84272,362736,1956576,58624,0
Albania,1963,84272,282128,1648800,65952,0
Albania,1964,84272,333424,1535216,62288,0
Albania,1965,84272,395712,1623152,73280,0
Albania,1966,102592,476320,1897952,69616,0
Albania,1967,128240,523952,1916272,109920,0
Albania,1968,146560,589904,2183744,150224,0
Albania,1969,168544,688832,2220384,164880,0
Albania,1970,186864,890352,2480528,179536,0
Albania,1971,241824,989280,2938528,179536,0
Albania,1972,278464,1080880,4081696,197856,0
Albania,1973,366400,1168816,3495456,256480,0
Albania,1974,428688,1209120,2421904,278464,0
Albania,1975,553264,1260416,2454880,322432,0
Albania,1976,670512,1271408,2652736,348080,0
Albania,1977,699824,1700096,2945856,373728,0
Albania,1978,677840,2125120,3282944,399376,0
Albania,1979,707152,2682048,3773920,421360,0
Albania,1980,773104,2322976,1571856,498304,0
Albania,1981,806080,2645408,3495456,392048,0
Albania,1982,864704,2879904,3143712,414032,0
Albania,1983,974624,3103408,3129056,417696,0
Albania,1984,1044240,3400192,2945856,428688,0
Albania,1985,970960,3722624,2755328,425024,0
Albania,1986,1051568,3707968,2868912,421360,0
Albania,1987,450672,3733616,2821280,428688,0
Albania,1988,355408,4015744,2575792,370064,0
Albania,1989,447008,4056048,4096352,377392,0
Albania,1990,465328,2498848,2172752,373728,0
Albania,1991,274800,1480256,2227712,300448,0
Albania,1992,197856,798752,1414304,98928,0
Albania,1993,157552,600896,1480256,98928,0
Albania,1994,98928,168544,1604832,51296,0
Albania,1995,51296,161216,1773376,98928,0
Albania,1996,43968,113584,1755056,102592,0
Albania,1997,36640,43968,1410640,51296,0
Albania,1998,32976,54960,1626816,40304,0
Albania,1999,29312,109920,2788304,51296,0
Albania,2000,21984,69616,2843264,87936,0
Albania,2001,14656,80608,3125392,0,0
Albania,2002,25648,84272,3638352,0,0
Albania,2003,25648,84272,3891168,289456,0
Albania,2004,32976,84272,3759264,285792,0
Albania,2005,21984,73280,3913152,245488,0
Albania,2006,21984,73280,3543088,260144,0
Albania,2007,32976,73280,3378208,443344,0
Albania,2008,14656,102592,3795904,458000,0
Albania,2009,18320,388384,3414848,553264,0
Albania,2010,25648,428688,3491792,648528,0
Albania,2011,29312,534944,3773920,897680,0
Albania,2012,29312,626544,3154704,1095536,0
Albania,2013,32976,549600,3330576,1146832,0
Albania,2014,58624,699824,3858192,1095536,0
Algeria,1900,0,0,0,0,
Algeria,1901,0,0,0,0,
Algeria,1902,0,0,0,0,
Algeria,1903,0,0,0,0,
Algeria,1904,0,0,0,0,
Algeria,1905,0,0,0,0,
Algeria,1916,0,0,3664,0,
Algeria,1917,0,3664,3664,0,
Algeria,1918,0,14656,3664,0,
Algeria,1919,0,18320,3664,0,
Algeria,1920,0,18320,3664,0,
Algeria,1921,0,25648,0,0,
Algeria,1922,0,25648,3664,0,
Algeria,1923,0,10992,3664,0,
Algeria,1924,0,25648,7328,0,
Algeria,1925,0,25648,7328,0,
Algeria,1926,0,36640,3664,0,
Algeria,1927,0,54960,3664,0,
Algeria,1928,0,43968,3664,25648,
Algeria,1929,0,43968,10992,29312,
Algeria,1930,0,43968,7328,32976,
Algeria,1931,0,54960,3664,36640,
Algeria,1932,0,65952,3664,43968,
Algeria,1933,0,80608,3664,36640,
Algeria,1934,0,91600,0,47632,
Algeria,1935,0,102592,0,32976,
Algeria,1936,0,18320,0,32976,
Algeria,1937,0,36640,0,32976,
Algeria,1938,0,32976,0,0,
Algeria,1939,109920,51296,0,0,
Algeria,1940,91600,146560,0,0,
Algeria,1941,98928,212512,0,0,
Algeria,1942,106256,392048,0,0,
Algeria,1943,117248,311440,0,40304,
Algeria,1944,131904,318768,3664,47632,
Algeria,1945,135568,428688,0,51296,
Algeria,1946,135568,571584,0,58624,
Algeria,1947,135568,545936,0,62288,
Algeria,1948,139232,600896,0,65952,
Algeria,1949,139232,703488,0,62288,
Algeria,1950,0,1883296,1740400,161216,0
Algeria,1951,0,2040848,1868640,223504,0
Algeria,1952,0,1842992,1806352,241824,0
Algeria,1953,0,1546208,2194736,256480,0
Algeria,1954,0,1483920,2341296,329760,0
Algeria,1955,0,1593840,2678384,337088,0
Algeria,1956,0,1762384,2912880,326096,0
Algeria,1957,0,1974896,3209664,355408,0
Algeria,1958,0,1810016,2986160,421360,0
Algeria,1959,0,1461936,3722624,476320,0
Algeria,1960,0,1256752,4371152,527616,0
Algeria,1961,450672,765776,4312528,534944,0
Algeria,1962,688832,406704,4136656,436016,0
Algeria,1963,604560,252816,4125664,439680,0
Algeria,1964,1190800,282128,3781248,392048,0
Algeria,1965,1777040,263808,4176960,370064,0
Algeria,1966,1850320,271136,5972320,329760,0
Algeria,1967,1791696,190528,6093232,362736,0
Algeria,1968,1883296,201520,6532912,432352,0
Algeria,1969,2476864,450672,7870272,472656,0
Algeria,1970,135568,970960,6837024,461664,6657488
Algeria,1971,674176,901344,7617456,479984,8980464
Algeria,1972,3136384,648528,7258384,461664,16821424
Algeria,1973,3147376,820736,9376176,501968,24435216
Algeria,1974,2451216,699824,9607008,468992,18653424
Algeria,1975,4459088,791424,11292448,472656,14993088
Algeria,1976,6063920,586240,11035968,696160,20760224
Algeria,1977,3605376,604560,13868240,886688,22892672
Algeria,1978,23856304,571584,13164752,1344688,23541200
Algeria,1979,8167056,894016,15359488,1879632,19283632
Algeria,1980,25479456,1608496,18620448,2070160,18686400
Algeria,1981,11164208,1908944,18155120,2224048,12944912
Algeria,1982,7170448,1974896,18642432,2191072,9258928
Algeria,1983,16608912,3147376,22020640,2396256,8405216
Algeria,1984,30510128,4026736,22768096,2758992,10981008
Algeria,1985,27699840,3077760,22504288,3037456,16407392
Algeria,1986,33085920,2726016,22760768,3216992,14425168
Algeria,1987,40117136,2967840,25091072,3759264,12116848
Algeria,1988,38973968,2975168,27285808,3587056,11061616
Algeria,1989,36672976,2986160,25153360,3396528,11772432
Algeria,1990,38908016,2942192,23204112,3158368,8694672
Algeria,1991,38428032,2689376,26065696,3147376,8654368
Algeria,1992,31931760,2377936,28678128,3187680,13897552
Algeria,1993,36097728,1923600,27992960,3187680,12941248
Algeria,1994,37387456,2286336,30451504,3019136,13205056
Algeria,1995,47221632,1934592,27080624,3400192,15579328
Algeria,1996,50566864,1406976,27406720,3238976,14399520
Algeria,1997,39006944,1381328,30019152,3535760,13325968
Algeria,1998,54641232,2110464,33089584,3737280,13333296
Algeria,1999,50922272,2172752,22189184,3737280,12952240
Algeria,2000,39710432,1967568,30865536,4136656,11109248
Algeria,2001,41029472,2095808,28458288,4136656,8430864
Algeria,2002,44653168,2608768,29495200,4484736,8592080
Algeria,2003,44026624,2788304,31942752,4484736,8258656
Algeria,2004,41209008,1923600,32818448,5481344,7005568
Algeria,2005,61210784,2363280,31052400,6379024,6184832
Algeria,2006,49306448,2700368,35233024,7324336,6422992
Algeria,2007,51076160,3011808,38321776,7914240,8991456
Algeria,2008,51548816,3008144,37361808,8669024,9526400
Algeria,2009,54894048,1593840,44891328,9335872,10585296
Algeria,2010,53366160,1216448,45363984,9519072,9610672
Algeria,2011,56722384,1047904,46921184,9467776,6932288
Algeria,2012,64116336,1036912,48540672,9467776,6723440
Algeria,2013,65450032,725472,51918880,9218624,7042208
Algeria,2014,73833264,545936,52842208,10464384,7595472
Andorra,1990,0,0,406704,0,0
Andorra,1991,0,0,406704,0,0
Andorra,1992,0,0,406704,0,0
Andorra,1993,0,0,410368,0,0
Andorra,1994,0,0,406704,0,0
Andorra,1995,0,0,425024,0,0
Andorra,1996,0,0,454336,0,0
Andorra,1997,0,0,465328,0,0
Andorra,1998,0,0,490976,0,0
Andorra,1999,0,0,512960,0,0
Andorra,2000,0,0,523952,0,0
Andorra,2001,0,0,523952,0,0
Andorra,2002,0,0,531280,0,0
Andorra,2003,0,0,534944,0,0
Andorra,2004,0,0,560592,0,0
Andorra,2005,0,0,575248,0,0
Andorra,2006,0,0,545936,0,0
Andorra,2007,0,0,538608,0,0
Andorra,2008,0,0,538608,0,0
Andorra,2009,0,0,516624,0,0
Andorra,2010,0,0,516624,0,0
Andorra,2011,0,0,490976,0,0
Andorra,2012,0,0,487312,0,0
Andorra,2013,0,0,476320,0,0
Andorra,2014,0,0,461664,0,0
Angola,1950,0,58624,124576,0,0
Angola,1951,0,95264,153888,0,0
Angola,1952,0,120912,190528,0,0
Angola,1953,0,69616,190528,14656,0
Angola,1954,0,76944,252816,21984,0
Angola,1955,0,84272,293120,36640,0
Angola,1956,0,40304,417696,43968,0
Angola,1957,0,80608,472656,65952,0
Angola,1958,0,43968,465328,84272,0
Angola,1959,0,54960,487312,76944,0
Angola,1960,0,124576,348080,80608,0
Angola,1961,0,62288,311440,76944,0
Angola,1962,0,91600,1007600,84272,0
Angola,1963,0,21984,1033248,95264,0
Angola,1964,0,76944,1040576,106256,0
Angola,1965,0,54960,1011264,120912,0
Angola,1966,0,87936,1333696,131904,0
Angola,1967,0,54960,798752,139232,0
Angola,1968,0,102592,1417968,153888,0
Angola,1969,0,91600,2498848,190528,0
Angola,1970,84272,47632,1744064,223504,1483920
Angola,1971,84272,29312,1645136,263808,1388656
Angola,1972,109920,7328,2476864,311440,1601168
Angola,1973,124576,21984,2509840,384720,1835664
Angola,1974,131904,0,2451216,377392,1912608
Angola,1975,124576,0,2180080,326096,1780704
Angola,1976,109920,0,1934592,150224,1088208
Angola,1977,135568,0,1073552,150224,2172752
Angola,1978,135568,0,2678384,197856,2396256
Angola,1979,135568,0,2769984,197856,2396256
Angola,1980,146560,0,2656400,120912,2414576
Angola,1981,172208,0,2762656,124576,2216720
Angola,1982,172208,0,2158096,124576,2194736
Angola,1983,197856,0,2535488,109920,2268016
Angola,1984,219840,0,2290000,175872,2315648
Angola,1985,219840,0,1960240,175872,2341296
Angola,1986,245488,0,1868640,175872,2366944
Angola,1987,296784,0,2923872,175872,2414576
Angola,1988,300448,0,1905280,498304,2421904
Angola,1989,318768,0,1744064,498304,2440224
Angola,1990,1011264,0,2476864,128240,1498576
Angola,1991,1084544,0,2282672,128240,1593840
Angola,1992,1066224,0,2290000,150224,1685440
Angola,1993,1047904,0,2967840,124576,1630480
Angola,1994,970960,0,1297056,120912,1498576
Angola,1995,1047904,0,8416208,98928,1403312
Angola,1996,1047904,0,7038544,135568,2227712
Angola,1997,1066224,0,3330576,150224,2828608
Angola,1998,1084544,0,2762656,175872,3279280
Angola,1999,1047904,0,3707968,102592,4290544
Angola,2000,1084544,0,3667664,98928,4682592
Angola,2001,989280,0,4301536,274800,4158640
Angola,2002,1157824,0,5019680,296784,6181168
Angola,2003,1216448,0,6837024,348080,655856
Angola,2004,1439952,0,5034336,377392,11926320
Angola,2005,1249424,0,4733888,655856,12501568
Angola,2006,1304384,0,7756688,685168,12501568
Angola,2007,1593840,0,8800928,696160,14040448
Angola,2008,1271408,0,10218896,886688,13311312
Angola,2009,1289728,0,12296384,897680,13285664
Angola,2010,1370336,0,13369936,747456,13545808
Angola,2011,1406976,0,14344560,747456,13816944
Angola,2012,1421632,0,17187824,798752,13963504
Angola,2013,765776,0,17360032,996608,13465200
Angola,2014,578912,0,19455840,1245760,13454208
Anguilla,1990,0,0,51296,0,0
Anguilla,1991,0,0,51296,0,0
Anguilla,1992,0,0,54960,0,0
Anguilla,1993,0,0,65952,0,0
Anguilla,1994,0,0,65952,0,0
Anguilla,1995,0,0,65952,0,0
Anguilla,1996,0,0,69616,0,0
Anguilla,1997,0,0,69616,0,0
Anguilla,1998,0,0,76944,0,0
Anguilla,1999,0,0,80608,0,0
Anguilla,2000,0,0,87936,0,0
Anguilla,2001,0,0,95264,0,0
Anguilla,2002,0,0,95264,0,0
Anguilla,2003,0,0,102592,0,0
Anguilla,2004,0,0,120912,0,0
Anguilla,2005,0,0,128240,0,0
Anguilla,2006,0,0,142896,0,0
Anguilla,2007,0,0,150224,0,0
Anguilla,2008,0,0,150224,0,0
Anguilla,2009,0,0,146560,0,0
Anguilla,2010,0,0,150224,0,0
Anguilla,2011,0,0,142896,0,0
Anguilla,2012,0,0,142896,0,0
Anguilla,2013,0,0,135568,0,0
Anguilla,2014,0,0,142896,0,0
Antarctic Fisheries,1987,0,0,3664,0,0
Antarctic Fisheries,1988,0,0,7328,0,0
Antarctic Fisheries,1989,0,0,7328,0,0
Antarctic Fisheries,1990,0,0,10992,0,0
Antarctic Fisheries,1991,0,0,14656,0,0
Antarctic Fisheries,1992,0,0,14656,0,0
Antarctic Fisheries,1993,0,0,14656,0,0
Antarctic Fisheries,1994,0,0,14656,0,0
