Entity,Year,Number of countries which are not electoral democracies,Number of electoral democracies aged 1-18 years,Number of electoral democracies aged 19-30 years,Number of electoral democracies aged 31-60 years,Number of electoral democracies aged 61-90 years,Number of electoral democracies aged 91 years or older,Number of countries which are not liberal democracies,Number of liberal democracies aged 1-18 years,Number of liberal democracies aged 19-30 years,Number of liberal democracies aged 31-60 years,Number of liberal democracies aged 61-90 years,Number of liberal democracies aged 91 years or older
World,1850,98,1,0,0,0,0,98,1,0,0,0,0
World,1851,98,1,0,0,0,0,98,1,0,0,0,0
World,1852,99,1,0,0,0,0,99,1,0,0,0,0
World,1853,100,1,0,0,0,0,100,1,0,0,0,0
World,1854,100,1,0,0,0,0,100,1,0,0,0,0
World,1855,100,1,0,0,0,0,100,1,0,0,0,0
World,1856,100,1,0,0,0,0,100,1,0,0,0,0
World,1857,100,1,0,0,0,0,100,1,0,0,0,0
World,1858,99,2,0,0,0,0,99,2,0,0,0,0
World,1859,99,2,0,0,0,0,99,2,0,0,0,0
World,1860,97,2,0,0,0,0,97,2,0,0,0,0
World,1861,95,2,0,0,0,0,95,2,0,0,0,0
World,1862,93,2,0,0,0,0,93,2,0,0,0,0
World,1863,94,2,0,0,0,0,94,2,0,0,0,0
World,1864,94,2,0,0,0,0,94,2,0,0,0,0
World,1865,94,2,0,0,0,0,94,2,0,0,0,0
World,1866,94,2,0,0,0,0,94,2,0,0,0,0
World,1867,93,1,1,0,0,0,93,1,1,0,0,0
World,1868,88,1,1,0,0,0,88,1,1,0,0,0
World,1869,88,1,1,0,0,0,88,1,1,0,0,0
World,1870,88,1,1,0,0,0,88,1,1,0,0,0
World,1871,88,1,1,0,0,0,88,1,1,0,0,0
World,1872,84,1,1,0,0,0,84,1,1,0,0,0
World,1873,84,1,1,0,0,0,84,1,1,0,0,0
World,1874,83,2,1,0,0,0,84,1,1,0,0,0
World,1875,83,2,1,0,0,0,84,1,1,0,0,0
World,1876,84,1,2,0,0,0,85,0,2,0,0,0
World,1877,84,1,2,0,0,0,85,0,2,0,0,0
World,1878,84,1,2,0,0,0,85,0,2,0,0,0
World,1879,83,1,1,1,0,0,84,0,1,1,0,0
World,1880,83,1,1,1,0,0,84,0,1,1,0,0
World,1881,83,1,1,1,0,0,84,0,1,1,0,0
World,1882,83,1,1,1,0,0,84,0,1,1,0,0
World,1883,83,1,1,1,0,0,84,0,1,1,0,0
World,1884,83,1,1,1,0,0,84,0,1,1,0,0
World,1885,81,1,1,1,0,0,82,0,1,1,0,0
World,1886,81,1,1,1,0,0,82,0,1,1,0,0
World,1887,79,2,1,1,0,0,81,0,1,1,0,0
World,1888,79,2,0,2,0,0,81,0,0,2,0,0
World,1889,79,2,0,2,0,0,81,0,0,2,0,0
World,1890,79,2,0,2,0,0,81,0,0,2,0,0
World,1891,79,2,0,2,0,0,81,0,0,2,0,0
World,1892,80,1,1,2,0,0,82,0,0,2,0,0
World,1893,79,1,1,2,0,0,81,0,0,2,0,0
World,1894,79,1,1,2,0,0,81,0,0,2,0,0
World,1895,77,2,1,2,0,0,79,1,0,2,0,0
World,1896,77,2,1,2,0,0,79,1,0,2,0,0
World,1897,77,2,1,2,0,0,79,1,0,2,0,0
World,1898,77,2,1,2,0,0,79,1,0,2,0,0
World,1899,78,1,1,2,0,0,80,0,0,2,0,0
World,1900,138,2,1,2,0,0,140,1,0,2,0,0
World,1901,139,2,1,2,0,0,141,1,0,2,0,0
World,1902,140,3,1,2,0,0,142,2,0,2,0,0
World,1903,143,3,1,2,0,0,145,2,0,2,0,0
World,1904,144,4,0,3,0,0,147,2,0,2,0,0
World,1905,143,3,1,3,0,0,146,2,0,2,0,0
World,1906,144,4,1,3,0,0,148,2,0,2,0,0
World,1907,144,4,1,3,0,0,148,2,0,2,0,0
World,1908,144,4,1,3,0,0,148,2,0,2,0,0
World,1909,144,4,1,2,1,0,148,2,0,1,1,0
World,1910,145,4,1,2,1,0,149,2,0,1,1,0
World,1911,147,4,1,2,1,0,151,2,0,1,1,0
World,1912,147,4,1,2,1,0,151,2,0,1,1,0
World,1913,147,4,1,2,1,0,150,3,0,1,1,0
World,1914,150,3,1,2,1,0,153,2,0,1,1,0
World,1915,151,3,1,2,1,0,154,2,0,1,1,0
World,1916,154,3,1,2,1,0,158,2,0,0,1,0
World,1917,154,3,0,3,1,0,158,2,0,0,1,0
World,1918,153,6,0,2,2,0,158,4,0,0,1,0
World,1919,153,8,0,2,2,0,159,5,0,0,1,0
World,1920,147,13,1,2,2,0,158,5,1,0,1,0
World,1921,143,17,1,2,2,0,157,6,1,0,1,0
World,1922,143,19,2,2,2,0,159,7,1,0,1,0
World,1923,142,20,2,2,2,0,159,7,1,0,1,0
World,1924,142,19,3,2,2,0,159,7,1,0,1,0
World,1925,142,19,3,2,2,0,158,8,1,0,1,0
World,1926,143,18,3,2,2,0,158,8,1,0,1,0
World,1927,144,17,3,2,2,0,158,8,1,0,1,0
World,1928,144,17,3,2,2,0,158,8,1,0,1,0
World,1929,144,17,3,2,2,0,158,8,1,0,1,0
World,1930,145,16,3,2,2,0,158,8,1,0,1,0
World,1931,145,16,3,2,2,0,158,7,2,0,1,0
World,1932,139,17,2,3,2,0,153,7,1,1,1,0
World,1933,142,14,2,3,2,0,153,7,1,1,1,0
World,1934,145,12,1,3,3,0,154,7,1,1,1,0
World,1935,149,12,1,3,3,0,158,7,1,1,1,0
World,1936,149,10,2,4,3,0,158,5,3,1,1,0
World,1937,150,8,3,4,3,0,158,4,4,1,1,0
World,1938,150,5,6,4,3,0,158,3,5,1,1,0
World,1939,148,3,7,4,2,1,155,2,6,1,0,1
World,1940,154,1,6,3,1,1,159,1,5,0,0,1
World,1941,155,1,6,3,1,1,160,1,5,0,0,1
World,1942,154,1,6,3,1,1,159,1,5,0,0,1
World,1943,155,1,6,2,1,1,159,0,5,1,0,1
World,1944,156,1,6,2,1,1,160,0,5,1,0,1
World,1945,158,2,6,2,1,1,163,0,5,1,0,1
World,1946,156,6,6,2,1,1,161,4,5,1,0,1
World,1947,153,10,6,1,2,1,160,6,5,1,0,1
World,1948,155,11,5,2,1,2,163,6,4,2,0,1
World,1949,154,13,4,3,1,2,162,8,3,3,0,1
World,1950,151,15,4,3,1,2,161,8,2,4,0,1
World,1951,152,15,2,5,1,2,162,8,2,4,0,1
World,1952,150,17,0,7,1,2,161,9,1,5,0,1
World,1953,150,17,0,7,1,2,161,9,1,5,0,1
World,1954,150,17,0,7,1,2,161,9,1,5,0,1
World,1955,149,18,0,7,1,2,161,9,0,6,0,1
World,1956,148,19,0,7,1,2,160,10,0,6,0,1
World,1957,148,18,1,7,1,2,160,10,0,6,0,1
World,1958,150,16,1,7,1,2,160,10,0,6,0,1
World,1959,149,17,1,7,1,2,160,10,0,6,0,1
World,1960,147,18,1,7,1,2,159,10,0,6,0,1
World,1961,148,18,1,7,1,2,160,10,0,6,0,1
World,1962,147,19,1,7,1,2,160,10,0,6,0,1
World,1963,145,20,2,7,1,2,160,10,0,6,0,1
World,1964,144,17,6,6,2,2,160,6,4,6,0,1
World,1965,144,13,10,6,2,2,160,4,6,6,0,1
World,1966,144,13,10,6,2,2,159,5,6,6,0,1
World,1967,143,12,12,6,2,2,159,3,8,6,0,1
World,1968,142,11,14,6,2,2,159,3,8,6,0,1
World,1969,142,11,13,7,2,2,158,4,8,6,0,1
World,1970,141,10,15,7,2,2,157,4,9,6,0,1
World,1971,141,11,15,7,2,2,158,4,9,6,0,1
World,1972,142,10,15,7,2,2,158,4,9,6,0,1
World,1973,144,8,16,6,2,2,158,4,9,5,1,1
World,1974,140,11,16,6,2,2,157,3,10,5,1,1
World,1975,140,12,14,7,2,2,157,3,10,5,1,1
World,1976,139,12,10,11,2,2,153,6,6,9,1,1
World,1977,139,13,5,15,1,3,152,7,4,11,1,1
World,1978,138,13,6,14,2,3,152,7,4,10,2,1
World,1979,137,14,4,15,3,3,152,7,2,11,3,1
World,1980,136,15,3,16,3,3,152,7,2,10,4,1
World,1981,136,13,5,14,5,3,152,7,2,10,4,1
World,1982,136,14,4,12,7,3,152,7,1,10,5,1
World,1983,136,14,4,12,7,3,151,8,1,10,5,1
World,1984,134,16,4,12,7,3,151,7,2,10,5,1
World,1985,133,16,5,12,7,3,151,7,2,9,6,1
World,1986,132,16,6,12,7,3,150,8,1,10,6,1
World,1987,132,16,6,12,7,3,150,7,2,10,6,1
World,1988,127,21,6,12,7,3,150,6,3,10,6,1
World,1989,127,21,6,12,7,3,149,7,3,10,6,1
World,1990,115,33,5,13,7,3,146,10,3,10,6,1
World,1991,108,39,5,13,7,3,143,12,3,10,6,1
World,1992,104,41,6,14,7,3,143,12,3,10,6,1
World,1993,101,43,5,16,7,3,142,13,3,10,6,1
World,1994,100,44,6,16,6,4,143,10,6,10,6,1
World,1995,97,46,7,16,6,4,143,9,7,10,6,1
World,1996,94,48,8,16,6,4,140,12,6,11,6,1
World,1997,93,49,7,17,6,4,140,12,6,11,6,1
World,1998,93,48,8,18,6,4,141,12,6,11,6,1
World,1999,90,52,8,18,6,4,141,13,5,12,6,1
World,2000,91,52,7,18,6,4,140,14,4,13,6,1
World,2001,91,52,7,18,6,4,140,13,5,13,6,1
World,2002,85,56,9,18,6,4,140,13,5,13,6,1
World,2003,84,57,10,17,6,4,139,14,5,13,5,2
World,2004,84,56,10,18,6,4,138,14,6,13,5,2
World,2005,86,53,10,18,7,4,138,14,6,13,5,2
World,2006,87,49,12,15,11,4,137,15,3,12,9,2
World,2007,89,48,11,13,14,4,138,14,3,11,11,2
World,2008,87,43,17,14,13,5,138,12,5,11,10,3
World,2009,88,35,24,12,14,6,138,10,7,9,11,4
World,2010,81,40,24,13,15,6,138,11,6,9,10,5
World,2011,82,36,27,13,13,8,138,9,8,9,10,5
World,2012,82,36,27,12,12,10,138,9,8,8,10,6
World,2013,86,31,28,12,12,10,140,7,7,9,10,6
World,2014,84,29,30,14,12,10,139,6,9,9,10,6
World,2015,85,26,31,15,12,10,140,5,9,9,9,7
World,2016,83,27,31,16,12,10,143,4,6,9,10,7
World,2017,82,26,32,17,12,10,143,5,6,8,10,7
World,2018,84,24,30,19,12,10,144,4,7,7,10,7
World,2019,89,21,30,17,12,10,145,4,5,8,10,7
World,2020,87,21,26,22,13,10,147,5,3,7,10,7
