Entity,Year,"Central Gov Expenditure (Roine, Vlachos, Waldenström (2009) and US Historical Tables (2016))"
Japan,1998,15.965648
Japan,1999,16.59596562
Japan,2000,16.93706214
Japan,2001,17.51484126
Japan,2002,18.01328808
Japan,2003,18.01556647
Japan,2004,17.95654893
Japan,2005,17.96171665
Netherlands,1900,5.66046834
Netherlands,1905,5.558430031
Netherlands,1910,4.617797583
Netherlands,1913,5.042945221
Netherlands,1920,7.459243387
Netherlands,1922,10.39495021
Netherlands,1925,6.106666103
Netherlands,1929,5.589925125
Netherlands,1932,8.739180863
Netherlands,1935,10.54015011
Netherlands,1938,9.654355794
Netherlands,1945,48.83193672
Netherlands,1948,17.78057516
Netherlands,1950,13.58290017
Netherlands,1951,13.79939765
Netherlands,1952,13.24809939
Netherlands,1953,13.87072951
Netherlands,1954,14.81488049
Netherlands,1955,15.002051
Netherlands,1956,14.93750066
Netherlands,1957,14.84149843
Netherlands,1958,14.33048397
Netherlands,1959,13.42245936
Netherlands,1960,13.44976127
Netherlands,1961,13.96380067
Netherlands,1962,14.52520937
Netherlands,1963,15.35658836
Netherlands,1964,15.53706676
Netherlands,1965,15.48331976
Netherlands,1966,15.86585343
Netherlands,1967,16.24321043
Netherlands,1968,15.8741653
Netherlands,1969,19.38364804
Netherlands,1970,19.86028254
Netherlands,1971,20.86749077
Netherlands,1972,21.38964832
Netherlands,1973,21.24816626
Netherlands,1974,22.16557413
Netherlands,1975,23.7793833
Netherlands,1976,23.82138222
Netherlands,1977,24.25930947
Netherlands,1978,24.71571863
Netherlands,1979,25.41767359
Netherlands,1980,25.33525229
Netherlands,1981,25.50363541
Netherlands,1982,25.82134008
Netherlands,1983,25.50165355
Netherlands,1984,24.28708524
Netherlands,1985,24.34744537
Netherlands,1986,24.21675622
Netherlands,1987,25.18274486
Netherlands,1988,24.56615716
Netherlands,1989,23.80425781
Netherlands,1990,23.45613688
Netherlands,1991,23.69555384
Netherlands,1992,24.32483584
Netherlands,1993,24.6850431
Netherlands,1994,24.20107871
Netherlands,1995,23.81140739
Netherlands,1996,22.77679443
Netherlands,1997,22.34473825
Netherlands,1998,22.20600247
Netherlands,1999,22.23421931
Netherlands,2000,21.98081166
Netherlands,2001,22.64417708
Netherlands,2002,23.6979112
Netherlands,2003,24.48772937
Netherlands,2004,24.25641119
Netherlands,2005,24.09630418
New Zealand,1900,6.138182059
New Zealand,1905,6.158721447
New Zealand,1910,5.644162744
New Zealand,1913,6.366567314
New Zealand,1920,7.201895118
New Zealand,1922,6.579771638
New Zealand,1925,6.62541613
New Zealand,1929,6.961525977
New Zealand,1932,7.922048867
New Zealand,1935,8.24201107
New Zealand,1938,8.300916851
New Zealand,1945,20.15372068
New Zealand,1948,14.24322575
New Zealand,1950,10.86647734
New Zealand,1951,12.74845749
New Zealand,1952,13.87434602
New Zealand,1953,13.37278038
New Zealand,1954,12.09376678
New Zealand,1955,12.58211285
New Zealand,1956,13.18575591
New Zealand,1957,12.89887577
New Zealand,1958,13.01163286
New Zealand,1959,13.05398941
New Zealand,1960,12.8768146
New Zealand,1961,13.04347813
New Zealand,1962,13.13771307
New Zealand,1963,12.74060458
New Zealand,1964,12.81694025
New Zealand,1965,13.30925971
New Zealand,1966,13.9886111
New Zealand,1967,14.29595947
New Zealand,1968,14.65284079
New Zealand,1969,12.52434701
New Zealand,1970,13.20301741
New Zealand,1971,12.8891468
New Zealand,1972,12.94772774
New Zealand,1973,12.78399825
New Zealand,1974,14.29420561
New Zealand,1975,14.84401822
New Zealand,1976,13.73661458
New Zealand,1977,15.78490287
New Zealand,1978,16.99492931
New Zealand,1979,16.74160212
New Zealand,1980,17.98016727
New Zealand,1981,17.88749099
New Zealand,1982,17.72103608
New Zealand,1983,16.81448966
New Zealand,1984,16.09820575
New Zealand,1985,16.22719914
New Zealand,1986,18.88339818
New Zealand,1987,18.56675446
New Zealand,1988,18.44097823
New Zealand,1989,18.44013035
New Zealand,1990,19.21751946
New Zealand,1991,19.63227987
New Zealand,1992,19.75520253
New Zealand,1993,18.56438965
New Zealand,1994,17.42260903
New Zealand,1995,17.45871902
New Zealand,1996,17.28907973
New Zealand,1997,18.07774454
New Zealand,1998,18.03362668
New Zealand,1999,18.3516264
New Zealand,2000,17.50545502
New Zealand,2001,17.41268784
New Zealand,2002,17.29016602
New Zealand,2003,17.43986458
New Zealand,2004,17.66098142
New Zealand,2005,18.30729991
Norway,1900,4.579595476
Norway,1905,5.807152018
Norway,1910,5.409777537
Norway,1913,5.468419194
Norway,1920,5.725361034
Norway,1922,7.773122936
Norway,1925,5.716415495
Norway,1929,5.886726826
Norway,1932,6.175504997
Norway,1935,5.163213983
Norway,1938,5.356399342
Norway,1945,7.981395721
Norway,1948,12.17303798
Norway,1950,10.02454683
Norway,1951,10.12523323
Norway,1952,11.26278192
Norway,1953,12.67786622
Norway,1954,12.47861758
Norway,1955,11.61545441
Norway,1956,11.65610626
Norway,1957,12.0965533
Norway,1958,12.79830188
Norway,1959,13.21144849
Norway,1960,12.85316646
Norway,1961,12.84731776
Norway,1962,13.98192793
Norway,1963,14.33952302
Norway,1964,14.47302401
Norway,1965,15.04657567
Norway,1966,15.46327472
Norway,1967,16.10552818
Norway,1968,16.56810343
Norway,1969,16.81696326
Norway,1970,16.13013148
Norway,1971,16.94082022
Norway,1972,17.21756756
Norway,1973,17.33025461
Norway,1974,17.4667716
Norway,1975,18.43935698
Norway,1976,19.17813122
Norway,1977,19.35815215
Norway,1978,20.00783533
Norway,1979,19.5508346
Norway,1980,19.01394576
Norway,1981,19.3256408
Norway,1982,19.6425423
Norway,1983,19.66142952
Norway,1984,18.79354566
Norway,1985,18.49325597
Norway,1986,19.74651217
Norway,1987,20.76580673
Norway,1988,20.91128826
Norway,1989,20.80115527
Norway,1990,21.2152198
Norway,1991,21.77486569
Norway,1992,22.73908705
Norway,1993,22.57567346
Norway,1994,22.19255567
Norway,1995,21.5632692
Norway,1996,20.90474367
Norway,1997,20.4696089
Norway,1998,21.85570598
Norway,1999,21.38851881
Norway,2000,19.13564354
Norway,2001,20.62572539
Norway,2002,22.28031904
Norway,2003,22.46519774
Norway,2004,21.59598768
Norway,2005,20.35438865
Portugal,1900,5.055940524
Portugal,1905,5.19708097
Portugal,1920,16.42529219
Portugal,1922,14.46911991
Portugal,1925,9.822231531
Portugal,1929,9.1928415
Portugal,1932,9.050144255
Portugal,1935,12.48035207
Portugal,1938,8.997222781
Portugal,1945,9.726797044
Portugal,1948,11.13449782
Portugal,1950,9.032737464
Portugal,1951,8.768098056
Portugal,1952,9.419113398
Portugal,1953,9.552845359
Portugal,1954,10.09901017
Portugal,1955,10.29962525
Portugal,1956,9.756097943
Portugal,1957,9.650582075
Portugal,1958,9.508716315
Portugal,1959,10.69836542
Portugal,1960,10.50477475
Portugal,1961,12.54752874
Portugal,1962,12.87246794
Portugal,1963,12.29418218
Portugal,1964,12.27180511
Portugal,1965,12.0109193
Portugal,1966,12.12624609
Portugal,1967,13.15007359
Portugal,1968,13.38797808
Portugal,1969,13.20872307
Portugal,1970,13.98446113
Portugal,1971,13.71966302
Portugal,1972,13.53191435
Portugal,1973,12.79234588
Portugal,1974,14.11730051
Portugal,1975,14.97879177
Portugal,1976,13.73427212
Portugal,1977,14.33289647
Portugal,1978,14.22635913
Portugal,1979,14.44565505
Portugal,1980,14.91990685
Portugal,1981,15.40828943
Portugal,1982,15.25607854
Portugal,1983,15.63626826
Portugal,1984,15.38144648
Portugal,1985,15.85441232
Portugal,1986,13.69789988
Portugal,1987,13.55531961
Portugal,1988,15.49591124
Portugal,1989,15.9623459
Portugal,1990,16.45204127
Portugal,1991,18.3437258
Portugal,1992,18.54424328
Portugal,1993,19.30928528
Portugal,1994,19.02324706
Portugal,1995,19.10809278
Portugal,1996,19.61888522
Portugal,1997,19.83485967
Portugal,1998,20.24452239
Portugal,1999,18.61532629
Portugal,2000,19.32068318
Portugal,2001,19.67063099
Portugal,2002,20.04193962
Portugal,2003,20.08994818
Portugal,2004,20.53597569
Portugal,2005,21.0551247
Spain,1900,7.954822481
Spain,1905,8.048291504
Spain,1910,8.956953883
Spain,1913,9.900765866
Spain,1920,8.519815654
Spain,1922,11.16801202
Spain,1925,9.744304419
Spain,1929,8.970909566
Spain,1932,11.26186028
Spain,1935,11.53375953
Spain,1938,11.99710891
Spain,1945,12.46045828
Spain,1948,11.54101491
Spain,1950,10.61161086
Spain,1951,8.969072253
Spain,1952,9.130695462
Spain,1953,8.75358209
Spain,1954,8.907363564
Spain,1955,9.02075544
Spain,1956,9.267840534
Spain,1957,9.505929053
Spain,1958,8.045384288
Spain,1959,8.699253947
Spain,1960,8.796519786
Spain,1961,8.656293899
Spain,1962,8.592411131
Spain,1963,8.940053731
Spain,1964,7.236732543
Spain,1965,7.434944063
Spain,1966,7.723677903
Spain,1967,8.416767418
Spain,1968,8.191812783
Spain,1969,8.277945966
Spain,1970,9.463518858
Spain,1971,9.626010805
Spain,1972,9.51109603
Spain,1973,9.499654919
Spain,1974,9.890922159
Spain,1975,10.44464707
Spain,1976,11.28435209
Spain,1977,11.49061248
Spain,1978,11.91337034
Spain,1979,12.41383478
Spain,1980,13.9536649
Spain,1981,14.91428614
Spain,1982,15.09341747
Spain,1983,15.5438751
Spain,1984,15.29958397
Spain,1985,15.57546407
Spain,1986,15.374659
Spain,1987,15.88387787
Spain,1988,15.7288909
Spain,1989,16.24087542
Spain,1990,16.66554511
Spain,1991,17.35472381
Spain,1992,18.26182306
Spain,1993,18.81581843
Spain,1994,18.21729094
Spain,1995,18.08296591
Spain,1996,17.98883379
Spain,1997,17.47263372
Spain,1998,17.453067
Spain,1999,17.17689037
Spain,2000,17.19282269
Spain,2001,17.06974506
Spain,2002,17.19637513
Spain,2003,17.36915261
Spain,2004,17.82584637
Spain,2005,17.96157658
Sweden,1900,4.790925235
Sweden,1905,5.424547195
Sweden,1910,5.106125027
Sweden,1913,4.702290148
Sweden,1920,5.473291129
Sweden,1922,8.777544647
Sweden,1925,5.982384086
Sweden,1929,5.860995874
Sweden,1932,7.96354115
Sweden,1935,8.741594851
Sweden,1938,8.323837072
Sweden,1945,18.03188473
Sweden,1948,12.52101511
Sweden,1950,12.74246871
Sweden,1951,12.87348717
Sweden,1952,14.40255791
Sweden,1953,15.41058123
Sweden,1954,15.2372092
Sweden,1955,15.42683989
Sweden,1956,15.60435146
Sweden,1957,16.14911109
Sweden,1958,16.26170278
Sweden,1959,16.34236574
Sweden,1960,15.83819538
Sweden,1961,20.26820481
Sweden,1962,23.4999299
Sweden,1963,17.25142002
Sweden,1964,17.14150608
Sweden,1965,17.91356206
Sweden,1966,19.07792538
Sweden,1967,19.73861605
Sweden,1968,20.70359439
Sweden,1969,20.85954547
Sweden,1970,21.17450386
Sweden,1971,22.13033289
Sweden,1972,22.33237475
Sweden,1973,22.48394638
Sweden,1974,23.03857058
Sweden,1975,23.50216955
Sweden,1976,24.4525969
Sweden,1977,27.3342222
Sweden,1978,28.33919227
Sweden,1979,28.70819569
Sweden,1980,29.81419265
Sweden,1981,30.13883233
Sweden,1982,29.98081148
Sweden,1983,29.25614119
Sweden,1984,28.25184464
Sweden,1985,27.91396379
Sweden,1986,27.46890783
Sweden,1987,26.64235532
Sweden,1988,26.03562474
Sweden,1989,26.22949183
Sweden,1990,27.40878761
Sweden,1991,28.11254859
Sweden,1992,29.22504544
Sweden,1993,29.18371856
Sweden,1994,28.16109955
Sweden,1995,26.99097693
Sweden,1996,27.6469171
Sweden,1997,27.07685232
Sweden,1998,27.31874287
Sweden,1999,27.27622986
Sweden,2000,26.37580037
Sweden,2001,26.85865462
Sweden,2002,27.75135934
Sweden,2003,28.12430561
Sweden,2004,27.39198208
Sweden,2005,27.22353041
United Kingdom,1900,5.424008146
United Kingdom,1905,3.805639967
United Kingdom,1910,4.095550999
United Kingdom,1913,4.103550315
United Kingdom,1920,12.64311671
United Kingdom,1922,11.81594953
United Kingdom,1925,10.59036553
United Kingdom,1929,10.23718715
United Kingdom,1932,12.67888099
United Kingdom,1935,10.98342091
United Kingdom,1938,11.43299788
United Kingdom,1945,36.72577739
United Kingdom,1948,18.6113283
United Kingdom,1950,17.02628732
United Kingdom,1951,17.85007864
United Kingdom,1952,19.47733015
United Kingdom,1953,18.95071119
United Kingdom,1954,18.35407913
United Kingdom,1955,17.76980311
United Kingdom,1956,17.8479448
United Kingdom,1957,17.67446101
United Kingdom,1958,17.28416532
United Kingdom,1959,17.38201827
United Kingdom,1960,17.2056675
United Kingdom,1961,17.33688563
United Kingdom,1962,17.61876494
United Kingdom,1963,17.04538018
United Kingdom,1964,16.62444919
United Kingdom,1965,17.39567667
United Kingdom,1966,17.77736992
United Kingdom,1967,18.60864311
United Kingdom,1968,18.26556474
United Kingdom,1969,17.79749542
United Kingdom,1970,18.21516603
United Kingdom,1971,18.60481352
United Kingdom,1972,18.94874275
United Kingdom,1973,18.83274764
United Kingdom,1974,20.59837878
United Kingdom,1975,22.48734236
United Kingdom,1976,22.26544023
United Kingdom,1977,20.89686543
United Kingdom,1978,20.53720802
United Kingdom,1979,20.25496662
United Kingdom,1980,21.7928946
United Kingdom,1981,22.47604281
United Kingdom,1982,22.35586047
United Kingdom,1983,22.22277224
United Kingdom,1984,21.97897285
United Kingdom,1985,21.24333978
United Kingdom,1986,21.26868218
United Kingdom,1987,20.73886693
United Kingdom,1988,20.02515793
United Kingdom,1989,19.74011511
United Kingdom,1990,20.14010251
United Kingdom,1991,21.0852012
United Kingdom,1992,21.49797231
United Kingdom,1993,20.79510689
United Kingdom,1994,20.28141916
United Kingdom,1995,19.85392123
United Kingdom,1996,19.42437589
United Kingdom,1997,18.55955571
United Kingdom,1998,18.17027479
United Kingdom,1999,18.69911402
United Kingdom,2000,19.07740831
United Kingdom,2001,19.50908154
United Kingdom,2002,20.25839835
United Kingdom,2003,20.95820904
United Kingdom,2004,21.30910456
United Kingdom,2005,21.84417695
United States,1930,3.4
United States,1931,4.2
United States,1932,6.8
United States,1933,7.9
United States,1934,10.6
United States,1935,9.1
United States,1936,10.3
United States,1937,8.5
United States,1938,7.6
United States,1939,10.1
United States,1940,9.6
United States,1941,11.7
United States,1942,23.8
United States,1943,42.6
United States,1944,42.7
United States,1945,41
United States,1946,24.2
United States,1947,14.4
United States,1948,11.3
United States,1949,14
United States,1950,15.3
United States,1951,13.9
United States,1952,18.9
United States,1953,19.9
United States,1954,18.3
United States,1955,16.8
United States,1956,16.1
United States,1957,16.5
United States,1958,17.4
United States,1959,18.2
United States,1960,17.2
United States,1961,17.8
United States,1962,18.2
United States,1963,18
United States,1964,17.9
United States,1965,16.6
United States,1966,17.2
United States,1967,18.8
United States,1968,19.8
United States,1969,18.7
United States,1970,18.6
United States,1971,18.8
United States,1972,18.9
United States,1973,18.1
United States,1974,18.1
United States,1975,20.6
United States,1976,20.8
United States,1977,20.2
United States,1978,20.1
United States,1979,19.6
United States,1980,21.1
United States,1981,21.6
United States,1982,22.5
United States,1983,22.8
United States,1984,21.5
United States,1985,22.2
United States,1986,21.8
United States,1987,21
United States,1988,20.6
United States,1989,20.5
United States,1990,21.2
United States,1991,21.7
United States,1992,21.5
United States,1993,20.7
United States,1994,20.3
United States,1995,20
United States,1996,19.6
United States,1997,18.9
United States,1998,18.5
United States,1999,17.9
United States,2000,17.6
United States,2001,17.6
United States,2002,18.5
United States,2003,19.1
United States,2004,19
United States,2005,19.2
United States,2006,19.4
United States,2007,19.1
United States,2008,20.2
United States,2009,24.4
United States,2010,23.4
United States,2011,23.4
United States,2012,22.1
United States,2013,20.9
United States,2014,20.4
United States,2015,20.7
