Entity,Year,Freshwater crabs (total endemics),Freshwater crabs (threatened endemics),Freshwater crayfish (total endemics),Freshwater crayfish (threatened endemics),Lobsters (total endemics),Lobsters (threatened endemics),Cone snails (total endemics),Cone snails (threatened endemics),Reef-forming corals (total endemics),Reef-forming corals (threatened endemics)
New Caledonia,2020,0,0,0,0,1,0,8,0,0,0
New Zealand,2020,0,0,2,0,2,0,0,0,0,0
Nicaragua,2020,3,0,0,0,0,0,0,0,0,0
Niger,2020,0,0,0,0,0,0,0,0,0,0
Nigeria,2020,2,0,0,0,0,0,0,0,0,0
Niue,2020,0,0,0,0,0,0,0,0,0,0
Norfolk Island,2020,0,0,0,0,0,0,0,0,0,0
North Korea,2020,0,0,0,0,0,0,0,0,0,0
North Macedonia,2020,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,2020,0,0,0,0,0,0,0,0,0,0
Norway,2020,0,0,0,0,0,0,0,0,0,0
Oman,2020,0,0,0,0,0,0,5,2,2,0
Pakistan,2020,1,0,0,0,0,0,0,0,0,0
Palau,2020,0,0,0,0,0,0,0,0,0,0
Palestine,2020,0,0,0,0,0,0,0,0,0,0
Panama,2020,9,0,0,0,0,0,2,0,1,1
Papua New Guinea,2020,11,0,2,1,0,0,1,0,0,0
Paraguay,2020,0,0,0,0,0,0,0,0,0,0
Peru,2020,7,0,0,0,0,0,0,0,0,0
Philippines,2020,41,4,0,0,3,0,18,0,0,0
Pitcairn,2020,0,0,0,0,0,0,0,0,0,0
Poland,2020,0,0,0,0,0,0,0,0,0,0
Portugal,2020,0,0,0,0,0,0,0,0,0,0
Puerto Rico,2020,0,0,0,0,0,0,1,0,0,0
Qatar,2020,0,0,0,0,0,0,0,0,0,0
Reunion,2020,0,0,0,0,1,0,1,1,0,0
Romania,2020,0,0,0,0,0,0,0,0,0,0
Russia,2020,0,0,0,0,0,0,0,0,0,0
Rwanda,2020,1,0,0,0,0,0,0,0,0,0
Saint Barthlemy,2020,0,0,0,0,0,0,0,0,0,0
Saint Helena,2020,0,0,0,0,2,0,1,0,0,0
Saint Kitts and Nevis,2020,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2020,0,0,0,0,0,0,0,0,0,0
Saint Martin (French part),2020,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,2020,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,2020,0,0,0,0,0,0,1,0,0,0
Samoa,2020,0,0,0,0,0,0,0,0,0,0
San Marino,2020,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,2020,2,0,0,0,0,0,0,0,0,0
Saudi Arabia,2020,0,0,0,0,0,0,0,0,1,0
Senegal,2020,2,0,0,0,0,0,13,10,0,0
Serbia,2020,0,0,0,0,0,0,0,0,0,0
Seychelles,2020,3,1,0,0,0,0,0,0,0,0
Sierra Leone,2020,2,2,0,0,0,0,0,0,0,0
Singapore,2020,3,3,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),2020,0,0,0,0,0,0,0,0,0,0
Slovakia,2020,0,0,0,0,0,0,0,0,0,0
Slovenia,2020,0,0,0,0,0,0,0,0,0,0
Solomon Islands,2020,0,0,0,0,0,0,3,0,0,0
Somalia,2020,0,0,0,0,0,0,4,0,0,0
South Africa,2020,7,1,0,0,1,0,12,1,0,0
South Georgia and the South Sandwich Islands,2020,0,0,0,0,0,0,0,0,0,0
South Korea,2020,0,0,0,0,0,0,0,0,0,0
South Sudan,2020,0,0,0,0,0,0,0,0,0,0
Spain,2020,0,0,0,0,0,0,0,0,0,0
Sri Lanka,2020,50,40,0,0,0,0,0,0,1,0
Sudan,2020,0,0,0,0,0,0,0,0,0,0
Suriname,2020,1,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen,2020,0,0,0,0,0,0,0,0,0,0
Sweden,2020,0,0,0,0,0,0,0,0,0,0
Switzerland,2020,0,0,0,0,0,0,0,0,0,0
Syria,2020,0,0,0,0,0,0,0,0,0,0
Taiwan,2020,34,11,0,0,2,0,0,0,0,0
Tajikistan,2020,0,0,0,0,0,0,0,0,0,0
Tanzania,2020,6,4,0,0,0,0,0,0,0,0
Thailand,2020,89,16,0,0,0,0,2,1,0,0
Timor,2020,0,0,0,0,0,0,0,0,0,0
Togo,2020,0,0,0,0,0,0,0,0,0,0
Tokelau,2020,0,0,0,0,0,0,0,0,0,0
Tonga,2020,0,0,0,0,1,0,0,0,0,0
Trinidad and Tobago,2020,0,0,0,0,0,0,0,0,0,0
Tunisia,2020,0,0,0,0,0,0,0,0,0,0
Turkey,2020,2,1,0,0,0,0,0,0,0,0
Turkmenistan,2020,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,2020,0,0,0,0,0,0,2,0,0,0
Tuvalu,2020,0,0,0,0,0,0,0,0,0,0
Uganda,2020,6,1,0,0,0,0,0,0,0,0
Ukraine,2020,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,2020,0,0,0,0,0,0,0,0,0,0
United Kingdom,2020,0,0,0,0,0,0,0,0,0,0
United States,2020,0,0,343,56,2,0,6,2,9,3
United States Minor Outlying Islands,2020,0,0,0,0,0,0,0,0,1,1
United States Virgin Islands,2020,0,0,0,0,0,0,0,0,0,0
Uruguay,2020,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2020,0,0,0,0,0,0,0,0,0,0
Vanuatu,2020,0,0,0,0,0,0,0,0,0,0
Vatican,2020,0,0,0,0,0,0,0,0,0,0
Venezuela,2020,19,3,0,0,0,0,1,1,0,0
Vietnam,2020,40,5,0,0,0,0,0,0,0,0
Wallis and Futuna,2020,0,0,0,0,0,0,1,0,0,0
Western Sahara,2020,0,0,0,0,0,0,0,0,0,0
Yemen,2020,3,0,0,0,0,0,0,0,0,0
Zambia,2020,1,0,0,0,0,0,0,0,0,0
Zimbabwe,2020,0,0,0,0,0,0,0,0,0,0
