Entity,Year,"GHG emissions per capita (tonnes CO2e) (EDGAR, 2019)","GHG emissions per capita per day (kgCO2e) (EDGAR, 2019)"
Antigua and Barbuda,1980,4.26,11.68
Antigua and Barbuda,1981,5.89,16.13
Antigua and Barbuda,1982,7.61,20.85
Antigua and Barbuda,1983,5.85,16.04
Antigua and Barbuda,1984,6.45,17.67
Antigua and Barbuda,1985,5.23,14.33
Antigua and Barbuda,1986,4.94,13.52
Antigua and Barbuda,1987,5.01,13.71
Antigua and Barbuda,1988,5.78,15.84
Antigua and Barbuda,1989,5.56,15.24
Antigua and Barbuda,1990,5.58,15.29
Antigua and Barbuda,1991,5.55,15.20
Antigua and Barbuda,1992,5.43,14.88
Antigua and Barbuda,1993,5.14,14.07
Antigua and Barbuda,1994,5.31,14.55
Antigua and Barbuda,1995,5.32,14.59
Antigua and Barbuda,1996,5.16,14.13
Antigua and Barbuda,1997,4.66,12.77
Antigua and Barbuda,1998,4.75,13.02
Antigua and Barbuda,1999,4.94,13.53
Antigua and Barbuda,2000,4.77,13.07
Antigua and Barbuda,2001,4.69,12.86
Antigua and Barbuda,2002,4.71,12.91
Antigua and Barbuda,2003,4.80,13.15
Antigua and Barbuda,2004,5.09,13.94
Antigua and Barbuda,2005,5.09,13.94
Antigua and Barbuda,2006,5.13,14.06
Antigua and Barbuda,2007,5.23,14.33
Antigua and Barbuda,2008,5.32,14.57
Antigua and Barbuda,2011,5.62,15.39
Antigua and Barbuda,2012,5.71,15.65
Arab World,1970,4.51,12.36
Arab World,1971,4.59,12.56
Arab World,1972,4.83,13.25
Arab World,1973,5.26,14.42
Arab World,1974,4.97,13.62
Arab World,1975,4.86,13.30
Arab World,1976,5.34,14.63
Arab World,1977,5.33,14.60
Arab World,1978,5.33,14.60
Arab World,1979,5.51,15.09
Arab World,1980,5.60,15.34
Arab World,1981,4.90,13.44
Arab World,1982,5.03,13.79
Arab World,1983,4.96,13.59
Arab World,1984,4.74,12.98
Arab World,1985,3.83,10.50
Arab World,1986,3.87,10.59
Arab World,1987,3.78,10.36
Arab World,1988,3.81,10.44
Arab World,1989,3.88,10.63
Arab World,1990,3.58,9.80
Arab World,1991,3.66,10.03
Arab World,1992,3.58,9.82
Arab World,1993,3.68,10.09
Arab World,1994,3.72,10.19
Arab World,1995,4.82,13.21
Arab World,1996,4.82,13.21
Arab World,1997,4.76,13.04
Arab World,1998,6.41,17.55
Arab World,1999,6.44,17.65
Arab World,2000,6.52,17.86
Arab World,2001,6.17,16.89
Arab World,2002,6.51,17.84
Arab World,2003,6.49,17.78
Arab World,2004,5.37,14.72
Arab World,2005,5.59,15.31
Arab World,2006,5.35,14.65
Arab World,2007,7.10,19.46
Arab World,2008,6.96,19.06
Arab World,2009,6.86,18.79
Arab World,2010,5.40,14.79
Arab World,2011,6.81,18.65
Arab World,2012,5.11,14.01
Argentina,1970,9.26,25.37
Argentina,1971,8.76,24.01
Argentina,1972,9.03,24.75
Argentina,1973,9.00,24.66
Argentina,1974,8.95,24.51
Argentina,1975,8.95,24.53
Argentina,1976,9.33,25.56
Argentina,1977,9.20,25.21
Argentina,1978,9.10,24.93
Argentina,1979,9.24,25.33
Argentina,1980,9.03,24.75
Argentina,1981,8.61,23.59
Argentina,1982,8.40,23.02
Argentina,1983,8.44,23.13
Argentina,1984,8.13,22.26
Argentina,1985,7.84,21.47
Argentina,1986,8.13,22.27
Argentina,1987,8.20,22.47
Argentina,1988,8.37,22.94
Argentina,1989,8.23,22.55
Argentina,1990,8.14,22.31
Argentina,1991,8.05,22.05
Argentina,1992,8.09,22.15
Argentina,1993,8.11,22.21
Argentina,1994,7.84,21.48
Argentina,1995,7.86,21.54
Argentina,1996,8.14,22.30
Argentina,1997,8.36,22.91
Argentina,1998,8.60,23.55
Argentina,1999,9.11,24.96
Argentina,2000,8.94,24.50
Argentina,2001,8.71,23.87
Argentina,2002,8.21,22.49
Argentina,2003,9.00,24.66
Argentina,2004,9.55,26.17
Argentina,2005,9.16,25.08
Argentina,2006,9.44,25.87
Argentina,2007,9.62,26.36
Argentina,2008,10.19,27.92
Argentina,2009,9.15,25.07
Argentina,2010,8.85,24.24
Argentina,2011,8.95,24.52
Argentina,2012,9.03,24.75
Armenia,1970,2.47,6.78
Armenia,1971,2.47,6.76
Armenia,1972,2.55,6.98
Armenia,1973,2.72,7.44
Armenia,1974,2.88,7.89
Armenia,1975,4.10,11.25
Armenia,1976,4.13,11.31
Armenia,1977,4.22,11.55
Armenia,1978,4.31,11.81
Armenia,1979,4.42,12.10
Armenia,1980,4.68,12.82
Armenia,1981,4.79,13.11
Armenia,1982,4.94,13.52
Armenia,1983,4.92,13.48
Armenia,1984,4.87,13.34
Armenia,1985,4.87,13.36
Armenia,1986,4.86,13.31
Armenia,1987,4.77,13.07
Armenia,1988,5.03,13.77
Armenia,1989,4.94,13.53
Armenia,1990,6.99,19.15
Armenia,1991,7.25,19.87
Armenia,1992,4.22,11.55
Armenia,1993,2.49,6.81
Armenia,1994,1.86,5.10
Armenia,1995,2.09,5.71
Armenia,1996,1.89,5.18
Armenia,1997,2.14,5.88
Armenia,1998,2.17,5.94
Armenia,1999,2.07,5.67
Armenia,2000,2.24,6.13
Armenia,2001,2.26,6.19
Armenia,2002,2.13,5.83
Armenia,2003,2.31,6.33
Armenia,2004,2.54,6.97
Armenia,2005,2.82,7.72
Armenia,2006,2.96,8.10
Armenia,2007,3.18,8.71
Armenia,2008,4.29,11.75
Armenia,2009,3.89,10.66
Armenia,2010,3.96,10.85
Armenia,2011,4.32,11.83
Armenia,2012,4.27,11.71
Aruba,1970,0.72,1.96
Aruba,1971,0.72,1.97
Aruba,1972,0.72,1.98
Aruba,1973,0.73,1.99
Aruba,1974,0.73,2.00
Aruba,1975,0.73,2.01
Aruba,1976,2.17,5.95
Aruba,1977,2.24,6.13
Aruba,1978,5.97,16.36
Aruba,1979,6.83,18.71
Aruba,1980,7.07,19.37
Aruba,1981,8.57,23.48
Aruba,1982,9.19,25.19
Aruba,1983,8.53,23.36
Aruba,1984,9.09,24.90
Aruba,1985,10.19,27.91
Aruba,1986,6.96,19.06
Aruba,1987,9.98,27.34
Australia,1970,25.51,69.89
Australia,1971,24.31,66.59
Australia,1972,26.97,73.90
Australia,1973,24.91,68.24
Australia,1974,25.93,71.04
Australia,1975,27.18,74.46
Australia,1976,29.04,79.57
Australia,1977,29.24,80.10
Australia,1978,26.32,72.12
Australia,1979,28.39,77.79
Australia,1980,29.53,80.90
Australia,1981,25.99,71.19
Australia,1982,28.25,77.39
Australia,1983,25.16,68.93
Australia,1984,25.61,70.17
Australia,1985,28.98,79.41
Australia,1986,27.14,74.36
Australia,1987,25.38,69.55
Australia,1988,26.29,72.04
Australia,1989,27.42,75.11
Australia,1990,28.26,77.43
Australia,1991,28.89,79.15
Australia,1992,27.84,76.26
Australia,1993,27.14,74.35
Australia,1994,29.26,80.16
Australia,1995,27.07,74.18
Australia,1996,27.79,76.14
Australia,1997,49.74,136.27
Australia,1998,49.21,134.82
Australia,1999,62.88,172.28
Australia,2000,56.45,154.67
Australia,2001,63.95,175.21
Australia,2002,56.86,155.79
Australia,2003,51.45,140.97
Australia,2004,56.86,155.77
Australia,2005,44.58,122.15
Australia,2006,54.09,148.20
Australia,2007,51.16,140.18
Australia,2008,42.01,115.09
Australia,2009,50.95,139.59
Australia,2010,35.50,97.26
Australia,2011,35.17,96.37
Australia,2012,33.49,91.76
Austria,1970,9.16,25.10
Austria,1971,9.48,25.99
Austria,1972,9.75,26.70
Austria,1973,10.20,27.94
Austria,1974,9.88,27.06
Austria,1975,9.60,26.30
Austria,1976,10.32,28.28
Austria,1977,10.00,27.40
Austria,1978,10.30,28.23
Austria,1979,10.68,29.27
Austria,1980,10.44,28.61
Austria,1981,9.98,27.33
Austria,1982,9.65,26.44
Austria,1983,9.67,26.51
Austria,1984,9.99,27.37
Austria,1985,10.17,27.86
Austria,1986,9.97,27.32
Austria,1987,9.93,27.20
Austria,1988,9.89,27.10
Austria,1989,9.78,26.79
Austria,1990,10.40,28.49
Austria,1991,10.74,29.42
Austria,1992,10.10,27.68
Austria,1993,10.04,27.51
Austria,1994,10.05,27.53
Austria,1995,10.38,28.43
Austria,1996,10.76,29.48
Austria,1997,10.63,29.13
Austria,1998,10.75,29.44
Austria,1999,10.50,28.75
Austria,2000,10.32,28.28
Austria,2001,10.68,29.25
Austria,2002,10.81,29.62
Austria,2003,11.41,31.26
Austria,2004,11.79,32.30
Austria,2005,11.86,32.48
Austria,2006,11.57,31.69
Austria,2007,11.24,30.81
Austria,2008,11.37,31.15
Austria,2009,10.67,29.24
Austria,2010,11.26,30.85
Austria,2011,11.00,30.14
Austria,2012,10.73,29.40
Azerbaijan,1970,5.08,13.92
Azerbaijan,1971,5.04,13.82
Azerbaijan,1972,5.23,14.34
Azerbaijan,1973,5.63,15.42
Azerbaijan,1974,6.02,16.49
Azerbaijan,1975,7.31,20.03
Azerbaijan,1976,7.42,20.32
Azerbaijan,1977,7.59,20.80
Azerbaijan,1978,7.78,21.31
Azerbaijan,1979,7.99,21.89
Azerbaijan,1980,8.31,22.77
Azerbaijan,1981,8.87,24.31
Azerbaijan,1982,8.96,24.55
Azerbaijan,1983,9.09,24.90
Azerbaijan,1984,9.13,25.00
Azerbaijan,1985,9.21,25.24
Azerbaijan,1986,9.24,25.32
Azerbaijan,1987,9.14,25.03
Azerbaijan,1988,9.30,25.48
Azerbaijan,1989,9.09,24.91
Azerbaijan,1990,10.91,29.89
Azerbaijan,1991,10.86,29.76
Azerbaijan,1993,7.00,19.18
Azerbaijan,1994,6.38,17.48
Azerbaijan,1995,5.53,15.16
Azerbaijan,1996,5.02,13.75
Azerbaijan,1997,4.81,13.17
Azerbaijan,1998,5.05,13.83
Azerbaijan,1999,5.07,13.89
Azerbaijan,2000,5.30,14.52
Azerbaijan,2001,5.11,14.00
Azerbaijan,2002,4.93,13.51
Azerbaijan,2003,5.36,14.68
Azerbaijan,2004,5.42,14.84
Azerbaijan,2005,5.67,15.55
Azerbaijan,2006,5.72,15.66
Azerbaijan,2007,5.26,14.41
Azerbaijan,2008,6.14,16.83
Azerbaijan,2009,5.55,15.20
Azerbaijan,2010,5.60,15.35
Azerbaijan,2011,5.88,16.12
Azerbaijan,2012,6.08,16.66
Bahamas,1970,21.05,57.66
Bahamas,1981,27.75,76.03
Bahamas,1982,23.41,64.13
Bahamas,1983,20.29,55.60
Bahamas,1984,18.86,51.68
Bahamas,1985,14.66,40.17
Bahamas,1986,13.18,36.10
Bahamas,1987,13.02,35.67
Bahamas,1988,13.50,36.99
Bahamas,1989,14.10,38.64
Bahamas,1990,14.02,38.41
Bahamas,1991,13.28,36.39
Bahamas,1992,11.57,31.69
Bahamas,1993,10.91,29.90
Bahamas,1994,11.54,31.61
Bahamas,1995,12.61,34.54
Bahamas,1996,13.59,37.23
Bahamas,1997,12.32,33.76
Bahamas,1998,12.70,34.79
Bahamas,1999,12.20,33.41
Bahamas,2000,10.69,29.29
Bahamas,2001,10.40,28.49
Bahamas,2002,10.53,28.85
Bahamas,2003,11.26,30.86
Bahamas,2004,11.57,31.70
Bahamas,2005,11.71,32.07
Bahamas,2006,11.95,32.75
Bahamas,2007,12.06,33.04
Bahamas,2008,12.45,34.10
Bahamas,2009,12.22,33.48
Bahamas,2010,12.67,34.70
Bahamas,2011,12.89,35.32
Bahamas,2012,13.08,35.83
Bahrain,1970,17.92,49.08
Bahrain,1971,17.94,49.15
Bahrain,1972,25.76,70.59
Bahrain,1973,28.23,77.35
Bahrain,1974,31.19,85.46
Bahrain,1975,29.88,81.87
Bahrain,1976,30.19,82.72
Bahrain,1977,30.71,84.13
Bahrain,1978,30.13,82.53
Bahrain,1979,30.16,82.63
Bahrain,1980,29.06,79.60
Bahrain,1981,29.77,81.57
Bahrain,1982,31.13,85.28
Bahrain,1983,31.19,85.45
Bahrain,1984,31.36,85.91
Bahrain,1985,34.89,95.59
Bahrain,1986,37.52,102.79
Bahrain,1987,35.92,98.41
Bahrain,1988,34.98,95.83
Bahrain,1989,33.84,92.72
Bahrain,1990,34.38,94.20
Bahrain,1991,28.32,77.59
Bahrain,1992,29.02,79.52
Bahrain,1993,28.59,78.33
Bahrain,1994,27.69,75.86
Bahrain,1995,27.20,74.51
Bahrain,1996,27.63,75.69
Bahrain,1999,28.35,77.68
Bahrain,2001,27.31,74.83
Bahrain,2002,27.16,74.41
Bahrain,2003,26.38,72.26
Bahrain,2004,25.85,70.82
Bahrain,2005,26.35,72.20
Bahrain,2006,26.21,71.80
Bahrain,2009,24.68,67.62
Bahrain,2010,24.92,68.27
Bahrain,2011,24.99,68.46
Bahrain,2012,25.26,69.22
Bangladesh,1970,1.73,4.75
Bangladesh,1971,1.62,4.44
Bangladesh,1972,1.62,4.45
Bangladesh,1973,1.62,4.43
Bangladesh,1974,1.58,4.33
Bangladesh,1975,1.61,4.42
Bangladesh,1976,1.55,4.25
Bangladesh,1977,1.53,4.20
Bangladesh,1978,1.54,4.21
Bangladesh,1979,1.52,4.17
Bangladesh,1980,1.41,3.88
Bangladesh,1981,1.39,3.80
Bangladesh,1982,1.37,3.76
Bangladesh,1983,1.28,3.50
Bangladesh,1984,1.31,3.58
Bangladesh,1985,1.27,3.49
Bangladesh,1986,1.27,3.48
Bangladesh,1987,1.22,3.35
Bangladesh,1988,1.21,3.32
Bangladesh,1989,1.22,3.34
Bangladesh,1990,1.19,3.27
Bangladesh,1991,1.17,3.19
Bangladesh,1992,1.16,3.17
Bangladesh,1993,1.13,3.11
Bangladesh,1994,1.13,3.10
Bangladesh,1995,1.15,3.15
Bangladesh,1996,1.15,3.14
Bangladesh,1997,1.13,3.10
Bangladesh,1998,1.02,2.80
Bangladesh,1999,1.07,2.94
Bangladesh,2000,1.03,2.83
Bangladesh,2001,1.06,2.92
Bangladesh,2002,1.05,2.88
Bangladesh,2003,1.05,2.89
Bangladesh,2004,1.04,2.86
Bangladesh,2005,1.05,2.89
Bangladesh,2006,1.07,2.93
Bangladesh,2007,1.09,3.00
Bangladesh,2008,1.11,3.03
Bangladesh,2009,1.13,3.09
Bangladesh,2010,1.17,3.20
Bangladesh,2011,1.17,3.21
Bangladesh,2012,1.18,3.22
Barbados,1970,2.97,8.14
Barbados,1971,2.93,8.02
Barbados,1972,3.14,8.60
Barbados,1973,3.43,9.40
Barbados,1974,2.89,7.91
Barbados,1975,3.42,9.36
Barbados,1976,3.24,8.89
Barbados,1977,3.40,9.32
Barbados,1978,3.67,10.05
Barbados,1979,3.41,9.34
Barbados,1980,3.44,9.43
Barbados,1981,4.40,12.06
Barbados,1982,4.38,12.00
Barbados,1983,5.03,13.79
Barbados,1984,5.23,14.34
Barbados,1985,5.13,14.07
Barbados,1986,5.15,14.10
Barbados,1987,5.07,13.89
Barbados,1988,4.62,12.66
Barbados,1989,4.62,12.67
Barbados,1990,4.61,12.62
Barbados,1991,4.76,13.05
Barbados,1992,4.72,12.92
Barbados,1993,4.29,11.75
Barbados,1994,4.14,11.34
Barbados,1995,4.15,11.37
Barbados,1996,4.07,11.16
Barbados,1997,4.21,11.53
Barbados,1998,4.51,12.36
Barbados,1999,4.87,13.35
Barbados,2000,4.87,13.34
Barbados,2001,4.53,12.40
Barbados,2002,4.66,12.75
Barbados,2012,5.47,14.99
Belarus,1970,15.17,41.55
Belarus,1971,15.20,41.64
Belarus,1972,15.71,43.05
Belarus,1973,16.29,44.63
Belarus,1974,16.69,45.72
Belarus,1975,17.95,49.18
Belarus,1976,18.16,49.76
Belarus,1977,18.60,50.96
Belarus,1978,18.84,51.62
Belarus,1979,19.31,52.91
Belarus,1980,19.54,53.54
Belarus,1981,19.60,53.70
Belarus,1982,19.22,52.67
Belarus,1983,19.06,52.22
Belarus,1984,18.65,51.08
Belarus,1985,18.36,50.30
Belarus,1986,18.08,49.54
Belarus,1987,17.94,49.15
Belarus,1988,18.35,50.27
Belarus,1989,17.97,49.24
Belarus,1990,18.20,49.86
Belarus,1991,17.81,48.80
Belarus,1992,16.66,45.63
Belarus,1993,14.98,41.03
Belarus,1994,13.68,37.48
Belarus,1995,12.79,35.03
Belarus,1996,12.85,35.20
Belarus,1997,12.98,35.56
Belarus,1998,8.67,23.75
Belarus,1999,8.73,23.91
Belarus,2000,8.36,22.89
Belarus,2001,8.14,22.30
Belarus,2002,9.09,24.92
Belarus,2003,8.37,22.94
Belarus,2004,8.80,24.11
Belarus,2005,9.31,25.51
Belarus,2006,9.84,26.95
Belarus,2007,10.01,27.43
Belarus,2008,10.59,29.00
Belarus,2009,10.70,29.32
Belarus,2010,11.40,31.24
Belarus,2011,11.50,31.50
Belarus,2012,11.59,31.74
Belgium,1970,16.55,45.35
Belgium,1971,15.97,43.75
Belgium,1972,17.12,46.90
Belgium,1973,17.67,48.42
Belgium,1974,17.68,48.44
Belgium,1975,15.62,42.79
Belgium,1976,16.59,45.44
Belgium,1977,16.45,45.07
Belgium,1978,16.94,46.41
Belgium,1979,17.91,49.05
Belgium,1980,16.78,45.97
Belgium,1981,15.60,42.75
Belgium,1982,14.68,40.21
Belgium,1983,13.78,37.75
Belgium,1984,14.19,38.88
Belgium,1985,13.97,38.27
Belgium,1986,13.96,38.25
Belgium,1987,13.86,37.97
Belgium,1988,13.89,38.06
Belgium,1989,13.88,38.03
Belgium,1990,13.83,37.90
Belgium,1991,14.27,39.09
Belgium,1992,14.05,38.49
Belgium,1993,13.76,37.70
Belgium,1994,14.27,39.11
Belgium,1995,14.47,39.65
Belgium,1996,15.10,41.36
Belgium,1997,14.68,40.23
Belgium,1998,14.91,40.86
Belgium,1999,14.42,39.52
Belgium,2000,14.34,39.30
Belgium,2001,14.05,38.50
Belgium,2002,13.36,36.60
Belgium,2003,13.88,38.03
Belgium,2004,13.55,37.12
Belgium,2005,13.05,35.74
Belgium,2006,12.78,35.01
Belgium,2007,12.41,33.99
Belgium,2008,12.81,35.10
Belgium,2009,12.14,33.27
Belgium,2010,12.67,34.71
Belgium,2011,12.45,34.10
Belgium,2012,11.99,32.84
Belize,1970,2.56,7.02
Belize,1971,2.60,7.12
Belize,1972,2.87,7.86
Belize,1973,3.06,8.37
Belize,1974,2.98,8.16
Belize,1975,3.18,8.71
Belize,1976,2.90,7.93
Belize,1977,3.14,8.61
Belize,1978,3.05,8.36
Belize,1979,3.20,8.78
Belize,1980,3.06,8.38
Belize,1981,3.60,9.86
Belize,1982,3.68,10.08
Belize,1983,3.72,10.19
Belize,1984,3.76,10.31
Belize,1985,3.20,8.76
Belize,1986,3.37,9.24
Belize,1987,3.40,9.31
Belize,1988,2.66,7.28
Belize,1989,2.91,7.98
Belize,1990,3.37,9.24
Belize,1991,3.61,9.89
Belize,1992,3.26,8.92
Belize,1993,3.08,8.43
Belize,1994,2.94,8.05
Belize,1995,2.91,7.98
Belize,1996,2.69,7.36
Belize,1997,2.99,8.19
Belize,1998,4.01,10.98
Belize,1999,4.78,13.11
Belize,2000,6.78,18.57
Belize,2001,3.97,10.89
Belize,2002,6.49,17.79
Belize,2003,13.39,36.69
Belize,2004,4.15,11.37
Belize,2005,7.14,19.56
Belize,2006,4.39,12.03
Belize,2007,6.04,16.55
Belize,2008,4.60,12.60
Belize,2009,4.89,13.39
Belize,2010,4.66,12.77
Belize,2011,4.67,12.79
Belize,2012,4.66,12.77
Benin,1970,12.09,33.12
Benin,1971,11.58,31.71
Benin,1972,11.26,30.84
Benin,1973,11.90,32.60
Benin,1974,9.27,25.41
Benin,1975,9.68,26.52
Benin,1976,9.64,26.41
Benin,1977,10.95,30.00
Benin,1978,9.19,25.19
Benin,1979,9.73,26.65
Benin,1980,11.62,31.83
Benin,1981,9.54,26.15
Benin,1982,10.68,29.26
Benin,1983,9.74,26.69
Benin,1984,9.44,25.86
Benin,1985,8.44,23.13
Benin,1986,8.23,22.54
Benin,1987,8.32,22.78
Benin,1988,7.51,20.59
Benin,1989,7.87,21.55
Benin,1990,9.48,25.97
Benin,1991,7.41,20.31
Benin,1992,8.26,22.64
Benin,1993,7.46,20.43
Benin,1994,7.21,19.76
Benin,1995,7.67,21.03
Benin,1996,7.40,20.27
Benin,1997,7.36,20.18
Benin,1998,7.65,20.96
Benin,1999,6.53,17.88
Benin,2000,5.86,16.06
Benin,2001,4.67,12.78
Benin,2002,6.55,17.93
Benin,2003,4.90,13.44
Benin,2004,4.09,11.22
Benin,2005,6.09,16.67
Benin,2006,4.43,12.13
Benin,2007,4.72,12.92
Benin,2008,4.33,11.86
Benin,2009,4.26,11.66
Benin,2010,3.59,9.84
Benin,2011,3.52,9.64
Benin,2012,3.45,9.44
Bermuda,1970,6.35,17.40
Bermuda,1971,6.41,17.57
Bermuda,1972,8.55,23.42
