Entity,Year,Child deaths from rotavirus,"Child mortality from rotavirus per 100,000","Rotavirus incidence per 1,000 children",Rotavirus cases in children,Deaths averted from rotavirus vaccine,Avertable deaths if rotavirus vaccine coverage was 100%
Marshall Islands,2016,0,1.1,262.8,2582,0,0
Mauritania,2016,177,34.4,679.2,339011,35,106
Mauritius,2016,1,1.7,374.8,24854,1,0
Mexico,2016,282,2.4,203.9,2378537,244,84
Micronesia (region),2016,0,0.8,221.5,2189,0,0
Moldova,2016,1,0.5,325.4,72542,1,0
Mongolia,2016,0,0.1,354.2,131766,0,0
Montenegro,2016,0,0.2,297.3,10995,0,0
Morocco,2016,235,10.3,475.9,1068125,426,28
Mozambique,2016,1216,24.5,366.8,1841770,545,553
Myanmar,2016,324,7,334.7,2093714,0,247
Namibia,2016,101,30.3,319.2,108721,69,36
Nepal,2016,160,4,458.3,1929159,0,122
Netherlands,2016,2,0.2,428.5,372773,0,2
New Zealand,2016,1,0.2,62.9,18410,0,0
Nicaragua,2016,5,0.9,66.3,40410,15,0
Niger,2016,4160,112.9,716.3,2656642,1740,1955
Nigeria,2016,47683,161.5,1116,33510145,0,36428
North Africa and Middle East,2016,4193,6.6,415.8,26408211,1220,2502
North America,2016,39,0.2,30.4,652228,31,13
North Korea,2016,173,5.8,370,1214987,0,132
Northern Ireland,2016,1,0.4,198.6,23551,1,0
Northern Mariana Islands,2016,0,0.1,391.8,6071,0,0
Norway,2016,0,0.1,212.9,60285,0,0
Oceania,2016,85,6,324.9,448623,5,63
Oman,2016,1,0.3,641.5,276141,0,1
Pakistan,2016,2169,9.4,173,4228167,0,1659
Palestine,2016,7,0.6,356.6,381437,0,5
Panama,2016,16,4.7,473.3,172145,11,6
Papua New Guinea,2016,72,6.7,334.9,348845,0,55
Paraguay,2016,9,1.4,976.9,305549,5,3
Peru,2016,16,0.5,154.8,547030,17,4
Philippines,2016,887,7.7,507.3,5868418,541,341
Poland,2016,2,0.1,860.8,1710463,0,2
Portugal,2016,1,0.3,163.9,75773,0,1
Puerto Rico,2016,1,0.3,185.7,44635,1,0
Qatar,2016,0,0.2,155.6,19720,0,0
Romania,2016,15,1.7,1186.8,945983,0,12
Russia,2016,48,0.5,532.6,5262797,0,37
Rwanda,2016,650,34.7,720,1336002,1358,57
Saint Lucia,2016,0,0.9,382.4,3828,0,0
Saint Vincent and the Grenadines,2016,0,1.7,230.7,2198,0,0
Samoa,2016,0,0.4,301.7,8333,0,0
Sao Tome and Principe,2016,5,16,601.8,20796,3,2
Saudi Arabia,2016,7,0.3,224.4,572180,12,1
Scotland,2016,1,0.3,193.5,52705,1,0
Senegal,2016,903,35.5,613,1571014,852,252
Serbia,2016,1,0.3,540.5,221879,0,1
Seychelles,2016,0,0.4,351.8,2955,0,0
Sierra Leone,2016,1122,107.9,623.1,648546,667,439
Singapore,2016,0,0.1,53.6,9503,0,2
Slovakia,2016,1,0.3,660.6,196707,0,1
Slovenia,2016,0,0,704.6,74920,0,0
Solomon Islands,2016,5,6,387.3,31748,0,4
Somalia,2016,518,39.2,636.2,752300,0,396
South Africa,2016,319,6.4,220.5,1191643,316,85
South Asia,2016,12296,8.7,220.1,35169025,147,10093
South Korea,2016,2,0.1,24,53115,0,0
South Sudan,2016,913,31.9,719.9,2146188,0,700
Southeast Asia,2016,3765,6.6,507.9,29845328,542,2539
Southern Latin America,2016,33,0.7,224,1121370,12,16
Southern Sub-Saharan Africa,2016,1514,17.6,237.3,2150738,1686,409
Spain,2016,1,0.1,78,185335,0,1
Sri Lanka,2016,3,0.2,234.7,326929,0,2
Sub-Saharan Africa,2016,104733,66.9,742.6,117303716,24206,67234
Sudan,2016,532,12.7,494.9,1827025,299,217
Suriname,2016,2,4.9,187.9,9914,0,2
Swaziland,2016,75,36,244.6,50008,68,22
Sweden,2016,1,0.1,220,124968,0,0
Switzerland,2016,1,0.3,273.2,113167,0,1
Syria,2016,5,0.3,241.6,469217,0,4
Taiwan,2016,2,0.2,194.3,202885,0,2
Tajikistan,2016,143,12.6,304.4,334272,130,41
Tanzania,2016,1224,13.6,277,2601351,1534,255
Thailand,2016,25,0.8,487.9,1220322,0,19
Timor,2016,54,32.5,734.8,120817,0,41
Togo,2016,439,40.1,885.9,967975,256,174
Tonga,2016,0,1,283.5,3880,0,0
Trinidad and Tobago,2016,1,0.9,146.1,12978,0,0
Tunisia,2016,4,0.5,307.7,285502,0,3
Turkey,2016,39,0.6,257.1,1602391,0,30
Turkmenistan,2016,17,3,353.6,189520,0,13
Uganda,2016,2146,28.6,694.1,5238860,0,1639
Ukraine,2016,5,0.2,497.5,1294068,0,4
United Arab Emirates,2016,1,0.1,251.4,234106,2,0
United States,2016,37,0.2,30.4,593007,31,12
United States Virgin Islands,2016,0,0.2,271.8,1484,0,0
Uruguay,2016,2,0.8,100.7,24036,0,1
Uzbekistan,2016,15,0.4,78.7,378433,41,0
Vanuatu,2016,2,5,404.9,16352,0,2
Venezuela,2016,119,4.1,694.2,1965004,63,49
Vietnam,2016,44,0.6,630.3,4510324,0,34
Wales,2016,1,0.5,312.8,50311,1,0
Western Europe,2016,50,0.2,219.2,4866571,20,31
Western Sub-Saharan Africa,2016,71303,110.3,915.2,59763343,9827,48660
World,2016,128530,20.3,401.3,258173278,28844,83158
Yemen,2016,1093,23.6,659.3,2978163,373,558
Zambia,2016,722,25.4,454.8,1283627,719,192
Zimbabwe,2016,866,34.2,271.2,702165,1210,157
