Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Angola,1986,,,266184,,,,,,
Angola,1987,,,871391,,,,,,
Angola,1988,,,1044551,,,,,,
Angola,1989,,,1320000,,,,,,
Angola,1990,,,1280000,,,,,,
Angola,1991,,,960559,,,,,,
Angola,1992,,,1395379,,,,,,
Angola,1993,,,146787,,,,,,
Angola,1994,,,303867,,,,,,
Angola,1995,,,671394,,,,,,
Angola,1996,,,2500000,,,,,,
Angola,1997,,,1314182,,,,,,
Angola,1998,,,2764858,,,,,,
Angola,1999,,,3572200,,,,,,
Angola,2000,,,4014000,,,,,,
Angola,2001,,,5100000,,,,,,
Angola,2002,,,5700000,,,,,,
Angola,2003,,,6300000,,,,,,
Angola,2004,,,6146361,,,,,,
Angola,2005,,,7079121,,,,,,
Angola,2006,,,9175061,,,,,,
Angola,2007,,,9701709,,,,,,
Angola,2008,,,8906974,,,,,,
Angola,2009,,,13827609,,,,,,
Angola,2010,,,8362139,,,,,,
Angola,2011,,,8328519,,,,,,
Angola,2012,,,8330096,,,,,,
Angola,2013,,,8598695,,,,,,
Angola,2014,,,8791340,,,,,,
Angola,2015,,,9016343,,,,,,
Argentina,1970,,,,76,,,,42,
Argentina,1971,,,,147,,,,42,
Argentina,1972,,,,25,,,,38,15548
Argentina,1973,,,,94,,,,39,14414
Argentina,1974,,,,60,164,,,32,15690
Argentina,1975,,,,15,487,,,32,13871
Argentina,1976,35,,,145,675,,,174,18947
Argentina,1977,40,,,85,412,,,185,15575
Argentina,1978,22,,,,803,,,143,12038
Argentina,1979,36,,,,106,,,745,16731
Argentina,1980,18,,,,80,,,242,11953
Argentina,1981,0,,,,25,,,187,9932
Argentina,1982,21,,,,113,,,572,8850
Argentina,1983,21,,,,152,,,172,12296
Argentina,1984,46,,,,25,,,129,16884
Argentina,1985,46,,,,35,,,126,18790
Argentina,1986,47,,,,184,,,173,22979
Argentina,1987,53,,,,178,,,95,23998
Argentina,1988,54,,,,119,,,142,30539
Argentina,1989,60,,,,104,,,52,35667
Argentina,1990,55,,,,69,,,9,23641
Argentina,1991,49,,,,287,,,18,14437
Argentina,1992,37,,,,620,,,124,8073
Argentina,1993,49,,,,300,,,126,10627
Argentina,1994,27,,,,400,,,80,12653
Argentina,1995,43,,,,400,,,58,9830
Argentina,1996,40,,,,400,,,23,19000
Argentina,1997,45,,,,1876,,,35,19265
Argentina,1998,34,,,,8583,,,8,11000
Argentina,1999,0,,,,4387,,,8,2600
Argentina,2000,0,,,,7343,,,,2500
Argentina,2001,34,,,,4512,,,,2740
Argentina,2002,0,,,,5635,,,,2700
Argentina,2003,25,,,,7550,,,,2700
Argentina,2004,39,,,,11006,,,,10000
Argentina,2005,3,,,,15704,0,,,
Argentina,2006,6,,,,16564,0,,,24400
Argentina,2007,35,,,,17691,3483,,,15000
Argentina,2008,38,,,,17691,1200,,,10400
Argentina,2009,36,,,,17570,9468,,,11300
Argentina,2010,32,,,,17822,32000,,,11000
Argentina,2011,31,,,,14017,31000,,,11000
Argentina,2012,37,,,,13942,37000,,,11000
Argentina,2013,28,,,,13200,28000,,,11000
Argentina,2014,30,,,,16000,25000,,,11000
Argentina,2015,39,,,,19000,25000,,,11000
Armenia,2001,,,186000,,,,,,
Armenia,2010,3,,,,,,,,
Armenia,2011,0,,,,,,,,
Armenia,2012,43,,,,,,,,
Armenia,2013,41,,,,,,,,
Armenia,2014,43,,,,,,,,
Armenia,2015,40,,,,,,,,
Australia,1970,500,469,,,,1291,0,,
Australia,1971,559,796,,,,302,0,,
Australia,1972,708,770,,,,593,0,,9271
Australia,1973,676,776,,,,544,30,,8361
Australia,1974,720,1078,,,,71,60,,8982
Australia,1975,549,2709,,,,210,10,,247
Australia,1976,649,3250,,,,140,98,359,6954
Australia,1977,671,3324,,,,,115,356,18667
Australia,1978,747,3265,,,,,92,516,18943
Australia,1979,804,3046,0,,,,86,706,18990
Australia,1980,1012,3704,0,,0,,64,1561,18435
Australia,1981,1031,2902,0,,0,,65,2922,18313
Australia,1982,1010,3132,457000,,80,,74,4422,19678
Australia,1983,1121,2196,6200227,,2492,,52,3211,18669
Australia,1984,1082,2125,5692193,,6668,,66,4324,18313
Australia,1985,910,3036,7070062,,12009,,95,3206,18700
Australia,1986,909,2914,29232453,,8530,,115,4154,19000
Australia,1987,950,2715,30331701,,16621,,84,3780,18000
Australia,1988,855,2443,35221000,,27396,,73,3532,18000
Australia,1989,696,2270,35079000,,40000,,75,3800,20000
Australia,1990,638,1870,34662000,,50576,,100,3530,20000
Australia,1991,1076,1670,35956000,,43281,,100,3776,20000
Australia,1992,1001,1270,40172000,,39980,,150,2334,17000
Australia,1993,951,1159,41883000,,33353,,79,2256,
Australia,1994,910,1394,43789000,,61708,,113,2208,
Australia,1995,838,2100,40692000,,80135,,74,3712,
Australia,1996,639,1609,41993000,,139287,,119,4976,
Australia,1997,632,1996,40175000,,56567,,315,5490,
Australia,1998,585,2138,40843000,,42337,,155,4901,
Australia,1999,462,1802,29784000,,54023,,90,5997,
Australia,2000,525,1704,26647000,,65504,,171,7588,
Australia,2001,416,2696,26176000,,79859,,174,7652,
Australia,2002,524,2763,33648000,,79085,,122,7146,
Australia,2003,673,2562,31013000,,124410,,133,7633,
Australia,2004,347,2004,20620000,,118451,,196,9010,
Australia,2005,358,5198,30678000,,173635,,58,9516,
Australia,2006,329,5017,29308000,,222101,,,7606,
Australia,2007,351,4699,19231000,,245279,,,8603,
Australia,2008,350,5087,15670000,,239528,,,8471,
Australia,2009,370,4709,10795000,,197482,,,7942,
Australia,2010,350,4358,9998000,,303729,,,5971,
Australia,2011,390,3725,7561487,,421228,,,5961,
Australia,2012,380,4888,8625996,,452921,,,7022,
Australia,2013,380,6385,11481749,,363000,,,6370,
Australia,2014,380,5832,9288118,,444000,,,5634,
Australia,2015,380,6031,13560795,,428000,,,5655,
Austria,1970,24,,,27733,,,,,
Austria,1971,25,,,21392,,,,,
Austria,1972,26,,,18772,,,,,
Austria,1973,29,,,17211,,,,,
Austria,1974,31,,,29550,,,,,
Austria,1975,30,,,30586,,,,,
Austria,1976,29,,,33057,,,,,
Austria,1977,26,,,35288,,,,,
Austria,1978,33,,,40501,,,,,
Austria,1979,34,,,40519,,,,,
Austria,1980,36,,,36699,,,,,
Austria,1981,55,,,23807,,,,,
Austria,1982,48,,,24451,,,,,
Austria,1983,46,,,40418,,,,,
Austria,1984,49,,,43789,,,,,
Austria,1985,52,,,30764,,,,,
Austria,1986,52,,,36167,,,,,
Austria,1987,26,,,39391,,,,,
Austria,1988,26,,,7577,,,,,
Austria,1989,49,,,15307,,,,,
Austria,1990,44,,,22705,,,,,
Austria,1991,19,,,19750,,,,,
Austria,1992,,,,19547,,,,,
Austria,1993,,,,4146,,,,,
Austria,1994,,,,12324,,,,,
Austria,1995,,,,12019,,,,,
Austria,1996,,,,33122,,,,,
Austria,1997,,,,12582,,,,,
Austria,1998,,,,10738,,,,,
Austria,1999,,,,2635,,,,,
Austria,2000,,,,669,,,,,
Austria,2001,,,,116,,,,,
Austria,2005,,,,0,,,,,
Austria,2006,,,,0,,,,,
Austria,2007,,,,0,,,,,
Austria,2008,,,,250,,,,,
Austria,2009,,,,750,,,,,
Austria,2010,,,,420,,,,,
Austria,2011,,,,27450,,,,,
Austria,2012,,,,18840,,,,,
Austria,2013,,,,17190,,,,,
Austria,2014,,,,23240,,,,,
Austria,2015,,,,21840,,,,,
Bahrain,2010,,,,,,,,,3700
Bahrain,2011,,,,,,,,,3000
Bahrain,2012,,,,,,,,,3000
Bahrain,2013,,,,,,,,,3000
Bahrain,2014,,,,,,,,,3000
Bahrain,2015,,,,,,,,,3000
Belgium,1970,1092,,,,,,,,
Belgium,1971,948,,,,,,,,
Belgium,1972,432,,,,,,,,
Belgium,1973,1128,,,,,,,,
Belgium,1974,1044,,,,,,,,
Belgium,1975,972,,,,,,,,
Belgium,1976,1175,,,,,,,,
Belgium,1977,1434,,,,,,,,
Belgium,1978,1164,,,,,,,,
Belgium,1979,1440,,,,,,,,
Belgium,1980,1527,,,,,,,20,
Belgium,1981,1176,,,,,,,41,
Belgium,1982,1001,,,,,,,44,
Belgium,1983,1264,,,,,,,43,
Belgium,1984,1472,,,,,,,50,
Belgium,1985,1252,,,,,,,44,
Belgium,1986,1380,,,,,,,50,
Belgium,1987,1308,,,,,,,54,
Belgium,1988,1836,,,,,,,,
Belgium,1989,1761,,,,,,,,
Belgium,1990,1956,,,,,,,,
Belgium,1991,1807,,,,,,,,
Belgium,1992,1560,,,,,,,,
Belgium,1993,1572,,,,,,,,
Belgium,1994,1556,,,,,,,,
Belgium,1995,1710,,,,,,,,
Belgium,1996,1579,,,,,,,,
Belgium,1997,1420,,,,,,,,
Belgium,1998,1318,,,,,,,,
Belgium,1999,1235,,,,,,,,
Belgium,2000,1148,,,,,,,,
Belgium,2001,1236,,,,,,,,
Belgium,2002,117,,,,,,,,
Bhutan,1992,,,,,,,,,0
Bhutan,1993,,,,,,,,,0
Bhutan,1994,,,,,,,,,2000
Bhutan,1995,,,,,,,,,12000
Bhutan,1996,,,,,,,,,13000
Bhutan,1997,,,,,,,,,15000
Bhutan,1998,,,,,,,,,18000
Bhutan,1999,,,,,,,,,18000
Bhutan,2000,,,,,,,,,15000
Bhutan,2001,,,,,,,,,16000
Bhutan,2002,,,,,,,,,21000
Bhutan,2003,,,,,,,,,21000
Bhutan,2004,,,,,,,,,21147
Bhutan,2005,,,,,,,,,20000
Bhutan,2006,,,,,,,,,20000
Bhutan,2007,,,,,,,,,40300
Bhutan,2008,,,,,,,,,30800
Bhutan,2009,,,,,,,,,90800
Bhutan,2010,,,,,,,,,97500
Bhutan,2011,,,,,,,,,79600
Bhutan,2012,,,,,,,,,82000
Bhutan,2013,,,,,,,,,83000
Bhutan,2014,,,,,,,,,79500
Bhutan,2015,,,,,,,,,106500
Bolivia,1970,60,,,,,,,,
Bolivia,1971,86,,,,,,,,
Bolivia,1972,51,,,,,,,,
Bolivia,1973,56,,,,,,,,
Bolivia,1974,110,,,,,,,,
Bosnia and Herzegovina,1992,,,,,,,,,5000
Bosnia and Herzegovina,1993,,,,,,,,,1000
Bosnia and Herzegovina,1994,,,,,,,,,1000
Bosnia and Herzegovina,1995,,,,,,,,,1000
Bosnia and Herzegovina,1996,,,,,,,,,1000
Bosnia and Herzegovina,2007,,,,393762,,,,,
Bosnia and Herzegovina,2008,,,,272084,,,,,
Bosnia and Herzegovina,2009,,,,133819,,,,,
Bosnia and Herzegovina,2010,,,,45079,,,,,
Botswana,1970,,,463595,,,,,,
Botswana,1971,,,871765,,,,,,
Botswana,1972,,0,2402936,,,,,,
Botswana,1973,,0,2416460,,,,,,
Botswana,1974,,33,2718000,,,,,,
Botswana,1975,,81,2413839,,,,,,
Botswana,1976,,198,2361000,,,,,,
Botswana,1977,,165,2691000,,,,,,
Botswana,1978,,261,2799000,,,,,,
Botswana,1979,,294,4369000,,,,,,
Botswana,1980,,226,5146000,,,,,,
Botswana,1981,,254,4960000,,,,,,
Botswana,1982,,254,7562000,,,,,,
Botswana,1983,,223,10897000,,,,,,
Botswana,1984,,259,12904000,,,,,,
Botswana,1985,,222,12608000,,,,,,
Botswana,1986,,162,13138000,,,,,,
Botswana,1987,,182,13225344,,,,,,
Botswana,1988,,298,15229000,,,,,,
Botswana,1989,,215,15252000,,,,,,
Botswana,1990,,205,17351000,,,,,,
Botswana,1991,,208,16506000,,,,,,
Botswana,1992,,208,15946000,,,,,,
Botswana,1993,,205,14730000,,,,,,
Botswana,1994,,225,15550000,,,,,,
Botswana,1995,,271,16802438,,,,,,
Botswana,1996,,406,17707000,,,,,,
Botswana,1997,,334,20111000,,,,,,
Botswana,1998,,335,19639000,,,,,,
Botswana,1999,,332,21263000,,,,,,
Botswana,2000,,308,24635000,,,,,,
Botswana,2001,,325,26190000,,,,200,,
Botswana,2002,,269,28368000,,,,300,,
Botswana,2003,,294,30412155,,,,500,,
Botswana,2004,,223,31125000,,,,500,,
Botswana,2005,,326,31889771,,,,300,,
Botswana,2006,,303,34293401,,,,300,,
Botswana,2007,,242,33639000,,,,529,,
Botswana,2008,,337,32595000,,,,591,,
Botswana,2009,,342,17734000,,,,746,,
Botswana,2010,,272,22019000,,,,498,,
Botswana,2011,,149,22903000,,,,373,,
Botswana,2012,,195,20478000,,,,435,,
Botswana,2013,,248,22597000,,,,218,,
Botswana,2014,,196,24658000,,,,124,,
Botswana,2015,,316,20824000,,,,31,,
Brazil,1970,,,73000,11200,,,,,
Brazil,1971,,,92000,23709,,,,,
Brazil,1972,,,99087,27347,0,,,,23745
Brazil,1973,,,112751,25784,0,,,,40221
Brazil,1974,,,254032,5544,5400,,,,52178
Brazil,1975,,,261641,5260,5113,,,,54276
Brazil,1976,19,,261000,6018,2898,,,,45252
Brazil,1977,10,,320000,9187,2208,,,,60290
Brazil,1978,10,,500000,10357,3635,,,,72842
Brazil,1979,21,,500000,95997,1746,,,,66992
Brazil,1980,40,,666832,27294,2818,,,,109140
Brazil,1981,28,,1089313,33817,2602,,,5,120662
Brazil,1982,73,,529760,21544,2774,,,243,121348
Brazil,1983,189,70,311589,27636,2122,,,194,151030
Brazil,1984,224,70,800927,32680,814,,,117,151101
Brazil,1985,224,600,450000,43664,1574,,,72,181784
Brazil,1986,233,500,625000,47660,2059,,,26,217715
Brazil,1987,214,500,522437,41919,3503,,,104,231159
Brazil,1988,161,500,544588,52789,1471,,,15,267538
Brazil,1989,190,700,500141,45899,1588,,,30,286994
Brazil,1990,135,600,1542241,41189,475,,,5,229408
Brazil,1991,140,900,1546800,36446,1961,,,0,190864
Brazil,1992,135,1000,1285402,35173,3692,,,0,243838
Brazil,1993,135,1200,1000000,34800,5491,,,50,238864
Brazil,1994,162,1300,300000,41003,7397,,,50,198505
Brazil,1995,144,1100,676269,33590,7171,,,125,243824
Brazil,1996,132,1000,200000,40466,6571,,,,236838
Brazil,1997,130,1500,100000,41444,6909,,,,212183
Brazil,1998,130,2500,100349,61369,9295,,,,166278
Brazil,1999,130,2900,900000,53503,11071,,,0,200833
Brazil,2000,135,4100,1000000,71208,10873,,,50,189935
Brazil,2001,140,4400,700000,60666,9084,,,58,159345
Brazil,2002,151,4300,500000,60922,12046,,,270,145910
Brazil,2003,189,4200,400000,70739,9755,,,310,156824
Brazil,2004,187,4300,300000,76332,9064,,,300,177245
Brazil,2005,200,1400,207836,75515,8924,,,110,199856
Brazil,2006,200,1100,181350,76194,8585,,,190,196814
Brazil,2007,200,1311,182031,77163,7991,,,299,196403
Brazil,2008,200,2631,80226,80500,14460,,,330,183000
Brazil,2009,200,2075,21153,59425,15929,,,345,175000
Brazil,2010,200,3139,25394,92364,15733,,,148,247300
Brazil,2011,200,3623,45536,105188,7820,,,265,210900
Brazil,2012,200,2900,46292,88110,7084,,,231,203881
Brazil,2013,200,3500,49166,91908,7982,,,192,158000
Brazil,2014,200,3838,56923,87026,8519,,,231,230000
Brazil,2015,200,3800,31826,75100,8500,,,40,200000
Bulgaria,1970,200,,,,,,,,
Bulgaria,1971,200,,,,,,,,
Bulgaria,1972,200,,,,,,,,
Bulgaria,1973,200,,,,,,,,
Bulgaria,1974,200,,,,,,,,
Bulgaria,1975,220,,,,,,,,
Bulgaria,1976,220,,,,,,,,25000
Bulgaria,1977,200,,,,,,,,19000
Bulgaria,1978,210,,,,,,,,17000
Bulgaria,1979,210,,,,,,,,16000
Bulgaria,1980,200,,,,,,,,16000
Bulgaria,1981,200,,,,,,,,20000
Bulgaria,1982,180,,,,,,,,20000
Bulgaria,1983,180,,,,,,,,17000
Bulgaria,1984,175,,,,,,,,15000
Bulgaria,1985,175,,,,,,,,10000
Bulgaria,1986,310,,,,,,,,15000
Bulgaria,1987,290,,,,,,,,10000
Bulgaria,1988,351,,,,,,,,15000
Bulgaria,1989,390,,,,,,,,14000
Bulgaria,1990,309,,,,,,,,14000
Bulgaria,1991,232,,,,,,,,252000
Bulgaria,1992,194,,,,,,,,18000
Bulgaria,1993,266,,,,,,,,18000
Bulgaria,1994,286,,,,,,,,8000
Bulgaria,1995,305,,,,,,,,7550
Bulgaria,1996,251,,,,,,,,8300
Bulgaria,1997,183,,,,,,,,8000
Bulgaria,1998,195,,,,,,,,8000
Bulgaria,1999,317,,,,,,,,8000
Bulgaria,2000,331,,,,,,,,8000
Bulgaria,2001,333,,,,,,,,8000
Bulgaria,2002,345,,,,,,,,8000
Bulgaria,2003,307,,,,,,,,8000
Bulgaria,2004,356,,,,,,,,10000
Bulgaria,2005,319,,,,,,,,10000
Bulgaria,2006,320,,,,,,,,10000
Bulgaria,2007,318,,,,,,,,10000
Bulgaria,2008,376,,,,,,,,6000
Bulgaria,2009,413,,,,,,,,3000
Bulgaria,2010,389,,,,,,,,
Bulgaria,2011,428,,,,,,,,
Bulgaria,2012,360,,,,,,,,
Bulgaria,2013,411,,,,,,,,
Bulgaria,2014,382,,,,,,,,
Bulgaria,2015,380,,,,,,,,
Cameroon,2001,,,4800,,,,,,
Cameroon,2002,,,5000,,,,,,
Cameroon,2003,,,5500,,,,,,
Cameroon,2004,,,12000,,,,,,
Cameroon,2005,,,12000,,,,,,
Cameroon,2006,,,12000,,,,,,
Cameroon,2007,,,12000,,,,,,
Cameroon,2008,,,12000,,,,,,
Cameroon,2009,,,8000,,,,,,
Cameroon,2010,,,6000,,,,,,
Cameroon,2011,,,6000,,,,,,
Cameroon,2012,,,5000,,,,,,
Cameroon,2013,,,5000,,,,,,
Cameroon,2014,,,6000,,,,,,
Cameroon,2015,,,5000,,,,,,
Canada,1970,1954,2069,,,,841142,15005,3157,
Canada,1971,1843,1961,,,,637751,14779,3160,
Canada,1972,1021,1520,,,,504581,12630,3755,
Canada,1973,1399,1517,,,,430912,11018,3661,
Canada,1974,1153,1564,,,,482622,11963,3689,95103
Canada,1975,1143,1354,,,,413676,12417,4679,57580
Canada,1976,1388,1356,,,,,12965,5438,85983
Canada,1977,1369,1485,,,,,14475,5787,114000
Canada,1978,1265,1233,,,,,10768,6800,130000
Canada,1979,1455,1640,,,,,6157,6530,95000
Canada,1980,1303,2118,,,,,12776,6739,139000
Canada,1981,1293,2080,,,,,11902,7507,116000
Canada,1982,1162,1274,,,0,,7105,7643,105000
Canada,1983,1296,1410,,,0,,,6823,85000
Canada,1984,1757,2123,,,700,,,10272,80000
Canada,1985,1696,2067,,,4500,,,10866,77100
Canada,1986,1552,2297,,,8200,,5242,11722,144053
Canada,1987,1571,5490,,2000,11300,,4354,12437,100000
Canada,1988,1694,6234,,6000,11300,,5781,12461,111622
Canada,1989,1620,6167,,7000,8700,,4467,11427,120000
Canada,1990,1470,5470,,14500,9200,,5044,8770,110000
Canada,1991,1829,5274,,10323,11300,,4683,8161,90000
Canada,1992,1963,5102,,21714,18500,,4800,9298,80000
Canada,1993,1888,5108,,22808,18900,,5000,9154,80000
Canada,1994,2173,4265,0,23000,20000,,5700,9644,80000
Canada,1995,2349,5339,0,25000,21000,,6300,10462,80000
Canada,1996,2433,5714,0,25000,22000,,5400,11689,80000
Canada,1997,2260,5709,0,25000,22500,,4600,12020,80000
Canada,1998,2090,5861,300006,21928,22500,,5500,10936,70000
Canada,1999,1911,5323,2492807,20590,22500,,5400,8214,70000
Canada,2000,1941,5298,2533750,22610,22500,,6000,10683,56000
Canada,2001,1493,5326,3685173,20984,22500,,8100,12487,56000
Canada,2002,1706,5148,4975021,15039,22500,,9500,11607,56000
Canada,2003,1759,4327,10755654,12500,22500,,7200,10456,56000
Canada,2004,1880,5060,12618080,15000,22500,,9100,11599,35000
Canada,2005,1727,5767,12314000,17000,22500,,7900,11627,35000
Canada,2006,2090,7115,13233813,15000,22500,,8500,9862,35000
Canada,2007,1388,8692,17007850,15000,23000,,8100,9475,35000
Canada,2008,1409,8953,14802699,20000,22000,,8500,9001,35000
Canada,2009,1299,3919,10946098,7000,10000,,4000,10176,25820
Canada,2010,1357,4636,11773000,20000,0,,3500,9518,36786
Canada,2011,1240,6836,10795000,20000,0,,8300,9145,31039
Canada,2012,1286,6676,10529215,20000,0,,8200,8998,31979
Canada,2013,1313,7168,10561600,20000,0,,9700,9331,38817
Canada,2014,1187,6907,12082000,30000,108,,12000,9101,35500
Canada,2015,1159,7489,11600000,30000,0,,12800,13324,35000
Central African Republic,1970,,,482447,,,,,,
Central African Republic,1971,,,468138,,,,,,
Central African Republic,1972,,,524102,,,,,,
Central African Republic,1973,,,380100,,,,,,
Central African Republic,1974,,,337800,,,,,,
Central African Republic,1975,,,338894,,,,,,
Central African Republic,1976,,,286007,,,,,,
Central African Republic,1977,,,296908,,,,,,
Central African Republic,1978,,,284246,,,,,,
Central African Republic,1979,,,314067,,,,,,
Central African Republic,1980,,,342000,,,,,,
Central African Republic,1981,,,311903,,,,,,
Central African Republic,1982,,,276573,,,,,,
Central African Republic,1983,,,295357,,,,,,
Central African Republic,1984,,,337150,,,,,,
Central African Republic,1985,,,353481,,,,,,
Central African Republic,1986,,,356707,,,,,,
Central African Republic,1987,,,413087,,,,,,
Central African Republic,1988,,,359752,,,,,,
Central African Republic,1989,,,447676,,,,,,
Central African Republic,1990,,,418667,,,,,,
Central African Republic,1991,,,429734,,,,,,
Central African Republic,1992,,,414277,,,,,,
Central African Republic,1993,,,494922,,,,,,
Central African Republic,1994,,,531926,,,,,,
Central African Republic,1995,,,477698,,,,,,
Central African Republic,1996,,,487360,,,,,,
Central African Republic,1997,,,486787,,,,,,
Central African Republic,1998,,,419967,,,,,,
Central African Republic,1999,,,430126,,,,,,
Central African Republic,2000,,,461004,,,,,,
Central African Republic,2001,,,550000,,,,,,
Central African Republic,2002,,,414767,,,,,,
Central African Republic,2003,,,331543,,,,,,
Central African Republic,2004,,,354703,,,,,,
Central African Republic,2005,,,382756,,,,,,
Central African Republic,2006,,,419528,,,,,,
Central African Republic,2007,,,467711,,,,,,
Central African Republic,2008,,,372754,,,,,,
Central African Republic,2009,,,310469,,,,,,
Central African Republic,2010,,,301558,,,,,,
Central African Republic,2011,,,323576,,,,,,
Central African Republic,2012,,,365917,,,,,,
Chile,1970,,,,,,13359,,,
Chile,1971,,,,,,17307,,,
Chile,1972,,,,,,22046,,,
Chile,1973,,,,,,27496,,,
Chile,1974,,,,,,31750,,,2846
Chile,1975,,,,,,3344,,,3519
Chile,1976,,,,,,448,,,4480
Chile,1977,,,,,,684,,,3168
Chile,1978,,,,,,,,,2173
Chile,1979,,,,,,,,,5063
Chile,1980,,,,,0,,,,5385
Chile,1981,,,,,0,,,,2477
Chile,1982,,,,,0,,,,1413
Chile,1983,,,,,0,,,,4885
Chile,1984,,,,,2110,,,,6365
Chile,1985,,,,,4508,,,,4501
Chile,1986,,,,,4458,,,,3732
Chile,1987,,,,,6139,,,,4655
Chile,1988,,,,,7332,,,,5686
Chile,1989,,,,,7508,,,,6370
Chile,1990,,,,,9082,,,,4662
Chile,1991,,,,,8575,,,,5516
Chile,1992,,,,,10823,59000,,,3830
Chile,1993,,,,,10369,127000,,,7550
Chile,1994,,,,,10439,70000,,,5504
Chile,1995,,,,,12943,9000,,,4279
Chile,1996,,,,,14180,5000,,,4650
Chile,1997,,,,,24246,4000,,,1294
Chile,1998,,,,,28377,5000,,,1159
Chile,1999,,,,,30231,25000,,,1000
Chile,2000,,,,,35869,25000,,,1000
Chile,2001,,,,,31320,37400,,,1100
Chile,2002,,,,,35242,50000,,,1100
Chile,2003,,,,,41667,50000,,,
Chile,2004,,,,,43971,50000,,,
Chile,2005,,,,,43595,50000,,,
Chile,2006,,,,,50035,50000,,,
Chile,2007,,,,,59637,50000,,,
Chile,2008,,,,,56881,50000,,,
Chile,2009,,,,,30538,88000,,,
Chile,2010,,,,,52851,176000,,,
Chile,2011,,,,,69597,89200,,,
Chile,2012,,,,,71594,48600,,,
Chile,2013,,,,,60646,19300,,,
Chile,2014,,,,,62253,18000,,,
Chile,2015,,,,,56375,14000,,,
China,1970,80,,,30000,,680000,,,
China,1971,90,,,30000,,680000,,,
China,1972,100,,,30000,,896000,,,
China,1973,100,,,30000,,896000,,,
China,1974,110,,,40000,9000,900000,,,
China,1975,110,,,50000,9000,900000,,,100000
China,1976,200,,,50000,9000,900000,,,100000
China,1977,200,,,60000,10000,700000,,,110000
China,1978,220,,,80000,10000,700000,,,150000
China,1979,250,,,180000,10000,700000,,,160000
China,1980,250,,900000,160000,14000,700000,,,195000
China,1981,270,,950000,180000,14000,700000,,,195000
China,1982,300,,1000000,185000,14000,700000,,,195000
China,1983,380,270,1000000,185000,15000,700000,,,195000
China,1984,450,270,1000000,185000,15000,800000,,,195000
China,1985,540,270,1000000,185000,15000,800000,,,375000
China,1986,650,270,1000000,185000,15000,850000,,,466200
China,1987,750,270,1000000,185000,15000,900000,,,591200
China,1988,840,270,1000000,200000,15000,900000,,344,787600
China,1989,1165,255,1000000,494400,15000,1208000,,800,900000
China,1990,1129,325,1000000,678900,15000,930000,,800,900000
