Entity,Year,Urban population living in slums,Urban population not living in slums
Guinea,2007,1550188,1841908
Guinea,2014,1875003,2455258
Guinea-Bissau,2005,468939,95368
Guinea-Bissau,2014,689550,148299
Guyana,2005,71621,140904
Guyana,2007,70729,140402
Guyana,2009,69867,140575
Guyana,2014,71911,145343
Haiti,1990,1890541,133593
Haiti,1995,2380276,168199
Haiti,2000,2842643,200872
Haiti,2005,2862659,1221020
Haiti,2007,3174836,1354174
Haiti,2009,3489554,1488412
Haiti,2014,4517867,1554535
Heavily indebted poor countries (HIPC),1990,67085892,22820678
Heavily indebted poor countries (HIPC),1995,80257416,31699008
Heavily indebted poor countries (HIPC),2000,92026136,43457920
Heavily indebted poor countries (HIPC),2005,107775365,58047349
Heavily indebted poor countries (HIPC),2007,113826328,66146827
Heavily indebted poor countries (HIPC),2009,121803960,73804175
Heavily indebted poor countries (HIPC),2014,149451647,91237944
Honduras,2005,1248475,2328818
Honduras,2014,1311487,3457558
IBRD only,1990,582230339,749765386
IBRD only,1995,606931894,921474225
IBRD only,2000,615672174,1118075239
IBRD only,2005,599662749,1365252036
IBRD only,2007,593593614,1467572149
IBRD only,2009,599849717,1560189739
IBRD only,2014,566307344,1851131816
IDA & IBRD total,1990,727616364,819346420
IDA & IBRD total,1995,778639469,1010726738
IDA & IBRD total,2000,809228431,1236597469
IDA & IBRD total,2005,830329055,1511826443
IDA & IBRD total,2007,838244731,1630147424
IDA & IBRD total,2009,859123740,1740722577
IDA & IBRD total,2014,876655673,2071659736
IDA blend,1990,51532614,34839860
IDA blend,1995,59285210,43510832
IDA blend,2000,67746541,53657100
IDA blend,2005,79262238,65780400
IDA blend,2007,84237695,71689512
IDA blend,2009,89596968,78274325
IDA blend,2014,95489657,106905614
IDA only,2005,147726731,84471344
IDA only,2007,159193816,92105369
IDA only,2009,172849386,99086182
IDA only,2014,195506799,132974179
IDA total,1990,150395548,64571511
IDA total,1995,176383230,84576858
IDA total,2000,200575642,111502845
IDA total,2005,226766540,150474173
IDA total,2007,241935248,165291144
IDA total,2009,259178150,180628711
IDA total,2014,291691020,239185229
India,1990,122038857,100254143
India,1995,123177827,132377830
India,2000,120909252,170438344
India,2005,116400117,218082977
India,2007,113247346,239548125
India,2009,109194189,262214616
India,2014,100504920,318265579
Indonesia,1990,28189244,27301393
Indonesia,1995,30269223,40785291
Indonesia,2000,30564817,58286394
Indonesia,2005,27390142,76754885
Indonesia,2007,25469068,85266011
Indonesia,2009,27041932,90531684
Indonesia,2014,29479518,105747627
Iran,1990,16437877,15234333
Iran,2005,14415397,33160170
Iraq,1990,2057904,10119041
Iraq,1995,2348987,11550342
Iraq,2000,2727891,13413474
Iraq,2005,9806340,8766274
Iraq,2007,10324165,9229178
Iraq,2009,10888063,9733268
Iraq,2014,11460428,12820139
Jamaica,2005,876941,572548
Jordan,2005,732890,3905654
Jordan,2007,895635,4164450
Jordan,2009,1099231,4509091
Jordan,2014,948292,6402810
Kenya,1990,2151779,1767673
Kenya,1995,2736867,2257416
Kenya,2000,3428359,2827771
Kenya,2005,4281779,3531687
Kenya,2007,4679296,3859565
Kenya,2009,5102520,4225671
Kenya,2014,6494169,5102561
Laos,2005,1249608,326190
Laos,2014,775424,1694079
Late-demographic dividend,1990,303165734,413326462
Late-demographic dividend,1995,318030756,503014359
Late-demographic dividend,2000,330454016,601206318
Late-demographic dividend,2005,328952805,735172861
Late-demographic dividend,2007,331575756,787731677
Late-demographic dividend,2009,328478455,847426269
Late-demographic dividend,2014,315690483,1002757818
Latin America & Caribbean,1990,111147720,202298431
Latin America & Caribbean,1995,116478436,237967649
Latin America & Caribbean,2000,119357749,275531296
Latin America & Caribbean,2005,109697214,321443361
Latin America & Caribbean,2007,110427631,335306944
Latin America & Caribbean,2014,101692168,394964709
Latin America & Caribbean (excluding high income),1990,104844293,190803511
Latin America & Caribbean (excluding high income),1995,110152652,225043952
Latin America & Caribbean (excluding high income),2000,113111451,261112033
Latin America & Caribbean (excluding high income),2005,106545181,302855577
Latin America & Caribbean (excluding high income),2007,104945025,318659336
Latin America & Caribbean (excluding high income),2014,96923706,376444359
Latin America & Caribbean (IDA & IBRD),1990,107025207,194795103
Latin America & Caribbean (IDA & IBRD),1995,112474823,229788191
Latin America & Caribbean (IDA & IBRD),2000,115521309,266675068
Latin America & Caribbean (IDA & IBRD),2005,106405339,311797251
Latin America & Caribbean (IDA & IBRD),2007,107217388,325559231
Latin America & Caribbean (IDA & IBRD),2014,99041770,384670759
Least developed countries: UN classification,2005,139772500,60486871
Least developed countries: UN classification,2007,149149412,68231792
Least developed countries: UN classification,2009,155189419,80837402
Least developed countries: UN classification,2014,181720870,108246427
Lebanon,2005,1832999,1618977
Lesotho,2005,152248,281506
Lesotho,2007,205010,256724
Lesotho,2009,263044,226796
Lesotho,2014,292016,282818
Liberia,2009,1235019,573208
Liberia,2014,1422395,742590
Libya,1990,1182570,2177003
Low & middle income,1990,722003300,806024968
Low & middle income,1995,770486213,1000143259
Low & middle income,2000,801977046,1225516487
Low & middle income,2005,828259001,1495841681
Low & middle income,2007,832141617,1618278604
Low & middle income,2009,853196709,1728713463
Low & middle income,2014,871478191,2059424622
Low income,1990,55092575,17889932
Low income,1995,67232553,22475879
Low income,2000,77044337,31029694
Low income,2005,91704864,39659129
Low income,2007,95516416,46692115
Low income,2009,102011524,52272018
Low income,2014,123568416,65873652
Lower middle income,1990,325837744,250800357
Lower middle income,1995,342480841,328484023
Lower middle income,2000,349750731,421672084
Lower middle income,2005,351066151,535996725
Lower middle income,2007,350153894,587636377
Lower middle income,2009,350538866,640293548
Lower middle income,2014,363276954,769685481
Madagascar,1990,2542001,191333
Madagascar,1995,3079837,396277
Madagascar,2000,3596213,679902
Madagascar,2005,4258536,1025008
Madagascar,2007,4553962,1284451
Madagascar,2009,4905545,1532178
Madagascar,2014,6277080,1853853
Malawi,1990,724411,366570
Malawi,1995,872657,441585
Malawi,2000,1103607,558452
Malawi,2005,1303431,659567
Malawi,2007,1427571,681101
Malawi,2009,1564045,705977
Malawi,2014,1833199,915225
Mali,1990,1859744,114507
Mali,1995,2078414,372546
Mali,2000,2344938,765060
Mali,2005,2704063,1399220
Mali,2007,3029189,1567456
Mali,2009,3388263,1753259
Mali,2014,3738189,2901578
Mauritania,2014,1924053,484023
Mexico,1990,14082162,46879578
Mexico,1995,14834862,54164498
Mexico,2000,15125388,60881586
Mexico,2005,11919310,70853678
Mexico,2007,12388014,73639858
Mexico,2014,10888993,87210047
Middle East & North Africa,1990,55393681,84979976
Middle East & North Africa,2005,57111893,153617293
Middle East & North Africa (excluding high income),1990,46156289,71578347
Middle East & North Africa (excluding high income),2005,49689641,125510955
Middle East & North Africa (IDA & IBRD),1990,45631175,70764009
Middle East & North Africa (IDA & IBRD),2005,49001613,123773068
Middle income,1990,669647295,787990687
Middle income,1995,711449292,972044625
Middle income,2000,734568788,1187321037
Middle income,2005,740009797,1455242562
Middle income,2007,739200776,1571541613
Middle income,2009,753433244,1676740700
Middle income,2014,744366209,1999592458
Mongolia,1990,853293,392390
Mongolia,1995,870702,434699
Mongolia,2000,888953,480774
Mongolia,2005,914170,664707
Mongolia,2007,968833,704453
Mongolia,2014,889209,1193248
Morocco,1990,4502684,7536579
Morocco,1995,4926497,9069232
Morocco,2000,3723641,11663304
Morocco,2005,2204081,14620964
Morocco,2007,2296989,15237280
Morocco,2009,2396019,15894205
Morocco,2014,2683869,17803683
Mozambique,1990,2503805,808107
Mozambique,1995,3332056,1000917
Mozambique,2000,4111237,1146099
Mozambique,2005,4989986,1286726
Mozambique,2007,5389826,1347456
Mozambique,2009,5822141,1410332
Mozambique,2014,6978072,1711930
Myanmar,2005,6395865,7630155
Myanmar,2014,7142644,10278438
Namibia,1990,134589,256658
Namibia,1995,168288,325224
Namibia,2000,208433,406413
Namibia,2005,252363,492071
Namibia,2007,269743,533063
Namibia,2009,290666,576994
Namibia,2014,359563,723459
Nepal,1990,1172011,488061
Nepal,1995,1568855,762281
Nepal,2000,2040731,1147911
Nepal,2005,2363030,1529935
Nepal,2007,2463742,1683971
Nepal,2009,2560895,1846841
Nepal,2014,2805686,2361323
Nicaragua,1990,1932705,236436
Nicaragua,1995,1839487,629623
Nicaragua,2000,1650910,1100607
Nicaragua,2005,1369013,1639807
Nicaragua,2007,1418013,1698498
Niger,1990,1029464,201952
Niger,1995,1242229,252631
Niger,2000,1517851,319741
Niger,2005,1869421,407584
Niger,2007,2044435,451823
Niger,2009,2243681,502563
Niger,2014,2479076,1057409
Nigeria,1990,21857450,6418682
Nigeria,1995,25567043,9218049
Nigeria,2000,29668698,12958742
Nigeria,2005,35722301,18566911
Nigeria,2007,38369750,21396215
Nigeria,2009,41229514,24527287
Nigeria,2014,41582713,41251376
North Korea,1990,8115809,3732088
Oman,1990,724714,473160
Pakistan,1990,16791145,16132668
Pakistan,1995,19473736,19630152
Pakistan,2000,22366641,23560754
Pakistan,2005,25390093,28062734
Pakistan,2007,26707850,30117363
Pakistan,2009,28180706,32292912
Pakistan,2014,32336751,38733032
Panama,2005,487709,1632765
Panama,2014,667712,1920318
Paraguay,2005,584974,2738742
Peru,1990,9985754,5053032
Peru,1995,9602382,7453359
Peru,2000,8745081,10183665
Peru,2005,7478907,13238288
Peru,2007,7742271,13704463
Peru,2014,8292642,15954848
Philippines,1990,16344417,13755799
Philippines,1995,17131623,16592044
Philippines,2000,17653205,19747652
Philippines,2005,17570189,22636194
Philippines,2007,17398523,23732737
Philippines,2009,17170897,24811736
Philippines,2014,17056326,27477163
Pre-demographic dividend,1990,75664241,40729531
Pre-demographic dividend,1995,90382754,53150199
Pre-demographic dividend,2000,107290622,66571276
Pre-demographic dividend,2005,140818879,73904860
Pre-demographic dividend,2007,148049462,85828889
Pre-demographic dividend,2009,157624269,97172658
Pre-demographic dividend,2014,185847383,130212737
Rwanda,1990,376215,15676
Rwanda,1995,512584,70561
Rwanda,2000,954739,243177
Rwanda,2005,1241391,492395
Rwanda,2007,1360526,631459
Rwanda,2009,1493143,800472
Rwanda,2014,1680408,1478253
Saint Lucia,2005,4497,33296
Sao Tome and Principe,2014,106854,16534
Saudi Arabia,2005,3484541,15874019
Senegal,1990,2075029,864106
Senegal,1995,2072312,1393093
Senegal,2000,1949996,2037725
Senegal,2005,2003235,2623173
Senegal,2007,2026091,2903572
Senegal,2009,2044177,3224321
Senegal,2014,2486926,3825068
Sierra Leone,2005,2022011,62536
Sierra Leone,2014,2118154,683637
Somalia,2005,2689889,969824
Somalia,2007,2922674,1048351
Somalia,2009,3173067,1138166
Somalia,2014,3886565,1394094
South Africa,1990,8845557,10300671
South Africa,1995,8961009,13610803
South Africa,2000,8480034,17062236
South Africa,2005,8134472,20208635
South Africa,2007,6815229,22816202
South Africa,2009,7130300,23871003
South Africa,2014,8007512,26807756
South Asia,1990,160517627,122954919
South Asia,1995,169578081,160057568
South Asia,2000,173088540,206356993
South Asia,2005,175206258,264687842
South Asia,2007,173744435,291809958
South Asia,2009,171248566,320592207
South Asia,2014,171792629,389528324
South Asia (IDA & IBRD),1990,160517627,122954919
South Asia (IDA & IBRD),1995,169578081,160057568
South Asia (IDA & IBRD),2000,173088540,206356993
South Asia (IDA & IBRD),2005,175206258,264687842
South Asia (IDA & IBRD),2007,173744435,291809958
South Asia (IDA & IBRD),2009,171248566,320592207
South Asia (IDA & IBRD),2014,171792629,389528324
South Sudan,2014,2049399,94324
Sri Lanka,1990,786334,2384367
Sub-Saharan Africa,1990,92981896,45472719
Sub-Saharan Africa,1995,109300497,61532458
Sub-Saharan Africa,2000,126521366,79685012
Sub-Saharan Africa,2005,153188252,98212833
Sub-Saharan Africa,2007,159188041,113562562
Sub-Saharan Africa,2009,169061613,127334774
Sub-Saharan Africa,2014,201445485,163060702
Sub-Saharan Africa (excluding high income),1990,92958903,45461474
Sub-Saharan Africa (excluding high income),1995,109276638,61519026
Sub-Saharan Africa (excluding high income),2000,126496416,79669299
Sub-Saharan Africa (excluding high income),2005,153162475,98196307
Sub-Saharan Africa (excluding high income),2007,159162471,113544321
Sub-Saharan Africa (excluding high income),2009,169035699,127315257
Sub-Saharan Africa (excluding high income),2014,201418443,163038813
Sub-Saharan Africa (IDA & IBRD),1990,92981896,45472719
Sub-Saharan Africa (IDA & IBRD),1995,109300497,61532458
Sub-Saharan Africa (IDA & IBRD),2000,126521366,79685012
Sub-Saharan Africa (IDA & IBRD),2005,153188252,98212833
Sub-Saharan Africa (IDA & IBRD),2007,159188041,113562562
Sub-Saharan Africa (IDA & IBRD),2009,169061613,127334774
Sub-Saharan Africa (IDA & IBRD),2014,201445485,163060702
Sudan,2014,11622774,1065844
Suriname,2005,12976,319731
Suriname,2014,26433,335665
Swaziland,2014,90268,185782
Syria,2005,1033136,8806255
Syria,2007,2408754,8296819
Syria,2014,2121983,8872746
Tanzania,1990,3721231,1086561
Tanzania,1995,4536119,1618723
Tanzania,2000,5344970,2279809
Tanzania,2005,6501589,3289961
Tanzania,2007,7118081,3832813
Tanzania,2009,7782190,4473228
Tanzania,2014,8183536,7957561
Thailand,2005,6382385,18165251
Thailand,2007,7034979,19512110
Thailand,2009,7718756,20869229
Thailand,2014,8410816,25232447
Togo,2005,1241788,757870
Togo,2014,1460828,1392352
Trinidad and Tobago,2005,31720,96702
Tunisia,2014,594149,6832708
Turkey,1990,7470044,24453219
Turkey,1995,7521033,28812461
Turkey,2000,7328669,33613618
Turkey,2005,7134180,38892786
Turkey,2007,6768666,41236059
Turkey,2009,6504942,43533076
Turkey,2014,6681659,49466736
Uganda,1990,1448650,482883
Uganda,1995,1797585,599195
Uganda,2000,2178319,726106
Uganda,2005,2480947,1238614
Uganda,2007,2637634,1522672
Uganda,2009,2794652,1855352
Uganda,2014,3281641,2840823
Upper middle income,1990,336992779,544007102
Upper middle income,1995,359139184,653389869
Upper middle income,2000,376066985,774400025
Upper middle income,2005,384495379,923694104
Upper middle income,2007,381739979,991212139
Upper middle income,2009,392743297,1046598233
Upper middle income,2014,371440043,1239556189
Venezuela,2005,7590674,16130183
Vietnam,1990,8089868,5281815
Vietnam,1995,8721609,7252033
Vietnam,2000,9233817,9687939
Vietnam,2005,9283162,13194227
Vietnam,2007,9194161,14811480
Vietnam,2009,9010961,16588359
Vietnam,2014,8131734,21764346
Yemen,2005,4002349,1953527
Yemen,2007,5018586,1516031
Yemen,2014,5429950,3500888
Zambia,1990,1803081,1360219
Zambia,1995,1935816,1454405
Zambia,2000,2096423,1568653
Zambia,2005,2523970,1888565
Zambia,2007,2730994,2035138
Zambia,2009,2953055,2200618
Zambia,2014,3413945,2908176
Zimbabwe,1990,118075,2833806
Zimbabwe,1995,132910,3459262
Zimbabwe,2000,136158,3989829
Zimbabwe,2005,790078,3623767
Zimbabwe,2007,944561,3553350
Zimbabwe,2009,1110938,3498764
Zimbabwe,2014,1257246,3751702
