Entity,Year,Share of people who are happy (Eurobarometer 2017)
Luxembourg,2016,95.341072
Macedonia,2007,63.230919
Macedonia,2008,63.772667
Macedonia,2009,66.765877
Macedonia,2010,61.217247
Macedonia,2011,62.342026
Macedonia,2012,62.913906
Macedonia,2013,62.629158
Macedonia,2014,67.833809
Macedonia,2015,61.959244
Macedonia,2016,61.624027
Malta,2004,88.176353
Malta,2005,82.415169
Malta,2006,79.199997
Malta,2007,82.900002
Malta,2008,84.800003
Malta,2009,82
Malta,2010,76.900009
Malta,2011,76.62635
Malta,2012,77.875946
Malta,2013,89.200005
Malta,2014,90.188789
Malta,2015,92.246521
Malta,2016,93.45623
Montenegro,2011,53.351582
Montenegro,2012,43.328068
Montenegro,2013,46.676846
Montenegro,2014,63.126575
Montenegro,2015,59.172894
Montenegro,2016,55.766453
Netherlands,1973,93
Netherlands,1975,86.175941
Netherlands,1976,90.539238
Netherlands,1977,91.697433
Netherlands,1978,93.160416
Netherlands,1979,94.721405
Netherlands,1980,94.291534
Netherlands,1981,92.307693
Netherlands,1982,93.158234
Netherlands,1983,92.357574
Netherlands,1984,92.478302
Netherlands,1985,89.819702
Netherlands,1986,92.082008
Netherlands,1987,91.263374
Netherlands,1988,90.861679
Netherlands,1989,93.958595
Netherlands,1990,93.099991
Netherlands,1991,94.300003
Netherlands,1992,93.200005
Netherlands,1993,93.858673
Netherlands,1994,92.54924
Netherlands,1996,91.542747
Netherlands,1997,92.549019
Netherlands,1998,94.638535
Netherlands,1999,94.787094
Netherlands,2000,92.638863
Netherlands,2001,94.062515
Netherlands,2002,92.770348
Netherlands,2003,90.091309
Netherlands,2004,92.170464
Netherlands,2005,95.211098
Netherlands,2006,95.02179
Netherlands,2007,95.880249
Netherlands,2008,96.926033
Netherlands,2009,95.996002
Netherlands,2010,95.026955
Netherlands,2011,96.341576
Netherlands,2012,94.230652
Netherlands,2013,94.699905
Netherlands,2014,95.410957
Netherlands,2015,95.722267
Netherlands,2016,96.504379
Norway,1990,90.300003
Norway,1991,92.80719
Norway,1992,92.044998
Norway,1993,91.199997
Norway,1994,94
Poland,2004,71.271271
Poland,2005,69.165787
Poland,2006,72.887039
Poland,2007,76.888039
Poland,2008,75.400002
Poland,2009,76.700005
Poland,2010,78.36039
Poland,2011,75.849998
Poland,2012,76.261238
Poland,2013,75.701378
Poland,2014,81.436646
Poland,2015,82.170174
Poland,2016,82.434341
Portugal,1985,54.745258
Portugal,1986,64.966431
Portugal,1987,69.949997
Portugal,1988,59.866379
Portugal,1989,70.485283
Portugal,1990,72.435783
Portugal,1991,72.523148
Portugal,1992,74.386887
Portugal,1993,66.466782
Portugal,1994,70
Portugal,1996,81.612587
Portugal,1997,62.800003
Portugal,1998,59.41748
Portugal,1999,66.893562
Portugal,2000,65.516365
Portugal,2001,66.662422
Portugal,2002,62.142742
Portugal,2003,55.835182
Portugal,2004,59.299999
Portugal,2005,58.215652
Portugal,2006,58.981537
Portugal,2007,58.67926
Portugal,2008,49.349998
Portugal,2009,51.236397
Portugal,2010,44.789112
Portugal,2011,45.694946
Portugal,2012,32.82724
Portugal,2013,36.063812
Portugal,2014,51.514019
Portugal,2015,54.789066
Portugal,2016,64.595665
Romania,2004,48.517788
Romania,2005,45.535225
Romania,2006,45.533138
Romania,2007,50.997498
Romania,2008,49.809322
Romania,2009,47.035572
Romania,2010,40.652836
Romania,2011,45.2402
Romania,2012,45.989613
Romania,2013,47.991924
Romania,2014,55.485703
Romania,2015,58.240734
Romania,2016,58.876873
Serbia,2012,33.503147
Serbia,2013,37.708557
Serbia,2014,49.384834
Serbia,2015,45.182903
Serbia,2016,45.862701
Slovakia,2004,58.978451
Slovakia,2005,63.369717
Slovakia,2006,68.898994
Slovakia,2007,70.104576
Slovakia,2008,70.067383
Slovakia,2009,68.450706
Slovakia,2010,74.538857
Slovakia,2011,71.186638
Slovakia,2012,67.799995
Slovakia,2013,66.082382
Slovakia,2014,70.03994
Slovakia,2015,71.500603
Slovakia,2016,75.375786
Slovenia,2004,90.100006
Slovenia,2005,88.295952
Slovenia,2006,88.324425
Slovenia,2007,88.677147
Slovenia,2008,86.763123
Slovenia,2009,86.251236
Slovenia,2010,85.252655
Slovenia,2011,82.702461
Slovenia,2012,85.412468
Slovenia,2013,81.797287
Slovenia,2014,82.816978
Slovenia,2015,83.706833
Slovenia,2016,88.493958
Spain,1985,69.990028
Spain,1986,72.710266
Spain,1987,72.775459
Spain,1988,67.5354
Spain,1989,78.009048
Spain,1990,76.600006
Spain,1991,79.140137
Spain,1992,75.653122
Spain,1993,71.497063
Spain,1994,71.050003
Spain,1996,80.24691
Spain,1997,77.422577
Spain,1998,72.416901
Spain,1999,83.469048
Spain,2000,81.940857
Spain,2001,84.595192
Spain,2002,82.366989
Spain,2003,83.174561
Spain,2004,86.510262
Spain,2005,84.638306
Spain,2006,88.989334
Spain,2007,87.099998
Spain,2008,83.95237
Spain,2009,75.249496
Spain,2010,76.779137
Spain,2011,74.559738
Spain,2012,71.769379
Spain,2013,69.528877
Spain,2014,72.686211
Spain,2015,77.145706
Spain,2016,78.128365
Sweden,1996,93.930641
Sweden,1997,96
Sweden,1998,92.729126
Sweden,1999,94.504333
Sweden,2000,94.38855
Sweden,2001,95.337234
Sweden,2002,92.892464
Sweden,2003,93.150818
Sweden,2004,96.300003
Sweden,2005,96.351517
Sweden,2006,95.960289
Sweden,2007,96.063248
Sweden,2008,95.922157
Sweden,2009,95.786514
Sweden,2010,95.945374
Sweden,2011,96.137657
Sweden,2012,96.929237
Sweden,2013,96.598755
Sweden,2014,96.313942
Sweden,2015,96.396996
Sweden,2016,96.184067
Turkey,2004,71.011673
Turkey,2005,72.73632
Turkey,2006,70.781799
Turkey,2007,73.247704
Turkey,2008,61.216354
Turkey,2009,61.194031
Turkey,2010,65.932632
Turkey,2011,63.818478
Turkey,2012,67.299995
Turkey,2013,67.266182
Turkey,2014,67.830338
Turkey,2015,65.161423
Turkey,2016,65.634041
Turkish Cypriot Community,2004,65.668663
Turkish Cypriot Community,2005,72.799995
Turkish Cypriot Community,2006,74.699997
Turkish Cypriot Community,2007,69.099998
Turkish Cypriot Community,2008,57.5
Turkish Cypriot Community,2009,53.200001
Turkish Cypriot Community,2010,60.556709
Turkish Cypriot Community,2011,56.940723
Turkish Cypriot Community,2012,47.399998
Turkish Cypriot Community,2013,44.5
Turkish Cypriot Community,2014,48.646893
Turkish Cypriot Community,2015,51.445709
Turkish Cypriot Community,2016,49.442284
United Kingdom,1973,85
United Kingdom,1975,83.968948
United Kingdom,1976,83.877808
United Kingdom,1977,83.399895
United Kingdom,1978,85.638557
United Kingdom,1979,85.497345
United Kingdom,1980,86.451164
United Kingdom,1981,83.4916
United Kingdom,1982,86.164818
United Kingdom,1983,84.180321
United Kingdom,1984,85.563194
United Kingdom,1985,85.82634
United Kingdom,1986,85.419022
United Kingdom,1987,85.845444
United Kingdom,1988,79.578865
United Kingdom,1989,88.249222
United Kingdom,1990,85.609459
United Kingdom,1991,86.071266
United Kingdom,1992,84.493866
United Kingdom,1993,86.176086
United Kingdom,1994,87.048027
United Kingdom,1996,86.400589
United Kingdom,1997,85.933899
United Kingdom,1998,85.392799
United Kingdom,1999,83.133133
United Kingdom,2000,86.877144
United Kingdom,2001,87.912628
United Kingdom,2002,86.800369
United Kingdom,2003,87.450302
United Kingdom,2004,90.458015
United Kingdom,2005,88.497421
United Kingdom,2006,88.208237
United Kingdom,2007,89.456947
United Kingdom,2008,86.83548
United Kingdom,2009,88.905319
United Kingdom,2010,90.091301
United Kingdom,2011,89.510559
United Kingdom,2012,91.145721
United Kingdom,2013,89.813713
United Kingdom,2014,93.073212
United Kingdom,2015,92.553238
United Kingdom,2016,93.058792
