Entity,Year,Freedom of the Press Status 4 (Freedom House (2016))
Algeria,2003,1500
Algeria,2004,1500
Algeria,2005,1500
Algeria,2006,1500
Algeria,2007,1500
Algeria,2008,1500
Algeria,2009,1500
Algeria,2010,1500
Algeria,2011,1500
Algeria,2012,1500
Algeria,2013,2500
Algeria,2014,1500
Andorra,2002,3500
Andorra,2003,3500
Andorra,2004,3500
Andorra,2005,3500
Andorra,2006,3500
Andorra,2007,3500
Andorra,2008,3500
Andorra,2009,3500
Andorra,2010,3500
Andorra,2011,3500
Andorra,2012,3500
Andorra,2013,3500
Andorra,2014,3500
Angola,1979,1500
Angola,1980,1500
Angola,1981,1500
Angola,1983,1500
Angola,1984,1500
Angola,1985,1500
Angola,1986,1500
Angola,1987,1500
Angola,1988,1500
Angola,1989,1500
Angola,1990,1500
Angola,1991,1500
Angola,1992,1500
Angola,1993,1500
Angola,1994,1500
Angola,1995,1500
Angola,1996,1500
Angola,1997,1500
Angola,1998,1500
Angola,1999,1500
Angola,2000,1500
Angola,2001,1500
Angola,2002,1500
Angola,2003,1500
Angola,2004,1500
Angola,2005,1500
Angola,2006,1500
Angola,2007,1500
Angola,2008,1500
Angola,2009,1500
Angola,2010,1500
Angola,2011,1500
Angola,2012,1500
Angola,2013,1500
Angola,2014,1500
Antigua and Barbuda,1981,3500
Antigua and Barbuda,1983,2500
Antigua and Barbuda,1984,2500
Antigua and Barbuda,1985,2500
Antigua and Barbuda,1986,2500
Antigua and Barbuda,1987,2500
Antigua and Barbuda,1988,3500
Antigua and Barbuda,1989,3500
Antigua and Barbuda,1990,3500
Antigua and Barbuda,1991,3500
Antigua and Barbuda,1992,3500
Antigua and Barbuda,1993,3500
Antigua and Barbuda,1994,2500
Antigua and Barbuda,1995,2500
Antigua and Barbuda,1996,2500
Antigua and Barbuda,1997,2500
Antigua and Barbuda,1998,2500
Antigua and Barbuda,1999,2500
Antigua and Barbuda,2000,2500
Antigua and Barbuda,2001,2500
Antigua and Barbuda,2002,2500
Antigua and Barbuda,2003,2500
Antigua and Barbuda,2004,2500
Antigua and Barbuda,2005,2500
Antigua and Barbuda,2006,2500
Antigua and Barbuda,2007,2500
Antigua and Barbuda,2008,2500
Antigua and Barbuda,2009,2500
Antigua and Barbuda,2010,2500
Antigua and Barbuda,2011,2500
Antigua and Barbuda,2012,2500
Antigua and Barbuda,2013,2500
Antigua and Barbuda,2014,2500
Argentina,1979,2500
Argentina,1980,2500
Argentina,1981,2500
Argentina,1983,3500
Argentina,1984,3500
Argentina,1985,3500
Argentina,1986,3500
Argentina,1987,3500
Argentina,1988,3500
Argentina,1989,3500
Argentina,1990,3500
Argentina,1991,3500
Argentina,1992,3500
Argentina,1993,3500
Argentina,1994,3500
Argentina,1995,2500
Argentina,1996,2500
Argentina,1997,2500
Argentina,1998,2500
Argentina,1999,2500
Argentina,2000,2500
Argentina,2001,2500
Argentina,2002,2500
Argentina,2003,2500
Argentina,2004,2500
Argentina,2005,2500
Argentina,2006,2500
Argentina,2007,2500
Argentina,2008,2500
Argentina,2009,2500
Argentina,2010,2500
Argentina,2011,2500
Argentina,2012,2500
Argentina,2013,2500
Argentina,2014,2500
Armenia,1992,2500
Armenia,1993,2500
Armenia,1994,2500
Armenia,1995,2500
Armenia,1996,2500
Armenia,1997,2500
Armenia,1998,2500
Armenia,1999,2500
Armenia,2000,2500
Armenia,2001,2500
Armenia,2002,1500
Armenia,2003,1500
Armenia,2004,1500
Armenia,2005,1500
Armenia,2006,1500
Armenia,2007,1500
Armenia,2008,1500
Armenia,2009,1500
Armenia,2010,1500
Armenia,2011,1500
Armenia,2012,1500
Armenia,2013,1500
Armenia,2014,1500
Australia,1979,3500
Australia,1980,3500
Australia,1981,3500
Australia,1983,3500
Australia,1984,3500
Australia,1985,3500
Australia,1986,3500
Australia,1987,3500
Australia,1988,3500
Australia,1989,3500
Australia,1990,3500
Australia,1991,3500
Australia,1992,3500
Australia,1993,3500
Australia,1994,3500
Australia,1995,3500
Australia,1996,3500
Australia,1997,3500
Australia,1998,3500
Australia,1999,3500
Australia,2000,3500
Australia,2001,3500
Australia,2002,3500
Australia,2003,3500
Australia,2004,3500
Australia,2005,3500
Australia,2006,3500
Australia,2007,3500
Australia,2008,3500
Australia,2009,3500
Australia,2010,3500
Australia,2011,3500
Australia,2012,3500
Australia,2013,3500
Australia,2014,3500
Austria,1979,3500
Austria,1980,3500
Austria,1981,3500
Austria,1983,3500
Austria,1984,3500
Austria,1985,3500
Austria,1986,3500
Austria,1987,3500
Austria,1988,3500
Austria,1989,3500
Austria,1990,3500
Austria,1991,3500
Austria,1992,3500
Austria,1993,3500
Austria,1994,3500
Austria,1995,3500
Austria,1996,3500
Austria,1997,3500
Austria,1998,3500
Austria,1999,3500
Austria,2000,3500
Austria,2001,3500
Austria,2002,3500
Austria,2003,3500
Austria,2004,3500
Austria,2005,3500
Austria,2006,3500
Austria,2007,3500
Austria,2008,3500
Austria,2009,3500
Austria,2010,3500
Austria,2011,3500
Austria,2012,3500
Austria,2013,3500
Austria,2014,3500
Azerbaijan,1992,1500
Azerbaijan,1993,1500
Azerbaijan,1994,1500
Azerbaijan,1995,1500
Azerbaijan,1996,1500
Azerbaijan,1997,1500
Azerbaijan,1998,1500
Azerbaijan,1999,1500
Azerbaijan,2000,1500
Azerbaijan,2001,1500
Azerbaijan,2002,1500
Azerbaijan,2003,1500
Azerbaijan,2004,1500
Azerbaijan,2005,1500
Azerbaijan,2006,1500
Azerbaijan,2007,1500
Azerbaijan,2008,1500
Azerbaijan,2009,1500
Azerbaijan,2010,1500
Azerbaijan,2011,1500
Azerbaijan,2012,1500
Azerbaijan,2013,1500
Azerbaijan,2014,1500
Bahamas,1979,3500
Bahamas,1980,3500
Bahamas,1981,3500
Bahamas,1983,3500
Bahamas,1984,3500
Bahamas,1985,3500
Bahamas,1986,3500
Bahamas,1987,3500
Bahamas,1988,3500
Bahamas,1989,3500
Bahamas,1990,3500
Bahamas,1991,3500
Bahamas,1992,3500
Bahamas,1993,3500
Bahamas,1994,3500
Bahamas,1995,3500
Bahamas,1996,3500
Bahamas,1997,3500
Bahamas,1998,3500
Bahamas,1999,3500
Bahamas,2000,3500
Bahamas,2001,3500
Bahamas,2002,3500
Bahamas,2003,3500
Bahamas,2004,3500
Bahamas,2005,3500
Bahamas,2006,3500
Bahamas,2007,3500
Bahamas,2008,3500
Bahamas,2009,3500
Bahamas,2010,3500
Bahamas,2011,3500
Bahamas,2012,3500
Bahamas,2013,3500
Bahamas,2014,3500
Bahrain,1979,1500
Bahrain,1980,1500
Bahrain,1981,1500
Bahrain,1983,1500
Bahrain,1984,1500
Bahrain,1985,1500
Bahrain,1986,1500
Bahrain,1987,1500
Bahrain,1988,1500
Bahrain,1989,1500
Bahrain,1990,1500
Bahrain,1991,1500
Bahrain,1992,1500
Bahrain,1993,2500
Bahrain,1994,2500
Bahrain,1995,2500
Bahrain,1996,1500
Bahrain,1997,1500
Bahrain,1998,1500
Bahrain,1999,1500
Bahrain,2000,1500
Bahrain,2001,1500
Bahrain,2002,1500
Bahrain,2003,1500
Bahrain,2004,1500
Bahrain,2005,1500
Bahrain,2006,1500
Bahrain,2007,1500
Bahrain,2008,1500
Bahrain,2009,1500
Bahrain,2010,1500
Bahrain,2011,1500
Bahrain,2012,1500
Bahrain,2013,1500
Bahrain,2014,1500
Bangladesh,1979,3500
Bangladesh,1980,3500
Bangladesh,1981,3500
Bangladesh,1983,2500
Bangladesh,1984,2500
Bangladesh,1985,2500
Bangladesh,1986,2500
Bangladesh,1987,2500
Bangladesh,1988,1500
Bangladesh,1989,1500
Bangladesh,1990,1500
Bangladesh,1991,3500
Bangladesh,1992,2500
Bangladesh,1993,2500
Bangladesh,1994,2500
Bangladesh,1995,2500
Bangladesh,1996,2500
Bangladesh,1997,2500
Bangladesh,1998,2500
Bangladesh,1999,2500
Bangladesh,2000,2500
Bangladesh,2001,1500
Bangladesh,2002,1500
Bangladesh,2003,1500
Bangladesh,2004,1500
Bangladesh,2005,1500
Bangladesh,2006,1500
Bangladesh,2007,1500
Bangladesh,2008,1500
Bangladesh,2009,2500
Bangladesh,2010,2500
Bangladesh,2011,2500
Bangladesh,2012,2500
Bangladesh,2013,2500
Bangladesh,2014,2500
Barbados,1979,3500
Barbados,1980,3500
Barbados,1981,3500
Barbados,1983,3500
Barbados,1984,3500
Barbados,1985,3500
Barbados,1986,3500
Barbados,1987,3500
Barbados,1988,3500
Barbados,1989,3500
Barbados,1990,3500
Barbados,1991,3500
Barbados,1992,3500
Barbados,1993,3500
Barbados,1994,3500
Barbados,1995,3500
Barbados,1996,3500
Barbados,1997,3500
Barbados,1998,3500
Barbados,1999,3500
Barbados,2000,3500
Barbados,2001,3500
Barbados,2002,3500
Barbados,2003,3500
Barbados,2004,3500
Barbados,2005,3500
Barbados,2006,3500
Barbados,2007,3500
Barbados,2008,3500
Barbados,2009,3500
Barbados,2010,3500
Barbados,2011,3500
Barbados,2012,3500
Barbados,2013,3500
Barbados,2014,3500
Belarus,1992,2500
Belarus,1993,1500
Belarus,1994,1500
Belarus,1995,1500
Belarus,1996,1500
Belarus,1997,1500
Belarus,1998,1500
Belarus,1999,1500
Belarus,2000,1500
Belarus,2001,1500
Belarus,2002,1500
Belarus,2003,1500
Belarus,2004,1500
Belarus,2005,1500
Belarus,2006,1500
Belarus,2007,1500
Belarus,2008,1500
Belarus,2009,1500
Belarus,2010,1500
Belarus,2011,1500
Belarus,2012,1500
Belarus,2013,1500
Belarus,2014,1500
Belgium,1979,3500
Belgium,1980,3500
Belgium,1981,3500
Belgium,1983,3500
Belgium,1984,3500
Belgium,1985,3500
Belgium,1986,3500
Belgium,1987,3500
Belgium,1988,3500
Belgium,1989,3500
Belgium,1990,3500
Belgium,1991,3500
Belgium,1992,3500
Belgium,1993,3500
Belgium,1994,3500
Belgium,1995,3500
Belgium,1996,3500
Belgium,1997,3500
Belgium,1998,3500
Belgium,1999,3500
Belgium,2000,3500
Belgium,2001,3500
Belgium,2002,3500
Belgium,2003,3500
Belgium,2004,3500
Belgium,2005,3500
Belgium,2006,3500
Belgium,2007,3500
Belgium,2008,3500
Belgium,2009,3500
Belgium,2010,3500
Belgium,2011,3500
Belgium,2012,3500
Belgium,2013,3500
Belgium,2014,3500
Belize,1981,3500
Belize,1983,3500
Belize,1984,3500
Belize,1985,3500
Belize,1986,3500
Belize,1987,3500
Belize,1988,3500
Belize,1989,3500
Belize,1990,3500
Belize,1991,3500
Belize,1992,3500
Belize,1993,3500
Belize,1994,3500
Belize,1995,3500
Belize,1996,3500
Belize,1997,3500
Belize,1998,3500
Belize,1999,3500
Belize,2000,3500
Belize,2001,3500
Belize,2002,3500
Belize,2003,3500
Belize,2004,3500
Belize,2005,3500
Belize,2006,3500
Belize,2007,3500
Belize,2008,3500
Belize,2009,3500
Belize,2010,3500
Belize,2011,3500
Belize,2012,3500
Belize,2013,3500
Belize,2014,3500
Benin,1979,1500
Benin,1980,1500
Benin,1981,1500
Benin,1983,1500
Benin,1984,1500
Benin,1985,1500
Benin,1986,1500
Benin,1987,1500
Benin,1988,1500
Benin,1989,1500
Benin,1990,2500
Benin,1991,3500
Benin,1992,2500
Benin,1993,2500
Benin,1994,2500
Benin,1995,2500
Benin,1996,3500
Benin,1997,3500
Benin,1998,3500
Benin,1999,3500
Benin,2000,3500
Benin,2001,3500
Benin,2002,3500
Benin,2003,3500
Benin,2004,3500
Benin,2005,3500
Benin,2006,3500
Benin,2007,2500
Benin,2008,2500
Benin,2009,2500
Benin,2010,2500
Benin,2011,2500
Benin,2012,2500
Benin,2013,2500
Benin,2014,2500
Bhutan,1979,1500
Bhutan,1980,1500
Bhutan,1981,1500
Bhutan,1983,1500
Bhutan,1984,1500
Bhutan,1985,1500
Bhutan,1986,1500
Bhutan,1987,1500
Bhutan,1988,1500
Bhutan,1989,1500
Bhutan,1990,1500
Bhutan,1991,1500
Bhutan,1992,1500
Bhutan,1993,1500
Bhutan,1994,1500
Bhutan,1995,1500
Bhutan,1996,1500
Bhutan,1997,1500
Bhutan,1998,1500
Bhutan,1999,1500
Bhutan,2000,1500
Bhutan,2001,1500
Bhutan,2002,1500
Bhutan,2003,1500
Bhutan,2004,1500
Bhutan,2005,1500
Bhutan,2006,1500
Bhutan,2007,1500
Bhutan,2008,1500
Bhutan,2009,2500
Bhutan,2010,2500
Bhutan,2011,2500
Bhutan,2012,2500
Bhutan,2013,2500
Bhutan,2014,2500
Bolivia,1979,3500
Bolivia,1980,2500
Bolivia,1981,2500
Bolivia,1983,3500
Bolivia,1984,3500
Bolivia,1985,3500
Bolivia,1986,3500
Bolivia,1987,3500
Bolivia,1988,2500
Bolivia,1989,2500
Bolivia,1990,3500
Bolivia,1991,3500
Bolivia,1992,3500
Bolivia,1993,3500
Bolivia,1994,3500
Bolivia,1995,3500
Bolivia,1996,3500
Bolivia,1997,3500
Bolivia,1998,3500
Bolivia,1999,3500
Bolivia,2000,3500
Bolivia,2001,3500
Bolivia,2002,3500
Bolivia,2003,2500
Bolivia,2004,2500
Bolivia,2005,2500
Bolivia,2006,2500
Bolivia,2007,2500
Bolivia,2008,2500
Bolivia,2009,2500
Bolivia,2010,2500
Bolivia,2011,2500
Bolivia,2012,2500
Bolivia,2013,2500
Bolivia,2014,2500
Bosnia and Herzegovina,1992,1500
Bosnia and Herzegovina,1993,1500
Bosnia and Herzegovina,1994,1500
Bosnia and Herzegovina,1995,2500
Bosnia and Herzegovina,1996,1500
Bosnia and Herzegovina,1997,1500
Bosnia and Herzegovina,1998,2500
Bosnia and Herzegovina,1999,2500
Bosnia and Herzegovina,2000,2500
Bosnia and Herzegovina,2001,2500
Bosnia and Herzegovina,2002,2500
Bosnia and Herzegovina,2003,2500
Bosnia and Herzegovina,2004,2500
Bosnia and Herzegovina,2005,2500
Bosnia and Herzegovina,2006,2500
Bosnia and Herzegovina,2007,2500
Bosnia and Herzegovina,2008,2500
Bosnia and Herzegovina,2009,2500
Bosnia and Herzegovina,2010,2500
Bosnia and Herzegovina,2011,2500
Bosnia and Herzegovina,2012,2500
Bosnia and Herzegovina,2013,2500
Bosnia and Herzegovina,2014,2500
Botswana,1979,3500
Botswana,1980,3500
Botswana,1981,3500
Botswana,1983,3500
Botswana,1984,3500
Botswana,1985,3500
Botswana,1986,3500
Botswana,1987,3500
Botswana,1988,2500
Botswana,1989,3500
Botswana,1990,3500
Botswana,1991,3500
Botswana,1992,3500
Botswana,1993,3500
Botswana,1994,3500
Botswana,1995,3500
Botswana,1996,3500
Botswana,1997,3500
Botswana,1998,3500
Botswana,1999,3500
Botswana,2000,3500
Botswana,2001,3500
Botswana,2002,3500
Botswana,2003,3500
Botswana,2004,3500
Botswana,2005,2500
Botswana,2006,2500
Botswana,2007,2500
Botswana,2008,2500
Botswana,2009,2500
Botswana,2010,2500
Botswana,2011,2500
Botswana,2012,2500
Botswana,2013,2500
Botswana,2014,2500
Brazil,1979,3500
Brazil,1980,3500
Brazil,1981,2500
Brazil,1983,3500
Brazil,1984,3500
Brazil,1985,3500
Brazil,1986,3500
Brazil,1987,3500
Brazil,1988,3500
Brazil,1989,3500
Brazil,1990,3500
Brazil,1991,3500
Brazil,1992,3500
Brazil,1993,3500
Brazil,1994,3500
Brazil,1995,3500
Brazil,1996,3500
Brazil,1997,2500
Brazil,1998,2500
Brazil,1999,2500
Brazil,2000,2500
Brazil,2001,2500
Brazil,2002,2500
Brazil,2003,2500
Brazil,2004,2500
Brazil,2005,2500
Brazil,2006,2500
Brazil,2007,2500
Brazil,2008,2500
Brazil,2009,2500
Brazil,2010,2500
Brazil,2011,2500
Brazil,2012,2500
Brazil,2013,2500
Brazil,2014,2500
Brunei,1984,1500
Brunei,1985,1500
Brunei,1986,1500
Brunei,1987,1500
Brunei,1988,1500
Brunei,1989,1500
Brunei,1990,1500
Brunei,1991,1500
Brunei,1992,1500
Brunei,1993,1500
Brunei,1994,1500
Brunei,1995,1500
Brunei,1996,1500
Brunei,1997,1500
Brunei,1998,1500
Brunei,1999,1500
Brunei,2000,1500
Brunei,2001,1500
Brunei,2002,1500
Brunei,2003,1500
Brunei,2004,1500
Brunei,2005,1500
Brunei,2006,1500
Brunei,2007,1500
Brunei,2008,1500
Brunei,2009,1500
Brunei,2010,1500
Brunei,2011,1500
Brunei,2012,1500
Brunei,2013,1500
Brunei,2014,1500
Bulgaria,1979,1500
Bulgaria,1980,1500
Bulgaria,1981,1500
Bulgaria,1983,1500
Bulgaria,1984,1500
Bulgaria,1985,1500
Bulgaria,1986,1500
Bulgaria,1987,1500
Bulgaria,1988,1500
Bulgaria,1989,1500
Bulgaria,1990,2500
Bulgaria,1991,2500
Bulgaria,1992,2500
Bulgaria,1993,2500
Bulgaria,1994,2500
Bulgaria,1995,2500
Bulgaria,1996,2500
Bulgaria,1997,2500
Bulgaria,1998,2500
Bulgaria,1999,3500
Bulgaria,2000,3500
Bulgaria,2001,3500
Bulgaria,2002,3500
Bulgaria,2003,2500
Bulgaria,2004,2500
Bulgaria,2005,2500
Bulgaria,2006,2500
Bulgaria,2007,2500
Bulgaria,2008,2500
Bulgaria,2009,2500
Bulgaria,2010,2500
Bulgaria,2011,2500
Bulgaria,2012,2500
Bulgaria,2013,2500
Bulgaria,2014,2500
Burkina Faso,1979,2500
Burkina Faso,1980,2500
Burkina Faso,1981,2500
Burkina Faso,1983,2500
Burkina Faso,1984,1500
Burkina Faso,1985,1500
Burkina Faso,1986,1500
Burkina Faso,1987,1500
Burkina Faso,1988,1500
Burkina Faso,1989,1500
Burkina Faso,1990,1500
Burkina Faso,1991,2500
Burkina Faso,1992,2500
Burkina Faso,1993,2500
Burkina Faso,1994,2500
Burkina Faso,1995,2500
Burkina Faso,1996,2500
Burkina Faso,1997,2500
Burkina Faso,1998,2500
Burkina Faso,1999,2500
Burkina Faso,2000,2500
Burkina Faso,2001,2500
Burkina Faso,2002,2500
Burkina Faso,2003,2500
Burkina Faso,2004,2500
Burkina Faso,2005,2500
Burkina Faso,2006,2500
Burkina Faso,2007,2500
Burkina Faso,2008,2500
Burkina Faso,2009,2500
Burkina Faso,2010,2500
Burkina Faso,2011,2500
Burkina Faso,2012,2500
Burkina Faso,2013,2500
Burkina Faso,2014,2500
Burundi,1979,1500
Burundi,1980,1500
Burundi,1981,1500
Burundi,1983,1500
Burundi,1984,1500
Burundi,1985,1500
Burundi,1986,1500
Burundi,1987,1500
Burundi,1988,1500
Burundi,1989,1500
Burundi,1990,1500
Burundi,1991,1500
Burundi,1992,1500
Burundi,1993,1500
Burundi,1994,1500
Burundi,1995,1500
Burundi,1996,1500
Burundi,1997,1500
Burundi,1998,1500
Burundi,1999,1500
Burundi,2000,1500
Burundi,2001,1500
Burundi,2002,1500
Burundi,2003,1500
Burundi,2004,1500
Burundi,2005,1500
Burundi,2006,1500
Burundi,2007,1500
Burundi,2008,1500
Burundi,2009,1500
Burundi,2010,1500
Burundi,2011,1500
Burundi,2012,1500
Burundi,2013,1500
Burundi,2014,1500
Cambodia,1979,1500
Cambodia,1980,1500
Cambodia,1981,1500
Cambodia,1983,1500
Cambodia,1984,1500
Cambodia,1985,1500
Cambodia,1986,1500
Cambodia,1987,1500
Cambodia,1988,1500
Cambodia,1989,1500
Cambodia,1990,1500
Cambodia,1991,1500
Cambodia,1992,1500
Cambodia,1993,2500
Cambodia,1994,2500
Cambodia,1995,1500
Cambodia,1996,1500
Cambodia,1997,1500
Cambodia,1998,1500
Cambodia,1999,1500
Cambodia,2000,1500
Cambodia,2001,1500
Cambodia,2002,1500
Cambodia,2003,1500
Cambodia,2004,1500
Cambodia,2005,1500
Cambodia,2006,2500
Cambodia,2007,2500
Cambodia,2008,1500
Cambodia,2009,1500
Cambodia,2010,1500
Cambodia,2011,1500
Cambodia,2012,1500
Cambodia,2013,1500
Cambodia,2014,1500
Cameroon,1979,1500
Cameroon,1980,1500
Cameroon,1981,1500
Cameroon,1983,1500
Cameroon,1984,1500
Cameroon,1985,1500
Cameroon,1986,1500
Cameroon,1987,1500
Cameroon,1988,1500
Cameroon,1989,1500
Cameroon,1990,1500
Cameroon,1991,1500
Cameroon,1992,1500
Cameroon,1993,1500
Cameroon,1994,1500
Cameroon,1995,1500
Cameroon,1996,1500
Cameroon,1997,1500
Cameroon,1998,1500
Cameroon,1999,1500
Cameroon,2000,1500
Cameroon,2001,1500
Cameroon,2002,1500
Cameroon,2003,1500
Cameroon,2004,1500
Cameroon,2005,1500
Cameroon,2006,1500
Cameroon,2007,1500
Cameroon,2008,1500
Cameroon,2009,1500
Cameroon,2010,1500
Cameroon,2011,1500
Cameroon,2012,1500
Cameroon,2013,1500
Cameroon,2014,1500
Canada,1979,3500
Canada,1980,3500
Canada,1981,3500
Canada,1983,3500
Canada,1984,3500
Canada,1985,3500
Canada,1986,3500
Canada,1987,3500
Canada,1988,3500
Canada,1989,3500
Canada,1990,3500
Canada,1991,3500
Canada,1992,3500
Canada,1993,3500
Canada,1994,3500
Canada,1995,3500
Canada,1996,3500
Canada,1997,3500
Canada,1998,3500
Canada,1999,3500
Canada,2000,3500
Canada,2001,3500
Canada,2002,3500
Canada,2003,3500
Canada,2004,3500
Canada,2005,3500
Canada,2006,3500
Canada,2007,3500
Canada,2008,3500
Canada,2009,3500
Canada,2010,3500
Canada,2011,3500
Canada,2012,3500
Canada,2013,3500
Canada,2014,3500
Cape Verde,1979,1500
Cape Verde,1980,1500
Cape Verde,1981,1500
Cape Verde,1983,1500
Cape Verde,1984,1500
Cape Verde,1985,1500
Cape Verde,1986,1500
Cape Verde,1987,2500
Cape Verde,1988,1500
Cape Verde,1989,1500
Cape Verde,1990,1500
Cape Verde,1991,2500
Cape Verde,1992,3500
Cape Verde,1993,2500
Cape Verde,1994,2500
Cape Verde,1995,2500
Cape Verde,1996,2500
Cape Verde,1997,2500
Cape Verde,1998,2500
Cape Verde,1999,2500
Cape Verde,2000,2500
Cape Verde,2001,3500
Cape Verde,2002,3500
Cape Verde,2003,2500
Cape Verde,2004,2500
Cape Verde,2005,2500
Cape Verde,2006,3500
Cape Verde,2007,3500
Cape Verde,2008,3500
Cape Verde,2009,3500
Cape Verde,2010,3500
Cape Verde,2011,3500
Cape Verde,2012,3500
Cape Verde,2013,3500
Cape Verde,2014,3500
Central African Republic,1979,1500
Central African Republic,1980,2500
Central African Republic,1981,2500
Central African Republic,1983,2500
Central African Republic,1984,1500
Central African Republic,1985,1500
Central African Republic,1986,1500
Central African Republic,1987,1500
Central African Republic,1988,1500
Central African Republic,1989,1500
Central African Republic,1990,1500
Central African Republic,1991,1500
Central African Republic,1992,1500
Central African Republic,1993,1500
Central African Republic,1994,1500
Central African Republic,1995,1500
Central African Republic,1996,1500
Central African Republic,1997,2500
Central African Republic,1998,2500
Central African Republic,1999,2500
Central African Republic,2000,1500
Central African Republic,2001,1500
Central African Republic,2002,1500
Central African Republic,2003,1500
Central African Republic,2004,1500
Central African Republic,2005,1500
Central African Republic,2006,2500
Central African Republic,2007,1500
Central African Republic,2008,1500
Central African Republic,2009,1500
Central African Republic,2010,1500
Central African Republic,2011,1500
Central African Republic,2012,1500
Central African Republic,2013,1500
Central African Republic,2014,1500
Chad,1979,1500
Chad,1980,1500
Chad,1981,1500
Chad,1983,1500
Chad,1984,1500
Chad,1985,1500
Chad,1986,1500
Chad,1987,1500
Chad,1988,1500
Chad,1989,1500
Chad,1990,1500
Chad,1991,1500
Chad,1992,1500
Chad,1993,1500
Chad,1994,1500
Chad,1995,1500
Chad,1996,1500
Chad,1997,1500
Chad,1998,1500
Chad,1999,1500
Chad,2000,1500
Chad,2001,1500
Chad,2002,1500
Chad,2003,1500
Chad,2004,1500
Chad,2005,1500
Chad,2006,1500
Chad,2007,1500
Chad,2008,1500
Chad,2009,1500
Chad,2010,1500
Chad,2011,1500
Chad,2012,1500
Chad,2013,1500
Chad,2014,1500
Chile,1979,2500
Chile,1980,2500
Chile,1981,2500
Chile,1983,2500
Chile,1984,2500
Chile,1985,2500
Chile,1986,2500
Chile,1987,2500
Chile,1988,1500
Chile,1989,2500
Chile,1990,3500
Chile,1991,3500
Chile,1992,3500
Chile,1993,3500
Chile,1994,3500
Chile,1995,3500
Chile,1996,3500
Chile,1997,3500
Chile,1998,3500
Chile,1999,3500
Chile,2000,3500
Chile,2001,3500
Chile,2002,3500
Chile,2003,3500
Chile,2004,3500
Chile,2005,3500
Chile,2006,3500
Chile,2007,3500
Chile,2008,3500
Chile,2009,3500
Chile,2010,3500
Chile,2011,2500
Chile,2012,2500
Chile,2013,2500
Chile,2014,2500
China,1979,1500
China,1980,1500
China,1981,1500
China,1983,1500
China,1984,1500
China,1985,1500
China,1986,1500
China,1987,1500
China,1988,1500
China,1989,1500
China,1990,1500
China,1991,1500
China,1992,1500
China,1993,1500
China,1994,1500
China,1995,1500
China,1996,1500
China,1997,1500
China,1998,1500
China,1999,1500
China,2000,1500
China,2001,1500
China,2002,1500
China,2003,1500
China,2004,1500
China,2005,1500
China,2006,1500
China,2007,1500
China,2008,1500
China,2009,1500
China,2010,1500
China,2011,1500
China,2012,1500
China,2013,1500
China,2014,1500
Colombia,1979,3500
Colombia,1980,3500
Colombia,1981,3500
Colombia,1983,3500
Colombia,1984,3500
Colombia,1985,3500
Colombia,1986,3500
Colombia,1987,3500
Colombia,1988,3500
Colombia,1989,3500
Colombia,1990,2500
Colombia,1991,2500
Colombia,1992,2500
Colombia,1993,1500
Colombia,1994,2500
Colombia,1995,2500
Colombia,1996,2500
Colombia,1997,2500
Colombia,1998,2500
Colombia,1999,2500
Colombia,2000,2500
Colombia,2001,2500
