Entity,Year,"Poverty headcount (below $3.10 per day, 2011 PPP) (World Bank (WDI) (2016))"
Hungary,2004,0.24
Hungary,2005,0.13
Hungary,2006,0
Hungary,2007,0.42
Hungary,2008,0
Hungary,2009,0
Hungary,2010,0
Hungary,2011,0
Hungary,2012,0
India,1983,83.02
India,1987,82.06
India,1993,79.68
India,2004,73.36
India,2009,67.92
India,2011,58.01
Indonesia,1984,91.23
Indonesia,1987,91.95
Indonesia,1990,85.32
Indonesia,1993,84.91
Indonesia,1996,77.55
Indonesia,1999,77.52
Indonesia,2002,63.39
Indonesia,2005,59.5
Indonesia,2008,54.51
Indonesia,2010,46.3
Indonesia,2012,41.67
Iran,1986,17.6
Iran,1990,17.03
Iran,1994,11.61
Iran,1998,11.52
Iran,2005,11.17
Iran,2009,3.05
Iran,2013,0.66
Jamaica,1988,21.72
Jamaica,1990,18.96
Jamaica,1993,29.32
Jamaica,1996,13.08
Jamaica,1999,9.51
Jamaica,2002,10.57
Jamaica,2004,8.22
Jordan,1986,22.35
Jordan,1992,19.23
Jordan,1997,11.9
Jordan,2002,7.83
Jordan,2006,3.58
Jordan,2008,2.96
Jordan,2010,1.99
Kazakhstan,1988,0.11
Kazakhstan,1993,23.1
Kazakhstan,1996,22.9
Kazakhstan,2001,30.11
Kazakhstan,2002,25.49
Kazakhstan,2003,21.01
Kazakhstan,2004,17.71
Kazakhstan,2005,2.86
Kazakhstan,2006,5.25
Kazakhstan,2007,3.74
Kazakhstan,2008,1.94
Kazakhstan,2009,2.53
Kazakhstan,2010,1.61
Kazakhstan,2011,0.71
Kazakhstan,2012,0.43
Kazakhstan,2013,0.26
Kenya,1992,42.84
Kenya,1994,40.97
Kenya,1997,45.87
Kenya,2005,58.85
Kiribati,2006,34.67
Kosovo,2003,10.78
Kosovo,2005,8.87
Kosovo,2006,6.28
Kosovo,2009,8.78
Kosovo,2010,2.28
Kosovo,2011,1.88
Kosovo,2012,0.73
Kosovo,2013,0.31
Kyrgyzstan,1988,40.74
Kyrgyzstan,1993,63.85
Kyrgyzstan,1998,51.51
Kyrgyzstan,2000,75.68
Kyrgyzstan,2001,71.54
Kyrgyzstan,2002,69.69
Kyrgyzstan,2003,67.6
Kyrgyzstan,2004,44.23
Kyrgyzstan,2005,49.43
Kyrgyzstan,2006,39.68
Kyrgyzstan,2007,34.72
Kyrgyzstan,2008,20.82
Kyrgyzstan,2009,24.8
Kyrgyzstan,2010,21.67
Kyrgyzstan,2011,19.29
Kyrgyzstan,2012,19.98
Laos,1992,73.49
Laos,1997,78.97
Laos,2002,75.37
Laos,2007,69.29
Laos,2012,63.28
Latin America & Caribbean (developing only),1981,38.02
Latin America & Caribbean (developing only),1984,42.22
Latin America & Caribbean (developing only),1987,33.63
Latin America & Caribbean (developing only),1990,30.83
Latin America & Caribbean (developing only),1993,28.07
Latin America & Caribbean (developing only),1996,27.14
Latin America & Caribbean (developing only),1999,26.2
Latin America & Caribbean (developing only),2002,25.81
Latin America & Caribbean (developing only),2005,20.33
Latin America & Caribbean (developing only),2008,15.38
Latin America & Caribbean (developing only),2010,13.8
Latin America & Caribbean (developing only),2011,12.83
Latin America & Caribbean (developing only),2012,11.96
Latvia,1988,0.06
Latvia,1993,2.1
Latvia,1995,5.15
Latvia,1996,6.64
Latvia,1997,16.38
Latvia,1998,16.16
Latvia,2002,3.16
Latvia,2003,2.74
Latvia,2004,1.93
Latvia,2005,0
Latvia,2006,0
Latvia,2007,0.75
Latvia,2008,0.6
Latvia,2009,1.21
Latvia,2010,0
Latvia,2011,0
Latvia,2012,0
Lesotho,1986,87.28
Lesotho,1994,80.88
Lesotho,2002,78.9
Lesotho,2010,77.28
Liberia,2007,89.61
Lithuania,1988,0.25
Lithuania,1993,28.7
Lithuania,1996,4.34
Lithuania,1998,2.96
Lithuania,1999,3.73
Lithuania,2000,4.28
Lithuania,2001,4.43
Lithuania,2002,4.23
Lithuania,2003,1.6
Lithuania,2004,1.93
Lithuania,2005,4.25
Lithuania,2006,0
Lithuania,2007,0
Lithuania,2008,1.09
Lithuania,2009,0
Lithuania,2010,0
Lithuania,2011,0
Lithuania,2012,0
Low & middle income,1981,71.49
Low & middle income,1984,70.43
Low & middle income,1987,67.57
Low & middle income,1990,66.13
Low & middle income,1993,64.36
Low & middle income,1996,60.24
Low & middle income,1999,59
Low & middle income,2002,55
Low & middle income,2005,48.51
Low & middle income,2008,43.89
Low & middle income,2010,40.26
Low & middle income,2011,37.27
Low & middle income,2012,34.94
Low income,1981,87.23
Low income,1984,86.89
Low income,1987,86.71
Low income,1990,87.56
Low income,1993,89.47
Low income,1996,87.57
Low income,1999,87.05
Low income,2002,85.93
Low income,2005,81.93
Low income,2008,79.98
Low income,2010,77.45
Low income,2011,75.88
Low income,2012,73.56
Lower middle income,1981,75.7
Lower middle income,1984,74.76
Lower middle income,1987,74.68
Lower middle income,1990,72.11
Lower middle income,1993,71.66
Lower middle income,1996,69.08
Lower middle income,1999,69.04
Lower middle income,2002,67.01
Lower middle income,2005,62.28
Lower middle income,2008,59.22
Lower middle income,2010,54.78
Lower middle income,2011,51.37
Lower middle income,2012,48.42
Macedonia,1998,7.7
Macedonia,2000,17.99
Macedonia,2002,6.21
Macedonia,2003,6.99
Macedonia,2004,6.51
Macedonia,2005,6.41
Macedonia,2006,8.34
Macedonia,2008,8.71
Madagascar,1993,87.63
Madagascar,1997,86.01
Madagascar,1999,85.19
Madagascar,2001,84.07
Madagascar,2005,89.86
Madagascar,2010,92.91
Malawi,1997,84.15
Malawi,2004,90.07
Malawi,2010,87.64
Malaysia,1984,12.01
Malaysia,1987,11.61
Malaysia,1989,10.78
Malaysia,1992,10.92
Malaysia,1995,10.7
Malaysia,1997,6.62
Malaysia,2004,15.38
Malaysia,2007,2.71
Malaysia,2009,2.71
Maldives,1998,35.6
Maldives,2004,15.03
Maldives,2009,17.9
Mali,1994,93.04
Mali,2001,79.27
Mali,2006,76.13
Mali,2009,77.71
Mauritania,1987,64.18
Mauritania,1993,68.16
Mauritania,1995,47.53
Mauritania,2000,43.88
Mauritania,2004,40.33
Mauritania,2008,32.48
Mauritius,2006,3.04
Mauritius,2012,2.96
Mexico,1984,47.32
Mexico,1989,26.51
Mexico,1992,24.4
Mexico,1994,23.05
Mexico,1996,31.3
Mexico,1998,29.88
Mexico,2000,24.54
Mexico,2002,22.9
Mexico,2004,0
Mexico,2005,18.11
Mexico,2006,11.43
Mexico,2008,12.03
Mexico,2010,11.9
Mexico,2012,10.32
Micronesia (country),2000,66.65
Middle East & North Africa (developing only),1984,29.56
Middle East & North Africa (developing only),1987,30.05
Middle East & North Africa (developing only),1990,24.9
Middle East & North Africa (developing only),1993,26.94
Middle East & North Africa (developing only),1996,25.76
Middle East & North Africa (developing only),1999,20.27
Middle East & North Africa (developing only),2005,18.46
Middle East & North Africa (developing only),2008,16.03
Middle income,1981,75.63
Middle income,1984,74.25
Middle income,1987,70.96
Middle income,1990,68.88
Middle income,1993,66.41
Middle income,1996,61.55
Middle income,1999,60.06
Middle income,2002,55.56
Middle income,2005,48.11
Middle income,2008,43.21
Middle income,2010,39.12
Middle income,2011,35.74
Middle income,2012,33.2
Moldova,1988,0
Moldova,1992,33.86
Moldova,1997,41.99
Moldova,1998,55.69
Moldova,1999,68.35
Moldova,2000,67.14
Moldova,2001,57.49
Moldova,2002,42.37
Moldova,2003,29.8
Moldova,2004,30.3
Moldova,2005,38.67
Moldova,2006,11.74
Moldova,2007,7.27
Moldova,2008,8.31
Moldova,2009,7.43
Moldova,2010,5.19
Moldova,2011,3.54
Moldova,2012,2.88
Moldova,2013,1.95
Mongolia,1995,36.93
Mongolia,1998,60.57
Mongolia,2002,33.63
Mongolia,2007,11.29
Mongolia,2010,8.74
Mongolia,2011,6.21
Mongolia,2012,3.95
Montenegro,2005,1.15
Montenegro,2006,0.94
Montenegro,2007,0.58
Montenegro,2008,0.46
Montenegro,2009,0.59
Montenegro,2010,0.33
Montenegro,2011,1.04
Montenegro,2012,2.14
Montenegro,2013,3.9
Morocco,1984,30.83
Morocco,1990,17.73
Morocco,1998,26.43
Morocco,2000,25.56
Morocco,2007,15.53
Mozambique,1996,94.04
Mozambique,2002,92.04
Mozambique,2008,87.54
Namibia,1993,65.93
Namibia,2003,54.74
Namibia,2009,45.72
Nepal,1984,92.88
Nepal,1995,85.44
Nepal,2003,74.36
Nepal,2010,48.38
Nicaragua,1993,42.21
Nicaragua,1998,37.56
Nicaragua,2001,40.72
Nicaragua,2005,39.35
Nicaragua,2009,25.16
Niger,1992,93.38
Niger,1994,93.61
Niger,2005,90.04
Niger,2007,90.08
Niger,2011,81.75
Nigeria,1985,71.3
Nigeria,1992,76.15
Nigeria,1996,81.04
Nigeria,2003,78.51
Nigeria,2009,76.46
Pakistan,1987,86.67
Pakistan,1990,85.57
Pakistan,1996,60.54
Pakistan,1998,63.82
Pakistan,2001,69.92
Pakistan,2004,58.11
Pakistan,2005,57.06
Pakistan,2007,53.24
Pakistan,2010,44.97
Palestine,2004,4.94
Palestine,2005,5.01
Palestine,2006,3.9
Palestine,2007,7.43
Palestine,2009,2.62
Panama,1989,33.17
Panama,1991,30.85
Panama,1995,24.08
Panama,1997,22.79
Panama,1998,22.92
Panama,1999,20.44
Panama,2000,21.79
Panama,2001,25.05
Panama,2002,21.8
Panama,2003,20.8
Panama,2004,19.74
Panama,2005,18.84
Panama,2006,19.33
Panama,2007,16.42
Panama,2008,11.99
Panama,2009,9.46
Panama,2010,10.7
Panama,2011,9.49
Panama,2012,9.91
Panama,2013,7.98
Papua New Guinea,1996,70.18
Papua New Guinea,2009,64.68
Paraguay,1990,4.22
Paraguay,1995,22.7
Paraguay,1997,19.01
Paraguay,1999,19.33
Paraguay,2001,17.66
Paraguay,2002,26.17
Paraguay,2003,19.4
Paraguay,2004,17.25
Paraguay,2005,16.08
Paraguay,2006,20.37
Paraguay,2007,16.5
Paraguay,2008,14.1
Paraguay,2009,14.46
Paraguay,2010,13.45
Paraguay,2011,12.14
Paraguay,2012,9.66
Paraguay,2013,6.3
Peru,1985,9.23
Peru,1994,31.05
Peru,1997,31.35
Peru,1998,30.12
Peru,1999,30.78
Peru,2000,29.6
Peru,2001,32.75
Peru,2002,29.16
Peru,2003,27.14
Peru,2004,25.51
Peru,2005,27.37
Peru,2006,23.99
Peru,2007,20.84
Peru,2008,17.46
Peru,2009,15.35
Peru,2010,13.01
Peru,2011,11.69
Peru,2012,10.79
Peru,2013,9.7
Philippines,1985,60.77
Philippines,1988,55.59
Philippines,1991,52.99
Philippines,1994,21.6
Philippines,1997,41.69
Philippines,2000,43.08
Philippines,2003,40
Philippines,2006,40.66
Philippines,2009,36.45
Philippines,2012,37.61
Poland,1985,0.39
Poland,1987,0.32
Poland,1989,0.21
Poland,1992,0.37
Poland,1996,18.38
Poland,1998,0.76
Poland,1999,0.87
Poland,2000,1.1
Poland,2001,1.26
Poland,2002,1.43
Poland,2003,0.91
Poland,2004,1.14
Poland,2005,0
Poland,2006,0.71
Poland,2007,0.51
Poland,2008,0.38
Poland,2009,0.28
Poland,2010,0.32
Poland,2011,0.35
Poland,2012,0.26
Romania,1989,0.65
Romania,1992,2.53
Romania,1994,39.75
Romania,1998,0.23
Romania,1999,26.43
Romania,2000,28.85
Romania,2001,22.96
Romania,2002,22.24
Romania,2003,18.86
Romania,2004,14.74
Romania,2005,11.83
Romania,2006,0
Romania,2007,0
Romania,2008,5.03
Romania,2009,3.91
Romania,2010,4.77
Romania,2011,4.46
Romania,2012,4.08
Russia,1988,12.26
Russia,1993,10.11
Russia,1996,10.73
Russia,1997,5.12
Russia,1998,7.25
Russia,1999,12.37
Russia,2000,9.23
Russia,2001,8.06
Russia,2002,4.25
Russia,2003,4.85
Russia,2004,4.1
Russia,2005,3.21
Russia,2006,2.79
Russia,2007,1.24
Russia,2008,0.44
Russia,2009,0.43
Russia,2010,0.85
Russia,2011,0.56
Russia,2012,0.48
Rwanda,1984,89.06
Rwanda,2000,89.65
Rwanda,2005,84.05
Rwanda,2010,80.66
Saint Lucia,1995,61.77
Samoa,2008,8.35
Sao Tome and Principe,2000,61.73
Sao Tome and Principe,2010,69.24
Senegal,1991,83.5
Senegal,1994,81.64
Senegal,2001,75.14
Senegal,2005,65.79
Senegal,2011,66.26
Serbia,2002,1.1
Serbia,2003,1.78
Serbia,2004,2.74
Serbia,2005,3.99
Serbia,2006,1.74
Serbia,2007,1.16
Serbia,2008,0.79
Serbia,2009,1.19
Serbia,2010,1.65
Seychelles,1999,2.37
Seychelles,2006,0.97
Sierra Leone,1989,78.36
Sierra Leone,2003,80.87
Sierra Leone,2011,79.96
Slovakia,1988,0
Slovakia,1992,0
Slovakia,1996,1.95
Slovakia,2004,1.14
Slovakia,2005,0.2
Slovakia,2006,0.04
Slovakia,2007,0.06
Slovakia,2008,0
Slovakia,2009,0
Slovakia,2010,0.51
Slovakia,2011,0
Slovakia,2012,0.42
Slovenia,1987,0.06
Slovenia,1993,0.1
Slovenia,1998,0.06
Slovenia,2002,0.05
Slovenia,2003,0
Slovenia,2004,0
Slovenia,2005,0.18
Slovenia,2006,0
Slovenia,2007,0
Slovenia,2008,0
Slovenia,2009,0
Slovenia,2010,0
Slovenia,2011,0.01
Slovenia,2012,0.05
Solomon Islands,2005,69.26
South Africa,1993,49.18
South Africa,1995,52.68
South Africa,2000,52.49
South Africa,2006,44.56
South Africa,2008,33.29
South Africa,2011,34.68
South Asia,1981,85.44
South Asia,1984,84.08
South Asia,1987,83.6
South Asia,1990,81.76
South Asia,1993,80.4
South Asia,1996,76.8
South Asia,2002,75.14
South Asia,2005,70.26
South Asia,2008,67.88
South Asia,2010,63.62
South Asia,2011,58.79
South Asia,2012,54.5
Sri Lanka,1985,43.07
Sri Lanka,1990,40.45
Sri Lanka,1995,38.95
Sri Lanka,2002,34.11
Sri Lanka,2006,21.75
Sri Lanka,2009,16.78
Sri Lanka,2012,13.99
Sub-Saharan Africa (developing only),1990,76.11
Sub-Saharan Africa (developing only),1993,78.84
Sub-Saharan Africa (developing only),1996,77.49
Sub-Saharan Africa (developing only),1999,77.87
Sub-Saharan Africa (developing only),2002,77.8
Sub-Saharan Africa (developing only),2005,73.52
Sub-Saharan Africa (developing only),2008,70.71
Sub-Saharan Africa (developing only),2010,69.64
Sub-Saharan Africa (developing only),2011,68.29
Sub-Saharan Africa (developing only),2012,66.97
Sudan,2009,38.94
Suriname,1999,40.22
Swaziland,1994,91.44
Swaziland,2000,70.22
Swaziland,2009,63.12
Tajikistan,1999,86.06
Tajikistan,2003,64.78
Tajikistan,2004,46.29
Tajikistan,2007,32.65
Tajikistan,2009,23.43
Tanzania,1991,88.66
Tanzania,2000,95.26
Tanzania,2007,77.89
Tanzania,2011,76.1
