Entity,Year,"Poverty rate (<50% of median) (LIS Key Figures, 2018)"
Greece,1995,15.441
Greece,2000,14.253
Greece,2004,11.867
Greece,2007,11.662
Greece,2010,13.679
Greece,2013,14.168
Guatemala,2006,22.475
Guatemala,2011,22.78
Guatemala,2014,14.606
Hungary,1991,7.843
Hungary,1994,9.919
Hungary,1999,6.773
Hungary,2005,7.411
Hungary,2007,6.83
Hungary,2009,7.865
Hungary,2012,10.427
Iceland,2004,5.271
Iceland,2007,5.963
Iceland,2010,6.068
India,2004,19.119
India,2011,19.656
Ireland,1987,11.12
Ireland,1994,11.884
Ireland,1995,12.897
Ireland,1996,12.318
Ireland,2000,16.153
Ireland,2004,13.861
Ireland,2007,10.746
Ireland,2010,9.403
Israel,1979,11.009
Israel,1986,11.691
Israel,1992,10.2
Israel,1997,13.49
Israel,2001,15.589
Israel,2005,19.371
Israel,2007,18.856
Israel,2010,20.256
Israel,2012,19.317
Italy,1986,10.461
Italy,1987,11.121
Italy,1989,9.65
Italy,1991,10.421
Italy,1993,13.963
Italy,1995,14.108
Italy,1998,14.451
Italy,2000,12.3
Italy,2004,11.938
Italy,2008,11.799
Italy,2010,12.265
Italy,2014,12.9
Japan,2008,10.938
Lithuania,2010,11.814
Lithuania,2013,12.39
Luxembourg,1985,4.779
Luxembourg,1991,4.521
Luxembourg,1994,3.735
Luxembourg,1997,6.206
Luxembourg,2000,5.88
Luxembourg,2004,8.882
Luxembourg,2007,7.245
Luxembourg,2010,6.78
Luxembourg,2013,8.736
Mexico,1984,18.572
Mexico,1989,18.763
Mexico,1992,18.855
Mexico,1994,20.782
Mexico,1996,19.288
Mexico,1998,21.938
Mexico,2000,21.341
Mexico,2002,19.729
Mexico,2004,18.351
Mexico,2008,20.798
Mexico,2010,20.089
Mexico,2012,19.664
Netherlands,1983,6.264
Netherlands,1987,3.892
Netherlands,1990,6.331
Netherlands,1993,8.069
Netherlands,1999,4.906
Netherlands,2004,6.338
Netherlands,2007,5.183
Netherlands,2010,5.193
Netherlands,2013,6.184
Norway,1979,4.97
Norway,1986,7.249
Norway,1991,6.443
Norway,1995,6.894
Norway,2000,6.447
Norway,2004,7.073
Norway,2007,7.545
Norway,2010,7.428
Norway,2013,7.662
Panama,2007,23.948
Panama,2010,23.149
Panama,2013,22.666
Paraguay,2010,23.317
Paraguay,2013,21.394
Peru,2004,29.392
Peru,2007,27.083
Peru,2010,25.316
Peru,2013,24.442
Poland,1986,9.734
Poland,1992,5.699
Poland,1995,11.543
Poland,1999,9.089
Poland,2004,10.747
Poland,2007,9.123
Poland,2010,9.564
Poland,2013,10.587
Romania,1995,8.743
Romania,1997,8.465
Russia,2000,16.449
Russia,2004,16.542
Russia,2007,16.469
Russia,2010,12.469
Russia,2013,12.506
Serbia,2006,16.623
Serbia,2010,14.617
Serbia,2013,14.137
Slovakia,1992,2.046
Slovakia,1996,7.666
Slovakia,2004,8.062
Slovakia,2007,6.627
Slovakia,2010,8.028
Slovakia,2013,8.421
Slovenia,1997,7.323
Slovenia,1999,7.496
Slovenia,2004,7.14
Slovenia,2007,7.746
Slovenia,2010,9.812
Slovenia,2012,9.989
South Africa,2008,24.101
South Africa,2010,25.703
South Africa,2012,23.751
South Korea,2006,14.328
South Korea,2008,15.15
South Korea,2010,14.866
South Korea,2012,14.62
Spain,1980,12.134
Spain,1985,10.223
Spain,1990,9.987
Spain,1995,13.72
Spain,2000,14.157
Spain,2004,14.092
Spain,2007,13.717
Spain,2010,15.21
Spain,2013,15.562
Sweden,1967,10.635
Sweden,1975,6.482
Sweden,1981,5.319
Sweden,1987,6.698
Sweden,1992,6.672
Sweden,1995,6.575
Sweden,2000,6.611
Sweden,2005,5.596
Switzerland,1982,7.614
Switzerland,1992,9.334
Switzerland,2000,7.477
Switzerland,2002,7.401
Switzerland,2004,8.001
Switzerland,2007,9.878
Switzerland,2010,9.151
Switzerland,2013,8.745
Taiwan,1981,5.448
Taiwan,1986,5.195
Taiwan,1991,6.457
Taiwan,1995,7.731
Taiwan,1997,8.208
Taiwan,2000,8.43
Taiwan,2005,9.545
Taiwan,2007,10.181
Taiwan,2010,11.796
Taiwan,2013,10.723
United Kingdom,1969,5.467
United Kingdom,1974,9.076
United Kingdom,1979,8.95
United Kingdom,1986,9.121
United Kingdom,1991,14.599
United Kingdom,1994,10.837
United Kingdom,1995,13.504
United Kingdom,1999,13.185
United Kingdom,2004,11.221
United Kingdom,2007,11.812
United Kingdom,2010,9.592
United Kingdom,2013,9.138
United States,1974,15.491
United States,1979,14.978
United States,1986,17.78
United States,1991,17.545
United States,1994,16.946
United States,1997,16.639
United States,2000,16.574
United States,2004,17.091
United States,2007,17.639
United States,2010,16.938
United States,2013,17.049
Uruguay,2004,16.311
Uruguay,2007,14.803
Uruguay,2010,15.217
Uruguay,2013,14.058
