Entity,Year,Share of global population (%),Consumption-based CO2 emissions (% of global total),Production-based CO2 emissions (% of global total),Consumption-based CO2 per capita,Production-based CO2 per capita
Guatemala,2015,0.221,0.066,0.055,1.407,1.167
Guinea,2015,0.164,0.007,0.007,0.203,0.203
Guinea-Bissau,2015,0.024,,0.001,,0.152
Guyana,2015,0.010,,0.006,,2.733
Haiti,2015,0.146,,0.009,,0.278
High income,2015,16.18648855,45.62877814,38.87921257,12.95700517,11.41718464
Honduras,2015,0.122,0.034,0.028,1.327,1.096
Hong Kong,2015,0.099,0.381,0.124,18.112,5.876
Hungary,2015,0.134,0.185,0.135,6.525,4.753
Iceland,2015,0.004,,0.010,,10.157
India,2015,17.798,6.255,6.687,1.658,1.773
Indonesia,2015,3.510,1.394,1.351,1.874,1.816
Iran,2015,1.079,1.513,1.850,6.616,8.091
Iraq,2015,0.491,,0.481,,4.619
Ireland,2015,0.064,0.126,0.111,9.323,8.209
Israel,2015,0.114,0.242,0.194,10.013,8.027
Italy,2015,0.826,1.383,1.029,7.903,5.882
Jamaica,2015,0.039,0.024,0.022,2.900,2.685
Japan,2015,1.729,4.183,3.531,11.416,9.637
Jordan,2015,0.125,0.104,0.074,3.932,2.795
Kazakhstan,2015,0.239,0.614,0.664,12.136,13.131
Kenya,2015,0.642,0.070,0.041,0.515,0.303
Kiribati,2015,0.002,,0.000,,0.623
Kuwait,2015,0.054,0.274,0.301,24.143,26.498
Kyrgyzstan,2015,0.081,0.051,0.029,2.983,1.672
Laos,2015,0.091,0.020,0.006,1.047,0.300
Latin America and the Caribbean,2015,8.544,5.837,5.460,3.116,3.017
Latvia,2015,0.027,0.038,0.021,6.695,3.661
Lebanon,2015,0.080,,0.067,,4.001
Lesotho,2015,0.030,,0.007,,1.104
Liberia,2015,0.061,,0.003,,0.209
Libya,2015,0.085,,0.171,,9.512
Liechtenstein,2015,0.001,,0.000,,4.278
Lithuania,2015,0.039,0.068,0.038,8.121,4.523
Low income,2015,8.585906084,0.352360292,0.421138456,0.188633692,0.233148687
Lower-middle income,2015,40.11398358,12.57869554,12.76210798,1.441312822,1.512240381
Luxembourg,2015,0.008,0.069,0.027,42.082,16.345
Macao,2015,0.008,,0.004,,2.296
Macedonia,2015,0.028,,0.023,,3.756
Madagascar,2015,0.329,0.012,0.009,0.177,0.125
Malawi,2015,0.239,0.009,0.004,0.172,0.072
Malaysia,2015,0.418,0.724,0.718,8.180,8.111
Maldives,2015,0.006,,0.004,,3.495
Mali,2015,0.237,,0.004,,0.081
Malta,2015,0.006,0.016,0.005,12.573,4.075
Marshall Islands,2015,0.001,,0.000,,2.076
Martinique,2015,0.004,,0.007,,7.801
Mauritania,2015,0.057,,0.008,,0.650
Mauritius,2015,0.017,0.015,0.012,4.039,3.311
Mexico,2015,1.712,1.515,1.375,4.177,3.789
Micronesia (country),2015,0.001,,0.000,,1.532
Moldova,2015,0.048,,0.014,,1.415
Mongolia,2015,0.040,0.064,0.063,7.481,7.400
Montenegro,2015,0.008,,0.007,,3.713
Montserrat,2015,0.000,,0.000,,4.223
Morocco,2015,0.473,0.192,0.173,1.918,1.721
Mozambique,2015,0.381,0.049,0.025,0.605,0.310
Myanmar,2015,0.712,,0.067,,0.441
Namibia,2015,0.033,0.025,0.011,3.541,1.554
Nauru,2015,0.000,,0.000,,4.008
Nepal,2015,0.390,0.042,0.024,0.506,0.295
Netherlands,2015,0.230,0.468,0.476,9.577,9.748
New Caledonia,2015,0.004,,0.013,,16.703
New Zealand,2015,0.062,0.118,0.103,8.902,7.814
Nicaragua,2015,0.083,0.019,0.015,1.105,0.832
Niger,2015,0.271,,0.006,,0.107
Nigeria,2015,2.463,0.274,0.296,0.525,0.567
North America,2015,4.855,19.294,17.236,18.131,16.759
North Korea,2015,0.343,,0.123,,1.688
Norway,2015,0.071,0.146,0.129,9.752,8.607
Oceania,2015,0.534,1.298,1.305,11.090,11.543
Oman,2015,0.057,0.218,0.188,18.017,15.572
Pakistan,2015,2.575,0.539,0.503,0.988,0.922
Palau,2015,0.000,,0.001,,13.153
Palestine,2015,0.060,,0.008,,0.626
Panama,2015,0.054,0.058,0.026,5.112,2.288
Papua New Guinea,2015,0.108,,0.019,,0.854
Paraguay,2015,0.090,0.029,0.017,1.526,0.892
Peru,2015,0.427,0.224,0.185,2.473,2.041
Philippines,2015,1.383,0.395,0.332,1.348,1.134
Poland,2015,0.516,0.867,0.895,7.921,8.178
Portugal,2015,0.141,0.168,0.150,5.639,5.022
Qatar,2015,0.034,0.274,0.370,38.379,51.762
Reunion,2015,0.012,,0.012,,4.760
Romania,2015,0.269,0.222,0.225,3.887,3.937
Russia,2015,1.959,3.855,4.815,9.283,11.594
Rwanda,2015,0.158,0.002,0.002,0.072,0.072
Saint Helena,2015,0.000,,0.000,,2.479
Saint Kitts and Nevis,2015,0.001,,0.001,,4.421
Saint Lucia,2015,0.002,,0.001,,2.370
Saint Pierre and Miquelon,2015,0.000,,0.000,,12.719
Saint Vincent and the Grenadines,2015,0.001,,0.001,,2.010
Samoa,2015,0.003,,0.001,,1.084
Sao Tome and Principe,2015,0.003,,0.000,,0.563
Saudi Arabia,2015,0.429,1.826,1.798,20.074,19.768
Senegal,2015,0.204,0.027,0.026,0.619,0.592
Serbia,2015,0.096,,0.113,,5.523
Seychelles,2015,0.001,,0.001,,5.352
Sierra Leone,2015,0.098,,0.004,,0.182
Singapore,2015,0.075,0.367,0.175,23.012,10.963
Sint Maarten (Dutch part),2015,0.001,,0.002,,19.576
Slovakia,2015,0.074,0.138,0.097,8.855,6.235
Slovenia,2015,0.028,0.053,0.039,8.844,6.591
Solomon Islands,2015,0.008,,0.001,,0.374
Somalia,2015,0.189,,0.002,,0.044
South Africa,2015,0.748,1.069,1.330,6.742,8.389
South Korea,2015,0.694,1.909,1.706,12.983,11.604
South Sudan,2015,0.162,,0.004,,0.126
Spain,2015,0.631,0.881,0.783,6.579,5.850
Sri Lanka,2015,0.285,0.090,0.056,1.482,0.933
Sudan,2015,0.525,,0.044,,0.400
Suriname,2015,0.008,,0.006,,3.742
Swaziland,2015,0.018,,0.003,,0.902
Sweden,2015,0.133,0.211,0.125,7.474,4.424
Switzerland,2015,0.113,0.355,0.112,14.880,4.679
Syria,2015,0.255,,0.090,,1.664
Taiwan,2015,0.319,0.780,0.754,11.527,11.146
Tajikistan,2015,0.116,,0.015,,0.626
Tanzania,2015,0.733,0.058,0.034,0.375,0.221
Thailand,2015,0.933,0.887,0.930,4.481,4.703
Timor,2015,0.017,,0.001,,0.403
Togo,2015,0.101,0.021,0.008,0.980,0.357
Tonga,2015,0.001,,0.000,,1.222
Trinidad and Tobago,2015,0.018,0.036,0.132,9.220,33.645
Tunisia,2015,0.153,0.086,0.090,2.657,2.767
Turkey,2015,1.064,1.255,1.105,5.564,4.899
Turkmenistan,2015,0.076,,0.219,,13.638
Turks and Caicos Islands,2015,0.000,,0.001,,6.115
Tuvalu,2015,0.000,,0.000,,0.909
Uganda,2015,0.546,0.023,0.015,0.197,0.130
Ukraine,2015,0.614,0.706,0.643,5.422,4.940
United Arab Emirates,2015,0.124,0.755,0.660,28.607,25.028
United Kingdom,2015,0.885,1.718,1.198,9.155,6.383
United States,2015,4.363,16.963,15.595,18.343,16.863
Upper-middle income,2015,35.11362179,41.44016603,47.93754099,5.424557249,6.489247431
Uruguay,2015,0.047,0.038,0.020,3.806,2.043
Uzbekistan,2015,0.426,,0.309,,3.429
Vanuatu,2015,0.004,,0.000,,0.605
Venezuela,2015,0.424,0.501,0.520,5.585,5.794
Vietnam,2015,1.247,0.605,0.535,2.288,2.023
Wallis and Futuna,2015,0.000,,0.000,,1.658
World,2015,,,,,4.717713142
Yemen,2015,0.366,,0.064,,0.830
Zambia,2015,0.219,0.028,0.013,0.611,0.279
Zimbabwe,2015,0.215,0.028,0.034,0.610,0.743
