Entity,Year,Reported Smallpox cases (WHO),"World Region (World Bank, 2017)"
Algeria,1949,314,Middle East and North Africa
Algeria,1950,146,Middle East and North Africa
Algeria,1951,102,Middle East and North Africa
Algeria,1952,86,Middle East and North Africa
Algeria,1953,56,Middle East and North Africa
Algeria,1954,67,Middle East and North Africa
Algeria,1955,73,Middle East and North Africa
Algeria,1956,18,Middle East and North Africa
Algeria,1957,8,Middle East and North Africa
Algeria,1958,15,Middle East and North Africa
Algeria,1959,11,Middle East and North Africa
Algeria,1960,7,Middle East and North Africa
Algeria,1961,8,Middle East and North Africa
Algeria,1962,1,Middle East and North Africa
Algeria,1963,5,Middle East and North Africa
Algeria,1964,0,Middle East and North Africa
Algeria,1965,,Middle East and North Africa
Algeria,1966,,Middle East and North Africa
Angola,1920,,Sub-Saharan Africa
Angola,1921,,Sub-Saharan Africa
Angola,1922,,Sub-Saharan Africa
Angola,1923,,Sub-Saharan Africa
Angola,1924,,Sub-Saharan Africa
Angola,1925,,Sub-Saharan Africa
Angola,1926,,Sub-Saharan Africa
Angola,1927,174,Sub-Saharan Africa
Angola,1928,67,Sub-Saharan Africa
Angola,1929,95,Sub-Saharan Africa
Angola,1930,1107,Sub-Saharan Africa
Angola,1931,1408,Sub-Saharan Africa
Angola,1932,848,Sub-Saharan Africa
Angola,1933,371,Sub-Saharan Africa
Angola,1934,693,Sub-Saharan Africa
Angola,1935,408,Sub-Saharan Africa
Angola,1936,640,Sub-Saharan Africa
Angola,1937,198,Sub-Saharan Africa
Angola,1938,451,Sub-Saharan Africa
Angola,1939,465,Sub-Saharan Africa
Angola,1940,1100,Sub-Saharan Africa
Angola,1941,1650,Sub-Saharan Africa
Angola,1942,473,Sub-Saharan Africa
Angola,1943,652,Sub-Saharan Africa
Angola,1944,80,Sub-Saharan Africa
Angola,1945,129,Sub-Saharan Africa
Angola,1946,198,Sub-Saharan Africa
Angola,1947,288,Sub-Saharan Africa
Angola,1948,605,Sub-Saharan Africa
Angola,1949,510,Sub-Saharan Africa
Angola,1950,621,Sub-Saharan Africa
Angola,1951,236,Sub-Saharan Africa
Angola,1952,191,Sub-Saharan Africa
Angola,1953,138,Sub-Saharan Africa
Angola,1954,135,Sub-Saharan Africa
Angola,1955,122,Sub-Saharan Africa
Angola,1956,113,Sub-Saharan Africa
Angola,1957,11,Sub-Saharan Africa
Angola,1958,138,Sub-Saharan Africa
Angola,1959,7,Sub-Saharan Africa
Angola,1960,0,Sub-Saharan Africa
Angola,1961,0,Sub-Saharan Africa
Angola,1962,23,Sub-Saharan Africa
Angola,1963,50,Sub-Saharan Africa
Angola,1964,1,Sub-Saharan Africa
Angola,1965,0,Sub-Saharan Africa
Angola,1966,3,Sub-Saharan Africa
Argentina,1920,,Latin America and Caribbean
Argentina,1921,,Latin America and Caribbean
Argentina,1922,,Latin America and Caribbean
Argentina,1923,,Latin America and Caribbean
Argentina,1924,,Latin America and Caribbean
Argentina,1925,,Latin America and Caribbean
Argentina,1926,,Latin America and Caribbean
Argentina,1927,,Latin America and Caribbean
Argentina,1928,,Latin America and Caribbean
Argentina,1929,,Latin America and Caribbean
Argentina,1930,,Latin America and Caribbean
Argentina,1931,,Latin America and Caribbean
Argentina,1932,,Latin America and Caribbean
Argentina,1933,,Latin America and Caribbean
Argentina,1934,,Latin America and Caribbean
Argentina,1935,,Latin America and Caribbean
Argentina,1936,545,Latin America and Caribbean
Argentina,1937,80,Latin America and Caribbean
Argentina,1938,53,Latin America and Caribbean
Argentina,1939,19,Latin America and Caribbean
Argentina,1940,0,Latin America and Caribbean
Argentina,1941,0,Latin America and Caribbean
Argentina,1942,120,Latin America and Caribbean
Argentina,1943,6,Latin America and Caribbean
Argentina,1944,41,Latin America and Caribbean
Argentina,1945,0,Latin America and Caribbean
Argentina,1946,71,Latin America and Caribbean
Argentina,1947,46,Latin America and Caribbean
Argentina,1948,140,Latin America and Caribbean
Argentina,1949,500,Latin America and Caribbean
Argentina,1950,4788,Latin America and Caribbean
Argentina,1951,1404,Latin America and Caribbean
Argentina,1952,982,Latin America and Caribbean
Argentina,1953,309,Latin America and Caribbean
Argentina,1954,256,Latin America and Caribbean
Argentina,1955,55,Latin America and Caribbean
Argentina,1956,86,Latin America and Caribbean
Argentina,1957,335,Latin America and Caribbean
Argentina,1958,27,Latin America and Caribbean
Argentina,1959,,Latin America and Caribbean
Argentina,1960,,Latin America and Caribbean
Argentina,1961,,Latin America and Caribbean
Argentina,1962,,Latin America and Caribbean
Argentina,1963,,Latin America and Caribbean
Argentina,1964,,Latin America and Caribbean
Argentina,1965,,Latin America and Caribbean
Argentina,1966,,Latin America and Caribbean
Argentina,1967,23,Latin America and Caribbean
Argentina,1968,0,Latin America and Caribbean
Argentina,1969,0,Latin America and Caribbean
Argentina,1970,24,Latin America and Caribbean
Argentina,1971,0,Latin America and Caribbean
Argentina,1972,0,Latin America and Caribbean
Argentina,1973,0,Latin America and Caribbean
Argentina,1974,0,Latin America and Caribbean
Argentina,1975,0,Latin America and Caribbean
Argentina,1976,0,Latin America and Caribbean
Argentina,1977,0,Latin America and Caribbean
Asia,1967,102454,
Asia,1968,64739,
Asia,1969,34853,
Asia,1970,28209,
Asia,1971,24601,
Asia,1972,45342,
Asia,1973,130108,
Asia,1974,212311,
Asia,1975,0,
Asia,1976,0,
Asia,1977,0,
Austria,1920,253,Europe and Central Asia
Austria,1921,18,Europe and Central Asia
Austria,1922,4,Europe and Central Asia
Austria,1923,17,Europe and Central Asia
Austria,1924,1,Europe and Central Asia
Austria,1925,0,Europe and Central Asia
Austria,1926,0,Europe and Central Asia
Austria,1927,0,Europe and Central Asia
Austria,1928,0,Europe and Central Asia
Austria,1929,2,Europe and Central Asia
Austria,1930,0,Europe and Central Asia
Austria,1931,0,Europe and Central Asia
Austria,1932,0,Europe and Central Asia
Austria,1933,0,Europe and Central Asia
Austria,1934,0,Europe and Central Asia
Austria,1935,0,Europe and Central Asia
Austria,1936,0,Europe and Central Asia
Austria,1937,0,Europe and Central Asia
Austria,1938,0,Europe and Central Asia
Austria,1939,0,Europe and Central Asia
Austria,1940,0,Europe and Central Asia
Austria,1941,0,Europe and Central Asia
Austria,1942,0,Europe and Central Asia
Austria,1943,0,Europe and Central Asia
Austria,1944,0,Europe and Central Asia
Austria,1945,0,Europe and Central Asia
Austria,1946,2,Europe and Central Asia
Austria,1947,0,Europe and Central Asia
Austria,1948,0,Europe and Central Asia
Austria,1949,0,Europe and Central Asia
Austria,1950,0,Europe and Central Asia
Austria,1951,0,Europe and Central Asia
Austria,1952,0,Europe and Central Asia
Austria,1953,0,Europe and Central Asia
Austria,1954,0,Europe and Central Asia
Austria,1955,0,Europe and Central Asia
Austria,1956,0,Europe and Central Asia
Austria,1957,0,Europe and Central Asia
Austria,1958,0,Europe and Central Asia
Austria,1959,,Europe and Central Asia
Austria,1960,,Europe and Central Asia
Austria,1961,,Europe and Central Asia
Austria,1962,,Europe and Central Asia
Austria,1963,,Europe and Central Asia
Austria,1964,,Europe and Central Asia
Austria,1965,,Europe and Central Asia
Austria,1966,,Europe and Central Asia
Bangladesh,1920,,South Asia
Bangladesh,1921,,South Asia
Bangladesh,1922,,South Asia
Bangladesh,1923,,South Asia
Bangladesh,1924,,South Asia
Bangladesh,1925,,South Asia
Bangladesh,1926,,South Asia
Bangladesh,1927,,South Asia
Bangladesh,1928,,South Asia
Bangladesh,1929,,South Asia
Bangladesh,1930,,South Asia
Bangladesh,1931,,South Asia
Bangladesh,1932,,South Asia
Bangladesh,1933,,South Asia
Bangladesh,1934,,South Asia
Bangladesh,1935,,South Asia
Bangladesh,1936,,South Asia
Bangladesh,1937,,South Asia
Bangladesh,1938,,South Asia
Bangladesh,1939,,South Asia
Bangladesh,1940,,South Asia
Bangladesh,1941,,South Asia
Bangladesh,1942,,South Asia
Bangladesh,1943,,South Asia
Bangladesh,1944,,South Asia
Bangladesh,1945,,South Asia
Bangladesh,1946,,South Asia
Bangladesh,1947,,South Asia
Bangladesh,1948,,South Asia
Bangladesh,1949,,South Asia
Bangladesh,1950,21273,South Asia
Bangladesh,1951,38871,South Asia
Bangladesh,1952,10490,South Asia
Bangladesh,1953,1102,South Asia
Bangladesh,1954,445,South Asia
Bangladesh,1955,1926,South Asia
Bangladesh,1956,4962,South Asia
Bangladesh,1957,24920,South Asia
Bangladesh,1958,79060,South Asia
Bangladesh,1959,15048,South Asia
Bangladesh,1960,1905,South Asia
Bangladesh,1961,660,South Asia
Bangladesh,1962,610,South Asia
Bangladesh,1963,3375,South Asia
Bangladesh,1964,69,South Asia
Bangladesh,1965,316,South Asia
Bangladesh,1966,3207,South Asia
Bangladesh,1967,6377,South Asia
Bangladesh,1968,9255,South Asia
Bangladesh,1969,1656,South Asia
Bangladesh,1971,0,South Asia
Bangladesh,1972,10754,South Asia
Bangladesh,1973,32711,South Asia
Bangladesh,1974,16485,South Asia
Bangladesh,1975,13798,South Asia
Bangladesh,1976,0,South Asia
Bangladesh,1977,0,South Asia
Belgium,1920,91,Europe and Central Asia
Belgium,1921,21,Europe and Central Asia
Belgium,1922,23,Europe and Central Asia
Belgium,1923,31,Europe and Central Asia
Belgium,1924,31,Europe and Central Asia
Belgium,1925,12,Europe and Central Asia
Belgium,1926,13,Europe and Central Asia
Belgium,1927,0,Europe and Central Asia
Belgium,1928,1,Europe and Central Asia
Belgium,1929,0,Europe and Central Asia
Belgium,1930,0,Europe and Central Asia
Belgium,1931,0,Europe and Central Asia
Belgium,1932,0,Europe and Central Asia
Belgium,1933,2,Europe and Central Asia
Belgium,1934,0,Europe and Central Asia
Belgium,1935,0,Europe and Central Asia
Belgium,1936,0,Europe and Central Asia
Belgium,1937,0,Europe and Central Asia
Belgium,1938,0,Europe and Central Asia
Belgium,1939,0,Europe and Central Asia
Belgium,1940,0,Europe and Central Asia
Belgium,1941,0,Europe and Central Asia
Belgium,1942,0,Europe and Central Asia
Belgium,1943,1,Europe and Central Asia
Belgium,1944,0,Europe and Central Asia
Belgium,1945,0,Europe and Central Asia
Belgium,1946,0,Europe and Central Asia
Belgium,1947,29,Europe and Central Asia
Belgium,1948,1,Europe and Central Asia
Belgium,1949,1,Europe and Central Asia
Belgium,1950,0,Europe and Central Asia
Belgium,1951,0,Europe and Central Asia
Belgium,1952,0,Europe and Central Asia
Belgium,1953,0,Europe and Central Asia
Belgium,1954,0,Europe and Central Asia
Belgium,1955,3,Europe and Central Asia
Belgium,1956,0,Europe and Central Asia
Belgium,1957,0,Europe and Central Asia
Belgium,1958,0,Europe and Central Asia
Belgium,1959,,Europe and Central Asia
Belgium,1960,,Europe and Central Asia
Belgium,1961,,Europe and Central Asia
Belgium,1962,,Europe and Central Asia
Belgium,1963,,Europe and Central Asia
Belgium,1964,,Europe and Central Asia
Belgium,1965,,Europe and Central Asia
Belgium,1966,,Europe and Central Asia
Bolivia,1920,,Latin America and Caribbean
Bolivia,1921,,Latin America and Caribbean
Bolivia,1922,,Latin America and Caribbean
Bolivia,1923,,Latin America and Caribbean
Bolivia,1924,,Latin America and Caribbean
Bolivia,1925,,Latin America and Caribbean
Bolivia,1926,,Latin America and Caribbean
Bolivia,1927,,Latin America and Caribbean
Bolivia,1928,,Latin America and Caribbean
Bolivia,1929,,Latin America and Caribbean
Bolivia,1930,,Latin America and Caribbean
Bolivia,1931,716,Latin America and Caribbean
Bolivia,1932,10,Latin America and Caribbean
Bolivia,1933,293,Latin America and Caribbean
Bolivia,1934,618,Latin America and Caribbean
Bolivia,1935,490,Latin America and Caribbean
Bolivia,1936,220,Latin America and Caribbean
Bolivia,1937,289,Latin America and Caribbean
Bolivia,1938,235,Latin America and Caribbean
Bolivia,1939,348,Latin America and Caribbean
Bolivia,1940,342,Latin America and Caribbean
Bolivia,1941,211,Latin America and Caribbean
Bolivia,1942,205,Latin America and Caribbean
Bolivia,1943,300,Latin America and Caribbean
Bolivia,1944,1159,Latin America and Caribbean
Bolivia,1945,1793,Latin America and Caribbean
Bolivia,1946,1033,Latin America and Caribbean
Bolivia,1947,500,Latin America and Caribbean
Bolivia,1948,831,Latin America and Caribbean
Bolivia,1949,805,Latin America and Caribbean
Bolivia,1950,644,Latin America and Caribbean
Bolivia,1951,759,Latin America and Caribbean
Bolivia,1952,590,Latin America and Caribbean
Bolivia,1953,429,Latin America and Caribbean
Bolivia,1954,624,Latin America and Caribbean
Bolivia,1955,372,Latin America and Caribbean
Bolivia,1956,499,Latin America and Caribbean
Bolivia,1957,1310,Latin America and Caribbean
Bolivia,1958,183,Latin America and Caribbean
Bolivia,1959,,Latin America and Caribbean
Bolivia,1960,,Latin America and Caribbean
Bolivia,1961,,Latin America and Caribbean
Bolivia,1962,,Latin America and Caribbean
Bolivia,1963,,Latin America and Caribbean
Bolivia,1964,,Latin America and Caribbean
Bolivia,1965,,Latin America and Caribbean
Bolivia,1966,,Latin America and Caribbean
Botswana,1968,1,Sub-Saharan Africa
Botswana,1970,0,Sub-Saharan Africa
Botswana,1971,36,Sub-Saharan Africa
Botswana,1972,1059,Sub-Saharan Africa
Botswana,1973,27,Sub-Saharan Africa
Botswana,1974,0,Sub-Saharan Africa
Botswana,1975,0,Sub-Saharan Africa
Botswana,1976,0,Sub-Saharan Africa
Botswana,1977,0,Sub-Saharan Africa
Brazil,1920,,Latin America and Caribbean
Brazil,1921,,Latin America and Caribbean
Brazil,1922,,Latin America and Caribbean
Brazil,1923,,Latin America and Caribbean
Brazil,1924,13,Latin America and Caribbean
Brazil,1925,746,Latin America and Caribbean
Brazil,1926,4146,Latin America and Caribbean
Brazil,1927,107,Latin America and Caribbean
Brazil,1928,2,Latin America and Caribbean
Brazil,1929,0,Latin America and Caribbean
Brazil,1930,2,Latin America and Caribbean
Brazil,1931,1,Latin America and Caribbean
Brazil,1932,95,Latin America and Caribbean
Brazil,1933,112,Latin America and Caribbean
Brazil,1934,0,Latin America and Caribbean
Brazil,1935,17,Latin America and Caribbean
Brazil,1936,23,Latin America and Caribbean
Brazil,1937,121,Latin America and Caribbean
Brazil,1938,93,Latin America and Caribbean
Brazil,1939,86,Latin America and Caribbean
Brazil,1940,123,Latin America and Caribbean
Brazil,1941,126,Latin America and Caribbean
Brazil,1942,79,Latin America and Caribbean
Brazil,1943,444,Latin America and Caribbean
Brazil,1944,1234,Latin America and Caribbean
Brazil,1945,830,Latin America and Caribbean
Brazil,1946,1234,Latin America and Caribbean
Brazil,1947,862,Latin America and Caribbean
Brazil,1948,1288,Latin America and Caribbean
Brazil,1949,670,Latin America and Caribbean
Brazil,1950,749,Latin America and Caribbean
Brazil,1951,1190,Latin America and Caribbean
Brazil,1952,1668,Latin America and Caribbean
Brazil,1953,923,Latin America and Caribbean
Brazil,1954,1035,Latin America and Caribbean
Brazil,1955,2580,Latin America and Caribbean
Brazil,1956,4718,Latin America and Caribbean
Brazil,1957,2661,Latin America and Caribbean
Brazil,1958,2190,Latin America and Caribbean
Brazil,1959,,Latin America and Caribbean
Brazil,1960,,Latin America and Caribbean
Brazil,1961,,Latin America and Caribbean
Brazil,1962,,Latin America and Caribbean
Brazil,1963,,Latin America and Caribbean
Brazil,1964,,Latin America and Caribbean
Brazil,1965,,Latin America and Caribbean
Brazil,1966,,Latin America and Caribbean
Brazil,1967,4353,Latin America and Caribbean
Brazil,1968,4325,Latin America and Caribbean
Brazil,1969,7044,Latin America and Caribbean
Brazil,1970,1771,Latin America and Caribbean
Brazil,1971,19,Latin America and Caribbean
Brazil,1972,0,Latin America and Caribbean
Brazil,1973,0,Latin America and Caribbean
Brazil,1974,0,Latin America and Caribbean
Brazil,1975,0,Latin America and Caribbean
Brazil,1976,0,Latin America and Caribbean
Brazil,1977,0,Latin America and Caribbean
Bulgaria,1920,527,Europe and Central Asia
Bulgaria,1921,22,Europe and Central Asia
Bulgaria,1922,24,Europe and Central Asia
Bulgaria,1923,20,Europe and Central Asia
Bulgaria,1924,5,Europe and Central Asia
Bulgaria,1925,0,Europe and Central Asia
Bulgaria,1926,1,Europe and Central Asia
Bulgaria,1927,2,Europe and Central Asia
Bulgaria,1928,0,Europe and Central Asia
Bulgaria,1929,0,Europe and Central Asia
Bulgaria,1930,0,Europe and Central Asia
Bulgaria,1931,0,Europe and Central Asia
Bulgaria,1932,0,Europe and Central Asia
Bulgaria,1933,0,Europe and Central Asia
Bulgaria,1934,0,Europe and Central Asia
Bulgaria,1935,0,Europe and Central Asia
Bulgaria,1936,0,Europe and Central Asia
Bulgaria,1937,0,Europe and Central Asia
Bulgaria,1938,0,Europe and Central Asia
Bulgaria,1939,4,Europe and Central Asia
Bulgaria,1940,0,Europe and Central Asia
Bulgaria,1941,0,Europe and Central Asia
Bulgaria,1942,0,Europe and Central Asia
Bulgaria,1943,0,Europe and Central Asia
Bulgaria,1944,0,Europe and Central Asia
Bulgaria,1945,0,Europe and Central Asia
Bulgaria,1946,0,Europe and Central Asia
Bulgaria,1947,0,Europe and Central Asia
Bulgaria,1948,0,Europe and Central Asia
Bulgaria,1949,0,Europe and Central Asia
Bulgaria,1950,0,Europe and Central Asia
Bulgaria,1951,0,Europe and Central Asia
Bulgaria,1952,0,Europe and Central Asia
Bulgaria,1953,0,Europe and Central Asia
Bulgaria,1954,0,Europe and Central Asia
Bulgaria,1955,0,Europe and Central Asia
Bulgaria,1956,0,Europe and Central Asia
Bulgaria,1957,0,Europe and Central Asia
Bulgaria,1958,0,Europe and Central Asia
Bulgaria,1959,,Europe and Central Asia
Bulgaria,1960,,Europe and Central Asia
Bulgaria,1961,,Europe and Central Asia
Bulgaria,1962,,Europe and Central Asia
Bulgaria,1963,,Europe and Central Asia
Bulgaria,1964,,Europe and Central Asia
Bulgaria,1965,,Europe and Central Asia
Bulgaria,1966,,Europe and Central Asia
Burkina Faso,1967,90,Sub-Saharan Africa
Burkina Faso,1968,100,Sub-Saharan Africa
Burkina Faso,1969,0,Sub-Saharan Africa
Burkina Faso,1970,0,Sub-Saharan Africa
Burkina Faso,1971,0,Sub-Saharan Africa
Burkina Faso,1972,0,Sub-Saharan Africa
Burkina Faso,1973,0,Sub-Saharan Africa
Burkina Faso,1974,0,Sub-Saharan Africa
Burkina Faso,1975,0,Sub-Saharan Africa
Burkina Faso,1976,0,Sub-Saharan Africa
Burkina Faso,1977,0,Sub-Saharan Africa
Burma,1920,2853,East Asia and Pacific
Burma,1921,987,East Asia and Pacific
Burma,1922,1439,East Asia and Pacific
Burma,1923,2846,East Asia and Pacific
Burma,1924,2501,East Asia and Pacific
Burma,1925,3852,East Asia and Pacific
Burma,1926,2339,East Asia and Pacific
Burma,1927,1704,East Asia and Pacific
Burma,1928,7654,East Asia and Pacific
Burma,1929,8205,East Asia and Pacific
Burma,1930,3668,East Asia and Pacific
Burma,1931,2022,East Asia and Pacific
Burma,1932,11767,East Asia and Pacific
Burma,1933,7701,East Asia and Pacific
Burma,1934,6555,East Asia and Pacific
Burma,1935,4974,East Asia and Pacific
Burma,1936,5574,East Asia and Pacific
Burma,1937,6365,East Asia and Pacific
Burma,1938,2283,East Asia and Pacific
Burma,1939,702,East Asia and Pacific
Burma,1940,8739,East Asia and Pacific
Burma,1941,5593,East Asia and Pacific
Burma,1942,,East Asia and Pacific
Burma,1943,,East Asia and Pacific
Burma,1944,,East Asia and Pacific
Burma,1945,6778,East Asia and Pacific
Burma,1946,4834,East Asia and Pacific
Burma,1947,3939,East Asia and Pacific
Burma,1948,5905,East Asia and Pacific
Burma,1949,3465,East Asia and Pacific
Burma,1950,10222,East Asia and Pacific
Burma,1951,2748,East Asia and Pacific
Burma,1952,2411,East Asia and Pacific
Burma,1953,164,East Asia and Pacific
Burma,1954,216,East Asia and Pacific
Burma,1955,1675,East Asia and Pacific
Burma,1956,4226,East Asia and Pacific
Burma,1957,2739,East Asia and Pacific
Burma,1958,1897,East Asia and Pacific
Burma,1959,1533,East Asia and Pacific
Burma,1960,392,East Asia and Pacific
Burma,1961,91,East Asia and Pacific
Burma,1962,32,East Asia and Pacific
Burma,1963,193,East Asia and Pacific
Burma,1964,112,East Asia and Pacific
Burma,1965,53,East Asia and Pacific
Burma,1966,6,East Asia and Pacific
Burundi,1967,74,Sub-Saharan Africa
Burundi,1968,270,Sub-Saharan Africa
Burundi,1969,89,Sub-Saharan Africa
Burundi,1970,0,Sub-Saharan Africa
Burundi,1971,0,Sub-Saharan Africa
Burundi,1972,0,Sub-Saharan Africa
Burundi,1973,0,Sub-Saharan Africa
Burundi,1974,0,Sub-Saharan Africa
Burundi,1975,0,Sub-Saharan Africa
Burundi,1976,0,Sub-Saharan Africa
Burundi,1977,0,Sub-Saharan Africa
Cameroon,1920,,Sub-Saharan Africa
Cameroon,1921,,Sub-Saharan Africa
Cameroon,1922,,Sub-Saharan Africa
Cameroon,1923,,Sub-Saharan Africa
Cameroon,1924,,Sub-Saharan Africa
Cameroon,1925,32,Sub-Saharan Africa
Cameroon,1926,85,Sub-Saharan Africa
Cameroon,1927,138,Sub-Saharan Africa
Cameroon,1928,120,Sub-Saharan Africa
Cameroon,1929,32,Sub-Saharan Africa
Cameroon,1930,185,Sub-Saharan Africa
Cameroon,1931,265,Sub-Saharan Africa
Cameroon,1932,492,Sub-Saharan Africa
Cameroon,1933,475,Sub-Saharan Africa
Cameroon,1934,463,Sub-Saharan Africa
Cameroon,1935,138,Sub-Saharan Africa
Cameroon,1936,1061,Sub-Saharan Africa
Cameroon,1937,20,Sub-Saharan Africa
Cameroon,1938,271,Sub-Saharan Africa
Cameroon,1939,82,Sub-Saharan Africa
Cameroon,1940,1,Sub-Saharan Africa
Cameroon,1941,0,Sub-Saharan Africa
Cameroon,1942,3,Sub-Saharan Africa
Cameroon,1943,242,Sub-Saharan Africa
Cameroon,1944,1063,Sub-Saharan Africa
Cameroon,1945,931,Sub-Saharan Africa
Cameroon,1946,106,Sub-Saharan Africa
Cameroon,1947,139,Sub-Saharan Africa
Cameroon,1948,7,Sub-Saharan Africa
Cameroon,1949,55,Sub-Saharan Africa
Cameroon,1950,163,Sub-Saharan Africa
Cameroon,1951,721,Sub-Saharan Africa
Cameroon,1952,1106,Sub-Saharan Africa
Cameroon,1953,63,Sub-Saharan Africa
Cameroon,1954,197,Sub-Saharan Africa
Cameroon,1955,42,Sub-Saharan Africa
Cameroon,1956,42,Sub-Saharan Africa
Cameroon,1957,4,Sub-Saharan Africa
Cameroon,1958,5,Sub-Saharan Africa
Cameroon,1959,17,Sub-Saharan Africa
Cameroon,1960,0,Sub-Saharan Africa
Cameroon,1961,1145,Sub-Saharan Africa
Cameroon,1962,743,Sub-Saharan Africa
Cameroon,1963,135,Sub-Saharan Africa
Cameroon,1964,88,Sub-Saharan Africa
Cameroon,1965,28,Sub-Saharan Africa
Cameroon,1966,2,Sub-Saharan Africa
Cameroon,1967,72,Sub-Saharan Africa
Cameroon,1968,87,Sub-Saharan Africa
Cameroon,1969,15,Sub-Saharan Africa
Cameroon,1970,0,Sub-Saharan Africa
Cameroon,1971,0,Sub-Saharan Africa
Cameroon,1972,0,Sub-Saharan Africa
Cameroon,1973,0,Sub-Saharan Africa
Cameroon,1974,0,Sub-Saharan Africa
Cameroon,1975,0,Sub-Saharan Africa
Cameroon,1976,0,Sub-Saharan Africa
Cameroon,1977,0,Sub-Saharan Africa
Canada,1920,,North America
Canada,1921,,North America
Canada,1922,,North America
Canada,1923,,North America
Canada,1924,2791,North America
Canada,1925,1248,North America
Canada,1926,1535,North America
Canada,1927,2845,North America
Canada,1928,3337,North America
Canada,1929,1952,North America
Canada,1930,1292,North America
Canada,1931,865,North America
Canada,1932,347,North America
Canada,1933,100,North America
Canada,1934,17,North America
Canada,1935,34,North America
Canada,1936,62,North America
Canada,1937,59,North America
Canada,1938,120,North America
Canada,1939,198,North America
Canada,1940,11,North America
Canada,1941,26,North America
Canada,1942,6,North America
Canada,1943,6,North America
Canada,1944,0,North America
Canada,1945,5,North America
Canada,1946,2,North America
Canada,1947,0,North America
Canada,1948,0,North America
Canada,1949,0,North America
Canada,1950,0,North America
Canada,1951,0,North America
Canada,1952,0,North America
Canada,1953,,North America
Canada,1954,,North America
Canada,1955,,North America
Canada,1956,,North America
Canada,1957,,North America
Canada,1958,,North America
Canada,1959,,North America
Canada,1960,,North America
Canada,1961,,North America
Canada,1962,,North America
Canada,1963,,North America
Canada,1964,,North America
Canada,1965,,North America
Canada,1966,,North America
Chad,1920,,Sub-Saharan Africa
