Entity,Year,Global Hunger Index (2021)
Iran,2021,7.7
Iraq,2000,23.9
Iraq,2006,23.9
Iraq,2012,27.5
Iraq,2021,22.8
Jamaica,2000,8.6
Jamaica,2006,9.0
Jamaica,2012,9.1
Jamaica,2021,8.6
Jordan,2000,10.8
Jordan,2006,8.1
Jordan,2012,8.5
Jordan,2021,8.3
Kazakhstan,2000,11.2
Kazakhstan,2006,12.3
Kazakhstan,2012,8.1
Kazakhstan,2021,6.4
Kenya,2000,36.7
Kenya,2006,31.2
Kenya,2012,25.4
Kenya,2021,23.0
Kuwait,2000,2.5
Kuwait,2006,2.5
Kuwait,2012,2.5
Kuwait,2021,2.5
Kyrgyzstan,2000,18.3
Kyrgyzstan,2006,13.9
Kyrgyzstan,2012,11.7
Kyrgyzstan,2021,8.6
Laos,2000,44.1
Laos,2006,31.9
Laos,2012,25.7
Laos,2021,19.5
Latvia,2000,5.5
Latvia,2006,2.5
Latvia,2012,2.5
Latvia,2021,2.5
Lebanon,2000,11.6
Lebanon,2006,13.2
Lebanon,2012,12.3
Lebanon,2021,9.7
Lesotho,2000,32.5
Lesotho,2006,29.6
Lesotho,2012,24.6
Lesotho,2021,27.4
Liberia,2000,48.1
Liberia,2006,40.0
Liberia,2012,35.0
Liberia,2021,33.3
Lithuania,2000,2.5
Lithuania,2006,2.5
Lithuania,2012,2.5
Lithuania,2021,2.5
Madagascar,2000,42.8
Madagascar,2006,41.6
Madagascar,2012,34.3
Madagascar,2021,36.3
Malawi,2000,43.1
Malawi,2006,33.5
Malawi,2012,26.2
Malawi,2021,21.3
Malaysia,2000,15.4
Malaysia,2006,13.7
Malaysia,2012,12.4
Malaysia,2021,12.8
Mali,2000,41.7
Mali,2006,36.8
Mali,2012,24.8
Mali,2021,24.7
Mauritania,2000,31.9
Mauritania,2006,28.9
Mauritania,2012,23.6
Mauritania,2021,22.6
Mauritius,2000,15.2
Mauritius,2006,14.0
Mauritius,2012,13.0
Mauritius,2021,12.2
Mexico,2000,10.2
Mexico,2006,8.6
Mexico,2012,7.8
Mexico,2021,8.5
Moldova,2021,5.0
Mongolia,2000,30.2
Mongolia,2006,23.4
Mongolia,2012,12.8
Mongolia,2021,6.1
Montenegro,2006,6.5
Montenegro,2012,2.5
Montenegro,2021,2.5
Morocco,2000,15.5
Morocco,2006,17.5
Morocco,2012,9.6
Morocco,2021,8.8
Mozambique,2000,48.0
Mozambique,2006,38.2
Mozambique,2012,31.5
Mozambique,2021,31.3
Myanmar,2000,39.8
Myanmar,2006,31.6
Myanmar,2012,22.9
Myanmar,2021,17.5
Namibia,2000,25.3
Namibia,2006,25.8
Namibia,2012,26.6
Namibia,2021,20.2
Nepal,2000,37.4
Nepal,2006,30.9
Nepal,2012,23.1
Nepal,2021,19.1
Nicaragua,2000,22.3
Nicaragua,2006,17.4
Nicaragua,2012,14.9
Nicaragua,2021,14.0
Niger,2021,27.5
Nigeria,2000,39.5
Nigeria,2006,32.5
Nigeria,2012,30.4
Nigeria,2021,28.3
North Korea,2000,39.5
North Korea,2006,33.1
North Korea,2012,29.1
North Korea,2021,25.2
North Macedonia,2000,7.5
North Macedonia,2006,7.7
North Macedonia,2012,2.5
North Macedonia,2021,2.5
Oman,2000,14.7
Oman,2006,13.8
Oman,2012,11.6
Oman,2021,12.3
Pakistan,2000,36.7
Pakistan,2006,33.1
Pakistan,2012,32.1
Pakistan,2021,24.7
Panama,2000,18.7
Panama,2006,15.0
Panama,2012,10.1
Panama,2021,8.9
Papua New Guinea,2000,33.6
Papua New Guinea,2006,30.3
Papua New Guinea,2012,33.7
Papua New Guinea,2021,27.8
Paraguay,2000,11.7
Paraguay,2006,11.6
Paraguay,2012,9.5
Paraguay,2021,7.5
Peru,2000,20.6
Peru,2006,16.4
Peru,2012,9.2
Peru,2021,8.0
Philippines,2000,25.0
Philippines,2006,20.4
Philippines,2012,20.5
Philippines,2021,16.8
Romania,2000,7.9
Romania,2006,5.9
Romania,2012,5.0
Romania,2021,2.5
Russia,2000,10.1
Russia,2006,7.1
Russia,2012,6.4
Russia,2021,6.2
Rwanda,2000,49.3
Rwanda,2006,38.3
Rwanda,2012,31.0
Rwanda,2021,26.4
Saudi Arabia,2000,11.0
Saudi Arabia,2006,12.1
Saudi Arabia,2012,8.2
Saudi Arabia,2021,6.8
Senegal,2000,34.0
Senegal,2006,24.1
Senegal,2012,19.2
Senegal,2021,16.3
Serbia,2006,6.1
Serbia,2012,5.3
Serbia,2021,2.5
Sierra Leone,2000,57.7
Sierra Leone,2006,52.7
Sierra Leone,2012,34.7
Sierra Leone,2021,31.3
Slovakia,2000,6.0
Slovakia,2006,5.3
Slovakia,2012,2.5
Slovakia,2021,2.5
Solomon Islands,2000,20.0
Solomon Islands,2006,18.2
Solomon Islands,2012,20.2
Solomon Islands,2021,18.8
Somalia,2000,58.1
Somalia,2006,57.9
Somalia,2012,65.1
Somalia,2021,50.8
South Africa,2000,18.1
South Africa,2006,17.6
South Africa,2012,12.7
South Africa,2021,12.9
South Sudan,2021,42.5
Sri Lanka,2000,21.9
Sri Lanka,2006,20.0
Sri Lanka,2012,20.6
Sri Lanka,2021,16.0
Sudan,2012,29.8
Sudan,2021,25.1
Suriname,2000,15.1
Suriname,2006,11.4
Suriname,2012,10.4
Suriname,2021,10.4
Syria,2021,42.5
Tajikistan,2021,15.0
Tanzania,2000,40.6
Tanzania,2006,33.6
Tanzania,2012,29.1
Tanzania,2021,24.7
Thailand,2000,18.5
Thailand,2006,12.3
Thailand,2012,12.4
Thailand,2021,11.7
Timor,2006,46.1
Timor,2012,36.2
Timor,2021,32.4
Togo,2000,39.1
Togo,2006,36.5
Togo,2012,25.3
Togo,2021,23.7
Trinidad and Tobago,2000,11.0
Trinidad and Tobago,2006,11.3
Trinidad and Tobago,2012,10.8
Trinidad and Tobago,2021,8.9
Tunisia,2000,10.3
Tunisia,2006,7.8
Tunisia,2012,7.0
Tunisia,2021,6.0
Turkey,2000,10.2
Turkey,2006,6.5
Turkey,2012,5.0
Turkey,2021,2.5
Turkmenistan,2000,20.1
Turkmenistan,2006,14.8
Turkmenistan,2012,11.9
Turkmenistan,2021,9.7
Uganda,2021,27.5
Ukraine,2000,13.0
Ukraine,2006,7.1
Ukraine,2012,6.9
Ukraine,2021,6.8
Uruguay,2000,7.4
Uruguay,2006,6.7
Uruguay,2012,5.0
Uruguay,2021,2.5
Uzbekistan,2000,24.3
Uzbekistan,2006,16.6
Uzbekistan,2012,9.5
Uzbekistan,2021,5.9
Venezuela,2000,14.6
Venezuela,2006,11.2
Venezuela,2012,7.4
Venezuela,2021,22.2
Vietnam,2000,26.3
Vietnam,2006,21.8
Vietnam,2012,16.0
Vietnam,2021,13.6
Yemen,2000,41.0
Yemen,2006,38.8
Yemen,2012,38.4
Yemen,2021,45.1
Zambia,2021,27.5
Zimbabwe,2021,27.5
