Entity,Year,Share of people who are happy (World Value Survey 2014),Share of people who are happy (World Value Survey 2014 - first and last waves)
Lithuania,1998,54.70763,
Macedonia,1998,62.311562,62.31156158
Macedonia,2004,74.691948,74.69194794
Malaysia,2009,94.754372,94.75437164
Malaysia,2014,96.076927,96.07692719
Mali,2009,83.355263,
Mexico,1984,80.677399,80.67739868
Mexico,1993,68.543045,
Mexico,1998,66.116753,
Mexico,2004,91.66124,
Mexico,2009,90.93248,
Mexico,2014,94.25,94.25
Moldova,1998,43.39431,43.39431
Moldova,2004,49.007938,
Moldova,2009,50.191204,50.19120407
Montenegro,1998,69.166664,69.16666412
Montenegro,2004,65.28302,65.28302002
Morocco,2004,79.136696,79.13669586
Morocco,2009,80.900749,
Morocco,2014,78.464111,78.46411133
Netherlands,2009,93.696274,93.6962738
Netherlands,2014,92.429024,92.42902374
New Zealand,1998,94.970665,94.97066498
New Zealand,2009,96.842102,
New Zealand,2014,94.067795,94.0677948
Nigeria,1993,65.434563,65.43456268
Nigeria,1998,84.464554,
Nigeria,2004,91.83976,
Nigeria,2014,83.797607,83.79760742
Norway,1998,94.321213,94.32121277
Norway,2009,96.386719,96.38671875
Pakistan,1998,78.581169,78.58116913
Pakistan,2004,75.599998,
Pakistan,2014,83.889816,83.88981628
Palestine,2014,74.400002,
Peru,1998,62.84063,62.84062958
Peru,2004,66.089272,
Peru,2009,68.050903,
Peru,2014,75.867767,75.86776733
Philippines,1998,92.5,92.5
Philippines,2004,88,
Philippines,2014,89.583328,89.58332825
Poland,1993,87.633263,87.63326263
Poland,1998,85.255852,
Poland,2009,87.099998,
Poland,2014,92.723495,92.72349548
Puerto Rico,1998,90.799652,90.7996521
Puerto Rico,2004,94.027779,94.02777863
Qatar,2014,98.113213,
Romania,1998,56.09362,56.0936203
Romania,2009,55.355133,
Romania,2014,67.778519,67.77851868
Russia,1993,47.220806,47.22080612
Russia,1998,50.196083,
Russia,2009,67.062904,
Russia,2014,73.180542,73.18054199
Rwanda,2009,85.56221,85.56221008
Rwanda,2014,90.438774,90.43877411
Saudi Arabia,2004,91.344872,
Serbia,1998,69.921875,69.921875
Serbia,2004,73.5,73.5
Serbia and Montenegro,2009,62.520592,
Singapore,2004,94.90741,94.90740967
Singapore,2014,92.748482,92.74848175
Slovakia,1993,52.043007,52.0430069
Slovakia,1998,71.415527,71.41552734
Slovenia,1998,73.783516,73.78351593
Slovenia,2009,80.07737,
Slovenia,2014,83.646622,83.6466217
South Africa,1984,81.928482,81.92848206
South Africa,1993,75.654739,
South Africa,1998,78.33049,
South Africa,2004,81.900002,
South Africa,2009,80.62249,
South Africa,2014,77.42849,77.42848969
South Korea,1993,75.582329,
South Korea,1998,88.791031,
South Korea,2004,87.666664,
South Korea,2009,87.416664,
South Korea,2014,89.741447,
Spain,1993,83.44371,83.44371033
Spain,1998,86.540047,
Spain,2004,86.683205,
Spain,2009,92.301254,
Spain,2014,86.122795,86.1227951
Sweden,1998,93.954407,93.95440674
Sweden,2009,96.103897,
Sweden,2014,95.261848,95.26184845
Switzerland,1993,93.285713,93.2857132
Switzerland,1998,94.719467,
Switzerland,2009,93.775261,93.77526093
Taiwan,1998,90.874031,90.87403107
Taiwan,2009,85.656067,
Taiwan,2014,89.959511,89.9595108
Tanzania,2004,93.965515,
Thailand,2009,92.679741,92.67974091
Thailand,2014,93.083336,93.08333588
Trinidad and Tobago,2009,85.528938,85.52893829
Trinidad and Tobago,2014,87.987991,87.98799133
Tunisia,2014,79.253113,
Turkey,1993,81.067963,81.06796265
Turkey,1998,89.82695,
Turkey,2004,76.56572,
Turkey,2009,85.735512,
Turkey,2014,84.375,84.375
Uganda,2004,77.644714,
Ukraine,1998,45.891144,45.8911438
Ukraine,2009,77.162971,
Ukraine,2014,68.300873,68.3008728
United Kingdom,1998,90.210434,90.21043396
United Kingdom,2009,93.269226,93.26922607
United States,1998,93.255516,93.25551605
United States,2004,93.416664,
United States,2009,92.868591,
United States,2014,91.081085,91.08108521
Uruguay,1998,80.299995,80.29999542
Uruguay,2009,86.331657,
Uruguay,2014,86.345383,86.34538269
Uzbekistan,2014,96.517082,
Venezuela,1998,92.666664,92.66666412
Venezuela,2004,86.333336,86.33333588
Vietnam,2004,91.399994,91.3999939
Vietnam,2009,91.873741,91.87374115
Yemen,2014,72.099998,
Zambia,2009,52.474575,
Zimbabwe,2004,56.387226,56.3872261
Zimbabwe,2014,82.133331,82.1333313
