Entity,Year,Renewable electricity (% electricity production) (World Bank (2015))
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,0
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1996,0
Antigua and Barbuda,1997,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,0
Antigua and Barbuda,2001,0
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,0
Antigua and Barbuda,2004,0
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,0
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2010,0
Antigua and Barbuda,2011,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Argentina,1990,35.4414663
Argentina,1991,30.4365664
Argentina,1992,34.87052844
Argentina,1993,38.93400026
Argentina,1994,42.60157812
Argentina,1995,40.21338506
Argentina,1996,33.39982206
Argentina,1997,39.38698166
Argentina,1998,36.39004486
Argentina,1999,27.29441883
Argentina,2000,33.15937465
Argentina,2001,41.82988404
Argentina,2002,43.56387577
Argentina,2003,37.95175486
Argentina,2004,31.63480258
Argentina,2005,33.52513485
Argentina,2006,37.1276984
Argentina,2007,29.84220081
Argentina,2008,26.3437058
Argentina,2009,28.92740262
Argentina,2010,28.5854562
Argentina,2011,32.30597044
Argentina,2012,29.26113532
Argentina,2013,31.53961673
Argentina,2014,31.53617443
Armenia,1990,15.00675545
Armenia,1991,16.24632198
Armenia,1992,33.8071968
Armenia,1993,68.19698173
Armenia,1994,62.1067515
Armenia,1995,34.50818198
Armenia,1996,25.29771484
Armenia,1997,23.05523304
Armenia,1998,24.82636085
Armenia,1999,20.99002974
Armenia,2000,21.16482041
Armenia,2001,16.84943429
Armenia,2002,30.04167422
Armenia,2003,36.02981276
Armenia,2004,33.13432836
Armenia,2005,28.06712047
Armenia,2006,30.71873422
Armenia,2007,31.46829434
Armenia,2008,31.17850953
Armenia,2009,35.67272086
Armenia,2010,39.48544138
Armenia,2011,33.5397039
Armenia,2012,28.94474863
Armenia,2013,28.23605707
Armenia,2014,25.75483871
Aruba,1990,0
Aruba,1991,0
Aruba,1992,0
Aruba,1993,0
Aruba,1994,0
Aruba,1995,0
Aruba,1996,0
Aruba,1997,0
Aruba,1998,0
Aruba,1999,0
Aruba,2000,0
Aruba,2001,0
Aruba,2002,0
Aruba,2003,0
Aruba,2004,0
Aruba,2005,0
Aruba,2006,0
Aruba,2007,0
Aruba,2008,0
Aruba,2009,0
Aruba,2010,11.32737715
Aruba,2011,12.10102096
Aruba,2012,14.91525424
Aruba,2013,14.91218619
Aruba,2014,15.09927995
Australia,1990,9.656030644
Australia,1991,10.59820105
Australia,1992,10.06686525
Australia,1993,10.54914357
Australia,1994,10.19447386
Australia,1995,9.62414282
Australia,1996,9.229727824
Australia,1997,9.587675727
Australia,1998,8.434050016
Australia,1999,8.544053588
Australia,2000,8.381618572
Australia,2001,8.098454953
Australia,2002,7.860918822
Australia,2003,8.390527478
Australia,2004,8.138506641
Australia,2005,8.803706639
Australia,2006,9.299307773
Australia,2007,8.648072467
Australia,2008,8.115257556
Australia,2009,7.480085409
Australia,2010,8.611879628
Australia,2011,10.42665228
Australia,2012,10.59265336
Australia,2013,13.26410839
Australia,2014,14.90671221
Austria,1990,66.20212593
Austria,1991,65.06247384
Austria,1992,72.39632351
Austria,1993,74.06708065
Austria,1994,70.8027096
Austria,1995,70.50636123
Austria,1996,66.80479337
Austria,1997,67.91595582
Austria,1998,69.81040959
Austria,1999,70.67895053
Austria,2000,72.54400909
Austria,2001,69.15682775
Austria,2002,69.01294765
Austria,2003,60.78282872
Austria,2004,64.20223413
Austria,2005,63.38874581
Austria,2006,66.00428348
Austria,2007,69.21516642
Austria,2008,69.25627518
Austria,2009,71.14076755
Austria,2010,66.21229741
Austria,2011,65.63092141
Austria,2012,74.52638012
Austria,2013,78.02061536
Austria,2014,81.12833834
Azerbaijan,1990,7.161368348
Azerbaijan,1991,7.496801706
Azerbaijan,1992,8.83975105
Azerbaijan,1993,12.73423967
Azerbaijan,1994,10.40919697
Azerbaijan,1995,9.129312368
Azerbaijan,1996,9.000994908
Azerbaijan,1997,10.16868615
Azerbaijan,1998,10.84009334
Azerbaijan,1999,8.285651408
Azerbaijan,2000,8.203647254
Azerbaijan,2001,6.858197153
Azerbaijan,2002,10.80156141
Azerbaijan,2003,11.59917317
Azerbaijan,2004,12.67016188
Azerbaijan,2005,13.15582371
Azerbaijan,2006,10.25954447
Azerbaijan,2007,10.82070765
Azerbaijan,2008,10.31280322
Azerbaijan,2009,12.24295103
Azerbaijan,2010,18.42330305
Azerbaijan,2011,13.1861634
Azerbaijan,2012,7.921524274
Azerbaijan,2013,6.67123405
Azerbaijan,2014,5.629246199
Bahamas,1990,0
Bahamas,1991,0
Bahamas,1992,0
Bahamas,1993,0
Bahamas,1994,0
Bahamas,1995,0
Bahamas,1996,0
Bahamas,1997,0
Bahamas,1998,0
Bahamas,1999,0
Bahamas,2000,0
Bahamas,2001,0
Bahamas,2002,0
Bahamas,2003,0
Bahamas,2004,0
Bahamas,2005,0
Bahamas,2006,0
Bahamas,2007,0
Bahamas,2008,0
Bahamas,2009,0
Bahamas,2010,0
Bahamas,2011,0
Bahamas,2012,0
Bahamas,2013,0
Bahamas,2014,0
Bahrain,1990,0
Bahrain,1991,0
Bahrain,1992,0
Bahrain,1993,0
Bahrain,1994,0
Bahrain,1995,0
Bahrain,1996,0
Bahrain,1997,0
Bahrain,1998,0
Bahrain,1999,0
Bahrain,2000,0
Bahrain,2001,0
Bahrain,2002,0
Bahrain,2003,0
Bahrain,2004,0
Bahrain,2005,0
Bahrain,2006,0
Bahrain,2007,0
Bahrain,2008,0
Bahrain,2009,0
Bahrain,2010,0
Bahrain,2011,0
Bahrain,2012,0
Bahrain,2013,0
Bahrain,2014,0
Bangladesh,1990,11.43300569
Bangladesh,1991,10.13301088
Bangladesh,1992,8.949853834
Bangladesh,1993,6.604388442
Bangladesh,1994,8.656991006
Bangladesh,1995,3.442531927
Bangladesh,1996,6.440648423
Bangladesh,1997,6.063417102
Bangladesh,1998,6.714795839
Bangladesh,1999,5.764705882
Bangladesh,2000,4.749223258
Bangladesh,2001,5.709521619
Bangladesh,2002,4.012858291
Bangladesh,2003,3.799715909
Bangladesh,2004,3.034477171
Bangladesh,2005,2.832079253
Bangladesh,2006,2.536317768
Bangladesh,2007,2.415739397
Bangladesh,2008,2.776316559
Bangladesh,2009,1.121661242
Bangladesh,2010,1.787202746
Bangladesh,2011,1.974950739
Bangladesh,2012,1.600016474
Bangladesh,2013,1.946536145
Bangladesh,2014,1.319724237
Barbados,1990,0
Barbados,1991,0
Barbados,1992,0
Barbados,1993,0
Barbados,1994,0
Barbados,1995,0
Barbados,1996,0
Barbados,1997,0
Barbados,1998,0
Barbados,1999,0
Barbados,2000,0
Barbados,2001,0
Barbados,2002,0
Barbados,2003,0
Barbados,2004,0
Barbados,2005,0
Barbados,2006,0
Barbados,2007,0
Barbados,2008,0
Barbados,2009,0
Barbados,2010,0
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Barbados,2014,0
Belarus,1990,0.050599605
Belarus,1991,0.046469601
Belarus,1992,0.045218779
Belarus,1993,0.056939075
Belarus,1994,0.060515336
Belarus,1995,0.080263264
Belarus,1996,0.067430883
Belarus,1997,0.080592547
Belarus,1998,0.119189511
Belarus,1999,0.07165485
Belarus,2000,0.103444312
Belarus,2001,0.11969836
Belarus,2002,0.109615966
Belarus,2003,0.10515642
Belarus,2004,0.108939442
Belarus,2005,0.119505184
Belarus,2006,0.119455534
Belarus,2007,0.157089447
Belarus,2008,0.20828578
Belarus,2009,0.345667632
Belarus,2010,0.37254621
Belarus,2011,0.428571429
Belarus,2012,0.555212832
Belarus,2013,0.844256832
Belarus,2014,0.722614078
Belgium,1990,0.789563535
Belgium,1991,0.752957042
Belgium,1992,0.864024646
Belgium,1993,0.723582805
Belgium,1994,0.841031104
Belgium,1995,0.908645737
Belgium,1996,0.746626208
Belgium,1997,0.755191945
Belgium,1998,0.924763935
Belgium,1999,1.019600317
Belgium,2000,1.261280852
Belgium,2001,1.36737134
Belgium,2002,1.405997109
Belgium,2003,1.426502794
Belgium,2004,1.774684955
Belgium,2005,2.457151524
Belgium,2006,3.499786598
Belgium,2007,3.982725528
Belgium,2008,5.285763852
Belgium,2009,6.056388215
Belgium,2010,6.920806113
Belgium,2011,9.410879188
Belgium,2012,12.81287904
Belgium,2013,14.14404439
Belgium,2014,17.03029879
Belize,1990,0
Belize,1991,0
Belize,1992,0
Belize,1993,0
Belize,1994,0
Belize,1995,27.02702703
Belize,1996,40.13157895
Belize,1997,41.31736527
Belize,1998,41.50943396
Belize,1999,45.50898204
Belize,2000,70.0729927
Belize,2001,69.0647482
Belize,2002,67.14285714
Belize,2003,40.96385542
Belize,2004,43.07814788
Belize,2005,44.14180275
Belize,2006,84.77177737
Belize,2007,82.2754469
Belize,2008,94.74758595
Belize,2009,79.29142145
Belize,2010,63.38095209
Belize,2011,62.94159847
Belize,2012,49.19400582
Belize,2013,55.81301319
Belize,2014,50.70547537
Benin,1990,0
Benin,1991,0
Benin,1992,0
Benin,1993,0
Benin,1994,0
Benin,1995,0
Benin,1996,0
Benin,1997,3.389830508
Benin,1998,2.53164557
Benin,1999,2.777777778
Benin,2000,2.380952381
Benin,2001,3.03030303
Benin,2002,3.174603175
Benin,2003,2.5
Benin,2004,1.234567901
Benin,2005,0.934579439
Benin,2006,2.597402597
Benin,2007,1.363636364
Benin,2008,1.310043668
Benin,2009,0.78125
Benin,2010,0.666666667
Benin,2011,0.64516129
Benin,2012,0.617283951
Benin,2013,0.578034682
Benin,2014,0.543478261
Bermuda,1990,0
Bermuda,1991,0
Bermuda,1992,0
Bermuda,1993,0
Bermuda,1994,0
Bermuda,1995,0
Bermuda,1996,0
Bermuda,1997,0
Bermuda,1998,0
Bermuda,1999,0
Bermuda,2000,0
Bermuda,2001,0
Bermuda,2002,0
Bermuda,2003,0
Bermuda,2004,0
Bermuda,2005,0
Bermuda,2006,0
Bermuda,2007,0
Bermuda,2008,0
Bermuda,2009,0
Bermuda,2010,0
Bermuda,2011,0
Bermuda,2012,0
Bermuda,2013,0
Bermuda,2014,0
Bhutan,1990,99.55242967
Bhutan,1991,99.74424552
Bhutan,1992,99.93606138
Bhutan,1993,99.94061758
Bhutan,1994,99.94068802
Bhutan,1995,100
Bhutan,1996,100
Bhutan,1997,100
Bhutan,1998,100
Bhutan,1999,100
Bhutan,2000,100
Bhutan,2001,99.97814898
Bhutan,2002,99.95865347
Bhutan,2003,99.91696651
Bhutan,2004,99.92356039
Bhutan,2005,99.94334278
Bhutan,2006,99.96018404
Bhutan,2007,99.96952149
Bhutan,2008,99.99856345
Bhutan,2009,99.99857104
Bhutan,2010,99.99590628
Bhutan,2011,99.99575522
Bhutan,2012,99.99707033
Bhutan,2013,99.99345562
Bhutan,2014,99.99286108
Bolivia,1990,52.44482908
Bolivia,1991,58.87521968
Bolivia,1992,54.14593698
Bolivia,1993,58.27989438
Bolivia,1994,48.15864023
Bolivia,1995,43.3256045
Bolivia,1996,45.46016059
Bolivia,1997,46.45737327
Bolivia,1998,43.2884097
Bolivia,1999,47.35892811
Bolivia,2000,51.52061856
Bolivia,2001,54.84924623
Bolivia,2002,53.94359465
Bolivia,2003,47.11449677
Bolivia,2004,48.70661066
Bolivia,2005,41.25816993
Bolivia,2006,41.86792453
Bolivia,2007,41.69863969
Bolivia,2008,41.37871755
Bolivia,2009,39.48701193
Bolivia,2010,33.95307658
Bolivia,2011,34.1966759
Bolivia,2012,32.3064874
Bolivia,2013,32.17606944
Bolivia,2014,28.00685323
Bosnia and Herzegovina,1990,20.89939858
Bosnia and Herzegovina,1991,37.27239753
Bosnia and Herzegovina,1992,52.22988506
Bosnia and Herzegovina,1993,71.14517583
Bosnia and Herzegovina,1994,81.50329877
Bosnia and Herzegovina,1995,82.77664167
Bosnia and Herzegovina,1996,70.24523161
Bosnia and Herzegovina,1997,53.10895608
Bosnia and Herzegovina,1998,50.20381183
Bosnia and Herzegovina,1999,54.48099271
Bosnia and Herzegovina,2000,48.84456803
Bosnia and Herzegovina,2001,48.70276368
Bosnia and Herzegovina,2002,48.84561892
Bosnia and Herzegovina,2003,39.95206817
Bosnia and Herzegovina,2004,46.97517285
Bosnia and Herzegovina,2005,47.59561974
Bosnia and Herzegovina,2006,44.00781426
Bosnia and Herzegovina,2007,33.95281738
Bosnia and Herzegovina,2008,32.83410915
Bosnia and Herzegovina,2009,39.82001532
Bosnia and Herzegovina,2010,46.86989021
Bosnia and Herzegovina,2011,28.71073298
Bosnia and Herzegovina,2012,29.93182787
Bosnia and Herzegovina,2013,41.46467251
Bosnia and Herzegovina,2014,36.72648515
Botswana,1990,0
Botswana,1991,0
Botswana,1992,0
Botswana,1993,0
Botswana,1994,0
Botswana,1995,0
Botswana,1996,0
Botswana,1997,0
Botswana,1998,0
Botswana,1999,0
Botswana,2000,0
Botswana,2001,0
Botswana,2002,0
Botswana,2003,0
Botswana,2004,0
Botswana,2005,0
Botswana,2006,0
Botswana,2007,0
Botswana,2008,0
Botswana,2009,0
Botswana,2010,0
Botswana,2011,0
Botswana,2012,0
Botswana,2013,0.052438385
Botswana,2014,0.042319086
Brazil,1990,94.50051835
Brazil,1991,94.62575253
Brazil,1992,94.41943971
Brazil,1993,95.2547068
Brazil,1994,95.40533993
Brazil,1995,94.1574958
Brazil,1996,93.56113404
Brazil,1997,92.97783637
Brazil,1998,92.92334373
Brazil,1999,90.03692683
Brazil,2000,89.49270586
Brazil,2001,84.28744505
Brazil,2002,85.738173
Brazil,2003,87.16360313
Brazil,2004,86.03211228
Brazil,2005,87.12462751
Brazil,2006,86.74765165
Brazil,2007,88.21467965
Brazil,2008,84.26642365
Brazil,2009,88.99577577
Brazil,2010,84.72423388
Brazil,2011,87.120997
Brazil,2012,82.4482831
Brazil,2013,76.68888157
Brazil,2014,73.08120793
Brunei,1990,0
Brunei,1991,0
Brunei,1992,0
Brunei,1993,0
Brunei,1994,0
Brunei,1995,0
Brunei,1996,0
Brunei,1997,0
Brunei,1998,0
Brunei,1999,0
Brunei,2000,0
Brunei,2001,0
Brunei,2002,0
Brunei,2003,0
Brunei,2004,0
Brunei,2005,0
Brunei,2006,0
Brunei,2007,0
Brunei,2008,0
Brunei,2009,0
Brunei,2010,0
Brunei,2011,0.053691275
Brunei,2012,0.050890585
Brunei,2013,0.045433894
Brunei,2014,0.044385264
Bulgaria,1990,4.456467573
Bulgaria,1991,5.973765357
Bulgaria,1992,5.793316484
Bulgaria,1993,5.11092981
Bulgaria,1994,3.849684001
Bulgaria,1995,5.537342363
Bulgaria,1996,6.83350501
Bulgaria,1997,6.461603435
Bulgaria,1998,7.465708845
Bulgaria,1999,7.241116284
Bulgaria,2000,6.57629287
Bulgaria,2001,3.989984839
Bulgaria,2002,5.202874149
Bulgaria,2003,7.156019656
Bulgaria,2004,7.649785159
Bulgaria,2005,9.874465569
Bulgaria,2006,9.357830425
Bulgaria,2007,6.802990428
Bulgaria,2008,6.643638974
Bulgaria,2009,8.772799132
Bulgaria,2010,12.57796032
Bulgaria,2011,7.866381465
Bulgaria,2012,11.43648425
Bulgaria,2013,16.07885022
Bulgaria,2014,15.74360176
Burkina Faso,1990,4.891304348
Burkina Faso,1991,6.701030928
Burkina Faso,1992,9.950248756
Burkina Faso,1993,21.86046512
Burkina Faso,1994,33.7962963
Burkina Faso,1995,38.69905311
Burkina Faso,1996,26.98354662
Burkina Faso,1997,20.08491182
Burkina Faso,1998,23.15882875
Burkina Faso,1999,34.64851348
Burkina Faso,2000,25.17930328
Burkina Faso,2001,14.71956224
Burkina Faso,2002,17.49383055
Burkina Faso,2003,21.56995052
Burkina Faso,2004,21.4451722
Burkina Faso,2005,19.46542708
Burkina Faso,2006,14.62212486
Burkina Faso,2007,18.1372549
Burkina Faso,2008,21.94058767
Burkina Faso,2009,18.90540154
Burkina Faso,2010,20.78542367
Burkina Faso,2011,15.45574637
Burkina Faso,2012,15.44117647
Burkina Faso,2013,14.43820994
Burkina Faso,2014,10.39954205
Burundi,1990,98.18181818
Burundi,1991,98.52941176
Burundi,1992,98.13084112
Burundi,1993,98.1981982
Burundi,1994,98.29059829
Burundi,1995,98.33333333
Burundi,1996,98.33333333
Burundi,1997,98.36065574
Burundi,1998,98.21428571
Burundi,1999,98
Burundi,2000,98.01980198
Burundi,2001,98.29059829
Burundi,2002,98.45320959
Burundi,2003,98.06763285
Burundi,2004,97.86324786
Burundi,2005,98.04496579
Burundi,2006,97.90136411
Burundi,2007,98.32578542
Burundi,2008,98.24236086
Burundi,2009,96.39363748
Burundi,2010,87.65339961
Burundi,2011,90.85730884
Burundi,2012,97.9618194
Burundi,2013,87.02056925
Burundi,2014,80.71878883
Cambodia,1995,0
Cambodia,1996,0
Cambodia,1997,0
Cambodia,1998,0
Cambodia,1999,0
Cambodia,2000,0.223214286
Cambodia,2001,0.196463654
Cambodia,2002,4.120879121
Cambodia,2003,6.422018349
Cambodia,2004,5.036855037
Cambodia,2005,6.12033195
Cambodia,2006,5.527210884
Cambodia,2007,4.36534587
Cambodia,2008,4.192021636
Cambodia,2009,4.617834395
Cambodia,2010,4.929577465
Cambodia,2011,6.457739791
Cambodia,2012,37.65690377
Cambodia,2013,57.93025872
Cambodia,2014,61.09839817
Cameroon,1990,98.47979236
Cameroon,1991,98.56088561
Cameroon,1992,98.72122762
Cameroon,1993,98.94067797
Cameroon,1994,98.82352941
Cameroon,1995,98.85098743
Cameroon,1996,98.86246122
Cameroon,1997,98.84910486
Cameroon,1998,98.35858586
Cameroon,1999,98.75592417
Cameroon,2000,98.90804598
Cameroon,2001,98.10787913
Cameroon,2002,96.42424242
Cameroon,2003,95.76547231
Cameroon,2004,95.37712895
Cameroon,2005,94.20579421
Cameroon,2006,88.81707795
Cameroon,2007,74.82357429
Cameroon,2008,75.8493223
Cameroon,2009,70.67266125
Cameroon,2010,73.21579929
Cameroon,2011,75.01261989
Cameroon,2012,72.85835454
Cameroon,2013,69.6194332
Cameroon,2014,74.25599538
Canada,1990,62.37871882
Canada,1991,61.41041299
Canada,1992,61.67921442
Canada,1993,61.72232798
Canada,1994,60.40045134
Canada,1995,61.00409818
Canada,1996,63.10607423
Canada,1997,62.35094142
Canada,1998,60.40605432
Canada,1999,61.18370484
Canada,2000,60.60030119
Canada,2001,58.03265624
Canada,2002,59.88641921
Canada,2003,58.91556496
Canada,2004,58.44631709
Canada,2005,59.43284523
Canada,2006,59.43601725
Canada,2007,60.04869016
Canada,2008,61.29461264
Canada,2009,62.70043795
Canada,2010,61.44132653
Canada,2011,62.26869274
Canada,2012,62.72577867
Canada,2013,63.01787239
Canada,2014,62.79930012
Cape Verde,1990,0
Cape Verde,1991,0
Cape Verde,1992,0
Cape Verde,1993,2.857142857
Cape Verde,1994,6.801007557
Cape Verde,1995,7.56302521
Cape Verde,1996,8.059023837
Cape Verde,1997,7.725321888
Cape Verde,1998,7.480314961
Cape Verde,1999,6.650750341
Cape Verde,2000,5.395437782
Cape Verde,2001,3.889191314
Cape Verde,2002,3.107329124
Cape Verde,2003,2.689706987
Cape Verde,2004,2.925253628
Cape Verde,2005,2.72083017
Cape Verde,2006,2.953084068
Cape Verde,2007,2.548881386
Cape Verde,2008,1.921199442
Cape Verde,2009,1.505702931
Cape Verde,2010,1.182578598
Cape Verde,2011,6.722666083
Cape Verde,2012,18.36674843
Cape Verde,2013,20.55760334
Cape Verde,2014,17.29165138
Cayman Islands,1990,0
Cayman Islands,1991,0
Cayman Islands,1992,0
Cayman Islands,1993,0
Cayman Islands,1994,0
Cayman Islands,1995,0
Cayman Islands,1996,0
Cayman Islands,1997,0
Cayman Islands,1998,0
Cayman Islands,1999,0
Cayman Islands,2000,0
Cayman Islands,2001,0
Cayman Islands,2002,0
Cayman Islands,2003,0
Cayman Islands,2004,0
Cayman Islands,2005,0
Cayman Islands,2006,0
Cayman Islands,2007,0
Cayman Islands,2008,0
Cayman Islands,2009,0
Cayman Islands,2010,0
Cayman Islands,2011,0
Cayman Islands,2012,0
Cayman Islands,2013,0
Cayman Islands,2014,0
Central African Republic,1990,81.05263158
Central African Republic,1991,80.85106383
Central African Republic,1992,81.25
Central African Republic,1993,80.41237113
Central African Republic,1994,79.20792079
Central African Republic,1995,79.41176471
Central African Republic,1996,78.84615385
Central African Republic,1997,78.84615385
Central African Republic,1998,78.84615385
Central African Republic,1999,78.5046729
Central African Republic,2000,78.5046729
Central African Republic,2001,76.85185185
Central African Republic,2002,76.85185185
Central African Republic,2003,76.36363636
Central African Republic,2004,83.33333333
Central African Republic,2005,83.75
Central African Republic,2006,83.83233533
Central African Republic,2007,85.0931677
Central African Republic,2008,85.0931677
Central African Republic,2009,85
Central African Republic,2010,84.375
Central African Republic,2011,84.48275862
Central African Republic,2012,84.74576271
Central African Republic,2013,85.63535912
Central African Republic,2014,85.79234973
Chad,1990,0
Chad,1991,0
Chad,1992,0
Chad,1993,0
Chad,1994,0
Chad,1995,0
Chad,1996,0
Chad,1997,0
Chad,1998,0
Chad,1999,0
Chad,2000,0
Chad,2001,0
Chad,2002,0
Chad,2003,0
Chad,2004,0
Chad,2005,0
Chad,2006,0
Chad,2007,0
Chad,2008,0
Chad,2009,0
Chad,2010,0
Chad,2011,0
Chad,2012,0
Chad,2013,0
Chad,2014,0
Chile,1990,53.8373612
Chile,1991,70.97339813
Chile,1992,82.69462952
Chile,1993,81.6647919
Chile,1994,74.26514222
Chile,1995,72.40518072
Chile,1996,60.45293333
Chile,1997,62.13472685
Chile,1998,48.17088625
Chile,1999,38.03073717
Chile,2000,48.54783173
Chile,2001,54.26159742
Chile,2002,55.45098578
Chile,2003,50.15695402
Chile,2004,46.90087486
Chile,2005,53.88308818
Chile,2006,55.25488069
Chile,2007,44.15559999
Chile,2008,45.74902854
Chile,2009,48.8274431
Chile,2010,40.202535
Chile,2011,39.59642689
Chile,2012,36.44535562
Chile,2013,35.66687196
Chile,2014,41.18069968
China,1990,20.40793989
China,1991,18.47113079
China,1992,17.58457438
China,1993,18.12526017
China,1994,18.0884357
China,1995,19.2141393
China,1996,17.55221062
China,1997,17.51246602
China,1998,18.06115632
China,1999,16.68146593
China,2000,16.63949819
China,2001,18.95851917
China,2002,17.6186279
China,2003,15.03704033
China,2004,16.22326642
China,2005,16.17502498
China,2006,15.59278342
China,2007,15.26456598
China,2008,17.73787669
China,2009,17.8637982
China,2010,18.62163478
China,2011,16.76177043
China,2012,19.96623288
China,2013,20.29622738
China,2014,22.60980683
Colombia,1990,76.38419011
Colombia,1991,75.68261692
Colombia,1992,68.66500729
Colombia,1993,73.25397443
Colombia,1994,78.49259823
Colombia,1995,76.4046259
Colombia,1996,82.99202066
Colombia,1997,71.64443448
Colombia,1998,69.74630822
Colombia,1999,79.86081921
Colombia,2000,75.52463768
Colombia,2001,74.33819806
Colombia,2002,76.50415168
Colombia,2003,78.788595
Colombia,2004,81.65087793
Colombia,2005,80.16965652
Colombia,2006,80.60076258
Colombia,2007,81.53339128
Colombia,2008,84.01086918
Colombia,2009,72.87791562
Colombia,2010,72.12069198
Colombia,2011,83.46528973
Colombia,2012,79.5501941
Colombia,2013,73.9990498
Colombia,2014,74.24771167
Comoros,1990,0
Comoros,1991,0
Comoros,1992,0
Comoros,1993,0
Comoros,1994,0
Comoros,1995,0
Comoros,1996,0
Comoros,1997,0
Comoros,1998,0
Comoros,1999,0
Comoros,2000,0
Comoros,2001,0
Comoros,2002,0
Comoros,2003,0
Comoros,2004,0
Comoros,2005,0
Comoros,2006,0
Comoros,2007,0
Comoros,2008,0
