Entity,Year,Primary enrolment data available at last cutoff (GEM Report (2017/18)),Existence of nationally representative learning assessment in grades 2 or 3 of primary education (GEM Report (2017/18)),Existence of nationally representative learning assessment at the end of primary education (GEM Report (2017/18))
Fiji,2017,Yes,,
Finland,2015,,Yes,Yes
Finland,2017,Yes,,
France,2015,,Yes,Yes
France,2017,Yes,,
Gabon,2015,,No,No
Gabon,2017,No,,
Gambia,2015,,Yes,Yes
Gambia,2017,Yes,,
Georgia,2015,,Yes,No
Georgia,2017,Yes,,
Germany,2015,,Yes,Yes
Germany,2017,Yes,,
Ghana,2015,,Yes,Yes
Ghana,2017,Yes,,
Greece,2017,Yes,,
Grenada,2017,Yes,,
Guatemala,2015,,Yes,Yes
Guatemala,2017,Yes,,
Guinea,2015,,Yes,Yes
Guinea,2017,Yes,,
Guinea-Bissau,2015,,Yes,No
Guinea-Bissau,2017,No,,
Guyana,2015,,Yes,Yes
Guyana,2017,No,,
Haiti,2017,No,,
Honduras,2015,,Yes,Yes
Honduras,2017,Yes,,
Hong Kong,2015,,Yes,
Hong Kong,2017,Yes,,
Hungary,2015,,No,Yes
Hungary,2017,Yes,,
Iceland,2015,,Yes,Yes
Iceland,2017,Yes,,
India,2015,,Yes,Yes
India,2017,Yes,,
Indonesia,2015,,Yes,No
Indonesia,2017,Yes,,
Iran,2015,,Yes,No
Iran,2017,Yes,,
Iraq,2017,No,,
Ireland,2015,,Yes,Yes
Ireland,2017,Yes,,
Israel,2015,,Yes,Yes
Israel,2017,Yes,,
Italy,2015,,Yes,Yes
Italy,2017,Yes,,
Jamaica,2015,,Yes,Yes
Jamaica,2017,Yes,,
Japan,2015,,Yes,Yes
Japan,2017,Yes,,
Jordan,2015,,Yes,Yes
Jordan,2017,Yes,,
Kazakhstan,2015,,No,Yes
Kazakhstan,2017,Yes,,
Kenya,2015,,Yes,No
Kenya,2017,Yes,,
Kiribati,2015,,Yes,Yes
Kiribati,2017,Yes,,
Kuwait,2015,,No,Yes
Kuwait,2017,Yes,,
Kyrgyzstan,2015,,No,No
Kyrgyzstan,2017,Yes,,
Laos,2015,,Yes,No
Laos,2017,Yes,,
Latvia,2015,,Yes,Yes
Latvia,2017,Yes,,
Lebanon,2015,,Yes,Yes
Lebanon,2017,Yes,,
Lesotho,2015,,Yes,Yes
Lesotho,2017,Yes,,
Liberia,2015,,Yes,No
Liberia,2017,Yes,,
Libya,2017,No,,
Liechtenstein,2017,Yes,,
Lithuania,2015,,No,Yes
Lithuania,2017,Yes,,
Luxembourg,2015,,Yes,No
Luxembourg,2017,Yes,,
Macao,2017,Yes,,
Macedonia,2015,,No,No
Macedonia,2017,Yes,,
Madagascar,2015,,Yes,Yes
Madagascar,2017,Yes,,
Malawi,2015,,Yes,No
Malawi,2017,Yes,,
Malaysia,2015,,No,No
Malaysia,2017,Yes,,
Maldives,2015,,Yes,Yes
Maldives,2017,Yes,,
Mali,2015,,Yes,Yes
Mali,2017,Yes,,
Malta,2015,,Yes,No
Malta,2017,Yes,,
Marshall Islands,2015,,Yes,Yes
Marshall Islands,2017,Yes,,
Mauritania,2015,,No,No
Mauritania,2017,Yes,,
Mauritius,2015,,No,No
Mauritius,2017,Yes,,
Mexico,2015,,Yes,Yes
Mexico,2017,Yes,,
Micronesia (country),2015,,Yes,Yes
Micronesia (country),2017,Yes,,
Moldova,2017,Yes,,
Monaco,2017,Yes,,
Mongolia,2015,,No,Yes
Mongolia,2017,Yes,,
Montenegro,2015,,Yes,No
Montenegro,2017,Yes,,
Montserrat,2017,Yes,,
Morocco,2015,,Yes,Yes
Morocco,2017,Yes,,
Mozambique,2015,,No,No
Mozambique,2017,Yes,,
Myanmar,2015,,Yes,Yes
Myanmar,2017,Yes,,
Namibia,2015,,No,Yes
Namibia,2017,Yes,,
Nauru,2015,,Yes,Yes
Nauru,2017,Yes,,
Nepal,2015,,Yes,Yes
Nepal,2017,Yes,,
Netherlands,2015,,Yes,Yes
Netherlands,2017,Yes,,
New Zealand,2015,,Yes,No
New Zealand,2017,Yes,,
Nicaragua,2015,,Yes,Yes
Nicaragua,2017,No,,
Niger,2015,,Yes,Yes
Niger,2017,Yes,,
Nigeria,2015,,Yes,Yes
Nigeria,2017,Yes,,
Niue,2015,,Yes,Yes
Niue,2017,Yes,,
North Korea,2017,Yes,,
Norway,2015,,Yes,Yes
Norway,2017,Yes,,
Oman,2015,,Yes,No
Oman,2017,Yes,,
Pakistan,2015,,No,Yes
Pakistan,2017,Yes,,
Palau,2015,,Yes,Yes
Palau,2017,Yes,,
Palestine,2015,,No,Yes
Palestine,2017,Yes,,
Panama,2015,,Yes,Yes
Panama,2017,Yes,,
Papua New Guinea,2015,,Yes,Yes
Papua New Guinea,2017,No,,
Paraguay,2015,,Yes,Yes
Paraguay,2017,No,,
Peru,2015,,Yes,Yes
Peru,2017,Yes,,
Philippines,2015,,Yes,Yes
Philippines,2017,Yes,,
Poland,2015,,Yes,Yes
Poland,2017,Yes,,
Portugal,2015,,Yes,Yes
Portugal,2017,Yes,,
Qatar,2015,,Yes,Yes
Qatar,2017,Yes,,
Romania,2015,,No,Yes
Romania,2017,Yes,,
Russia,2015,,No,Yes
Russia,2017,Yes,,
Rwanda,2015,,Yes,Yes
Rwanda,2017,Yes,,
Saint Kitts and Nevis,2015,,Yes,Yes
Saint Kitts and Nevis,2017,Yes,,
Saint Lucia,2017,Yes,,
Saint Martin (French part),2017,No,,
Saint Vincent and the Grenadines,2017,Yes,,
Samoa,2015,,Yes,Yes
Samoa,2017,Yes,,
San Marino,2017,No,,
Sao Tome and Principe,2015,,No,Yes
Sao Tome and Principe,2017,Yes,,
Saudi Arabia,2015,,Yes,Yes
Saudi Arabia,2017,Yes,,
Senegal,2015,,Yes,Yes
Senegal,2017,Yes,,
Serbia,2015,,No,Yes
Serbia,2017,Yes,,
Seychelles,2015,,No,No
Seychelles,2017,Yes,,
Sierra Leone,2017,Yes,,
Singapore,2015,,Yes,No
Singapore,2017,No,,
Sint Maarten (Dutch part),2017,Yes,,
Slovakia,2015,,No,Yes
Slovakia,2017,Yes,,
Slovenia,2015,,Yes,Yes
Slovenia,2017,Yes,,
Solomon Islands,2015,,Yes,Yes
Solomon Islands,2017,Yes,,
Somalia,2017,No,,
South Africa,2015,,Yes,Yes
South Africa,2017,Yes,,
South Korea,2015,,Yes,Yes
South Korea,2017,Yes,,
South Sudan,2015,,No,Yes
South Sudan,2017,Yes,,
Spain,2015,,Yes,No
Spain,2017,Yes,,
Sri Lanka,2015,,No,Yes
Sri Lanka,2017,Yes,,
Sudan,2015,,No,No
Sudan,2017,Yes,,
Suriname,2017,Yes,,
Swaziland,2015,,No,Yes
Swaziland,2017,Yes,,
Sweden,2015,,Yes,Yes
Sweden,2017,Yes,,
Switzerland,2017,Yes,,
Syria,2015,,No,No
Syria,2017,Yes,,
Tajikistan,2015,,No,Yes
Tajikistan,2017,Yes,,
Tanzania,2015,,Yes,No
Tanzania,2017,Yes,,
Thailand,2015,,Yes,Yes
Thailand,2017,Yes,,
Timor,2015,,No,No
Timor,2017,Yes,,
Togo,2015,,Yes,Yes
Togo,2017,Yes,,
Tokelau,2015,,Yes,Yes
Tokelau,2017,Yes,,
Tonga,2015,,Yes,Yes
Tonga,2017,Yes,,
Trinidad and Tobago,2015,,Yes,Yes
Trinidad and Tobago,2017,No,,
Tunisia,2015,,Yes,Yes
Tunisia,2017,Yes,,
Turkey,2015,,Yes,Yes
Turkey,2017,Yes,,
Turkmenistan,2017,Yes,,
Turks and Caicos Islands,2017,Yes,,
Tuvalu,2015,,Yes,Yes
Tuvalu,2017,Yes,,
Uganda,2015,,Yes,Yes
Uganda,2017,Yes,,
Ukraine,2015,,No,No
Ukraine,2017,Yes,,
United Arab Emirates,2015,,Yes,Yes
United Arab Emirates,2017,Yes,,
United Kingdom,2015,,Yes,Yes
United Kingdom,2017,Yes,,
United States,2015,,Yes,No
United States,2017,Yes,,
Uruguay,2015,,Yes,Yes
Uruguay,2017,Yes,,
Uzbekistan,2015,,No,
Uzbekistan,2017,Yes,,
Vanuatu,2015,,Yes,Yes
Vanuatu,2017,Yes,,
Venezuela,2015,,Yes,Yes
Venezuela,2017,Yes,,
Vietnam,2015,,Yes,Yes
Vietnam,2017,Yes,,
Yemen,2015,,Yes,No
Yemen,2017,Yes,,
Zambia,2015,,No,Yes
Zambia,2017,Yes,,
Zimbabwe,2015,,Yes,No
Zimbabwe,2017,Yes,,
