Entity,Year,UN Population Division (Median Age) (2015)
Brunei,2025,35.5
Brunei,2030,37.79
Brunei,2035,39.98
Brunei,2040,42.06
Brunei,2045,43.87
Brunei,2050,45.37
Brunei,2055,46.36
Brunei,2060,47.43
Brunei,2065,48.44
Brunei,2070,49.2
Brunei,2075,49.7
Brunei,2080,50.01
Brunei,2085,50.17
Brunei,2090,50.36
Brunei,2095,50.63
Brunei,2100,50.91
Bulgaria,1950,27.3
Bulgaria,1955,28.81
Bulgaria,1960,30.42
Bulgaria,1965,32.01
Bulgaria,1970,33.19
Bulgaria,1975,33.74
Bulgaria,1980,34.23
Bulgaria,1985,35.31
Bulgaria,1990,36.57
Bulgaria,1995,38.26
Bulgaria,2000,39.69
Bulgaria,2005,41.13
Bulgaria,2010,42.35
Bulgaria,2015,43.45
Bulgaria,2020,44.69
Bulgaria,2025,45.93
Bulgaria,2030,47.12
Bulgaria,2035,48.27
Bulgaria,2040,49.16
Bulgaria,2045,48.88
Bulgaria,2050,47.82
Bulgaria,2055,47.32
Bulgaria,2060,47.22
Bulgaria,2065,47.12
Bulgaria,2070,46.95
Bulgaria,2075,46.52
Bulgaria,2080,46.04
Bulgaria,2085,45.93
Bulgaria,2090,46.25
Bulgaria,2095,46.68
Bulgaria,2100,47.01
Burkina Faso,1950,19.52
Burkina Faso,1955,19.36
Burkina Faso,1960,19.14
Burkina Faso,1965,18.79
Burkina Faso,1970,18.27
Burkina Faso,1975,17.75
Burkina Faso,1980,17.1
Burkina Faso,1985,16.57
Burkina Faso,1990,16.29
Burkina Faso,1995,16.31
Burkina Faso,2000,16.44
Burkina Faso,2005,16.6
Burkina Faso,2010,16.7
Burkina Faso,2015,17.04
Burkina Faso,2020,17.59
Burkina Faso,2025,18.3
Burkina Faso,2030,19.09
Burkina Faso,2035,19.86
Burkina Faso,2040,20.74
Burkina Faso,2045,21.68
Burkina Faso,2050,22.67
Burkina Faso,2055,23.69
Burkina Faso,2060,24.74
Burkina Faso,2065,25.85
Burkina Faso,2070,26.95
Burkina Faso,2075,28.04
Burkina Faso,2080,29.12
Burkina Faso,2085,30.2
Burkina Faso,2090,31.31
Burkina Faso,2095,32.42
Burkina Faso,2100,33.5
Burundi,1950,19.5
Burundi,1955,18.93
Burundi,1960,18.38
Burundi,1965,17.7
Burundi,1970,17.19
Burundi,1975,17.13
Burundi,1980,17.59
Burundi,1985,17.13
Burundi,1990,16.19
Burundi,1995,15.35
Burundi,2000,15.51
Burundi,2005,16.9
Burundi,2010,17.69
Burundi,2015,17.62
Burundi,2020,17.38
Burundi,2025,17.71
Burundi,2030,18.52
Burundi,2035,19.44
Burundi,2040,20.35
Burundi,2045,21.1
Burundi,2050,21.8
Burundi,2055,22.6
Burundi,2060,23.53
Burundi,2065,24.52
Burundi,2070,25.59
Burundi,2075,26.66
Burundi,2080,27.7
Burundi,2085,28.73
Burundi,2090,29.75
Burundi,2095,30.81
Burundi,2100,31.89
Cambodia,1950,18.74
Cambodia,1955,17.95
Cambodia,1960,17.21
Cambodia,1965,16.66
Cambodia,1970,16.97
Cambodia,1975,17.62
Cambodia,1980,19.08
Cambodia,1985,18.5
Cambodia,1990,17.86
Cambodia,1995,17.28
Cambodia,2000,18.14
Cambodia,2005,20.37
Cambodia,2010,22.71
Cambodia,2015,23.95
Cambodia,2020,25.6
Cambodia,2025,27.14
Cambodia,2030,28.57
Cambodia,2035,29.79
Cambodia,2040,31.29
Cambodia,2045,32.87
Cambodia,2050,34.53
Cambodia,2055,36.26
Cambodia,2060,37.85
Cambodia,2065,39.29
Cambodia,2070,40.51
Cambodia,2075,41.65
Cambodia,2080,42.75
Cambodia,2085,43.84
Cambodia,2090,44.89
Cambodia,2095,45.8
Cambodia,2100,46.54
Cameroon,1950,20.26
Cameroon,1955,20.22
Cameroon,1960,20.08
Cameroon,1965,19.69
Cameroon,1970,19.1
Cameroon,1975,18.39
Cameroon,1980,17.72
Cameroon,1985,17.14
Cameroon,1990,16.83
Cameroon,1995,16.83
Cameroon,2000,17.14
Cameroon,2005,17.53
Cameroon,2010,17.99
Cameroon,2015,18.48
Cameroon,2020,19.06
Cameroon,2025,19.79
Cameroon,2030,20.75
Cameroon,2035,21.78
Cameroon,2040,22.81
Cameroon,2045,23.84
Cameroon,2050,24.89
Cameroon,2055,26.02
Cameroon,2060,27.14
Cameroon,2065,28.25
Cameroon,2070,29.35
Cameroon,2075,30.46
Cameroon,2080,31.57
Cameroon,2085,32.65
Cameroon,2090,33.7
Cameroon,2095,34.74
Cameroon,2100,35.77
Canada,1950,27.71
Canada,1955,27.32
Canada,1960,26.46
Canada,1965,25.51
Canada,1970,26.05
Canada,1975,27.46
Canada,1980,29.19
Canada,1985,31.03
Canada,1990,32.91
Canada,1995,34.76
Canada,2000,36.79
Canada,2005,38.57
Canada,2010,39.68
Canada,2015,40.55
Canada,2020,41.41
Canada,2025,42.46
Canada,2030,43.5
Canada,2035,44.44
Canada,2040,45.37
Canada,2045,45.67
Canada,2050,45.48
Canada,2055,45.51
Canada,2060,45.69
Canada,2065,46
Canada,2070,46.32
Canada,2075,46.58
Canada,2080,46.72
Canada,2085,46.81
Canada,2090,46.97
Canada,2095,47.25
Canada,2100,47.62
Cape Verde,1950,23.01
Cape Verde,1955,21.67
Cape Verde,1960,20.5
Cape Verde,1965,16.74
Cape Verde,1970,15.66
Cape Verde,1975,15.77
Cape Verde,1980,16
Cape Verde,1985,16.98
Cape Verde,1990,16.89
Cape Verde,1995,17.22
Cape Verde,2000,17.78
Cape Verde,2005,19.67
Cape Verde,2010,22.55
Cape Verde,2015,24.48
Cape Verde,2020,26.58
Cape Verde,2025,28.71
Cape Verde,2030,30.84
Cape Verde,2035,32.81
Cape Verde,2040,34.64
Cape Verde,2045,36.52
Cape Verde,2050,38.38
Cape Verde,2055,40.24
Cape Verde,2060,42.03
Cape Verde,2065,43.66
Cape Verde,2070,45.06
Cape Verde,2075,46.09
Cape Verde,2080,46.89
Cape Verde,2085,47.54
Cape Verde,2090,48.1
Cape Verde,2095,48.62
Cape Verde,2100,49.04
Caribbean,1950,20.38
