Entity,Year,"Air pollution death rates (indoor solid fuels) per 100,000- IHME"
Burkina Faso,1990,136.1301052
Burkina Faso,1995,122.0030827
Burkina Faso,2000,109.3686675
Burkina Faso,2005,89.87928741
Burkina Faso,2010,74.11556435
Burkina Faso,2015,70.33286966
Burundi,1990,163.1266437
Burundi,1995,152.1583763
Burundi,2000,126.7100102
Burundi,2005,95.07564828
Burundi,2010,76.3013144
Burundi,2015,75.69766021
Cambodia,1990,107.7068504
Cambodia,1995,96.74219764
Cambodia,2000,80.80761181
Cambodia,2005,67.28849839
Cambodia,2010,58.77726362
Cambodia,2015,52.35477584
Cameroon,1990,102.4304074
Cameroon,1995,102.9779785
Cameroon,2000,103.6986825
Cameroon,2005,90.99562303
Cameroon,2010,81.36337274
Cameroon,2015,69.95223812
Canada,1990,0
Canada,1995,0
Canada,2000,0
Canada,2005,0
Canada,2010,0
Canada,2015,0
Cape Verde,1990,64.97830618
Cape Verde,1995,60.58902945
Cape Verde,2000,53.34044108
Cape Verde,2005,48.63790819
Cape Verde,2010,43.14205726
Cape Verde,2015,34.01050344
Central African Republic,1990,183.091464
Central African Republic,1995,174.0529318
Central African Republic,2000,166.0713111
Central African Republic,2005,156.6685503
Central African Republic,2010,156.0265664
Central African Republic,2015,152.7309651
Chad,1990,134.4063436
Chad,1995,131.7117247
Chad,2000,136.4471158
Chad,2005,119.5640536
Chad,2010,116.0593238
Chad,2015,102.6196172
Chile,1990,14.86228866
Chile,1995,11.67679584
Chile,2000,8.185832121
Chile,2005,5.158286513
Chile,2010,3.366180317
Chile,2015,2.239292371
China,1990,90.28419736
China,1995,82.09863445
China,2000,76.14411879
China,2005,70.3491969
China,2010,54.11179154
China,2015,42.6494109
Colombia,1990,18.86215759
Colombia,1995,16.22120035
Colombia,2000,13.57781002
Colombia,2005,13.32175452
Colombia,2010,13.33185501
Colombia,2015,9.170320118
Comoros,1990,118.6594483
Comoros,1995,102.9927749
Comoros,2000,81.16756799
Comoros,2005,59.24840807
Comoros,2010,52.38372251
Comoros,2015,49.18481573
Congo,1990,129.2310073
Congo,1995,130.9100422
Congo,2000,120.1433595
Congo,2005,95.80772021
Congo,2010,83.93166354
Congo,2015,72.81565922
Costa Rica,1990,15.19445505
Costa Rica,1995,11.36482606
Costa Rica,2000,7.838791498
Costa Rica,2005,5.574796523
Costa Rica,2010,3.702759204
Costa Rica,2015,2.315909842
Cote d'Ivoire,1990,104.7388534
Cote d'Ivoire,1995,114.0089124
Cote d'Ivoire,2000,106.2453724
Cote d'Ivoire,2005,91.38698224
Cote d'Ivoire,2010,81.41136495
Cote d'Ivoire,2015,76.12378104
Croatia,1990,58.64670966
Croatia,1995,48.52969432
Croatia,2000,36.62640811
Croatia,2005,26.29359951
Croatia,2010,21.91837411
Croatia,2015,17.61781605
Cuba,1990,19.9658738
Cuba,1995,34.62554887
Cuba,2000,33.48790342
Cuba,2005,14.45525704
Cuba,2010,6.692177703
Cuba,2015,6.022417438
Cyprus,1990,0
Cyprus,1995,0
Cyprus,2000,0
Cyprus,2005,0
Cyprus,2010,0
Cyprus,2015,0
Czech Republic,1990,11.47963776
Czech Republic,1995,7.43867131
Czech Republic,2000,4.942548185
Czech Republic,2005,3.976985681
Czech Republic,2010,3.606650716
Czech Republic,2015,3.090879181
Democratic Republic of Congo,1990,110.4172203
Democratic Republic of Congo,1995,108.1669354
Democratic Republic of Congo,2000,107.4266736
Democratic Republic of Congo,2005,96.33793961
Democratic Republic of Congo,2010,88.74625783
Democratic Republic of Congo,2015,85.05450678
Denmark,1990,0
Denmark,1995,0
Denmark,2000,0
Denmark,2005,0
Denmark,2010,0
Denmark,2015,0
Djibouti,1990,34.24328461
Djibouti,1995,21.60838631
Djibouti,2000,25.68009659
Djibouti,2005,29.84058519
Djibouti,2010,29.41359417
Djibouti,2015,30.38892173
Dominica,1990,29.71255162
Dominica,1995,21.25740575
Dominica,2000,14.92262818
Dominica,2005,11.05442643
Dominica,2010,8.623767644
Dominica,2015,6.766027218
Dominican Republic,1990,20.25987342
Dominican Republic,1995,14.63513909
Dominican Republic,2000,10.02753052
Dominican Republic,2005,10.67427802
Dominican Republic,2010,9.847287583
Dominican Republic,2015,7.555656339
Ecuador,1990,23.42350344
Ecuador,1995,18.26975495
Ecuador,2000,11.00665832
Ecuador,2005,4.550336598
Ecuador,2010,3.862424273
Ecuador,2015,2.988333836
Egypt,1990,0.048534474
Egypt,1995,0.019591022
Egypt,2000,1.212874031
Egypt,2005,0.130463695
Egypt,2010,0.010676547
Egypt,2015,0.021923005
El Salvador,1990,38.13172807
El Salvador,1995,33.22171106
El Salvador,2000,26.12070239
El Salvador,2005,20.72981588
El Salvador,2010,15.95318317
El Salvador,2015,12.66834297
Equatorial Guinea,1990,201.6310114
Equatorial Guinea,1995,181.9639234
Equatorial Guinea,2000,128.9175707
Equatorial Guinea,2005,90.39366269
Equatorial Guinea,2010,81.38859994
Equatorial Guinea,2015,71.81526162
Eritrea,1990,106.9001737
Eritrea,1995,76.96300163
Eritrea,2000,63.17229127
Eritrea,2005,64.44605533
Eritrea,2010,66.26332179
Eritrea,2015,63.52526834
Estonia,1990,63.77644022
Estonia,1995,66.1640137
Estonia,2000,50.48583262
Estonia,2005,34.97096186
Estonia,2010,19.23343662
Estonia,2015,14.3869911
Ethiopia,1990,158.6742233
Ethiopia,1995,137.8626097
Ethiopia,2000,118.4108783
Ethiopia,2005,96.10940469
Ethiopia,2010,73.69458908
Ethiopia,2015,62.40343209
Fiji,1990,45.61893875
Fiji,1995,43.12732199
Fiji,2000,37.97689569
Fiji,2005,30.44808691
Fiji,2010,24.11921014
Fiji,2015,18.91143038
Finland,1990,0
Finland,1995,0
Finland,2000,0
Finland,2005,0
Finland,2010,0
Finland,2015,0
France,1990,0
France,1995,0
France,2000,0
France,2005,0
France,2010,0
France,2015,0
Gabon,1990,117.487344
Gabon,1995,98.91039226
Gabon,2000,75.9634655
Gabon,2005,53.07183601
Gabon,2010,31.80807107
Gabon,2015,22.51824044
Gambia,1990,97.53201157
Gambia,1995,84.83837009
Gambia,2000,72.12465862
Gambia,2005,66.84110849
Gambia,2010,56.81393668
Gambia,2015,50.35014474
Georgia,1990,103.9183117
Georgia,1995,94.33020605
Georgia,2000,95.09743541
Georgia,2005,97.99944237
Georgia,2010,80.95522062
Georgia,2015,62.16120091
Germany,1990,0
Germany,1995,0
Germany,2000,0
Germany,2005,0
Germany,2010,0
Germany,2015,0
Ghana,1990,90.4100365
Ghana,1995,81.83612372
Ghana,2000,80.42821428
Ghana,2005,82.43782213
Ghana,2010,76.61043783
Ghana,2015,66.53865567
Greece,1990,0
Greece,1995,0
Greece,2000,0
Greece,2005,0
Greece,2010,0
Greece,2015,0
Greenland,1990,0
Greenland,1995,0
Greenland,2000,0
Greenland,2005,0
Greenland,2010,0
Greenland,2015,0
Grenada,1990,39.53260894
Grenada,1995,19.83553811
Grenada,2000,11.99739563
Grenada,2005,7.408944657
Grenada,2010,5.447658623
Grenada,2015,4.275073661
Guam,1990,2.060620136
Guam,1995,1.654934022
Guam,2000,1.679782872
Guam,2005,1.77156453
Guam,2010,1.90114406
Guam,2015,1.683342271
Guatemala,1990,65.07736398
Guatemala,1995,59.65207238
Guatemala,2000,54.81498665
Guatemala,2005,45.27619458
Guatemala,2010,35.57646996
Guatemala,2015,27.49721461
Guinea,1990,169.7800006
Guinea,1995,150.1165796
Guinea,2000,135.0352191
Guinea,2005,114.132755
Guinea,2010,104.1739946
Guinea,2015,98.41548745
Guinea-Bissau,1990,149.974192
Guinea-Bissau,1995,137.3012201
Guinea-Bissau,2000,130.5441721
Guinea-Bissau,2005,129.8607327
Guinea-Bissau,2010,123.5847943
Guinea-Bissau,2015,112.5646639
Guyana,1990,24.58869712
Guyana,1995,20.65466979
Guyana,2000,16.15399087
Guyana,2005,14.88342241
Guyana,2010,11.51772158
Guyana,2015,9.069072985
Haiti,1990,125.21795
Haiti,1995,106.1326591
Haiti,2000,90.82954493
Haiti,2005,85.11001943
Haiti,2010,83.81531225
Haiti,2015,78.44725042
Honduras,1990,39.66031072
Honduras,1995,42.75694955
Honduras,2000,41.19437654
Honduras,2005,38.63828897
Honduras,2010,35.81534838
Honduras,2015,30.46745842
Hungary,1990,48.30587423
Hungary,1995,42.70416102
Hungary,2000,35.36062723
Hungary,2005,30.20221484
Hungary,2010,23.80033548
Hungary,2015,16.17294183
Iceland,1990,0
Iceland,1995,0
Iceland,2000,0
Iceland,2005,0
Iceland,2010,0
Iceland,2015,0
India,1990,104.8033242
India,1995,98.02702116
India,2000,93.6133205
India,2005,85.67518671
India,2010,80.99577972
India,2015,74.49457189
Indonesia,1990,50.548953
Indonesia,1995,42.81000583
Indonesia,2000,36.86091804
Indonesia,2005,34.91509124
Indonesia,2010,31.44879884
Indonesia,2015,22.73986756
Iran,1990,6.292395847
Iran,1995,2.798714195
Iran,2000,1.462661021
Iran,2005,0.827033182
Iran,2010,0.630944123
Iran,2015,0.568505857
Iraq,1990,5.721377238
Iraq,1995,4.128377623
Iraq,2000,4.178312884
Iraq,2005,4.864321454
Iraq,2010,1.585997416
Iraq,2015,0.78310386
Ireland,1990,0
Ireland,1995,0
Ireland,2000,0
Ireland,2005,0
Ireland,2010,0
Ireland,2015,0
Israel,1990,0
Israel,1995,0
Israel,2000,0
Israel,2005,0
Israel,2010,0
Israel,2015,0
Italy,1990,0
Italy,1995,0
Italy,2000,0
Italy,2005,0
Italy,2010,0
Italy,2015,0
Jamaica,1990,35.45987711
Jamaica,1995,28.71138277
Jamaica,2000,17.99949823
Jamaica,2005,13.18152936
Jamaica,2010,12.57784461
Jamaica,2015,10.45043027
Japan,1990,0
Japan,1995,0
Japan,2000,0
Japan,2005,0
Japan,2010,0
Japan,2015,0
Jordan,1990,0.307244204
Jordan,1995,0.124116127
Jordan,2000,0.070236206
Jordan,2005,0.047270228
Jordan,2010,0.019585461
Jordan,2015,0.013182357
Kazakhstan,1990,59.18566021
Kazakhstan,1995,67.84732104
Kazakhstan,2000,53.56181064
Kazakhstan,2005,43.05905895
Kazakhstan,2010,23.25895766
Kazakhstan,2015,17.7644557
Kenya,1990,74.59675544
Kenya,1995,65.4948235
Kenya,2000,58.62581311
Kenya,2005,52.98146862
Kenya,2010,50.00988604
Kenya,2015,44.14849391
Kiribati,1990,62.86335993
Kiribati,1995,56.02249294
Kiribati,2000,51.75980623
Kiribati,2005,46.33317876
Kiribati,2010,40.23221263
Kiribati,2015,33.99421112
Kuwait,1990,0.131995819
Kuwait,1995,0.108994914
Kuwait,2000,0.081102621
Kuwait,2005,0.069215724
Kuwait,2010,0.046496157
Kuwait,2015,0.029171397
Kyrgyzstan,1990,94.09690974
Kyrgyzstan,1995,85.41201823
Kyrgyzstan,2000,67.90646003
Kyrgyzstan,2005,59.46189049
Kyrgyzstan,2010,43.90694667
Kyrgyzstan,2015,32.53948234
Laos,1990,144.4527297
Laos,1995,126.6328618
Laos,2000,107.3957654
Laos,2005,89.15201179
Laos,2010,73.20889272
Laos,2015,60.83431654
Latvia,1990,53.32520232
Latvia,1995,52.5278796
Latvia,2000,34.12614169
Latvia,2005,27.649806
Latvia,2010,18.71165005
Latvia,2015,14.40019842
Lebanon,1990,0.078876474
Lebanon,1995,0.041153345
Lebanon,2000,0.024320548
Lebanon,2005,0.015913112
Lebanon,2010,0.011694282
Lebanon,2015,0.00783611
Lesotho,1990,92.12336154
Lesotho,1995,87.01903862
Lesotho,2000,94.94359256
Lesotho,2005,122.5478831
Lesotho,2010,112.8137228
Lesotho,2015,96.40021017
Liberia,1990,143.5874146
Liberia,1995,131.6949143
Liberia,2000,102.3024321
Liberia,2005,84.28437868
Liberia,2010,76.71836065
Liberia,2015,67.1563379
Libya,1990,2.81456505
Libya,1995,2.007146031
Libya,2000,1.850690569
Libya,2005,1.589547901
Libya,2010,1.300035819
Libya,2015,1.108985452
Lithuania,1990,41.40163073
Lithuania,1995,38.78316493
Lithuania,2000,26.24834597
Lithuania,2005,22.01197494
Lithuania,2010,16.04373101
Lithuania,2015,12.40974525
Luxembourg,1990,0
Luxembourg,1995,0
Luxembourg,2000,0
Luxembourg,2005,0
Luxembourg,2010,0
Luxembourg,2015,0
Macedonia,1990,59.98576526
Macedonia,1995,57.91576114
Macedonia,2000,54.14259504
Macedonia,2005,52.51005059
Macedonia,2010,47.72140819
Macedonia,2015,36.32617299
Madagascar,1990,127.665489
Madagascar,1995,121.9636295
Madagascar,2000,106.3110889
Madagascar,2005,92.93127223
Madagascar,2010,89.33999925
Madagascar,2015,85.71718354
Malawi,1990,106.7568897
Malawi,1995,110.8753611
Malawi,2000,113.396917
Malawi,2005,88.40233204
Malawi,2010,74.51332058
Malawi,2015,67.33380724
Malaysia,1990,7.652142813
Malaysia,1995,3.707348151
Malaysia,2000,1.559644988
Malaysia,2005,0.879883737
Malaysia,2010,0.769469716
Malaysia,2015,0.649929598
Maldives,1990,33.75551605
Maldives,1995,24.45359132
Maldives,2000,14.74404853
Maldives,2005,6.07556758
Maldives,2010,2.972137008
Maldives,2015,2.93105677
Mali,1990,108.2360162
Mali,1995,99.80699979
Mali,2000,86.18158172
Mali,2005,67.93040666
Mali,2010,60.94236742
Mali,2015,54.17204811
Malta,1990,0
Malta,1995,0
Malta,2000,0
Malta,2005,0
Malta,2010,0
Malta,2015,0
Marshall Islands,1990,21.87794307
Marshall Islands,1995,23.1167709
Marshall Islands,2000,26.8815842
Marshall Islands,2005,25.79640423
Marshall Islands,2010,20.87592293
Marshall Islands,2015,15.500476
Mauritania,1990,79.39153002
Mauritania,1995,74.13196145
Mauritania,2000,66.72505406
Mauritania,2005,55.2899146
Mauritania,2010,44.64196681
Mauritania,2015,39.97719905
Mauritius,1990,15.86042781
Mauritius,1995,10.01224227
Mauritius,2000,4.901480133
Mauritius,2005,3.009798093
Mauritius,2010,3.066157296
Mauritius,2015,3.069213562
Mexico,1990,13.78289162
Mexico,1995,11.58713785
Mexico,2000,10.12484208
Mexico,2005,9.348415188
Mexico,2010,8.570646605
Mexico,2015,7.205351721
Micronesia (country),1990,48.83604124
Micronesia (country),1995,41.67250881
Micronesia (country),2000,37.02137619
Micronesia (country),2005,34.29353819
Micronesia (country),2010,29.3607678
Micronesia (country),2015,24.10334419
Moldova,1990,84.75807845
Moldova,1995,99.59206218
Moldova,2000,69.07569477
Moldova,2005,41.04631953
Moldova,2010,23.26324175
Moldova,2015,13.47428915
Mongolia,1990,110.3032148
Mongolia,1995,94.15061795
Mongolia,2000,83.51392462
Mongolia,2005,76.45774167
Mongolia,2010,64.28067572
Mongolia,2015,48.09007514
Montenegro,1990,70.02562634
Montenegro,1995,71.35610213
Montenegro,2000,62.39910144
Montenegro,2005,54.96878875
Montenegro,2010,56.56120484
Montenegro,2015,55.62848528
Morocco,1990,12.68740016
Morocco,1995,8.930758486
Morocco,2000,5.978479021
Morocco,2005,4.611927216
Morocco,2010,4.405983782
Morocco,2015,3.717931031
Mozambique,1990,108.3347132
Mozambique,1995,97.22839459
Mozambique,2000,88.48338039
Mozambique,2005,76.11003821
Mozambique,2010,71.10546576
Mozambique,2015,65.12235268
Myanmar,1990,91.579539
Myanmar,1995,85.21787822
Myanmar,2000,80.30983154
Myanmar,2005,72.02158449
Myanmar,2010,62.37302441
Myanmar,2015,56.4313028
Namibia,1990,86.79236635
Namibia,1995,80.17363143
Namibia,2000,88.8963521
Namibia,2005,75.2107997
Namibia,2010,54.98211831
Namibia,2015,46.17888189
Nepal,1990,108.9945319
Nepal,1995,86.23907925
Nepal,2000,75.88109002
Nepal,2005,72.93305243
Nepal,2010,72.84486783
Nepal,2015,64.33403469
Netherlands,1990,0
Netherlands,1995,0
Netherlands,2000,0
Netherlands,2005,0
Netherlands,2010,0
Netherlands,2015,0
New Zealand,1990,0
New Zealand,1995,0
New Zealand,2000,0
New Zealand,2005,0
New Zealand,2010,0
New Zealand,2015,0
Nicaragua,1990,30.10374494
Nicaragua,1995,25.4287821
Nicaragua,2000,22.37256849
Nicaragua,2005,22.78814645
Nicaragua,2010,21.64605394
Nicaragua,2015,19.23471573
Niger,1990,184.0445097
Niger,1995,168.0227229
Niger,2000,140.2516733
Niger,2005,113.3546233
Niger,2010,89.3545337
Niger,2015,84.6186711
Nigeria,1990,108.9723432
Nigeria,1995,98.04217843
Nigeria,2000,85.74781241
Nigeria,2005,69.07226634
Nigeria,2010,56.69191596
Nigeria,2015,45.53059407
North Korea,1990,67.51374458
North Korea,1995,72.86756299
North Korea,2000,81.0386613
North Korea,2005,86.63913468
North Korea,2010,89.20567925
North Korea,2015,86.15842089
Northern Mariana Islands,1990,10.46025864
Northern Mariana Islands,1995,6.699852383
Northern Mariana Islands,2000,4.612671546
Northern Mariana Islands,2005,3.489838855
Northern Mariana Islands,2010,2.689989378
Northern Mariana Islands,2015,2.106802094
Norway,1990,0
Norway,1995,0
Norway,2000,0
Norway,2005,0
Norway,2010,0
Norway,2015,0
Oman,1990,2.331569158
Oman,1995,1.186524332
Oman,2000,1.060329396
Oman,2005,0.889222338
Oman,2010,0.753184349
Oman,2015,0.50808012
Pakistan,1990,83.12849677
Pakistan,1995,81.90476219
Pakistan,2000,85.76196269
Pakistan,2005,78.03724147
Pakistan,2010,66.50690339
Pakistan,2015,64.06586035
Palestine,1990,0.042105069
Palestine,1995,0.01510662
Palestine,2000,0.039251643
Palestine,2005,0.124503731
Palestine,2010,0.366247491
Palestine,2015,0.857575196
Panama,1990,18.73908041
Panama,1995,16.29534818
Panama,2000,12.83793536
Panama,2005,12.81794539
Panama,2010,11.45774004
Panama,2015,7.708511839
Papua New Guinea,1990,111.4502898
Papua New Guinea,1995,104.4334029
Papua New Guinea,2000,100.3619051
Papua New Guinea,2005,98.96518895
Papua New Guinea,2010,93.38284726
Papua New Guinea,2015,84.5973671
Paraguay,1990,37.06774733
Paraguay,1995,34.14888051
Paraguay,2000,32.936965
Paraguay,2005,32.21912484
Paraguay,2010,29.47795438
Paraguay,2015,23.91824091
Peru,1990,57.41607747
Peru,1995,38.90124208
Peru,2000,29.27120076
Peru,2005,28.29700243
Peru,2010,25.57805274
Peru,2015,21.08446206
Philippines,1990,46.31178454
Philippines,1995,35.47622473
Philippines,2000,31.69054689
Philippines,2005,37.5583506
Philippines,2010,43.90130343
Philippines,2015,40.83290987
Poland,1990,34.11585349
Poland,1995,26.21582244
Poland,2000,20.40204709
Poland,2005,18.65772356
Poland,2010,17.06875628
Poland,2015,14.29246768
Portugal,1990,0
Portugal,1995,0
Portugal,2000,0
Portugal,2005,0
Portugal,2010,0
Portugal,2015,0
Puerto Rico,1990,0.059102291
Puerto Rico,1995,0.023322957
Puerto Rico,2000,0.018704002
Puerto Rico,2005,0.01857333
Puerto Rico,2010,0.016840842
Puerto Rico,2015,0.013489559
Qatar,1990,0.022193561
Qatar,1995,0.016314921
Qatar,2000,0.013989906
Qatar,2005,0.009284674
Qatar,2010,0.003898538
Qatar,2015,0.002763305
Russia,1990,33.18791278
Russia,1995,38.26211905
Russia,2000,31.62833164
Russia,2005,20.94424854
Russia,2010,11.85847796
Russia,2015,8.639661246
Rwanda,1990,134.1890427
Rwanda,1995,167.8935252
Rwanda,2000,139.0890218
Rwanda,2005,86.21109882
Rwanda,2010,65.55701839
Rwanda,2015,63.47859744
Saint Lucia,1990,38.21785213
Saint Lucia,1995,26.82452614
Saint Lucia,2000,18.09813839
Saint Lucia,2005,12.10852715
Saint Lucia,2010,7.869530964
Saint Lucia,2015,7.319365977
Saint Vincent and the Grenadines,1990,53.95759363
Saint Vincent and the Grenadines,1995,47.56331909
Saint Vincent and the Grenadines,2000,26.51831019
Saint Vincent and the Grenadines,2005,12.67574698
Saint Vincent and the Grenadines,2010,7.956150512
Saint Vincent and the Grenadines,2015,6.377765385
Samoa,1990,41.74021597
Samoa,1995,39.08297513
Samoa,2000,37.52092889
Samoa,2005,36.595852
Samoa,2010,35.28654634
Samoa,2015,31.71902208
Sao Tome and Principe,1990,130.8552572
Sao Tome and Principe,1995,122.6224122
Sao Tome and Principe,2000,115.3846737
Sao Tome and Principe,2005,101.1116314
Sao Tome and Principe,2010,82.10674278
Sao Tome and Principe,2015,66.2909064
Saudi Arabia,1990,1.001657711
Saudi Arabia,1995,0.657930559
Saudi Arabia,2000,0.526656822
Saudi Arabia,2005,0.367233906
Saudi Arabia,2010,0.267128144
Saudi Arabia,2015,0.214649572
Senegal,1990,83.92299642
Senegal,1995,77.21436559
Senegal,2000,68.50927603
Senegal,2005,60.52968092
Senegal,2010,59.06758597
Senegal,2015,55.62629085
Serbia,1990,77.43550232
Serbia,1995,84.06728739
Serbia,2000,88.20240037
Serbia,2005,75.16912883
Serbia,2010,63.53625213
Serbia,2015,58.42550308
Seychelles,1990,8.689434617
Seychelles,1995,5.377280831
Seychelles,2000,3.365303201
Seychelles,2005,2.203785152
Seychelles,2010,1.726949085
Seychelles,2015,1.270782286
Sierra Leone,1990,156.4332983
Sierra Leone,1995,140.8490352
Sierra Leone,2000,131.2318142
Sierra Leone,2005,117.4096367
Sierra Leone,2010,103.8463204
Sierra Leone,2015,90.70762899
Singapore,1990,0
Singapore,1995,0
Singapore,2000,0
Singapore,2005,0
Singapore,2010,0
Singapore,2015,0
Slovakia,1990,21.72949025
Slovakia,1995,13.36911955
Slovakia,2000,8.047679148
Slovakia,2005,5.994735693
Slovakia,2010,5.586602856
Slovakia,2015,4.522741801
Slovenia,1990,33.13013294
Slovenia,1995,26.18799917
Slovenia,2000,18.31822301
Slovenia,2005,13.88073724
Slovenia,2010,11.72606862
Slovenia,2015,10.25244128
Solomon Islands,1990,82.02808094
Solomon Islands,1995,74.63126676
Solomon Islands,2000,72.81831931
Solomon Islands,2005,75.50302544
Solomon Islands,2010,72.44797307
Solomon Islands,2015,65.77159511
Somalia,1990,183.8727156
Somalia,1995,181.4151183
Somalia,2000,164.3931842
Somalia,2005,137.9348338
Somalia,2010,136.5655335
Somalia,2015,121.8692749
South Africa,1990,65.7194003
South Africa,1995,55.74235693
South Africa,2000,59.55160013
South Africa,2005,46.50555202
South Africa,2010,35.39909376
South Africa,2015,24.16397474
South Korea,1990,0
South Korea,1995,0
South Korea,2000,0
South Korea,2005,0
South Korea,2010,0
South Korea,2015,0
South Sudan,1990,139.5149739
South Sudan,1995,125.0447938
South Sudan,2000,102.256902
South Sudan,2005,92.35887555
South Sudan,2010,93.50765031
South Sudan,2015,97.04962722
Spain,1990,0
Spain,1995,0
Spain,2000,0
Spain,2005,0
Spain,2010,0
Spain,2015,0
Sri Lanka,1990,44.04567881
Sri Lanka,1995,42.49215417
Sri Lanka,2000,43.43540059
Sri Lanka,2005,47.34460381
Sri Lanka,2010,43.83475753
Sri Lanka,2015,39.92331331
Sudan,1990,95.69785325
Sudan,1995,85.11499618
Sudan,2000,73.64543271
Sudan,2005,67.33046612
Sudan,2010,52.57697194
Sudan,2015,45.78630615
Suriname,1990,34.64482725
Suriname,1995,27.93036692
Suriname,2000,22.82873465
Suriname,2005,18.03319174
