Entity,Year,Medium Projection (UN Population Division (2015 revision))
Andorra,2052,75000
Andorra,2053,75000
Andorra,2054,75000
Andorra,2055,74000
Andorra,2056,74000
Andorra,2057,73000
Andorra,2058,73000
Andorra,2059,72000
Andorra,2060,72000
Andorra,2061,71000
Andorra,2062,71000
Andorra,2063,70000
Andorra,2064,70000
Andorra,2065,69000
Andorra,2066,69000
Andorra,2067,68000
Andorra,2068,68000
Andorra,2069,67000
Andorra,2070,67000
Andorra,2071,67000
Andorra,2072,66000
Andorra,2073,66000
Andorra,2074,65000
Andorra,2075,65000
Andorra,2076,65000
Andorra,2077,65000
Andorra,2078,64000
Andorra,2079,64000
Andorra,2080,64000
Andorra,2081,64000
Andorra,2082,64000
Andorra,2083,64000
Andorra,2084,64000
Andorra,2085,63000
Andorra,2086,63000
Andorra,2087,63000
Andorra,2088,63000
Andorra,2089,63000
Andorra,2090,63000
Andorra,2091,63000
Andorra,2092,63000
Andorra,2093,63000
Andorra,2094,63000
Andorra,2095,63000
Andorra,2096,63000
Andorra,2097,63000
Andorra,2098,63000
Andorra,2099,62000
Andorra,2100,62000
Angola,2020,32866000
Angola,2021,33934000
Angola,2022,35027000
Angola,2023,36149000
Angola,2024,37299000
Angola,2025,38478000
Angola,2026,39688000
Angola,2027,40929000
Angola,2028,42200000
Angola,2029,43502000
Angola,2030,44835000
Angola,2031,46198000
Angola,2032,47593000
Angola,2033,49017000
Angola,2034,50471000
Angola,2035,51953000
Angola,2036,53462000
Angola,2037,55000000
Angola,2038,56566000
Angola,2039,58160000
Angola,2040,59782000
Angola,2041,61432000
Angola,2042,63110000
Angola,2043,64814000
Angola,2044,66544000
Angola,2045,68298000
Angola,2046,70075000
Angola,2047,71877000
Angola,2048,73701000
Angola,2049,75549000
Angola,2050,77420000
Angola,2051,79314000
Angola,2052,81231000
Angola,2053,83170000
Angola,2054,85131000
Angola,2055,87114000
Angola,2056,89118000
Angola,2057,91143000
Angola,2058,93189000
Angola,2059,95256000
Angola,2060,97343000
Angola,2061,99451000
Angola,2062,101577000
Angola,2063,103721000
Angola,2064,105882000
Angola,2065,108059000
Angola,2066,110249000
Angola,2067,112454000
Angola,2068,114672000
Angola,2069,116904000
Angola,2070,119149000
Angola,2071,121407000
Angola,2072,123676000
Angola,2073,125956000
Angola,2074,128245000
Angola,2075,130543000
Angola,2076,132847000
Angola,2077,135159000
Angola,2078,137475000
Angola,2079,139795000
Angola,2080,142116000
Angola,2081,144438000
Angola,2082,146761000
Angola,2083,149084000
Angola,2084,151410000
Angola,2085,153738000
Angola,2086,156069000
Angola,2087,158401000
Angola,2088,160733000
Angola,2089,163064000
Angola,2090,165392000
Angola,2091,167715000
Angola,2092,170034000
Angola,2093,172347000
Angola,2094,174654000
Angola,2095,176953000
Angola,2096,179243000
Angola,2097,181523000
Angola,2098,183791000
Angola,2099,186045000
Angola,2100,188283000
Anguilla,2020,15000
Anguilla,2021,15000
Anguilla,2022,15000
Anguilla,2023,15000
Anguilla,2024,15000
Anguilla,2025,16000
Anguilla,2026,16000
Anguilla,2027,16000
Anguilla,2028,16000
Anguilla,2029,16000
Anguilla,2030,16000
Anguilla,2031,16000
Anguilla,2032,16000
Anguilla,2033,16000
Anguilla,2034,16000
Anguilla,2035,16000
Anguilla,2036,16000
Anguilla,2037,16000
Anguilla,2038,16000
Anguilla,2039,16000
Anguilla,2040,16000
Anguilla,2041,16000
Anguilla,2042,16000
Anguilla,2043,17000
Anguilla,2044,17000
Anguilla,2045,17000
Anguilla,2046,17000
Anguilla,2047,17000
Anguilla,2048,17000
Anguilla,2049,17000
Anguilla,2050,17000
Anguilla,2051,16000
Anguilla,2052,16000
Anguilla,2053,16000
Anguilla,2054,16000
Anguilla,2055,16000
Anguilla,2056,16000
Anguilla,2057,16000
Anguilla,2058,16000
Anguilla,2059,16000
Anguilla,2060,16000
Anguilla,2061,16000
Anguilla,2062,16000
Anguilla,2063,16000
Anguilla,2064,16000
Anguilla,2065,16000
Anguilla,2066,16000
Anguilla,2067,16000
Anguilla,2068,16000
Anguilla,2069,16000
Anguilla,2070,16000
Anguilla,2071,16000
Anguilla,2072,15000
Anguilla,2073,15000
Anguilla,2074,15000
Anguilla,2075,15000
Anguilla,2076,15000
Anguilla,2077,15000
Anguilla,2078,15000
Anguilla,2079,15000
Anguilla,2080,15000
Anguilla,2081,15000
Anguilla,2082,15000
Anguilla,2083,15000
Anguilla,2084,15000
Anguilla,2085,15000
Anguilla,2086,15000
Anguilla,2087,14000
Anguilla,2088,14000
Anguilla,2089,14000
Anguilla,2090,14000
Anguilla,2091,14000
Anguilla,2092,14000
Anguilla,2093,14000
Anguilla,2094,14000
Anguilla,2095,14000
Anguilla,2096,14000
Anguilla,2097,14000
Anguilla,2098,14000
Anguilla,2099,14000
Anguilla,2100,14000
Antigua and Barbuda,2020,98000
Antigua and Barbuda,2021,99000
Antigua and Barbuda,2022,100000
Antigua and Barbuda,2023,100000
Antigua and Barbuda,2024,101000
Antigua and Barbuda,2025,102000
Antigua and Barbuda,2026,102000
Antigua and Barbuda,2027,103000
Antigua and Barbuda,2028,104000
Antigua and Barbuda,2029,104000
Antigua and Barbuda,2030,105000
Antigua and Barbuda,2031,105000
Antigua and Barbuda,2032,106000
Antigua and Barbuda,2033,106000
Antigua and Barbuda,2034,107000
Antigua and Barbuda,2035,107000
Antigua and Barbuda,2036,108000
Antigua and Barbuda,2037,108000
Antigua and Barbuda,2038,108000
Antigua and Barbuda,2039,109000
Antigua and Barbuda,2040,109000
Antigua and Barbuda,2041,109000
Antigua and Barbuda,2042,110000
Antigua and Barbuda,2043,110000
Antigua and Barbuda,2044,110000
Antigua and Barbuda,2045,110000
Antigua and Barbuda,2046,110000
Antigua and Barbuda,2047,111000
Antigua and Barbuda,2048,111000
Antigua and Barbuda,2049,111000
Antigua and Barbuda,2050,111000
Antigua and Barbuda,2051,111000
Antigua and Barbuda,2052,111000
Antigua and Barbuda,2053,111000
Antigua and Barbuda,2054,111000
Antigua and Barbuda,2055,111000
Antigua and Barbuda,2056,111000
Antigua and Barbuda,2057,111000
Antigua and Barbuda,2058,111000
Antigua and Barbuda,2059,111000
Antigua and Barbuda,2060,111000
Antigua and Barbuda,2061,111000
Antigua and Barbuda,2062,110000
Antigua and Barbuda,2063,110000
Antigua and Barbuda,2064,110000
Antigua and Barbuda,2065,110000
Antigua and Barbuda,2066,110000
Antigua and Barbuda,2067,110000
Antigua and Barbuda,2068,110000
Antigua and Barbuda,2069,109000
Antigua and Barbuda,2070,109000
Antigua and Barbuda,2071,109000
Antigua and Barbuda,2072,109000
Antigua and Barbuda,2073,109000
Antigua and Barbuda,2074,109000
Antigua and Barbuda,2075,108000
Antigua and Barbuda,2076,108000
Antigua and Barbuda,2077,108000
Antigua and Barbuda,2078,108000
Antigua and Barbuda,2079,108000
Antigua and Barbuda,2080,107000
Antigua and Barbuda,2081,107000
Antigua and Barbuda,2082,107000
Antigua and Barbuda,2083,107000
Antigua and Barbuda,2084,106000
Antigua and Barbuda,2085,106000
Antigua and Barbuda,2086,106000
Antigua and Barbuda,2087,106000
Antigua and Barbuda,2088,105000
Antigua and Barbuda,2089,105000
Antigua and Barbuda,2090,105000
Antigua and Barbuda,2091,105000
Antigua and Barbuda,2092,104000
Antigua and Barbuda,2093,104000
Antigua and Barbuda,2094,104000
Antigua and Barbuda,2095,104000
Antigua and Barbuda,2096,103000
Antigua and Barbuda,2097,103000
Antigua and Barbuda,2098,103000
Antigua and Barbuda,2099,102000
Antigua and Barbuda,2100,102000
Argentina,2020,45196000
Argentina,2021,45606000
Argentina,2022,46010000
Argentina,2023,46409000
Argentina,2024,46803000
Argentina,2025,47192000
Argentina,2026,47576000
Argentina,2027,47955000
Argentina,2028,48329000
Argentina,2029,48696000
Argentina,2030,49056000
Argentina,2031,49410000
Argentina,2032,49757000
Argentina,2033,50097000
Argentina,2034,50431000
Argentina,2035,50758000
Argentina,2036,51079000
Argentina,2037,51394000
Argentina,2038,51702000
Argentina,2039,52003000
Argentina,2040,52297000
Argentina,2041,52584000
Argentina,2042,52864000
Argentina,2043,53138000
Argentina,2044,53405000
Argentina,2045,53665000
Argentina,2046,53919000
Argentina,2047,54166000
Argentina,2048,54407000
Argentina,2049,54641000
Argentina,2050,54867000
Argentina,2051,55087000
Argentina,2052,55299000
Argentina,2053,55504000
Argentina,2054,55701000
Argentina,2055,55890000
Argentina,2056,56070000
Argentina,2057,56242000
Argentina,2058,56406000
Argentina,2059,56562000
Argentina,2060,56709000
Argentina,2061,56847000
Argentina,2062,56977000
Argentina,2063,57098000
Argentina,2064,57211000
Argentina,2065,57314000
Argentina,2066,57409000
Argentina,2067,57495000
Argentina,2068,57572000
Argentina,2069,57642000
Argentina,2070,57704000
Argentina,2071,57758000
Argentina,2072,57806000
Argentina,2073,57846000
Argentina,2074,57878000
Argentina,2075,57904000
Argentina,2076,57923000
Argentina,2077,57935000
Argentina,2078,57940000
Argentina,2079,57940000
Argentina,2080,57934000
Argentina,2081,57923000
Argentina,2082,57907000
Argentina,2083,57885000
Argentina,2084,57859000
Argentina,2085,57827000
Argentina,2086,57791000
Argentina,2087,57749000
Argentina,2088,57703000
Argentina,2089,57652000
Argentina,2090,57596000
Argentina,2091,57536000
Argentina,2092,57471000
Argentina,2093,57401000
Argentina,2094,57327000
Argentina,2095,57249000
Argentina,2096,57167000
Argentina,2097,57082000
Argentina,2098,56992000
Argentina,2099,56899000
Argentina,2100,56802000
Armenia,2020,2963000
Armenia,2021,2968000
Armenia,2022,2972000
Armenia,2023,2975000
Armenia,2024,2977000
Armenia,2025,2977000
Armenia,2026,2977000
Armenia,2027,2976000
Armenia,2028,2974000
Armenia,2029,2971000
Armenia,2030,2967000
Armenia,2031,2963000
Armenia,2032,2958000
Armenia,2033,2952000
Armenia,2034,2947000
Armenia,2035,2940000
Armenia,2036,2934000
Armenia,2037,2927000
Armenia,2038,2920000
Armenia,2039,2913000
Armenia,2040,2905000
Armenia,2041,2897000
Armenia,2042,2890000
Armenia,2043,2882000
Armenia,2044,2873000
Armenia,2045,2865000
Armenia,2046,2856000
Armenia,2047,2846000
Armenia,2048,2837000
Armenia,2049,2827000
Armenia,2050,2816000
Armenia,2051,2805000
Armenia,2052,2794000
Armenia,2053,2782000
Armenia,2054,2770000
Armenia,2055,2758000
Armenia,2056,2745000
Armenia,2057,2731000
Armenia,2058,2718000
Armenia,2059,2703000
Armenia,2060,2689000
Armenia,2061,2674000
Armenia,2062,2658000
Armenia,2063,2643000
Armenia,2064,2627000
Armenia,2065,2610000
Armenia,2066,2594000
Armenia,2067,2577000
Armenia,2068,2560000
Armenia,2069,2543000
Armenia,2070,2525000
Armenia,2071,2508000
Armenia,2072,2490000
Armenia,2073,2473000
Armenia,2074,2455000
Armenia,2075,2437000
Armenia,2076,2420000
Armenia,2077,2402000
Armenia,2078,2385000
Armenia,2079,2368000
Armenia,2080,2351000
Armenia,2081,2334000
Armenia,2082,2317000
Armenia,2083,2301000
Armenia,2084,2285000
Armenia,2085,2269000
Armenia,2086,2253000
Armenia,2087,2237000
Armenia,2088,2222000
Armenia,2089,2206000
Armenia,2090,2191000
Armenia,2091,2176000
Armenia,2092,2161000
Armenia,2093,2146000
Armenia,2094,2131000
Armenia,2095,2115000
Armenia,2096,2100000
Armenia,2097,2085000
Armenia,2098,2070000
Armenia,2099,2054000
Armenia,2100,2039000
Aruba,2020,107000
Aruba,2021,107000
Aruba,2022,108000
Aruba,2023,108000
Aruba,2024,108000
Aruba,2025,109000
Aruba,2026,109000
Aruba,2027,109000
Aruba,2028,110000
Aruba,2029,110000
Aruba,2030,110000
Aruba,2031,110000
Aruba,2032,111000
Aruba,2033,111000
Aruba,2034,111000
Aruba,2035,111000
Aruba,2036,111000
Aruba,2037,111000
Aruba,2038,111000
Aruba,2039,111000
Aruba,2040,111000
Aruba,2041,111000
Aruba,2042,111000
Aruba,2043,110000
Aruba,2044,110000
Aruba,2045,110000
Aruba,2046,110000
Aruba,2047,109000
Aruba,2048,109000
Aruba,2049,109000
Aruba,2050,109000
Aruba,2051,108000
Aruba,2052,108000
Aruba,2053,108000
Aruba,2054,108000
Aruba,2055,108000
Aruba,2056,108000
Aruba,2057,107000
Aruba,2058,107000
Aruba,2059,107000
Aruba,2060,107000
Aruba,2061,107000
Aruba,2062,107000
Aruba,2063,107000
Aruba,2064,107000
Aruba,2065,107000
Aruba,2066,107000
Aruba,2067,107000
Aruba,2068,107000
Aruba,2069,107000
Aruba,2070,107000
Aruba,2071,106000
Aruba,2072,106000
Aruba,2073,106000
Aruba,2074,106000
Aruba,2075,106000
Aruba,2076,106000
Aruba,2077,106000
Aruba,2078,106000
Aruba,2079,106000
Aruba,2080,106000
Aruba,2081,105000
Aruba,2082,105000
Aruba,2083,105000
Aruba,2084,105000
Aruba,2085,105000
Aruba,2086,105000
Aruba,2087,104000
Aruba,2088,104000
Aruba,2089,104000
Aruba,2090,104000
Aruba,2091,104000
Aruba,2092,104000
Aruba,2093,103000
Aruba,2094,103000
Aruba,2095,103000
Aruba,2096,103000
Aruba,2097,103000
Aruba,2098,103000
Aruba,2099,102000
Aruba,2100,102000
Asia,2020,4641055000
Asia,2021,4679661000
Asia,2022,4717156000
Asia,2023,4753501000
Asia,2024,4788666000
Asia,2025,4822629000
Asia,2026,4855357000
Asia,2027,4886833000
Asia,2028,4917086000
Asia,2029,4946161000
Asia,2030,4974092000
Asia,2031,5000885000
Asia,2032,5026527000
Asia,2033,5051001000
Asia,2034,5074285000
Asia,2035,5096362000
Asia,2036,5117232000
Asia,2037,5136907000
Asia,2038,5155404000
Asia,2039,5172744000
Asia,2040,5188949000
Asia,2041,5204027000
Asia,2042,5217983000
Asia,2043,5230826000
Asia,2044,5242561000
Asia,2045,5253195000
Asia,2046,5262740000
Asia,2047,5271207000
Asia,2048,5278609000
Asia,2049,5284956000
Asia,2050,5290263000
Asia,2051,5294545000
Asia,2052,5297818000
Asia,2053,5300088000
Asia,2054,5301363000
Asia,2055,5301655000
Asia,2056,5300977000
Asia,2057,5299357000
Asia,2058,5296827000
Asia,2059,5293428000
Asia,2060,5289195000
Asia,2061,5284156000
Asia,2062,5278332000
Asia,2063,5271747000
Asia,2064,5264426000
Asia,2065,5256392000
Asia,2066,5247672000
Asia,2067,5238294000
Asia,2068,5228281000
Asia,2069,5217659000
Asia,2070,5206455000
Asia,2071,5194693000
Asia,2072,5182399000
Asia,2073,5169605000
Asia,2074,5156338000
Asia,2075,5142629000
Asia,2076,5128503000
Asia,2077,5113988000
Asia,2078,5099104000
Asia,2079,5083877000
Asia,2080,5068328000
Asia,2081,5052477000
Asia,2082,5036349000
Asia,2083,5019979000
Asia,2084,5003407000
Asia,2085,4986663000
Asia,2086,4969767000
Asia,2087,4952728000
Asia,2088,4935556000
Asia,2089,4918257000
Asia,2090,4900833000
Asia,2091,4883289000
Asia,2092,4865625000
Asia,2093,4847844000
Asia,2094,4829942000
Asia,2095,4811913000
Asia,2096,4793750000
Asia,2097,4775437000
Asia,2098,4756959000
Asia,2099,4738293000
Asia,2100,4719416000
Australia,2020,25500000
Australia,2021,25788000
Australia,2022,26069000
Australia,2023,26343000
Australia,2024,26613000
Australia,2025,26880000
Australia,2026,27144000
Australia,2027,27406000
Australia,2028,27666000
Australia,2029,27923000
Australia,2030,28177000
Australia,2031,28429000
Australia,2032,28679000
Australia,2033,28926000
Australia,2034,29170000
Australia,2035,29410000
Australia,2036,29648000
Australia,2037,29882000
Australia,2038,30114000
Australia,2039,30344000
Australia,2040,30572000
Australia,2041,30800000
Australia,2042,31027000
Australia,2043,31253000
Australia,2044,31478000
Australia,2045,31702000
Australia,2046,31926000
Australia,2047,32149000
Australia,2048,32372000
Australia,2049,32594000
Australia,2050,32814000
Australia,2051,33034000
Australia,2052,33252000
Australia,2053,33469000
Australia,2054,33685000
Australia,2055,33899000
Australia,2056,34112000
Australia,2057,34324000
Australia,2058,34534000
Australia,2059,34743000
Australia,2060,34950000
Australia,2061,35156000
Australia,2062,35360000
Australia,2063,35563000
Australia,2064,35766000
Australia,2065,35967000
Australia,2066,36167000
Australia,2067,36367000
Australia,2068,36566000
Australia,2069,36764000
Australia,2070,36961000
Australia,2071,37158000
Australia,2072,37354000
Australia,2073,37549000
Australia,2074,37744000
Australia,2075,37937000
Australia,2076,38131000
Australia,2077,38323000
Australia,2078,38516000
Australia,2079,38708000
Australia,2080,38900000
Australia,2081,39092000
Australia,2082,39284000
Australia,2083,39476000
Australia,2084,39669000
Australia,2085,39864000
Australia,2086,40060000
Australia,2087,40257000
Australia,2088,40455000
Australia,2089,40654000
Australia,2090,40855000
Australia,2091,41057000
Australia,2092,41259000
Australia,2093,41463000
Australia,2094,41667000
Australia,2095,41870000
Australia,2096,42074000
Australia,2097,42277000
Australia,2098,42479000
Australia,2099,42679000
Australia,2100,42877000
Australia/New Zealand,2020,30322000
Australia/New Zealand,2021,30649000
Australia/New Zealand,2022,30967000
Australia/New Zealand,2023,31278000
Australia/New Zealand,2024,31584000
Australia/New Zealand,2025,31886000
Australia/New Zealand,2026,32185000
Australia/New Zealand,2027,32482000
Australia/New Zealand,2028,32775000
Australia/New Zealand,2029,33065000
