Entity,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)),Closing the poverty gap including/excluding China (PovcalNet (World Bank) (2017))
Benin,1996,872.594988,
Benin,1999,853.039675,
Benin,2002,836.0884545,
Benin,2005,987.07242,
Benin,2008,1066.227123,
Benin,2010,1226.044892,
Benin,2011,1292.052915,
Benin,2012,1294.268648,
Benin,2013,1233.853008,
Bhutan,1981,222.035121,
Bhutan,1984,222.541376,
Bhutan,1987,214.603575,
Bhutan,1990,197.580924,
Bhutan,1993,154.309298,
Bhutan,1996,115.1952045,
Bhutan,1999,86.65976,
Bhutan,2002,58.62849,
Bhutan,2005,20.19472,
Bhutan,2008,4.2587835,
Bhutan,2010,5.542452,
Bhutan,2011,3.948789,
Bhutan,2012,2.104079,
Bhutan,2013,1.1962875,
Bolivia,1981,36.0349535,
Bolivia,1984,82.778934,
Bolivia,1987,67.20015,
Bolivia,1990,71.36115,
Bolivia,1993,252.5914245,
Bolivia,1996,493.622204,
Bolivia,1999,870.212122,
Bolivia,2002,848.8266625,
Bolivia,2005,695.215719,
Bolivia,2008,400.12176,
Bolivia,2010,343.976,
Bolivia,2011,255.15252,
Bolivia,2012,344.41984,
Bolivia,2013,274.0712,
Bosnia and Herzegovina,1981,4.3586475,
Bosnia and Herzegovina,1984,3.894696,
Bosnia and Herzegovina,1987,3.736578,
Bosnia and Herzegovina,1990,3.769866,
Bosnia and Herzegovina,1993,4.306635,
Bosnia and Herzegovina,1996,8.7193755,
Bosnia and Herzegovina,1999,3.932145,
Bosnia and Herzegovina,2002,2.642235,
Bosnia and Herzegovina,2005,1.062442,
Bosnia and Herzegovina,2008,0.532608,
Bosnia and Herzegovina,2010,0.532608,
Bosnia and Herzegovina,2011,0.531221,
Bosnia and Herzegovina,2012,0.531221,
Bosnia and Herzegovina,2013,0.529834,
Botswana,1981,181.290609,
Botswana,1984,153.769755,
Botswana,1987,145.05246,
Botswana,1990,122.308434,
Botswana,1993,139.497525,
Botswana,1996,139.790182,
Botswana,1999,129.735819,
Botswana,2002,143.6259305,
Botswana,2005,117.38181,
Botswana,2008,72.8181935,
Botswana,2010,74.211435,
Botswana,2011,69.282037,
Botswana,2012,66.471975,
Botswana,2013,57.903089,
Brazil,1981,8546.232823,
Brazil,1984,11221.63446,
Brazil,1987,7369.147644,
Brazil,1990,8593.946316,
Brazil,1993,9368.169716,
Brazil,1996,7038.62277,
Brazil,1999,6472.286398,
Brazil,2002,6064.459853,
Brazil,2005,5071.582144,
Brazil,2008,3944.131454,
Brazil,2010,3980.571412,
Brazil,2011,4074.476166,
Brazil,2012,3481.03712,
Brazil,2013,3923.824387,
Bulgaria,1981,3.699129,
Bulgaria,1984,3.10688,
Bulgaria,1987,3.1103475,
Bulgaria,1990,4.233124,
Bulgaria,1993,11.1604955,
Bulgaria,1996,10.435788,
Bulgaria,1999,33.023083,
Bulgaria,2002,14.190397,
Bulgaria,2005,6.977997,
Bulgaria,2008,19.2189655,
Bulgaria,2010,31.81778,
Bulgaria,2011,47.4041925,
Bulgaria,2012,39.0350345,
Bulgaria,2013,39.325611,
Burkina Faso,1981,2526.066122,
Burkina Faso,1984,2718.601833,
Burkina Faso,1987,2788.67446,
Burkina Faso,1990,3034.094401,
Burkina Faso,1993,3191.587558,
Burkina Faso,1996,3260.669173,
Burkina Faso,1999,2859.18954,
Burkina Faso,2002,2471.70335,
Burkina Faso,2005,2087.508511,
Burkina Faso,2008,2003.552014,
Burkina Faso,2010,1869.797363,
Burkina Faso,2011,1701.539006,
Burkina Faso,2012,1524.434363,
Burkina Faso,2013,1447.456556,
Burundi,1981,1147.359688,
Burundi,1984,1334.133108,
Burundi,1987,1323.249319,
Burundi,1990,1448.057127,
Burundi,1993,1607.32495,
Burundi,1996,1891.58852,
Burundi,1999,2035.636098,
Burundi,2002,1943.481044,
Burundi,2005,1960.005762,
Burundi,2008,1942.042725,
Burundi,2010,2079.68167,
Burundi,2011,2131.181674,
Burundi,2012,2184.771886,
Burundi,2013,2221.84917,
Cambodia,1981,555.4179085,
Cambodia,1984,540.006258,
Cambodia,1987,518.8122045,
Cambodia,1990,491.7518345,
Cambodia,1993,469.274806,
Cambodia,1996,432.558142,
Cambodia,1999,433.529042,
Cambodia,2002,408.022112,
Cambodia,2005,293.749956,
Cambodia,2008,178.7184175,
Cambodia,2010,64.73129,
Cambodia,2011,55.6499075,
Cambodia,2012,28.796894,
Cambodia,2013,23.007556,
Cameroon,1981,435.76766,
Cameroon,1984,338.003578,
Cameroon,1987,338.099281,
Cameroon,1990,766.741922,
Cameroon,1993,1473.216614,
Cameroon,1996,1518.437668,
Cameroon,1999,906.7463955,
Cameroon,2002,742.436134,
Cameroon,2005,950.530518,
Cameroon,2008,1187.532063,
Cameroon,2010,1415.065252,
Cameroon,2011,1416.337824,
Cameroon,2012,1387.959804,
Cameroon,2013,1303.062921,
Cape Verde,1981,63.391448,
Cape Verde,1984,60.840755,
Cape Verde,1987,55.391232,
Cape Verde,1990,53.901594,
Cape Verde,1993,49.26624,
Cape Verde,1996,30.34756,
Cape Verde,1999,18.9360175,
Cape Verde,2002,14.068341,
Cape Verde,2005,9.843539,
Cape Verde,2008,5.392656,
Cape Verde,2010,5.708892,
Cape Verde,2011,5.2706,
Cape Verde,2012,5.305275,
Cape Verde,2013,5.446749,
Central African Republic,1981,852.938424,
Central African Republic,1984,937.39008,
Central African Republic,1987,1031.945338,
Central African Republic,1990,1130.360616,
Central African Republic,1993,1266.49536,
Central African Republic,1996,1169.756964,
Central African Republic,1999,987.9566325,
Central African Republic,2002,820.740606,
Central African Republic,2005,876.780954,
Central African Republic,2008,981.873944,
Central African Republic,2010,1009.342092,
Central African Republic,2011,1015.978887,
Central African Republic,2012,1014.056505,
Central African Republic,2013,1545.000105,
Chad,1981,1278.814,
Chad,1984,1177.773824,
Chad,1987,1221.597476,
Chad,1990,1263.537582,
Chad,1993,1578.62792,
Chad,1996,1681.010712,
Chad,1999,1844.454792,
Chad,2002,1898.04015,
Chad,2005,953.952247,
Chad,2008,1229.141369,
Chad,2010,1179.303685,
Chad,2011,1304.244645,
Chad,2012,1245.570384,
Chad,2013,1244.815163,
Chile,1981,174.72039,
Chile,1984,283.541636,
Chile,1987,267.211098,
Chile,1990,246.951189,
Chile,1993,160.548024,
Chile,1996,121.83408,
Chile,1999,145.44082,
Chile,2002,125.013084,
Chile,2005,84.85666,
Chile,2008,81.9821025,
Chile,2010,76.721905,
Chile,2011,59.641,
Chile,2012,56.6818355,
Chile,2013,54.862785,
China,1981,297692.5666,297692.5666
China,1984,211470.136,211470.136
China,1987,163362.1721,163362.1721
China,1990,191853.8644,191853.8644
China,1993,168107.9424,168107.9424
China,1996,110105.9686,110105.9686
China,1999,114938.9576,114938.9576
China,2002,90838.04202,90838.04202
China,2005,44664.01311,44664.01311
China,2008,35551.82118,35551.82118
China,2010,24676.87014,24676.87014
China,2011,16405.91313,16405.91313
China,2012,12832.93317,12832.93317
China,2013,3294.700605,3294.700605
Colombia,1981,923.063757,
Colombia,1984,1003.976483,
Colombia,1987,1044.488672,
Colombia,1990,1076.610899,
Colombia,1993,1338.08051,
Colombia,1996,2301.00526,
Colombia,1999,2949.300156,
Colombia,2002,1703.781785,
Colombia,2005,1116.804078,
Colombia,2008,1388.76149,
Colombia,2010,945.811944,
Colombia,2011,811.070442,
Colombia,2012,942.82712,
Colombia,2013,814.191192,
Comoros,1981,6.036224,
Comoros,1984,5.4613125,
Comoros,1987,6.509191,
Comoros,1990,8.272068,
Comoros,1993,9.7055325,
Comoros,1996,14.408156,
Comoros,1999,15.9151315,
Comoros,2002,14.399834,
Comoros,2005,15.564914,
Comoros,2008,18.4464065,
Comoros,2010,19.660725,
Comoros,2011,20.172528,
Comoros,2012,20.148949,
Comoros,2013,20.18085,
Congo,1981,262.496685,
Congo,1984,188.364309,
Congo,1987,272.49002,
Congo,1990,309.1172225,
Congo,1993,354.446463,
Congo,1996,417.68118,
Congo,1999,503.472678,
Congo,2002,481.326449,
Congo,2005,483.99365,
Congo,2008,532.5490525,
Congo,2010,418.301169,
Congo,2011,430.766138,
Congo,2012,434.6643015,
Congo,2013,438.7074065,
Costa Rica,1981,278.4783925,
Costa Rica,1984,166.0239,
Costa Rica,1987,121.6100795,
Costa Rica,1990,113.727065,
Costa Rica,1993,105.622824,
Costa Rica,1996,105.35652,
Costa Rica,1999,79.8322525,
Costa Rica,2002,96.856984,
Costa Rica,2005,59.8317125,
Costa Rica,2008,47.6191775,
Costa Rica,2010,23.0346025,
Costa Rica,2011,21.37367,
Costa Rica,2012,21.92847,
Costa Rica,2013,19.59831,
Cote d'Ivoire,1981,80.197727,
Cote d'Ivoire,1984,138.8976475,
Cote d'Ivoire,1987,110.009905,
Cote d'Ivoire,1990,319.8720205,
Cote d'Ivoire,1993,610.4187,
Cote d'Ivoire,1996,556.11765,
Cote d'Ivoire,1999,807.021789,
Cote d'Ivoire,2002,840.4491825,
Cote d'Ivoire,2005,1127.812004,
Cote d'Ivoire,2008,1375.75143,
Cote d'Ivoire,2010,1418.351748,
Cote d'Ivoire,2011,1638.61567,
Cote d'Ivoire,2012,1460.35843,
Cote d'Ivoire,2013,1331.420136,
Croatia,1981,1.5985175,
Croatia,1984,1.62279,
Croatia,1987,1.643595,
Croatia,1990,4.640902,
Croatia,1993,8.0446,
Croatia,1996,10.586971,
Croatia,1999,7.57302,
Croatia,2002,0.923742,
Croatia,2005,0,
Croatia,2008,0,
Croatia,2010,0,
Croatia,2011,15.137718,
Croatia,2012,16.8790965,
Croatia,2013,16.839567,
Czech Republic,1981,0,
Czech Republic,1984,0,
Czech Republic,1987,0,
Czech Republic,1990,0,
Czech Republic,1993,0.7163855,
Czech Republic,1996,10.73538,
Czech Republic,1999,6.416262,
Czech Republic,2002,2.82948,
Czech Republic,2005,0,
Czech Republic,2008,2.879412,
Czech Republic,2010,1.452189,
Czech Republic,2011,4.36905,
Czech Republic,2012,5.830948,
Czech Republic,2013,5.830948,
Democratic Republic of Congo,1981,4836.115315,
Democratic Republic of Congo,1984,5309.80841,
Democratic Republic of Congo,1987,5816.223608,
Democratic Republic of Congo,1990,7925.612044,
Democratic Republic of Congo,1993,13633.46865,
Democratic Republic of Congo,1996,16588.57409,
Democratic Republic of Congo,1999,19939.82754,
Democratic Republic of Congo,2002,23325.94393,
Democratic Republic of Congo,2005,24579.90844,
Democratic Republic of Congo,2008,22851.45678,
Democratic Republic of Congo,2010,22590.31866,
Democratic Republic of Congo,2011,21442.79045,
Democratic Republic of Congo,2012,20132.1455,
Democratic Republic of Congo,2013,19144.25821,
Djibouti,1981,0.6928065,
Djibouti,1984,1.49796,
Djibouti,1987,3.737965,
Djibouti,1990,9.247129,
Djibouti,1993,17.176608,
Djibouti,1996,25.648404,
Djibouti,1999,29.8877695,
Djibouti,2002,31.3635375,
Djibouti,2005,36.729147,
Djibouti,2008,39.883185,
Djibouti,2010,43.170375,
Djibouti,2011,44.797326,
Djibouti,2012,46.2737875,
Djibouti,2013,44.790391,
Dominican Republic,1981,680.523228,
Dominican Republic,1984,702.3941375,
Dominican Republic,1987,706.490642,
Dominican Republic,1990,588.556806,
Dominican Republic,1993,82.329546,
Dominican Republic,1996,103.579773,
Dominican Republic,1999,111.077895,
Dominican Republic,2002,119.4102975,
Dominican Republic,2005,108.294186,
Dominican Republic,2008,64.847798,
Dominican Republic,2010,41.1939,
Dominican Republic,2011,50.081796,
Dominican Republic,2012,47.912528,
Dominican Republic,2013,39.923408,
Ecuador,1981,539.486133,
Ecuador,1984,633.687012,
Ecuador,1987,656.1897,
Ecuador,1990,668.357851,
Ecuador,1993,626.4905625,
Ecuador,1996,590.495832,
Ecuador,1999,839.30144,
Ecuador,2002,687.9610155,
Ecuador,2005,541.229592,
Ecuador,2008,396.83457,
Ecuador,2010,295.0877175,
Ecuador,2011,272.657847,
Ecuador,2012,263.066742,
Ecuador,2013,186.795612,
El Salvador,1981,336.66651,
El Salvador,1984,375.126633,
El Salvador,1987,395.3955575,
El Salvador,1990,389.9377125,
El Salvador,1993,363.126309,
El Salvador,1996,362.972352,
El Salvador,1999,357.151113,
El Salvador,2002,225.524813,
El Salvador,2005,142.3582125,
El Salvador,2008,82.8039,
El Salvador,2010,97.597642,
El Salvador,2011,44.547666,
El Salvador,2012,41.253541,
El Salvador,2013,31.253271,
Estonia,1981,0.5166575,
Estonia,1984,0.52706,
Estonia,1987,0.5374625,
Estonia,1990,2.830867,
Estonia,1993,5.0632435,
Estonia,1996,0.787816,
Estonia,1999,1.818357,
Estonia,2002,2.87109,
Estonia,2005,8.61327,
Estonia,2008,3.903018,
Estonia,2010,9.1313145,
Estonia,2011,10.7915535,
Estonia,2012,11.076582,
Estonia,2013,11.076582,
Ethiopia,1981,4657.788032,
Ethiopia,1984,5403.31995,
Ethiopia,1987,5860.468908,
Ethiopia,1990,7379.175654,
Ethiopia,1993,10399.58175,
Ethiopia,1996,9079.390768,
Ethiopia,1999,7954.816023,
Ethiopia,2002,6306.958078,
Ethiopia,2005,4468.151844,
Ethiopia,2008,5064.444642,
Ethiopia,2010,5471.129686,
Ethiopia,2011,5060.214292,
Ethiopia,2012,4424.216538,
Ethiopia,2013,3659.216688,
Fiji,1981,8.564725,
Fiji,1984,13.01006,
Fiji,1987,16.97688,
Fiji,1990,11.13761,
Fiji,1993,10.80473,
Fiji,1996,8.005764,
Fiji,1999,6.853167,
Fiji,2002,6.312237,
Fiji,2005,4.663094,
Fiji,2008,4.602066,
Fiji,2010,4.711639,
Fiji,2011,5.6111085,
Fiji,2012,5.430105,
Fiji,2013,4.5771,
Gabon,1981,4.265025,
Gabon,1984,4.3253595,
Gabon,1987,13.304104,
Gabon,1990,8.037665,
Gabon,1993,9.143104,
Gabon,1996,8.467635,
Gabon,1999,12.15012,
Gabon,2002,16.5503775,
Gabon,2005,17.705055,
Gabon,2008,23.651124,
Gabon,2010,22.641388,
Gabon,2011,19.942286,
Gabon,2012,18.534481,
Gabon,2013,16.93527,
Gambia,1981,144.3097215,
Gambia,1984,157.722705,
Gambia,1987,195.567,
Gambia,1990,223.817416,
Gambia,1993,246.0628155,
Gambia,1996,281.415365,
Gambia,1999,208.461939,
Gambia,2002,263.7331955,
Gambia,2005,181.652616,
Gambia,2008,198.700233,
Gambia,2010,191.507251,
Gambia,2011,224.2779,
Gambia,2012,223.180783,
Gambia,2013,225.5213455,
Georgia,1981,11.2347,
Georgia,1984,4.165161,
Georgia,1987,6.57438,
Georgia,1990,73.89936,
Georgia,1993,662.2890325,
Georgia,1996,38.768037,
Georgia,1999,214.79082,
Georgia,2002,167.81313,
Georgia,2005,156.330157,
Georgia,2008,138.622328,
Georgia,2010,174.7016655,
Georgia,2011,166.021126,
Georgia,2012,133.867692,
Georgia,2013,88.080048,
Ghana,1981,881.449596,
Ghana,1984,1290.792132,
Ghana,1987,1263.900976,
Ghana,1990,1482.316721,
Ghana,1993,1657.244467,
Ghana,1996,1565.822443,
Ghana,1999,1400.843647,
Ghana,2002,1413.609595,
Ghana,2005,1308.355713,
Ghana,2008,1120.757028,
Ghana,2010,1010.268608,
Ghana,2011,821.2253625,
Ghana,2012,733.276386,
Ghana,2013,678.509304,
Guatemala,1981,1076.251666,
Guatemala,1984,1317.088959,
Guatemala,1987,1343.620188,
Guatemala,1990,1105.963286,
Guatemala,1993,800.719261,
Guatemala,1996,534.9291445,
Guatemala,1999,351.329874,
Guatemala,2002,336.1151775,
Guatemala,2005,361.043035,
Guatemala,2008,366.9481875,
Guatemala,2010,410.653251,
Guatemala,2011,417.487,
Guatemala,2012,383.72742,
Guatemala,2013,343.840074,
Guinea,1981,2020.399903,
Guinea,1984,2167.560603,
Guinea,1987,2347.937179,
Guinea,1990,2598.155447,
Guinea,1993,1715.069884,
Guinea,1996,1205.08108,
Guinea,1999,1420.50992,
Guinea,2002,1627.461416,
Guinea,2005,1641.664296,
Guinea,2008,1471.233897,
Guinea,2010,1242.285275,
Guinea,2011,1042.535776,
Guinea,2012,833.962877,
Guinea,2013,866.0254625,
Guinea-Bissau,1981,155.904348,
Guinea-Bissau,1984,160.653436,
Guinea-Bissau,1987,173.6322885,
Guinea-Bissau,1990,170.766053,
Guinea-Bissau,1993,222.3229235,
Guinea-Bissau,1996,161.617401,
Guinea-Bissau,1999,218.643906,
Guinea-Bissau,2002,177.0026985,
Guinea-Bissau,2005,233.88981,
Guinea-Bissau,2008,298.160616,
Guinea-Bissau,2010,345.1126465,
Guinea-Bissau,2011,327.4075915,
Guinea-Bissau,2012,355.291146,
Guinea-Bissau,2013,375.078088,
Guyana,1981,58.292836,
Guyana,1984,84.8518055,
Guyana,1987,75.1580625,
Guyana,1990,82.3878,
Guyana,1993,54.575676,
Guyana,1996,28.249029,
Guyana,1999,24.427844,
Guyana,2002,23.760697,
Guyana,2005,23.60674,
Guyana,2008,18.6724875,
Guyana,2010,16.2799125,
Guyana,2011,14.863092,
Guyana,2012,13.492736,
Guyana,2013,12.12238,
Haiti,1981,1275.833337,
Haiti,1984,1333.717008,
Haiti,1987,1389.543758,
Haiti,1990,1441.210895,
Haiti,1993,1488.285675,
Haiti,1996,1533.796613,
Haiti,1999,1572.858,
Haiti,2002,1740.940902,
Haiti,2005,1919.479009,
Haiti,2008,1964.274255,
Haiti,2010,2113.0945,
Haiti,2011,2063.918415,
Haiti,2012,2062.337235,
Haiti,2013,2040.487131,
Honduras,1981,430.143375,
Honduras,1984,481.128108,
Honduras,1987,536.769,
Honduras,1990,704.77631,
Honduras,1993,326.144728,
Honduras,1996,529.173788,
Honduras,1999,548.304679,
Honduras,2002,682.022575,
Honduras,2005,664.639304,
Honduras,2008,317.19303,
Honduras,2010,280.8675,
Honduras,2011,416.416236,
Honduras,2012,496.511325,
Honduras,2013,417.008485,
Hungary,1981,4.456431,
Hungary,1984,4.439787,
Hungary,1987,4.414821,
Hungary,1990,4.314957,
Hungary,1993,11.495456,
Hungary,1996,16.4449655,
Hungary,1999,0.710144,
Hungary,2002,0,
Hungary,2005,0,
Hungary,2008,2.088822,
Hungary,2010,5.548,
Hungary,2011,4.148517,
Hungary,2012,14.446992,
Hungary,2013,14.4033015,
India,1981,74871.38902,
India,1984,72915.11013,
India,1987,65742.88458,
India,1990,59832.72501,
India,1993,68280.01272,
India,1996,66691.31379,
India,1999,66895.10432,
India,2002,68346.62756,
India,2005,63884.22483,
India,2008,56700.47747,
India,2010,47123.39158,
India,2011,35815.41221,
India,2012,34526.2068,
India,2013,28572.13065,
Indonesia,1981,33180.89725,
Indonesia,1984,29870.35988,
Indonesia,1987,29737.96032,
Indonesia,1990,21642.52608,
Indonesia,1993,22582.03966,
Indonesia,1996,17151.18498,
Indonesia,1999,13745.7248,
Indonesia,2002,6482.082085,
Indonesia,2005,6950.863813,
Indonesia,2008,7100.16396,
Indonesia,2010,4875.895169,
Indonesia,2011,4006.707346,
Indonesia,2012,3285.500634,
Indonesia,2013,2613.836175,
Iran,1981,803.106288,
Iran,1984,463.1338635,
Iran,1987,908.09664,
Iran,1990,592.099204,
Iran,1993,244.70841,
Iran,1996,259.3627585,
Iran,1999,256.072101,
Iran,2002,281.6997,
Iran,2005,262.592388,
Iran,2008,55.3295105,
Iran,2010,15.4477125,
Iran,2011,10.427466,
Iran,2012,10.563392,
Iran,2013,16.0510575,
Jamaica,1981,32.95512,
Jamaica,1984,37.632084,
Jamaica,1987,35.3650325,
Jamaica,1990,14.585692,
Jamaica,1993,43.318784,
Jamaica,1996,14.273617,
Jamaica,1999,12.832524,
Jamaica,2002,13.263881,
Jamaica,2005,6.591024,
Jamaica,2008,6.1104285,
Jamaica,2010,7.835163,
Jamaica,2011,7.4898,
Jamaica,2012,7.893417,
Jamaica,2013,7.7054785,
Kazakhstan,1981,1.018058,
Kazakhstan,1984,1.0548135,
Kazakhstan,1987,1.09573,
Kazakhstan,1990,1.1338725,
Kazakhstan,1993,109.8510935,
Kazakhstan,1996,189.082775,
Kazakhstan,1999,266.0966435,
Kazakhstan,2002,145.306281,
Kazakhstan,2005,4.20261,
Kazakhstan,2008,1.0867145,
Kazakhstan,2010,2.263584,
Kazakhstan,2011,1.148436,
Kazakhstan,2012,1.1643865,
Kazakhstan,2013,1.181724,
Kenya,1981,886.04334,
Kenya,1984,1130.914029,
Kenya,1987,1128.86543,
Kenya,1990,1149.764053,
Kenya,1993,1643.786406,
Kenya,1996,1076.467344,
Kenya,1999,1517.14221,
Kenya,2002,2350.932406,
Kenya,2005,2868.281325,
Kenya,2008,2885.315072,
Kenya,2010,2707.385164,
Kenya,2011,2605.336639,
Kenya,2012,2581.380375,
Kenya,2013,2502.698639,
Kiribati,1981,2.484117,
Kiribati,1984,2.034729,
Kiribati,1987,3.10688,
Kiribati,1990,2.9563905,
Kiribati,1993,3.534076,
Kiribati,1996,3.16236,
Kiribati,1999,2.518792,
Kiribati,2002,2.521566,
Kiribati,2005,2.446668,
Kiribati,2008,2.78787,
Kiribati,2010,3.13462,
Kiribati,2011,3.086075,
Kiribati,2012,3.326026,
Kiribati,2013,3.2421125,
Kosovo,1981,2.9022975,
Kosovo,1984,2.1741225,
Kosovo,1987,1.45635,
Kosovo,1990,1.418901,
Kosovo,1993,4.5084435,
Kosovo,1996,5.000135,
Kosovo,1999,3.295512,
Kosovo,2002,2.711585,
Kosovo,2005,7.589664,
Kosovo,2008,4.4904125,
Kosovo,2010,3.579847,
Kosovo,2011,1.489638,
Kosovo,2012,1.1297115,
Kosovo,2013,2.398123,
Kyrgyzstan,1981,0,
Kyrgyzstan,1984,0,
Kyrgyzstan,1987,0,
Kyrgyzstan,1990,218.8970335,
Kyrgyzstan,1993,702.15488,
Kyrgyzstan,1996,634.7959185,
Kyrgyzstan,1999,257.782272,
Kyrgyzstan,2002,301.069155,
Kyrgyzstan,2005,109.500876,
Kyrgyzstan,2008,27.67065,
Kyrgyzstan,2010,41.1973675,
Kyrgyzstan,2011,8.406607,
Kyrgyzstan,2012,28.789959,
Kyrgyzstan,2013,19.040736,
Laos,1981,393.253336,
Laos,1984,324.244538,
Laos,1987,256.94175,
Laos,1990,192.4635875,
Laos,1993,176.21835,
Laos,1996,246.783362,
Laos,1999,220.692505,
Laos,2002,229.236425,
Laos,2005,165.8852,
Laos,2008,185.0292675,
Laos,2010,175.823055,
Laos,2011,160.800458,
Laos,2012,164.222187,
Laos,2013,146.936006,
Latvia,1981,0.699048,
Latvia,1984,0.710144,
Latvia,1987,0.5471715,
Latvia,1990,0.368942,
Latvia,1993,0,
Latvia,1996,3.241419,
Latvia,1999,5.8011275,
Latvia,2002,3.3641685,
Latvia,2005,38.680656,
Latvia,2008,0,
Latvia,2010,19.660725,
Latvia,2011,14.2861,
Latvia,2012,13.6557085,
Latvia,2013,13.2423825,
Lesotho,1981,426.729968,
Lesotho,1984,450.586368,
Lesotho,1987,472.24576,
Lesotho,1990,483.67464,
Lesotho,1993,518.733839,
Lesotho,1996,523.274877,
Lesotho,1999,486.554052,
Lesotho,2002,436.992381,
Lesotho,2005,432.1871195,
Lesotho,2008,438.275356,
Lesotho,2010,443.6895105,
Lesotho,2011,436.8418915,
Lesotho,2012,428.725861,
Lesotho,2013,420.627168,
Liberia,1981,19.845196,
Liberia,1984,29.659608,
Liberia,1987,33.41283,
Liberia,1990,257.19141,
Liberia,1993,766.5248565,
Liberia,1996,979.4994,
Liberia,1999,499.559951,
Liberia,2002,400.8991735,
Liberia,2005,725.9051745,
Liberia,2008,688.4617225,
Liberia,2010,703.317186,
Liberia,2011,671.718552,
Liberia,2012,636.0719585,
Liberia,2013,589.3702815,
Lithuania,1981,2.1408345,
Lithuania,1984,1.7039295,
Lithuania,1987,1.255235,
Lithuania,1990,28.22545,
Lithuania,1993,23.223928,
Lithuania,1996,0,
Lithuania,1999,1.22056,
Lithuania,2002,1.669948,
Lithuania,2005,20.031054,
Lithuania,2008,0.66576,
Lithuania,2010,28.593005,
Lithuania,2011,17.230701,
Lithuania,2012,15.5517375,
Lithuania,2013,15.190424,
Macedonia,1981,0,
Macedonia,1984,0,
Macedonia,1987,0,
Macedonia,1990,1.1096,
Macedonia,1993,2.854446,
Macedonia,1996,1.087408,
Macedonia,1999,10.2638,
Macedonia,2002,4.3641955,
Macedonia,2005,5.376012,
