Entity,Year,Number of executions (Amnesty International)
North Korea,2015,>1
North Korea,2016,>1
Oman,2009,4
Oman,2015,2
Pakistan,2007,135
Pakistan,2008,36
Pakistan,2009,0
Pakistan,2012,1
Pakistan,2014,7
Pakistan,2015,326
Pakistan,2016,87
Palestine,2009,0
Palestine,2010,5
Palestine,2011,3
Palestine,2012,6
Palestine,2013,3
Palestine,2014,2
Palestine,2016,3
Saudi Arabia,2007,143
Saudi Arabia,2008,102
Saudi Arabia,2009,69
Saudi Arabia,2010,27
Saudi Arabia,2011,82
Saudi Arabia,2012,79
Saudi Arabia,2013,79
Saudi Arabia,2014,90
Saudi Arabia,2015,158
Saudi Arabia,2016,154
Singapore,2007,2
Singapore,2008,1
Singapore,2009,1
Singapore,2014,2
Singapore,2015,4
Singapore,2016,4
Somalia,2007,5
Somalia,2009,0
Somalia,2010,8
Somalia,2011,10
Somalia,2012,6
Somalia,2013,34
Somalia,2014,14
Somalia,2015,25
Somalia,2016,14
South Sudan,2011,5
South Sudan,2012,5
South Sudan,2013,4
South Sudan,2015,5
South Sudan,2016,>1
Sudan,2007,7
Sudan,2008,1
Sudan,2009,9
Sudan,2010,6
Sudan,2011,7
Sudan,2012,19
Sudan,2013,21
Sudan,2014,23
Sudan,2015,3
Sudan,2016,2
Syria,2007,7
Syria,2008,1
Syria,2009,8
Syria,2010,17
Taiwan,2007,0
Taiwan,2008,0
Taiwan,2009,0
Taiwan,2010,4
Taiwan,2011,5
Taiwan,2012,6
Taiwan,2013,6
Taiwan,2014,5
Taiwan,2015,6
Taiwan,2016,1
Thailand,2007,0
Thailand,2008,0
Thailand,2009,2
United Arab Emirates,2007,0
United Arab Emirates,2008,1
United Arab Emirates,2009,0
United Arab Emirates,2011,1
United Arab Emirates,2012,1
United Arab Emirates,2014,1
United Arab Emirates,2015,1
United States,2007,42
United States,2008,37
United States,2009,52
United States,2010,46
United States,2011,43
United States,2012,43
United States,2013,39
United States,2014,35
United States,2015,28
United States,2016,20
Vietnam,2007,25
Vietnam,2008,19
Vietnam,2009,9
Vietnam,2011,5
Vietnam,2014,3
Vietnam,2015,>1
Vietnam,2016,>1
World (excluding China),2007,1248
World (excluding China),2008,2390
World (excluding China),2009,712
World (excluding China),2010,521
World (excluding China),2011,670
World (excluding China),2012,680
World (excluding China),2013,767
World (excluding China),2014,603
World (excluding China),2015,1626
World (excluding China),2016,613
Yemen,2007,15
Yemen,2008,13
Yemen,2009,30
Yemen,2010,53
Yemen,2011,41
Yemen,2012,28
Yemen,2013,13
Yemen,2014,22
Yemen,2015,8
