Entity,Year,"Gini coefficient, equivalized income after tax and transfers"
Germany,2009,28.3
Germany,2010,28
Germany,2011,28.6
Germany,2012,28.8
Iceland,2003,24.1
Iceland,2004,25.1
Iceland,2005,26.3
Iceland,2006,28
Iceland,2007,27.3
Iceland,2008,29.6
Iceland,2009,25.7
Iceland,2010,23.6
Iceland,2011,24
Iceland,2012,24
Iceland,2013,22.7
Iceland,2014,23.6
India,2004,47.2
India,2011,47.9
Italy,1901,48.53
Italy,1911,46.02
Italy,1921,45.13
Italy,1931,44.9
Italy,1948,41.63
Italy,1967,39.1
Italy,1968,40.77
Italy,1969,39.69
Italy,1970,38.27
Italy,1971,39.72
Italy,1972,38.51
Italy,1973,40.05
Italy,1974,39.12
Italy,1975,35.25
Italy,1977,34.91
Italy,1978,33.25
Italy,1979,34.6
Italy,1980,32.51
Italy,1981,31.92
Italy,1982,29.5
Italy,1983,30.05
Italy,1984,31.9
Italy,1986,31.02
Italy,1987,32.16
Italy,1989,29.62
Italy,1991,29.27
Italy,1993,32.74
Italy,1995,33.22
Italy,1998,33.61
Italy,2000,33.31
Italy,2002,33.35
Italy,2004,34.88
Italy,2006,33.81
Italy,2008,33.26
Italy,2010,34.7
Italy,2012,34.96
Japan,1962,24.71
Japan,1967,23.56
Japan,1972,22.55
Japan,1975,24.85
Japan,1978,24.27
Japan,1981,22.55
Japan,1982,22.1
Japan,1983,22.22
Japan,1984,22.17
Japan,1985,23.07
Japan,1986,23.14
Japan,1987,23.21
Japan,1988,23.94
Japan,1989,24.01
Japan,1990,23.97
Japan,1991,24.32
Japan,1992,24.14
Japan,1993,23.61
Japan,1994,24.21
Japan,1995,24.38
Japan,1996,24.19
Japan,1997,23.98
Japan,1998,24.37
Japan,1999,23.78
Japan,2000,24.56
Japan,2001,24.83
Japan,2002,25.54
Japan,2003,25.22
Japan,2004,25.22
Japan,2005,25.87
Japan,2006,24.78
Japan,2007,25.43
Japan,2008,25.44
Netherlands,1959,32.62
Netherlands,1970,28.71
Netherlands,1977,25.75
Netherlands,1981,25.97
Netherlands,1985,25.86
Netherlands,1989,26.85
Netherlands,1990,28.39
Netherlands,1991,28.39
Netherlands,1992,28.17
Netherlands,1993,28.28
Netherlands,1994,28.06
Netherlands,1995,27.84
Netherlands,1996,28.28
Netherlands,1997,27.95
Netherlands,1998,28.17
Netherlands,1999,28.39
Netherlands,2000,28.5
Netherlands,2001,27.8
Netherlands,2002,27.9
Netherlands,2003,27.8
Netherlands,2004,28.1
Netherlands,2005,28.1
Netherlands,2006,27.6
Netherlands,2007,29
Netherlands,2008,28.2
Netherlands,2009,28.1
Netherlands,2010,27.9
Netherlands,2011,27.8
Netherlands,2012,28
Netherlands,2013,28.2
Netherlands,2014,28.6
New Zealand,1982,27.2
New Zealand,1984,27.5
New Zealand,1986,27
New Zealand,1988,27.1
New Zealand,1990,30.2
New Zealand,1992,31.9
New Zealand,1994,32.2
New Zealand,1996,33.1
New Zealand,1998,33
New Zealand,2001,33.8
New Zealand,2004,33.4
New Zealand,2007,32
New Zealand,2008,33.3
New Zealand,2009,32.9
New Zealand,2010,32.4
New Zealand,2011,35.1
New Zealand,2012,32.4
New Zealand,2013,33.4
New Zealand,2014,34.2
New Zealand,2015,35
Norway,1986,21
Norway,1987,21
Norway,1988,21.1
Norway,1989,22.8
Norway,1990,21.7
Norway,1991,21.9
Norway,1992,22.3
Norway,1993,22.9
Norway,1994,24.1
Norway,1995,23.6
Norway,1996,24.5
Norway,1997,24.9
Norway,1998,23.8
Norway,1999,24.2
Norway,2000,26.2
Norway,2001,22.9
Norway,2002,26.4
Norway,2003,27.4
Norway,2004,28.3
Norway,2005,32.7
Norway,2006,24.3
Norway,2007,25.2
Norway,2008,24.8
Norway,2009,24.1
Norway,2010,24.5
Norway,2011,24.7
Norway,2012,24.9
Norway,2013,25
Norway,2014,25.6
Norway,2015,27.1
Portugal,1993,38.7
Portugal,1994,37.4
Portugal,1995,36.1
Portugal,1996,36.4
Portugal,1997,36.8
Portugal,1998,36.3
Portugal,1999,35.7
Portugal,2000,36.9
Portugal,2003,37.8
Portugal,2004,38.1
Portugal,2005,37.7
Portugal,2006,36.8
Portugal,2007,35.8
Portugal,2008,35.4
Portugal,2009,33.7
Portugal,2010,34.2
Portugal,2011,34.5
Portugal,2012,34.2
Portugal,2013,34.5
Portugal,2014,34
Spain,1980,29.22
Spain,1985,28.86
Spain,1990,27.75
Spain,1994,32.44
Spain,1995,32.44
Spain,1996,33.39
Spain,1997,32.44
Spain,1998,31.49
Spain,1999,30.53
Spain,2000,31.49
Spain,2001,31.49
Spain,2003,31.49
Spain,2004,32.7
Spain,2005,32.4
Spain,2006,32.4
Spain,2007,32.4
Spain,2008,32.9
Spain,2009,33.5
Spain,2010,34
Spain,2011,34.2
Spain,2012,33.7
Spain,2013,34.7
Spain,2014,34.6
Sweden,1975,23.84
Sweden,1978,22.52
Sweden,1980,22.08
Sweden,1981,21.86
Sweden,1982,22.3
Sweden,1983,22.08
Sweden,1984,23.07
Sweden,1985,23.18
Sweden,1986,24.17
Sweden,1987,22.96
Sweden,1988,22.96
Sweden,1989,23.4
Sweden,1990,23.7
Sweden,1991,24.9
Sweden,1992,24.1
Sweden,1993,24.3
Sweden,1994,27.1
Sweden,1995,24.4
Sweden,1996,25.3
Sweden,1997,27.7
Sweden,1998,26.3
Sweden,1999,28.1
Sweden,2000,31.3
Sweden,2001,28.2
Sweden,2002,28
Sweden,2003,27.6
Sweden,2004,28.1
Sweden,2005,29.6
Sweden,2006,31.1
Sweden,2007,33.2
Sweden,2008,31.4
Sweden,2009,32
Sweden,2010,32.5
Sweden,2011,32.6
Sweden,2012,32
Sweden,2013,33
Switzerland,2006,30.4
Switzerland,2007,31.1
Switzerland,2008,30.7
Switzerland,2009,29.6
Switzerland,2010,29.7
Switzerland,2011,28.8
Switzerland,2012,28.5
Switzerland,2013,29.5
UK,1961,26.11
UK,1962,24.84
UK,1963,27.11
UK,1964,26.41
UK,1965,25.12
UK,1966,26.06
UK,1967,25.09
UK,1968,24.95
UK,1969,25.66
UK,1970,25.91
UK,1971,26.63
UK,1972,26.93
UK,1973,25.86
UK,1974,25.11
UK,1975,24.3
UK,1976,24.26
UK,1977,23.95
UK,1978,23.96
UK,1979,25.31
UK,1980,25.75
UK,1981,26.33
UK,1982,26.12
UK,1983,26.78
UK,1984,27
UK,1985,28.2
UK,1986,29.1
UK,1987,30.5
UK,1988,32.26
UK,1989,32.68
UK,1990,33.91
UK,1991,34.08
UK,1992,34.01
UK,1993,33.97
UK,1994,33.26
UK,1995,33.32
UK,1996,33.33
UK,1997,34.06
UK,1998,34.84
UK,1999,34.61
UK,2000,35.29
UK,2001,34.86
UK,2002,34.39
UK,2003,33.98
UK,2004,34.08
UK,2005,34.54
UK,2006,35.21
UK,2007,35.83
UK,2008,35.65
UK,2009,35.77
UK,2010,33.75
UK,2011,34.03
UK,2012,33.66
UK,2013,34.29
UK,2014,33.99
United States,1974,31.6
United States,1979,31
United States,1986,34
United States,1991,34.6
United States,1994,36.1
United States,1997,36
United States,2000,35.7
United States,2004,36.4
United States,2007,37.1
United States,2010,36.7
United States,2013,37.7
