Entity,Year,Other social policy areas
Latvia,1980,..
Latvia,1985,..
Latvia,1990,..
Latvia,1995,0
Latvia,2000,0.1
Latvia,2005,0.1
Latvia,2010,0.2
Latvia,2013,0.1
Latvia,2014,..
Latvia,2015,..
Luxembourg,1980,0.2
Luxembourg,1985,0.2
Luxembourg,1990,0.2
Luxembourg,1995,0.2
Luxembourg,2000,0.2
Luxembourg,2005,0.4
Luxembourg,2010,0.5
Luxembourg,2013,0.5
Luxembourg,2014,..
Luxembourg,2015,..
Mexico,1980,..
Mexico,1985,0
Mexico,1990,0.3
Mexico,1995,0.5
Mexico,2000,0.2
Mexico,2005,0.7
Mexico,2010,0.5
Mexico,2013,0
Mexico,2014,..
Mexico,2015,..
Netherlands,1980,1.2
Netherlands,1985,0.9
Netherlands,1990,0.8
Netherlands,1995,0.7
Netherlands,2000,0.6
Netherlands,2005,0.5
Netherlands,2010,1.1
Netherlands,2013,1.3
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,0.2
New Zealand,1985,0.2
New Zealand,1990,0.1
New Zealand,1995,0.2
New Zealand,2000,0.1
New Zealand,2005,0.1
New Zealand,2010,0.2
New Zealand,2013,0.2
New Zealand,2014,0.2
New Zealand,2015,..
Norway,1980,0.4
Norway,1985,0.8
Norway,1990,0.9
Norway,1995,0.8
Norway,2000,0.6
Norway,2005,0.6
Norway,2010,0.7
Norway,2013,0.7
Norway,2014,..
Norway,2015,..
OECD - Total,1980,0.3
OECD - Total,1985,0.4
OECD - Total,1990,0.4
OECD - Total,1995,0.5
OECD - Total,2000,0.4
OECD - Total,2005,0.5
OECD - Total,2010,0.5
OECD - Total,2013,0.5
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,0.1
Poland,1995,0.4
Poland,2000,0.1
Poland,2005,0.4
Poland,2010,0.2
Poland,2013,..
Poland,2014,..
Poland,2015,..
Portugal,1980,0
Portugal,1985,0
Portugal,1990,0
Portugal,1995,0
Portugal,2000,0.2
Portugal,2005,0.2
Portugal,2010,0.3
Portugal,2013,0.2
Portugal,2014,..
Portugal,2015,..
Slovak Republic,1980,..
Slovak Republic,1985,..
Slovak Republic,1990,..
Slovak Republic,1995,0.8
Slovak Republic,2000,1.1
Slovak Republic,2005,0.5
Slovak Republic,2010,0.4
Slovak Republic,2013,0.4
Slovak Republic,2014,..
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,0.4
Slovenia,2005,0.6
Slovenia,2010,0.6
Slovenia,2013,0.7
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,0
Spain,1985,0
Spain,1990,0.1
Spain,1995,0.1
Spain,2000,0.1
Spain,2005,0.2
Spain,2010,0.2
Spain,2013,0.2
Spain,2014,..
Spain,2015,..
Sweden,1980,0.4
Sweden,1985,0.6
Sweden,1990,0.5
Sweden,1995,0.9
Sweden,2000,0.6
Sweden,2005,0.6
Sweden,2010,0.7
Sweden,2013,0.7
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,0.8
Switzerland,1985,0.9
Switzerland,1990,0.3
Switzerland,1995,0.5
Switzerland,2000,0.6
Switzerland,2005,0.6
Switzerland,2010,0.6
Switzerland,2013,0.6
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,0
Turkey,1985,0
Turkey,1990,0.1
Turkey,1995,0.1
Turkey,2000,0.4
Turkey,2005,0.1
Turkey,2010,0.1
Turkey,2013,0.2
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,0.6
United Kingdom,1985,0.9
United Kingdom,1990,0.1
United Kingdom,1995,0.1
United Kingdom,2000,0.2
United Kingdom,2005,0.2
United Kingdom,2010,0.5
United Kingdom,2013,0.4
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,0.5
United States,1985,0.4
United States,1990,0.4
United States,1995,0.6
United States,2000,0.5
United States,2005,0.6
United States,2010,0.9
United States,2013,0.9
United States,2014,..
United States,2015,..
