Entity,Year,Hours per week spent in market and non-market work (Aguiar and Hurst (2006)),Hours per week spent on child care (Aguiar and Hurst (2006)),Hours per week spent in leisure (Aguiar and Hurst (2006))
Recreational Child Care (Working women),1985,,.33,
Recreational Child Care (Working women),1993,,.44,
Recreational Child Care (Working women),2003,,.87,
Shopping/Obtaining Goods and Services (Men),1965,4.73,,
Shopping/Obtaining Goods and Services (Men),1975,4.32,,
Shopping/Obtaining Goods and Services (Men),1985,4.64,,
Shopping/Obtaining Goods and Services (Men),1993,3.9,,
Shopping/Obtaining Goods and Services (Men),2003,4.39,,
Shopping/Obtaining Goods and Services (Total),1965,6.09,,
Shopping/Obtaining Goods and Services (Total),1975,5.26,,
Shopping/Obtaining Goods and Services (Total),1985,5.97,,
Shopping/Obtaining Goods and Services (Total),1993,5.35,,
Shopping/Obtaining Goods and Services (Total),2003,5.27,,
Shopping/Obtaining Goods and Services (Women),1965,7.2,,
Shopping/Obtaining Goods and Services (Women),1975,6.12,,
Shopping/Obtaining Goods and Services (Women),1985,7.05,,
Shopping/Obtaining Goods and Services (Women),1993,6.58,,
Shopping/Obtaining Goods and Services (Women),2003,6.12,,
Total Child Care (Men),1965,,1.169999957084656,
Total Child Care (Men),1975,,1.509999990463257,
Total Child Care (Men),1985,,1.59,
Total Child Care (Men),1993,,1.41,
Total Child Care (Men),2003,,3.1,
Total Child Care (Non-working women),1965,,9.75,
Total Child Care (Non-working women),1975,,7.170000076293945,
Total Child Care (Non-working women),1985,,7.91,
Total Child Care (Non-working women),1993,,7.12,
Total Child Care (Non-working women),2003,,11.36,
Total Child Care (Working women),1965,,2.890000104904175,
Total Child Care (Working women),1975,,3.47000002861023,
Total Child Care (Working women),1985,,3.67,
Total Child Care (Working women),1993,,3.13,
Total Child Care (Working women),2003,,5.74,
Total Market Work (Men),1965,51.42,,
Total Market Work (Men),1975,45.36,,
Total Market Work (Men),1985,41.88,,
Total Market Work (Men),1993,42.35,,
Total Market Work (Men),2003,39.94,,
Total Market Work (Total),1965,34.24,,
Total Market Work (Total),1975,32.13,,
Total Market Work (Total),1985,32.13,,
Total Market Work (Total),1993,34.02,,
Total Market Work (Total),2003,33.01,,
Total Market Work (Women),1965,20.14,,
Total Market Work (Women),1975,20.13,,
Total Market Work (Women),1985,24.28,,
Total Market Work (Women),1993,26.94,,
Total Market Work (Women),2003,26.3,,
Total Market Work Plus Total Non Market Work (Men),1965,61.2,,
Total Market Work Plus Total Non Market Work (Men),1975,56.07,,
Total Market Work Plus Total Non Market Work (Men),1985,55.55,,
Total Market Work Plus Total Non Market Work (Men),1993,54.56,,
Total Market Work Plus Total Non Market Work (Men),2003,53.6,,
Total Market Work Plus Total Non Market Work (Total),1965,57.76,,
Total Market Work Plus Total Non Market Work (Total),1975,52.43,,
Total Market Work Plus Total Non Market Work (Total),1985,52.77,,
Total Market Work Plus Total Non Market Work (Total),1993,51.96,,
Total Market Work Plus Total Non Market Work (Total),2003,51.01,,
Total Market Work Plus Total Non Market Work (Women),1965,54.47,,
Total Market Work Plus Total Non Market Work (Women),1975,48.56,,
Total Market Work Plus Total Non Market Work (Women),1985,49.8,,
Total Market Work Plus Total Non Market Work (Women),1993,48.97,,
Total Market Work Plus Total Non Market Work (Women),2003,46.91,,
Total Non Market Work (Men),1965,9.77,,
Total Non Market Work (Men),1975,10.71,,
Total Non Market Work (Men),1985,13.67,,
Total Non Market Work (Men),1993,12.22,,
Total Non Market Work (Men),2003,13.66,,
Total Non Market Work (Total),1965,23.52,,
Total Non Market Work (Total),1975,20.3,,
Total Non Market Work (Total),1985,20.64,,
Total Non Market Work (Total),1993,17.94,,
Total Non Market Work (Total),2003,18,,
Total Non Market Work (Women),1965,34.8,,
Total Non Market Work (Women),1975,29,,
Total Non Market Work (Women),1985,26.26,,
Total Non Market Work (Women),1993,22.8,,
Total Non Market Work (Women),2003,22.21,,
