Entity,Year,Full-time production workers (male and female) in non-agricultural activities (Weekly Work Hours) (Huberman & Minns (2007)) ,Full-time production workers (male and female) in non-agricultural activities (Annual Work Hours) (Huberman & Minns (2007)),Weeks Worked,Days of Vacation and Holidays
Netherlands,1890,61.9,3105,50.2,
Netherlands,1900,60.5,3037,50.2,5
Netherlands,1913,58.6,2942,50.2,
Netherlands,1929,48.1,2233,46.4,
Netherlands,1938,48.5,2281,47,21
Netherlands,1950,49.2,2156,,24
Netherlands,1960,,2002,,
Netherlands,1970,45.1,1709,,
Netherlands,1980,40.8,1667,,33
Netherlands,1990,34,1414,,35
Netherlands,2000,33.85,1352,,37.5
Spain,1870,64.7,2968,45.9,31
Spain,1880,62.7,2876,45.9,
Spain,1890,60.8,2787,45.8,
Spain,1900,59.1,2710,45.9,31
Spain,1913,56.7,2601,45.9,
Spain,1929,48.5,2342,48.3,
Spain,1938,47,2030,43.2,44
Spain,1950,,2052,,
Spain,1960,,2042,,
Spain,1970,,2124,,
Spain,1980,40,1968,,30
Spain,1990,38.9,1832,,35
Spain,2000,35.45,1815,,36
Sweden,1870,69.6,3436,49.4,11
Sweden,1880,64.6,3187,49.3,
Sweden,1890,59.9,2937,49,
Sweden,1900,56,2745,49,13
Sweden,1913,56,2745,49,
Sweden,1929,48,2152,44.8,
Sweden,1938,46.3,2131,46,28
Sweden,1950,46.8,2009,,29
Sweden,1960,43.4,1902,,
Sweden,1970,,1683,,
Sweden,1980,37.7,1523,,30
Sweden,1990,38.2,1550,,37
Sweden,2000,37.7,1645,,38
Switzerland,1870,65.4,3195,48.9,13
Switzerland,1880,63.1,3083,48.9,
Switzerland,1890,60.9,2925,48,
Switzerland,1900,59,2834,48,18
Switzerland,1913,56.3,2704,48,
Switzerland,1929,48.5,2281,47,
Switzerland,1938,46.3,2085,45,33
Switzerland,1950,47.5,2092,,25
Switzerland,1960,46.1,1952,,
Switzerland,1970,,1835,,
Switzerland,1980,43.8,1721,,28
Switzerland,1990,41.6,1617,,28
Switzerland,2000,,1597,,33
United Kingdom,1870,56.9,2755,48.4,14
United Kingdom,1880,56.6,2740,48.4,
United Kingdom,1890,56.3,2669,47.4,
United Kingdom,1900,56,2656,47.4,20
United Kingdom,1913,56,2656,47.4,
United Kingdom,1929,47,2257,48,
United Kingdom,1938,48.6,2200,45.3,30
United Kingdom,1950,45.7,2112,,24
United Kingdom,1960,44.7,2134,,
United Kingdom,1970,42,1919,,
United Kingdom,1980,40,1758,,28
United Kingdom,1990,42.4,1698,,30
United Kingdom,2000,40.45,1653,,32.5
United States,1870,62,3096,49.9,4
United States,1880,61,3044,49.9,
United States,1890,60,2983,49.7,
United States,1900,59.1,2938,49.7,5
United States,1913,58.3,2900,49.7,
United States,1929,48,2316,48.3,
United States,1938,37.3,1756,47.1,17
United States,1950,42.4,2008,,18
United States,1960,40.2,2033,,
United States,1970,38.8,1942,,
United States,1980,39.1,1853,,22
United States,1990,39.7,1840,,23
United States,2000,40.25,1878,,20
