Entity,Year,Fertility (UN Population Division (2015 revision))
Aruba,1980,2.45
Aruba,1985,2.36
Aruba,1990,2.3
Aruba,1995,2.17
Aruba,2000,1.95
Aruba,2005,1.82
Aruba,2010,1.74
Aruba,2015,1.68
Asia,1955,5.82
Asia,1960,5.58
Asia,1965,5.78
Asia,1970,5.73
Asia,1975,5.06
Asia,1980,4.1
Asia,1985,3.7
Asia,1990,3.51
Asia,1995,2.96
Asia,2000,2.55
Asia,2005,2.39
Asia,2010,2.29
Asia,2015,2.2
Australia,1955,3.18
Australia,1960,3.41
Australia,1965,3.27
Australia,1970,2.87
Australia,1975,2.54
Australia,1980,1.99
Australia,1985,1.91
Australia,1990,1.86
Australia,1995,1.86
Australia,2000,1.79
Australia,2005,1.77
Australia,2010,1.95
Australia,2015,1.92
Australia/New Zealand,1955,3.27
Australia/New Zealand,1960,3.53
Australia/New Zealand,1965,3.41
Australia/New Zealand,1970,2.96
Australia/New Zealand,1975,2.59
Australia/New Zealand,1980,2.02
Australia/New Zealand,1985,1.92
Australia/New Zealand,1990,1.89
Australia/New Zealand,1995,1.9
Australia/New Zealand,2000,1.82
Australia/New Zealand,2005,1.8
Australia/New Zealand,2010,1.99
Australia/New Zealand,2015,1.94
Austria,1955,2.1
Austria,1960,2.57
Austria,1965,2.78
Austria,1970,2.57
Austria,1975,2.04
Austria,1980,1.65
Austria,1985,1.6
Austria,1990,1.45
Austria,1995,1.48
Austria,2000,1.39
Austria,2005,1.38
Austria,2010,1.4
Austria,2015,1.47
Azerbaijan,1955,5.49
Azerbaijan,1960,5.41
Azerbaijan,1965,5.64
Azerbaijan,1970,4.94
Azerbaijan,1975,4.29
Azerbaijan,1980,3.62
Azerbaijan,1985,3.04
Azerbaijan,1990,2.95
Azerbaijan,1995,2.9
Azerbaijan,2000,2.2
Azerbaijan,2005,2
Azerbaijan,2010,2.29
Azerbaijan,2015,2.3
Bahamas,1955,4.05
Bahamas,1960,4.31
Bahamas,1965,4.5
Bahamas,1970,3.58
Bahamas,1975,3.54
Bahamas,1980,2.95
Bahamas,1985,3.05
Bahamas,1990,2.65
Bahamas,1995,2.64
Bahamas,2000,2.33
Bahamas,2005,1.87
Bahamas,2010,1.91
Bahamas,2015,1.89
Bahrain,1955,6.97
Bahrain,1960,6.97
Bahrain,1965,7.18
Bahrain,1970,6.97
Bahrain,1975,5.95
Bahrain,1980,5.23
Bahrain,1985,4.63
Bahrain,1990,4.08
Bahrain,1995,3.4
Bahrain,2000,2.87
Bahrain,2005,2.67
Bahrain,2010,2.23
Bahrain,2015,2.1
Bangladesh,1955,6.36
Bangladesh,1960,6.62
Bangladesh,1965,6.8
Bangladesh,1970,6.92
Bangladesh,1975,6.91
Bangladesh,1980,6.63
Bangladesh,1985,5.98
Bangladesh,1990,4.98
Bangladesh,1995,4.06
Bangladesh,2000,3.43
Bangladesh,2005,2.93
Bangladesh,2010,2.48
Bangladesh,2015,2.23
Barbados,1955,4.42
Barbados,1960,4.3
Barbados,1965,4.27
Barbados,1970,3.53
Barbados,1975,2.72
Barbados,1980,2.16
Barbados,1985,1.92
Barbados,1990,1.77
Barbados,1995,1.73
Barbados,2000,1.74
Barbados,2005,1.75
Barbados,2010,1.77
Barbados,2015,1.79
Belarus,1955,2.61
Belarus,1960,2.73
Belarus,1965,2.69
Belarus,1970,2.38
Belarus,1975,2.25
Belarus,1980,2.09
Belarus,1985,2.09
Belarus,1990,2
Belarus,1995,1.68
Belarus,2000,1.31
Belarus,2005,1.26
Belarus,2010,1.43
Belarus,2015,1.58
Belgium,1955,2.34
Belgium,1960,2.5
Belgium,1965,2.65
Belgium,1970,2.39
Belgium,1975,2.01
Belgium,1980,1.7
Belgium,1985,1.6
Belgium,1990,1.56
Belgium,1995,1.61
Belgium,2000,1.6
Belgium,2005,1.68
Belgium,2010,1.82
Belgium,2015,1.82
Belize,1955,6.65
Belize,1960,6.55
Belize,1965,6.45
Belize,1970,6.35
Belize,1975,6.25
Belize,1980,6.2
Belize,1985,5.4
Belize,1990,4.7
Belize,1995,4.35
Belize,2000,3.85
Belize,2005,3.35
Belize,2010,2.84
Belize,2015,2.64
Benin,1955,5.86
Benin,1960,6.13
Benin,1965,6.42
Benin,1970,6.65
Benin,1975,6.83
Benin,1980,7
Benin,1985,7.01
Benin,1990,6.88
Benin,1995,6.56
Benin,2000,6.16
Benin,2005,5.78
Benin,2010,5.31
Benin,2015,4.89
Bhutan,1955,6.67
Bhutan,1960,6.67
Bhutan,1965,6.67
Bhutan,1970,6.67
Bhutan,1975,6.67
Bhutan,1980,6.67
Bhutan,1985,6.39
Bhutan,1990,6.11
Bhutan,1995,5.07
Bhutan,2000,4.13
Bhutan,2005,3.14
Bhutan,2010,2.62
Bhutan,2015,2.1
Bolivia,1955,6.89
Bolivia,1960,6.77
Bolivia,1965,6.61
Bolivia,1970,6.41
Bolivia,1975,6.15
Bolivia,1980,5.89
Bolivia,1985,5.51
Bolivia,1990,5.09
Bolivia,1995,4.7
Bolivia,2000,4.29
Bolivia,2005,3.82
Bolivia,2010,3.39
Bolivia,2015,3.04
Bosnia and Herzegovina,1955,4.77
Bosnia and Herzegovina,1960,3.91
Bosnia and Herzegovina,1965,3.68
Bosnia and Herzegovina,1970,3.14
Bosnia and Herzegovina,1975,2.73
Bosnia and Herzegovina,1980,2.19
Bosnia and Herzegovina,1985,2.12
Bosnia and Herzegovina,1990,1.91
Bosnia and Herzegovina,1995,1.65
Bosnia and Herzegovina,2000,1.63
Bosnia and Herzegovina,2005,1.22
Bosnia and Herzegovina,2010,1.28
Bosnia and Herzegovina,2015,1.28
Botswana,1955,6.5
Botswana,1960,6.58
Botswana,1965,6.65
Botswana,1970,6.7
Botswana,1975,6.55
Botswana,1980,6.37
Botswana,1985,5.97
Botswana,1990,5.11
Botswana,1995,4.32
Botswana,2000,3.7
Botswana,2005,3.18
Botswana,2010,2.9
Botswana,2015,2.9
Brazil,1955,6.15
Brazil,1960,6.15
Brazil,1965,6.15
Brazil,1970,5.38
Brazil,1975,4.72
Brazil,1980,4.31
Brazil,1985,3.8
Brazil,1990,3.1
Brazil,1995,2.6
Brazil,2000,2.45
Brazil,2005,2.25
Brazil,2010,1.9
Brazil,2015,1.82
Brunei,1955,7
Brunei,1960,6.38
Brunei,1965,6.55
Brunei,1970,5.59
Brunei,1975,5.87
Brunei,1980,4.71
Brunei,1985,3.92
Brunei,1990,3.72
Brunei,1995,3.28
Brunei,2000,2.6
Brunei,2005,2.05
Brunei,2010,2
Brunei,2015,1.9
Bulgaria,1955,2.53
Bulgaria,1960,2.3
Bulgaria,1965,2.22
Bulgaria,1970,2.13
Bulgaria,1975,2.16
Bulgaria,1980,2.19
Bulgaria,1985,2.01
Bulgaria,1990,1.95
Bulgaria,1995,1.55
Bulgaria,2000,1.2
Bulgaria,2005,1.24
Bulgaria,2010,1.5
Bulgaria,2015,1.52
Burkina Faso,1955,6.1
Burkina Faso,1960,6.24
Burkina Faso,1965,6.35
Burkina Faso,1970,6.56
Burkina Faso,1975,6.7
Burkina Faso,1980,7.02
Burkina Faso,1985,7.17
Burkina Faso,1990,7.07
Burkina Faso,1995,6.93
Burkina Faso,2000,6.73
Burkina Faso,2005,6.43
Burkina Faso,2010,6.08
Burkina Faso,2015,5.65
Burundi,1955,6.8
Burundi,1960,6.86
Burundi,1965,7.07
Burundi,1970,7.27
Burundi,1975,7.34
Burundi,1980,7.48
Burundi,1985,7.43
Burundi,1990,7.59
Burundi,1995,7.43
Burundi,2000,7.18
Burundi,2005,6.91
Burundi,2010,6.52
Burundi,2015,6.08
Cambodia,1955,6.95
Cambodia,1960,6.95
Cambodia,1965,6.95
Cambodia,1970,6.7
Cambodia,1975,6.16
Cambodia,1980,5.42
Cambodia,1985,6.37
Cambodia,1990,5.99
Cambodia,1995,5.13
Cambodia,2000,4.25
Cambodia,2005,3.44
Cambodia,2010,3.08
Cambodia,2015,2.7
Cameroon,1955,5.49
Cameroon,1960,5.53
Cameroon,1965,5.81
Cameroon,1970,6.09
Cameroon,1975,6.31
Cameroon,1980,6.47
Cameroon,1985,6.7
Cameroon,1990,6.6
Cameroon,1995,6.22
Cameroon,2000,5.77
Cameroon,2005,5.49
Cameroon,2010,5.21
Cameroon,2015,4.81
Canada,1955,3.65
Canada,1960,3.88
Canada,1965,3.68
Canada,1970,2.61
Canada,1975,1.98
Canada,1980,1.73
Canada,1985,1.63
Canada,1990,1.62
Canada,1995,1.69
Canada,2000,1.56
Canada,2005,1.52
Canada,2010,1.64
Canada,2015,1.61
Cape Verde,1955,6.57
Cape Verde,1960,6.76
Cape Verde,1965,6.97
Cape Verde,1970,6.97
Cape Verde,1975,6.86
Cape Verde,1980,6.62
Cape Verde,1985,6.1
Cape Verde,1990,5.63
Cape Verde,1995,4.93
Cape Verde,2000,4.14
Cape Verde,2005,3.22
Cape Verde,2010,2.62
Cape Verde,2015,2.37
Caribbean,1955,5.26
Caribbean,1960,5.19
Caribbean,1965,5.48
Caribbean,1970,5.01
Caribbean,1975,4.37
Caribbean,1980,3.62
Caribbean,1985,3.41
Caribbean,1990,3.13
Caribbean,1995,2.83
Caribbean,2000,2.64
Caribbean,2005,2.5
Caribbean,2010,2.4
Caribbean,2015,2.29
Central African Republic,1955,5.52
Central African Republic,1960,5.75
Central African Republic,1965,5.9
Central African Republic,1970,5.95
Central African Republic,1975,5.95
Central African Republic,1980,5.95
Central African Republic,1985,5.95
Central African Republic,1990,5.9
Central African Republic,1995,5.65
Central African Republic,2000,5.54
Central African Republic,2005,5.3
Central African Republic,2010,4.85
Central African Republic,2015,4.41
Central America,1955,6.75
Central America,1960,6.78
Central America,1965,6.73
Central America,1970,6.65
Central America,1975,6.52
Central America,1980,5.47
Central America,1985,4.6
Central America,1990,3.98
Central America,1995,3.49
Central America,2000,3.11
Central America,2005,2.79
Central America,2010,2.54
Central America,2015,2.37
Central Asia,1955,4.91
Central Asia,1960,4.99
Central Asia,1965,5.11
Central Asia,1970,4.84
Central Asia,1975,4.76
Central Asia,1980,4.28
Central Asia,1985,4.05
Central Asia,1990,3.98
Central Asia,1995,3.49
Central Asia,2000,2.84
Central Asia,2005,2.52
Central Asia,2010,2.64
Central Asia,2015,2.7
Chad,1955,6.1
Chad,1960,6.2
Chad,1965,6.3
Chad,1970,6.4
Chad,1975,6.67
Chad,1980,6.87
Chad,1985,7.04
Chad,1990,7.21
Chad,1995,7.39
Chad,2000,7.41
Chad,2005,7.24
Chad,2010,6.85
Chad,2015,6.31
Channel Islands,1955,2.06
Channel Islands,1960,2.22
Channel Islands,1965,2.56
Channel Islands,1970,2.36
Channel Islands,1975,1.86
Channel Islands,1980,1.52
Channel Islands,1985,1.44
Channel Islands,1990,1.45
Channel Islands,1995,1.46
Channel Islands,2000,1.4
Channel Islands,2005,1.41
Channel Islands,2010,1.42
Channel Islands,2015,1.46
Chile,1955,5.15
Chile,1960,5.18
Chile,1965,4.96
Chile,1970,4.46
Chile,1975,3.57
Chile,1980,2.93
Chile,1985,2.66
Chile,1990,2.6
Chile,1995,2.38
Chile,2000,2.16
Chile,2005,2
Chile,2010,1.88
Chile,2015,1.78
China,1955,6.11
China,1960,5.48
China,1965,6.15
China,1970,6.3
China,1975,4.85
China,1980,3.01
China,1985,2.52
China,1990,2.75
China,1995,2
China,2000,1.48
China,2005,1.5
China,2010,1.53
China,2015,1.55
Colombia,1955,6.76
Colombia,1960,6.76
Colombia,1965,6.76
Colombia,1970,6.18
Colombia,1975,4.9
Colombia,1980,4.25
Colombia,1985,3.7
Colombia,1990,3.18
Colombia,1995,2.84
Colombia,2000,2.5
Colombia,2005,2.3
Colombia,2010,2.1
Colombia,2015,1.93
Comoros,1955,6
Comoros,1960,6.6
Comoros,1965,6.91
Comoros,1970,7.05
Comoros,1975,7.05
Comoros,1980,7.05
Comoros,1985,7.05
Comoros,1990,6.7
Comoros,1995,6.1
Comoros,2000,5.6
Comoros,2005,5.2
Comoros,2010,4.9
Comoros,2015,4.6
Congo,1955,5.68
Congo,1960,5.79
Congo,1965,5.99
Congo,1970,6.19
Congo,1975,6.35
Congo,1980,6.35
Congo,1985,6
Congo,1990,5.55
Congo,1995,5.21
Congo,2000,5.13
Congo,2005,5.1
Congo,2010,5.05
Congo,2015,4.95
Costa Rica,1955,5.95
Costa Rica,1960,6.39
Costa Rica,1965,6.28
Costa Rica,1970,5.26
Costa Rica,1975,4.06
Costa Rica,1980,3.7
Costa Rica,1985,3.5
Costa Rica,1990,3.31
Costa Rica,1995,3.01
Costa Rica,2000,2.61
Costa Rica,2005,2.17
Costa Rica,2010,2.01
Costa Rica,2015,1.85
Cote d'Ivoire,1955,6.77
Cote d'Ivoire,1960,7.15
Cote d'Ivoire,1965,7.53
Cote d'Ivoire,1970,7.83
Cote d'Ivoire,1975,7.93
Cote d'Ivoire,1980,7.81
Cote d'Ivoire,1985,7.31
Cote d'Ivoire,1990,6.85
Cote d'Ivoire,1995,6.41
Cote d'Ivoire,2000,6.05
Cote d'Ivoire,2005,5.68
Cote d'Ivoire,2010,5.36
Cote d'Ivoire,2015,5.1
Croatia,1955,2.73
Croatia,1960,2.38
Croatia,1965,2.22
Croatia,1970,2
Croatia,1975,1.98
Croatia,1980,1.9
Croatia,1985,1.87
Croatia,1990,1.72
Croatia,1995,1.52
Croatia,2000,1.62
Croatia,2005,1.41
Croatia,2010,1.52
Croatia,2015,1.52
Cuba,1955,4.15
Cuba,1960,3.7
Cuba,1965,4.68
Cuba,1970,4.3
Cuba,1975,3.6
Cuba,1980,2.15
Cuba,1985,1.85
Cuba,1990,1.85
Cuba,1995,1.65
Cuba,2000,1.64
Cuba,2005,1.64
Cuba,2010,1.63
Cuba,2015,1.63
Curacao,1955,5.07
Curacao,1960,5.1
Curacao,1965,4.4
Curacao,1970,3.8
Curacao,1975,2.87
Curacao,1980,2.45
Curacao,1985,2.25
Curacao,1990,2.3
Curacao,1995,2.28
Curacao,2000,2.12
Curacao,2005,2.09
Curacao,2010,1.98
Curacao,2015,2.1
Cyprus,1955,3.71
Cyprus,1960,3.5
Cyprus,1965,3.44
Cyprus,1970,2.8
Cyprus,1975,2.49
Cyprus,1980,2.29
Cyprus,1985,2.45
Cyprus,1990,2.43
Cyprus,1995,2.33
Cyprus,2000,1.89
Cyprus,2005,1.59
Cyprus,2010,1.51
Cyprus,2015,1.46
Czech Republic,1955,2.74
Czech Republic,1960,2.38
Czech Republic,1965,2.21
Czech Republic,1970,1.96
Czech Republic,1975,2.21
Czech Republic,1980,2.36
Czech Republic,1985,1.97
Czech Republic,1990,1.9
Czech Republic,1995,1.65
Czech Republic,2000,1.17
Czech Republic,2005,1.19
Czech Republic,2010,1.43
Czech Republic,2015,1.45
Democratic Republic of Congo,1955,5.98
Democratic Republic of Congo,1960,5.98
Democratic Republic of Congo,1965,6.04
Democratic Republic of Congo,1970,6.15
Democratic Republic of Congo,1975,6.29
Democratic Republic of Congo,1980,6.46
Democratic Republic of Congo,1985,6.72
Democratic Republic of Congo,1990,6.98
Democratic Republic of Congo,1995,7.1
Democratic Republic of Congo,2000,7.1
Democratic Republic of Congo,2005,6.95
Democratic Republic of Congo,2010,6.6
Democratic Republic of Congo,2015,6.15
Denmark,1955,2.55
Denmark,1960,2.55
Denmark,1965,2.58
Denmark,1970,2.27
Denmark,1975,1.96
Denmark,1980,1.68
Denmark,1985,1.43
Denmark,1990,1.54
Denmark,1995,1.75
Denmark,2000,1.76
Denmark,2005,1.76
Denmark,2010,1.85
Denmark,2015,1.73
Djibouti,1955,6.31
Djibouti,1960,6.39
Djibouti,1965,6.55
Djibouti,1970,6.71
Djibouti,1975,6.85
Djibouti,1980,6.64
Djibouti,1985,6.26
Djibouti,1990,6.18
Djibouti,1995,5.85
Djibouti,2000,4.81
Djibouti,2005,4.21
Djibouti,2010,3.7
Djibouti,2015,3.3
Dominican Republic,1955,7.6
Dominican Republic,1960,7.64
Dominican Republic,1965,7.35
Dominican Republic,1970,6.65
Dominican Republic,1975,5.68
Dominican Republic,1980,4.76
Dominican Republic,1985,4.15
Dominican Republic,1990,3.65
Dominican Republic,1995,3.31
Dominican Republic,2000,2.98
Dominican Republic,2005,2.83
Dominican Republic,2010,2.67
Dominican Republic,2015,2.53
Eastern Africa,1955,7.01
Eastern Africa,1960,7.01
Eastern Africa,1965,7.07
Eastern Africa,1970,7.09
Eastern Africa,1975,7.13
Eastern Africa,1980,7.11
Eastern Africa,1985,7
Eastern Africa,1990,6.82
Eastern Africa,1995,6.41
Eastern Africa,2000,6.08
Eastern Africa,2005,5.76
Eastern Africa,2010,5.38
Eastern Africa,2015,4.94
Eastern Asia,1955,5.6
Eastern Asia,1960,5.04
Eastern Asia,1965,5.48
Eastern Asia,1970,5.56
Eastern Asia,1975,4.43
Eastern Asia,1980,2.86
Eastern Asia,1985,2.45
Eastern Asia,1990,2.62
Eastern Asia,1995,1.96
Eastern Asia,2000,1.48
Eastern Asia,2005,1.48
Eastern Asia,2010,1.52
Eastern Asia,2015,1.55
Eastern Europe,1955,2.92
Eastern Europe,1960,2.82
Eastern Europe,1965,2.44
Eastern Europe,1970,2.15
Eastern Europe,1975,2.14
Eastern Europe,1980,2.07
Eastern Europe,1985,2.09
Eastern Europe,1990,2.08
Eastern Europe,1995,1.63
Eastern Europe,2000,1.29
Eastern Europe,2005,1.26
Eastern Europe,2010,1.42
Eastern Europe,2015,1.55
Ecuador,1955,6.75
Ecuador,1960,6.75
Ecuador,1965,6.65
Ecuador,1970,6.4
Ecuador,1975,5.8
Ecuador,1980,5.05
Ecuador,1985,4.45
Ecuador,1990,4
Ecuador,1995,3.55
Ecuador,2000,3.2
Ecuador,2005,2.88
Ecuador,2010,2.73
Ecuador,2015,2.59
Egypt,1955,6.62
Egypt,1960,6.65
Egypt,1965,6.55
Egypt,1970,6.2
Egypt,1975,5.7
Egypt,1980,5.6
Egypt,1985,5.49
Egypt,1990,5.15
Egypt,1995,4.12
Egypt,2000,3.41
Egypt,2005,3.15
Egypt,2010,2.98
Egypt,2015,3.38
El Salvador,1955,6.36
El Salvador,1960,6.6
El Salvador,1965,6.67
El Salvador,1970,6.36
El Salvador,1975,5.95
El Salvador,1980,5.42
El Salvador,1985,4.75
El Salvador,1990,4.17
El Salvador,1995,3.69
El Salvador,2000,3.2
El Salvador,2005,2.62
El Salvador,2010,2.23
El Salvador,2015,1.97
Equatorial Guinea,1955,5.5
Equatorial Guinea,1960,5.5
Equatorial Guinea,1965,5.53
Equatorial Guinea,1970,5.66
Equatorial Guinea,1975,5.68
Equatorial Guinea,1980,5.68
Equatorial Guinea,1985,5.79
Equatorial Guinea,1990,5.89
Equatorial Guinea,1995,5.89
Equatorial Guinea,2000,5.87
Equatorial Guinea,2005,5.64
Equatorial Guinea,2010,5.36
Equatorial Guinea,2015,4.97
Eritrea,1955,6.97
Eritrea,1960,6.97
Eritrea,1965,6.82
Eritrea,1970,6.7
Eritrea,1975,6.62
Eritrea,1980,6.62
Eritrea,1985,6.7
Eritrea,1990,6.51
Eritrea,1995,6.2
Eritrea,2000,5.6
Eritrea,2005,5.1
Eritrea,2010,4.8
Eritrea,2015,4.4
Estonia,1955,2.06
Estonia,1960,1.99
Estonia,1965,1.94
Estonia,1970,2.02
Estonia,1975,2.15
Estonia,1980,2.06
Estonia,1985,2.09
Estonia,1990,2.2
Estonia,1995,1.63
Estonia,2000,1.33
Estonia,2005,1.39
Estonia,2010,1.66
Estonia,2015,1.59
Ethiopia,1955,7.17
Ethiopia,1960,6.9
Ethiopia,1965,6.9
Ethiopia,1970,6.87
Ethiopia,1975,7.1
Ethiopia,1980,7.18
Ethiopia,1985,7.42
Ethiopia,1990,7.37
Ethiopia,1995,7.09
Ethiopia,2000,6.83
Ethiopia,2005,6.13
Ethiopia,2010,5.26
Ethiopia,2015,4.59
Europe,1955,2.66
Europe,1960,2.66
Europe,1965,2.57
Europe,1970,2.37
Europe,1975,2.17
Europe,1980,1.97
Europe,1985,1.88
Europe,1990,1.81
Europe,1995,1.57
Europe,2000,1.43
Europe,2005,1.43
Europe,2010,1.55
Europe,2015,1.6
Fiji,1955,6.63
Fiji,1960,6.79
Fiji,1965,5.95
Fiji,1970,5
Fiji,1975,4.2
Fiji,1980,4
Fiji,1985,3.8
Fiji,1990,3.47
Fiji,1995,3.35
Fiji,2000,3.19
Fiji,2005,2.98
Fiji,2010,2.75
Fiji,2015,2.61
Finland,1955,3
Finland,1960,2.77
Finland,1965,2.66
Finland,1970,2.19
Finland,1975,1.62
Finland,1980,1.66
Finland,1985,1.69
Finland,1990,1.66
Finland,1995,1.82
Finland,2000,1.74
Finland,2005,1.75
Finland,2010,1.84
Finland,2015,1.75
France,1955,2.75
France,1960,2.69
France,1965,2.83
France,1970,2.64
France,1975,2.3
France,1980,1.86
France,1985,1.87
France,1990,1.81
France,1995,1.71
France,2000,1.76
France,2005,1.88
France,2010,1.97
France,2015,2
French Guiana,1955,5
French Guiana,1960,4.92
French Guiana,1965,5.02
French Guiana,1970,5
French Guiana,1975,4.18
French Guiana,1980,3.3
French Guiana,1985,3.58
French Guiana,1990,3.73
French Guiana,1995,4.05
French Guiana,2000,3.93
French Guiana,2005,3.68
French Guiana,2010,3.63
French Guiana,2015,3.48
French Polynesia,1955,6
French Polynesia,1960,5.86
French Polynesia,1965,5.44
French Polynesia,1970,5.2
French Polynesia,1975,4.86
French Polynesia,1980,4.23
French Polynesia,1985,3.82
French Polynesia,1990,3.64
French Polynesia,1995,3.11
French Polynesia,2000,2.61
French Polynesia,2005,2.36
French Polynesia,2010,2.17
French Polynesia,2015,2.07
Gabon,1955,3.99
Gabon,1960,4.2
Gabon,1965,4.59
Gabon,1970,4.93
Gabon,1975,5.23
Gabon,1980,5.57
Gabon,1985,5.72
Gabon,1990,5.58
Gabon,1995,5.22
Gabon,2000,4.77
Gabon,2005,4.35
Gabon,2010,4.15
Gabon,2015,4
Gambia,1955,5.29
Gambia,1960,5.46
Gambia,1965,5.7
Gambia,1970,5.96
Gambia,1975,6.2
Gambia,1980,6.34
Gambia,1985,6.29
Gambia,1990,6.14
Gambia,1995,6.08
Gambia,2000,5.99
Gambia,2005,5.85
Gambia,2010,5.79
Gambia,2015,5.78
Georgia,1955,3
Georgia,1960,2.91
Georgia,1965,2.98
Georgia,1970,2.61
Georgia,1975,2.6
Georgia,1980,2.39
Georgia,1985,2.27
Georgia,1990,2.26
Georgia,1995,2.05
Georgia,2000,1.72
Georgia,2005,1.58
Georgia,2010,1.8
Georgia,2015,1.81
Germany,1955,2.13
Germany,1960,2.29
Germany,1965,2.47
Germany,1970,2.36
Germany,1975,1.71
Germany,1980,1.51
Germany,1985,1.46
Germany,1990,1.43
Germany,1995,1.3
Germany,2000,1.35
Germany,2005,1.35
Germany,2010,1.36
Germany,2015,1.39
Ghana,1955,6.44
Ghana,1960,6.64
Ghana,1965,6.84
Ghana,1970,6.95
Ghana,1975,6.9
Ghana,1980,6.69
Ghana,1985,6.35
Ghana,1990,5.88
Ghana,1995,5.34
Ghana,2000,4.81
Ghana,2005,4.57
Ghana,2010,4.29
Ghana,2015,4.25
Greece,1955,2.29
Greece,1960,2.27
Greece,1965,2.2
Greece,1970,2.38
Greece,1975,2.32
Greece,1980,2.32
Greece,1985,1.96
Greece,1990,1.53
Greece,1995,1.37
Greece,2000,1.3
Greece,2005,1.28
Greece,2010,1.46
Greece,2015,1.34
Grenada,1955,5.8
Grenada,1960,6.7
Grenada,1965,6.4
Grenada,1970,4.8
Grenada,1975,4.6
Grenada,1980,4.3
Grenada,1985,4.23
Grenada,1990,4.14
Grenada,1995,3.46
Grenada,2000,2.81
Grenada,2005,2.43
Grenada,2010,2.3
Grenada,2015,2.18
Guadeloupe,1955,5.61
Guadeloupe,1960,5.61
Guadeloupe,1965,5.61
Guadeloupe,1970,5.22
Guadeloupe,1975,4.49
Guadeloupe,1980,3.52
Guadeloupe,1985,2.55
Guadeloupe,1990,2.45
Guadeloupe,1995,2.1
Guadeloupe,2000,2.1
Guadeloupe,2005,2.06
Guadeloupe,2010,2.14
Guadeloupe,2015,2.17
Guam,1955,5.53
Guam,1960,5.83
Guam,1965,6.03
Guam,1970,4.72
Guam,1975,4.12
Guam,1980,3.52
Guam,1985,3.08
Guam,1990,3.14
Guam,1995,2.88
Guam,2000,2.88
Guam,2005,2.74
Guam,2010,2.54
Guam,2015,2.42
Guatemala,1955,7
Guatemala,1960,6.6
Guatemala,1965,6.5
Guatemala,1970,6.3
Guatemala,1975,6.2
Guatemala,1980,6.2
Guatemala,1985,6.1
Guatemala,1990,5.5
Guatemala,1995,5.15
Guatemala,2000,4.7
Guatemala,2005,4.16
Guatemala,2010,3.61
Guatemala,2015,3.3
Guinea,1955,6
Guinea,1960,6.07
Guinea,1965,6.15
Guinea,1970,6.18
Guinea,1975,6.29
Guinea,1980,6.45
Guinea,1985,6.59
Guinea,1990,6.63
Guinea,1995,6.51
Guinea,2000,6.24
Guinea,2005,5.91
Guinea,2010,5.54
