Entity,Year,International migrant stock (share of population) (World Bank (2015))
Aruba,1995,25.78866121
Aruba,2000,32.46274406
Aruba,2005,33.41164239
Aruba,2010,33.7293424
Australia,1960,16.52399942
Australia,1965,18.04291359
Australia,1970,19.64117694
Australia,1975,19.14239545
Australia,1980,19.71442962
Australia,1985,19.94847062
Australia,1990,20.98647532
Australia,1995,21.32434706
Australia,2000,21.02792252
Australia,2005,21.25956616
Australia,2010,21.38500119
Austria,1960,11.44574014
Austria,1965,10.24627112
Austria,1970,9.062156241
Austria,1975,9.513738334
Austria,1980,9.536583741
Austria,1985,9.627593445
Austria,1990,10.3315251
Austria,1995,12.44587821
Austria,2000,12.43885403
Austria,2005,14.05308739
Austria,2010,15.66608524
Azerbaijan,1990,5.037016343
Azerbaijan,1995,6.825217957
Azerbaijan,2000,4.31801804
Azerbaijan,2005,3.032811597
Azerbaijan,2010,2.915068721
Bahamas,1960,10.34548874
Bahamas,1965,13.39102743
Bahamas,1970,18.25503673
Bahamas,1975,14.40952552
Bahamas,1980,11.42979208
Bahamas,1985,10.83542125
Bahamas,1990,10.47640225
Bahamas,1995,10.12346913
Bahamas,2000,10.05468443
Bahamas,2005,9.607493553
Bahamas,2010,9.258099382
Bahrain,1960,16.45097569
Bahrain,1965,20.47366398
Bahrain,1970,17.80649642
Bahrain,1975,22.53286637
Bahrain,1980,28.7483815
Bahrain,1985,32.6761638
Bahrain,1990,34.92329779
Bahrain,1995,36.53823639
Bahrain,2000,35.89475973
Bahrain,2005,32.08321896
Bahrain,2010,25.00580741
Bangladesh,1960,1.372202007
Bangladesh,1965,1.227125915
Bangladesh,1970,1.117607252
Bangladesh,1975,1.078750473
Bangladesh,1980,0.988796347
Bangladesh,1985,0.905395207
Bangladesh,1990,0.831846493
Bangladesh,1995,0.84984123
Bangladesh,2000,0.752473674
Bangladesh,2005,0.721952111
Bangladesh,2010,0.715847561
Barbados,1960,4.226315744
Barbados,1965,4.861645133
Barbados,1970,5.618659644
Barbados,1975,6.44222523
Barbados,1980,7.403339453
Barbados,1985,7.808806349
Barbados,1990,8.215874089
Barbados,1995,8.641616534
Barbados,2000,9.082857122
Barbados,2005,9.573998314
Barbados,2010,10.04413985
Belarus,1990,12.25809206
Belarus,1995,11.62079655
Belarus,2000,11.23024488
Belarus,2005,11.45458967
Belarus,2010,11.48975764
Belgium,1960,4.823898297
Belgium,1965,6.412514303
Belgium,1970,7.201672323
Belgium,1975,8.368800188
Belgium,1980,9.096267238
Belgium,1985,8.84351554
Belgium,1990,8.94454801
Belgium,1995,9.031785243
Belgium,2000,8.574739666
Belgium,2005,8.417904767
Belgium,2010,8.926966288
Belize,1960,8.277577443
Belize,1965,8.321632853
Belize,1970,8.345951432
Belize,1975,8.219208921
Belize,1980,9.614223973
Belize,1985,15.56731912
Belize,1990,16.21097082
Belize,1995,18.57877291
Belize,2000,14.75383321
Belize,2005,14.34380946
Belize,2010,14.55400813
Benin,1960,1.399026164
Benin,1965,1.473088787
Benin,1970,1.538980572
Benin,1975,1.544089276
Benin,1980,1.544637689
Benin,1985,1.579399258
Benin,1990,1.523852637
Benin,1995,2.441469259
Benin,2000,1.924348207
Benin,2005,2.292540956
Benin,2010,2.439967705
Bermuda,1960,19.70495495
Bermuda,1965,22.12175649
Bermuda,1970,25.92363636
Bermuda,1975,27.04716981
Bermuda,1980,25.95390525
Bermuda,1985,26.21709023
Bermuda,1990,26.43528975
Bermuda,1995,27.83617313
Bermuda,2000,28.57373894
Bermuda,2005,29.25928235
Bermuda,2010,30.62158344
Bhutan,1960,4.317561176
Bhutan,1965,4.450399598
Bhutan,1970,4.48196475
Bhutan,1975,4.347178544
Bhutan,1980,4.274519404
Bhutan,1985,4.368776785
Bhutan,1990,4.445710124
Bhutan,1995,5.435284547
Bhutan,2000,5.696161025
Bhutan,2005,5.734048157
Bhutan,2010,5.587813053
Bolivia,1960,1.156344026
Bolivia,1965,1.153248055
Bolivia,1970,1.145175058
Bolivia,1975,1.132203386
Bolivia,1980,1.046251842
Bolivia,1985,0.950374858
Bolivia,1990,0.869134509
Bolivia,1995,0.919804576
Bolivia,2000,1.067904213
Bolivia,2005,1.24878841
Bolivia,2010,1.470189535
Bosnia and Herzegovina,1990,1.237023404
Bosnia and Herzegovina,1995,1.890068203
Bosnia and Herzegovina,2000,2.531085893
Bosnia and Herzegovina,2005,0.916711297
Bosnia and Herzegovina,2010,0.724331975
Botswana,1960,1.373778932
Botswana,1965,1.452812548
Botswana,1970,1.501253209
Botswana,1975,1.521479169
Botswana,1980,1.509137024
Botswana,1985,1.693574157
Botswana,1990,1.993746983
Botswana,1995,2.476636611
Botswana,2000,3.2211031
Botswana,2005,4.299778487
Botswana,2010,5.607786971
Brazil,1960,1.927231216
Brazil,1965,1.562963327
Brazil,1970,1.283394997
Brazil,1975,1.079515945
Brazil,1980,0.9106682
Brazil,1985,0.690285485
Brazil,1990,0.530953063
Brazil,1995,0.448844433
Brazil,2000,0.389447557
Brazil,2005,0.364129758
Brazil,2010,0.346413284
Brunei,1960,25.12923923
Brunei,1965,25.3967325
Brunei,1970,25.36287183
Brunei,1975,25.51757163
Brunei,1980,26.40515495
Brunei,1985,27.51592699
Brunei,1990,28.48925231
Brunei,1995,29.59391207
Brunei,2000,31.5010558
Brunei,2005,34.31798148
Brunei,2010,37.66138998
Bulgaria,1960,0.257964093
Bulgaria,1965,0.253322458
Bulgaria,1970,0.249588495
Bulgaria,1975,0.246687725
Bulgaria,1980,0.24498013
Bulgaria,1985,0.24380208
Bulgaria,1990,0.246722723
Bulgaria,1995,0.554480472
Bulgaria,2000,1.236204085
Bulgaria,2005,1.344668536
Bulgaria,2010,1.450119186
Burkina Faso,1960,1.303359023
Burkina Faso,1965,1.448944891
Burkina Faso,1970,1.588060442
Burkina Faso,1975,1.728884071
Burkina Faso,1980,2.498768841
Burkina Faso,1985,3.53596159
Burkina Faso,1990,3.912583235
Burkina Faso,1995,4.59607234
Burkina Faso,2000,4.934801546
Burkina Faso,2005,5.757845985
Burkina Faso,2010,6.672406578
Burundi,1960,4.53300272
Burundi,1965,5.99645863
Burundi,1970,4.160118573
Burundi,1975,3.800417243
Burundi,1980,5.423206441
Burundi,1985,7.19286641
Burundi,1990,5.934466995
Burundi,1995,4.728876123
Burundi,2000,1.136429295
Burundi,2005,1.028028867
Burundi,2010,0.642313165
Cambodia,1960,6.662816281
Cambodia,1965,5.777233286
Cambodia,1970,4.874864447
Cambodia,1975,0.192677743
Cambodia,1980,0.062040049
Cambodia,1985,0.163333254
Cambodia,1990,0.425969735
Cambodia,1995,1.088797479
Cambodia,2000,1.940128243
Cambodia,2005,2.28130388
Cambodia,2010,2.338058198
Cameroon,1960,3.27211325
Cameroon,1965,3.139050225
Cameroon,1970,2.974095133
Cameroon,1975,2.787435874
Cameroon,1980,2.587929563
Cameroon,1985,2.385691764
Cameroon,1990,2.198310754
Cameroon,1995,1.767254206
Cameroon,2000,1.433871894
Cameroon,2005,1.16886419
Cameroon,2010,0.954655862
Canada,1960,15.44643816
Canada,1965,15.34989328
Canada,1970,15.24738792
Canada,1975,15.15724503
Canada,1980,15.49456349
Canada,1985,15.0356873
Canada,1990,16.18337231
Canada,1995,17.19388499
Canada,2000,18.05353643
Canada,2005,19.50985392
Canada,2010,21.18006754
Cape Verde,1960,3.268649044
Cape Verde,1965,3.004403116
Cape Verde,1970,2.705433443
Cape Verde,1975,2.819407503
Cape Verde,1980,2.829141559
Cape Verde,1985,2.705620812
Cape Verde,1990,2.617096842
Cape Verde,1995,2.473558162
Cape Verde,2000,2.364742431
Cape Verde,2005,2.358168292
Cape Verde,2010,2.457894812
Caribbean small states,1960,4.483142877
Caribbean small states,1965,4.041120618
Caribbean small states,1970,3.89582727
Caribbean small states,1975,3.538928816
Caribbean small states,1980,3.310333356
Caribbean small states,1985,3.357633933
Caribbean small states,1990,3.413195293
Caribbean small states,1995,3.610272976
Caribbean small states,2000,3.688620847
Caribbean small states,2005,3.940134162
Caribbean small states,2010,4.180262829
Cayman Islands,1960,12.16473878
Cayman Islands,1965,14.57412496
Cayman Islands,1970,17.34470691
Cayman Islands,1975,25.07762706
Cayman Islands,1980,35.39965355
Cayman Islands,1985,44.43696609
Cayman Islands,1990,50.82570275
Cayman Islands,1995,56.9493559
Cayman Islands,2000,57.38275159
Cayman Islands,2005,69.81058347
Cayman Islands,2010,64.28507089
Central African Republic,1960,2.86850491
Central African Republic,1965,2.784095389
Central African Republic,1970,2.671883459
Central African Republic,1975,2.577948913
Central African Republic,1980,2.434155125
Central African Republic,1985,2.242462579
Central African Republic,1990,2.134669375
Central African Republic,1995,2.001025229
Central African Republic,2000,1.906792398
Central African Republic,2005,1.8646526
Central African Republic,2010,1.810854644
Central Europe and the Baltics,1960,4.999098879
Central Europe and the Baltics,1965,4.468595474
Central Europe and the Baltics,1970,3.945143458
Central Europe and the Baltics,1975,3.312643659
Central Europe and the Baltics,1980,2.76115378
Central Europe and the Baltics,1985,2.325487895
Central Europe and the Baltics,1990,3.734798515
Central Europe and the Baltics,1995,3.670979839
Central Europe and the Baltics,2000,3.329750121
Central Europe and the Baltics,2005,3.34011879
Central Europe and the Baltics,2010,3.376035658
Chad,1960,1.834146186
Chad,1965,1.748637313
Chad,1970,1.669862447
Chad,1975,1.564886822
Chad,1980,1.490583995
Chad,1985,1.388589438
Chad,1990,1.2477631
Chad,1995,1.117724805
Chad,2000,1.256394186
Chad,2005,3.560274344
Chad,2010,3.26360624
Channel Islands,1960,30.59980442
Channel Islands,1965,34.55805621
Channel Islands,1970,38.91630087
Channel Islands,1975,39.77313178
Channel Islands,1980,40.94202616
Channel Islands,1985,28.97521748
Channel Islands,1990,28.57132702
Channel Islands,1995,39.78687956
Channel Islands,2000,42.11127921
Channel Islands,2005,44.35637533
Channel Islands,2010,46.86589424
Chile,1960,1.361865834
Chile,1965,1.132723662
Chile,1970,0.944072853
Chile,1975,0.825145217
Chile,1980,0.729041492
Chile,1985,0.744067676
Chile,1990,0.818045412
Chile,1995,0.957039129
Chile,2000,1.168935242
Chile,2005,1.438169657
Chile,2010,1.883021429
China,1960,0.036830318
China,1965,0.036421206
China,1970,0.034266022
China,1975,0.032570453
China,1980,0.031714523
China,1985,0.030820616
China,1990,0.033154155
China,1995,0.036292251
China,2000,0.040235696
China,2005,0.045274445
China,2010,0.05126504
Colombia,1960,0.356029326
Colombia,1965,0.391334826
Colombia,1970,0.360773437
Colombia,1975,0.342513657
Colombia,1980,0.327522933
Colombia,1985,0.313852655
Colombia,1990,0.304266835
Colombia,1995,0.291830186
Colombia,2000,0.271282822
Colombia,2005,0.254017291
Colombia,2010,0.240203749
Comoros,1960,0.798486743
Comoros,1965,1.040835005
Comoros,1970,1.582013894
Comoros,1975,2.769313602
Comoros,1980,4.750128031
Comoros,1985,4.01533004
Comoros,1990,3.391353362
Comoros,1995,2.906329367
Comoros,2000,2.519463352
Comoros,2005,2.208259515
Comoros,2010,1.935751651
Congo,1960,2.596240458
Congo,1965,2.96431918
Congo,1970,3.353406886
Congo,1975,3.752105813
Congo,1980,4.227813029
Congo,1985,4.768367786
Congo,1990,5.430496211
Congo,1995,4.800577082
Congo,2000,3.372496879
Congo,2005,3.677842908
Congo,2010,3.521895055
Costa Rica,1960,2.452510874
Costa Rica,1965,2.017645671
Costa Rica,1970,1.375540667
Costa Rica,1975,1.390715215
Costa Rica,1980,2.873508617
Costa Rica,1985,4.27601181
Costa Rica,1990,13.48930263
Costa Rica,1995,6.503642203
Costa Rica,2000,7.92128291
Costa Rica,2005,10.42053579
Costa Rica,2010,10.76285187
Cote d'Ivoire,1960,22.07424244
Cote d'Ivoire,1965,22.65806013
Cote d'Ivoire,1970,22.73635165
Cote d'Ivoire,1975,21.0614715
Cote d'Ivoire,1980,18.39796727
Cote d'Ivoire,1985,16.36138611
Cote d'Ivoire,1990,14.93045855
Cote d'Ivoire,1995,13.78201292
Cote d'Ivoire,2000,14.14438404
Cote d'Ivoire,2005,13.07735052
Cote d'Ivoire,2010,11.95483821
Croatia,1990,9.946401674
Croatia,1995,15.441722
Croatia,2000,13.91540895
Croatia,2005,14.8889014
Croatia,2010,15.84385917
Cuba,1960,2.011110568
Cuba,1965,1.717973302
Cuba,1970,1.491086242
Cuba,1975,0.988690404
Cuba,1980,0.681329884
Cuba,1985,0.47723939
Cuba,1990,0.326542546
Cuba,1995,0.227515962
Cuba,2000,0.160280124
Cuba,2005,0.136186211
Cuba,2010,0.134938278
Cyprus,1960,5.164514277
Cyprus,1965,5.591156874
Cyprus,1970,5.619936801
Cyprus,1975,5.63443144
Cyprus,1980,5.670507699
Cyprus,1985,5.863636557
Cyprus,1990,5.714110546
Cyprus,1995,6.453555049
Cyprus,2000,8.489038861
Cyprus,2005,11.24913567
Cyprus,2010,13.9761798
Czech Republic,1990,4.108036548
Czech Republic,1995,4.393356104
Czech Republic,2000,4.422098626
Czech Republic,2005,4.438893468
Czech Republic,2010,4.325217363
Democratic Republic of Congo,1960,6.603579192
Democratic Republic of Congo,1965,7.613619662
Democratic Republic of Congo,1970,7.119380195
Democratic Republic of Congo,1975,5.31982958
Democratic Republic of Congo,1980,4.569364505
Democratic Republic of Congo,1985,2.418832465
Democratic Republic of Congo,1990,2.157140374
Democratic Republic of Congo,1995,4.549035858
Democratic Republic of Congo,2000,1.282928491
Democratic Republic of Congo,2005,0.855961797
Democratic Republic of Congo,2010,0.67437168
Denmark,1960,2.052339471
Denmark,1965,2.100309896
Denmark,1970,2.382791442
Denmark,1975,2.740865265
Denmark,1980,3.196723343
Denmark,1985,3.82879998
Denmark,1990,4.574825727
Denmark,1995,5.682759475
Denmark,2000,6.948552106
Denmark,2005,7.765223367
Denmark,2010,8.71920764
Djibouti,1960,14.06810464
Djibouti,1965,13.81574942
Djibouti,1970,13.42794691
Djibouti,1975,12.90960024
Djibouti,1980,22.35067974
Djibouti,1985,15.86605899
Djibouti,1990,20.77330732
Djibouti,1995,15.91224005
Djibouti,2000,15.25142479
Djibouti,2005,14.17422271
Djibouti,2010,13.73937472
Dominica,1960,3.982271394
Dominica,1965,3.411851533
Dominica,1970,2.899712983
Dominica,1975,2.653590601
Dominica,1980,2.35948641
Dominica,1985,2.813688213
Dominica,1990,3.551488834
Dominica,1995,4.291899617
Dominica,2000,5.343073236
Dominica,2005,6.416035837
Dominica,2010,7.729706184
Dominican Republic,1960,4.389231579
Dominican Republic,1965,4.330576919
Dominican Republic,1970,4.334023078
Dominican Republic,1975,4.188228432
Dominican Republic,1980,4.103354793
Dominican Republic,1985,4.059960021
Dominican Republic,1990,4.052969759
Dominican Republic,1995,4.076962453
Dominican Republic,2000,4.153061509
Dominican Republic,2005,4.254476153
Dominican Republic,2010,4.38819707
East Asia & Pacific (all income levels),1960,0.853820288
East Asia & Pacific (all income levels),1965,0.80637972
East Asia & Pacific (all income levels),1970,0.7644748
East Asia & Pacific (all income levels),1975,0.685184133
East Asia & Pacific (all income levels),1980,0.678965528
East Asia & Pacific (all income levels),1985,0.655411975
East Asia & Pacific (all income levels),1990,0.661007853
East Asia & Pacific (all income levels),1995,0.69622715
East Asia & Pacific (all income levels),2000,0.768968594
East Asia & Pacific (all income levels),2005,0.821444221
East Asia & Pacific (all income levels),2010,0.880296871
East Asia & Pacific (developing only),1960,0.407665541
East Asia & Pacific (developing only),1965,0.343907502
East Asia & Pacific (developing only),1970,0.315833574
East Asia & Pacific (developing only),1975,0.230459777
East Asia & Pacific (developing only),1980,0.210170583
East Asia & Pacific (developing only),1985,0.184181994
East Asia & Pacific (developing only),1990,0.172645234
East Asia & Pacific (developing only),1995,0.177664511
East Asia & Pacific (developing only),2000,0.222024676
East Asia & Pacific (developing only),2005,0.250128446
East Asia & Pacific (developing only),2010,0.276704395
Ecuador,1960,0.529331117
Ecuador,1965,0.625261899
Ecuador,1970,0.737535652
Ecuador,1975,0.848885987
Ecuador,1980,0.882021561
Ecuador,1985,0.853075351
Ecuador,1990,0.769840924
Ecuador,1995,0.772242586
Ecuador,2000,0.802559524
Ecuador,2005,0.900072165
Ecuador,2010,2.635749033
Egypt,1960,0.784474312
Egypt,1965,0.67410074
Egypt,1970,0.584665875
Egypt,1975,0.507634939
Egypt,1980,0.435533667
Egypt,1985,0.370479845
Egypt,1990,0.311316471
Egypt,1995,0.279174054
Egypt,2000,0.247529429
Egypt,2005,0.329247447
Egypt,2010,0.298282588
El Salvador,1960,1.246734858
El Salvador,1965,1.077375061
El Salvador,1970,0.886825245
El Salvador,1975,0.746541612
El Salvador,1980,0.649214898
El Salvador,1985,0.574240815
El Salvador,1990,0.901737635
El Salvador,1995,0.505229888
El Salvador,2000,0.545662335
El Salvador,2005,0.602989034
El Salvador,2010,0.667803189
Equatorial Guinea,1960,7.675465561
Equatorial Guinea,1965,5.185077962
Equatorial Guinea,1970,3.467111256
Equatorial Guinea,1975,3.056581598
Equatorial Guinea,1980,2.382992226
Equatorial Guinea,1985,1.207034195
Equatorial Guinea,1990,0.726091323
Equatorial Guinea,1995,0.784686349
Equatorial Guinea,2000,0.850825774
Equatorial Guinea,2005,0.926715942
Equatorial Guinea,2010,1.021942885
Eritrea,1960,0.547231483
Eritrea,1965,0.520140172
Eritrea,1970,0.492722157
Eritrea,1975,0.463011045
Eritrea,1980,0.433037538
Eritrea,1985,0.400508908
Eritrea,1990,0.377435066
Eritrea,1995,0.378560062
Eritrea,2000,0.366377042
Eritrea,2005,0.348629164
Eritrea,2010,0.351496397
Estonia,1990,24.34382675
Estonia,1995,21.48967656
Estonia,2000,17.86075012
Estonia,2005,14.88468565
Estonia,2010,13.70389981
Ethiopia,1960,1.775342557
Ethiopia,1965,1.533372851
Ethiopia,1970,1.388639852
Ethiopia,1975,1.203867327
Ethiopia,1980,1.146970199
Ethiopia,1985,1.431376405
Ethiopia,1990,2.404202801
Ethiopia,1995,1.388374412
Ethiopia,2000,0.997001924
Ethiopia,2005,0.723185415
Ethiopia,2010,0.625825317
Euro area,1960,3.399363182
Euro area,1965,3.903905936
Euro area,1970,4.344019173
Euro area,1975,4.684058473
Euro area,1980,5.02783195
Euro area,1985,5.319243323
Euro area,1990,6.37816068
Euro area,1995,7.632434868
Euro area,2000,8.375565191
Euro area,2005,9.826070031
Euro area,2010,10.94033327
Europe & Central Asia (all income levels),1990,6.969404207
Europe & Central Asia (all income levels),1995,7.410713656
Europe & Central Asia (all income levels),2000,7.594383076
Europe & Central Asia (all income levels),2005,8.244542026
Europe & Central Asia (all income levels),2010,8.682766125
Europe & Central Asia (developing only),1990,7.809342689
Europe & Central Asia (developing only),1995,7.332083339
Europe & Central Asia (developing only),2000,6.605611784
Europe & Central Asia (developing only),2005,6.239008526
Europe & Central Asia (developing only),2010,5.861108041
European Union,1960,3.69317529
European Union,1965,4.154619581
European Union,1970,4.439953157
European Union,1975,4.565457001
European Union,1980,4.715266387
European Union,1985,4.845449928
European Union,1990,5.677475181
European Union,1995,6.651807452
European Union,2000,7.269384896
European Union,2005,8.514526788
European Union,2010,9.437902675
Faeroe Islands,1960,4.34541528
Faeroe Islands,1965,4.719082584
Faeroe Islands,1970,5.126078731
Faeroe Islands,1975,5.625601421
Faeroe Islands,1980,6.110206929
Faeroe Islands,1985,6.607766143
Faeroe Islands,1990,5.99820949
Faeroe Islands,1995,3.961541078
Faeroe Islands,2000,4.824589706
Faeroe Islands,2005,6.262283551
Faeroe Islands,2010,6.716494739
Fiji,1960,5.103931792
Fiji,1965,3.870148572
Fiji,1970,3.149488309
Fiji,1975,2.613806643
Fiji,1980,2.207771355
Fiji,1985,1.841180446
Fiji,1990,1.876271228
Fiji,1995,1.902261515
Fiji,2000,1.962222472
Fiji,2005,2.089995376
Fiji,2010,2.155120286
Finland,1960,0.724303633
Finland,1965,0.705475256
Finland,1970,0.705358978
Finland,1975,0.750343844
Finland,1980,0.811564305
Finland,1985,0.99591898
Finland,1990,1.268542571
Finland,1995,2.022733903
Finland,2000,2.581619096
Finland,2005,3.267096142
Finland,2010,4.207182374
Fragile and conflict affected situations,1960,3.692921212
Fragile and conflict affected situations,1965,3.84869248
Fragile and conflict affected situations,1970,3.762337902
Fragile and conflict affected situations,1975,3.437090913
Fragile and conflict affected situations,1980,4.17046647
Fragile and conflict affected situations,1985,3.647497262
Fragile and conflict affected situations,1990,3.715017762
Fragile and conflict affected situations,1995,3.652905819
Fragile and conflict affected situations,2000,2.952796358
Fragile and conflict affected situations,2005,2.803167438
Fragile and conflict affected situations,2010,2.809964058
France,1960,7.491765806
France,1965,8.890232872
France,1970,10.01311903
France,1975,10.26986111
France,1980,10.64428941
France,1985,10.48111295
France,1990,10.07859168
France,1995,10.21970075
France,2000,10.3077664
France,2005,10.25429731
France,2010,10.28002117
French Polynesia,1960,4.693723346
French Polynesia,1965,5.864726027
French Polynesia,1970,7.415653055
French Polynesia,1975,9.379952381
French Polynesia,1980,11.87525543
French Polynesia,1985,13.54618511
French Polynesia,1990,13.02112215
French Polynesia,1995,13.0989777
French Polynesia,2000,12.78264571
French Polynesia,2005,12.74658276
French Polynesia,2010,12.98304516
Gabon,1960,4.179779603
Gabon,1965,5.451520341
Gabon,1970,6.844551692
Gabon,1975,9.525194738
Gabon,1980,13.00446401
Gabon,1985,13.25481182
Gabon,1990,13.40661095
Gabon,1995,15.08832904
Gabon,2000,17.09117306
Gabon,2005,17.74960679
Gabon,2010,18.42664028
Gambia,1960,8.575295777
Gambia,1965,9.747171741
Gambia,1970,10.81843039
Gambia,1975,11.55506938
Gambia,1980,12.47147861
Gambia,1985,12.88881725
Gambia,1990,12.88411679
Gambia,1995,13.87506967
Gambia,2000,15.06400632
Gambia,2005,16.08693117
Gambia,2010,17.13547887
Georgia,1990,7.044981258
Georgia,1995,5.278833967
Georgia,2000,4.947604282
Georgia,2005,4.384371991
Georgia,2010,3.756490298
Germany,1990,7.473189773
Germany,1995,11.00884006
Germany,2000,12.14029793
Germany,2005,12.85069635
Germany,2010,13.15537402
Ghana,1960,7.962978135
Ghana,1965,5.543264311
Ghana,1970,4.094148443
Ghana,1975,3.913823542
Ghana,1980,3.894205022
Ghana,1985,3.888327664
Ghana,1990,4.898238068
Ghana,1995,6.195033456
Ghana,2000,7.993176518
Ghana,2005,7.804137111
Ghana,2010,7.615076306
Greece,1960,0.630061602
Greece,1965,0.803559347
Greece,1970,1.018696421
Greece,1975,1.364853152
Greece,1980,1.781228011
Greece,1985,3.113062823
Greece,1990,4.057270613
Greece,1995,5.163608427
Greece,2000,6.702149818
Greece,2005,8.78944061
Greece,2010,10.15644122
Greenland,1960,7.972307692
Greenland,1965,10.89030612
Greenland,1970,15.57112069
Greenland,1975,17.28024194
Greenland,1980,17.56972112
Greenland,1985,17.43796992
Greenland,1990,15.37230216
Greenland,1995,14.11290323
Greenland,2000,12.91103203
Greenland,2005,11.74145956
Greenland,2010,10.23284421
Grenada,1960,4.463560388
Grenada,1965,3.752418613
Grenada,1970,3.325214445
Grenada,1975,3.004769991
Grenada,1980,2.761673633
Grenada,1985,3.125907094
Grenada,1990,4.427434933
Grenada,1995,5.804315083
Grenada,2000,7.816374729
Grenada,2005,10.53219493
Grenada,2010,12.03416223
Guam,1960,46.44970857
Guam,1965,45.69206303
Guam,1970,45.07153076
Guam,1975,47.02208797
Guam,1980,48.97388866
Guam,1985,51.3278891
Guam,1990,53.459481
Guam,1995,49.41811737
Guam,2000,47.75764833
Guam,2005,48.29388703
Guam,2010,49.47754641
Guatemala,1960,1.049265243
Guatemala,1965,1.008353491
Guatemala,1970,0.751781545
Guatemala,1975,0.612395425
Guatemala,1980,0.590296332
Guatemala,1985,1.005038621
Guatemala,1990,2.885359435
Guatemala,1995,0.439620003
Guatemala,2000,0.41167251
Guatemala,2005,0.405332269
Guatemala,2010,0.403583673
Guinea,1960,0.316234105
Guinea,1965,0.356335699
Guinea,1970,0.40038506
Guinea,1975,0.472849841
Guinea,1980,0.558741159
Guinea,1985,0.605569666
Guinea,1990,3.995984808
Guinea,1995,10.34909812
Guinea,2000,8.067288203
Guinea,2005,4.149509211
Guinea,2010,3.582841025
Guinea-Bissau,1960,1.888849413
Guinea-Bissau,1965,1.829393502
Guinea-Bissau,1970,1.719656996
Guinea-Bissau,1975,1.612240232
Guinea-Bissau,1980,1.514203081
Guinea-Bissau,1985,1.334898158
Guinea-Bissau,1990,1.312809598
Guinea-Bissau,1995,2.688595002
Guinea-Bissau,2000,1.462079661
Guinea-Bissau,2005,1.313864521
Guinea-Bissau,2010,1.177582126
