Entity,Year,Number of European cities (Bairoch (1988)),Europe urban population share (Bairoch (1988)),Number of developed country cities (Bairoch (1988)),Developed country urban population share (Bairoch (1988)),Number of African cities (Bairoch (1988)),Africa urban population share (Bairoch (1988)),Number of Latin American cities (Bairoch (1988)),Latin America urban population share (Bairoch (1988)),Number of third world market cities (Bairoch (1988)),Third world market urban population share (Bairoch (1988)),Europe urban population (Bairoch (1988)),Europe rural population (Bairoch (1988)),Europe rural population share (Bairoch (1988)),Developed country urban population (Bairoch (1988)),Developed country rural population (Bairoch (1988)),Developed country rural population share (Bairoch (1988)),Africa urban population (Bairoch (1988)),Africa rural population (Bairoch (1988)),Africa rural population share (Bairoch (1988)),Latin America urban population (Bairoch (1988)),Latin America rural population (Bairoch (1988)),Latin America rural population share (Bairoch (1988)),Third world market urban population (Bairoch (1988)),Third world market rural population (Bairoch (1988)),Third world market rural population share (Bairoch (1988))
100 to 200,1930,,,,,3,,,,44,,,,,,,,,,,,,,,,
100 to 200,1950,,,288,,13,,,,134,,,,,,,,,,,,,,,,
100 to 200,1980,,,491,,,,,,449,,,,,,,,,,,,,,,,
1000 to 5000,1800,,,1,,,,,,,,,,,,,,,,,,,,,,
1000 to 5000,1850,,,2,,,,,,,,,,,,,,,,,,,,,,
1000 to 5000,1900,,,8,,,,,,1,,,,,,,,,,,,,,,,
1000 to 5000,1930,,,,,,,,,6,,,,,,,,,,,,,,,,
1000 to 5000,1950,,,47,,,,,,18,,,,,,,,,,,,,,,,
1000 to 5000,1980,,,101,,,,,,63,,,,,,,,,,,,,,,,
20 to 50,1000,35,,,,,,,,,,,,,,,,,,,,,,,,
20 to 50,1300,80,,,,,,,,,,,,,,,,,,,,,,,,
20 to 50,1500,74,,,,,,,,,,,,,,,,,,,,,,,,
20 to 50,1600,85,,,,,,,,,,,,,,,,,,,,,,,,
20 to 50,1700,98,,,,,,,,,,,,,,,,,,,,,,,,
20 to 50,1750,,,,,,,23,,,,,,,,,,,,,,,,,,
20 to 50,1800,,,,,,,35,,,,,,,,,,,,,,,,,,
20 to 50,1850,,,,,,,40,,,,,,,,,,,,,,,,,,
20 to 50,1900,,,,,36,,102,,,,,,,,,,,,,,,,,,
20 to 50,1910,,,,,39,,,,,,,,,,,,,,,,,,,,
20 to 50,1920,,,,,41,,131,,,,,,,,,,,,,,,,,,
20 to 50,1930,,,,,45,,,,,,,,,,,,,,,,,,,,
20 to 50,1950,,,,,70,,,,,,,,,,,,,,,,,,,,
200 to 500,1000,1,,,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1300,1,,,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1500,1,,,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1600,2,,,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1700,2,,,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1800,,,9,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1850,,,18,,,,,,,,,,,,,,,,,,,,,,
200 to 500,1900,,,61,,,,6,,22,,,,,,,,,,,,,,,,
200 to 500,1920,,,,,1,,7,,,,,,,,,,,,,,,,,,
200 to 500,1930,,,,,1,,,,39,,,,,,,,,,,,,,,,
200 to 500,1950,,,186,,5,,,,79,,,,,,,,,,,,,,,,
200 to 500,1980,,,376,,,,,,274,,,,,,,,,,,,,,,,
50 to 100,1000,3,,,,,,,,,,,,,,,,,,,,,,,,
50 to 100,1300,7,,,,,,,,,,,,,,,,,,,,,,,,
50 to 100,1500,17,,,,,,,,,,,,,,,,,,,,,,,,
50 to 100,1600,21,,,,,,,,,,,,,,,,,,,,,,,,
50 to 100,1700,21,,,,,,,,,,,,,,,,,,,,,,,,
50 to 100,1750,,,,,,,5,,,,,,,,,,,,,,,,,,
50 to 100,1800,,,,,,,5,,,,,,,,,,,,,,,,,,
50 to 100,1850,,,,,,,6,,,,,,,,,,,,,,,,,,
50 to 100,1900,,,,,9,,22,,,,,,,,,,,,,,,,,,
50 to 100,1910,,,,,9,,,,,,,,,,,,,,,,,,,,
50 to 100,1920,,,,,9,,46,,,,,,,,,,,,,,,,,,
50 to 100,1930,,,,,11,,,,,,,,,,,,,,,,,,,,
50 to 100,1950,,,,,33,,,,,,,,,,,,,,,,,,,,
500 or more,1700,2,,,,,,,,,,,,,,,,,,,,,,,,
500 or more,1900,,,,,,,2,,,,,,,,,,,,,,,,,,
500 or more,1920,,,,,,,6,,,,,,,,,,,,,,,,,,
500 to 1000,1800,,,1,,,,,,,,,,,,,,,,,,,,,,
500 to 1000,1850,,,3,,,,,,,,,,,,,,,,,,,,,,
500 to 1000,1900,,,24,,,,,,7,,,,,,,,,,,,,,,,
500 to 1000,1930,,,,,,,,,8,,,,,,,,,,,,,,,,
500 to 1000,1950,,,68,,,,,,23,,,,,,,,,,,,,,,,
500 to 1000,1980,,,121,,,,,,99,,,,,,,,,,,,,,,,
5000 or more,1900,,,1,,,,,,,,,,,,,,,,,,,,,,
5000 or more,1950,,,5,,,,,,2,,,,,,,,,,,,,,,,
5000 or more,1980,,,9,,,,,,14,,,,,,,,,,,,,,,,
Total,1000,111,9.653846153846155,,,,,,,,,3765000,35235000,90.346153,,,,,,,,,,,,
Total,1300,242,10.47333333333333,,,,,,,,,7855000,67145000,89.526665,,,,,,,,,,,,
Total,1500,241,10.73684210526316,,,,,,,,,8160000,67840000,89.263161,,,,,,,,,,,,
Total,1600,294,11.46842105263158,,,,,,,,,10895000,84105000,88.531578,,,,,,,,,,,,
Total,1700,330,12.31372549019608,,,,,,,,,12560000,89440000,87.686272,,,,,,,,,,,,
Total,1750,,,,,,,29,12.93333333333333,,,,,,,,,,,,1940000,13060000,87.066666,,,
Total,1800,,,28,10.8354011579818,,,41,14.5,,,,,,26200000,215600000,89.164597,,,,2900000,17100000,85.5,,,
Total,1850,,,58,15.51672190418801,,,51,13.03030303030303,,,,,,51500000,280400000,84.483276,,,,4300000,28700000,86.969696,,,
Total,1900,,,195,29.73415877640204,46,3.181818181818182,138,20.30303030303031,70,10.14263074484945,,,,163300000,385900000,70.265839,3500000,106500000,96.818184,13400000,52600000,79.696968,64000000,567000000,89.857368
Total,1910,,,,,49,3.363636363636364,,,,,,,,,,,3700000,106300000,96.63636,,,,,,
Total,1920,,,,,52,3.818181818181818,207,25.49450549450549,,,,,,,,,4200000,105800000,96.181816,23200000,67800000,74.505493,,,
Total,1930,,,,,60,4.416666666666667,,,97,12.625,,,,,,,5300000,114700000,95.583336,,,,101000000,699000000,87.375
Total,1950,,,594,46.06808207804531,121,6.993865030674846,,,256,17.63059701492537,,,,388400000,454700000,53.931919,11400000,151600000,93.006134,,,,189000000,883000000,82.3694
Total,1980,,,1098,65.40772532188841,,,,,899,31.13799283154122,,,,762000000,403000000,34.592274,,,,,,,695000000,1536999936,68.862007
