Entity,Year,Homicide Rate (Clio Infra)
Argentina,1987,5.41
Argentina,1988,5.61
Argentina,1989,5.94
Argentina,1990,5.01
Argentina,1991,4.27
Argentina,1992,4.57
Argentina,1993,4.43
Argentina,1994,4.39
Argentina,1995,4.14
Argentina,1996,4.57
Argentina,1997,4.65
Argentina,1998,4.71
Argentina,1999,5.27
Argentina,2000,5.8
Argentina,2001,6.93
Argentina,2002,7.58
Argentina,2003,7.31
Argentina,2004,5.83
Argentina,2005,5.23
Argentina,2006,5.3
Argentina,2007,5.3
Argentina,2008,5.5
Argentina,2009,5.8
Armenia,1981,1.9
Armenia,1982,2.04
Armenia,1985,1.52
Armenia,1986,1.38
Armenia,1987,1.88
Armenia,1988,2.6
Armenia,1989,2.9
Armenia,1990,5.3
Armenia,1991,5.5
Armenia,1992,8.9
Armenia,1993,7.7
Armenia,1994,4.8
Armenia,1995,4.4
Armenia,1996,3
Armenia,1997,2.6
Armenia,1998,2.5
Armenia,1999,2.6
Armenia,2000,2.87
Armenia,2001,2.32
Armenia,2002,2.39
Armenia,2003,1.79
Armenia,2006,1.8
Armenia,2008,1.73
Australia,1903,2.35
Australia,1904,2.62
Australia,1905,2.04
Australia,1906,2.44
Australia,1907,1.92
Australia,1908,1.93
Australia,1909,1.86
Australia,1910,1.86
Australia,1911,1.31
Australia,1912,1.91
Australia,1913,1.98
Australia,1914,2.13
Australia,1915,1.46
Australia,1916,1.25
Australia,1917,1.05
Australia,1918,0.72
Australia,1919,1.62
Australia,1920,1.26
Australia,1921,1.49
Australia,1922,1.46
Australia,1923,0.93
Australia,1924,1.04
Australia,1925,1.23
Australia,1926,1.09
Australia,1927,1.3
Australia,1928,1.19
Australia,1929,1.34
Australia,1930,0.8
Australia,1931,1.39
Australia,1932,0.86
Australia,1933,0.97
Australia,1934,0.85
Australia,1935,1.06
Australia,1936,0.89
Australia,1937,0.98
Australia,1938,0.95
Australia,1939,0.86
Australia,1941,0.82
Australia,1942,1.01
Australia,1943,0.91
Australia,1946,0.87
Australia,1947,1.19
Australia,1948,1.36
Australia,1949,1.35
Australia,1950,1.04
Australia,1951,1.36
Australia,1952,1.48
Australia,1953,1.31
Australia,1954,1.3
Australia,1955,1.4
Australia,1956,1.33
Australia,1957,1.32
Australia,1958,1.52
Australia,1959,1.48
Australia,1960,1.47
Australia,1961,1.35
Australia,1962,1.54
Australia,1963,1.36
Australia,1964,1.51
Australia,1965,1.43
Australia,1966,1.33
Australia,1967,1.37
Australia,1968,1.57
Australia,1969,1.26
Australia,1970,1.5
Australia,1971,1.79
Australia,1972,1.67
Australia,1973,1.9
Australia,1974,1.79
Australia,1975,1.63
Australia,1976,2.03
Australia,1977,1.91
Australia,1978,1.79
Australia,1979,1.84
Australia,1980,1.92
Australia,1981,1.89
Australia,1982,1.97
Australia,1983,1.78
Australia,1984,2.02
Australia,1985,1.99
Australia,1986,1.94
Australia,1987,2.13
Australia,1988,2.03
Australia,1989,1.83
Australia,1990,2.2
Australia,1991,2
Australia,1992,1.7
Australia,1993,1.8
Australia,1994,1.8
Australia,1995,1.6
Australia,1996,1.8
Australia,1997,1.7
Australia,1998,1.6
Australia,1999,1.6
Australia,2000,1.58
Australia,2001,1.57
Australia,2002,1.48
Australia,2003,1.4
Australia,2004,0.82
Australia,2005,0.98
Australia,2006,0.75
Australia,2007,0.8
Australia,2008,0.96
Australia,2009,0.96
Austria,1860,2.4
Austria,1861,2.4
Austria,1862,2.4
Austria,1863,2.4
Austria,1864,2.4
Austria,1865,2.4
Austria,1866,2.4
Austria,1867,2.4
Austria,1868,2.4
Austria,1869,2.4
Austria,1870,2.6
Austria,1871,2.6
Austria,1872,2.6
Austria,1873,2.6
Austria,1874,2.6
Austria,1875,2.6
Austria,1876,2.6
Austria,1877,2.6
Austria,1878,2.6
Austria,1879,2.6
Austria,1880,2.2
Austria,1881,2.2
Austria,1882,2.2
Austria,1883,2.2
Austria,1884,2.2
Austria,1885,2.2
Austria,1886,2.2
Austria,1887,2.2
Austria,1888,2.2
Austria,1889,2.2
Austria,1920,1.8
Austria,1921,1.8
Austria,1922,1.8
Austria,1923,1.8
Austria,1924,1.8
Austria,1925,1.8
Austria,1926,1.8
Austria,1927,1.8
Austria,1928,1.8
Austria,1929,1.8
Austria,1930,2
Austria,1931,2
Austria,1932,2
Austria,1933,2
Austria,1934,2
Austria,1935,2
Austria,1936,2
Austria,1937,2
Austria,1938,2
Austria,1939,2
Austria,1940,1.6
Austria,1941,1.6
Austria,1942,1.6
Austria,1943,1.6
Austria,1944,1.6
Austria,1945,1.6
Austria,1946,1.6
Austria,1947,1.6
Austria,1948,1.6
Austria,1949,1.6
Austria,1950,1.2
Austria,1951,1.2
Austria,1952,1.2
Austria,1953,1.2
Austria,1954,1.2
Austria,1955,0.92
Austria,1956,1.51
Austria,1957,1.15
Austria,1958,0.93
Austria,1959,1.16
Austria,1960,1.21
Austria,1961,1.06
Austria,1962,0.98
Austria,1963,0.85
Austria,1964,0.98
Austria,1965,0.98
Austria,1966,1.08
Austria,1967,0.99
Austria,1968,0.91
Austria,1969,1.13
Austria,1970,1.49
Austria,1971,1.35
Austria,1972,1.22
Austria,1973,1.32
Austria,1974,1.47
Austria,1975,1.62
Austria,1976,1.2
Austria,1977,1.29
Austria,1978,1.38
Austria,1979,1.26
Austria,1980,1.21
Austria,1981,1.26
Austria,1982,1.54
Austria,1983,1.7
Austria,1984,1.77
Austria,1985,1.41
Austria,1986,1.3
Austria,1987,1.28
Austria,1988,1.22
Austria,1989,1.14
Austria,1990,1.6
Austria,1991,1.3
Austria,1992,1.5
Austria,1993,1.3
Austria,1994,1.2
Austria,1995,1
Austria,1996,1.2
Austria,1997,0.9
Austria,1998,1.1
Austria,1999,0.84
Austria,2000,0.94
Austria,2001,0.96
Austria,2002,0.85
Austria,2003,0.55
Austria,2004,0.75
Austria,2005,0.81
Austria,2006,0.8
Austria,2007,0.63
Austria,2008,0.58
Austria,2009,0.69
Austria,2010,0.54
Azerbaijan,1981,3.26
Azerbaijan,1982,3
Azerbaijan,1985,2.39
Azerbaijan,1986,3.03
Azerbaijan,1987,2.59
Azerbaijan,1988,3.33
Azerbaijan,1989,2.21
Azerbaijan,1990,6
Azerbaijan,1991,4.9
Azerbaijan,1992,51.8
Azerbaijan,1993,41.4
Azerbaijan,1994,62.5
Azerbaijan,1995,8.9
Azerbaijan,1996,7.2
Azerbaijan,1997,6.1
Azerbaijan,1998,5.6
Azerbaijan,1999,4.7
Azerbaijan,2000,3.39
Azerbaijan,2001,2.59
Azerbaijan,2002,2.63
Azerbaijan,2003,2.59
Azerbaijan,2004,1.89
Bahamas,1969,0.61
Bahamas,1971,0.57
Bahamas,1973,23.08
Bahamas,1975,10.05
Bahamas,1976,18.65
Bahamas,1977,18.78
Bahamas,1979,16.99
Bahamas,1980,11.42
Bahamas,1981,9.05
Bahamas,1983,4.09
Bahamas,1984,11.07
Bahamas,1985,15.23
Bahamas,1987,10.44
Bahamas,1993,13
Bahamas,1994,20.43
Bahamas,1995,15.06
Bahamas,1996,14.38
Bahamas,1997,16.21
Bahamas,1998,16.64
Bahamas,1999,18.07
Bahamas,2000,20.78
Bahamas,2001,16.2
Bahamas,2002,16.3
Bahamas,2003,15.8
Bahamas,2004,13.7
Bahamas,2005,16.9
Bahamas,2006,17.88
Bahamas,2007,24.85
Bahamas,2008,22.49
Bahrain,2003,0.5
Bahrain,2004,1
Bahrain,2005,0.6
Bahrain,2006,0.9
Bahrain,2007,0.4
Bahrain,2008,0.6
Bangladesh,2004,7.8
Bangladesh,2008,8.4
Barbados,1955,0
Barbados,1956,0.88
Barbados,1957,0
Barbados,1958,2.17
Barbados,1959,2.17
Barbados,1960,2.6
Barbados,1961,1.72
Barbados,1962,0.86
Barbados,1963,0.43
Barbados,1964,4.27
Barbados,1965,2.13
Barbados,1966,4.24
Barbados,1968,3.33
Barbados,1969,2.09
Barbados,1970,2.09
Barbados,1971,2.07
Barbados,1972,3.71
Barbados,1973,5.74
Barbados,1974,3.66
Barbados,1975,4.05
Barbados,1976,4.84
Barbados,1977,3.61
Barbados,1978,3.6
Barbados,1979,4.38
Barbados,1980,5.6
Barbados,1981,4.39
Barbados,1982,5.2
Barbados,1983,5.95
Barbados,1984,5.15
Barbados,1985,7.51
Barbados,1986,3.55
Barbados,1987,8.6
Barbados,1988,7
Barbados,1989,6.64
Barbados,1990,13.23
Barbados,1991,8.14
Barbados,1992,8.49
Barbados,1993,8.1
Barbados,1994,7.7
Barbados,1995,6.53
Barbados,2000,9.78
Barbados,2001,9.74
Barbados,2002,11.9
Barbados,2003,9.5
Barbados,2004,15.1
Barbados,2005,6.96
Barbados,2006,18.1
Barbados,2007,10.95
Barbados,2008,17.82
Belarus,1981,4.85
Belarus,1982,5.96
Belarus,1985,4.69
Belarus,1986,4.05
Belarus,1987,4.48
Belarus,1988,5.39
Belarus,1989,6.8
Belarus,1990,7
Belarus,1991,6.48
Belarus,1992,8.7
Belarus,1993,10.5
Belarus,1994,10.6
Belarus,1995,11.8
Belarus,1996,11
Belarus,1997,11.9
Belarus,1998,12.1
Belarus,1999,11.2
Belarus,2000,11.2
Belarus,2001,10.95
Belarus,2002,11.47
Belarus,2003,9.96
Belarus,2004,9.03
Belarus,2005,8.41
Belarus,2007,6.77
Belgium,1800,0.8
Belgium,1801,0.8
Belgium,1802,0.8
Belgium,1803,0.8
Belgium,1804,0.8
Belgium,1805,0.8
Belgium,1806,0.8
Belgium,1807,0.8
Belgium,1808,0.8
Belgium,1809,0.8
Belgium,1810,0.8
Belgium,1811,0.8
Belgium,1812,0.8
Belgium,1813,0.8
Belgium,1814,0.8
Belgium,1815,0.8
Belgium,1816,0.8
Belgium,1817,0.8
Belgium,1818,0.8
Belgium,1819,0.8
Belgium,1820,0.8
Belgium,1821,0.8
Belgium,1822,0.8
Belgium,1823,0.8
Belgium,1824,0.8
Belgium,1825,0.8
Belgium,1826,0.8
Belgium,1827,0.8
Belgium,1828,0.8
Belgium,1829,0.8
Belgium,1830,0.8
Belgium,1831,0.8
Belgium,1832,0.8
Belgium,1833,0.8
Belgium,1834,0.8
Belgium,1835,0.8
Belgium,1836,0.8
Belgium,1837,0.8
Belgium,1838,0.8
Belgium,1839,0.8
Belgium,1840,0.8
Belgium,1841,0.8
Belgium,1842,0.8
Belgium,1843,0.8
Belgium,1844,0.8
Belgium,1845,0.8
Belgium,1846,0.8
Belgium,1847,0.8
Belgium,1848,0.8
Belgium,1849,0.8
Belgium,1850,1.7
Belgium,1851,1.7
Belgium,1852,1.7
Belgium,1853,1.7
Belgium,1854,1.7
Belgium,1855,1.7
Belgium,1856,1.7
Belgium,1857,1.7
Belgium,1858,1.7
Belgium,1859,1.7
Belgium,1860,1.7
Belgium,1861,1.7
Belgium,1862,1.7
Belgium,1863,1.7
Belgium,1864,1.7
Belgium,1865,1.7
Belgium,1866,1.7
Belgium,1867,1.7
Belgium,1868,1.7
Belgium,1869,1.7
Belgium,1870,1.8
Belgium,1871,1.8
Belgium,1872,1.8
Belgium,1873,1.8
Belgium,1874,1.8
Belgium,1875,1.8
Belgium,1876,1.8
Belgium,1877,1.8
Belgium,1878,1.8
Belgium,1879,1.8
Belgium,1880,1.7
Belgium,1881,1.7
Belgium,1882,1.7
Belgium,1883,1.7
Belgium,1884,1.7
Belgium,1885,1.7
Belgium,1886,1.7
Belgium,1887,1.7
Belgium,1888,1.7
Belgium,1889,1.7
Belgium,1890,1.7
Belgium,1891,1.7
Belgium,1892,1.7
Belgium,1893,1.7
Belgium,1894,1.7
Belgium,1895,1.7
Belgium,1896,1.7
Belgium,1897,1.7
Belgium,1898,1.7
Belgium,1899,1.7
Belgium,1900,2
Belgium,1901,2
Belgium,1902,2
Belgium,1903,2
Belgium,1904,2
Belgium,1905,2
Belgium,1906,2
Belgium,1907,2
Belgium,1908,2
Belgium,1909,2
Belgium,1910,2.5
Belgium,1911,2.5
Belgium,1912,2.5
Belgium,1913,2.5
Belgium,1914,2.5
Belgium,1915,2.5
Belgium,1916,2.5
Belgium,1917,2.5
Belgium,1918,2.5
Belgium,1919,2.5
Belgium,1920,2.2
Belgium,1921,2.2
Belgium,1922,2.2
Belgium,1923,2.2
Belgium,1924,2.2
Belgium,1925,2.2
Belgium,1926,2.2
Belgium,1927,2.2
Belgium,1928,2.2
Belgium,1929,2.2
Belgium,1930,1.6
Belgium,1931,1.6
Belgium,1932,1.6
Belgium,1933,1.6
Belgium,1934,1.6
Belgium,1935,1.6
Belgium,1936,1.6
Belgium,1937,1.6
Belgium,1938,1.6
Belgium,1939,1.6
Belgium,1940,1.6
Belgium,1941,1.6
Belgium,1942,1.6
Belgium,1943,1.6
Belgium,1944,1.6
Belgium,1945,1.6
Belgium,1946,1.6
Belgium,1947,1.6
Belgium,1948,1.6
Belgium,1949,1.6
Belgium,1950,0.7
Belgium,1951,0.7
Belgium,1952,0.7
Belgium,1953,0.7
Belgium,1954,0.67
Belgium,1955,0.69
Belgium,1956,0.71
Belgium,1957,0.65
Belgium,1958,0.6
Belgium,1959,0.64
Belgium,1960,0.63
Belgium,1961,0.69
Belgium,1962,0.56
Belgium,1963,0.64
Belgium,1964,0.58
Belgium,1965,0.72
Belgium,1966,0.74
Belgium,1967,0.76
Belgium,1968,0.83
Belgium,1969,0.84
Belgium,1970,1.1
Belgium,1971,1.01
Belgium,1972,1.23
Belgium,1973,1.09
Belgium,1974,1.03
Belgium,1975,0.91
Belgium,1976,0.93
Belgium,1977,0.9
Belgium,1978,1.05
Belgium,1979,1.6
Belgium,1980,1.5
Belgium,1981,1.39
Belgium,1982,1.48
Belgium,1983,1.79
Belgium,1984,1.66
Belgium,1985,2.03
Belgium,1986,2.13
Belgium,1987,1.58
Belgium,1988,1.56
Belgium,1989,1.36
Belgium,1990,1.4
Belgium,1991,1.4
Belgium,1992,1.7
Belgium,1993,1.99
Belgium,1994,1.82
Belgium,1995,1.67
Belgium,1996,1.99
Belgium,1997,1.74
Belgium,1998,2.02
Belgium,1999,2.48
Belgium,2004,1.71
Belgium,2005,1.56
Belgium,2006,1.39
Belize,1964,0.96
Belize,1965,0
Belize,1966,0
Belize,1967,0
Belize,1968,0
Belize,1969,0.84
Belize,1970,0
Belize,1971,1.6
Belize,1972,0
Belize,1973,0
Belize,1974,2.26
Belize,1975,0
Belize,1976,0.72
Belize,1977,0
Belize,1978,0
Belize,1979,0
Belize,1980,0
Belize,1981,0
Belize,1982,0
Belize,1983,0
Belize,1984,0
Belize,1986,0
Belize,1987,0.58
Belize,1989,0.55
Belize,1990,2.13
Belize,1991,3.16
Belize,1993,0
Belize,1994,0.96
Belize,1995,0
Belize,1996,0
Belize,1997,7.96
Belize,1998,21.09
Belize,1999,16.77
Belize,2000,23.3
Belize,2001,21.53
Belize,2002,25
Belize,2003,21.8
Belize,2004,14.5
Belize,2005,16.6
Belize,2006,16.3
Belize,2007,11.9
Belize,2008,12.6
Belize,2009,26.09
Benin,2004,12.9
Benin,2008,15.1
Bhutan,2001,3.2
Bhutan,2002,3.2
Bhutan,2003,3.1
Bhutan,2004,0.8
Bhutan,2005,2.3
Bhutan,2006,1.7
Bhutan,2007,1.3
Bhutan,2008,1.2
Bhutan,2009,1
Botswana,2004,21.5
Botswana,2008,23.9
Brazil,1830,5.62
Brazil,1840,2.82
Brazil,1850,5.61
Brazil,1860,5.55
Brazil,1870,5.93
Brazil,1880,4.15
Brazil,1977,7.67
Brazil,1978,7.87
Brazil,1979,9.43
Brazil,1980,9.95
Brazil,1981,12.24
Brazil,1982,12.24
Brazil,1983,13.41
Brazil,1984,14.88
Brazil,1985,14.55
Brazil,1986,15.09
Brazil,1987,16.36
Brazil,1988,16.24
Brazil,1989,19.64
Brazil,1990,21.47
Brazil,1991,20.29
Brazil,1992,18.43
Brazil,1993,19.59
Brazil,1994,20.57
Brazil,1995,23.09
Brazil,1996,23.86
Brazil,1997,24.51
Brazil,1998,25.03
Brazil,1999,25.28
Brazil,2000,26.37
Brazil,2001,27.1
Brazil,2002,27.69
Brazil,2003,28.07
Brazil,2004,26.23
Brazil,2005,25.94
Brazil,2006,26.48
Brazil,2007,25.42
Brazil,2008,26.02
Brazil,2009,24.71
Brazil,2010,21.5
British Virgin Islands,1968,0
British Virgin Islands,1969,0
British Virgin Islands,1970,10
British Virgin Islands,1975,0
British Virgin Islands,1976,0
British Virgin Islands,1977,9.09
British Virgin Islands,1978,0
British Virgin Islands,1981,0
British Virgin Islands,1982,8.33
British Virgin Islands,1983,0
British Virgin Islands,1984,0
British Virgin Islands,1985,0
British Virgin Islands,1986,0
British Virgin Islands,1987,6.84
British Virgin Islands,1988,0
British Virgin Islands,1989,6.27
British Virgin Islands,1990,6.06
British Virgin Islands,1991,0
British Virgin Islands,1992,0
British Virgin Islands,1993,0
British Virgin Islands,1994,0
British Virgin Islands,1995,10.64
British Virgin Islands,1996,10.6
British Virgin Islands,1997,0
British Virgin Islands,1998,0
British Virgin Islands,1999,4.97
British Virgin Islands,2000,0
British Virgin Islands,2001,4.79
British Virgin Islands,2002,4.72
British Virgin Islands,2003,9.32
British Virgin Islands,2004,18
British Virgin Islands,2006,8.6
British Virgin Islands,2008,0
British Virgin Islands,2009,0
Brunei,1996,2.97
Brunei,1997,2.58
Brunei,1998,1.26
Brunei,1999,1.23
Brunei,2000,1.22
Brunei,2002,4.09
Brunei,2003,3.15
Brunei,2004,3.93
Brunei,2005,3.31
Brunei,2006,4.05
Brunei,2007,3.17
Bulgaria,1964,2.12
Bulgaria,1965,1.96
Bulgaria,1966,2.51
Bulgaria,1967,2.02
Bulgaria,1968,2.22
Bulgaria,1969,2.74
Bulgaria,1970,2.23
Bulgaria,1971,2.83
Bulgaria,1972,2.76
Bulgaria,1973,2.35
Bulgaria,1974,2.51
Bulgaria,1975,2.33
Bulgaria,1976,2.1
Bulgaria,1977,2.4
Bulgaria,1978,2.62
Bulgaria,1979,2.29
Bulgaria,1980,2.51
Bulgaria,1981,3.4
Bulgaria,1982,3.26
Bulgaria,1983,2.93
Bulgaria,1984,3.15
Bulgaria,1985,3.23
Bulgaria,1986,2.88
Bulgaria,1987,2.37
Bulgaria,1988,2.57
Bulgaria,1989,2.48
Bulgaria,1990,3.2
Bulgaria,1991,4
Bulgaria,1992,4.7
Bulgaria,1993,4.9
Bulgaria,1994,5.1
Bulgaria,1995,4.7
Bulgaria,1996,5
Bulgaria,1997,4.5
Bulgaria,1998,3.83
Bulgaria,1999,2.9
Bulgaria,2000,3.55
Bulgaria,2001,3.08
Bulgaria,2002,2.86
Bulgaria,2003,2.58
Bulgaria,2004,2.65
Bulgaria,2005,2.38
Bulgaria,2006,1.87
Bulgaria,2007,1.89
Bulgaria,2008,1.69
Burkina Faso,2004,18.1
Burkina Faso,2008,18
Burundi,2004,35.4
Burundi,2008,21.7
Cambodia,1995,3.6
Cambodia,1996,4.7
Cambodia,1997,6.8
Cambodia,1998,6.6
Cambodia,1999,4.8
Cambodia,2000,4.6
Cambodia,2001,3.2
Cambodia,2002,3.3
Cambodia,2003,3.9
Cambodia,2004,3.9
Cambodia,2005,3.4
Cameroon,2004,16.1
Cameroon,2008,19.7
Canada,1919,1.53
Canada,1920,1.72
Canada,1921,1.37
Canada,1922,1.54
Canada,1923,1.26
Canada,1924,1.1
Canada,1925,1.27
Canada,1926,1.29
Canada,1927,1.25
Canada,1928,1.48
Canada,1929,1.77
Canada,1930,2.04
Canada,1931,1.62
Canada,1932,1.47
Canada,1933,1.35
Canada,1934,1.29
Canada,1935,1.37
Canada,1936,1.22
Canada,1937,1.22
Canada,1938,1.11
Canada,1939,1.07
Canada,1940,1.27
Canada,1941,1.1
Canada,1942,0.94
Canada,1943,1.03
Canada,1944,0.86
Canada,1945,1.23
Canada,1946,1.16
Canada,1947,1.13
Canada,1948,1.18
Canada,1949,1.28
Canada,1950,0.94
Canada,1951,1.03
Canada,1952,1.02
Canada,1953,1.11
Canada,1954,1.1
Canada,1955,1.07
Canada,1956,1.12
Canada,1957,1.03
Canada,1958,1.18
Canada,1959,1
Canada,1960,1.38
Canada,1961,1.19
Canada,1962,1.39
Canada,1963,1.29
Canada,1964,1.25
Canada,1965,1.32
Canada,1966,1.25
Canada,1967,1.54
Canada,1968,1.61
Canada,1969,1.79
Canada,1970,1.99
Canada,1971,2.15
Canada,1972,2.3
Canada,1973,2.39
Canada,1974,2.41
Canada,1975,2.65
Canada,1976,2.4
Canada,1977,2.56
Canada,1978,2.44
Canada,1979,2.46
Canada,1980,2.06
Canada,1981,2.3
Canada,1982,2.4
Canada,1983,2.38
Canada,1984,2.31
Canada,1985,2.12
Canada,1986,2.03
Canada,1987,2.2
Canada,1988,1.88
Canada,1989,2.11
Canada,1990,2.1
Canada,1991,2.3
Canada,1992,2.1
Canada,1993,1.8
Canada,1994,1.7
Canada,1995,1.7
Canada,1996,1.7
Canada,1997,1.4
Canada,1998,1.5
Canada,1999,1.51
Canada,2000,1.5
Canada,2001,1.49
Canada,2002,1.47
Canada,2003,1.4
Canada,2004,1.61
Canada,2005,1.8
Canada,2006,1.5
Canada,2007,1.55
Canada,2008,1.7
Cape Verde,1980,1.01
Cape Verde,2004,10.7
Cape Verde,2008,13.1
Cayman Islands,1973,0
Cayman Islands,1974,0
Cayman Islands,1978,6.67
Cayman Islands,1979,0
Cayman Islands,1984,5.02
Cayman Islands,1985,4.83
Cayman Islands,1986,18.51
Cayman Islands,1987,13.23
Cayman Islands,1988,4.19
Cayman Islands,1989,0
Cayman Islands,1990,7.6
Cayman Islands,1991,7.26
Cayman Islands,1992,3.47
Cayman Islands,1993,6.64
Cayman Islands,1994,6.27
Cayman Islands,1995,6.09
Cayman Islands,1996,2.91
Cayman Islands,1997,5.58
Cayman Islands,1998,2.67
Cayman Islands,1999,0
Cayman Islands,2000,9.94
Cayman Islands,2001,4.76
Cayman Islands,2002,0
Cayman Islands,2003,7.1
Cayman Islands,2004,11.19
Cayman Islands,2006,1.89
Cayman Islands,2007,3.64
Cayman Islands,2008,7.02
Central African Republic,2004,29.1
Central African Republic,2008,29.3
Chad,2004,19
Chad,2008,15.8
Chile,1955,3.5
Chile,1956,4.33
Chile,1957,4.9
Chile,1958,4.82
Chile,1959,3.99
Chile,1960,4.9
Chile,1961,5.57
Chile,1962,1.75
Chile,1963,1.78
Chile,1964,2.29
Chile,1965,1.85
Chile,1966,6.45
Chile,1967,1.78
Chile,1968,6.45
Chile,1969,4.82
Chile,1970,3.48
Chile,1971,3.79
Chile,1972,4.57
Chile,1973,5.05
Chile,1974,2.21
Chile,1975,2.03
Chile,1976,1.71
Chile,1977,1.97
Chile,1978,2.28
Chile,1979,2.43
Chile,1980,2.58
Chile,1981,3.05
Chile,1982,3.2
Chile,1983,3.2
Chile,1984,3.26
Chile,1985,3.21
Chile,1986,3.08
Chile,1987,2.73
Chile,1988,3.08
Chile,1989,2.87
Chile,1990,3.07
Chile,1991,3.39
Chile,1992,2.96
Chile,1993,2.61
Chile,1994,2.93
Chile,1995,3.22
Chile,1996,2.99
Chile,1997,2.55
Chile,1998,2.8
Chile,1999,2.92
Chile,2000,5.15
Chile,2001,5.38
Chile,2002,5.32
Chile,2003,5.2
Chile,2004,5.29
Chile,2005,5.81
Chile,2006,5.6
Chile,2007,4.5
Chile,2008,4.3
Chile,2009,5.33
China,2002,2
China,2003,1.9
China,2004,1.9
China,2005,1.6
China,2006,1.4
China,2007,1.2
China,2008,1.1
Colombia,1948,15.9
Colombia,1953,28.88
Colombia,1954,23.23
Colombia,1955,30.06
Colombia,1956,36.45
Colombia,1957,37.34
Colombia,1958,46.18
Colombia,1959,35.48
Colombia,1960,29.98
Colombia,1961,31.91
Colombia,1962,31.75
Colombia,1963,28.86
Colombia,1964,24.74
Colombia,1965,24.73
Colombia,1966,20.69
Colombia,1967,21.03
Colombia,1968,16.14
Colombia,1969,13.89
Colombia,1972,17.07
Colombia,1974,18.85
Colombia,1975,18.06
Colombia,1976,19.26
Colombia,1977,21.61
Colombia,1979,30.21
Colombia,1981,34.77
Colombia,1984,33.3
Colombia,1985,42.14
Colombia,1986,48.72
Colombia,1987,47.44
Colombia,1988,56.21
Colombia,1989,63.17
Colombia,1990,68.91
Colombia,1991,89.5
Colombia,1992,88.53
Colombia,1993,85.56
Colombia,1994,78.52
Colombia,1995,61.28
Colombia,1996,63.81
Colombia,1997,57.26
Colombia,1998,61.18
Colombia,1999,63
Colombia,2000,68.94
Colombia,2001,70.96
Colombia,2002,73.76
Colombia,2003,56.36
Colombia,2004,50.39
Colombia,2005,41.92
Colombia,2006,39.26
Colombia,2007,38.08
Colombia,2008,38.14
Comoros,2004,9.3
Comoros,2008,12.2
Costa Rica,1947,4.7
Costa Rica,1949,6.1
Costa Rica,1956,4.46
Costa Rica,1957,3.9
Costa Rica,1958,3.37
Costa Rica,1959,2.56
Costa Rica,1960,2.77
Costa Rica,1961,2.68
Costa Rica,1962,3.35
Costa Rica,1963,2.9
Costa Rica,1964,3.2
Costa Rica,1965,2.78
Costa Rica,1966,3.74
Costa Rica,1967,2.38
Costa Rica,1968,2.26
Costa Rica,1969,2.82
Costa Rica,1970,3.57
Costa Rica,1971,3.97
Costa Rica,1972,3.14
Costa Rica,1973,3.17
Costa Rica,1974,3.15
Costa Rica,1975,4.59
Costa Rica,1976,5.33
Costa Rica,1977,4.17
Costa Rica,1978,3.56
Costa Rica,1979,3.55
Costa Rica,1980,5.79
Costa Rica,1981,4.67
