Entity,Year,Drank in last week,Drank on 5 or more days in last week,Don't drink,Share of drinkers who "binged" on heaviest day of drinking in last week
Females (16 to 24),2007,54.1,3.8,23.2,45.6
Females (16 to 24),2008,52.2,2.2,22.7,45.5
Females (16 to 24),2009,50.5,2.2,24.0,48.3
Females (16 to 24),2010,46.1,2.3,27.4,37.1
Females (16 to 24),2011,49.5,3.4,22.4,37.3
Females (16 to 24),2012,48.3,2.3,25.4,35.2
Females (16 to 24),2013,43.2,2.2,29.7,36.6
Females (16 to 24),2014,43.4,1.5,27.7,40.5
Females (16 to 24),2015,47.4,2.9,29.7,37.7
Females (16 to 24),2016,44.8,1.3,27.7,40.5
Females (25 to 44),2005,61.8,10.5,18.2,32.5
Females (25 to 44),2006,60.0,9.2,19.1,34.9
Females (25 to 44),2007,61.3,11.1,18.9,36.3
Females (25 to 44),2008,58.7,8.7,20.4,34.1
Females (25 to 44),2009,58.7,7.4,20.2,31.7
Females (25 to 44),2010,56.5,6.5,22.1,34.0
Females (25 to 44),2011,56.0,5.9,21.1,29.0
Females (25 to 44),2012,50.4,4.9,24.9,27.0
Females (25 to 44),2013,52.3,4.8,23.8,30.0
Females (25 to 44),2014,50.7,4.2,25.0,33.2
Females (25 to 44),2015,51.9,4.5,24.4,35.1
Females (25 to 44),2016,50.0,3.4,23.1,31.3
Females (45 to 64),2005,61.3,17.1,19.8,20.2
Females (45 to 64),2006,60.5,14.9,20.4,20.3
Females (45 to 64),2007,61.2,15.1,21.4,21.1
Females (45 to 64),2008,60.1,15.4,20.2,21.6
Females (45 to 64),2009,59.2,13.6,21.2,19.0
Females (45 to 64),2010,60.2,13.1,20.2,18.9
Females (45 to 64),2011,60.3,12.4,19.8,20.3
Females (45 to 64),2012,58.8,11.3,21.9,19.0
Females (45 to 64),2013,58.5,10.0,18.3,21.0
Females (45 to 64),2014,60.1,10.3,17.7,21.2
Females (45 to 64),2015,58.9,12.0,20.4,27.2
Females (45 to 64),2016,59.9,9.4,18.0,25.0
Females (65 and over),2005,43.4,14.0,37.2,5.3
Females (65 and over),2006,44.5,15.1,35.6,4.8
Females (65 and over),2007,44.9,15.4,35.1,6.1
Females (65 and over),2008,43.2,14.6,37.9,5.0
Females (65 and over),2009,42.6,13.6,37.6,4.2
Females (65 and over),2010,43.2,14.3,36.9,5.5
Females (65 and over),2011,42.2,13.4,37.9,5.2
Females (65 and over),2012,44.6,14.0,35.2,5.8
Females (65 and over),2013,47.4,13.3,31.4,4.5
Females (65 and over),2014,50.4,14.8,30.1,6.6
Females (65 and over),2015,48.8,16.4,29.5,7.9
Females (65 and over),2016,44.8,12.4,32.9,7.7
Females (All aged 16+),2005,57.0,12.6,23.1,25.7
Females (All aged 16+),2006,55.9,11.5,23.5,26.2
Females (All aged 16+),2007,56.9,12.4,23.7,26.9
Females (All aged 16+),2008,54.9,11.4,24.5,25.9
Females (All aged 16+),2009,54.3,10.2,24.9,24.1
Females (All aged 16+),2010,53.5,9.9,25.4,23.7
Females (All aged 16+),2011,53.5,9.4,24.7,22.4
Females (All aged 16+),2012,51.5,8.6,26.3,21.1
Females (All aged 16+),2013,52.0,8.0,24.6,22.2
Females (All aged 16+),2014,52.7,8.2,24.2,23.9
Females (All aged 16+),2015,52.8,9.4,25.0,26.9
Females (All aged 16+),2016,51.3,7.1,24.4,25.3
Males (16 to 24),2005,64.1,9.5,17.4,49.8
Males (16 to 24),2006,60.5,8.2,19.2,49.7
Males (16 to 24),2007,64.1,8.9,18.8,50.3
Males (16 to 24),2008,62.5,6.3,18.8,48.4
Males (16 to 24),2009,54.8,6.7,22.2,44.6
Males (16 to 24),2010,48.5,5.1,26.5,48.9
Males (16 to 24),2011,51.5,4.5,22.8,42.2
Males (16 to 24),2012,50.0,4.6,22.7,43.1
Males (16 to 24),2013,49.2,2.0,24.5,42.6
Males (16 to 24),2014,51.9,4.0,21.9,41.7
Males (16 to 24),2015,53.9,4.0,23.5,47.1
Males (16 to 24),2016,47.0,2.8,25.9,34.4
Males (25 to 44),2005,74.4,17.8,12.3,39.9
Males (25 to 44),2006,73.3,16.8,11.0,41.8
Males (25 to 44),2007,74.2,18.3,11.4,41.2
Males (25 to 44),2008,72.0,13.9,11.9,36.4
Males (25 to 44),2009,70.3,13.2,14.1,38.5
Males (25 to 44),2010,69.1,11.9,14.6,36.1
Males (25 to 44),2011,66.7,10.6,14.9,35.8
Males (25 to 44),2012,63.4,9.5,17.8,38.3
Males (25 to 44),2013,62.7,8.1,16.4,36.4
Males (25 to 44),2014,61.7,8.1,19.4,36.0
Males (25 to 44),2015,62.8,8.2,18.8,35.1
Males (25 to 44),2016,62.0,6.6,17.1,33.4
Males (45 to 64),2005,76.9,27.5,10.9,27.2
Males (45 to 64),2006,76.0,25.9,10.9,27.7
Males (45 to 64),2007,76.1,26.6,12.1,32.3
Males (45 to 64),2008,74.2,24.0,13.5,27.8
Males (45 to 64),2009,72.0,22.6,14.7,29.7
Males (45 to 64),2010,73.1,20.1,13.3,26.8
Males (45 to 64),2011,72.4,21.5,12.3,26.1
Males (45 to 64),2012,70.8,17.6,15.6,26.5
Males (45 to 64),2013,71.2,17.4,15.0,28.0
Males (45 to 64),2014,71.3,19.6,10.8,31.3
Males (45 to 64),2015,72.0,18.3,13.9,31.3
Males (45 to 64),2016,68.6,14.5,14.4,31.1
Males (65 and over),2005,66.5,26.4,19.3,9.4
Males (65 and over),2006,67.1,27.2,17.0,9.9
Males (65 and over),2007,67.3,28.9,17.7,12.4
Males (65 and over),2008,65.6,27.0,19.6,10.7
Males (65 and over),2009,65.7,26.8,20.1,8.2
Males (65 and over),2010,65.4,25.6,20.5,10.1
Males (65 and over),2011,62.9,24.3,20.9,9.4
Males (65 and over),2012,63.5,23.3,21.3,10.5
Males (65 and over),2013,65.4,24.3,21.0,12.7
Males (65 and over),2014,64.0,24.6,20.0,11.7
Males (65 and over),2015,67.0,25.6,18.4,14.8
Males (65 and over),2016,65.9,23.8,15.9,12.4
Males (All aged 16+),2005,72.4,21.5,13.9,31.2
Males (All aged 16+),2006,71.3,20.7,13.2,31.9
Males (All aged 16+),2007,72.2,21.8,13.8,33.9
Males (All aged 16+),2008,70.3,19.0,14.8,29.8
Males (All aged 16+),2009,68.1,18.4,16.5,30.0
Males (All aged 16+),2010,67.2,16.6,16.8,28.7
Males (All aged 16+),2011,66.1,16.4,16.2,27.5
Males (All aged 16+),2012,63.8,14.0,18.5,29.4
Males (All aged 16+),2013,64.0,13.4,18.0,29.3
Males (All aged 16+),2014,63.8,14.5,17.1,30.1
Males (All aged 16+),2015,65.3,14.4,17.8,31.0
Males (All aged 16+),2016,62.8,12.1,17.3,28.2
Married,2016,61.9,12.0,18.8,21.3
Single,2016,49.4,4.8,25.1,38.0
Widowed/Divorced/Separated,2016,48.5,10.3,28.0,22.6
