Entity,Year,Count of terrorist incidents (RAND),Injuries due to terrorism (RAND),Fatalities due to terrorism (RAND)
Egypt,1985,5,2,10
Egypt,1986,6,18,13
Egypt,1987,2,2,0
Egypt,1988,6,1,0
Egypt,1989,2,0,0
Egypt,1990,4,20,15
Egypt,1991,1,0,0
Egypt,1992,6,27,1
Egypt,1993,15,70,10
Egypt,1994,16,24,12
Egypt,1995,5,24,1
Egypt,1996,5,15,19
Egypt,1997,2,32,84
Egypt,1998,2,13,6
Egypt,2002,1,0,1
Egypt,2004,3,171,36
Egypt,2005,7,227,75
Egypt,2006,2,83,24
Egypt,2007,2,1,1
El Salvador,1971,2,0,0
El Salvador,1972,2,0,0
El Salvador,1973,1,0,0
El Salvador,1974,1,0,0
El Salvador,1976,4,1,2
El Salvador,1977,1,0,0
El Salvador,1978,14,1,2
El Salvador,1979,19,2,12
El Salvador,1980,16,0,2
El Salvador,1981,12,3,5
El Salvador,1982,2,0,1
El Salvador,1983,2,0,1
El Salvador,1984,2,0,1
El Salvador,1985,1,0,13
El Salvador,1986,1,0,1
El Salvador,1988,14,12,0
El Salvador,1989,13,45,12
El Salvador,1990,1,0,0
El Salvador,1991,3,1,12
El Salvador,1992,2,1,0
El Salvador,1993,1,0,0
El Salvador,1994,1,2,1
El Salvador,1995,1,0,0
El Salvador,2001,1,0,0
El Salvador,2003,1,0,0
Eritrea,1974,1,0,2
Eritrea,1996,1,0,6
Eritrea,2003,1,1,2
Eritrea,2004,2,62,6
Estonia,1992,1,0,0
Estonia,1993,2,0,0
Estonia,1994,1,0,0
Estonia,2002,1,0,0
Estonia,2003,1,0,0
Estonia,2004,1,4,0
Ethiopia,1969,2,0,0
Ethiopia,1970,3,0,1
Ethiopia,1971,2,0,1
Ethiopia,1972,1,11,6
Ethiopia,1974,5,0,1
Ethiopia,1975,8,0,2
Ethiopia,1976,8,40,10
Ethiopia,1977,4,0,1
Ethiopia,1978,1,0,0
Ethiopia,1983,2,0,0
Ethiopia,1984,1,0,0
Ethiopia,1985,1,0,0
Ethiopia,1986,2,0,2
Ethiopia,1987,3,0,0
Ethiopia,1988,2,0,0
Ethiopia,1992,2,0,1
Ethiopia,1994,1,0,0
Ethiopia,1995,3,0,6
Ethiopia,1996,3,85,132
Ethiopia,1997,2,7,3
Ethiopia,1999,2,1,2
Ethiopia,2000,2,1,20
Ethiopia,2002,3,38,1
Ethiopia,2003,4,22,3
Ethiopia,2004,3,3,1
Ethiopia,2006,9,90,4
Ethiopia,2007,2,16,2
Ethiopia,2008,4,57,16
Falkland Islands,1983,1,0,0
Fiji,1987,1,0,0
Fiji,1989,1,0,0
Finland,1991,1,0,0
France,1968,4,0,0
France,1969,1,4,0
France,1970,1,0,0
France,1971,2,0,0
France,1972,12,0,2
France,1973,13,20,9
France,1974,14,5,1
France,1975,31,25,9
France,1976,38,13,6
France,1977,23,3,3
France,1978,15,14,8
France,1979,21,37,7
France,1980,28,54,16
France,1981,37,34,5
France,1982,55,199,18
France,1983,27,118,13
France,1984,25,38,11
France,1985,19,64,10
France,1986,26,243,14
France,1987,14,5,2
France,1988,10,28,3
France,1989,9,2,1
France,1990,7,0,1
France,1991,14,0,3
France,1992,7,0,1
France,1993,15,0,1
France,1994,3,8,1
France,1995,15,184,10
France,1996,15,181,12
France,1997,4,0,0
France,1998,38,4,1
France,1999,108,12,0
France,2000,44,1,5
France,2001,72,17,6
France,2002,72,10,2
France,2003,117,21,1
France,2004,71,14,0
France,2005,58,7,0
France,2006,67,1,3
France,2007,37,2,0
France,2008,24,4,0
France,2009,10,0,0
French Polynesia,1981,1,0,1
French Polynesia,1984,1,0,0
Gabon,1979,1,0,2
Georgia,1993,1,1,1
Georgia,1995,3,0,0
Georgia,1997,2,1,6
Georgia,1998,21,75,22
Georgia,1999,5,17,2
Georgia,2000,2,0,0
Georgia,2001,3,0,9
Georgia,2002,8,47,5
Georgia,2003,15,6,2
Georgia,2004,12,1,0
Georgia,2005,5,29,4
Georgia,2006,2,2,3
Georgia,2007,4,3,4
Georgia,2008,16,34,21
Germany,1998,1,0,0
Germany,1999,3,0,0
Germany,2000,4,13,1
Germany,2001,1,0,0
Germany,2002,2,2,0
Germany,2003,7,0,0
Germany,2004,1,0,0
Germany,2006,4,0,0
Germany,2007,4,0,0
Ghana,1992,1,0,0
Gibraltar,1973,1,0,0
Gibraltar,1988,1,0,3
Greece,1968,1,1,1
Greece,1969,6,13,1
Greece,1970,6,2,0
Greece,1971,9,2,1
Greece,1972,7,1,0
Greece,1973,14,54,5
Greece,1974,7,0,2
Greece,1975,2,0,1
Greece,1976,11,8,25
Greece,1977,12,2,0
Greece,1978,12,22,0
Greece,1980,5,2,3
Greece,1981,12,70,2
Greece,1982,22,0,1
Greece,1983,9,7,4
Greece,1984,16,1,6
Greece,1985,26,142,63
Greece,1986,10,2,2
Greece,1987,11,34,2
Greece,1988,13,117,16
Greece,1989,6,4,0
Greece,1990,18,5,0
Greece,1991,33,4,9
Greece,1992,2,0,0
Greece,1994,18,6,2
Greece,1995,3,0,0
Greece,1996,8,3,0
Greece,1997,2,0,0
Greece,1998,42,2,0
Greece,1999,55,4,1
Greece,2000,49,0,1
Greece,2001,22,0,0
Greece,2002,29,1,0
Greece,2003,55,1,1
Greece,2004,42,3,0
Greece,2005,25,3,0
Greece,2006,19,0,0
Greece,2007,11,0,0
Greece,2008,21,0,0
Greece,2009,59,8,1
Grenada,1983,1,1,0
Guadeloupe,1980,1,2,0
Guadeloupe,1985,1,0,0
Guatemala,1968,2,0,1
Guatemala,1970,5,0,2
Guatemala,1971,2,0,1
Guatemala,1975,1,0,0
Guatemala,1976,1,1,0
Guatemala,1977,1,1,0
Guatemala,1978,4,1,10
Guatemala,1979,1,0,2
Guatemala,1980,13,4,40
Guatemala,1981,13,1,5
Guatemala,1982,14,0,5
Guatemala,1983,2,0,0
Guatemala,1984,3,0,1
Guatemala,1985,4,0,7
Guatemala,1986,5,1,2
Guatemala,1988,3,0,0
Guatemala,1989,9,1,1
Guatemala,1990,4,0,5
Guatemala,1991,4,0,1
Guatemala,1992,2,9,0
Guatemala,1994,4,7,1
Guatemala,1995,3,2,2
Guatemala,1997,1,0,0
Guatemala,1998,4,3,2
Guatemala,1999,1,0,0
Guatemala,2001,1,0,1
Guatemala,2004,1,0,2
Guatemala,2005,1,6,2
Guatemala,2006,1,0,1
Guinea,2000,1,0,0
Guyana,1998,4,1,0
Guyana,2006,1,4,4
Haiti,1973,1,0,0
Haiti,1974,1,1,0
Haiti,1983,1,0,1
Haiti,1986,1,0,1
Haiti,1989,1,0,0
Haiti,1995,1,1,0
Haiti,1996,2,2,0
Haiti,1997,1,0,1
Haiti,1998,1,0,0
Haiti,1999,1,0,0
Haiti,2000,7,21,2
Haiti,2001,3,1,0
Haiti,2005,2,3,0
Honduras,1971,4,0,0
Honduras,1973,1,0,0
Honduras,1979,2,1,0
Honduras,1980,6,5,1
Honduras,1981,4,2,2
Honduras,1982,9,10,0
Honduras,1983,6,0,0
Honduras,1984,2,0,0
Honduras,1985,1,0,0
Honduras,1987,5,12,1
Honduras,1988,6,4,2
Honduras,1989,9,13,2
Honduras,1990,2,10,0
Honduras,1991,2,0,0
Honduras,1995,1,0,0
Honduras,1996,1,0,0
Honduras,1997,5,0,0
Honduras,1998,1,0,1
Honduras,2001,1,0,0
Honduras,2002,2,0,0
Honduras,2004,2,12,28
Honduras,2009,1,0,0
Hong Kong,1982,1,1,0
Hungary,1989,1,5,0
Hungary,1991,2,6,0
Hungary,1992,1,0,0
Hungary,1998,2,0,0
Hungary,1999,1,0,0
Hungary,2002,1,0,0
Hungary,2008,4,0,0
Iceland,1983,1,0,0
India,1950,2,,
India,1951,1,,
India,1952,1,,
India,1953,1,,
India,1954,1,,
India,1955,2,,
India,1956,1,,
India,1957,1,,
India,1958,1,,
India,1959,5,,
India,1960,5,,
India,1961,3,,
India,1962,3,,
India,1963,1,,
India,1964,4,,
India,1965,1,,
India,1966,1,,
India,1967,13,,
India,1968,1,,
India,1969,3,2,0
India,1970,5,0,0
India,1971,4,0,0
India,1972,4,0,0
India,1973,3,,
India,1974,34,0,0
India,1975,22,,
India,1976,26,0,0
India,1977,58,0,0
India,1978,76,0,0
India,1979,95,,
India,1980,38,,
India,1981,185,0,0
India,1982,239,0,2
India,1983,130,2,0
India,1984,78,19,32
India,1985,,0,1
India,1987,,150,25
India,1988,,15,1
India,1989,,4,6
India,1990,,0,13
India,1991,,6,16
India,1992,,0,15
India,1993,,1200,317
India,1994,,0,1
India,1995,,31,2
India,1996,,89,45
India,1997,,68,6
India,1998,,343,130
India,1999,,156,45
India,2000,,131,50
India,2001,,263,127
India,2002,,416,164
India,2003,,360,192
India,2004,,309,97
India,2005,,681,266
India,2006,,1467,527
India,2007,,357,325
India,2008,,1480,442
Indonesia,1977,1,1,1
Indonesia,1981,1,4,0
Indonesia,1984,1,16,2
Indonesia,1986,3,0,0
Indonesia,1991,1,0,0
Indonesia,1996,3,0,2
Indonesia,1998,4,2,0
Indonesia,1999,14,9,1
Indonesia,2000,27,198,34
Indonesia,2001,70,180,79
Indonesia,2002,48,578,263
Indonesia,2003,9,160,13
Indonesia,2004,23,223,37
Indonesia,2005,19,113,39
Indonesia,2006,7,1,1
Indonesia,2007,4,13,0
Indonesia,2008,8,6,0
Iran,1970,3,0,0
Iran,1972,4,4,1
Iran,1973,2,0,1
Iran,1974,1,0,0
Iran,1975,3,0,3
Iran,1976,1,0,3
Iran,1977,2,3,0
Iran,1978,18,10,3
Iran,1979,9,6,3
Iran,1981,2,0,0
Iran,1982,1,16,0
Iran,1983,9,5,0
Iran,1984,6,5,3
Iran,1986,2,9,0
Iran,1987,4,0,1
