Entity,Year,Number of conflicts and incidences of one-sided violence
Colonial or imperial conflicts,2016,0
Conflicts between states,1946,2
Conflicts between states,1947,0
Conflicts between states,1948,3
Conflicts between states,1949,3
Conflicts between states,1950,2
Conflicts between states,1951,2
Conflicts between states,1952,2
Conflicts between states,1953,1
Conflicts between states,1954,1
Conflicts between states,1955,0
Conflicts between states,1956,2
Conflicts between states,1957,1
Conflicts between states,1958,1
Conflicts between states,1959,0
Conflicts between states,1960,0
Conflicts between states,1961,1
Conflicts between states,1962,2
Conflicts between states,1963,2
Conflicts between states,1964,3
Conflicts between states,1965,3
Conflicts between states,1966,2
Conflicts between states,1967,5
Conflicts between states,1968,1
Conflicts between states,1969,5
Conflicts between states,1970,2
Conflicts between states,1971,2
Conflicts between states,1972,2
Conflicts between states,1973,3
Conflicts between states,1974,4
Conflicts between states,1975,2
Conflicts between states,1976,1
Conflicts between states,1977,3
Conflicts between states,1978,4
Conflicts between states,1979,3
Conflicts between states,1980,3
Conflicts between states,1981,2
Conflicts between states,1982,2
Conflicts between states,1983,4
Conflicts between states,1984,3
Conflicts between states,1985,2
Conflicts between states,1986,3
Conflicts between states,1987,5
Conflicts between states,1988,3
Conflicts between states,1989,2
Conflicts between states,1990,2
Conflicts between states,1991,2
Conflicts between states,1992,1
Conflicts between states,1993,0
Conflicts between states,1994,0
Conflicts between states,1995,1
Conflicts between states,1996,2
Conflicts between states,1997,1
Conflicts between states,1998,2
Conflicts between states,1999,2
Conflicts between states,2000,2
Conflicts between states,2001,2
Conflicts between states,2002,1
Conflicts between states,2003,2
Conflicts between states,2004,0
Conflicts between states,2005,0
Conflicts between states,2006,0
Conflicts between states,2007,0
Conflicts between states,2008,1
Conflicts between states,2009,0
Conflicts between states,2010,0
Conflicts between states,2011,1
Conflicts between states,2012,1
Conflicts between states,2013,0
Conflicts between states,2014,1
Conflicts between states,2015,1
Conflicts between states,2016,2
Non-state conflicts,1946,0
Non-state conflicts,1947,0
Non-state conflicts,1948,0
Non-state conflicts,1949,0
Non-state conflicts,1950,0
Non-state conflicts,1951,0
Non-state conflicts,1952,0
Non-state conflicts,1953,0
Non-state conflicts,1954,0
Non-state conflicts,1955,0
Non-state conflicts,1956,0
Non-state conflicts,1957,0
Non-state conflicts,1958,0
Non-state conflicts,1959,0
Non-state conflicts,1960,0
Non-state conflicts,1961,0
Non-state conflicts,1962,0
Non-state conflicts,1963,0
Non-state conflicts,1964,0
Non-state conflicts,1965,0
Non-state conflicts,1966,0
Non-state conflicts,1967,0
Non-state conflicts,1968,0
Non-state conflicts,1969,0
Non-state conflicts,1970,0
Non-state conflicts,1971,0
Non-state conflicts,1972,0
Non-state conflicts,1973,0
Non-state conflicts,1974,0
Non-state conflicts,1975,0
Non-state conflicts,1976,0
Non-state conflicts,1977,0
Non-state conflicts,1978,0
Non-state conflicts,1979,0
Non-state conflicts,1980,0
Non-state conflicts,1981,0
Non-state conflicts,1982,0
Non-state conflicts,1983,0
Non-state conflicts,1984,0
Non-state conflicts,1985,0
Non-state conflicts,1986,0
Non-state conflicts,1987,0
Non-state conflicts,1988,0
Non-state conflicts,1989,19
Non-state conflicts,1990,19
Non-state conflicts,1991,22
Non-state conflicts,1992,32
Non-state conflicts,1993,33
Non-state conflicts,1994,26
Non-state conflicts,1995,26
Non-state conflicts,1996,22
Non-state conflicts,1997,28
Non-state conflicts,1998,37
Non-state conflicts,1999,35
Non-state conflicts,2000,46
Non-state conflicts,2001,36
Non-state conflicts,2002,39
Non-state conflicts,2003,42
Non-state conflicts,2004,32
Non-state conflicts,2005,30
Non-state conflicts,2006,29
Non-state conflicts,2007,23
Non-state conflicts,2008,36
Non-state conflicts,2009,30
Non-state conflicts,2010,28
Non-state conflicts,2011,41
Non-state conflicts,2012,45
Non-state conflicts,2013,50
Non-state conflicts,2014,61
Non-state conflicts,2015,73
Non-state conflicts,2016,61
One-sided violence,1946,0
One-sided violence,1947,0
One-sided violence,1948,0
One-sided violence,1949,0
One-sided violence,1950,0
One-sided violence,1951,0
One-sided violence,1952,0
One-sided violence,1953,0
One-sided violence,1954,0
One-sided violence,1955,0
One-sided violence,1956,0
One-sided violence,1957,0
One-sided violence,1958,0
One-sided violence,1959,0
One-sided violence,1960,0
One-sided violence,1961,0
One-sided violence,1962,0
One-sided violence,1963,0
One-sided violence,1964,0
One-sided violence,1965,0
One-sided violence,1966,0
One-sided violence,1967,0
One-sided violence,1968,0
One-sided violence,1969,0
One-sided violence,1970,0
One-sided violence,1971,0
One-sided violence,1972,0
One-sided violence,1973,0
One-sided violence,1974,0
One-sided violence,1975,0
One-sided violence,1976,0
One-sided violence,1977,0
One-sided violence,1978,0
One-sided violence,1979,0
One-sided violence,1980,0
One-sided violence,1981,0
One-sided violence,1982,0
One-sided violence,1983,0
One-sided violence,1984,0
One-sided violence,1985,0
One-sided violence,1986,0
One-sided violence,1987,0
One-sided violence,1988,0
One-sided violence,1989,27
One-sided violence,1990,37
One-sided violence,1991,33
One-sided violence,1992,34
One-sided violence,1993,44
One-sided violence,1994,32
One-sided violence,1995,37
One-sided violence,1996,36
One-sided violence,1997,30
One-sided violence,1998,40
One-sided violence,1999,37
One-sided violence,2000,36
One-sided violence,2001,30
One-sided violence,2002,45
One-sided violence,2003,45
One-sided violence,2004,44
One-sided violence,2005,35
One-sided violence,2006,28
One-sided violence,2007,28
One-sided violence,2008,30
One-sided violence,2009,21
One-sided violence,2010,21
One-sided violence,2011,23
One-sided violence,2012,25
One-sided violence,2013,29
One-sided violence,2014,28
One-sided violence,2015,28
One-sided violence,2016,24
State-based conflicts,1946,17
State-based conflicts,1947,14
State-based conflicts,1948,20
State-based conflicts,1949,20
State-based conflicts,1950,18
State-based conflicts,1951,14
State-based conflicts,1952,14
State-based conflicts,1953,16
State-based conflicts,1954,15
State-based conflicts,1955,13
State-based conflicts,1956,17
State-based conflicts,1957,17
State-based conflicts,1958,18
State-based conflicts,1959,16
State-based conflicts,1960,15
State-based conflicts,1961,21
State-based conflicts,1962,20
State-based conflicts,1963,20
State-based conflicts,1964,25
State-based conflicts,1965,27
State-based conflicts,1966,28
State-based conflicts,1967,33
State-based conflicts,1968,26
State-based conflicts,1969,29
State-based conflicts,1970,26
State-based conflicts,1971,29
State-based conflicts,1972,26
State-based conflicts,1973,26
State-based conflicts,1974,28
State-based conflicts,1975,30
State-based conflicts,1976,32
State-based conflicts,1977,36
State-based conflicts,1978,38
State-based conflicts,1979,41
State-based conflicts,1980,41
State-based conflicts,1981,41
State-based conflicts,1982,44
State-based conflicts,1983,43
State-based conflicts,1984,42
State-based conflicts,1985,38
State-based conflicts,1986,44
State-based conflicts,1987,47
State-based conflicts,1988,39
State-based conflicts,1989,40
State-based conflicts,1990,49
State-based conflicts,1991,52
State-based conflicts,1992,49
State-based conflicts,1993,43
State-based conflicts,1994,48
State-based conflicts,1995,40
State-based conflicts,1996,41
State-based conflicts,1997,40
State-based conflicts,1998,40
State-based conflicts,1999,40
State-based conflicts,2000,38
State-based conflicts,2001,39
State-based conflicts,2002,33
State-based conflicts,2003,32
State-based conflicts,2004,33
State-based conflicts,2005,32
State-based conflicts,2006,33
State-based conflicts,2007,35
State-based conflicts,2008,38
State-based conflicts,2009,37
State-based conflicts,2010,31
State-based conflicts,2011,38
State-based conflicts,2012,33
State-based conflicts,2013,36
State-based conflicts,2014,42
State-based conflicts,2015,52
State-based conflicts,2016,51
