Entity,Year,Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Azerbaijan,2009,3.22431,9.54358,
Azerbaijan,2010,2.78062,8.77911,
Azerbaijan,2011,2.43564,7.30383,
Azerbaijan,2012,2.0963,5.72184,
Azerbaijan,2013,2.46218,6.47857,
Bahamas,2000,2.84999,19.49561,
Bahrain,2006,2.87436,11.91866,
Bahrain,2007,2.575,11.02673,
Bahrain,2008,2.49678,10.55867,
Bahrain,2012,2.6447,8.94804,
Bangladesh,1997,1.95247,,
Bangladesh,1999,2.13282,18.12979,44.46281
Bangladesh,2000,2.12508,20.49042,46.49041
Bangladesh,2001,2.17193,18.58478,
Bangladesh,2002,2.01715,15.6938,45.10525
Bangladesh,2003,2.06939,16.68163,45.42799
Bangladesh,2004,1.94014,15.95312,39.98727
Bangladesh,2006,2.13129,17.33653,41.95689
Bangladesh,2007,2.20222,18.1534,46.25168
Bangladesh,2008,2.05457,17.81619,45.29479
Bangladesh,2009,1.93942,14.02987,44.72804
Bangladesh,2012,2.0458,14.6635,
Bangladesh,2013,1.96616,13.82286,
Barbados,1999,4.25458,13.14668,22.82903
Barbados,2000,4.62159,13.97806,27.64804
Barbados,2001,5.9389,17.25794,29.26084
Barbados,2002,5.77131,15.91701,26.56135
Barbados,2003,6.1233,15.66595,26.82197
Barbados,2004,5.91066,15.38793,27.34454
Barbados,2005,5.56433,15.39544,27.89376
Barbados,2007,5.11607,15.21563,
Barbados,2008,5.06121,13.42763,36.85655
Barbados,2009,5.32773,13.84276,
Barbados,2010,5.87482,15.56024,
Barbados,2012,5.62441,13.68958,
Barbados,2013,5.50356,12.15405,
Barbados,2014,6.71179,14.16823,
Belarus,1999,6.00001,,
Belarus,2000,6.19662,,
Belarus,2004,5.71226,12.84642,
Belarus,2005,5.87103,12.91494,
Belarus,2006,6.07696,12.69644,
Belarus,2007,5.1521,10.74872,
Belarus,2009,4.51672,9.78506,
Belarus,2010,5.41013,12.86463,
Belarus,2011,4.84382,14.03116,
Belarus,2012,5.12106,13.18072,
Belarus,2013,5.17594,12.30363,
Belarus,2014,4.98752,12.44628,
Belgium,1996,3.03222,,
Belgium,2001,5.85421,12.0038,22.80042
Belgium,2002,5.95818,12.15448,22.39651
Belgium,2003,5.89272,11.75022,24.00258
Belgium,2004,5.81384,12.01388,23.75672
Belgium,2005,5.77514,11.3503,23.59974
Belgium,2006,5.82776,12.22345,23.58402
Belgium,2007,5.843,12.28268,23.51609
Belgium,2008,6.27367,12.69052,23.77865
Belgium,2009,6.39845,12.02631,22.77616
Belgium,2010,6.39667,12.22374,23.51662
Belgium,2011,6.36516,11.91676,23.33822
Belize,1999,5.44439,18.89415,59.47878
Belize,2000,5.02928,16.05444,60.54413
Belize,2001,5.79918,18.30537,
Belize,2003,5.20613,16.15851,
Belize,2004,5.2994,16.82134,42.64609
Belize,2008,5.68789,19.60072,47.32667
Belize,2009,6.10014,21.77003,45.26097
Belize,2010,6.621,23.05208,46.05287
Belize,2013,6.21729,22.91612,40.04288
Benin,1998,2.74789,18.46174,
Benin,1999,2.83867,17.88519,
Benin,2000,3.14591,13.5132,51.37396
Benin,2001,3.46637,15.31058,55.3743
Benin,2002,3.21089,14.12908,53.98192
Benin,2003,3.42565,16.68253,52.58811
Benin,2004,3.91554,19.21395,51.19521
Benin,2005,4.00211,18.79039,45.96998
Benin,2006,3.82888,19.70961,53.1921
Benin,2007,3.49798,14.94869,57.22713
Benin,2008,4.08138,19.08858,56.48592
Benin,2009,4.5508,18.17562,57.46588
Benin,2010,5.34238,26.14396,52.82559
Benin,2012,5.26143,25.02131,51.12865
Benin,2013,5.01267,22.34122,50.12866
Benin,2014,4.7956,22.22764,48.94131
Bermuda,1998,2.15227,,33.14466
Bermuda,2003,1.66627,11.0366,
Bermuda,2004,1.77588,11.11385,39.97492
Bermuda,2005,1.98877,12.1054,40.74734
Bermuda,2009,2.61519,13.97043,
Bermuda,2010,2.64421,12.93424,30.84477
Bermuda,2014,1.78285,7.79644,29.9363
Bhutan,2000,5.51379,13.77201,
Bhutan,2001,5.7178,13.08501,
Bhutan,2004,6.41799,18.69831,19.36391
Bhutan,2005,7.0781,22.84906,22.31675
Bhutan,2008,4.7975,15.02172,23.3702
Bhutan,2009,4.62672,14.02075,29.80438
Bhutan,2010,4.02447,12.7593,29.93319
Bhutan,2011,4.65258,11.28502,31.51219
Bhutan,2013,5.58966,16.11339,21.82037
Bhutan,2014,5.95991,17.82473,31.97081
Bolivia,1996,4.65741,,
Bolivia,1998,5.52301,18.42669,42.48721
Bolivia,1999,5.65932,19.27241,44.49477
Bolivia,2000,5.47342,18.67085,40.48128
Bolivia,2001,5.89946,18.46146,35.26875
Bolivia,2002,6.23031,18.71381,43.79156
Bolivia,2003,6.37904,19.94096,44.12729
Bolivia,2006,6.31361,21.1625,35.06888
Bolivia,2008,7.03973,19.92381,41.09158
Bolivia,2009,8.0812,22.56084,40.50181
Bolivia,2010,7.60011,24.12779,39.4174
Bolivia,2011,6.89264,19.48311,36.20848
Bolivia,2012,6.43691,17.82875,37.59364
Bolivia,2014,7.03755,16.85088,32.35236
Botswana,2005,10.67859,25.82353,30.03084
Botswana,2007,8.88464,26.50779,27.54638
Botswana,2009,9.63293,20.4774,17.82233
Brazil,1998,4.73948,11.62986,32.89734
Brazil,1999,3.78473,9.60027,33.97305
Brazil,2000,3.93814,11.45216,30.88178
Brazil,2001,3.84304,10.61076,30.00274
Brazil,2002,3.74435,9.63646,28.20427
Brazil,2004,3.97255,10.39372,32.93215
Brazil,2005,4.47671,11.25672,34.01563
Brazil,2006,4.86989,12.42273,32.02467
Brazil,2007,4.97835,13.21855,32.19858
Brazil,2008,5.2727,14.08221,31.91941
Brazil,2009,5.47154,14.72402,32.37881
Brazil,2010,5.64737,14.55991,31.32595
Brazil,2011,5.73953,15.26927,29.28556
Brazil,2012,5.91432,15.56961,28.89407
Brunei,1998,5.25395,8.76089,
Brunei,1999,4.93205,8.89343,
Brunei,2000,3.70591,8.92074,
Brunei,2010,2.04661,5.29154,28.54099
Brunei,2011,3.68108,9.18219,
Brunei,2012,3.20704,9.72782,
Brunei,2014,3.76595,9.98591,
Bulgaria,1996,2.71204,,
Bulgaria,1998,2.81427,8.95102,22.938
Bulgaria,2001,3.35575,9.27774,20.78723
Bulgaria,2002,3.39842,9.65432,20.09847
Bulgaria,2003,4.00671,11.18025,19.10566
Bulgaria,2004,2.34126,6.703,19.49264
Bulgaria,2005,4.18855,12.07252,20.29997
Bulgaria,2006,3.98817,12.01048,19.71527
Bulgaria,2007,3.7474,11.11392,19.87313
Bulgaria,2008,4.31128,12.61226,18.92772
Bulgaria,2009,4.43296,12.65675,18.60716
Bulgaria,2010,4.01754,11.16342,19.58745
Bulgaria,2011,3.66867,11.10005,18.50048
Bulgaria,2012,3.58936,10.69092,18.62869
Burkina Faso,1996,1.44026,,
Burkina Faso,2005,4.4326,19.49419,71.18099
Burkina Faso,2006,4.45703,18.2017,66.81058
Burkina Faso,2007,4.58858,17.86382,67.0338
Burkina Faso,2010,3.93896,17.25072,60.34116
Burkina Faso,2011,4.48326,20.31371,62.6415
Burkina Faso,2012,4.05353,15.89539,60.62655
Burkina Faso,2013,4.52597,16.16524,59.7878
Burundi,1996,4.08324,,
Burundi,1999,3.41745,13.51864,37.4676
Burundi,2000,2.64548,13.43737,37.78079
Burundi,2001,2.90391,14.1125,40.08182
Burundi,2002,3.00493,15.23766,42.86891
Burundi,2004,3.74496,12.95883,50.65756
Burundi,2005,3.63169,13.87042,51.55736
Burundi,2008,5.19355,12.61554,51.78716
Burundi,2009,6.31979,16.30169,53.26733
Burundi,2010,6.79287,16.58808,45.41761
Burundi,2011,5.99779,14.97923,49.70045
Burundi,2012,5.82091,16.42836,43.99556
Burundi,2013,5.41475,17.24324,45.42999
Cambodia,1998,1.25907,9.39199,69.4017
Cambodia,2000,1.66681,11.079,62.6465
Cambodia,2001,1.72403,11.38079,74.36318
Cambodia,2002,1.71121,10.13756,64.56828
Cambodia,2004,1.71982,12.40428,
Cambodia,2007,1.5993,11.20705,
Cambodia,2010,2.60388,13.08358,41.82102
Cameroon,2000,1.93258,11.68372,
Cameroon,2001,2.60995,15.48909,
Cameroon,2003,3.30182,21.442,
Cameroon,2004,3.32991,20.84713,
Cameroon,2005,3.12323,21.37754,35.06433
Cameroon,2006,2.95568,20.31262,38.64605
Cameroon,2007,3.36625,21.56826,36.98943
Cameroon,2008,2.95686,15.58866,32.55445
Cameroon,2009,3.46009,19.77975,34.19688
Cameroon,2010,3.31319,18.75391,34.1618
Cameroon,2011,3.05291,14.86779,32.7006
Cameroon,2012,2.96539,15.17625,36.1927
Cameroon,2013,3.02834,13.82494,33.87925
Canada,1998,5.5274,12.52588,
Canada,1999,5.55329,12.44565,
Canada,2000,5.45619,12.74552,
Canada,2001,4.98865,12.32389,
Canada,2002,5.03578,12.23728,
Canada,2005,4.80467,12.32375,
Canada,2007,4.79737,12.42298,
Canada,2008,4.66087,12.06521,
Canada,2009,4.87313,12.42582,
Canada,2010,5.37116,12.29996,
Canada,2011,5.27246,12.18817,
Cape Verde,1998,6.39177,17.25592,
Cape Verde,1999,6.80168,16.76194,
Cape Verde,2002,7.87682,19.76623,43.81183
Cape Verde,2004,7.47664,20.84048,
Cape Verde,2006,6.5296,17.54058,48.6778
Cape Verde,2007,5.40755,18.32875,41.02133
Cape Verde,2008,5.518,18.62308,36.32377
Cape Verde,2009,5.30896,16.16892,44.08231
Cape Verde,2010,5.56729,14.39624,
Cape Verde,2011,5.04361,15.15328,43.13784
Cape Verde,2013,5.03693,14.97774,38.39872
Cayman Islands,2005,,,49.25914
Cayman Islands,2006,,,45.97365
Central African Republic,1999,1.69002,8.94932,
Central African Republic,2000,1.61265,9.93077,
Central African Republic,2002,1.51957,9.21473,
Central African Republic,2003,1.5398,12.02802,
Central African Republic,2004,1.62453,12.06446,
Central African Republic,2005,1.63638,9.68047,
Central African Republic,2006,1.40242,10.05424,52.45674
Central African Republic,2007,1.31289,9.86948,47.96444
Central African Republic,2008,1.29002,7.86,
Central African Republic,2009,1.30356,7.83009,48.44996
Central African Republic,2010,1.20455,6.47538,53.26402
Central African Republic,2011,1.22862,7.82546,
Chad,1997,2.27335,12.89866,
Chad,1998,1.64903,11.07153,57.49962
Chad,1999,3.22786,17.05998,
Chad,2000,2.64671,12.84449,
Chad,2001,2.42614,13.78685,
Chad,2004,1.59295,11.0319,45.55756
Chad,2005,1.69477,14.67282,45.78488
Chad,2009,2.31174,9.54911,59.24125
Chad,2010,1.98194,8.11929,51.61933
Chad,2011,2.2579,10.08323,40.66676
Chad,2013,2.85071,12.46149,
Chile,1996,2.88004,,
Chile,1997,3.09043,14.44519,
Chile,1998,3.43289,15.12568,41.53546
Chile,1999,3.84052,15.63322,
Chile,2000,3.70598,16.40148,43.01821
Chile,2002,4.00947,17.40727,42.04219
Chile,2003,3.8516,17.60468,39.79187
Chile,2004,3.48845,16.97488,37.77649
Chile,2005,3.22508,16.12225,37.40762
Chile,2006,3.02381,16.15792,35.89175
Chile,2007,3.22353,16.64837,35.45253
Chile,2008,3.79267,17.47809,36.4039
Chile,2009,4.24129,17.1887,36.38675
Chile,2010,4.18121,17.51394,31.73536
Chile,2011,4.06808,17.5041,32.75136
Chile,2012,4.57408,19.2781,32.07447
Chile,2013,4.55744,19.07084,29.20625
China,1996,1.85964,,
China,1998,1.85111,14.55138,36.06416
China,1999,1.89593,12.63153,32.59654
Colombia,1998,3.92644,12.47536,44.93812
Colombia,1999,4.4408,13.15193,45.16187
Colombia,2000,3.51121,13.28683,44.55692
Colombia,2001,3.70868,13.46772,44.57196
Colombia,2002,4.26813,15.29956,39.88195
Colombia,2003,4.32514,15.53726,
Colombia,2004,4.07935,15.43978,48.3245
Colombia,2005,3.99501,15.53561,47.43698
Colombia,2006,3.89332,13.76883,40.49725
Colombia,2007,4.0587,14.48145,36.62786
Colombia,2008,3.9098,14.6773,37.30254
Colombia,2009,4.74743,16.08117,38.40722
Colombia,2010,4.82616,16.41858,35.92155
Colombia,2011,4.45981,15.52914,35.57678
Colombia,2012,4.38531,15.51283,34.96379
Colombia,2013,4.9049,16.91362,34.4199
Colombia,2014,4.6708,15.85781,35.60003
Comoros,1998,3.78254,17.13507,41.59922
Comoros,2002,3.88059,15.78972,45.21472
Comoros,2008,7.70989,29.23312,61.72591
Comoros,2011,4.93279,21.41487,56.13321
Comoros,2012,4.88999,18.49151,56.6082
Congo,1998,4.06827,14.12653,
Congo,2002,3.20832,11.59277,35.35986
Congo,2003,2.83616,9.51995,
Congo,2004,2.28813,8.56181,
Congo,2005,1.83577,7.59782,27.25437
Congo,2010,6.22079,29.01843,30.99831
Costa Rica,1996,3.83658,,
Costa Rica,1999,4.86788,21.92369,47.25438
Costa Rica,2000,4.39395,18.81951,46.52694
Costa Rica,2001,4.70612,19.15282,42.75659
Costa Rica,2002,5.06924,19.2405,42.41027
Costa Rica,2003,5.06167,20.15172,
Costa Rica,2004,4.89459,20.43089,45.45815
Cote d'Ivoire,1996,4.05623,,
Cote d'Ivoire,1997,4.03089,19.22015,
Cote d'Ivoire,1998,3.78794,18.81477,43.1724
Cote d'Ivoire,1999,4.09433,21.67118,41.68008
Cote d'Ivoire,2000,3.70367,20.80695,41.55833
Cote d'Ivoire,2001,3.66868,23.20203,42.21462
Cote d'Ivoire,2002,4.09033,22.59234,
Cote d'Ivoire,2003,3.96799,22.64824,
Cote d'Ivoire,2004,4.12786,22.10709,
Cote d'Ivoire,2005,4.10575,21.84566,
Cote d'Ivoire,2006,4.11478,20.5064,
Cote d'Ivoire,2007,4.29742,21.86688,
Cote d'Ivoire,2008,4.44896,21.94258,
Cote d'Ivoire,2014,4.71947,20.67385,39.09514
Croatia,2002,3.81086,7.96833,
Croatia,2003,3.86755,8.27336,
Croatia,2004,3.82086,8.19198,
Croatia,2007,3.97111,8.88328,
Croatia,2008,4.27013,9.62946,
Croatia,2009,4.38925,9.30367,
Croatia,2010,4.25217,9.08259,
Croatia,2011,4.15795,8.57615,
Cuba,1998,6.20866,,35.06404
Cuba,1999,6.75508,,35.9049
Cuba,2000,7.70486,,34.50056
Cuba,2001,8.35785,,31.15979
Cuba,2002,9.5712,,33.7636
Cuba,2003,9.94078,,
Cuba,2004,10.26828,,31.76125
Cuba,2005,10.55769,,30.31329
Cuba,2006,9.05729,,29.31407
Cuba,2007,11.86829,,30.13875
Cuba,2008,14.05908,,25.47863
Cuba,2009,13.12516,,25.46623
Cuba,2010,12.83727,,29.03501
Cyprus,1999,4.79691,13.90828,31.2362
Cyprus,2000,5.01779,14.27602,27.56949
Cyprus,2001,5.14965,14.33211,31.1626
Cyprus,2002,5.6183,14.91421,29.63918
Cyprus,2003,6.71737,16.51523,27.94729
Cyprus,2004,6.17329,15.777,27.50617
Cyprus,2005,6.34274,15.74568,27.30502
Cyprus,2006,6.39555,16.09478,27.79002
Cyprus,2007,6.34744,16.60186,28.14934
Cyprus,2008,6.80899,17.48246,27.78074
Cyprus,2009,7.30415,17.12682,27.70021
Cyprus,2010,6.66191,15.68234,31.00808
Cyprus,2011,6.64467,15.53671,31.3219
Czech Republic,1996,4.28387,,
Czech Republic,1998,3.60358,8.63671,17.282
Czech Republic,1999,3.69324,8.99875,17.9199
Czech Republic,2000,3.6613,9.07353,18.18888
Czech Republic,2001,3.75679,8.83908,16.76988
Czech Republic,2002,3.98297,8.98813,16.08467
Czech Republic,2003,4.15004,8.5548,15.71172
Czech Republic,2004,4.02052,9.53951,15.18484
Czech Republic,2005,3.89869,9.32313,14.52153
Czech Republic,2006,4.22392,10.35338,13.56469
Czech Republic,2007,3.875,9.69913,13.88772
Czech Republic,2008,3.75273,9.34464,14.70676
Czech Republic,2009,4.18041,9.58393,15.91159
Czech Republic,2010,4.07352,9.48043,16.17658
Czech Republic,2011,4.28418,10.09534,16.08905
Czech Republic,2012,4.26371,9.74072,16.77759
Democratic Republic of Congo,2010,1.60244,8.97645,33.33619
Democratic Republic of Congo,2013,2.24475,16.83461,61.59357
Denmark,1996,7.88494,,
Denmark,1998,8.10674,14.63437,22.09163
Denmark,1999,7.93116,14.54371,21.17968
Denmark,2000,8.08433,15.34415,21.0204
Denmark,2001,8.21545,15.54854,22.30624
Denmark,2002,8.21303,15.43388,22.54934
Denmark,2003,8.12194,15.14175,23.53289
Denmark,2004,8.21188,15.48686,22.91051
Denmark,2005,8.08275,15.77934,23.26011
Denmark,2006,7.72783,15.51264,23.69029
Denmark,2007,7.61377,15.3567,23.81598
Denmark,2008,7.49236,14.83026,24.08552
Denmark,2009,8.48796,14.94417,24.35669
Denmark,2010,8.61798,15.10334,23.68345
Denmark,2011,8.5471,15.03621,21.60023
Djibouti,1999,7.62948,22.89607,
Djibouti,2000,9.66,29.38595,
Djibouti,2001,7.80543,26.28002,
Djibouti,2002,8.4476,25.48931,
Djibouti,2003,8.88985,24.27149,
Djibouti,2004,9.26467,24.70114,
Djibouti,2005,8.36589,22.71505,
Djibouti,2006,8.27878,22.14541,17.57367
Djibouti,2007,8.40625,22.26884,19.01406
Djibouti,2010,4.49022,12.3284,34.08652
Dominica,1998,7.16059,17.1116,47.25026
Dominica,1999,4.99184,11.41962,
Dominican Republic,1996,1.23468,,
Dominican Republic,2000,1.91261,12.98848,
Dominican Republic,2001,2.0237,12.50729,55.49953
Dominican Republic,2002,1.97101,12.07972,62.76927
Dominican Republic,2003,1.87636,9.70181,
Dominican Republic,2007,2.05124,12.57788,58.67903
Ecuador,1998,2.19537,10.86149,
Ecuador,1999,1.54734,6.6746,38.23802
Ecuador,2000,1.15093,4.9643,38.2881
Ecuador,2010,4.07574,11.75183,30.12262
Ecuador,2011,4.31455,10.96467,26.72924
Ecuador,2012,4.18002,10.34829,25.41729
Egypt,1996,4.67157,,
Egypt,2003,4.94563,14.04387,
Egypt,2004,4.67072,13.79283,
Egypt,2005,4.79443,14.42145,
Egypt,2006,4.00178,10.59623,
Egypt,2007,3.68461,10.44791,
Egypt,2008,3.76083,10.44253,
El Salvador,1998,2.31992,14.53233,58.19067
El Salvador,1999,2.31992,13.60802,58.62344
El Salvador,2000,2.54708,13.91002,53.43486
El Salvador,2002,2.87054,15.89931,58.58606
El Salvador,2003,2.75909,14.44008,57.18156
El Salvador,2005,2.73246,14.65582,51.00035
El Salvador,2006,3.01268,15.57183,48.41582
El Salvador,2007,3.05447,16.94065,46.39688
El Salvador,2008,3.74166,19.44883,37.99142
El Salvador,2009,3.96954,18.54698,48.13328
El Salvador,2010,3.48668,16.16422,42.66873
El Salvador,2011,3.41749,15.87258,
Equatorial Guinea,1998,2.18798,5.24814,34.93217
Eritrea,1996,1.63855,,
Eritrea,1998,4.62058,6.25092,
Eritrea,1999,5.26281,5.56554,
Eritrea,2001,4.04716,5.86161,26.53279
Eritrea,2002,3.5239,5.63338,26.01299
Eritrea,2004,3.14897,5.74185,23.06672
Eritrea,2006,2.127,5.16807,
Estonia,1996,6.11469,,
Estonia,1997,6.4572,17.85775,
Estonia,1998,6.30887,16.16829,25.1959
Estonia,1999,6.70094,16.50726,28.63741
Estonia,2000,5.34045,14.81044,
Estonia,2001,5.24616,15.05838,29.42103
Estonia,2002,5.47872,15.28683,28.01744
Estonia,2003,5.30094,15.18783,26.30266
Estonia,2004,4.91245,14.48866,25.75717
Estonia,2005,4.84576,14.52335,25.2957
Estonia,2007,4.66549,13.87777,23.33446
Estonia,2008,5.5196,14.15127,25.51536
Estonia,2009,5.95738,13.45903,25.1119
Estonia,2010,5.5298,13.6818,24.58166
Estonia,2011,5.09808,13.41265,24.44533
Estonia,2012,4.79262,12.05791,27.01287
Ethiopia,1996,2.77462,,
Ethiopia,1997,2.75794,,
Ethiopia,2000,3.98311,14.90773,
Ethiopia,2001,3.70029,14.46177,
Ethiopia,2002,3.63245,16.18775,
Ethiopia,2006,5.49096,23.97538,
Ethiopia,2007,5.45113,24.69945,
Ethiopia,2008,5.4082,26.35573,
Ethiopia,2009,4.42207,23.58375,33.95361
Ethiopia,2010,4.49659,26.30404,28.39528
Ethiopia,2013,4.49855,27.0211,24.04599
Fiji,1998,5.51262,17.87772,
Fiji,1999,5.15351,19.28934,
Fiji,2000,5.85725,20.48492,
Fiji,2001,5.61714,18.52476,
Fiji,2002,6.24382,19.95339,
Fiji,2004,6.16493,22.04252,39.08499
Fiji,2005,5.12197,18.76223,
Fiji,2006,5.60714,19.33155,
Fiji,2007,5.84843,21.4214,
Fiji,2008,4.25357,16.73676,
Fiji,2009,4.49848,15.35247,
Fiji,2011,4.31967,14.88946,44.41272
Fiji,2013,4.22044,14.03247,38.60385
Finland,1996,6.86053,,
Finland,1999,5.86961,11.76006,21.22807
Finland,2000,5.71688,12.17092,21.40213
Finland,2001,5.84797,12.63445,21.62445
Finland,2002,6.02478,12.68253,21.59914
Finland,2003,6.17477,12.77597,21.60146
Finland,2004,6.1685,12.77896,21.38864
Finland,2005,6.03606,12.2497,20.75982
Finland,2006,5.9381,12.28382,20.6202
Finland,2007,5.68609,12.15036,20.37513
Finland,2008,5.84677,12.11463,20.36713
Finland,2009,6.48518,11.83831,19.79262
Finland,2010,6.54071,11.94222,19.90681
Finland,2011,6.48201,11.92289,20.01115
Finland,2012,7.19254,12.81075,18.3978
France,1996,5.72616,,
France,1998,5.65912,10.81141,
France,1999,5.64529,10.84448,20.09619
France,2000,5.51673,10.78995,20.16934
France,2001,5.41704,10.57707,20.13497
France,2002,5.40916,10.34289,20.15458
France,2003,5.72295,10.84215,18.80894
France,2004,5.63702,10.73231,19.13986
France,2005,5.49981,10.40092,20.20748
France,2006,5.44211,10.3673,20.09421
France,2007,5.44519,10.42595,20.95853
France,2008,5.44403,10.27361,20.66648
France,2009,5.73849,10.10988,20.09278
France,2010,5.68342,10.06915,20.39813
France,2011,5.51584,9.86391,20.72255
France,2012,5.53344,9.73667,21.1352
Gabon,1998,3.41966,7.05813,38.26645
Gabon,1999,3.08123,11.34816,
Gabon,2000,3.82709,17.70649,
Gambia,1996,2.56628,,
Gambia,1999,1.56513,,
Gambia,2000,1.46587,11.9218,
Gambia,2001,1.1581,8.20527,57.83024
Gambia,2002,1.44292,8.80675,56.5252
Gambia,2003,1.36338,8.1835,54.45651
Gambia,2004,1.0345,4.77066,61.16555
Gambia,2005,1.13918,5.25027,61.44626
Gambia,2006,1.20949,5.36076,63.43244
Gambia,2007,1.30851,7.2975,62.64226
Gambia,2008,3.52742,18.41265,61.13542
Gambia,2009,3.07235,13.29374,60.39031
