Entity,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air
Lithuania,2000,2900
Lithuania,2005,2900
Lithuania,2010,2800
Lithuania,2015,2700
Luxembourg,1990,200
Luxembourg,1995,200
Luxembourg,2000,200
Luxembourg,2005,200
Luxembourg,2010,200
Luxembourg,2015,200
Macedonia,1990,1500
Macedonia,1995,1500
Macedonia,2000,1500
Macedonia,2005,1500
Macedonia,2010,1600
Macedonia,2015,1600
Madagascar,1990,5000
Madagascar,1995,5600
Madagascar,2000,5800
Madagascar,2005,5800
Madagascar,2010,6200
Madagascar,2015,7500
Malawi,1990,4200
Malawi,1995,4600
Malawi,2000,5400
Malawi,2005,4800
Malawi,2010,4500
Malawi,2015,4600
Malaysia,1990,4800
Malaysia,1995,5500
Malaysia,2000,6200
Malaysia,2005,8000
Malaysia,2010,8200
Malaysia,2015,9500
Maldives,1990,100
Maldives,1995,100
Maldives,2000,100
Maldives,2005,100
Maldives,2010,100
Maldives,2015,100
Mali,1990,5700
Mali,1995,6000
Mali,2000,5800
Mali,2005,5100
Mali,2010,5600
Mali,2015,5100
Malta,1990,100
Malta,1995,100
Malta,2000,100
Malta,2005,100
Malta,2010,200
Malta,2015,200
Mauritania,1990,1300
Mauritania,1995,1500
Mauritania,2000,1500
Mauritania,2005,1300
Mauritania,2010,1400
Mauritania,2015,1600
Mauritius,1990,500
Mauritius,1995,500
Mauritius,2000,600
Mauritius,2005,500
Mauritius,2010,400
Mauritius,2015,400
Mexico,1990,18100
Mexico,1995,20100
Mexico,2000,21300
Mexico,2005,22600
Mexico,2010,23600
Mexico,2015,29000
Moldova,1990,4100
Moldova,1995,4600
Moldova,2000,3500
Moldova,2005,3400
Moldova,2010,3500
Moldova,2015,2900
Mongolia,1990,1200
Mongolia,1995,1100
Mongolia,2000,1200
Mongolia,2005,1200
Mongolia,2010,1300
Mongolia,2015,1500
Montenegro,1990,300
Montenegro,1995,400
Montenegro,2000,400
Montenegro,2005,400
Montenegro,2010,400
Montenegro,2015,400
Morocco,1990,6600
Morocco,1995,6800
Morocco,2000,6900
Morocco,2005,7500
Morocco,2010,8100
Morocco,2015,9800
Mozambique,1990,5200
Mozambique,1995,5500
Mozambique,2000,6000
Mozambique,2005,6000
Mozambique,2010,6200
Mozambique,2015,6600
Myanmar,1990,31200
Myanmar,1995,31300
Myanmar,2000,31800
Myanmar,2005,31500
Myanmar,2010,28900
Myanmar,2015,31100
Namibia,1990,600
Namibia,1995,600
Namibia,2000,900
Namibia,2005,800
Namibia,2010,600
Namibia,2015,600
Nepal,1990,16500
Nepal,1995,16000
Nepal,2000,14800
Nepal,2005,15300
Nepal,2010,16000
Nepal,2015,18300
Netherlands,1990,8200
Netherlands,1995,8100
Netherlands,2000,7800
Netherlands,2005,6900
Netherlands,2010,6500
Netherlands,2015,6800
New Zealand,1990,800
New Zealand,1995,800
New Zealand,2000,700
New Zealand,2005,700
New Zealand,2010,600
New Zealand,2015,600
Nicaragua,1990,800
Nicaragua,1995,800
Nicaragua,2000,800
Nicaragua,2005,1000
Nicaragua,2010,1000
Nicaragua,2015,1200
Niger,1990,11900
Niger,1995,12800
Niger,2000,12700
Niger,2005,11900
Niger,2010,11500
Niger,2015,10600
Nigeria,1990,76800
Nigeria,1995,78900
Nigeria,2000,79400
Nigeria,2005,67700
Nigeria,2010,59800
Nigeria,2015,50900
North Korea,1990,9200
North Korea,1995,11000
North Korea,2000,13100
North Korea,2005,15100
North Korea,2010,16500
North Korea,2015,18800
Norway,1990,2300
Norway,1995,2100
Norway,2000,1800
Norway,2005,1500
Norway,2010,1400
Norway,2015,1400
Oman,1990,500
Oman,1995,500
Oman,2000,500
Oman,2005,500
Oman,2010,700
Oman,2015,900
Pakistan,1990,82300
Pakistan,1995,98200
Pakistan,2000,110800
Pakistan,2005,115700
Pakistan,2010,123600
Pakistan,2015,135100
Palestine,1990,400
Palestine,1995,400
Palestine,2000,500
Palestine,2005,600
Palestine,2010,800
Palestine,2015,1000
Panama,1990,500
Panama,1995,500
Panama,2000,500
Panama,2005,600
Panama,2010,600
Panama,2015,800
Papua New Guinea,1990,2000
Papua New Guinea,1995,2100
Papua New Guinea,2000,2500
Papua New Guinea,2005,2500
Papua New Guinea,2010,2400
Papua New Guinea,2015,3000
Paraguay,1990,1000
Paraguay,1995,1200
Paraguay,2000,1300
Paraguay,2005,1400
Paraguay,2010,1500
Paraguay,2015,1600
Peru,1990,8200
Peru,1995,8300
Peru,2000,7700
Peru,2005,8600
Peru,2010,7700
Peru,2015,8400
Philippines,1990,22800
Philippines,1995,23400
Philippines,2000,26400
Philippines,2005,33300
Philippines,2010,36200
Philippines,2015,40600
Poland,1990,41900
Poland,1995,36200
Poland,2000,29800
Poland,2005,28100
Poland,2010,29400
Poland,2015,27900
Portugal,1990,4400
Portugal,1995,4400
Portugal,2000,4300
Portugal,2005,4000
Portugal,2010,3600
Portugal,2015,3700
Qatar,1990,100
Qatar,1995,100
Qatar,2000,200
Qatar,2005,200
Qatar,2010,200
Qatar,2015,200
Romania,1990,24300
Romania,1995,24300
Romania,2000,20700
Romania,2005,18400
Romania,2010,19100
Romania,2015,18100
Russia,1990,133200
Russia,1995,162000
Russia,2000,157300
Russia,2005,157700
Russia,2010,138100
Russia,2015,136900
Rwanda,1990,5600
Rwanda,1995,6200
Rwanda,2000,6500
Rwanda,2005,4300
Rwanda,2010,3600
Rwanda,2015,4200
Saint Lucia,1990,100
Saint Lucia,1995,100
Saint Lucia,2000,100
Saint Lucia,2005,100
Saint Lucia,2015,100
Sao Tome and Principe,2000,100
Sao Tome and Principe,2005,100
Saudi Arabia,1990,4100
Saudi Arabia,1995,4600
Saudi Arabia,2000,5200
Saudi Arabia,2005,5800
Saudi Arabia,2010,7000
Saudi Arabia,2015,8000
Senegal,1990,3600
Senegal,1995,4000
Senegal,2000,4300
Senegal,2005,3800
Senegal,2010,4200
Senegal,2015,5000
Serbia,1990,6800
Serbia,1995,7800
Serbia,2000,8400
Serbia,2005,7700
Serbia,2010,7600
Serbia,2015,7200
Sierra Leone,1990,2300
Sierra Leone,1995,2100
Sierra Leone,2000,2000
Sierra Leone,2005,2100
Sierra Leone,2010,2300
Sierra Leone,2015,1900
Singapore,1990,1100
Singapore,1995,1200
Singapore,2000,1200
Singapore,2005,1600
Singapore,2010,1400
Singapore,2015,1700
Slovakia,1990,5600
Slovakia,1995,4700
Slovakia,2000,4300
Slovakia,2005,4100
Slovakia,2010,3900
Slovakia,2015,3500
Slovenia,1990,1200
Slovenia,1995,1100
Slovenia,2000,1000
Slovenia,2005,900
Slovenia,2010,900
Slovenia,2015,1000
Solomon Islands,1990,100
Solomon Islands,1995,100
Solomon Islands,2000,100
Solomon Islands,2005,100
Solomon Islands,2010,100
Solomon Islands,2015,100
Somalia,1990,4000
Somalia,1995,3900
Somalia,2000,4200
Somalia,2005,3700
Somalia,2010,4200
Somalia,2015,4300
South Africa,1990,20600
South Africa,1995,22300
South Africa,2000,28400
South Africa,2005,28000
South Africa,2010,23300
South Africa,2015,24900
South Korea,1990,15100
South Korea,1995,13700
South Korea,2000,13100
South Korea,2005,13100
South Korea,2010,13800
South Korea,2015,18200
South Sudan,1990,4200
South Sudan,1995,3600
South Sudan,2000,3600
South Sudan,2005,3500
South Sudan,2010,4500
South Sudan,2015,5500
Spain,1990,13900
Spain,1995,14100
Spain,2000,14300
Spain,2005,14000
Spain,2010,12800
Spain,2015,13400
Sri Lanka,1990,6000
Sri Lanka,1995,6200
Sri Lanka,2000,7100
Sri Lanka,2005,8200
Sri Lanka,2010,7400
Sri Lanka,2015,7700
Sudan,1990,15700
Sudan,1995,17600
Sudan,2000,17400
Sudan,2005,17800
Sudan,2010,18900
Sudan,2015,19200
Suriname,1990,100
Suriname,1995,200
Suriname,2000,200
Suriname,2005,100
Suriname,2010,100
Suriname,2015,200
Swaziland,1990,300
Swaziland,1995,300
Swaziland,2000,500
Swaziland,2005,600
Swaziland,2010,500
Swaziland,2015,500
Sweden,1990,3100
Sweden,1995,2700
Sweden,2000,2400
Sweden,2005,1800
Sweden,2010,1700
Sweden,2015,2200
Switzerland,1990,3000
Switzerland,1995,2800
Switzerland,2000,2600
Switzerland,2005,2300
Switzerland,2010,2200
Switzerland,2015,2500
Syria,1990,4800
Syria,1995,4700
Syria,2000,4900
Syria,2005,5100
Syria,2010,6400
Syria,2015,6600
Taiwan,1990,6100
Taiwan,1995,6600
Taiwan,2000,7100
Taiwan,2005,8400
Taiwan,2010,9600
Taiwan,2015,10900
Tajikistan,1990,6000
Tajikistan,1995,5700
Tajikistan,2000,4900
Tajikistan,2005,4000
Tajikistan,2010,4100
Tajikistan,2015,4000
Tanzania,1990,10400
Tanzania,1995,11400
Tanzania,2000,11400
Tanzania,2005,11000
Tanzania,2010,11600
Tanzania,2015,13700
Thailand,1990,17700
Thailand,1995,21700
Thailand,2000,25300
Thailand,2005,26100
Thailand,2010,28500
Thailand,2015,37600
Timor-Leste,1990,300
Timor-Leste,1995,300
Timor-Leste,2000,300
Timor-Leste,2005,300
Timor-Leste,2010,300
Timor-Leste,2015,300
Togo,1990,2300
Togo,1995,2500
Togo,2000,2700
Togo,2005,2500
Togo,2010,2500
Togo,2015,2500
Trinidad and Tobago,1990,500
Trinidad and Tobago,1995,500
Trinidad and Tobago,2000,500
Trinidad and Tobago,2005,400
Trinidad and Tobago,2010,400
Trinidad and Tobago,2015,500
Tunisia,1990,2600
Tunisia,1995,3000
Tunisia,2000,3100
Tunisia,2005,3000
Tunisia,2010,3600
Tunisia,2015,4500
Turkey,1990,31900
Turkey,1995,30500
Turkey,2000,27700
Turkey,2005,23600
Turkey,2010,21900
Turkey,2015,26700
Turkmenistan,1990,3500
Turkmenistan,1995,3700
Turkmenistan,2000,3800
Turkmenistan,2005,2900
Turkmenistan,2010,3100
Turkmenistan,2015,3100
Uganda,1990,10800
Uganda,1995,12300
Uganda,2000,13200
Uganda,2005,13200
Uganda,2010,13000
Uganda,2015,15100
Ukraine,1990,65000
Ukraine,1995,74000
Ukraine,2000,66000
Ukraine,2005,64800
Ukraine,2010,57700
Ukraine,2015,59000
United Arab Emirates,1990,500
United Arab Emirates,1995,600
United Arab Emirates,2000,700
United Arab Emirates,2005,900
United Arab Emirates,2010,1700
United Arab Emirates,2015,2600
United Kingdom,1990,42800
United Kingdom,1995,39600
United Kingdom,2000,34500
United Kingdom,2005,29100
United Kingdom,2010,26000
United Kingdom,2015,27200
United States,1990,106000
United States,1995,107200
United States,2000,106200
United States,2005,100000
United States,2010,83400
United States,2015,88400
Uruguay,1990,1500
Uruguay,1995,1600
Uruguay,2000,1500
Uruguay,2005,1400
Uruguay,2010,1400
Uruguay,2015,1400
Uzbekistan,1990,15900
Uzbekistan,1995,17400
Uzbekistan,2000,16900
Uzbekistan,2005,16100
Uzbekistan,2010,16900
Uzbekistan,2015,17500
Vanuatu,1995,100
Vanuatu,2000,100
Vanuatu,2005,100
Vanuatu,2010,100
Vanuatu,2015,100
Venezuela,1990,5600
Venezuela,1995,6100
Venezuela,2000,6800
Venezuela,2005,7100
Venezuela,2010,7500
Venezuela,2015,9300
Vietnam,1990,26300
Vietnam,1995,29000
Vietnam,2000,31900
Vietnam,2005,35800
Vietnam,2010,37000
Vietnam,2015,42200
Yemen,1990,10000
Yemen,1995,12000
Yemen,2000,11200
Yemen,2005,10000
Yemen,2010,11000
Yemen,2015,12500
Zambia,1990,4300
Zambia,1995,5000
Zambia,2000,5500
Zambia,2005,5600
Zambia,2010,5600
Zambia,2015,5600
Zimbabwe,1990,2500
Zimbabwe,1995,2600
Zimbabwe,2000,3600
Zimbabwe,2005,4500
Zimbabwe,2010,4500
Zimbabwe,2015,3800
