Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income,"Natural capital, renewable (excluding sub-soil assets)"
Europe & Central Asia,2014,313400738.59,104574108.39,16491363.05,398367.86,1231501.34,1450028.73,4875749.80,2603189.12,2272560.68,8535715.31,7416840.17,5035327.38,1869323.80,512188.99,1118875.15,193692969.19,117800711.50,75892257.69,-1357702.05,19017416.10,2016831.14,23059251.63,22988462.91,7955647.74
Europe & Central Asia (developing countries),1995,10913358.84,4945090.23,3086913.02,68983.15,108552.73,68222.89,2347207.47,1286832.10,1060375.37,493946.78,451362.28,134991.36,226346.36,90024.56,42584.50,3057600.20,1835682.83,1221917.37,-176244.62,658704.49,43032.11,784489.45,772396.03,2592966.24
Europe & Central Asia (developing countries),2000,10001446.00,4338334.97,2629048.60,56810.61,110277.85,74351.86,2032295.67,1001095.67,1031200.00,355312.61,324476.61,179757.07,116056.48,28663.06,30836.00,3382299.10,2050001.17,1332297.93,-348236.66,741136.29,27735.34,897083.14,879872.05,2273735.99
Europe & Central Asia (developing countries),2010,12064449.53,4901073.99,3170370.62,46674.89,113256.88,116178.27,1927916.60,988519.72,939396.88,966343.98,868573.09,525947.19,239264.96,103360.94,97770.89,4391819.00,2564449.30,1827369.70,-398814.08,1000280.82,77659.98,1204090.49,1175781.16,2204026.64
Europe & Central Asia (developing countries),2014,15851030.23,6238929.13,4489967.61,52272.50,118917.05,200533.64,2226989.57,1127111.68,1099877.89,1891254.85,1535698.29,1092003.31,301335.77,142359.21,355556.55,5869295.12,3477457.65,2391837.47,-747161.64,1420955.23,129203.12,1700610.97,1660080.78,2598712.76
High income: non-OECD,1995,41399135.02,17151628.12,8520320.47,235969.26,471353.43,509345.16,1138061.21,665696.30,472364.91,6165591.41,6095463.84,5006547.85,985378.23,103537.76,70127.57,14818260.71,8509191.09,6309069.61,908925.73,1572997.16,-86650.63,2424185.18,2230992.63,2354729.06
High income: non-OECD,2000,42390066.12,13179686.67,9675443.33,223237.00,465308.53,616299.80,1077705.17,581373.79,496331.38,7292892.83,7236866.21,6203594.12,973381.19,59890.90,56026.62,17782200.88,10380525.50,7401675.38,1752735.25,1941282.61,264250.76,2769166.95,2439751.35,2382550.50
High income: non-OECD,2010,52491052.44,13073597.17,15232782.50,242655.04,458136.89,652653.16,1219798.28,701369.74,518428.54,12659539.14,12499067.36,10380739.09,1923224.42,195103.84,160471.78,22236680.91,12685927.82,9550753.09,1947991.85,2790680.75,508869.56,3544163.54,3485890.95,2573243.36
High income: non-OECD,2014,76179153.79,16988316.96,23027672.83,173043.47,450550.02,532225.39,1152747.46,663943.44,488804.02,20719106.49,20082115.28,17804597.12,2034181.38,243336.77,636991.22,32137128.64,18123417.90,14013710.74,4026035.36,3777167.57,576828.89,4740373.27,4656281.32,2308566.34
High income: OECD,1995,518628727.10,118743993.67,12735832.07,641339.15,4496370.64,1036094.52,4530694.27,2418219.19,2112475.08,2031333.49,1605844.94,709809.50,427405.31,468630.13,425488.55,388377626.49,247085876.61,141291749.80,-1228725.12,26571652.36,2534480.40,31878265.56,31649796.07,10704498.58
High income: OECD,2000,598493244.36,140870027.64,12905004.90,610320.58,4524718.31,1139024.80,4306211.68,2416258.90,1889952.77,2324729.53,1913108.49,727003.62,602863.64,583241.23,411621.04,447521857.61,284689523.73,162832333.86,-2803645.79,31585728.13,3761185.05,37536030.40,37735650.58,10580275.37
High income: OECD,2010,653968841.47,168184516.72,14764849.31,531701.92,4536091.04,1094521.53,4018302.21,2267349.83,1750952.38,4584232.60,3771805.03,1382349.57,1230045.27,1159410.18,812427.58,473959602.06,295027656.66,178931945.35,-2940126.62,35051056.06,3667582.55,41753035.03,42046423.64,10180616.71
High income: OECD,2014,742996711.33,205058529.52,20434919.97,522902.68,4568977.61,1674980.33,5283572.12,3157606.68,2125965.43,8384487.24,4727141.70,2144983.58,361004.38,2221153.73,3657345.54,523222371.04,320525505.12,202696866.00,-5719109.21,38853008.80,3795821.89,46317427.53,46966161.31,12050432.73
Latin America & Caribbean,1995,52664746.94,11945073.78,8371473.93,327421.26,2567761.18,739043.04,3308983.29,1507653.97,1801329.31,1428265.17,1059101.55,1015944.58,37283.47,5873.50,369163.62,33252052.01,20191061.52,13060990.49,-903852.79,2817204.93,251687.30,3301365.77,3184284.58,6943208.76
Latin America & Caribbean,2000,57760634.31,13066160.14,8274557.33,277828.67,2510093.03,876311.89,3222768.26,1555764.58,1667003.69,1387555.47,1063778.36,1025198.36,37339.50,1240.50,323777.11,37803355.05,21746805.69,16056549.36,-1383438.21,3173669.87,205588.01,3813481.47,3685850.63,6887001.86
Latin America & Caribbean,2010,67687080.79,15176616.57,10782796.71,331556.15,2447708.94,1323861.20,4007793.93,1999612.79,2008181.13,2671876.49,1783330.12,1685061.89,73142.06,25126.16,888546.37,42995934.86,24765164.74,18230770.13,-1268267.35,3533610.52,329281.79,4341203.90,4183170.41,8110920.22
Latin America & Caribbean,2014,87734398.71,19809392.07,15417065.90,446117.05,2387868.48,2235869.07,4957480.29,2602250.40,2355229.89,5389731.02,2728191.25,2534037.23,108311.23,85842.79,2661539.77,53950935.43,30125028.34,23825907.10,-1442994.70,4494407.27,202459.69,5654271.48,5536575.97,10027334.88
Latin America & Caribbean (developing countries),1995,44508677.78,9553131.19,6976433.71,293877.54,2296781.65,637888.32,2963502.62,1332507.60,1630995.03,784383.58,566786.10,542929.18,18405.60,5451.32,217597.48,28767040.40,17468689.10,11298351.30,-787927.51,2273396.28,184617.70,2678376.26,2576132.19,6192050.13
Latin America & Caribbean (developing countries),2000,48364590.57,10403034.34,6850593.65,248265.04,2244563.22,777873.29,2864762.63,1355296.67,1509465.96,715129.47,519560.85,501832.99,16493.88,1233.97,195568.62,32309033.44,18585522.74,13723510.69,-1198070.85,2579929.18,143170.42,3109351.81,2998691.82,6135464.18
Latin America & Caribbean (developing countries),2010,57634900.27,12258252.84,8752538.76,292799.99,2189204.35,1241510.74,3484369.39,1687395.98,1796973.41,1544654.30,947546.08,890882.77,33739.83,22923.47,597108.23,37855747.02,21838027.78,16017719.25,-1231638.36,2890632.76,228790.03,3545102.92,3421310.28,7207884.46
Latin America & Caribbean (developing countries),2014,72214131.41,15007844.36,12496255.88,386129.67,2134121.13,2149559.88,4375949.42,2238004.35,2137945.06,3450495.78,1649834.00,1501993.00,64188.30,83652.70,1800661.78,46302818.52,25829848.53,20472970.00,-1592787.36,3796226.45,149626.52,4811982.71,4713989.40,9045760.10
Low income,1995,3615961.79,604309.00,1937052.99,227618.09,60719.34,395277.83,1209957.13,659159.67,550797.46,43480.60,8643.98,3886.98,0.00,4757.00,34836.62,1222052.48,803347.68,418704.81,-147452.69,105405.72,-3021.74,133048.09,122629.71,1893572.39
Low income,2000,3731294.46,618763.31,1803222.78,249054.43,58829.78,344887.34,1134794.95,652257.12,482537.83,15656.28,6784.01,4017.73,0.00,2766.29,8872.27,1435889.88,948268.71,487621.16,-126581.51,138893.93,1516.26,159883.30,156784.03,1787566.50
Low income,2005,4193808.66,659985.55,2011523.42,229875.18,57116.96,387400.59,1271599.97,754882.44,516717.53,65530.73,41337.88,35993.16,594.64,4750.08,24192.84,1657002.54,1095994.80,561007.75,-134702.85,164487.67,5680.21,199164.53,192888.03,1945992.69
Low income,2014,7160608.35,1033431.50,3373466.31,296746.83,54319.78,627663.67,2096333.88,1298862.34,797471.54,298402.14,79824.72,65819.01,5809.06,8196.65,218577.42,2923077.91,1963581.59,959496.32,-169367.36,268275.00,8598.49,338390.15,328524.15,3075064.17
Lower middle income,1995,35249321.77,8178628.26,12287512.18,457567.40,316783.15,813765.36,8902985.82,6012840.86,2890144.96,1796410.45,1662875.86,1443297.39,69593.75,149984.72,133534.58,15900083.65,11461954.80,4438128.84,-1116902.33,1769256.56,178963.12,2065805.63,2025728.84,10491101.73
Lower middle income,2000,36510974.72,8807680.64,11568039.09,406180.47,303030.94,837812.90,8253393.47,5434540.27,2818853.21,1767621.30,1623420.69,1439601.27,67445.05,116374.37,144200.61,17263061.23,12691013.55,4572047.68,-1127806.24,2107745.90,265807.83,2486511.54,2434949.57,9800417.79
Lower middle income,2010,46074998.62,11884872.34,13022157.47,312093.74,298716.02,790096.53,8566917.07,5683845.48,2883071.59,3054334.11,2710466.55,2151103.65,210144.74,349218.16,343867.55,22059345.02,16047557.00,6011788.02,-891376.21,2832289.59,493493.46,3305455.03,3271479.26,9967823.36
Lower middle income,2014,70717545.55,17800228.07,18939998.24,375118.94,287110.08,1363723.83,11617197.49,7212055.95,4405141.54,5296847.90,3988907.74,2579185.19,393348.78,1016373.77,1307940.16,35747815.89,25177929.16,10569886.73,-1770496.65,4830334.55,902094.15,5507904.10,5484441.05,13643150.34
Middle East & North Africa,1995,15610148.03,4111598.58,4571279.79,4214.26,6056.39,39554.80,823762.73,381949.79,441812.94,3697691.60,3694538.13,3632210.18,62245.63,82.33,3153.46,6096678.78,3680371.78,2416307.00,830590.88,643822.16,57608.98,928748.52,773223.56,873588.19
Middle East & North Africa,2000,18089463.97,3850075.16,5492018.94,4594.31,6191.26,65428.57,828842.77,384859.89,443982.89,4586962.03,4580566.53,4496344.07,84201.28,21.18,6395.49,7454054.86,4573235.40,2880819.46,1293315.01,721929.14,114559.38,1149194.33,888793.28,905056.91
Middle East & North Africa,2010,24165136.01,4104916.53,9390353.25,3919.05,6459.05,107134.26,915895.08,445161.62,470733.45,8356945.81,8348174.27,8147730.59,200407.01,36.67,8771.54,9457982.20,5702442.96,3755539.24,1211884.03,1261740.70,226963.14,1596037.13,1605844.95,1033407.44
Middle East & North Africa,2014,42298758.63,6384808.49,18671122.65,5096.68,6669.66,234153.93,1245214.28,576271.70,668942.58,17179988.09,17042283.52,16257031.02,785252.50,0.00,137704.57,14607216.16,8602043.95,6005172.22,2635611.33,1992474.83,361201.42,2476611.67,2472153.54,1491134.56
Middle East & North Africa (developing countries),1995,3613158.06,927760.96,983832.96,4105.37,4703.03,15567.24,730345.23,329376.27,400968.95,229112.09,226028.89,218387.89,7558.67,82.33,3083.20,1826239.40,1184166.77,642072.63,-124675.25,230928.99,27031.21,271195.46,268931.99,754720.87
Middle East & North Africa (developing countries),2000,4362097.65,978071.14,1231679.17,4469.59,4801.50,30142.21,743902.84,339051.34,404851.50,448363.03,442081.45,433370.97,8689.30,21.18,6281.58,2262869.29,1531909.77,730959.52,-110521.94,292655.26,30714.93,342123.87,340586.65,783316.14
Middle East & North Africa (developing countries),2010,6135982.18,1390832.85,2353971.72,3804.25,5066.30,64286.51,835094.43,401100.45,433993.98,1445720.24,1437844.22,1404371.33,33436.22,36.67,7876.01,2763788.22,1818975.37,944812.85,-372610.61,444175.26,30950.79,548711.62,545556.73,908251.48
Middle East & North Africa (developing countries),2014,10391838.09,2095190.58,4448338.35,4847.86,5265.61,190531.73,1128016.92,511369.17,616647.75,3119676.24,2989984.33,2886463.60,103520.74,0.00,129691.90,4153745.42,2653382.16,1500363.25,-305436.25,688002.36,92847.13,826804.28,810192.62,1328662.11
North America,1995,231293573.03,42654743.11,5728190.61,376295.49,2170117.68,401453.37,1506697.36,846121.08,660576.29,1273626.72,1183515.96,507411.28,297348.83,378755.85,90110.75,183919866.14,113775299.36,70144566.73,-1009226.84,10195368.35,910780.10,12183911.75,12056227.77,4454563.89
North America,2000,282230140.46,51650006.35,6028345.67,350048.00,2173390.90,433015.26,1567880.42,923243.28,644637.14,1504011.08,1434122.81,416051.01,484848.20,533223.60,69888.28,226768171.61,141231226.47,85536945.11,-2216383.18,12797067.90,1332796.01,15021127.76,15166923.35,4524334.59
North America,2010,315478833.09,64434158.11,7160200.17,274697.02,2180968.71,395350.81,1456849.08,862094.26,594754.82,2852334.55,2767440.55,898084.07,975788.72,893567.76,84894.00,246422716.43,149055663.30,97367053.06,-2538241.62,14402681.25,1013091.52,17026644.16,17146685.51,4307865.62
North America,2014,349709585.70,77118389.93,9397797.92,232434.06,2212732.59,720109.97,2481352.92,1555779.03,925573.89,3751168.38,3194634.74,1522961.98,55818.22,1615854.55,556533.64,270410159.09,159265510.84,111144648.32,-7216761.23,16522849.59,1409614.35,19185980.00,19662600.00,5646629.53
South Asia,1995,11485793.04,2614776.48,3570653.17,27432.80,52508.57,171859.26,3103312.49,1793085.11,1310227.38,215540.04,181818.29,73822.65,8560.78,99434.86,33721.75,5529949.15,4568609.97,961339.18,-229585.75,708366.07,97198.16,797464.53,793504.37,3355113.13
South Asia,2000,14371442.56,3146182.82,3895365.55,26481.27,52714.54,202648.12,3368707.17,1867811.61,1500895.56,244814.44,207722.96,97358.92,15587.83,94776.22,37091.48,7566850.73,6390825.23,1176025.50,-236956.55,921164.64,127539.97,1043600.63,1035586.01,3650551.11
South Asia,2010,18589573.42,4273438.68,4354399.72,23907.89,54041.06,217163.77,3518523.52,1881756.33,1636767.18,540763.48,440201.05,167082.94,53063.93,220054.18,100562.43,10229147.91,8701890.07,1527257.84,-267412.90,1258147.94,282561.57,1413109.77,1413101.07,3813636.24
South Asia,2014,31072621.16,8100538.39,7824337.52,54321.12,55796.43,231264.83,5983144.11,3277939.12,2705204.99,1499811.03,1033378.52,303777.35,93396.22,636204.95,466432.51,15862617.74,13036155.64,2826462.10,-714872.49,2269282.01,515000.71,2553707.48,2553132.43,6324526.49
South Asia (developing countries),1995,11485793.04,2614776.48,3570653.17,27432.80,52508.57,171859.26,3103312.49,1793085.11,1310227.38,215540.04,181818.29,73822.65,8560.78,99434.86,33721.75,5529949.15,4568609.97,961339.18,-229585.75,708366.07,97198.16,797464.53,793504.37,3355113.13
South Asia (developing countries),2000,14371442.56,3146182.82,3895365.55,26481.27,52714.54,202648.12,3368707.17,1867811.61,1500895.56,244814.44,207722.96,97358.92,15587.83,94776.22,37091.48,7566850.73,6390825.23,1176025.50,-236956.55,921164.64,127539.97,1043600.63,1035586.01,3650551.11
South Asia (developing countries),2010,18589573.42,4273438.68,4354399.72,23907.89,54041.06,217163.77,3518523.52,1881756.33,1636767.18,540763.48,440201.05,167082.94,53063.93,220054.18,100562.43,10229147.91,8701890.07,1527257.84,-267412.90,1258147.94,282561.57,1413109.77,1413101.07,3813636.24
South Asia (developing countries),2014,31072621.16,8100538.39,7824337.52,54321.12,55796.43,231264.83,5983144.11,3277939.12,2705204.99,1499811.03,1033378.52,303777.35,93396.22,636204.95,466432.51,15862617.74,13036155.64,2826462.10,-714872.49,2269282.01,515000.71,2553707.48,2553132.43,6324526.49
Sub-Saharan Africa,1995,13822992.96,2279650.99,7162006.37,515798.29,172154.68,660441.82,4541410.20,3130802.95,1410607.25,1272201.38,1180443.08,1090443.99,6502.32,83496.76,91758.30,4919760.31,2955424.73,1964335.58,-538424.70,466703.79,-17637.30,611654.00,580878.73,5889804.99
Sub-Saharan Africa,2000,13102954.37,2276753.45,5993448.03,486663.14,167139.87,545957.30,3647902.41,2539777.58,1108124.84,1145785.32,1106058.18,1032598.56,6799.47,66660.16,39727.13,5232623.70,3158060.43,2074563.28,-399870.81,544740.74,6652.08,712857.85,669815.19,4847662.71
Sub-Saharan Africa,2010,15397523.98,3359081.02,6521464.93,413123.91,162610.11,554540.12,3723630.92,2678312.73,1045318.19,1667559.87,1577426.34,1411620.71,28997.41,136808.21,90133.53,5778590.48,3359967.29,2418623.19,-261612.45,724100.64,2614.53,947864.65,890884.56,4853905.06
Sub-Saharan Africa,2014,22168198.84,3484009.92,8000046.01,455658.28,155514.64,987101.32,3954306.30,2449338.22,1504968.09,2447465.47,1878321.57,1608955.03,66964.02,202402.52,569143.90,10996483.29,6704217.33,4292265.96,-312340.38,1170846.85,27511.38,1483541.14,1437100.00,5552580.54
Sub-Saharan Africa (developing countries),1995,13822992.96,2279650.99,7162006.37,515798.29,172154.68,660441.82,4541410.20,3130802.95,1410607.25,1272201.38,1180443.08,1090443.99,6502.32,83496.76,91758.30,4919760.31,2955424.73,1964335.58,-538424.70,466703.79,-17637.30,611654.00,580878.73,5889804.99
Sub-Saharan Africa (developing countries),2000,13102954.37,2276753.45,5993448.03,486663.14,167139.87,545957.30,3647902.41,2539777.58,1108124.84,1145785.32,1106058.18,1032598.56,6799.47,66660.16,39727.13,5232623.70,3158060.43,2074563.28,-399870.81,544740.74,6652.08,712857.85,669815.19,4847662.71
Sub-Saharan Africa (developing countries),2010,15397523.98,3359081.02,6521464.93,413123.91,162610.11,554540.12,3723630.92,2678312.73,1045318.19,1667559.87,1577426.34,1411620.71,28997.41,136808.21,90133.53,5778590.48,3359967.29,2418623.19,-261612.45,724100.64,2614.53,947864.65,890884.56,4853905.06
Sub-Saharan Africa (developing countries),2014,22168198.84,3484009.92,8000046.01,455658.28,155514.64,987101.32,3954306.30,2449338.22,1504968.09,2447465.47,1878321.57,1608955.03,66964.02,202402.52,569143.90,10996483.29,6704217.33,4292265.96,-312340.38,1170846.85,27511.38,1483541.14,1437100.00,5552580.54
Upper middle income,1995,96951913.66,20102197.35,16976516.84,1057933.09,2803091.17,991334.22,10077096.62,6621507.89,3455588.74,2047061.74,1713742.21,1218544.36,247007.58,248190.27,333319.53,61178951.54,36542289.96,24636661.57,-1305752.07,4894443.03,749971.04,5774473.35,5623100.10,14929455.10
Upper middle income,2000,115282572.78,24419632.53,18253128.54,835070.83,2776266.56,1274107.50,11410373.68,7788364.55,3622009.12,1957309.97,1677474.56,1416589.86,136272.62,124612.08,279835.41,74189568.86,43184996.19,31004572.66,-1579757.15,6054553.87,729223.30,7350720.66,7166227.15,16295818.57
Upper middle income,2010,139735580.28,33118831.05,24967223.40,766690.69,2752975.58,2156583.56,13731955.55,9293069.95,4438885.60,5559018.02,4623462.55,3217792.04,292374.72,1113295.80,935555.47,82916612.82,50120672.48,32795940.34,-1267086.99,8099446.61,1507582.20,10023891.73,9813639.34,19408205.38
Upper middle income,2014,251412065.21,62667857.04,41651250.71,1029471.64,2740794.32,3591931.25,19739891.50,13567415.70,6172475.79,14549162.00,10216171.40,6254210.49,515952.35,3446008.56,4332990.60,148041338.46,88637471.42,59403867.05,-948381.01,13925604.25,2788948.31,18175495.94,18006784.41,27102088.71
World,1995,695845059.34,164780756.40,52457234.55,2620426.99,8148317.72,3745817.09,25858795.05,16377423.91,9481371.15,12083877.69,11086570.83,8382086.07,1729384.87,975099.88,997306.86,481496974.87,304402660.14,177094314.63,-2889906.48,34913754.83,3373742.18,42275777.81,41652247.36,40373356.86
World,2000,796408152.44,187895790.80,54204838.63,2323863.30,8128154.12,4212132.35,26182478.94,16872794.63,9309684.31,13358209.91,12457653.97,9790806.60,1779962.50,886884.88,900555.94,558192578.45,351894327.68,206298250.74,-3885055.44,41828204.43,5021983.21,50302312.86,49933362.69,40846628.72
World,2010,896464281.47,226921802.83,69998536.09,2083016.57,8103036.49,5081255.37,28808573.07,18700517.44,10108055.63,25922654.59,23646139.37,17167977.52,3656383.79,2821778.07,2276515.22,602829243.37,374977808.76,227851434.55,-3285300.82,48937960.68,6183207.98,58825709.86,58810321.20,44075881.50
World,2014,1148466084.23,303548363.09,107427308.06,2397283.56,8101751.81,7790524.47,39889742.45,25899884.12,13989858.32,49248005.77,39094160.84,28848795.40,3310295.96,6935069.49,10153844.93,742071731.94,454427905.18,287643826.84,-4581318.86,61654390.19,8072291.73,75079590.99,75442192.22,58179302.29
