Entity,Year,Births outside of marriage (% of all births)
Mexico,1986,29.5
Mexico,1987,32
Mexico,1988,31
Mexico,1989,31.8
Mexico,1990,33.2
Mexico,1991,35.2
Mexico,1992,36.1
Mexico,1993,37.8
Mexico,1994,37.8
Mexico,1995,37.1
Mexico,1996,38.1
Mexico,1997,39.3
Mexico,1998,40
Mexico,1999,41
Mexico,2000,41.6
Mexico,2001,44
Mexico,2002,45.7
Mexico,2003,46.3
Mexico,2004,48.2
Mexico,2005,50.1
Mexico,2006,50.7
Mexico,2007,53.4
Mexico,2008,55.4
Mexico,2009,58.3
Mexico,2010,59.4
Mexico,2011,60.7
Mexico,2012,62.3
Mexico,2013,63.7
Mexico,2014,64.9
Netherlands,1960,1.4
Netherlands,1961,1.4
Netherlands,1962,1.5
Netherlands,1963,1.6
Netherlands,1964,1.7
Netherlands,1965,1.8
Netherlands,1966,2
Netherlands,1967,2.1
Netherlands,1968,2
Netherlands,1969,2.2
Netherlands,1970,2.1
Netherlands,1971,2
Netherlands,1972,1.9
Netherlands,1973,1.9
Netherlands,1974,2
Netherlands,1975,2.1
Netherlands,1976,2.5
Netherlands,1977,2.7
Netherlands,1978,3.1
Netherlands,1979,3.4
Netherlands,1980,4.1
Netherlands,1981,4.8
Netherlands,1982,5.9
Netherlands,1983,7
Netherlands,1984,7.7
Netherlands,1985,8.3
Netherlands,1986,8.8
Netherlands,1987,9.3
Netherlands,1988,10.2
Netherlands,1989,10.7
Netherlands,1990,11.4
Netherlands,1991,12
Netherlands,1992,12.4
Netherlands,1993,13.1
Netherlands,1994,14.3
Netherlands,1995,15.5
Netherlands,1996,17
Netherlands,1997,19.2
Netherlands,1998,20.8
Netherlands,1999,22.7
Netherlands,2000,24.9
Netherlands,2001,27.2
Netherlands,2002,29.1
Netherlands,2003,30.7
Netherlands,2004,32.5
Netherlands,2005,34.9
Netherlands,2006,37.1
Netherlands,2007,39.5
Netherlands,2008,41.2
Netherlands,2009,43.3
Netherlands,2010,44.3
Netherlands,2011,45.3
Netherlands,2012,46.6
Netherlands,2013,47.4
Netherlands,2014,48.7
New Zealand,1960,4.6
New Zealand,1961,5.1
New Zealand,1962,8
New Zealand,1963,8.8
New Zealand,1964,9.9
New Zealand,1965,10.9
New Zealand,1966,11.6
New Zealand,1967,12.7
New Zealand,1968,13
New Zealand,1969,13
New Zealand,1970,13.3
New Zealand,1971,13.9
New Zealand,1972,14.9
New Zealand,1973,15.2
New Zealand,1974,15.8
New Zealand,1975,16.6
New Zealand,1976,17.4
New Zealand,1977,18.9
New Zealand,1978,20.1
New Zealand,1979,20.9
New Zealand,1980,21.5
New Zealand,1981,22.5
New Zealand,1982,22.8
New Zealand,1983,23.7
New Zealand,1984,24.3
New Zealand,1985,24.9
New Zealand,1986,27
New Zealand,1987,28.6
New Zealand,1988,30.6
New Zealand,1989,33.1
New Zealand,1990,34
New Zealand,1991,35.7
New Zealand,1992,36.7
New Zealand,1993,38
New Zealand,1994,38.7
New Zealand,1995,40.7
New Zealand,1996,41.7
New Zealand,1997,41.8
New Zealand,1998,42.5
New Zealand,1999,42.8
New Zealand,2000,43.2
New Zealand,2001,43.7
New Zealand,2002,43.6
New Zealand,2003,44
New Zealand,2004,44.8
New Zealand,2005,45.2
New Zealand,2006,47.2
New Zealand,2007,47.2
New Zealand,2008,48.2
New Zealand,2009,48.6
New Zealand,2010,48.9
New Zealand,2011,47.6
New Zealand,2012,47.7
New Zealand,2013,47.3
New Zealand,2014,46.7
Norway,1960,3.7
Norway,1961,3.7
Norway,1962,3.8
Norway,1963,3.9
Norway,1964,4.2
Norway,1965,4.6
Norway,1966,4.9
Norway,1967,5.1
Norway,1968,5.6
Norway,1969,6.1
Norway,1970,6.9
Norway,1971,7.9
Norway,1972,8.7
Norway,1973,9.1
Norway,1974,9.3
Norway,1975,10.3
Norway,1976,10.9
Norway,1977,11.6
Norway,1978,11.9
Norway,1979,13
Norway,1980,14.5
Norway,1981,16.1
Norway,1982,17.6
Norway,1983,19.3
Norway,1984,21.3
Norway,1985,25.8
Norway,1986,27.9
Norway,1987,30.9
Norway,1988,33.7
Norway,1989,36.4
Norway,1990,38.6
Norway,1991,40.9
Norway,1992,42.9
Norway,1993,44.4
Norway,1994,45.9
Norway,1995,47.6
Norway,1996,48.3
Norway,1997,48.7
Norway,1998,49
Norway,1999,49.1
Norway,2000,49.6
Norway,2001,49.7
Norway,2002,50.3
Norway,2003,50
Norway,2004,51.4
Norway,2005,51.8
Norway,2006,53
Norway,2007,54.5
Norway,2008,55
Norway,2009,55.1
Norway,2010,54.8
Norway,2011,55
Norway,2012,54.9
Norway,2013,55.2
Poland,1970,5
Poland,1975,4.7
Poland,1980,4.8
Poland,1985,5
Poland,1990,6.2
Poland,1991,6.6
Poland,1992,7.2
Poland,1993,8.2
Poland,1994,9
Poland,1995,9.5
Poland,1996,10.2
Poland,1997,11
Poland,1998,11.6
Poland,1999,11.7
Poland,2000,12.1
Poland,2001,13.1
Poland,2002,14.4
Poland,2003,15.8
Poland,2004,17.1
Poland,2005,18.5
Poland,2006,18.9
Poland,2007,19.5
Poland,2008,19.9
Poland,2009,20.2
Poland,2010,20.6
Poland,2011,21.2
Poland,2012,22.3
Poland,2013,23.4
Poland,2014,24.2
Portugal,1960,9.5
Portugal,1961,8.8
Portugal,1962,8.5
Portugal,1963,8.2
Portugal,1964,8
Portugal,1965,7.8
Portugal,1966,7.5
Portugal,1967,7.5
Portugal,1968,7.4
Portugal,1969,7.3
Portugal,1970,7.3
Portugal,1971,7.2
Portugal,1972,7.1
Portugal,1973,7.2
Portugal,1974,7.2
Portugal,1975,7.2
Portugal,1976,7.3
Portugal,1977,7.2
Portugal,1978,7.7
Portugal,1979,8.2
Portugal,1980,9.2
Portugal,1981,9.5
Portugal,1982,10
Portugal,1983,10.7
Portugal,1984,11.5
Portugal,1985,12.3
Portugal,1986,12.8
Portugal,1987,13.2
Portugal,1988,13.7
Portugal,1989,14.5
Portugal,1990,14.7
Portugal,1991,15.6
Portugal,1992,16.1
Portugal,1993,16.9
Portugal,1994,17.8
Portugal,1995,18.6
Portugal,1996,18.6
Portugal,1997,19.5
Portugal,1998,20.1
Portugal,1999,20.8
Portugal,2000,22.2
Portugal,2001,23.8
Portugal,2002,25.5
Portugal,2003,26.9
Portugal,2004,29.1
Portugal,2005,30.7
Portugal,2006,31.6
Portugal,2007,33.6
Portugal,2008,36.2
Portugal,2009,38.1
Portugal,2010,41.3
Portugal,2011,42.8
Portugal,2012,45.6
Portugal,2013,47.6
Portugal,2014,49.3
Romania,1993,17
Romania,1994,18.3
Romania,1995,19.7
Romania,1996,20.7
Romania,1997,22.2
Romania,1998,23
Romania,1999,24.1
Romania,2000,25.5
Romania,2001,26.7
Romania,2002,26.7
Romania,2003,28.2
Romania,2004,29.4
Romania,2005,28.5
Romania,2006,29
Romania,2007,26.7
Romania,2008,27.4
Romania,2009,28
Romania,2010,27.7
Romania,2011,30
Romania,2012,31
Romania,2013,30.5
Romania,2014,31.2
Slovakia,1960,4.7
Slovakia,1961,4.4
Slovakia,1962,4.6
Slovakia,1963,4.7
Slovakia,1964,5
Slovakia,1965,5.3
Slovakia,1966,5.3
Slovakia,1967,5.7
Slovakia,1968,5.9
Slovakia,1969,6.1
Slovakia,1970,6.2
Slovakia,1971,6
Slovakia,1972,5.7
Slovakia,1973,5.1
Slovakia,1974,5.3
Slovakia,1975,5.2
Slovakia,1976,5.1
Slovakia,1977,5.2
Slovakia,1978,5.2
Slovakia,1979,5.4
Slovakia,1980,5.7
Slovakia,1981,5.7
Slovakia,1982,5.9
Slovakia,1983,6
Slovakia,1984,6.2
Slovakia,1985,6.6
Slovakia,1986,6.8
Slovakia,1987,7.1
Slovakia,1988,6.8
Slovakia,1989,7.2
Slovakia,1990,7.6
Slovakia,1991,8.9
Slovakia,1992,9.8
Slovakia,1993,10.6
Slovakia,1994,11.7
Slovakia,1995,12.6
Slovakia,1996,14
Slovakia,1997,15.1
Slovakia,1998,15.3
Slovakia,1999,16.9
Slovakia,2000,18.3
Slovakia,2001,19.8
Slovakia,2002,21.6
Slovakia,2003,23.3
Slovakia,2004,24.8
Slovakia,2005,26
Slovakia,2006,27.5
Slovakia,2007,28.8
Slovakia,2008,30.1
Slovakia,2009,31.6
Slovakia,2010,33
Slovakia,2011,34
Slovakia,2012,35.4
Slovakia,2013,37
Slovakia,2014,38.9
Slovenia,1960,9.1
Slovenia,1961,10
Slovenia,1962,10.1
Slovenia,1963,9.8
Slovenia,1964,9.2
Slovenia,1965,9.2
Slovenia,1966,8.7
Slovenia,1967,8.7
Slovenia,1968,8.8
Slovenia,1969,8.4
Slovenia,1970,8.5
Slovenia,1971,8.7
Slovenia,1972,9.7
Slovenia,1973,9.8
Slovenia,1974,9.9
Slovenia,1975,9.9
Slovenia,1976,10.5
Slovenia,1977,10.6
Slovenia,1978,11
Slovenia,1979,11.8
Slovenia,1980,13.1
Slovenia,1981,14.1
Slovenia,1982,15.2
Slovenia,1983,16.9
Slovenia,1984,18.2
Slovenia,1985,19.1
Slovenia,1986,19.7
Slovenia,1987,21.8
Slovenia,1988,22.6
Slovenia,1989,23.2
Slovenia,1990,24.5
Slovenia,1991,26.4
Slovenia,1992,27.7
Slovenia,1993,28
Slovenia,1994,28.8
Slovenia,1995,29.8
Slovenia,1996,31.9
Slovenia,1997,32.7
Slovenia,1998,33.6
Slovenia,1999,35.4
Slovenia,2000,37.1
Slovenia,2001,39.4
Slovenia,2002,40.2
Slovenia,2003,42.5
Slovenia,2004,44.8
Slovenia,2005,46.7
Slovenia,2006,47.2
Slovenia,2007,50.8
Slovenia,2008,52.8
Slovenia,2009,53.6
Slovenia,2010,55.7
Slovenia,2011,56.8
Slovenia,2012,57.6
Slovenia,2013,58
Slovenia,2014,58.3
Spain,1960,2.3
Spain,1961,2.2
Spain,1962,2.1
Spain,1963,1.9
Spain,1964,1.8
Spain,1965,1.7
Spain,1966,1.6
Spain,1967,1.5
Spain,1968,1.4
Spain,1969,1.4
Spain,1970,1.4
Spain,1971,1.3
Spain,1972,1.4
Spain,1973,1.6
Spain,1974,1.5
Spain,1975,2
Spain,1976,2.2
Spain,1977,2.3
Spain,1978,2.5
Spain,1979,2.8
Spain,1980,3.9
Spain,1981,4.4
Spain,1982,5.1
Spain,1983,5.2
Spain,1984,6.8
Spain,1985,8
Spain,1986,8
Spain,1987,8.3
Spain,1988,9.1
Spain,1989,9.4
Spain,1990,9.6
Spain,1991,10
Spain,1992,10.5
Spain,1993,10.8
Spain,1994,10.8
Spain,1995,11.1
Spain,1996,11.7
Spain,1997,13.1
Spain,1998,14.5
Spain,1999,16.3
Spain,2000,17.7
Spain,2001,19.7
Spain,2002,21.7
Spain,2003,23.4
Spain,2004,25.1
Spain,2005,26.5
Spain,2006,28.4
Spain,2007,30.2
Spain,2008,33.2
Spain,2009,34.5
Spain,2010,35.5
Spain,2011,37.4
Spain,2012,39
Spain,2013,40.9
Spain,2014,42.5
Sweden,1960,11.3
Sweden,1961,11.7
Sweden,1962,12.4
Sweden,1963,12.6
Sweden,1964,13.1
Sweden,1965,13.8
Sweden,1966,14.5
Sweden,1967,15.1
Sweden,1968,16
Sweden,1969,16.4
Sweden,1970,18.6
Sweden,1971,21.9
Sweden,1972,25.4
Sweden,1973,28.6
Sweden,1974,31.7
Sweden,1975,32.8
Sweden,1976,33.5
Sweden,1977,34.7
Sweden,1978,35.9
Sweden,1979,37.5
Sweden,1980,39.7
Sweden,1981,41.2
Sweden,1982,42
Sweden,1983,43.6
Sweden,1984,44.6
Sweden,1985,46.4
Sweden,1986,48.4
Sweden,1987,49.9
Sweden,1988,50.9
Sweden,1989,51.8
Sweden,1990,47
Sweden,1991,48.2
Sweden,1992,49.5
Sweden,1993,50.4
Sweden,1994,51.6
Sweden,1995,53
Sweden,1996,53.9
Sweden,1997,54.1
Sweden,1998,54.7
Sweden,1999,55.3
Sweden,2000,55.3
Sweden,2001,55.5
Sweden,2002,56
Sweden,2003,56
Sweden,2004,55.4
Sweden,2005,55.4
Sweden,2006,55.5
Sweden,2007,54.8
Sweden,2008,54.7
Sweden,2009,54.4
Sweden,2010,54.2
Sweden,2011,54.3
Sweden,2012,54.5
Sweden,2013,54.4
Sweden,2014,54.6
Switzerland,1960,3.8
Switzerland,1961,4
Switzerland,1962,4.2
Switzerland,1963,4.1
Switzerland,1964,4.2
Switzerland,1965,3.9
Switzerland,1966,3.8
Switzerland,1967,3.9
Switzerland,1968,3.8
Switzerland,1969,3.8
Switzerland,1970,3.8
Switzerland,1971,3.7
Switzerland,1972,3.7
Switzerland,1973,3.8
Switzerland,1974,3.7
Switzerland,1975,3.7
Switzerland,1976,3.8
Switzerland,1977,3.9
Switzerland,1978,4.1
Switzerland,1979,4.4
Switzerland,1980,4.7
Switzerland,1981,5.2
Switzerland,1982,5.5
Switzerland,1983,5.4
Switzerland,1984,5.7
Switzerland,1985,5.6
Switzerland,1986,5.7
Switzerland,1987,5.9
Switzerland,1988,6.1
Switzerland,1989,5.9
Switzerland,1990,6.1
Switzerland,1991,6.5
Switzerland,1992,6.2
Switzerland,1993,6.3
Switzerland,1994,6.4
Switzerland,1995,6.8
Switzerland,1996,7.3
Switzerland,1997,8.1
Switzerland,1998,8.8
Switzerland,1999,10
Switzerland,2000,10.7
Switzerland,2001,11.2
Switzerland,2002,11.7
Switzerland,2003,12.4
Switzerland,2004,13.3
Switzerland,2005,13.7
Switzerland,2006,15.4
Switzerland,2007,16.2
Switzerland,2008,17.1
Switzerland,2009,17.9
Switzerland,2010,18.6
Switzerland,2011,19.3
Switzerland,2012,20.2
Switzerland,2013,21.1
Switzerland,2014,21.7
Turkey,2010,2.6
Turkey,2011,2.7
Turkey,2012,2.6
Turkey,2013,2.7
Turkey,2014,2.8
United Kingdom,1960,5.2
United Kingdom,1961,5.7
United Kingdom,1962,6.3
United Kingdom,1963,6.6
United Kingdom,1964,6.9
United Kingdom,1965,7.3
United Kingdom,1966,7.6
United Kingdom,1967,8.1
United Kingdom,1968,8.2
United Kingdom,1969,8.1
United Kingdom,1970,8
United Kingdom,1971,8.2
United Kingdom,1972,8.4
United Kingdom,1973,8.4
United Kingdom,1974,8.7
United Kingdom,1975,9
United Kingdom,1976,9
United Kingdom,1977,9.5
United Kingdom,1978,10
United Kingdom,1979,10.6
United Kingdom,1980,11.5
United Kingdom,1982,14.1
United Kingdom,1983,15.4
United Kingdom,1984,17
United Kingdom,1985,18.9
United Kingdom,1986,21
United Kingdom,1987,22.9
United Kingdom,1988,25.2
United Kingdom,1989,26.6
United Kingdom,1990,27.9
United Kingdom,1991,29.8
United Kingdom,1992,30.8
United Kingdom,1993,31.8
United Kingdom,1994,32
United Kingdom,1995,33.5
United Kingdom,1996,35.5
United Kingdom,1997,36.8
United Kingdom,1998,37.6
United Kingdom,1999,38.8
United Kingdom,2000,39.5
United Kingdom,2001,40.1
United Kingdom,2002,40.6
United Kingdom,2003,41.5
United Kingdom,2004,42.3
United Kingdom,2005,42.9
United Kingdom,2006,43.7
United Kingdom,2007,44.4
United Kingdom,2008,45.4
United Kingdom,2009,46.3
United Kingdom,2010,46.9
United Kingdom,2011,47.3
United Kingdom,2012,47.6
United States,1960,5.3
United States,1961,5.6
United States,1962,5.9
United States,1963,6.3
United States,1964,6.9
United States,1965,7.7
United States,1966,8.4
United States,1967,9
United States,1968,9.7
United States,1969,10
United States,1970,10.7
United States,1971,11.3
United States,1972,12.4
United States,1973,13
United States,1974,13.2
United States,1975,14.3
United States,1976,14.8
United States,1977,15.5
United States,1978,16.3
United States,1979,17.1
United States,1980,18.4
United States,1981,18.9
United States,1982,19.4
United States,1983,20.3
United States,1984,21
United States,1985,22
United States,1986,23.4
United States,1987,24.5
United States,1988,25.7
United States,1989,27.1
United States,1990,28
United States,1991,29.5
United States,1992,30.1
United States,1993,31
United States,1994,32.6
United States,1995,32.2
United States,1996,32.4
United States,1997,32.4
United States,1998,32.8
United States,1999,33
United States,2000,33.2
United States,2001,33.5
United States,2002,34
United States,2003,34.6
United States,2004,35.8
United States,2005,36.9
United States,2006,38.5
United States,2007,39.7
United States,2008,40.6
United States,2009,41
United States,2010,40.8
United States,2011,40.7
United States,2012,40.7
United States,2013,40.6
United States,2014,40.2
