Entity,Year,"Literacy rate, adult total (% of total respondents) (DHS Surveys)","Literacy rate, adult male (% of total respondents) (DHS Surveys)","Literacy rate, adult female (% of total respondents) (DHS Surveys)"
Indonesia,2000,89.035553,92.813217,87.965714
Indonesia,2005,89.02964,92.039459,88.225922
Indonesia,2010,93.154366,93.737129,93.035255
Kenya,2000,79.782074,86.957741,76.645462
Kenya,2005,83.317772,90.128502,80.528648
Kenya,2010,83.792587,89.050522,81.941345
Lesotho,2000,88.941971,73.187363,95.165176
Lesotho,2005,90.598366,77.428139,96.319664
Lesotho,2010,92.30204,81.743591,96.974281
Liberia,2005,50.181503,70.977493,39.321114
Liberia,2010,47.198017,67.406143,38.197613
Liberia,2015,46.371723,,46.371723
Madagascar,2000,80.795982,82.219467,80.360748
Madagascar,2005,74.273567,76.637039,73.107109
Madagascar,2010,71.40033,,71.40033
Madagascar,2015,71.07811,,71.07811
Malawi,2000,63.609856,79.738045,59.500641
Malawi,2005,71.049835,80.424759,68.125359
Malawi,2010,75.973801,,75.973801
Malawi,2015,76.605003,83.943169,74.675827
Mali,2000,17.984985,30.624441,14.672722
Mali,2005,22.187046,38.32888,17.610191
Mali,2010,26.024845,37.642242,23.211727
Morocco,2000,47.488667,,47.488667
Mozambique,2000,49.260792,71.611786,44.032757
Mozambique,2010,53.353626,71.890549,47.923042
Myanmar,2015,86.14019,89.763107,84.806976
Namibia,2000,85.47126,83.652176,86.264984
Namibia,2005,89.812828,87.857513,90.590424
Namibia,2010,90.517548,87.808746,91.729172
Nepal,2000,43.065559,70.239151,36.02021
Nepal,2005,62.267757,79.826958,55.117744
Nepal,2010,74.063263,89.315201,69.10569
Nepal,2015,74.822571,89.433495,70.205482
Nicaragua,2000,82.821808,,82.821808
Niger,2005,23.164919,36.789982,18.055708
Niger,2010,24.97999,42.094456,18.9708
Nigeria,2000,56.948425,77.603233,50.848358
Nigeria,2005,56.92807,72.581802,49.688896
Nigeria,2010,60.102386,76.567116,54.733181
Pakistan,2005,33.981361,,33.981361
Pakistan,2010,48.92173,69.481766,44.168331
Peru,2000,89.281464,,89.281464
Peru,2005,91.856667,,91.856667
Peru,2010,92.974724,,92.974724
Philippines,2000,96.178093,95.251221,96.50148
Philippines,2005,96.782524,,96.782524
Rwanda,2000,72.033432,78.196594,69.89946
Rwanda,2010,80.351547,81.951218,79.73053
Sao Tome and Principe,2005,87.255905,92.476906,82.677475
Senegal,2000,36.08128,51.911522,32.0825
Senegal,2005,31.26144,,31.26144
Senegal,2010,40.375595,53.427143,36.385979
Sierra Leone,2005,34.915222,46.87886,29.6271
Sierra Leone,2010,41.69183,52.50864,36.97995
Sierra Leone,2015,35.161858,,35.161858
Swaziland,2005,91.155418,90.338982,91.836731
Tanzania,2000,70.399261,80.2202,67.891418
Tanzania,2005,75.194672,83.445808,73.103241
Tanzania,2015,78.066673,83.309593,76.678238
Timor,2005,69.879585,77.897842,67.390808
Timor,2015,76.139679,77.967934,75.466576
Togo,2010,57.563751,76.174423,48.786175
Uganda,2000,68.781357,85.028992,64.42308
Uganda,2005,63.537056,82.760017,57.707413
Uganda,2010,65.525871,78.220451,63.436317
Uganda,2015,68.531349,78.760391,65.585548
Yemen,2010,53.728031,,53.728031
Zambia,2000,63.898323,80.972412,59.078915
Zambia,2005,74.090401,83.067291,65.889915
Zambia,2010,74.962067,83.467308,67.300728
Zimbabwe,2005,93.506737,95.583687,91.837196
Zimbabwe,2010,94.307373,95.088326,93.669357
Zimbabwe,2015,94.53244,93.962532,95.013603
