Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Belgium,2010,542,6.005,11.81,0.7093,,,87.53,5.256,0.0402,0.6694
Belize,1985,114.7,0.02,10,0.002,,,0,0,0.018,90
Belize,1990,,,,,,,,,0.019,
Belize,1995,,,,0.011,,,,,0.02,
Belize,2000,385.2,0.101,11.29,0.0114,,,20.99,0.0212,0.0684,67.72
Benin,1985,24.2,0.11,28.18,0.031,,,13.64,0.015,0.064,58.18
Benin,1990,,,,0.0321,,,,,0.0823,
Benin,1995,,,,0.033,,,,,0.097,
Benin,2000,17.53,0.13,31.54,0.041,0.045,,23.08,0.03,0.059,45.38
Benin,2010,,,,,,0.0108,,,,
Bhutan,1985,,,,0.0072,,,,0.002,,
Bhutan,2005,,,,,,0.1038,,,,
Bhutan,2010,454.5,0.338,5.03,0.017,,,0.8876,0.003,0.318,94.08
Bolivia,1985,191.8,1.24,10,0.124,,,5,0.062,1.054,85
Bolivia,2000,,,,,1.777,0.6884,,,1.777,
Bolivia,2010,203.9,2.088,6.513,0.136,,,1.533,0.032,1.92,91.95
Bosnia and Herzegovina,2000,,,,0.3218,,,,,,
Bosnia and Herzegovina,2005,87.01,0.3341,,,,,,,,
Bosnia and Herzegovina,2010,85.95,0.329,,,,,14.83,0.0488,,
Bosnia and Herzegovina,2015,86.06,0.3279,,,,,,,,
Botswana,1985,71.37,0.09,,,,,,,,
Botswana,1990,77.4,0.113,31.86,0.036,,,20.35,0.023,0.054,47.79
Botswana,1995,87.12,0.1434,36.33,0.0521,,,19.18,0.0275,0.0638,44.49
Botswana,2000,108.6,0.194,40.72,0.079,0.029,0.01,18.04,0.035,0.08,41.24
Botswana,2005,,,,0.0878,,,,0.0389,,
Brazil,1985,246,35.04,,,,,,,,
Brazil,1995,326.8,54.87,20.96,11.5,,,18.12,9.94,33.43,60.93
Brazil,2005,301.2,58.07,27.95,16.23,,15.3,17.46,10.14,31.7,54.59
Brazil,2010,369.7,74.83,23,17.21,,,17,12.72,44.9,60
Brunei,1990,279.4,0.076,,,,,,,,
Brunei,1995,297,0.092,,,0.0053,0.0027,,,0.0053,5.761
Brunei,2005,,,,0.1389,,,,,,
Brunei,2010,,,,0.1515,,,,,,
Bulgaria,1980,1590,14.18,,,,,,,,
Bulgaria,1985,1575,14.09,,,,,,,,
Bulgaria,1990,866,7.494,5.564,0.417,,,64.75,4.852,2.225,29.69
Bulgaria,2000,837.3,6.589,16.24,1.07,0.576,,72.48,4.776,0.743,11.28
Bulgaria,2005,819.5,6.202,,,0.7087,0.2174,,,0.8759,14.12
Bulgaria,2010,782.4,5.715,16.59,0.9483,0.3155,,66.79,3.817,0.9494,16.61
Bulgaria,2015,787.3,5.629,15.98,0.8996,,,69.3,3.901,0.8288,14.72
Burkina Faso,1985,35.63,0.29,20.69,0.06,,,0,0,0.23,79.31
Burkina Faso,1990,40.44,0.376,19.41,0.073,,,0,0,0.303,80.59
Burkina Faso,1995,,,,0.0885,,,,0.003,,
Burkina Faso,2000,58.23,0.7157,38.97,0.2789,0.4207,0.1289,2.25,0.0161,0.4207,58.78
Burkina Faso,2005,57.35,0.818,45.92,0.3756,,,2.653,0.0217,0.4207,51.43
Burundi,1985,19.57,0.1,36,0.036,,,0,0,0.064,64
Burundi,2000,40.22,0.288,17.01,0.049,0.2,0.0284,5.903,0.017,0.222,77.08
Burundi,2005,,,,0.0431,,,,0.015,,
Cambodia,1985,,,,0.026,,,,0.0052,,
Cambodia,2005,159.1,2.184,4.487,0.098,1.928,0.9186,1.511,0.033,2.053,94
Cameroon,1985,35.9,0.396,45.45,0.18,,,19.19,0.076,0.14,35.35
Cameroon,1990,31.26,0.4,46,0.184,,,19,0.076,0.14,35
Cameroon,2000,57.6,0.9664,16.67,0.1611,0.737,0.201,7.067,0.0683,0.737,76.26
Cameroon,2005,,,,0.2468,,,,0.1046,,
Canada,1985,1590,42.2,,,,,,,,
Canada,1990,1590,45.09,11.32,5.102,3.193,,79.84,36,3.991,8.851
Canada,1995,1413,42.21,12.32,5.201,3.846,,77.97,32.91,4.104,9.723
Canada,2000,,,,5.413,,,,31.57,,
Canada,2005,1253,41.32,14.23,5.878,,,80.15,33.12,2.322,5.62
Canada,2010,1113,38.8,,,4.749,2.544,,,4.749,12.24
Cape Verde,1990,71.62,,,,,,,,0.022,
Cape Verde,2000,48.31,0.022,7.273,0.0016,,,1.818,0.0004,0.02,90.91
Cape Verde,2005,,,,,0.025,0.0077,,,0.025,
Central African Republic,1985,7.052,0.0194,77.32,0.015,0.0004,0.0001,20.62,0.004,0.0004,2.062
Central African Republic,2000,17.15,0.0662,82.78,0.0548,0.0004,,16.62,0.011,0.0004,0.6042
Central African Republic,2005,17.25,0.0725,82.9,0.0601,0.0004,,16.55,0.012,0.0004,0.5517
Chad,1985,33.46,0.181,16.02,0.029,,,2.21,0.004,0.148,81.77
Chad,2000,94.33,0.8492,10.42,0.0885,0.6722,0.206,10.42,0.0885,0.6722,79.16
Chad,2005,81.6,0.8796,11.79,0.1037,0.6722,,11.79,0.1037,0.6722,76.42
Chile,1975,,,,1.008,,,,0.84,,
Chile,1990,1496,20.29,5.397,1.095,,,10.9,2.211,,
Chile,2000,,,,1.043,,,,2.324,,
Chile,2005,2152,35.43,3.576,1.267,16.64,,13.39,4.744,29.42,83.04
China,1980,431.1,443.7,1.526,6.769,,,10.31,45.73,391.2,88.17
China,1985,430.2,481.1,6.171,29.69,,,7.518,36.17,415.2,86.3
China,1990,411.4,500,7,35,,,10,50,415,83
China,1995,411.9,525.4,4.789,25.16,,,17.62,92.55,407.7,77.6
China,2000,418.4,549.8,10.46,57.5,,,20.72,113.9,378.4,68.83
China,2005,423.2,571.3,12.43,71,,256.9,24.56,140.3,360,63.01
China,2010,435.2,603.3,12.08,72.9,,,23.6,142.4,388,64.31
China,2015,425,598.1,13.28,79.4,,,22.32,133.5,385.2,64.4
Colombia,1995,,,,,,,,,3.308,
Colombia,2000,186.3,7.746,31.85,2.467,,,4.635,0.359,4.92,63.52
Colombia,2010,251.1,11.77,26.63,3.134,5.867,2.273,19.05,2.242,6.391,54.3
Comoros,2000,17.38,0.01,48,0.0048,,,5,0.0005,0.0047,47
Congo,1985,18.17,0.04,62,0.0248,,,27,0.0108,0.0044,11
Congo,1995,,,,,,0.0011,,,,
Congo,2000,14.12,0.046,69.57,0.032,,,21.74,0.01,0.004,8.696
Congo,2005,,,,0.0637,,,,0.024,,
Costa Rica,1995,,,,0.757,,,,,,
Costa Rica,2015,488.8,2.35,32.34,0.76,1.11,,11.06,0.26,1.33,56.6
Cote d'Ivoire,1985,64.81,0.709,22,0.156,,,11,0.078,0.475,67
Cote d'Ivoire,1990,84.31,1.1,,,,,,,,
Cote d'Ivoire,1995,80.54,1.232,13.15,0.162,,,21.92,0.27,0.8,64.94
Cote d'Ivoire,2000,81.99,1.409,38.27,0.5392,,,19.13,0.2696,0.6,42.58
Cote d'Ivoire,2005,82.12,1.549,41.05,0.6359,0.5953,,20.53,0.318,0.5953,38.43
Cote d'Ivoire,2010,,,,,0.5953,0.1432,,,0.5953,
Croatia,2000,,,,,,,,0.0628,0.0059,
Croatia,2005,,,,,0.0032,,,,0.0032,
Croatia,2010,156.1,0.6693,76.65,0.513,0.0084,,22.07,0.1477,0.0086,1.285
Croatia,2015,149.5,0.6338,80.14,0.5079,,,19.88,0.126,,
Cuba,1975,,,,0.729,,,,0.162,,
Cuba,1995,473.7,5.211,34.16,1.78,,,14.68,0.765,2.666,51.16
Cuba,2005,437.5,4.937,34.43,1.7,,0.6854,15.41,0.7607,2.476,50.15
Cuba,2010,,,,,,,,,3.569,
Cuba,2015,611,6.959,24.43,1.7,,,10.63,0.74,4.519,64.94
Cyprus,1975,232.9,0.155,16.13,0.025,,,0,0,0.13,83.87
Cyprus,1980,255.9,0.177,20.9,0.037,,,0,0,0.14,79.1
Cyprus,1985,276.5,0.2,22.5,0.045,,,0,0,0.155,77.5
Cyprus,1990,282.3,0.226,24.34,0.055,,,2.212,0.005,0.166,73.45
Cyprus,1995,236.9,0.211,23.7,0.05,,,2.37,0.005,0.156,73.93
Cyprus,2000,214.5,0.2102,21.93,0.0461,0.1596,,1.665,0.0035,0.1606,76.4
Cyprus,2005,203.8,0.2166,30.29,0.0656,0.142,0.0921,3.693,0.008,0.143,66.02
Cyprus,2010,226.6,0.2558,30.81,0.0788,0.17,,2.346,0.006,0.171,66.85
Cyprus,2015,219.1,0.2553,32.94,0.0841,0.1666,,,,0.1676,65.65
Czech Republic,1995,241.7,2.493,38.45,0.9585,0.014,,60.73,1.514,0.02,0.8022
Czech Republic,2000,186.6,1.908,,,0.0113,,,,0.0187,0.9801
Czech Republic,2005,190.6,1.969,,,0.0088,0.0029,,,0.0298,1.513
Czech Republic,2010,174.6,1.841,,,0.0253,,,,0.0432,2.347
Czech Republic,2015,156.5,1.65,,,0.0139,,,,0.044,2.667
Democratic Republic of Congo,1990,,,,0.216,,,,0.058,,
Democratic Republic of Congo,1995,,,,,,,,,0.083,
Democratic Republic of Congo,2000,11.46,0.5841,66.65,0.3893,0.0719,0.0196,21.04,0.1229,0.0719,12.31
Democratic Republic of Congo,2005,11.42,0.6836,68.01,0.4649,0.0719,,21.47,0.1468,0.0719,10.52
Denmark,1970,144.3,0.72,63.89,0.46,0.105,,11.11,0.08,0.18,25
Denmark,1975,236.5,1.205,58.09,0.7,0.09,,3.734,0.045,0.46,38.17
Denmark,1980,235.2,1.205,58.09,0.7,0.09,,3.734,0.045,0.46,38.17
Denmark,1985,333.3,1.705,39.57,0.6746,0.59,,19.35,0.33,0.7,41.06
Denmark,1990,243.9,1.261,45.28,0.571,0.365,,17.84,0.225,0.465,36.88
Denmark,1995,176.7,0.9325,,,,,,,0.369,39.57
Denmark,2000,124.4,0.6679,66,0.4408,,,9.268,0.0619,0.1652,24.73
Denmark,2005,104.4,0.5708,72,0.411,0.085,0.0509,7.411,0.0423,0.1175,20.59
Denmark,2010,116.4,0.652,55.21,0.36,0.097,,19.63,0.128,0.164,25.15
Djibouti,1985,16.47,0.008,12.5,0.001,,,0,0,0.007,87.5
Djibouti,2000,25.49,0.019,84.21,0.016,0.0025,0.0008,0,0,0.003,15.79
Dominica,1995,234.6,0.0166,,,,,,,,
Dominica,2000,237.8,0.0166,,,,,,,,
Dominica,2005,234.5,0.0166,,,,,,,,
Dominica,2010,279,0.02,95,0.019,,,0,0,0.001,5
Dominican Republic,2000,550.8,4.865,12.33,0.6,4,,1.336,0.065,4.2,86.33
Dominican Republic,2005,575.5,5.47,13.24,0.724,3.949,1.136,4.735,0.259,4.487,82.03
Dominican Republic,2010,704.7,7.156,11.95,0.855,4.879,,8.189,0.586,5.715,79.86
Ecuador,2000,716.7,9.369,9.684,0.9073,8.076,3.129,4.111,0.3852,8.076,86.2
Ecuador,2005,698.2,9.918,13.04,1.293,8.076,,5.535,0.549,8.076,81.43
Egypt,1975,1194,48.2,,,,,,,,
Egypt,1995,909.1,58.87,6.334,3.729,,,7.523,4.429,50.71,86.14
Egypt,2000,963.2,68.3,7.76,5.3,,45.11,5.857,4,59,86.38
Egypt,2010,910.6,78,11.54,9,,,2.564,2,67,85.9
El Salvador,1990,135.2,0.729,33.74,0.246,,,20.16,0.147,0.336,46.09
El Salvador,2000,234.3,1.376,27.54,0.379,,,17.22,0.2369,0.76,55.23
El Salvador,2005,353.8,2.118,22.38,0.474,1.389,,10.06,0.213,1.431,67.56
Equatorial Guinea,1985,29.13,0.01,81,0.0081,,,13,0.0013,0.0006,6
Equatorial Guinea,2000,30.65,0.0174,79.31,0.0138,,,14.94,0.0026,0.001,5.747
Equatorial Guinea,2005,,,,0.0158,,,,0.003,,
Eritrea,1995,,,,,,0.043,,,,
Eritrea,2000,109.1,0.4134,14.93,0.0617,,,14.93,0.0617,0.29,70.15
Eritrea,2005,132.1,0.582,5.326,0.031,,,0.1718,0.001,0.55,94.5
Estonia,1990,1729,2.63,,,,,85.67,2.253,,
Estonia,1995,963.1,1.358,6.48,0.088,,,92.93,1.262,0.008,0.5891
Estonia,2000,1022,1.413,6.03,0.0852,,,,,0.03,2.123
Estonia,2005,1365,1.834,,,,,,,0.0076,0.4144
Estonia,2010,1232,1.631,,,0.0001,0.00004,,,0.0045,0.2759
Estonia,2015,1310,1.72,3.488,0.06,,,96.22,1.655,0.005,0.2907
Ethiopia,2000,78.96,5.558,5.991,0.333,,1.475,0.3778,0.021,5.204,93.63
Ethiopia,2005,97.18,7.861,10.3,0.81,,,0.65,0.0511,7,89.05
Ethiopia,2015,106.1,10.55,,,9,,,,9.687,91.82
Fiji,1985,41.57,0.03,20,0.006,,,20,0.006,0.018,60
Fiji,2000,100.2,0.0817,28.03,0.0229,,,10.77,0.0088,0.05,61.2
Fiji,2005,101.7,0.0849,29.8,0.0253,,,11.31,0.0096,0.05,58.89
Finland,1970,710.4,3.3,,,,,,,,
Finland,1975,749.1,3.55,,,,,,,,
Finland,1980,766.7,3.7,,,,,,,,
Finland,1985,810.2,4,,,,,,,,
Finland,1990,466.1,2.347,18.07,0.424,0.02,,81.08,1.903,0.02,0.8522
Finland,1995,503,2.586,15.93,0.412,0.04,,82.13,2.124,0.05,1.933
Finland,2000,447.6,2.328,17.35,0.404,0.04,,,,0.05,2.148
Finland,2005,1241,6.562,6.239,0.4094,0.04,,,,0.05,0.762
Finland,2010,,,,0.4,,0.028,,,,
Finland,2015,,,,0.415,,,,,,
France,1980,568,30.97,,,,,,,,
France,1985,623,34.89,16.92,5.904,,,70.25,24.51,,
France,1990,682.1,39.22,15.25,5.982,4.919,,72.21,28.32,4.919,12.54
France,1995,517.3,30.34,19.41,5.89,,,69.55,21.1,3.35,11.04
France,2000,538.8,32.37,18.43,5.966,4.291,,68.3,22.11,4.291,13.26
France,2005,506.9,31.41,18.09,5.683,3.933,2.351,69.37,21.79,3.933,12.52
France,2010,475.6,30.23,18.13,5.481,3.143,,71.49,21.61,3.143,10.4
Gabon,1985,68.42,0.06,72,0.0432,,,22,0.0132,0.0036,6
Gabon,2000,93.33,0.1203,57.02,0.0686,0.0403,0.011,9.476,0.0114,0.0403,33.5
Gabon,2005,96.53,0.1391,60.89,0.0847,0.0403,,10.14,0.0141,0.0403,28.97
Gambia,1980,30.85,0.02,7,0.0014,,,2,0.0004,0.0182,91
Gambia,2000,69.19,0.0905,37.46,0.0339,0.0392,0.012,19.23,0.0174,0.0392,43.31
Gambia,2005,,,,0.0412,,,,0.0212,,
Georgia,2000,,,,0.336,,,,0.1952,,
Georgia,2005,413.4,1.813,19.75,0.358,0.867,0.248,22.06,0.4,1.055,58.19
Georgia,2010,440.4,1.823,,,,,,,,
Germany,1990,577.8,46.27,,,,,,,1.6,3.458
Germany,1995,551.3,45.2,12.83,5.8,,,83.63,37.8,1.6,3.54
Germany,2000,479.2,39.15,13.82,5.409,0.1424,,83.27,32.6,1.14,2.912
Germany,2005,399.5,32.3,,,0.0944,0.0479,,,0.1317,0.4077
Germany,2010,410.5,33.04,,,0.1796,,,,0.2109,0.6383
Ghana,1970,33.03,0.3,35,0.105,,,13,0.039,0.156,52
Ghana,2000,49.63,0.982,23.93,0.235,,,9.674,0.095,0.652,66.4
Ghana,2010,,,,0.255,,0.162,,,,
Ghana,2015,,,,0.251,,,,,,
Greece,1970,480.4,4.254,,,2.425,,,,2.425,57.01
Greece,1975,462,4.276,13.68,0.585,3.576,,2.685,0.1148,3.576,83.63
Greece,1980,515.8,5.04,,,,,,,,
Greece,1985,550.7,5.496,11.94,0.656,4.6,,4.367,0.24,4.6,83.7
Greece,1990,778.8,8.038,,,7.9,,,,7.9,98.28
Greece,1995,805.2,8.695,9.907,0.8614,7.6,,2.69,0.2339,7.6,87.41
Greece,2000,840.9,9.259,,,8.42,,,,8.42,90.94
Greece,2005,865.2,9.63,8.787,0.8462,8.458,5.441,3.38,0.3255,8.458,87.83
Greece,2010,,,,1.293,7.868,,,,7.918,
Grenada,1995,,,,,0.0022,0.0006,,,0.0022,
Grenada,2005,96.53,0.01,,,,,,,,
Grenada,2015,132,0.0141,85.11,0.012,0.0021,,0,0,0.0021,14.89
Guatemala,1990,,,,0.104,,,,0.197,,
Guatemala,2000,,,,0.4298,,,,,1.472,
Guatemala,2005,240.9,3.324,25.12,0.835,,0.4389,18.14,0.6031,1.886,56.74
Guinea,1985,137.7,0.74,10,0.074,,,2.973,0.022,0.644,87.03
Guinea,2000,60.71,0.5533,37.65,0.2083,0.2929,0.0705,9.416,0.0521,0.2929,52.94
Guinea,2005,,,,0.2248,,,,0.0562,,
Guinea-Bissau,1990,15.02,0.0166,60.24,0.01,,,3.614,0.0006,0.006,36.14
Guinea-Bissau,1995,141.8,0.175,13.14,0.023,,0.0263,4.571,0.008,0.144,82.29
Guinea-Bissau,2000,127.6,0.175,13.14,0.023,,,4.571,0.008,0.144,82.29
Guinea-Bissau,2005,,,,0.0341,,,,0.0119,,
Guyana,1990,2035,1.46,1.027,0.015,,,0.4795,0.007,1.438,98.49
Guyana,2000,2207,1.64,1.829,0.03,,,0.6098,0.01,1.6,97.56
Guyana,2005,,,,0.0613,,,,0.0204,,
Guyana,2010,1905,1.445,4.242,0.0613,1.363,0.5278,1.412,0.0204,1.363,94.33
Haiti,1990,132.7,0.9799,5.092,0.0499,,,0.5511,0.0054,0.9246,94.36
Haiti,1995,158.4,1.285,8.638,0.111,,,0.358,0.0046,1.169,90.97
Haiti,2010,140.9,1.45,13.1,0.19,1.209,0.348,3.517,0.051,1.209,83.38
Honduras,1990,,,,0.061,,,,0.076,,
Honduras,2005,225.3,1.607,19.6,0.315,1.153,,7.094,0.114,1.178,73.3
Hungary,1970,286.1,2.98,21.74,0.648,0.4052,,55.94,1.667,0.665,22.32
Hungary,1975,372.3,3.965,19.25,0.7631,0.5115,,58.31,2.312,0.8903,22.45
Hungary,1980,448.2,4.805,,,,,,,,
Hungary,1985,605.9,6.351,8.999,0.5715,,,55,3.493,2.286,35.99
Hungary,1990,688.6,7.137,13.79,0.9841,0.433,,72.92,5.204,0.949,13.3
Hungary,1995,582.9,6.01,13.79,0.8288,0.1624,,78.64,4.726,0.4556,7.581
Hungary,2000,562.5,5.72,14.53,0.8311,0.1737,,73.58,4.209,0.6796,11.88
Hungary,2005,554.8,5.584,14.2,0.793,0.0396,0.0253,80.34,4.486,0.3054,5.469
Hungary,2010,507.2,5.051,14.18,0.716,,,79.45,4.013,0.322,6.375
Hungary,2015,,,,0.5945,0.2322,,,,,
Iceland,1980,463.3,0.108,87.04,0.094,,,9.259,0.01,0.004,3.704
Iceland,1985,453.6,0.112,87.5,0.098,,,8.929,0.01,0.004,3.571
Iceland,1990,642.6,0.167,52.1,0.087,,,5.988,0.01,0.07,41.92
Iceland,2000,575.1,0.165,49.09,0.081,0,,8.485,0.014,0.07,42.42
Iceland,2005,540.3,0.165,49.09,0.081,0,,8.485,0.014,0.07,42.42
Iceland,2010,11042,3.571,2.632,0.094,,,5.601,0.2,0.0003,0.0084
Iceland,2015,844.9,0.2783,28.75,0.08,,,71.15,0.198,0.0003,0.1078
India,1975,583.8,380,3,11.4,,,4,15.2,353.4,93
India,1980,600.2,438.3,3.206,14.05,,,2.875,12.6,411.7,93.93
India,1985,608.6,497.4,3.691,18.36,,,2.211,11,468,94.09
India,1990,551.6,500,5,25,,,3,15,460,92
India,2000,559.9,610.4,6.881,42,,,1.638,10,558.4,91.48
India,2005,,,,,,370.8,,,,
India,2010,602.3,761,7.359,56,,,2.234,17,688,90.41
Indonesia,1990,395.9,74.34,6.361,4.729,,,0.5058,0.376,69.24,93.14
Indonesia,2000,521.2,113.3,11.59,13.13,,,6.53,7.398,92.76,81.87
Indonesia,2005,,,,13.99,,47.42,,24.65,,
Iran,1975,1293,45,,,,,,,,
Iran,1995,1330,83,7.229,6,,,1.205,1,76,91.57
Iran,2000,1325,89.7,5.491,4.925,,,1.143,1.025,83.75,93.37
Iran,2005,1301,93.3,6.645,6.2,,49.19,1.179,1.1,86,92.18
Iraq,1975,3255,40.56,1.43,0.58,,,1.109,0.45,39.53,97.46
Iraq,1980,2826,40.8,1.752,0.715,,,0.7598,0.31,39.77,97.48
Iraq,1985,2517,41.02,2.072,0.85,,,0.4144,0.17,40,97.51
Iraq,1990,2317,42.8,2.991,1.28,,,5,2.14,39.38,92.01
Iraq,1995,2528,54.4,5.129,2.79,,,10.88,5.92,45.69,83.99
Iraq,2000,2646,66,6.515,4.3,,,14.7,9.7,52,78.79
Iraq,2010,,,,,,15.02,,,,
Ireland,1970,,,,,,,,,0.179,
Ireland,1980,305.6,1.07,38.6,0.413,,,49.25,0.527,0.13,12.15
Ireland,1995,317.3,1.176,39.97,0.47,,,44.81,0.527,0.179,15.22
Ireland,2000,,,,0.58,0.0033,0.002,,,,
Ireland,2005,166.3,0.73,93.01,0.679,,,6.986,0.051,,
Ireland,2010,162.2,0.757,82.96,0.628,,,,,,
Israel,1970,515.5,1.564,15.35,0.24,,,4.795,0.075,1.249,79.86
Israel,1975,464.4,1.632,18.84,0.3075,,,5.055,0.0825,1.242,76.1
Israel,1980,437.7,1.7,22.06,0.375,,,5.294,0.09,1.235,72.65
Israel,1985,450.7,1.9,,,,,,,,
Israel,1990,375.3,1.804,26.72,0.482,,,5.876,0.106,1.216,67.41
Israel,1995,321.8,1.812,,,,,,,,
Israel,2000,293.4,1.831,37.58,0.688,,,6.663,0.122,1.021,55.76
Israel,2005,282.3,1.954,36.44,0.712,,0.5562,5.783,0.113,1.129,57.78
Israel,2010,,,,,,,,,1.016,
Italy,1970,766.7,41.6,16.83,7,,,21.63,9,25.6,61.54
Italy,1975,,,,7.434,,,,12.09,,
Italy,1980,,,,7.868,,,,15.17,,
Italy,1985,,,,7.184,,,,13.84,,
Italy,1990,,,,6.5,,,,12.5,,
Italy,2000,787.6,45.41,20.06,9.111,,,35.87,16.29,20.01,44.07
Italy,2005,,,,8.942,12.89,8.022,,,12.89,
Italy,2010,899.8,53.75,17.58,9.451,,,,,,
Jamaica,1995,366.1,0.928,18,0.167,,,7.004,0.065,0.696,75
