Entity,Year,Total government spending (%GDP) (IFPRI (2015) and SPEED),Total government spending (per capita) (IFPRI (2015) and SPEED),Total government spending (regional averages) (IFPRI (2015) and SPEED)
Azerbaijan,2010,29.26,3,
Azerbaijan,2011,30.78,3,
Azerbaijan,2012,33.9,4,
Bahamas,1980,15.68,2,
Bahamas,1981,16.27,2,
Bahamas,1982,17.58,3,
Bahamas,1983,18.94,3,
Bahamas,1984,18.26,3,
Bahamas,1985,18.91,3,
Bahamas,1986,19.03,3,
Bahamas,1987,17.8,3,
Bahamas,1988,16.55,3,
Bahamas,1989,16.21,3,
Bahamas,1990,15.07,3,
Bahamas,1991,15.64,3,
Bahamas,1992,16.28,3,
Bahamas,1993,16.11,2,
Bahamas,1994,15.9,2,
Bahamas,1995,16.42,3,
Bahamas,1996,15.81,3,
Bahamas,1997,16.87,3,
Bahamas,1998,14.65,3,
Bahamas,1999,14.69,3,
Bahamas,2000,14.5,3,
Bahamas,2001,14.67,3,
Bahamas,2002,14.63,3,
Bahamas,2003,15.36,3,
Bahamas,2004,15.78,3,
Bahamas,2005,15.75,3,
Bahamas,2006,16.63,3,
Bahamas,2007,17.03,3,
Bahamas,2008,18.38,3,
Bahamas,2009,20.23,4,
Bahamas,2010,19.97,3,
Bahrain,1980,23.16,10,
Bahrain,1981,23.18,9,
Bahrain,1982,25.66,10,
Bahrain,1983,28.34,12,
Bahrain,1984,27.16,11,
Bahrain,1985,27.51,9,
Bahrain,1986,32.3,11,
Bahrain,1987,28.08,9,
Bahrain,1988,26.92,9,
Bahrain,1989,27.14,9,
Bahrain,1990,27.39,9,
Bahrain,1991,26.52,8,
Bahrain,1992,27.02,9,
Bahrain,1993,26.66,9,
Bahrain,1994,25.51,9,
Bahrain,1995,22.77,8,
Bahrain,1996,21.6,8,
Bahrain,1997,22.33,8,
Bahrain,1998,24.28,9,
Bahrain,1999,24.21,9,
Bahrain,2000,22.32,8,
Bahrain,2001,24,9,
Bahrain,2002,28.15,10,
Bahrain,2003,24.71,9,
Bahrain,2004,21.71,8,
Bahrain,2005,21.69,8,
Bahrain,2006,22.67,8,
Bahrain,2007,21.78,8,
Bahrain,2008,22.44,8,
Bahrain,2009,24.42,8,
Bahrain,2010,27.57,9,
Bahrain,2011,26.57,9,
Bangladesh,1980,6.87,66.29,
Bangladesh,1981,9.43,91.56,
Bangladesh,1982,8.83,84.51,
Bangladesh,1983,7.47,73.04,
Bangladesh,1984,7.25,72.82,
Bangladesh,1985,8.34,83.99,
Bangladesh,1986,10.84,110.88,
Bangladesh,1987,10.56,109.57,
Bangladesh,1988,12.16,126.44,
Bangladesh,1989,12.83,133.34,
Bangladesh,1990,12.49,135,
Bangladesh,1991,11.59,126.52,
Bangladesh,1992,12.4,137.99,
Bangladesh,1993,13.18,150.1,
Bangladesh,1994,14.12,163.86,
Bangladesh,1995,12.47,148.63,
Bangladesh,1996,12.06,147.27,
Bangladesh,1997,11.67,147.19,
Bangladesh,1998,11.06,143.78,
Bangladesh,1999,10.55,141.07,
Bangladesh,2000,10.21,142.06,
Bangladesh,2001,9.96,143.3,
Bangladesh,2002,9.85,145.52,
Bangladesh,2003,10.04,153.7,
Bangladesh,2004,9.89,158.61,
Bangladesh,2005,10.56,176.99,
Bangladesh,2006,10.64,187.81,
Bangladesh,2007,10.57,197.63,
Bangladesh,2008,10.96,215.41,
Bangladesh,2009,11.53,237.07,
Bangladesh,2010,11.17,240.44,
Bangladesh,2011,11.75,267.2,
Barbados,1980,26.18,3,
Barbados,1981,27.96,3,
Barbados,1982,26.02,2,
Barbados,1983,25.66,2,
Barbados,1984,26.13,2,
Barbados,1985,28.18,3,
Barbados,1986,26.52,3,
Barbados,1987,29.46,3,
Barbados,1988,29.44,3,
Barbados,1989,28.25,3,
Barbados,1990,29.28,3,
Barbados,1991,30.71,3,
Barbados,1992,33.04,3,
Barbados,1993,32.57,3,
Barbados,1994,32.21,3,
Barbados,1995,31.88,3,
Barbados,1996,31.06,3,
Barbados,1997,30.59,3,
Barbados,1998,28.27,3,
Barbados,1999,28.05,3,
Barbados,2000,28.39,3,
Barbados,2001,29.56,3,
Barbados,2002,30.57,3,
Barbados,2003,30.54,3,
Barbados,2004,30.08,3,
Barbados,2005,29.7,4,
Barbados,2006,28.28,4,
Barbados,2007,36.17,5,
Barbados,2008,34.93,5,
Barbados,2009,34.78,4,
Barbados,2010,36.73,5,
Belarus,1992,23.22,1,
Belarus,1993,24.42,1,
Belarus,1994,25.57,1,
Belarus,1995,21.07,928.39,
Belarus,1996,19.2,840.46,
Belarus,1997,21.11,1,
Belarus,1998,22.7,1,
Belarus,1999,23.7,1,
Belarus,2000,21.05,1,
Belarus,2001,20.13,1,
Belarus,2002,17.65,1,
Belarus,2003,23.18,1,
Belarus,2004,24.35,1,
Belarus,2005,26.64,2,
Belarus,2006,28.42,2,
Belarus,2007,31.13,3,
Belarus,2008,30.56,3,
Belarus,2009,27.56,3,
Belarus,2010,24.21,3,
Belarus,2011,19.89,2,
Belarus,2012,21.62,2,
Belgium,1980,43.86,9,
Belgium,1981,47.97,9,
Belgium,1982,48.04,10,
Belgium,1983,48.71,10,
Belgium,1984,47.9,10,
Belgium,1985,47.4,10,
Belgium,1986,47.06,10,
Belgium,1987,45.37,10,
Belgium,1988,43.38,10,
Belgium,1989,42.5,10,
Belgium,1990,52.31,13,
Belgium,1991,53.52,13,
Belgium,1992,53.79,13,
Belgium,1993,54.9,13,
Belgium,1994,52.59,13,
Belgium,1995,52.1,13,
Belgium,1996,52.42,14,
Belgium,1997,51.16,14,
Belgium,1998,50.36,14,
Belgium,1999,50.12,14,
Belgium,2000,49.08,14,
Belgium,2001,49.11,14,
Belgium,2002,49.77,15,
Belgium,2003,51.04,15,
Belgium,2004,49.17,15,
Belgium,2005,51.87,16,
Belgium,2006,48.48,15,
Belgium,2007,48.24,16,
Belgium,2008,49.8,16,
Belgium,2009,53.73,17,
Belgium,2010,52.53,17,
Belgium,2011,53.36,17,
Belgium,2012,54.98,18,
Belize,1990,28.22,1,
Belize,1991,32.23,1,
Belize,1992,35.52,1,
Belize,1993,32.32,1,
Belize,1994,31.59,1,
Belize,1995,26.09,1,
Belize,1996,24.78,1,
Belize,1997,27.68,1,
Belize,1998,29.51,1,
Belize,1999,30.79,1,
Belize,2000,29.76,1,
Belize,2001,30.95,2,
Belize,2002,31.31,2,
Belize,2003,31.72,2,
Belize,2004,31.79,2,
Belize,2005,28.41,2,
Belize,2006,29.73,2,
Belize,2007,29.31,2,
Belize,2008,27.86,2,
Belize,2009,27.97,2,
Belize,2010,29.06,2,
Belize,2011,29.52,2,
Belize,2012,27.28,2,
Benin,1980,20.22,230.36,
Benin,1981,20.21,236.63,
Benin,1982,24.87,313.53,
Benin,1983,26.85,314.76,
Benin,1984,26.32,323.48,
Benin,1985,23.73,304.65,
Benin,1986,23.78,302.83,
Benin,1987,23.94,291.54,
Benin,1988,22.3,271.56,
Benin,1989,20.12,235.62,
Benin,1990,20.74,242.14,
Benin,1991,19.03,223.37,
Benin,1992,19.2,223.68,
Benin,1993,17.95,213.21,
Benin,1994,19.69,230.17,
Benin,1995,20.22,251.65,
Benin,1996,18.19,228.88,
Benin,1997,17.76,229.38,
Benin,1998,15.42,201.27,
Benin,1999,16.54,220.77,
Benin,2000,19.4,263.47,
Benin,2001,18.09,252.85,
Benin,2002,19.42,274.18,
Benin,2003,21.2,300.85,
Benin,2004,20.04,283.64,
Benin,2005,21.32,300.61,
Benin,2006,19.62,278.13,
Benin,2007,22.49,323.46,
Benin,2008,21.54,315.71,
Benin,2009,25.5,372.51,
Benin,2010,20.99,305.59,
Benin,2011,21.23,310.1,
Benin,2012,20.99,315.42,
Bhutan,1980,27.5,271.48,
Bhutan,1981,29.6,317,
Bhutan,1982,33.9,362.33,
Bhutan,1983,40.43,456.28,
Bhutan,1984,39.51,461.9,
Bhutan,1985,51.56,619.84,
Bhutan,1986,41.42,550.89,
Bhutan,1987,42.24,713.17,
Bhutan,1988,44.02,763.93,
Bhutan,1989,37.29,680.18,
Bhutan,1990,37.06,744.01,
Bhutan,1991,33.05,669.45,
Bhutan,1992,35.16,747.66,
Bhutan,1993,35.6,785.9,
Bhutan,1994,35.5,842.01,
Bhutan,1995,38.99,992.23,
Bhutan,1996,38.34,1,
Bhutan,1997,35.79,1,
Bhutan,1998,30.86,895.61,
Bhutan,1999,42.1,1,
Bhutan,2000,42.23,1,
Bhutan,2001,47.67,1,
Bhutan,2002,37.46,1,
Bhutan,2003,34.14,1,
Bhutan,2004,30.78,1,
Bhutan,2005,29.89,1,
Bhutan,2006,31.76,1,
Bhutan,2007,30.06,1,
Bhutan,2008,34.77,1,
Bhutan,2009,33.19,1,
Bolivia,1980,14.63,607.96,
Bolivia,1981,13.55,554.81,
Bolivia,1982,22.39,856.38,
Bolivia,1983,10.87,387.91,
Bolivia,1984,29.67,1,
Bolivia,1985,17.74,594.49,
Bolivia,1986,11.32,361.31,
Bolivia,1987,9.92,317.5,
Bolivia,1988,14.02,451.13,
Bolivia,1989,15.19,495.68,
Bolivia,1990,10.39,346.33,
Bolivia,1991,10.61,363.73,
Bolivia,1992,12.83,436.59,
Bolivia,1993,15.25,528.49,
Bolivia,1994,14.71,521.38,
Bolivia,1995,13.64,494.49,
Bolivia,1996,14.13,522.82,
Bolivia,1997,16.78,637.69,
Bolivia,1998,16.66,651.15,
Bolivia,1999,17.76,682.64,
Bolivia,2000,18,694.81,
Bolivia,2001,20.26,779.04,
Bolivia,2002,27.1,1,
Bolivia,2003,27.21,1,
Bolivia,2004,26.31,1,
Bolivia,2005,25.89,1,
Bolivia,2006,23.2,975.11,
Bolivia,2007,21.19,916.22,
Botswana,1980,39.53,1,
Botswana,1981,36.81,1,
Botswana,1982,42.4,1,
Botswana,1983,39.48,1,
Botswana,1984,41.79,1,
Botswana,1985,40.34,1,
Botswana,1986,43.23,2,
Botswana,1987,45.17,2,
Botswana,1988,44.95,2,
Botswana,1989,30.37,2,
Botswana,1990,34.21,2,
Botswana,1991,34.42,2,
Botswana,1992,37.38,2,
Botswana,1993,39.67,2,
Botswana,1994,35.14,2,
Botswana,1995,36.3,2,
Botswana,1996,35.77,2,
Botswana,1997,41.04,3,
Botswana,1998,44.78,3,
Botswana,1999,41.11,3,
Botswana,2000,39.07,3,
Botswana,2001,42.63,3,
Botswana,2002,45.65,4,
Botswana,2003,43.77,4,
Botswana,2004,41.35,4,
Botswana,2005,34.74,3,
Botswana,2006,33.39,3,
Botswana,2007,36.96,4,
Botswana,2008,46.33,5,
Botswana,2009,54.61,6,
Botswana,2010,40.61,4,
Botswana,2011,37.95,4,
Botswana,2012,39.38,5,
Brazil,1990,26.51,2,
Brazil,1991,12.36,1,
Brazil,1992,16.26,1,
Brazil,1993,22.43,2,
Brazil,1994,19.86,1,
Brazil,1995,18.21,1,
Brazil,1996,17.42,1,
Brazil,1997,17.69,1,
Brazil,1998,18.71,1,
Brazil,1999,18.83,1,
Brazil,2000,19.46,1,
Brazil,2001,20.28,1,
Brazil,2002,20.56,2,
Brazil,2003,20.17,1,
Brazil,2004,20.17,2,
Brazil,2005,21.47,2,
Brazil,2006,22.25,2,
Brazil,2007,22.67,2,
Brazil,2008,22.76,2,
Brazil,2009,23.58,2,
Brazil,2010,23.04,2,
Brazil,2011,23.37,2,
Brazil,2012,24.63,3,
Bulgaria,1991,28.31,2,
Bulgaria,1992,28.66,1,
Bulgaria,1993,35.14,2,
Bulgaria,1994,36.53,2,
Bulgaria,1995,32.88,2,
Bulgaria,1996,38.9,2,
Bulgaria,1997,24.84,1,
Bulgaria,1998,21.4,1,
Bulgaria,1999,22.04,1,
Bulgaria,2000,26.47,1,
Bulgaria,2001,27.45,1,
Bulgaria,2002,26.79,1,
Bulgaria,2003,27.61,2,
Bulgaria,2004,29.23,2,
Bulgaria,2005,27.31,2,
Bulgaria,2006,27.76,2,
Bulgaria,2007,29.84,2,
Bulgaria,2008,29.77,3,
Bulgaria,2009,30.38,3,
Bulgaria,2010,31.3,3,
Bulgaria,2011,37.8,3,
Bulgaria,2012,38.17,4,
Burkina Faso,1980,24.17,186.39,
Burkina Faso,1981,24.34,196.09,
Burkina Faso,1982,27.37,218.24,
Burkina Faso,1983,28.81,213.22,
Burkina Faso,1984,27.83,196.51,
Burkina Faso,1985,14.18,105.87,
Burkina Faso,1986,18.04,141.68,
Burkina Faso,1987,19.83,151.42,
Burkina Faso,1988,18.27,143.74,
Burkina Faso,1989,15.34,120.08,
Burkina Faso,1990,17.54,132.87,
Burkina Faso,1991,19.05,153.27,
Burkina Faso,1992,18.41,144.56,
Burkina Faso,1993,20.2,159.69,
Burkina Faso,1994,21.64,168.68,
Burkina Faso,1995,20.72,166.08,
Burkina Faso,1996,20.83,180.35,
Burkina Faso,1997,22.57,201.99,
Burkina Faso,1998,20.84,194.65,
Burkina Faso,1999,23.28,224.56,
Burkina Faso,2000,22.3,213.03,
Burkina Faso,2001,18.41,182.2,
Burkina Faso,2002,21.83,219.04,
Burkina Faso,2003,19.78,207.81,
Burkina Faso,2004,22.83,243.35,
Burkina Faso,2005,22.17,249.39,
Burkina Faso,2006,24.6,285.57,
Burkina Faso,2007,25.75,302.07,
Burkina Faso,2008,20.86,251.49,
Burkina Faso,2009,24.26,292.45,
Burkina Faso,2010,25.37,322.07,
Burkina Faso,2011,23.99,310.9,
Burkina Faso,2012,26.64,356.52,
Burundi,1991,24.27,231.21,
Burundi,1992,26.02,246.65,
Burundi,1993,28.22,243.66,
Burundi,1994,23.57,193.71,
Burundi,1995,24.61,185.16,
Burundi,1996,20.82,141.2,
Burundi,1997,19.73,132.71,
Burundi,1998,20.82,144.6,
Burundi,1999,19.9,134.8,
Burundi,2000,28.76,189.33,
Burundi,2001,36.97,242.49,
Burundi,2002,44.42,295.87,
Burundi,2003,49.03,312.54,
Burundi,2004,49.75,320.28,
Burundi,2005,34.68,213.86,
Burundi,2006,36.2,227.35,
Burundi,2007,36.07,232.69,
Burundi,2008,30.57,216.4,
Burundi,2009,28.99,255.49,
Burundi,2010,27.07,239.52,
Burundi,2011,27.95,248.83,
Burundi,2012,34.77,315.35,
Cameroon,1980,11.84,319.82,
Cameroon,1981,16.43,462.15,
Cameroon,1982,16.24,476.2,
Cameroon,1983,16.46,507.94,
Cameroon,1984,21.54,696.44,
Cameroon,1985,21.47,689.52,
Cameroon,1986,21.1,649.25,
Cameroon,1987,22.46,606.87,
Cameroon,1988,22.38,564.72,
Cameroon,1989,21.9,519.21,
Cameroon,1990,20.63,472.13,
Cameroon,1991,20.49,438.22,
Cameroon,1992,18.1,364.43,
Cameroon,1993,14.42,273.27,
Cameroon,1994,12.23,225.01,
Cameroon,1995,11.81,219.84,
Cameroon,1996,12.26,233.24,
Cameroon,1997,12.81,249.91,
Cameroon,1998,13.41,267.15,
Cameroon,1999,13.93,281.27,
Canada,1980,17.12,4,
Canada,1981,17.35,4,
Canada,1982,19.3,4,
Canada,1983,19.68,4,
Canada,1984,20.3,5,
Canada,1985,19.75,5,
Canada,1986,19.09,5,
Canada,1987,18.66,5,
Canada,1988,20.06,5,
Canada,1989,20.46,5,
Canada,1990,21.55,6,
Canada,1991,22.79,6,
Canada,1992,23.65,6,
Canada,1993,23.12,6,
Canada,1994,21.58,6,
Canada,1995,20.99,6,
Canada,1996,20.56,5,
Canada,1997,18.42,5,
Canada,1998,17.15,5,
Canada,1999,16.63,5,
Canada,2000,15.78,5,
Canada,2001,16.27,5,
Canada,2002,15.66,5,
Canada,2003,15.22,5,
Canada,2004,14.89,5,
Canada,2005,14.68,5,
Canada,2006,14.48,5,
Canada,2007,14.3,5,
Canada,2008,14.61,5,
Canada,2009,15.09,5,
Cape Verde,2004,35.41,1,
Cape Verde,2005,38.08,1,
Cape Verde,2006,33.13,1,
Cape Verde,2007,34.74,1,
Cape Verde,2008,35.68,2,
Cape Verde,2009,42.46,2,
Central African Republic,1981,12.2,101.32,
Central African Republic,1982,11.95,98.08,
Central African Republic,1983,12.91,96.54,
Central African Republic,1984,12.84,100.13,
Central African Republic,1985,12.34,96.86,
Central African Republic,1986,13.3,105.69,
Central African Republic,1987,15.36,113.66,
Central African Republic,1988,15.72,116.38,
Central African Republic,1989,15.1,118.98,
Central African Republic,1990,17.01,121.95,
Central African Republic,1991,18.14,128.63,
Central African Republic,1992,19.86,135.75,
Central African Republic,1993,21.54,143.19,
Central African Republic,1994,17.3,118.1,
Central African Republic,1995,15.36,107.73,
Central African Republic,1996,17.31,109.79,
Central African Republic,1997,16.1,111.87,
Central African Republic,1998,16.96,114.26,
Central African Republic,1999,16.34,114.28,
Central African Republic,2000,16.02,112.04,
Central African Republic,2001,15.82,109.36,
Central African Republic,2002,16.18,109.32,
Central African Republic,2003,17.45,107.77,
Central African Republic,2004,17.78,111.04,
Central African Republic,2005,17.28,108.6,
Central African Republic,2006,16.46,105.45,
Central African Republic,2007,16.05,104.68,
Central African Republic,2008,15.11,98.69,
Central African Republic,2009,20.89,136.14,
Central African Republic,2010,25.27,166.45,
Central African Republic,2011,18.58,123.89,
Central African Republic,2012,17.41,118.31,
Chile,1980,25.46,1,
Chile,1981,26.43,1,
Chile,1982,31.96,1,
Chile,1983,29.43,1,
Chile,1984,29.49,1,
Chile,1985,26.73,1,
Chile,1986,24.93,1,
Chile,1987,21.88,1,
Chile,1988,20.37,1,
Chile,1989,18.79,1,
Chile,1990,17.92,1,
Chile,1991,18.47,1,
Chile,1992,18.25,1,
Chile,1993,18.8,1,
Chile,1994,18.42,1,
Chile,1995,17.46,1,
Chile,1996,19.07,1,
Chile,1997,19.06,1,
Chile,1998,20.14,2,
Chile,1999,21.9,2,
Chile,2000,21.23,2,
Chile,2001,21.66,2,
Chile,2002,21.71,2,
Chile,2003,20.52,2,
Chile,2004,19.17,2,
Chile,2005,18.51,2,
Chile,2006,17.17,2,
Chile,2007,17.76,2,
Chile,2008,20.14,2,
Chile,2009,23.24,3,
Chile,2010,21.94,3,
Chile,2011,21.4,3,
Chile,2012,21.48,3,
China,1980,26.75,170.88,
China,1981,22.73,150.62,
China,1982,22,156.75,
China,1983,22.67,176.41,
China,1984,23.1,203.75,
China,1985,22.08,217.21,
China,1986,20.98,220.56,
China,1987,18.43,211.97,
China,1988,16.19,203.25,
China,1989,16.31,209.2,
China,1990,15.94,208.71,
China,1991,15,211.27,
China,1992,13.58,215.55,
China,1993,12.57,224.74,
China,1994,11.54,230.82,
China,1995,10.79,237.34,
China,1996,10.7,256.74,
China,1997,11.31,294.31,
China,1998,12.48,347.97,
China,1999,14.47,431.67,
China,2000,16.09,517.27,
China,2001,17.34,600.22,
China,2002,18.31,687.31,
China,2003,18.04,741.13,
China,2004,17.7,795.63,
China,2005,18.1,900.54,
China,2006,18.15,1,
China,2007,18.67,1,
China,2008,19.81,1,
China,2009,21.88,1,
China,2010,22.31,1,
China,2011,23.12,2,
China,2012,23.87,2,
Colombia,1980,9.46,578.75,
Colombia,1981,9.89,604.8,
Colombia,1982,11.33,683.66,
Colombia,1983,10.78,646.5,
Colombia,1984,10.72,650.26,
Colombia,1985,9.94,608.65,
Colombia,1986,9.63,610.43,
Colombia,1987,6.05,395.84,
Colombia,1988,7.21,481.12,
Colombia,1989,7.28,492.78,
Colombia,1990,8.19,566.76,
Colombia,1991,8.16,564.63,
Colombia,1992,10.75,759.62,
Colombia,1993,10.12,741.1,
Colombia,1994,10.56,798.62,
Colombia,1995,11.21,876.54,
Colombia,1996,12.79,1,
Colombia,1997,13.5,1,
Colombia,1998,14.21,1,
Colombia,1999,16.31,1,
Colombia,2000,15.12,1,
Colombia,2001,21.03,1,
Colombia,2002,32.24,2,
Colombia,2003,34.27,2,
Colombia,2004,39.37,3,
Colombia,2005,43.73,3,
Colombia,2006,42.19,3,
Colombia,2007,43.58,3,
Colombia,2008,46.57,4,
Colombia,2009,52.79,4,
Colombia,2010,56.79,5,
Colombia,2011,53.49,5,
Congo,1992,35.59,1,
Congo,1993,36.72,1,
Congo,1994,36.55,1,
Congo,1995,32.82,1,
Congo,1996,29.75,1,
Congo,1997,37.71,1,
Congo,1998,43.4,1,
Congo,1999,32.81,1,
Congo,2000,25.56,1,
Congo,2001,34,1,
Congo,2002,37.33,1,
Congo,2003,25.5,1,
Congo,2004,29.59,1,
Congo,2005,21.95,974.07,
Costa Rica,1980,19.71,1,
Costa Rica,1981,16.53,1,
Costa Rica,1982,14.48,840.44,
Costa Rica,1983,18.56,1,
Costa Rica,1984,17.96,1,
Costa Rica,1985,17.15,1,
Costa Rica,1986,20.79,1,
Costa Rica,1987,21.41,1,
Costa Rica,1988,19.29,1,
Costa Rica,1989,20.53,1,
Costa Rica,1990,20.16,1,
Costa Rica,1991,19.51,1,
Costa Rica,1992,18.76,1,
Costa Rica,1993,20.43,1,
Costa Rica,1994,15.03,1,
Costa Rica,1995,13.55,1,
Costa Rica,1996,14.02,1,
Costa Rica,1997,12.98,995.44,
Costa Rica,1998,12.37,1,
Costa Rica,1999,12.32,1,
Costa Rica,2000,12.59,1,
Costa Rica,2001,13.16,1,
Costa Rica,2002,17.34,1,
Costa Rica,2003,16.71,1,
Costa Rica,2004,16.33,1,
Costa Rica,2005,16.01,1,
Costa Rica,2006,15.26,1,
Costa Rica,2007,14.9,1,
Costa Rica,2008,17.12,1,
Costa Rica,2009,18,1,
Costa Rica,2010,19.62,2,
Costa Rica,2011,18.65,2,
Costa Rica,2012,19.02,2,
Cote d'Ivoire,1980,41.4,1,
Cote d'Ivoire,1981,38.88,1,
Cote d'Ivoire,1982,40.34,1,
Cote d'Ivoire,1983,39.33,1,
Cote d'Ivoire,1984,30.94,905.42,
Cote d'Ivoire,1985,32.09,943.96,
Cote d'Ivoire,1986,32.63,954.9,
Cote d'Ivoire,1987,34.67,975.49,
Cote d'Ivoire,1988,40.48,1,
Cote d'Ivoire,1989,35.04,1,
Cote d'Ivoire,1990,30.36,860.82,
Cote d'Ivoire,1991,29.94,821.23,
Cote d'Ivoire,1992,29.59,780.37,
Cote d'Ivoire,1993,27.99,711.99,
Cote d'Ivoire,1994,25.26,636.2,
Cote d'Ivoire,1995,23.86,624.4,
Cote d'Ivoire,1996,22.31,605.43,
Cote d'Ivoire,1997,21.84,609.48,
Cote d'Ivoire,1998,20.88,596.9,
