Entity,Year,"Share of energy from cereals, roots and tubers (FAO (2017))"
Austria,1993,24
Austria,1994,23
Austria,1995,24
Austria,1996,25
Austria,1997,25
Austria,1998,26
Austria,1999,26
Austria,2000,27
Austria,2001,27
Austria,2002,28
Austria,2003,28
Austria,2004,28
Austria,2005,28
Austria,2006,28
Austria,2007,28
Austria,2008,27
Austria,2009,27
Austria,2010,26
Austria,2011,26
Azerbaijan,1992,67
Azerbaijan,1993,71
Azerbaijan,1994,69
Azerbaijan,1995,69
Azerbaijan,1996,68
Azerbaijan,1997,69
Azerbaijan,1998,69
Azerbaijan,1999,70
Azerbaijan,2000,69
Azerbaijan,2001,69
Azerbaijan,2002,69
Azerbaijan,2003,68
Azerbaijan,2004,68
Azerbaijan,2005,68
Azerbaijan,2006,67
Azerbaijan,2007,66
Azerbaijan,2008,66
Azerbaijan,2009,65
Azerbaijan,2010,65
Azerbaijan,2011,63
Bangladesh,1992,85
Bangladesh,1993,85
Bangladesh,1994,84
Bangladesh,1995,84
Bangladesh,1996,84
Bangladesh,1997,84
Bangladesh,1998,82
Bangladesh,1999,83
Bangladesh,2000,83
Bangladesh,2001,84
Bangladesh,2002,84
Bangladesh,2003,84
Bangladesh,2004,84
Bangladesh,2005,83
Bangladesh,2006,82
Bangladesh,2007,81
Bangladesh,2008,81
Bangladesh,2009,81
Bangladesh,2010,81
Bangladesh,2011,80
Barbados,1992,34
Barbados,1993,34
Barbados,1994,34
Barbados,1995,33
Barbados,1996,32
Barbados,1997,31
Barbados,1998,31
Barbados,1999,32
Barbados,2000,33
Barbados,2001,33
Barbados,2002,34
Barbados,2003,34
Barbados,2004,34
Barbados,2005,32
Barbados,2006,31
Barbados,2007,30
Barbados,2008,30
Barbados,2009,30
Barbados,2010,31
Barbados,2011,32
Belarus,1992,48
Belarus,1993,48
Belarus,1994,48
Belarus,1995,48
Belarus,1996,47
Belarus,1997,47
Belarus,1998,46
Belarus,1999,46
Belarus,2000,46
Belarus,2001,46
Belarus,2002,45
Belarus,2003,44
Belarus,2004,45
Belarus,2005,44
Belarus,2006,43
Belarus,2007,41
Belarus,2008,40
Belarus,2009,39
Belarus,2010,38
Belarus,2011,38
Belgium,2000,27
Belgium,2001,26
Belgium,2002,27
Belgium,2003,27
Belgium,2004,27
Belgium,2005,27
Belgium,2006,27
Belgium,2007,27
Belgium,2008,27
Belgium,2009,27
Belgium,2010,29
Belgium,2011,30
Belize,1992,39
Belize,1993,39
Belize,1994,38
Belize,1995,38
Belize,1996,38
Belize,1997,38
Belize,1998,39
Belize,1999,39
Belize,2000,40
Belize,2001,40
Belize,2002,39
Belize,2003,39
Belize,2004,40
Belize,2005,40
Belize,2006,40
Belize,2007,40
Belize,2008,40
Belize,2009,40
Belize,2010,40
Belize,2011,40
Benin,1992,74
Benin,1993,74
Benin,1994,74
Benin,1995,73
Benin,1996,74
Benin,1997,74
Benin,1998,74
Benin,1999,74
Benin,2000,73
Benin,2001,73
Benin,2002,71
Benin,2003,71
Benin,2004,71
Benin,2005,72
Benin,2006,74
Benin,2007,74
Benin,2008,73
Benin,2009,72
Benin,2010,71
Benin,2011,72
Bermuda,1992,22
Bermuda,1993,23
Bermuda,1994,23
Bermuda,1995,23
Bermuda,1996,23
Bermuda,1997,23
Bermuda,1998,23
Bermuda,1999,23
Bermuda,2000,23
Bermuda,2001,24
Bermuda,2002,24
Bermuda,2003,23
Bermuda,2004,24
Bermuda,2005,24
Bermuda,2006,25
Bermuda,2007,25
Bermuda,2008,24
Bermuda,2009,24
Bermuda,2010,25
Bermuda,2011,26
Bolivia,1992,52
Bolivia,1993,53
Bolivia,1994,52
Bolivia,1995,52
Bolivia,1996,51
Bolivia,1997,50
Bolivia,1998,49
Bolivia,1999,50
Bolivia,2000,51
Bolivia,2001,51
Bolivia,2002,51
Bolivia,2003,51
Bolivia,2004,51
Bolivia,2005,51
Bolivia,2006,52
Bolivia,2007,52
Bolivia,2008,52
Bolivia,2009,52
Bolivia,2010,52
Bolivia,2011,52
Bosnia and Herzegovina,1992,65
Bosnia and Herzegovina,1993,65
Bosnia and Herzegovina,1994,66
Bosnia and Herzegovina,1995,66
Bosnia and Herzegovina,1996,65
Bosnia and Herzegovina,1997,63
Bosnia and Herzegovina,1998,63
Bosnia and Herzegovina,1999,62
Bosnia and Herzegovina,2000,62
Bosnia and Herzegovina,2001,60
Bosnia and Herzegovina,2002,60
Bosnia and Herzegovina,2003,58
Bosnia and Herzegovina,2004,57
Bosnia and Herzegovina,2005,55
Bosnia and Herzegovina,2006,53
Bosnia and Herzegovina,2007,52
Bosnia and Herzegovina,2008,51
Bosnia and Herzegovina,2009,51
Bosnia and Herzegovina,2010,50
Bosnia and Herzegovina,2011,50
Botswana,1992,48
Botswana,1993,48
Botswana,1994,51
Botswana,1995,53
Botswana,1996,54
Botswana,1997,54
Botswana,1998,53
Botswana,1999,53
Botswana,2000,52
Botswana,2001,51
Botswana,2002,50
Botswana,2003,50
Botswana,2004,49
Botswana,2005,49
Botswana,2006,50
Botswana,2007,51
Botswana,2008,51
Botswana,2009,50
Botswana,2010,49
Botswana,2011,49
Brazil,1992,39
Brazil,1993,38
Brazil,1994,38
Brazil,1995,37
Brazil,1996,36
Brazil,1997,36
Brazil,1998,35
Brazil,1999,36
Brazil,2000,35
Brazil,2001,35
Brazil,2002,35
Brazil,2003,36
Brazil,2004,36
Brazil,2005,37
Brazil,2006,37
Brazil,2007,36
Brazil,2008,35
Brazil,2009,35
Brazil,2010,34
Brazil,2011,34
Brunei,1992,49
Brunei,1993,50
Brunei,1994,49
Brunei,1995,49
Brunei,1996,49
Brunei,1997,50
Brunei,1998,50
Brunei,1999,50
Brunei,2000,51
Brunei,2001,51
Brunei,2002,50
Brunei,2003,48
Brunei,2004,47
Brunei,2005,46
Brunei,2006,47
Brunei,2007,47
Brunei,2008,47
Brunei,2009,46
Brunei,2010,45
Brunei,2011,46
Bulgaria,1992,43
Bulgaria,1993,42
Bulgaria,1994,42
Bulgaria,1995,42
Bulgaria,1996,43
Bulgaria,1997,42
Bulgaria,1998,42
Bulgaria,1999,42
Bulgaria,2000,42
Bulgaria,2001,42
Bulgaria,2002,42
Bulgaria,2003,42
Bulgaria,2004,41
Bulgaria,2005,41
Bulgaria,2006,40
Bulgaria,2007,40
Bulgaria,2008,41
Bulgaria,2009,41
Bulgaria,2010,42
Bulgaria,2011,43
Burkina Faso,1992,67
Burkina Faso,1993,67
Burkina Faso,1994,65
Burkina Faso,1995,65
Burkina Faso,1996,65
Burkina Faso,1997,65
Burkina Faso,1998,65
Burkina Faso,1999,65
Burkina Faso,2000,65
Burkina Faso,2001,66
Burkina Faso,2002,65
Burkina Faso,2003,64
Burkina Faso,2004,64
Burkina Faso,2005,65
Burkina Faso,2006,66
Burkina Faso,2007,66
Burkina Faso,2008,66
Burkina Faso,2009,66
Burkina Faso,2010,66
Burkina Faso,2011,65
Cabo Verde,1992,55
Cabo Verde,1993,55
Cabo Verde,1994,53
Cabo Verde,1995,51
Cabo Verde,1996,48
Cabo Verde,1997,49
Cabo Verde,1998,50
Cabo Verde,1999,51
Cabo Verde,2000,51
Cabo Verde,2001,50
Cabo Verde,2002,50
Cabo Verde,2003,50
Cabo Verde,2004,51
Cabo Verde,2005,51
Cabo Verde,2006,50
Cabo Verde,2007,49
Cabo Verde,2008,48
Cabo Verde,2009,47
Cabo Verde,2010,46
Cabo Verde,2011,46
Cambodia,1992,84
Cambodia,1993,84
Cambodia,1994,83
Cambodia,1995,83
Cambodia,1996,82
Cambodia,1997,81
Cambodia,1998,80
Cambodia,1999,80
Cambodia,2000,80
Cambodia,2001,78
Cambodia,2002,77
Cambodia,2003,75
Cambodia,2004,73
Cambodia,2005,73
Cambodia,2006,72
Cambodia,2007,73
Cambodia,2008,72
Cambodia,2009,72
Cambodia,2010,72
Cambodia,2011,72
Cameroon,1992,59
Cameroon,1993,58
Cameroon,1994,58
Cameroon,1995,57
Cameroon,1996,57
Cameroon,1997,57
Cameroon,1998,57
Cameroon,1999,58
Cameroon,2000,57
Cameroon,2001,57
Cameroon,2002,56
Cameroon,2003,56
Cameroon,2004,55
Cameroon,2005,55
Cameroon,2006,55
Cameroon,2007,54
Cameroon,2008,54
Cameroon,2009,54
Cameroon,2010,54
Cameroon,2011,54
Canada,1992,26
Canada,1993,26
Canada,1994,26
Canada,1995,26
Canada,1996,27
Canada,1997,27
Canada,1998,28
Canada,1999,28
Canada,2000,28
Canada,2001,28
Canada,2002,28
Canada,2003,28
Canada,2004,28
Canada,2005,28
Canada,2006,29
Canada,2007,29
Canada,2008,28
Canada,2009,28
Canada,2010,29
Canada,2011,28
Central African Republic,1992,57
Central African Republic,1993,58
Central African Republic,1994,57
Central African Republic,1995,56
Central African Republic,1996,56
Central African Republic,1997,56
Central African Republic,1998,57
Central African Republic,1999,57
Central African Republic,2000,57
Central African Republic,2001,56
Central African Republic,2002,55
Central African Republic,2003,55
Central African Republic,2004,54
Central African Republic,2005,54
Central African Republic,2006,54
Central African Republic,2007,55
Central African Republic,2008,54
Central African Republic,2009,54
Central African Republic,2010,55
Central African Republic,2011,56
Chad,1992,65
Chad,1993,64
Chad,1994,66
Chad,1995,65
Chad,1996,64
Chad,1997,60
Chad,1998,60
Chad,1999,59
Chad,2000,59
Chad,2001,58
Chad,2002,58
Chad,2003,59
Chad,2004,60
Chad,2005,61
Chad,2006,61
Chad,2007,63
Chad,2008,65
Chad,2009,67
Chad,2010,67
Chad,2011,68
Chile,1992,49
Chile,1993,48
Chile,1994,46
Chile,1995,45
Chile,1996,44
Chile,1997,44
Chile,1998,44
Chile,1999,44
Chile,2000,44
Chile,2001,45
Chile,2002,45
Chile,2003,45
Chile,2004,45
Chile,2005,45
Chile,2006,45
Chile,2007,45
Chile,2008,44
Chile,2009,43
Chile,2010,44
Chile,2011,44
China,1992,69
China,1993,68
China,1994,67
China,1995,66
China,1996,65
China,1997,64
China,1998,63
China,1999,63
China,2000,62
China,2001,61
China,2002,60
China,2003,59
China,2004,58
China,2005,57
China,2006,56
China,2007,55
China,2008,54
China,2009,53
China,2010,52
China,2011,52
Colombia,1992,38
Colombia,1993,38
Colombia,1994,38
Colombia,1995,38
Colombia,1996,38
Colombia,1997,38
Colombia,1998,38
Colombia,1999,38
Colombia,2000,37
Colombia,2001,37
Colombia,2002,36
Colombia,2003,36
Colombia,2004,36
Colombia,2005,36
Colombia,2006,36
Colombia,2007,35
Colombia,2008,35
Colombia,2009,35
Colombia,2010,35
Colombia,2011,35
Congo,1992,60
Congo,1993,59
Congo,1994,60
Congo,1995,61
Congo,1996,62
Congo,1997,62
Congo,1998,62
Congo,1999,63
Congo,2000,62
Congo,2001,61
Congo,2002,61
Congo,2003,60
Congo,2004,60
Congo,2005,60
Congo,2006,60
Congo,2007,59
Congo,2008,59
Congo,2009,60
Congo,2010,61
Congo,2011,61
Costa Rica,1992,34
Costa Rica,1993,35
Costa Rica,1994,34
Costa Rica,1995,35
Costa Rica,1996,35
Costa Rica,1997,35
Costa Rica,1998,36
Costa Rica,1999,36
Costa Rica,2000,36
Costa Rica,2001,35
Costa Rica,2002,35
Costa Rica,2003,35
Costa Rica,2004,35
Costa Rica,2005,35
Costa Rica,2006,34
Costa Rica,2007,33
Costa Rica,2008,33
Costa Rica,2009,33
Costa Rica,2010,34
Costa Rica,2011,34
Cote d'Ivoire,1992,66
Cote d'Ivoire,1993,67
Cote d'Ivoire,1994,66
Cote d'Ivoire,1995,66
Cote d'Ivoire,1996,66
Cote d'Ivoire,1997,65
Cote d'Ivoire,1998,65
Cote d'Ivoire,1999,64
Cote d'Ivoire,2000,65
Cote d'Ivoire,2001,65
Cote d'Ivoire,2002,65
Cote d'Ivoire,2003,65
Cote d'Ivoire,2004,65
Cote d'Ivoire,2005,65
Cote d'Ivoire,2006,66
Cote d'Ivoire,2007,66
Cote d'Ivoire,2008,67
Cote d'Ivoire,2009,67
Cote d'Ivoire,2010,67
Cote d'Ivoire,2011,67
Croatia,1992,37
Croatia,1993,39
Croatia,1994,37
Croatia,1995,38
Croatia,1996,37
Croatia,1997,38
Croatia,1998,38
Croatia,1999,39
Croatia,2000,39
Croatia,2001,39
Croatia,2002,39
Croatia,2003,38
Croatia,2004,37
Croatia,2005,35
Croatia,2006,33
Croatia,2007,32
Croatia,2008,32
Croatia,2009,32
Croatia,2010,32
Croatia,2011,32
Cuba,1992,38
Cuba,1993,39
Cuba,1994,38
Cuba,1995,39
Cuba,1996,40
Cuba,1997,41
Cuba,1998,41
Cuba,1999,42
Cuba,2000,42
Cuba,2001,43
Cuba,2002,46
Cuba,2003,48
Cuba,2004,48
Cuba,2005,47
Cuba,2006,47
Cuba,2007,47
Cuba,2008,47
Cuba,2009,45
Cuba,2010,44
Cuba,2011,44
Cyprus,1992,31
Cyprus,1993,30
Cyprus,1994,30
Cyprus,1995,30
Cyprus,1996,30
Cyprus,1997,30
Cyprus,1998,29
Cyprus,1999,29
Cyprus,2000,29
Cyprus,2001,28
Cyprus,2002,27
Cyprus,2003,27
Cyprus,2004,26
Cyprus,2005,25
Cyprus,2006,25
Cyprus,2007,25
Cyprus,2008,26
Cyprus,2009,27
Cyprus,2010,28
Cyprus,2011,28
Czech Republic,1993,29
Czech Republic,1994,34
Czech Republic,1995,33
Czech Republic,1996,34
Czech Republic,1997,34
Czech Republic,1998,33
Czech Republic,1999,32
Czech Republic,2000,31
Czech Republic,2001,31
Czech Republic,2002,32
Czech Republic,2003,32
Czech Republic,2004,32
Czech Republic,2005,32
Czech Republic,2006,32
Czech Republic,2007,32
Czech Republic,2008,31
Czech Republic,2009,31
Czech Republic,2010,30
Czech Republic,2011,31
Denmark,1992,27
Denmark,1993,27
Denmark,1994,28
Denmark,1995,28
Denmark,1996,28
Denmark,1997,29
Denmark,1998,29
Denmark,1999,30
Denmark,2000,29
Denmark,2001,29
Denmark,2002,28
Denmark,2003,28
Denmark,2004,28
Denmark,2005,28
Denmark,2006,29
Denmark,2007,29
Denmark,2008,29
Denmark,2009,29
Denmark,2010,30
Denmark,2011,29
Djibouti,1992,56
Djibouti,1993,56
Djibouti,1994,56
Djibouti,1995,56
Djibouti,1996,57
Djibouti,1997,58
Djibouti,1998,59
Djibouti,1999,59
Djibouti,2000,58
Djibouti,2001,58
Djibouti,2002,58
Djibouti,2003,58
Djibouti,2004,58
Djibouti,2005,56
Djibouti,2006,56
Djibouti,2007,54
Djibouti,2008,54
Djibouti,2009,54
Djibouti,2010,55
Djibouti,2011,56
Dominica,1992,33
Dominica,1993,32
Dominica,1994,33
Dominica,1995,34
Dominica,1996,34
Dominica,1997,34
Dominica,1998,33
Dominica,1999,33
Dominica,2000,33
Dominica,2001,33
Dominica,2002,33
Dominica,2003,33
Dominica,2004,33
Dominica,2005,34
Dominica,2006,34
Dominica,2007,35
Dominica,2008,34
Dominica,2009,35
Dominica,2010,36
Dominica,2011,37
Dominican Republic,1992,35
Dominican Republic,1993,34
Dominican Republic,1994,34
Dominican Republic,1995,34
Dominican Republic,1996,34
Dominican Republic,1997,33
Dominican Republic,1998,32
Dominican Republic,1999,32
Dominican Republic,2000,32
Dominican Republic,2001,32
Dominican Republic,2002,32
Dominican Republic,2003,30
Dominican Republic,2004,29
Dominican Republic,2005,29
Dominican Republic,2006,31
Dominican Republic,2007,31
Dominican Republic,2008,31
Dominican Republic,2009,31
Dominican Republic,2010,32
Dominican Republic,2011,32
Ecuador,1992,38
Ecuador,1993,39
Ecuador,1994,40
Ecuador,1995,40
Ecuador,1996,40
Ecuador,1997,39
Ecuador,1998,40
Ecuador,1999,40
Ecuador,2000,40
Ecuador,2001,39
Ecuador,2002,37
Ecuador,2003,36
Ecuador,2004,35
Ecuador,2005,35
Ecuador,2006,35
Ecuador,2007,35
Ecuador,2008,34
Ecuador,2009,33
Ecuador,2010,33
Ecuador,2011,34
Egypt,1992,68
Egypt,1993,68
Egypt,1994,68
Egypt,1995,69
Egypt,1996,68
Egypt,1997,68
Egypt,1998,68
Egypt,1999,67
Egypt,2000,66
Egypt,2001,66
Egypt,2002,65
Egypt,2003,65
Egypt,2004,65
Egypt,2005,65
Egypt,2006,65
Egypt,2007,65
Egypt,2008,65
Egypt,2009,65
Egypt,2010,65
Egypt,2011,65
El Salvador,1992,57
El Salvador,1993,57
El Salvador,1994,58
El Salvador,1995,58
El Salvador,1996,59
El Salvador,1997,58
El Salvador,1998,57
El Salvador,1999,55
El Salvador,2000,53
El Salvador,2001,52
El Salvador,2002,51
El Salvador,2003,51
El Salvador,2004,51
El Salvador,2005,51
El Salvador,2006,49
El Salvador,2007,47
El Salvador,2008,47
El Salvador,2009,47
El Salvador,2010,48
El Salvador,2011,49
Estonia,1992,41
Estonia,1993,41
Estonia,1994,41
Estonia,1995,42
Estonia,1996,43
Estonia,1997,44
Estonia,1998,42
Estonia,1999,39
Estonia,2000,38
Estonia,2001,36
Estonia,2002,36
Estonia,2003,35
Estonia,2004,33
Estonia,2005,33
Estonia,2006,34
Estonia,2007,35
Estonia,2008,35
Estonia,2009,35
Estonia,2010,36
Estonia,2011,37
Ethiopia,1993,82
Ethiopia,1994,83
Ethiopia,1995,82
Ethiopia,1996,82
Ethiopia,1997,82
Ethiopia,1998,82
Ethiopia,1999,82
Ethiopia,2000,82
Ethiopia,2001,82
Ethiopia,2002,82
Ethiopia,2003,81
Ethiopia,2004,80
Ethiopia,2005,79
Ethiopia,2006,79
Ethiopia,2007,79
Ethiopia,2008,78
Ethiopia,2009,77
Ethiopia,2010,77
Ethiopia,2011,76
Fiji,1992,46
Fiji,1993,46
Fiji,1994,47
Fiji,1995,47
Fiji,1996,49
Fiji,1997,49
Fiji,1998,50
Fiji,1999,49
Fiji,2000,49
Fiji,2001,48
Fiji,2002,49
Fiji,2003,49
Fiji,2004,49
Fiji,2005,48
Fiji,2006,47
Fiji,2007,47
Fiji,2008,47
Fiji,2009,48
Fiji,2010,48
Fiji,2011,48
Finland,1992,30
Finland,1993,29
Finland,1994,28
Finland,1995,28
Finland,1996,29
Finland,1997,29
Finland,1998,30
Finland,1999,31
Finland,2000,31
Finland,2001,32
Finland,2002,32
Finland,2003,32
Finland,2004,32
Finland,2005,32
Finland,2006,32
Finland,2007,32
Finland,2008,33
Finland,2009,32
Finland,2010,32
Finland,2011,32
France,1992,27
France,1993,27
France,1994,27
France,1995,27
France,1996,27
France,1997,27
France,1998,27
France,1999,27
France,2000,28
France,2001,28
France,2002,28
France,2003,28
France,2004,28
France,2005,28
France,2006,29
France,2007,29
France,2008,29
France,2009,29
France,2010,29
France,2011,29
Gabon,1992,46
Gabon,1993,46
Gabon,1994,46
Gabon,1995,46
Gabon,1996,48
Gabon,1997,48
Gabon,1998,48
Gabon,1999,48
Gabon,2000,48
Gabon,2001,49
Gabon,2002,50
Gabon,2003,50
Gabon,2004,51
Gabon,2005,51
Gabon,2006,50
Gabon,2007,50
Gabon,2008,50
Gabon,2009,51
Gabon,2010,51
Gabon,2011,51
Gambia,1992,58
Gambia,1993,57
Gambia,1994,57
Gambia,1995,56
Gambia,1996,58
Gambia,1997,57
Gambia,1998,55
Gambia,1999,54
Gambia,2000,54
Gambia,2001,55
Gambia,2002,56
Gambia,2003,55
Gambia,2004,54
Gambia,2005,54
Gambia,2006,55
Gambia,2007,57
Gambia,2008,59
Gambia,2009,61
Gambia,2010,63
Gambia,2011,63
Georgia,1992,64
Georgia,1993,61
Georgia,1994,64
Georgia,1995,65
Georgia,1996,66
Georgia,1997,65
Georgia,1998,63
Georgia,1999,63
Georgia,2000,63
Georgia,2001,61
Georgia,2002,59
Georgia,2003,59
Georgia,2004,58
Georgia,2005,56
Georgia,2006,55
Georgia,2007,55
Georgia,2008,55
Georgia,2009,56
Georgia,2010,57
Georgia,2011,58
Germany,1992,26
Germany,1993,26
Germany,1994,26
Germany,1995,27
Germany,1996,27
Germany,1997,26
Germany,1998,26
Germany,1999,26
Germany,2000,27
Germany,2001,28
Germany,2002,28
Germany,2003,29
Germany,2004,29
Germany,2005,28
Germany,2006,28
Germany,2007,28
Germany,2008,28
Germany,2009,28
Germany,2010,28
Germany,2011,28
Ghana,1992,68
Ghana,1993,70
Ghana,1994,70
Ghana,1995,70
Ghana,1996,70
Ghana,1997,70
Ghana,1998,70
Ghana,1999,70
Ghana,2000,69
Ghana,2001,69
Ghana,2002,69
Ghana,2003,69
Ghana,2004,68
Ghana,2005,67
Ghana,2006,66
Ghana,2007,65
Ghana,2008,65
Ghana,2009,65
Ghana,2010,65
Ghana,2011,66
Greece,1992,33
Greece,1993,33
Greece,1994,33
Greece,1995,33
Greece,1996,33
Greece,1997,33
Greece,1998,33
Greece,1999,32
Greece,2000,32
Greece,2001,32
Greece,2002,32
Greece,2003,32
Greece,2004,32
Greece,2005,31
Greece,2006,31
Greece,2007,30
Greece,2008,30
Greece,2009,30
Greece,2010,30
Greece,2011,30
Guatemala,1992,58
Guatemala,1993,59
Guatemala,1994,59
Guatemala,1995,59
Guatemala,1996,58
Guatemala,1997,57
Guatemala,1998,57
Guatemala,1999,55
Guatemala,2000,54
Guatemala,2001,53
Guatemala,2002,52
Guatemala,2003,51
Guatemala,2004,50
Guatemala,2005,48
Guatemala,2006,48
Guatemala,2007,47
Guatemala,2008,47
Guatemala,2009,47
Guatemala,2010,47
Guatemala,2011,47
Guinea,1992,63
Guinea,1993,62
Guinea,1994,62
Guinea,1995,62
Guinea,1996,62
Guinea,1997,62
Guinea,1998,62
Guinea,1999,62
Guinea,2000,62
Guinea,2001,62
Guinea,2002,62
Guinea,2003,62
Guinea,2004,60
Guinea,2005,60
Guinea,2006,61
Guinea,2007,62
Guinea,2008,63
Guinea,2009,63
Guinea,2010,63
Guinea,2011,62
Guinea-Bissau,1992,69
Guinea-Bissau,1993,69
Guinea-Bissau,1994,69
Guinea-Bissau,1995,69
Guinea-Bissau,1996,69
Guinea-Bissau,1997,69
Guinea-Bissau,1998,69
Guinea-Bissau,1999,69
Guinea-Bissau,2000,69
Guinea-Bissau,2001,70
Guinea-Bissau,2002,70
Guinea-Bissau,2003,70
Guinea-Bissau,2004,69
Guinea-Bissau,2005,68
Guinea-Bissau,2006,67
Guinea-Bissau,2007,66
Guinea-Bissau,2008,65
Guinea-Bissau,2009,65
Guinea-Bissau,2010,65
Guinea-Bissau,2011,64
Guyana,1992,56
Guyana,1993,56
Guyana,1994,55
Guyana,1995,53
Guyana,1996,52
Guyana,1997,52
Guyana,1998,51
Guyana,1999,51
Guyana,2000,50
Guyana,2001,49
Guyana,2002,49
Guyana,2003,50
Guyana,2004,51
Guyana,2005,51
Guyana,2006,51
Guyana,2007,51
Guyana,2008,51
Guyana,2009,51
Guyana,2010,50
Guyana,2011,50
Haiti,1992,55
Haiti,1993,57
Haiti,1994,58
Haiti,1995,58
Haiti,1996,57
Haiti,1997,56
Haiti,1998,56
Haiti,1999,54
Haiti,2000,54
Haiti,2001,53
Haiti,2002,54
Haiti,2003,54
Haiti,2004,54
Haiti,2005,55
Haiti,2006,55
Haiti,2007,55
Haiti,2008,54
Haiti,2009,53
Haiti,2010,54
Haiti,2011,53
Honduras,1992,51
Honduras,1993,50
Honduras,1994,50
Honduras,1995,49
Honduras,1996,48
Honduras,1997,47
Honduras,1998,46
Honduras,1999,46
Honduras,2000,47
Honduras,2001,48
Honduras,2002,48
Honduras,2003,48
Honduras,2004,48
Honduras,2005,47
Honduras,2006,47
Honduras,2007,47
Honduras,2008,46
Honduras,2009,47
Honduras,2010,46
Honduras,2011,47
Hungary,1992,30
Hungary,1993,29
Hungary,1994,28
Hungary,1995,28
Hungary,1996,27
Hungary,1997,27
Hungary,1998,26
Hungary,1999,27
Hungary,2000,27
Hungary,2001,29
Hungary,2002,29
Hungary,2003,28
Hungary,2004,28
Hungary,2005,30
Hungary,2006,30
Hungary,2007,30
Hungary,2008,29
Hungary,2009,29
Hungary,2010,30
Hungary,2011,30
Iceland,1992,26
Iceland,1993,27
Iceland,1994,26
Iceland,1995,26
Iceland,1996,26
Iceland,1997,26
Iceland,1998,25
Iceland,1999,24
Iceland,2000,24
Iceland,2001,24
Iceland,2002,23
Iceland,2003,22
Iceland,2004,22
Iceland,2005,22
Iceland,2006,22
Iceland,2007,23
Iceland,2008,23
Iceland,2009,23
Iceland,2010,23
Iceland,2011,23
India,1992,66
India,1993,67
India,1994,66
India,1995,65
India,1996,65
India,1997,64
India,1998,64
India,1999,63
India,2000,63
India,2001,63
India,2002,63
India,2003,62
India,2004,62
India,2005,62
India,2006,62
India,2007,61
India,2008,61
India,2009,60
India,2010,60
India,2011,59
Indonesia,1992,73
Indonesia,1993,73
Indonesia,1994,72
Indonesia,1995,72
Indonesia,1996,72
Indonesia,1997,73
Indonesia,1998,73
Indonesia,1999,73
Indonesia,2000,73
Indonesia,2001,72
Indonesia,2002,71
Indonesia,2003,71
Indonesia,2004,70
Indonesia,2005,69
Indonesia,2006,69
Indonesia,2007,69
Indonesia,2008,69
