Entity,Year,"Age of democracies at the end of 2015 (Boix, Miller, and Rosato, 2013, 2018)"
Sudan,2015,Not a democracy in 2015
Suriname,2015,25
Swaziland,2015,Not a democracy in 2015
Sweden,2015,105
Switzerland,2015,168
Syria,2015,Not a democracy in 2015
Taiwan,2015,20
Tajikistan,2015,Not a democracy in 2015
Tanzania,2015,Not a democracy in 2015
Thailand,2015,Not a democracy in 2015
Timor,2015,14
Togo,2015,Not a democracy in 2015
Tonga,2015,Not a democracy in 2015
Trinidad and Tobago,2015,54
Tunisia,2015,60
Turkey,2015,33
Turkmenistan,2015,Not a democracy in 2015
Tuvalu,2015,38
Uganda,2015,Not a democracy in 2015
Ukraine,2015,25
United Arab Emirates,2015,Not a democracy in 2015
United Kingdom,2015,131
United States,2015,216
Uruguay,2015,31
Uzbekistan,2015,Not a democracy in 2015
Vanuatu,2015,36
Venezuela,2015,Not a democracy in 2015
Vietnam,2015,Not a democracy in 2015
Yemen,2015,Not a democracy in 2015
Zambia,2015,8
Zimbabwe,2015,Not a democracy in 2015
