Entity,Year,Old Age
Norway,2000,6.4
Norway,2005,6.2
Norway,2010,6.8
Norway,2013,7.6
Norway,2014,..
Norway,2015,..
OECD - Total,1980,5.1
OECD - Total,1985,5.6
OECD - Total,1990,5.8
OECD - Total,1995,6.4
OECD - Total,2000,6.3
OECD - Total,2005,6.4
OECD - Total,2010,7.3
OECD - Total,2013,7.7
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,4
Poland,1995,7.4
Poland,2000,8.5
Poland,2005,9.3
Poland,2010,9.1
Poland,2013,..
Poland,2014,..
Poland,2015,..
Portugal,1980,3.1
Portugal,1985,3.2
Portugal,1990,4
Portugal,1995,5.9
Portugal,2000,6.6
Portugal,2005,8.6
Portugal,2010,10.3
Portugal,2013,12.1
Portugal,2014,..
Portugal,2015,..
Slovakia,1980,..
Slovakia,1985,..
Slovakia,1990,..
Slovakia,1995,5.4
Slovakia,2000,5.6
Slovakia,2005,5.6
Slovakia,2010,6.2
Slovakia,2013,6.6
Slovakia,2014,..
Slovakia,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,10
Slovenia,2005,9.4
Slovenia,2010,9.4
Slovenia,2013,10.3
Slovenia,2014,..
Slovenia,2015,..
South Korea,1980,..
South Korea,1985,..
South Korea,1990,0.6
South Korea,1995,1
South Korea,2000,1.2
South Korea,2005,1.4
South Korea,2010,1.9
South Korea,2013,2.2
South Korea,2014,2.5
South Korea,2015,..
Spain,1980,4.5
Spain,1985,5.6
Spain,1990,7
Spain,1995,8.1
Spain,2000,6.6
Spain,2005,6.3
Spain,2010,8.3
Spain,2013,9.5
Spain,2014,..
Spain,2015,..
Sweden,1980,7.3
Sweden,1985,7.8
Sweden,1990,8.1
Sweden,1995,9.4
Sweden,2000,8.6
Sweden,2005,8.9
Sweden,2010,9.1
Sweden,2013,9.6
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,5.1
Switzerland,1985,5.3
Switzerland,1990,4.8
Switzerland,1995,5.8
Switzerland,2000,5.7
Switzerland,2005,5.8
Switzerland,2010,5.9
Switzerland,2013,6.2
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,1
Turkey,1985,1.1
Turkey,1990,1.6
Turkey,1995,2.1
Turkey,2000,3.2
Turkey,2005,4.9
Turkey,2010,6.6
Turkey,2013,6.7
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,4
United Kingdom,1985,4.2
United Kingdom,1990,4.5
United Kingdom,1995,5.1
United Kingdom,2000,5.2
United Kingdom,2005,5.6
United Kingdom,2010,6.5
United Kingdom,2013,6.5
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,5.1
United States,1985,5.1
United States,1990,5
United States,1995,5.2
United States,2000,4.9
United States,2005,5
United States,2010,5.9
United States,2013,6.3
United States,2014,..
United States,2015,..
