Entity,Year,Technology Diffusion (Comin and Hobijn (2004) and others)
Dishwasher,1948,1.2
Dishwasher,1949,1.5
Dishwasher,1950,2
Dishwasher,1951,2.6
Dishwasher,1952,3
Dishwasher,1953,3.2
Dishwasher,1954,3.5
Dishwasher,1955,4
Dishwasher,1956,4.6
Dishwasher,1957,5.2
Dishwasher,1958,5.8
Dishwasher,1959,6.3
Dishwasher,1960,7.1
Dishwasher,1961,7.9
Dishwasher,1962,8.9
Dishwasher,1963,9
Dishwasher,1964,11.8
Dishwasher,1965,13.5
Dishwasher,1966,15.7
Dishwasher,1967,18.1
Dishwasher,1968,20.8
Dishwasher,1969,23.7
Dishwasher,1970,26.5
Dishwasher,1971,29.6
Dishwasher,1972,32
Dishwasher,1973,34.3
Dishwasher,1974,36.6
Dishwasher,1975,38.3
Dishwasher,1976,39.6
Dishwasher,1978,41.9
Dishwasher,1992,49.3
Dishwasher,1998,56
Dishwasher,2003,62.3
Dishwasher,2005,64
Dishwasher,2010,69.4
Dishwasher,2011,69.3
Disk brakes,1966,1
Disk brakes,1967,3.5
Disk brakes,1968,7.3
Disk brakes,1969,15.2
Disk brakes,1970,26.5
Disk brakes,1971,43.5
Disk brakes,1972,58.5
Disk brakes,1973,74
Disk brakes,1974,81
Disk brakes,1975,87.5
Disk brakes,1976,92
Disk brakes,1977,97
Disk brakes,1978,99
Disk brakes,1979,100
Disk brakes,1980,100
Disk brakes,1981,99
Disk brakes,1982,97.5
Disk brakes,1983,99
Disk brakes,1984,100
Dryer,1950,1
Dryer,1960,11
Dryer,1970,28
Dryer,1973,40
Dryer,1978,43
Dryer,1983,49
Dryer,1986,48
Dryer,1992,77.9
Dryer,1998,86.8
Dryer,2003,89.1
Dryer,2005,81.2
Dryer,2010,83.2
Dryer,2011,83.4
Ebook reader,2009,2
Ebook reader,2010,5
Ebook reader,2011,10
Ebook reader,2012,19
Ebook reader,2013,24
Ebook reader,2015,19
Ebook reader,2016,22
Electric power,1908,10
Electric power,1909,10.67
Electric power,1910,12.33
Electric power,1911,14
Electric power,1912,16
Electric power,1913,18
Electric power,1914,19
Electric power,1915,20
Electric power,1916,22
Electric power,1917,24
Electric power,1918,27
Electric power,1919,30
Electric power,1920,33.5
Electric power,1921,37
Electric power,1922,40
Electric power,1923,43
Electric power,1924,49
Electric power,1925,52
Electric power,1926,55
Electric power,1927,60
Electric power,1928,64
Electric power,1929,68
Electric power,1930,68
Electric power,1931,68
Electric power,1932,67
Electric power,1933,67
Electric power,1934,67
Electric power,1935,68.5
Electric power,1936,70
Electric power,1937,73
Electric power,1938,75
Electric power,1939,76.5
Electric power,1940,78
Electric power,1941,79.5
Electric power,1942,81
Electric power,1943,81
Electric power,1944,83
Electric power,1945,85
Electric power,1946,85.5
Electric power,1947,86
Electric power,1948,89
Electric power,1949,93
Electric power,1950,94
Electric power,1951,95
Electric power,1952,96
Electric power,1953,97
Electric power,1954,97.67
Electric power,1955,98.33
Electric power,1956,99
Electric power,1957,99
Electric power,1958,99
Electric power,1959,99
Electric power,1960,99
Electric power,1961,99
Electric power,1962,99
Electric power,1963,99
Electric power,1964,99
Electric power,1965,99
Electric power,1966,99
Electric power,1967,99
Electric power,1968,99
Electric power,1969,99
Electric power,1970,99
Electric power,1971,99
Electric power,1972,99
Electric power,1973,99
Electric power,1974,99
Electric power,1975,99
Electric power,1976,99
Electric power,1977,99
Electric power,1978,99
Electric power,1979,99
Electric power,1980,99
Electric power,1981,99
Electric power,1982,99
Electric power,1983,99
Electric power,1984,99
Electric power,1985,99
Electric power,1986,99
Electric power,1987,99
Electric power,1988,99
Electric power,1989,99
Electric power,1990,99
Electric power,1991,99
Electric power,1992,99
Electric power,1993,99
Electric power,1994,99
Electric power,1995,99
Electric power,1996,99
Electric power,1997,99
Electric power,1998,99
Electric power,1999,99
Electric power,2000,99
Electric power,2001,99
Electric power,2002,99
Electric power,2003,99
Electric power,2004,99
Electric power,2005,99
Electric Range,1933,5
Electric Range,1950,14
Electric Range,1960,30
Electric Range,1970,40
Electric Range,1975,45
Electric Range,1980,50
Electric Range,1985,53
Electric Range,1986,57
Electronic ignition,1962,0
Electronic ignition,1977,2
Electronic ignition,1978,5
Electronic ignition,1979,11
Electronic ignition,1980,11
Electronic ignition,1981,45
Electronic ignition,1982,70
Electronic ignition,1983,98
Electronic ignition,1984,100
Flush toilet,1860,1
Flush toilet,1880,7
Flush toilet,1890,13
Flush toilet,1900,15
Flush toilet,1920,20
Flush toilet,1931,51
Flush toilet,1940,60
Flush toilet,1950,71
Flush toilet,1960,87
Flush toilet,1970,96
Flush toilet,1980,98
Flush toilet,1989,100
Freezer,1950,6
Freezer,1960,22
Freezer,1965,26
Freezer,1970,30
Freezer,1978,38
Freezer,1982,42
Freezer,1992,37.1
Freezer,1998,34.9
Freezer,2003,36.9
Freezer,2005,36.6
Freezer,2010,37.9
Freezer,2011,35.8
Home air conditioning,1957,10
Home air conditioning,1958,12
Home air conditioning,1959,12
Home air conditioning,1960,12
Home air conditioning,1961,13
Home air conditioning,1962,14
Home air conditioning,1963,14
Home air conditioning,1964,16
Home air conditioning,1965,17
Home air conditioning,1966,19
Home air conditioning,1967,21
Home air conditioning,1968,25
Home air conditioning,1969,31
Home air conditioning,1970,37
Home air conditioning,1971,44
Home air conditioning,1972,47
Home air conditioning,1973,49
Home air conditioning,1974,50
Home air conditioning,1975,51
Home air conditioning,1976,52
Home air conditioning,1977,53
Home air conditioning,1978,55
Home air conditioning,1979,55
Home air conditioning,1980,56.5
Home air conditioning,1981,58
Home air conditioning,1982,58
Home air conditioning,1983,58
Home air conditioning,1984,60
Home air conditioning,1985,61
Home air conditioning,1986,62
Home air conditioning,1987,63
Home air conditioning,1988,65
Home air conditioning,1989,68
Home air conditioning,1990,69
Home air conditioning,1991,70
Home air conditioning,1992,69
Home air conditioning,1993,68
Home air conditioning,1994,69
Home air conditioning,1995,71
Home air conditioning,1996,72
Home air conditioning,1997,73
Home air conditioning,1998,74
Home air conditioning,1999,75
Home air conditioning,2000,76
Home air conditioning,2001,78
Home air conditioning,2002,83
Home air conditioning,2003,87
Home air conditioning,2004,89
Home air conditioning,2005,89
Home air conditioning,2006,89
Home air conditioning,2007,89
Home air conditioning,2008,88
Home air conditioning,2009,87
Home air conditioning,2010,88.5
Home air conditioning,2011,88.7
Household refrigerator,1931,10
Household refrigerator,1932,14
Household refrigerator,1933,17
Household refrigerator,1934,20
Household refrigerator,1935,24
Household refrigerator,1936,27
Household refrigerator,1937,33
Household refrigerator,1938,38
Household refrigerator,1939,43
Household refrigerator,1940,44
Household refrigerator,1941,47
Household refrigerator,1942,50
Household refrigerator,1943,52
Household refrigerator,1944,55
Household refrigerator,1945,56
Household refrigerator,1946,62
Household refrigerator,1947,67
Household refrigerator,1948,71
Household refrigerator,1949,76
Household refrigerator,1950,80
Household refrigerator,1951,83
Household refrigerator,1952,86
Household refrigerator,1953,88
Household refrigerator,1954,91
Household refrigerator,1955,93
Household refrigerator,1956,95
Household refrigerator,1957,96
Household refrigerator,1958,97
Household refrigerator,1959,97.4
Household refrigerator,1960,97.8
Household refrigerator,1961,98.2
Household refrigerator,1962,98.6
Household refrigerator,1963,99
Household refrigerator,1964,99
Household refrigerator,1965,99
Household refrigerator,1966,99
Household refrigerator,1967,99
Household refrigerator,1968,99
Household refrigerator,1969,99
Household refrigerator,1970,99
Household refrigerator,1971,99
Household refrigerator,1972,99
Household refrigerator,1973,99
Household refrigerator,1974,99
Household refrigerator,1975,99
Household refrigerator,1976,99
Household refrigerator,1977,99
Household refrigerator,1978,99
Household refrigerator,1979,99
Household refrigerator,1980,99
Household refrigerator,1981,99
Household refrigerator,1982,99
Household refrigerator,1983,99
Household refrigerator,1984,99
Household refrigerator,1985,99
Household refrigerator,1986,99
Household refrigerator,1987,99
Household refrigerator,1988,99
Household refrigerator,1989,99
Household refrigerator,1990,99
Household refrigerator,1991,99
Household refrigerator,1992,99
Household refrigerator,1993,99
Household refrigerator,1994,99
Household refrigerator,1995,99
Household refrigerator,1996,99
Household refrigerator,1997,99
Household refrigerator,1998,99
Household refrigerator,1999,99
Household refrigerator,2000,99
Household refrigerator,2001,99
Household refrigerator,2002,99
Household refrigerator,2003,99
Household refrigerator,2004,99
Household refrigerator,2005,99
Household refrigerator,2010,99.3
Household refrigerator,2011,99.2
Internet,1993,10
Internet,1994,11
Internet,1995,13
Internet,1996,16
Internet,1997,19
Internet,1998,25
Internet,1999,34
Internet,2000,42
Internet,2001,49
Internet,2002,52
Internet,2003,54
Internet,2004,57
Internet,2005,61
Internet,2006,62
Internet,2007,65
Internet,2008,68
Internet,2009,70
Internet,2010,74
Internet,2011,76
Internet,2012,81
Internet,2013,82
Internet,2014,83
Internet,2015,85
Internet,2016,88
Iron,1933,96
Iron,1965,99
Iron,1970,100
Landline,1903,10
Landline,1904,12
Landline,1905,14
Landline,1906,18
Landline,1907,19.5
Landline,1908,21
Landline,1909,23
Landline,1910,24.5
Landline,1911,26
Landline,1912,27
Landline,1913,28
Landline,1914,29
Landline,1915,30
Landline,1916,31
Landline,1917,32
Landline,1918,33
Landline,1919,34
Landline,1920,34
Landline,1921,35
Landline,1922,35
Landline,1923,37
Landline,1924,37
Landline,1925,38
Landline,1926,39
Landline,1927,39
Landline,1928,41
Landline,1929,41
Landline,1930,39.5
Landline,1931,38
Landline,1932,35
Landline,1933,32
Landline,1934,31
Landline,1935,32
Landline,1936,33
Landline,1937,34
Landline,1938,34.5
Landline,1939,35
Landline,1940,37
Landline,1941,39
Landline,1942,41.5
Landline,1943,44
Landline,1944,45
Landline,1945,46
Landline,1946,50
Landline,1947,54
Landline,1948,58
Landline,1949,60
Landline,1950,62
Landline,1951,63.5
Landline,1952,65
Landline,1953,67.5
Landline,1954,70
Landline,1955,71.67
Landline,1956,73.33
Landline,1957,75
Landline,1958,76.5
Landline,1959,78
Landline,1960,78.5
Landline,1961,79
Landline,1962,80
Landline,1963,81
Landline,1964,82
Landline,1965,85
Landline,1966,86
Landline,1967,87
Landline,1968,88.5
Landline,1969,90
Landline,1970,87
Landline,1971,87.5
Landline,1972,88
Landline,1973,88.67
Landline,1974,89.33
Landline,1975,90
Landline,1976,90.5
Landline,1977,91
Landline,1978,91.5
Landline,1979,92
Landline,1980,92.5
Landline,1981,93
Landline,1982,92.5
Landline,1983,92
Landline,1984,92
Landline,1985,92
Landline,1986,92.25
Landline,1987,92.5
Landline,1988,92.75
Landline,1989,93
Landline,1990,93.5
Landline,1991,94
Landline,1992,94
Landline,1993,94
Landline,1994,94
Landline,1995,94
Landline,1996,94
Landline,1997,94
Landline,1998,94
Landline,1999,94
Landline,2000,94
Landline,2001,94.5
Landline,2002,95
Landline,2003,94
Landline,2004,93
Landline,2005,92
Landline,2009,83
Landline,2010,75
Landline,2011,70.5
Landline,2012,75
Landline,2013,66
Landline,2014,65
Microcomputer,1984,8.2
Microcomputer,1985,10
Microcomputer,1986,12
Microcomputer,1987,13
Microcomputer,1988,14
Microcomputer,1989,15
Microcomputer,1990,17
Microcomputer,1991,20
Microcomputer,1992,22
Microcomputer,1993,22.9
Microcomputer,1994,25
Microcomputer,1995,30
Microcomputer,1996,33
Microcomputer,1997,36.6
Microcomputer,1998,40
Microcomputer,1999,45
Microcomputer,2000,51
Microcomputer,2001,56.3
Microcomputer,2002,58
Microcomputer,2003,61.8
Microcomputer,2004,63
Microcomputer,2005,65
Microcomputer,2006,67
Microcomputer,2007,69.7
Microcomputer,2008,72
Microcomputer,2009,74.1
Microcomputer,2010,76.7
Microcomputer,2011,75.6
Microcomputer,2012,75
Microcomputer,2013,77
Microcomputer,2014,75
Microcomputer,2015,73
Microcomputer,2016,78
Microwave,1975,3
Microwave,1980,7
Microwave,1982,20
Microwave,1983,34
Microwave,1986,60
Microwave,1992,82.2
Microwave,1998,90.7
Microwave,2003,95.9
Microwave,2005,96.4
Microwave,2010,97.1
Microwave,2011,96.8
Nox pollution controls (boilers),1990,16
Nox pollution controls (boilers),1991,20
Nox pollution controls (boilers),1992,22
Nox pollution controls (boilers),1993,26
Nox pollution controls (boilers),1994,37
Nox pollution controls (boilers),1995,43
Nox pollution controls (boilers),1996,47
Nox pollution controls (boilers),1997,50
Nox pollution controls (boilers),1998,56
Nox pollution controls (boilers),1999,61
Nox pollution controls (boilers),2000,64
Nox pollution controls (boilers),2001,72
Nox pollution controls (boilers),2002,77
Nox pollution controls (boilers),2003,82
Nox pollution controls (boilers),2004,88
Nox pollution controls (boilers),2005,92
Podcasting,2006,11
Podcasting,2007,13
Podcasting,2008,18
Podcasting,2009,22
Podcasting,2010,23
Podcasting,2011,25
Podcasting,2012,29
Podcasting,2013,27
Podcasting,2014,30
Podcasting,2015,33
Power steering,1951,0
Power steering,1952,2
Power steering,1953,6
Power steering,1954,12
Power steering,1955,19
Power steering,1956,25
Power steering,1957,32
Power steering,1958,39
Power steering,1959,43
Power steering,1960,43
Power steering,1961,42
Power steering,1962,43
Power steering,1963,48
Power steering,1964,53
Power steering,1965,59
Power steering,1966,65
Power steering,1967,73
Power steering,1968,80
Power steering,1969,87
Power steering,1970,91
Power steering,1971,91.5
Power steering,1972,92
Power steering,1973,93
Power steering,1974,93.5
Power steering,1975,95
Power steering,1976,96
Power steering,1977,99
Power steering,1978,100
Power steering,1979,100
Power steering,1980,99
Power steering,1981,96
Power steering,1982,95
Power steering,1983,97
Power steering,1984,100
Radial tires,1972,0.5
Radial tires,1973,4.5
Radial tires,1974,16
Radial tires,1975,42.5
Radial tires,1976,64
Radial tires,1977,81
Radial tires,1978,82
Radial tires,1979,87
Radial tires,1980,91
Radial tires,1981,95.5
Radial tires,1982,98.5
Radial tires,1983,100
Radial tires,1984,100
Radio,1925,10
Radio,1926,17
Radio,1927,19
Radio,1928,28
Radio,1929,36
Radio,1930,45
Radio,1931,52
Radio,1932,60
Radio,1933,63
Radio,1934,65
Radio,1935,68
Radio,1936,72
Radio,1937,74
Radio,1938,78
Radio,1939,80
Radio,1940,81
Radio,1941,82
Radio,1942,84
Radio,1943,84
Radio,1944,87
Radio,1945,88
Radio,1946,89
Radio,1947,92
Radio,1948,92
Radio,1949,93
Radio,1950,92
Radio,1951,92
Radio,1952,92
Radio,1953,93
Radio,1954,96
Radio,1955,96
Radio,1956,96
Radio,1957,96
Radio,1958,96
Radio,1959,96
Radio,1960,95
Radio,1961,95
Radio,1962,94
Radio,1963,95
Radio,1964,96
Radio,1965,96
Radio,1966,96
Radio,1967,96
Radio,1968,96
Radio,1969,97
Radio,1970,98
Radio,1971,99
Radio,1972,99
Radio,1973,99
Radio,1974,99
Radio,1975,99
Radio,1976,99
Radio,1977,99
Radio,1978,99
Radio,1979,99
Radio,1980,99
Radio,1981,99
Radio,1982,99
Radio,1983,99
Radio,1984,99
Radio,1985,99
Radio,1986,99
Radio,1987,99
Radio,1988,99
Radio,1989,99
Radio,1990,99
Radio,1991,99
Radio,1992,99
Radio,1993,99
Radio,1994,99
Radio,1995,99
Radio,1996,99
Radio,1997,99
Radio,1998,99
Radio,1999,99
Radio,2000,99
Radio,2001,99
Radio,2002,99
Radio,2003,99
Radio,2004,99
Radio,2005,99
Refrigerator,1925,1
Refrigerator,1926,2.4
Refrigerator,1927,4.3
Refrigerator,1928,6.4
Refrigerator,1929,9.4
Refrigerator,1930,12.8
Refrigerator,1931,17.1
Refrigerator,1932,21.6
Refrigerator,1933,24.7
Refrigerator,1934,29.3
Refrigerator,1935,34.2
Refrigerator,1936,41.1
Refrigerator,1937,49.4
Refrigerator,1938,51.7
Refrigerator,1939,56
Refrigerator,1940,63
Refrigerator,1941,72
Refrigerator,1942,71.8
Refrigerator,1943,70.9
Refrigerator,1944,69.6
Refrigerator,1945,67.5
Refrigerator,1946,69.1
Refrigerator,1947,71.2
Refrigerator,1948,76.6
Refrigerator,1949,79.2
Refrigerator,1950,86.4
Refrigerator,1951,86.7
Refrigerator,1952,89.2
Refrigerator,1953,90.4
Refrigerator,1954,92.4
Refrigerator,1955,94.1
Refrigerator,1956,96
Refrigerator,1957,97.3
Refrigerator,1958,97.7
Refrigerator,1959,98
Refrigerator,1960,98.2
Refrigerator,1961,98.3
Refrigerator,1962,99.5
Refrigerator,1963,99.1
Refrigerator,1964,99.3
Refrigerator,1965,99.5
Refrigerator,1966,99.6
Refrigerator,1967,99.7
Refrigerator,1968,99.8
Refrigerator,1969,99.8
Refrigerator,1970,99.8
Refrigerator,1971,99.8
Refrigerator,1972,99.9
Refrigerator,1973,99.9
Refrigerator,1974,99.9
Refrigerator,1975,99.9
Refrigerator,1976,99.8
Refrigerator,1978,99.7
RTGS adoption,1970,0
RTGS adoption,1971,0.57
RTGS adoption,1972,0.57
RTGS adoption,1973,0.57
RTGS adoption,1974,0.57
RTGS adoption,1975,0.57
RTGS adoption,1976,0.57
RTGS adoption,1977,0.57
RTGS adoption,1978,0.57
RTGS adoption,1979,0.57
RTGS adoption,1980,0.57
RTGS adoption,1981,1.14
RTGS adoption,1982,1.14
RTGS adoption,1983,1.14
RTGS adoption,1984,1.14
RTGS adoption,1985,1.71
RTGS adoption,1986,2.29
RTGS adoption,1987,3.43
RTGS adoption,1988,4
RTGS adoption,1989,4.57
RTGS adoption,1990,4.57
RTGS adoption,1991,5.14
RTGS adoption,1992,6.29
RTGS adoption,1993,6.86
RTGS adoption,1994,7.43
RTGS adoption,1995,9.14
RTGS adoption,1996,12
RTGS adoption,1997,16
RTGS adoption,1998,20
RTGS adoption,1999,22.86
RTGS adoption,2000,26.86
RTGS adoption,2001,30.29
RTGS adoption,2002,38.86
RTGS adoption,2003,42.29
RTGS adoption,2004,47.43
RTGS adoption,2005,52
Running water,1890,24
Running water,1940,70
Running water,1950,83
Running water,1960,93
Running water,1970,98
Running water,1980,99
Running water,1989,100
Shipping container port infrastructure,1964,1
Shipping container port infrastructure,1965,1.5
Shipping container port infrastructure,1966,4
Shipping container port infrastructure,1967,7
Shipping container port infrastructure,1968,13
Shipping container port infrastructure,1969,18
Shipping container port infrastructure,1970,24
Shipping container port infrastructure,1971,26
Shipping container port infrastructure,1972,28
Shipping container port infrastructure,1973,30
Shipping container port infrastructure,1974,32
Shipping container port infrastructure,1975,38
Shipping container port infrastructure,1976,46
Shipping container port infrastructure,1977,52
Shipping container port infrastructure,1978,62
Shipping container port infrastructure,1979,72
Shipping container port infrastructure,1980,76
Shipping container port infrastructure,1981,87
Shipping container port infrastructure,1982,90
Shipping container port infrastructure,1983,91
Shipping container port infrastructure,1984,91
Shipping container port infrastructure,1985,92
Shipping container port infrastructure,1986,92
Smartphone usage,2011,35
Smartphone usage,2012,45
Smartphone usage,2013,58
Smartphone usage,2014,58
Smartphone usage,2015,69
Smartphone usage,2016,77
Social media usage,2005,5
Social media usage,2006,11
Social media usage,2007,15
Social media usage,2008,21
Social media usage,2009,37
Social media usage,2010,48
Social media usage,2011,50
Social media usage,2012,59
Social media usage,2013,63
Social media usage,2014,62
Social media usage,2015,65
Social media usage,2016,69
Stove,1900,10
Stove,1901,10.5
Stove,1902,11
Stove,1903,11.5
Stove,1904,12
Stove,1905,12
Stove,1906,13
Stove,1907,14
Stove,1908,14.5
Stove,1909,15
Stove,1910,16
Stove,1911,16.5
Stove,1912,17
Stove,1913,17
Stove,1914,17
Stove,1915,18
Stove,1916,18.33
Stove,1917,18.67
Stove,1918,19
Stove,1919,19.5
Stove,1920,20
Stove,1921,22
Stove,1922,23
Stove,1923,24
Stove,1924,25
Stove,1925,27.5
Stove,1926,30
Stove,1927,32
Stove,1928,34
Stove,1929,35
Stove,1930,36
Stove,1931,37
Stove,1932,37
Stove,1933,37.5
Stove,1934,38
Stove,1935,40
Stove,1936,45
Stove,1937,50
Stove,1938,50
Stove,1939,50
Stove,1940,53
Stove,1941,55
Stove,1942,57
Stove,1943,58
Stove,1944,59
Stove,1945,59
Stove,1946,61
Stove,1947,64
Stove,1948,67
Stove,1949,70
Stove,1950,74
Stove,1951,77
Stove,1952,80
Stove,1953,84
Stove,1954,85.5
Stove,1955,87
Stove,1956,88.5
Stove,1957,90
Stove,1958,93
Stove,1959,94
Stove,1960,95
Stove,1961,95.5
Stove,1962,96
Stove,1963,96
Stove,1964,96.5
Stove,1965,97
Stove,1966,97.33
Stove,1967,97.67
Stove,1968,98
Stove,1969,98
Stove,1970,98.33
Stove,1971,98.67
Stove,1972,99
Stove,1973,99
Stove,1974,99
Stove,1975,99
Stove,1976,99
Stove,1977,99
Stove,1978,99
Stove,1979,99
Stove,1980,99
Stove,1981,99
Stove,1982,99
Stove,1983,99
Stove,1984,99
Stove,1985,99
Stove,1986,99
Stove,1987,99
Stove,1988,99
Stove,1989,99
Stove,1990,99
Stove,1991,99
Stove,1992,99
Stove,1993,99
Stove,1994,99
Stove,1995,99
Stove,1996,99
Stove,1997,99
Stove,1998,99
Stove,1999,99
Stove,2000,99
Stove,2001,99
Stove,2002,99
Stove,2003,99
Stove,2004,99
Stove,2005,99
Stove,2010,98.6
Stove,2011,98.6
Tablet,2010,3
Tablet,2011,10
Tablet,2012,25
Tablet,2013,34
Tablet,2014,39
Tablet,2015,45
Tablet,2016,51
Television,1992,96.6
Television,1998,98.4
Television,2003,98.8
Television,2005,98.9
Television,2010,98.5
Television,2011,98.3
Vacuum,1922,31.5
Vacuum,1923,33.5
Vacuum,1924,35.7
Vacuum,1925,36
Vacuum,1926,37.1
Vacuum,1927,38.8
Vacuum,1928,40.5
Vacuum,1929,43.6
Vacuum,1930,44.5
Vacuum,1931,45.4
Vacuum,1932,46.6
Vacuum,1933,48.6
Vacuum,1934,48.1
Vacuum,1935,48.3
Vacuum,1936,48.9
Vacuum,1937,48.8
Vacuum,1938,49
Vacuum,1939,48.4
Vacuum,1940,49.2
Vacuum,1941,49.7
Vacuum,1942,49.5
Vacuum,1943,49
Vacuum,1944,48.2
Vacuum,1945,46.9
Vacuum,1946,48.8
Vacuum,1947,49.5
Vacuum,1948,51.7
Vacuum,1949,52.8
Vacuum,1950,56.5
Vacuum,1951,57.7
Vacuum,1952,59.4
Vacuum,1953,60.5
Vacuum,1954,62.2
Vacuum,1955,64.3
Vacuum,1956,66.7
Vacuum,1957,68.3
Vacuum,1958,70.9
Vacuum,1959,72.5
Vacuum,1960,74.3
Vacuum,1961,76.4
Vacuum,1962,78.2
Vacuum,1963,79.5
Vacuum,1964,81.2
