Entity,Year,Oil reserves (BP Statistical Review (2016))
Nigeria,2015,37.1
North America,1995,126.9
North America,2005,223.6
North America,2014,238
North America,2015,238
Norway,1995,10.8
Norway,2005,9.7
Norway,2014,6.5
Norway,2015,8
Oman,1995,5.2
Oman,2005,5.6
Oman,2014,5.2
Oman,2015,5.3
Other Africa,1995,0.7
Other Africa,2005,0.5
Other Africa,2014,3.7
Other Africa,2015,3.7
Other Asia & Pacific,1995,1
Other Asia & Pacific,2005,1.4
Other Asia & Pacific,2014,1.3
Other Asia & Pacific,2015,1.3
Other Europe & Central Asia,1995,2.2
Other Europe & Central Asia,2005,2.2
Other Europe & Central Asia,2014,2.1
Other Europe & Central Asia,2015,2.1
Other Latin America & the Caribbean,1995,1
Other Latin America & the Caribbean,2005,1.5
Other Latin America & the Caribbean,2014,0.5
Other Latin America & the Caribbean,2015,0.5
Other Middle East,1995,0.1
Other Middle East,2005,0.1
Other Middle East,2014,0.2
Other Middle East,2015,0.2
Peru,1995,0.8
Peru,2005,1.1
Peru,2014,1.4
Peru,2015,1.4
Qatar,1995,3.7
Qatar,2005,27.9
Qatar,2014,25.7
Qatar,2015,25.7
Romania,1995,1
Romania,2005,0.5
Romania,2014,0.6
Romania,2015,0.6
Russia,1995,113.6
Russia,2005,104.4
Russia,2014,103.2
Russia,2015,102.4
Saudi Arabia,1995,261.5
Saudi Arabia,2005,264.2
Saudi Arabia,2014,267
Saudi Arabia,2015,266.6
South Sudan,2014,3.5
South Sudan,2015,3.5
Sudan,1995,0.3
Sudan,2005,0.6
Sudan,2014,1.5
Sudan,2015,1.5
Syria,1995,2.6
Syria,2005,3
Syria,2014,2.5
Syria,2015,2.5
Thailand,1995,0.3
Thailand,2005,0.5
Thailand,2014,0.4
Thailand,2015,0.4
Trinidad and Tobago,1995,0.7
Trinidad and Tobago,2005,0.8
Trinidad and Tobago,2014,0.8
Trinidad and Tobago,2015,0.7
Tunisia,1995,0.4
Tunisia,2005,0.6
Tunisia,2014,0.4
Tunisia,2015,0.4
Turkmenistan,1995,0.5
Turkmenistan,2005,0.5
Turkmenistan,2014,0.6
Turkmenistan,2015,0.6
United Arab Emirates,1995,98.1
United Arab Emirates,2005,97.8
United Arab Emirates,2014,97.8
United Arab Emirates,2015,97.8
United Kingdom,1995,4.5
United Kingdom,2005,3.9
United Kingdom,2014,2.8
United Kingdom,2015,2.8
United States,1995,29.8
United States,2005,29.9
United States,2014,55
United States,2015,55
Uzbekistan,1995,0.3
Uzbekistan,2005,0.6
Uzbekistan,2014,0.6
Uzbekistan,2015,0.6
Venezuela,1995,66.3
Venezuela,2005,80
Venezuela,2014,300
Venezuela,2015,300.9
Vietnam,1995,0.8
Vietnam,2005,3.1
Vietnam,2014,4.4
Vietnam,2015,4.4
World,1995,1126.2
World,2005,1374.4
World,2014,1700
World,2015,1697.6
Yemen,1995,2
Yemen,2005,2.9
Yemen,2014,3
Yemen,2015,3
