Entity,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018)) "
Finland,2005,523.91,97.56999999999999,82.45,20.8
Finland,2010,527.99,95.62000000000001,81.31,25.35
Finland,2015,531.13,93.31,79.23,25.29
France,1970,438.91,88.61,68.44,22.03
France,1975,494.83,89.88,67.98,20.79
France,1980,406.65,94.34999999999999,81.48,27.42
France,1985,505.94,87.98,64.59999999999999,15.3
France,1990,505.12,90.05,66.16,15.47
France,1995,516.52,97.40000000000001,79.17,17.9
France,2000,533.4,92.18000000000001,71,20.02
France,2005,507.39,83.51000000000001,64.18000000000001,20.93
France,2010,516.74,88.31999999999999,69.62000000000001,23.3
France,2015,499.18,88.25,67,15.8
Gabon,2005,324.76,35.11,7.18,0
Gambia,2000,267.32,36.53,0,0
Georgia,2005,428.57,72,38.67,5.17
Georgia,2010,436.96,72.72,40.6,4.97
Georgia,2015,459.68,80.5,52.71,9.16
Germany,1975,352.21,96.65000000000001,92.44,41.26
Germany,1985,491.27,85.79000000000001,64.95999999999999,9.560000000000001
Germany,1990,492.11,88.44,67.09,12.23
Germany,1995,491.59,91.36,66.81999999999999,14.65
Germany,2000,502.18,84.09,58.59,15.4
Germany,2005,522.27,88.7,73.56999999999999,23.11
Germany,2010,529.12,91.27,78.45999999999999,26.28
Germany,2015,524.26,91.69,77.43000000000001,22.91
Ghana,2005,308.95,37.47,6.41,0
Ghana,2010,336.16,45.9,8.98,0
Greece,1990,427.36,86.94,57.42,13.88
Greece,1995,473.86,85.63,58.28,11.68
Greece,2000,504.29,78.84999999999999,53.98,13.76
Greece,2005,485.26,80.01000000000001,50.25,9.060000000000001
Greece,2010,482.17,83.49,57.92,12.86
Greece,2015,477.87,81.09999999999999,55.4,11.52
Guatemala,2005,357.76,48.58,7.92,.7
Guatemala,2010,371.7,50.37,6.89,.25
Guatemala,2015,389.02,57.8,15.06,2.32
Honduras,1995,339.45,9.58,0,0
Honduras,2010,363.71,48.46,14.13,.35
Hong Kong,1980,445.75,86.95,66.16,20.15
Hong Kong,1985,505.88,80.56,63.76,32.33
Hong Kong,1990,535.47,87.92,72.87000000000001,33.56
Hong Kong,1995,562.91,97.19,90.31,44.6
Hong Kong,2000,575.08,98.62000000000001,93.52,48.63
Hong Kong,2005,585.21,97.41,93.24,55.93
Hong Kong,2010,592.66,97.19,92.41,60.87
Hong Kong,2015,605.4,98.41,95.23,66.66
Hungary,1970,483.32,94.20999999999999,69.09999999999999,22.65
Hungary,1975,491.03,94.33,70.79000000000001,23.17
Hungary,1980,518.96,89.87000000000001,70.02,25.88
Hungary,1985,542.37,92.91,77.76000000000001,28.28
Hungary,1990,532.59,92.8,75.63,26.78
Hungary,1995,523.68,94.79000000000001,78.08,25.67
Hungary,2000,528.23,94.79000000000001,79.45999999999999,27.44
Hungary,2005,521.42,94.02,77.48,27.46
Hungary,2010,510.38,91.18000000000001,72.98,24.08
Hungary,2015,522.5,91.34999999999999,75.20999999999999,29.4
Iceland,1990,420.17,86.56,53.16,10.07
Iceland,1995,468.96,89.88,57.48,6
Iceland,2000,528.02,92.81999999999999,65.09,11.77
Iceland,2005,541.16,89.05,63.1,13.23
Iceland,2010,522.85,91.08,73.3,23.41
Iceland,2015,511.8,87.89,68.19,21.11
India,2010,378.54,52.16,16.97,.26
Indonesia,2000,404.79,62.38,25.42,4.54
Indonesia,2005,406.4,65.44,32.13,4.07
Indonesia,2010,395.33,62.81,27.64,2.83
Indonesia,2015,396.71,59.73,23.34,1.63
Iran,1970,353.09,51.92,20.37,1.48
Iran,1975,362.39,54.77,21.25,1.48
Iran,1980,372,57.81,22.18,1.49
Iran,1985,381.91,61.05,23.16,1.49
Iran,1990,392.14,64.5,24.21,1.49
Iran,1995,402.71,68.17,25.32,1.49
Iran,2000,403.86,68.74,26.16,1.82
Iran,2005,401.54,65.76000000000001,24.46,1.26
Iran,2010,417.76,67.03,29.45,2.05
Iran,2015,433.92,72.65000000000001,42.07,6.65
Ireland,1990,478.59,81.31,50.38,11.75
Ireland,1995,524.46,93.74,77.65000000000001,27.64
Ireland,2000,525.89,91.86,73.87000000000001,22.62
Ireland,2005,522.14,89.66,71.94,23.32
Ireland,2010,518.36,90.56999999999999,73.02,22.13
Ireland,2015,535.42,95.29000000000001,82.89,30.03
Israel,1990,492.7,86.66,70.23,24.83
Israel,1995,508.58,92.84999999999999,74.40000000000001,19.55
Israel,2000,487.43,75.91,52.41,12.42
Israel,2005,484.45,85.84999999999999,64.55,17.67
Israel,2010,504.46,86.39,64.94,15.57
Israel,2015,514.24,88.77,72.56,29.19
Italy,1970,412.34,85.24,51.51,9.77
Italy,1975,427.87,86.14,54.13,10.62
Italy,1985,458.84,82.39,57.22,15.9
Italy,1990,507.8,83.84999999999999,60.74,20
Italy,1995,479.97,87.44,61.71,14.66
Italy,2000,504.68,86.06,57.83,11.02
Italy,2005,493.19,88.94,66.38,15.33
Italy,2010,500.79,90.74,68.95,14.83
Italy,2015,500.75,91.51000000000001,71.41,15.48
Japan,1970,547.77,91.63,81.47,42.7
Japan,1975,548.11,92.27,82.52,42.39
Japan,1980,552.31,93.39,84.05,42.61
Japan,1985,565.04,95.14,86.69,45.19
Japan,1990,571.5700000000001,96.79000000000001,88.59999999999999,45.19
Japan,1995,574.14,98.61,92.29000000000001,49.09
Japan,2000,572.0700000000001,98.38,91.78,48.65
Japan,2005,568.4,97.81999999999999,90.63,45.74
Japan,2010,576.1,97.59999999999999,91.02,49.05
Japan,2015,590.89,98.13,93.15000000000001,58.01
Jordan,1990,315.31,55.66,0,0
Jordan,2000,460.36,69.59,35.87,6.8
Jordan,2005,427.75,71.76000000000001,39.78,5.66
Jordan,2010,417.74,71.37000000000001,40.83,6.27
Jordan,2015,387.01,59.24,26.07,2.17
Kazakhstan,2000,513.06,89.34999999999999,68.79000000000001,23.31
Kazakhstan,2005,538.38,92.83,79.19,35.17
Kazakhstan,2010,470.62,72.31999999999999,50.88,20.82
Kazakhstan,2015,536.11,93,79.93000000000001,32.64
Kenya,1995,387.16,77.69,37.37,6.56
Kenya,2000,403.39,72.2,32.2,5.59
Kenya,2005,355.93,59.03,20.41,3.57
Kuwait,2005,346.23,45.29,9.75,.76
Kuwait,2010,351.22,43.26,8.609999999999999,.15
Kuwait,2015,372.3,54.47,19.23,1.76
Kyrgyzstan,2005,353.73,50.06,20.5,.48
Kyrgyzstan,2010,362.14,51.09,15.85,0
Latvia,1990,147.23,95.56,76.31,39.57
Latvia,1995,493.14,89.69,65.97,15.07
Latvia,2000,514.03,93.25,73.73,18.14
Latvia,2005,520.86,88.12000000000001,71.12000000000001,23.53
Latvia,2010,505.88,89.53,66.91,14.68
Latvia,2015,508.22,90.20999999999999,69.28,16.04
Lebanon,2005,438.92,76.02,39.4,3.48
Lebanon,2010,452.92,79.37000000000001,48.5,6.97
Lebanon,2015,454.42,79.88,49.84,6.05
Lesotho,2000,259.13,12.84,0,0
Lesotho,2005,323.52,35.36,4.67,0
Liberia,2000,273.71,37.9,0,0
Liechtenstein,2000,530.34,90.52,68.92,19.97
Liechtenstein,2005,540.41,90.24,75.24,29.74
Liechtenstein,2010,557.47,94.70999999999999,84.02,32.06
Lithuania,1995,462.74,84.18000000000001,52.68,8.57
Lithuania,2000,480.04,88.70999999999999,59.65,9.84
Lithuania,2005,517.85,92.27,74.84999999999999,24.57
Lithuania,2010,517.77,92.29000000000001,75.55,24.52
Lithuania,2015,523.24,93.33,77.87000000000001,25.47
Luxembourg,1980,329.49,84.63,63.39,11.59
Luxembourg,1985,439.85,79.41,49.04,20.18
Luxembourg,1990,431.45,78.73,40.96,6.97
Luxembourg,1995,454.01,76.91,47.84,18.29
Luxembourg,2000,461.81,77.70999999999999,43.92,5.42
Luxembourg,2005,508.45,84.78,63.22,17.62
Luxembourg,2010,509.77,87.63,66.94,20.58
Luxembourg,2015,508.88,86.40000000000001,65.42,19.55
Macao,2005,545.25,92.95,77.06,26.56
Macao,2010,550.5,95.01000000000001,81.90000000000001,29.57
Macao,2015,561.9,95.62000000000001,85.64,37.02
Macedonia,2000,440.71,75.87000000000001,43.42,6.9
Macedonia,2005,435.98,74.56999999999999,43.65,6.33
Macedonia,2010,432.58,74.39,43.94,6.27
Macedonia,2015,389,58.02,26.39,5.4
Madagascar,1995,408.41,61.07,26.83,.99
Madagascar,2000,284.75,40.27,0,0
Madagascar,2005,367.58,57.94,24.45,1.45
Malawi,1995,356.68,0,0,0
Malawi,2000,238.04,4.46,0,0
Malawi,2005,322.77,29.15,5.47,0
Malaysia,2000,511.8,93.58,73.92,21.51
Malaysia,2005,496.7,89.95,68.98,18.22
Malaysia,2010,453.5,80.34,53.53,10.5
Malaysia,2015,474.05,83.13,57.26,12.17
Mali,2000,170.91,5.39,0,0
Malta,2005,494.21,88.42,68.31999999999999,17.73
Malta,2010,490.06,88.42,66.47,13.89
Malta,2015,498,88.62000000000001,69.92,19.25
Mauritius,1995,416.54,72.48,42.28,17.29
Mauritius,2000,397.78,64.84999999999999,37.64,14.61
Mauritius,2005,405.54,69.93000000000001,45.12,17.35
Mauritius,2010,444.73,73.97,43.37,5.98
Mexico,1995,363.22,52.3,12.37,1.44
Mexico,2000,403.33,58.15,16.26,1.02
Mexico,2005,435.78,66.03,32.71,3.84
Mexico,2010,440.92,73.62000000000001,38.92,4.2
Mexico,2015,443.36,71.20999999999999,40.57,4.19
Mexico (Nuevo Leo),2005,439.97,75.66,43.95,4.17
Mexico (Nuevo Leo),2010,454.36,78.08,48.1,5.18
Mexico (Nuevo Leo),2015,472.38,81.2,55.2,9.25
Moldova,2000,461.67,82.48,51.59,9.130000000000001
Moldova,2005,483.69,83.24,60.42,15.61
Moldova,2010,420.56,65.8,31.09,3.49
Moldova,2015,443.29,72.34,42.01,6.81
Mongolia,2000,379.44,60.63,23.75,0
Mongolia,2005,438.28,76.31999999999999,40.56,4.38
Montenegro,2005,425.49,68.47,35.65,4.14
Montenegro,2010,424.16,67.14,32.44,3.96
Montenegro,2015,441.38,71.42,39.85,5.43
Morocco,2000,347.24,44.66,4.83,.49
Morocco,2005,364.01,51.82,12.68,.3
Morocco,2010,354.11,49.28,13.5,.9
Morocco,2015,380.75,56.91,20.13,1.47
Mozambique,1990,219.3,38.78,0,0
Mozambique,2000,387.03,65.87000000000001,17.13,3.87
Mozambique,2005,322.74,40.3,.92,0
Namibia,1995,350.27,0,0,0
Namibia,2000,231.44,2.7,0,0
Namibia,2005,325.14,33.86,6.74,0
Nepal,2000,189.48,19.79,0,0
Netherlands,1970,469.3,83.75,50.23,3.85
Netherlands,1975,474.08,84.95,49.74,3.98
Netherlands,1980,476.23,86.20999999999999,49.16,4.02
Netherlands,1985,475.33,87.53,48.38,3.98
Netherlands,1990,474.52,88.95,47.77,3.94
Netherlands,1995,476.96,94.70999999999999,59.63,9.880000000000001
Netherlands,2000,516.42,96.27,70.17,11.8
Netherlands,2005,541.27,92.59,81.55,30.5
Netherlands,2010,541.33,93.59999999999999,83.09,29.98
Netherlands,2015,530.27,91.75,80.23,25.15
New Zealand,1970,428.42,95.91,76.70999999999999,22.76
New Zealand,1975,476.4,90.34999999999999,66.33,17.24
New Zealand,1980,462.46,79.75,50.01,10.97
New Zealand,1985,459.92,81.2,54.02,20.7
New Zealand,1990,418.02,79.64,43.02,8.16
New Zealand,1995,435.34,79.98,43.57,3.98
New Zealand,2000,475.01,86.45,52.82,7.73
New Zealand,2005,493.45,89.93000000000001,66.13,15.83
New Zealand,2010,488.94,88.65000000000001,65.06,15.88
New Zealand,2015,492.69,88.59999999999999,65.01000000000001,17.39
Nicaragua,2005,359.68,49.47,7.14,.87
Nicaragua,2010,362.49,49.37,5.09,0
Nicaragua,2015,365.66,50.93,6.04,1.48
Niger,2000,147.45,0,0,0
Nigeria,1980,485.35,66.64,23.72,0
Nigeria,1995,241.18,45.02,0,0
Northern Ireland,2010,554.34,93.26000000000001,81.83,40.59
Northern Ireland,2015,564.28,95.06999999999999,85.23,46.42
Norway,2000,516.24,89.08,64.99,15.39
Norway,2005,463.36,85.73,52.2,4.84
Norway,2010,480.57,88.51000000000001,60.6,6.56
Norway,2015,530.48,94.74,80.70999999999999,27.49
Oman,1995,360.9,65.56,15.51,0
Oman,2005,379.82,57.81,22.81,1.5
Oman,2010,373.22,55.46,20.14,1.34
Oman,2015,414.85,66.95,34.51,5.33
Pakistan,2000,367.83,58.13,19.83,0
Palestine,2005,385.11,59.87,26.66,2.36
Palestine,2010,400.62,60.46,25.86,2.9
Panama,2005,356.55,48.1,7.59,1.03
Panama,2010,376.22,54.76,13.87,.25
Panama,2015,368.96,50.95,8.390000000000001,2.42
Paraguay,1995,353.29,40.76,2.39,0
Paraguay,2005,373.7,53.62,14.42,.99
Paraguay,2010,370.7,53.46,13.36,0
Paraguay,2015,366.83,51.77,12.66,1.38
Peru,1995,342.03,12.75,0,0
Peru,2000,327.14,35.22,5.92,1.32
Peru,2005,368.66,48.66,17.78,1.71
Peru,2010,397.29,58.55,22.73,2.08
Peru,2015,419.49,64.53,30.54,3.47
Philippines,2000,360.57,47.14,9.85,1.15
Philippines,2005,367.48,51.01,18.97,2.25
Poland,2000,486.39,81.52,52.61,11.77
Poland,2005,518.56,87.74,65.09999999999999,17.32
Poland,2010,499.26,90.7,66.44,12.4
Poland,2015,528.84,91.53,76.58,26.83
Portugal,1990,396.81,66.69,17.02,0
Portugal,1995,446.62,80.65000000000001,43.04,5.28
Portugal,2000,472.24,80.90000000000001,51.09,6.61
Portugal,2005,489.78,81.69,56.17,7.92
Portugal,2010,515.31,88.45,66.64,11.53
Portugal,2015,525.21,88.25,74.47,27.51
Puerto Rico,2015,396.29,57.18,20.06,.1
Qatar,2005,335.33,45.46,12.27,.79
Qatar,2010,378.97,41.45,6.02,.07
Qatar,2015,438.9,75.18000000000001,43.35,8.380000000000001
Romania,1995,463.31,82.79000000000001,53.46,10.48
Romania,2000,468.77,83.11,54.2,10.76
Romania,2005,472.23,82.86,58.69,14.4
Romania,2010,469.42,79.45999999999999,55.09,15.25
Romania,2015,469.42,79.18000000000001,51.22,9.68
Russia,1990,551.76,97.25,86.75,44.48
Russia,1995,511.58,93.87000000000001,74.04000000000001,22.56
Russia,2000,517.79,93.33,75.06999999999999,23.81
Russia,2005,524.08,93.16,76.69,25.23
Russia,2010,537.62,94.69,80.95999999999999,29.57
Russia,2015,551.63,95.65000000000001,85.58,38.46
Saudi Arabia,2005,337.37,44.23,9.699999999999999,.1
Saudi Arabia,2010,391.22,50.82,18.93,2.27
Saudi Arabia,2015,375.6,55.53,19.46,1.64
Scotland,1970,448.23,79.97,46.58,9.4
Scotland,1975,441.6,78.44,45.93,9.19
Scotland,1980,442.05,78.8,46.18,9.15
Scotland,1985,447.49,80.54000000000001,47.09,9.220000000000001
Scotland,1990,453.1,82.42,48.04,9.289999999999999
Scotland,1995,458.88,84.45,49.06,9.359999999999999
Scotland,2000,484.51,88.7,54.87,9.67
Scotland,2005,491.66,90.40000000000001,67.14,13.24
Senegal,1995,256.29,0,0,0
Senegal,2000,261.51,35.28,0,0
Senegal,2005,319.54,31.66,10.58,0
Serbia,2005,483.92,86.31999999999999,61.93,14.73
Serbia,2010,487.15,80.15000000000001,58.28,17.03
Serbia,2015,512.22,89.64,72.31999999999999,23.51
Seychelles,2000,379.55,61.39,30.1,5.35
Seychelles,2005,360.57,58,24.02,2.76
Singapore,1985,497.46,95.33,92.59,0
Singapore,1990,539.85,97.27,93.16,74.34
Singapore,1995,600.41,99.73,95.94,62.27
Singapore,2000,599.81,98.95999999999999,93.75,62.09
Singapore,2005,598.83,98.26000000000001,92.7,63.26
Singapore,2010,605.3,98.47,93.44,63.46
Singapore,2015,619.17,98.99,94.83,71.37000000000001
Slovakia,1995,524.26,95.94,78.5,25.4
Slovakia,2000,496.44,94.95999999999999,78.61,23.99
Slovakia,2005,499.59,86.90000000000001,65.23,16.62
Slovakia,2010,506.72,88.77,69.24,18.66
Slovakia,2015,495.32,85.87000000000001,65.22,15.9
Slovenia,1990,458.32,78.97,45.04,6.95
Slovenia,1995,528.01,96.54000000000001,80.61,26.19
Slovenia,2000,508.07,94.09999999999999,74.34999999999999,25.02
Slovenia,2005,493.62,92.20999999999999,66.59999999999999,10.85
Slovenia,2010,506.99,93.36,73.58,15.14
Slovenia,2015,518.04,95.22,79.01000000000001,20.47
South Africa,1995,349.88,38.48,23.96,0
South Africa,2000,298.71,29.01,10.19,1.88
South Africa,2005,306.68,33.34,10.28,1.56
South Africa,2010,349.84,44,9.99,.44
South Africa,2015,374.06,53.2,19.46,2.79
South Korea,1985,519.99,89.14,75.01000000000001,48.02
South Korea,1990,553.58,93.31999999999999,83.37000000000001,51.18
South Korea,1995,580.79,97.7,92.69,54.56
South Korea,2000,587.9,98.55,94.01000000000001,56.83
South Korea,2005,594.41,98.14,93.79000000000001,59.53
South Korea,2010,605.92,98.58,94.75,63.28
South Korea,2015,607.23,98.87000000000001,95.31999999999999,66.84999999999999
Spain,1990,495.49,87.34999999999999,64.17,24.16
Spain,1995,477.55,88.77,58.37,9.58
Spain,2000,491.21,84.76000000000001,55.72,10.26
Spain,2005,507.61,83.29000000000001,59.98,14.22
Spain,2010,490.33,88.45,63.85,11.05
Spain,2015,504.83,88.95,69.76000000000001,16.14
Spain (Basque Country),2005,497.81,93.41,69.78,11.79
Spain (regions),2015,510.09,88.86,68.73,18.05
Sri Lanka,2000,292.3,41.9,0,0
Swaziland,1980,488.92,64.26000000000001,17.95,0
